280,D,17452,125084,142536
280,D,17448,124956,142404
16,D,17452,6244,23700
16,D,17448,6208,23660
16,D,17448,6212,23664
16,D,Parallel,17452,24992, 100 frequencies, 1 s
16,D,Parallel,17452,24972, 100 frequencies, 0 s
16,D,Parallel,17452,24956, 100 frequencies, 0 s
16,D,Parallel,17452,17868, 0 frequencies, 0 s
16,D,Parallel,17452,17868, 0 frequencies, 1 s
16,D,Parallel,17452,24940, 100 frequencies, 1 s
16,D,Parallel,17452,24972, 100 frequencies, 1 s
2,D,Parallel,17452,21720, 100 frequencies, 0 s
2,D,Parallel,17452,21720, 100 frequencies, 0 s
416,D,Parallel,17452,199560, 100 frequencies, 39 s
576,D,Parallel,17452,317504, 100 frequencies, 95 s
2000,D,Parallel,17452,2487000, 100 frequencies, 2865 s
16,D,Parallel,17452,24944, 100 frequencies, 1 s
16,D,Parallel,17452,24960, 100 frequencies, 1 s
16,D,Parallel,17452,24936, 100 frequencies, 0 s
16,D,Parallel,17452,24952, 100 frequencies, 0 s
16,D,Parallel,17452,24952, 100 frequencies, 1 s
