-2.517787e+10 + i 4.228305e+09 ; -1.059219e+08 + i 9.655244e+06 ; -1.059374e+08 + i 9.663888e+06 ; 5.533084e+09 + i -1.672904e+09 ; 4.306731e+08 + i -9.447012e+07 ; 4.306158e+08 + i -9.448121e+07 ; -2.653878e+09 + i 7.715504e+08 ; -2.333134e+08 + i 4.889676e+07 ; -5.003575e+07 + i 1.092987e+07 ; -1.166686e+09 + i 1.805944e+08 ; 1.308501e+09 + i -4.244866e+08 ; 6.903470e+07 + i -2.836610e+07 ; -2.653836e+09 + i 7.715623e+08 ; -5.006039e+07 + i 1.090798e+07 ; -2.333301e+08 + i 4.888747e+07 ; -1.166637e+09 + i 1.806211e+08 ; 6.933288e+07 + i -2.831712e+07 ; 1.308513e+09 + i -4.244839e+08 ; -1.803195e+08 + i 1.601635e+08 ; -9.940590e+07 + i 2.832723e+07 ; -9.929768e+07 + i 2.834550e+07 ; -1.393640e+08 + i 1.105162e+08 ; 2.768177e+08 + i -1.151493e+08 ; 2.768253e+08 + i -1.151517e+08 ; 5.463017e+08 + i -1.330950e+08 ; -6.061906e+06 + i -1.237372e+06 ; -6.056013e+06 + i -1.237158e+06 ; 2.888524e+08 + i -6.064698e+07 ; -3.926394e+06 + i 7.936123e+05 ; -3.926390e+06 + i 7.940290e+05 ; 1.029802e+08 + i -5.578863e+07 ; 3.449692e+07 + i -1.826234e+07 ; -7.218698e+06 + i 2.899494e+05 ; 8.033299e+07 + i -3.741414e+07 ; 6.708840e+06 + i -3.738140e+06 ; -3.759188e+06 + i 8.778424e+05 ; 1.030091e+08 + i -5.578121e+07 ; -7.192555e+06 + i 2.927008e+05 ; 3.449904e+07 + i -1.826190e+07 ; 8.034414e+07 + i -3.740977e+07 ; -3.754834e+06 + i 8.774131e+05 ; 6.708271e+06 + i -3.738267e+06 ; 6.829592e+06 + i -1.651919e+07 ; 2.168411e+07 + i -1.181369e+07 ; 2.167908e+07 + i -1.181467e+07 ; 2.023615e+07 + i -1.697136e+07 ; 4.972752e+06 + i -2.860642e+06 ; 4.972813e+06 + i -2.860482e+06 ; 
-1.027128e+08 + i 8.629477e+06 ; -2.520246e+10 + i 4.231349e+09 ; -1.057541e+08 + i 9.550278e+06 ; -2.290435e+08 + i 4.737020e+07 ; -2.664629e+09 + i 7.735513e+08 ; -4.936729e+07 + i 1.075988e+07 ; 4.403398e+08 + i -9.610575e+07 ; 5.486405e+09 + i -1.665628e+09 ; 4.310629e+08 + i -9.483870e+07 ; 1.327344e+09 + i -4.281454e+08 ; -1.184878e+09 + i 1.856748e+08 ; 6.977599e+07 + i -2.871826e+07 ; -4.767960e+07 + i 9.978078e+06 ; -2.666653e+09 + i 7.748860e+08 ; -2.331107e+08 + i 4.876396e+07 ; -9.661852e+07 + i 2.706217e+07 ; -1.842957e+08 + i 1.618432e+08 ; -9.859497e+07 + i 2.818601e+07 ; 7.689339e+07 + i -2.990578e+07 ; -1.188059e+09 + i 1.867760e+08 ; 1.310029e+09 + i -4.252022e+08 ; 2.909585e+08 + i -1.184124e+08 ; -1.458684e+08 + i 1.137812e+08 ; 2.783525e+08 + i -1.157537e+08 ; -1.055851e+07 + i -1.485639e+06 ; -4.390224e+07 + i 2.511137e+07 ; -1.020262e+07 + i 2.590451e+06 ; -4.522806e+06 + i -2.050683e+06 ; -2.108590e+07 + i 8.819729e+06 ; -3.231124e+06 + i 1.077986e+06 ; 1.977225e+08 + i -5.296091e+07 ; -4.717131e+07 + i 2.437725e+07 ; -5.077903e+06 + i 1.159307e+06 ; 1.087520e+08 + i -2.517494e+07 ; -1.885485e+07 + i 7.959162e+06 ; -2.539820e+06 + i 7.169553e+05 ; -1.492311e+07 + i 9.656818e+05 ; -3.662186e+07 + i 1.833644e+07 ; -1.479272e+07 + i 4.154012e+06 ; -7.538446e+06 + i -5.343885e+05 ; -1.651779e+07 + i 7.423788e+06 ; -4.188825e+06 + i 1.443236e+06 ; 1.135594e+08 + i -3.562501e+07 ; -3.492246e+07 + i 1.701643e+07 ; 7.752839e+06 + i -3.885423e+06 ; 6.858717e+07 + i -1.953802e+07 ; -1.511439e+07 + i 6.781344e+06 ; -7.230040e+04 + i -3.471121e+05 ; 
-1.027754e+08 + i 8.633264e+06 ; -1.057536e+08 + i 9.551961e+06 ; -2.520267e+10 + i 4.231298e+09 ; -2.290493e+08 + i 4.736551e+07 ; -4.936660e+07 + i 1.076186e+07 ; -2.664644e+09 + i 7.735914e+08 ; -4.768082e+07 + i 9.990561e+06 ; -2.331959e+08 + i 4.874245e+07 ; -2.667767e+09 + i 7.746728e+08 ; -9.651010e+07 + i 2.708151e+07 ; -9.862852e+07 + i 2.818120e+07 ; -1.842568e+08 + i 1.619326e+08 ; 4.403532e+08 + i -9.609712e+07 ; 4.310103e+08 + i -9.485286e+07 ; 5.485879e+09 + i -1.665714e+09 ; 1.327366e+09 + i -4.281398e+08 ; 6.973940e+07 + i -2.872407e+07 ; -1.185052e+09 + i 1.856618e+08 ; 7.668726e+07 + i -2.992310e+07 ; 1.310015e+09 + i -4.252085e+08 ; -1.188181e+09 + i 1.867246e+08 ; 2.908877e+08 + i -1.184242e+08 ; 2.783366e+08 + i -1.157542e+08 ; -1.458404e+08 + i 1.138180e+08 ; -1.054908e+07 + i -1.488520e+06 ; -1.020349e+07 + i 2.590365e+06 ; -4.390907e+07 + i 2.511484e+07 ; -4.519977e+06 + i -2.051708e+06 ; -3.231541e+06 + i 1.078054e+06 ; -2.108187e+07 + i 8.820679e+06 ; -1.489284e+07 + i 9.670754e+05 ; -1.479393e+07 + i 4.154068e+06 ; -3.662533e+07 + i 1.833871e+07 ; -7.517130e+06 + i -5.315971e+05 ; -4.188203e+06 + i 1.443440e+06 ; -1.651254e+07 + i 7.424805e+06 ; 1.977178e+08 + i -5.296021e+07 ; -5.082515e+06 + i 1.158539e+06 ; -4.719569e+07 + i 2.437808e+07 ; 1.087500e+08 + i -2.517432e+07 ; -2.541172e+06 + i 7.169284e+05 ; -1.886052e+07 + i 7.959856e+06 ; 1.135673e+08 + i -3.562966e+07 ; 7.754362e+06 + i -3.885056e+06 ; -3.493135e+07 + i 1.701624e+07 ; 6.858650e+07 + i -1.954021e+07 ; -7.125647e+04 + i -3.468083e+05 ; -1.511759e+07 + i 6.782059e+06 ; 
5.536016e+09 + i -1.672399e+09 ; -4.446401e+08 + i 9.591968e+07 ; -4.445578e+08 + i 9.593901e+07 ; -2.511571e+10 + i 4.213783e+09 ; 9.548850e+07 + i -7.272640e+06 ; 9.551058e+07 + i -7.279678e+06 ; -1.165836e+09 + i 1.807047e+08 ; -1.346481e+09 + i 4.305916e+08 ; -7.326305e+07 + i 2.980699e+07 ; -2.633361e+09 + i 7.637125e+08 ; 2.211897e+08 + i -4.491221e+07 ; 4.063420e+07 + i -8.819956e+06 ; -1.165863e+09 + i 1.807145e+08 ; -7.352909e+07 + i 2.976287e+07 ; -1.346494e+09 + i 4.305889e+08 ; -2.633186e+09 + i 7.637464e+08 ; 4.064276e+07 + i -8.803832e+06 ; 2.211939e+08 + i -4.490737e+07 ; -1.392278e+08 + i 1.104895e+08 ; -2.874555e+08 + i 1.181823e+08 ; -2.874764e+08 + i 1.181789e+08 ; -1.762878e+08 + i 1.567320e+08 ; 8.710920e+07 + i -2.495843e+07 ; 8.706710e+07 + i -2.496533e+07 ; 1.089650e+09 + i -3.184686e+08 ; 1.273236e+08 + i -3.007906e+07 ; 1.272981e+08 + i -3.008565e+07 ; 5.462645e+08 + i -1.330731e+08 ; -1.770270e+06 + i -4.179952e+06 ; -1.782020e+06 + i -4.179187e+06 ; 1.181102e+08 + i -7.681402e+07 ; 3.862803e+08 + i -1.276162e+08 ; 5.153072e+07 + i -1.606306e+07 ; 1.029322e+08 + i -5.577845e+07 ; 2.106964e+07 + i -1.564760e+07 ; -8.158434e+05 + i -1.948509e+06 ; 1.181733e+08 + i -7.681163e+07 ; 5.159578e+07 + i -1.605254e+07 ; 3.862897e+08 + i -1.276149e+08 ; 1.029631e+08 + i -5.577604e+07 ; -7.980174e+05 + i -1.949735e+06 ; 2.107258e+07 + i -1.564826e+07 ; -3.285879e+07 + i -5.571201e+06 ; 1.709147e+08 + i -6.333936e+07 ; 1.709344e+08 + i -6.333596e+07 ; 6.830138e+06 + i -1.650369e+07 ; 1.904942e+07 + i -1.091999e+07 ; 1.906189e+07 + i -1.091812e+07 ; 
2.620312e+08 + i -5.038745e+07 ; -2.667621e+09 + i 7.730039e+08 ; -5.131649e+07 + i 1.092736e+07 ; 1.180121e+08 + i -1.025421e+07 ; -2.517671e+10 + i 4.225951e+09 ; -1.081273e+08 + i 9.497847e+06 ; -1.442157e+09 + i 4.394624e+08 ; -1.184503e+09 + i 1.857581e+08 ; 7.046369e+07 + i -2.907023e+07 ; -4.466013e+08 + i 8.860209e+07 ; 5.509981e+09 + i -1.669166e+09 ; 4.413203e+08 + i -9.493938e+07 ; 1.120543e+08 + i -3.023914e+07 ; -1.843828e+08 + i 1.619714e+08 ; -1.017725e+08 + i 2.854686e+07 ; 5.530827e+07 + i -1.208115e+07 ; -2.644206e+09 + i 7.702753e+08 ; -2.391754e+08 + i 4.921222e+07 ; -2.982190e+08 + i 1.196205e+08 ; -1.460387e+08 + i 1.137374e+08 ; 2.855246e+08 + i -1.172589e+08 ; -5.604475e+07 + i 2.496980e+07 ; -1.168285e+09 + i 1.830437e+08 ; 1.342432e+09 + i -4.289890e+08 ; -9.915377e+07 + i 2.099491e+07 ; -5.131789e+08 + i 1.528526e+08 ; -2.599317e+07 + i 4.710189e+06 ; -6.421751e+07 + i 1.010141e+07 ; -4.351333e+07 + i 2.519242e+07 ; -7.064527e+06 + i 2.328289e+06 ; 4.132453e+08 + i -1.323591e+08 ; -3.290544e+08 + i 7.811617e+07 ; 1.692981e+07 + i -5.161133e+06 ; 2.135466e+08 + i -5.722240e+07 ; -4.712074e+07 + i 2.439727e+07 ; -5.304456e+06 + i 5.109622e+05 ; -6.100437e+07 + i 1.534672e+07 ; -2.208420e+08 + i 8.393855e+07 ; -4.448933e+07 + i 1.055666e+07 ; -4.381227e+07 + i 9.255845e+06 ; -3.642245e+07 + i 1.835376e+07 ; -1.030900e+07 + i 3.609078e+06 ; 1.901656e+08 + i -6.598186e+07 ; -1.624890e+08 + i 5.652858e+07 ; 9.437431e+07 + i -3.491924e+07 ; 1.097931e+08 + i -3.462625e+07 ; -3.491143e+07 + i 1.701411e+07 ; 1.200801e+06 + i -2.684138e+06 ; 
2.620512e+08 + i -5.038400e+07 ; -5.131711e+07 + i 1.092894e+07 ; -2.667619e+09 + i 7.730540e+08 ; 1.180400e+08 + i -1.025706e+07 ; -1.081246e+08 + i 9.500811e+06 ; -2.517685e+10 + i 4.225930e+09 ; 1.120210e+08 + i -3.025089e+07 ; -1.018079e+08 + i 2.854114e+07 ; -1.842745e+08 + i 1.620876e+08 ; 5.528684e+07 + i -1.209612e+07 ; -2.392536e+08 + i 4.919198e+07 ; -2.645474e+09 + i 7.700321e+08 ; -1.442166e+09 + i 4.394567e+08 ; 7.043429e+07 + i -2.907300e+07 ; -1.184708e+09 + i 1.857298e+08 ; -4.466120e+08 + i 8.859541e+07 ; 4.412568e+08 + i -9.495738e+07 ; 5.509512e+09 + i -1.669246e+09 ; -2.981288e+08 + i 1.196370e+08 ; 2.855246e+08 + i -1.172536e+08 ; -1.457153e+08 + i 1.138332e+08 ; -5.593761e+07 + i 2.498109e+07 ; 1.342411e+09 + i -4.289984e+08 ; -1.168425e+09 + i 1.829770e+08 ; -9.917118e+07 + i 2.099389e+07 ; -2.599456e+07 + i 4.709493e+06 ; -5.131134e+08 + i 1.528600e+08 ; -6.423032e+07 + i 1.010125e+07 ; -7.065595e+06 + i 2.328389e+06 ; -4.349201e+07 + i 2.519422e+07 ; -6.100153e+07 + i 1.534783e+07 ; -4.449649e+07 + i 1.055463e+07 ; -2.208492e+08 + i 8.394113e+07 ; -4.380176e+07 + i 9.259598e+06 ; -1.030886e+07 + i 3.609413e+06 ; -3.640484e+07 + i 1.835539e+07 ; 4.132504e+08 + i -1.323567e+08 ; 1.692008e+07 + i -5.163429e+06 ; -3.291108e+08 + i 7.810739e+07 ; 2.135535e+08 + i -5.721954e+07 ; -5.308411e+06 + i 5.106991e+05 ; -4.713773e+07 + i 2.439824e+07 ; 1.901236e+08 + i -6.598770e+07 ; 9.438055e+07 + i -3.491852e+07 ; -1.625055e+08 + i 5.652045e+07 ; 1.097606e+08 + i -3.462974e+07 ; 1.202208e+06 + i -2.683490e+06 ; -3.492900e+07 + i 1.701343e+07 ; 
-2.657190e+09 + i 7.709524e+08 ; 2.427778e+08 + i -5.083719e+07 ; -5.145395e+07 + i 1.098633e+07 ; -1.169133e+09 + i 1.804096e+08 ; -1.453226e+09 + i 4.425785e+08 ; 7.033057e+07 + i -2.886633e+07 ; -2.517998e+10 + i 4.227698e+09 ; 1.110634e+08 + i -9.689923e+06 ; -1.086936e+08 + i 9.431325e+06 ; 5.531821e+09 + i -1.673136e+09 ; -4.624012e+08 + i 9.699916e+07 ; 4.421947e+08 + i -9.493217e+07 ; -1.806937e+08 + i 1.602743e+08 ; 1.101586e+08 + i -2.895914e+07 ; -1.019628e+08 + i 2.862425e+07 ; -1.399781e+08 + i 1.104983e+08 ; -3.086727e+08 + i 1.213471e+08 ; 2.846389e+08 + i -1.168174e+08 ; -2.653567e+09 + i 7.717342e+08 ; 5.481797e+07 + i -1.089329e+07 ; -2.395952e+08 + i 4.905986e+07 ; -1.166372e+09 + i 1.807146e+08 ; -7.680392e+07 + i 2.962366e+07 ; 1.344447e+09 + i -4.293254e+08 ; 1.037546e+08 + i -5.565982e+07 ; -3.841859e+07 + i 1.940229e+07 ; -7.475248e+06 + i 2.597603e+05 ; 8.074050e+07 + i -3.732095e+07 ; -7.428168e+06 + i 3.984107e+06 ; -3.870025e+06 + i 8.842383e+05 ; 5.463556e+08 + i -1.330930e+08 ; 7.135301e+06 + i 1.471712e+06 ; -6.182952e+06 + i -1.297145e+06 ; 2.888558e+08 + i -6.064550e+07 ; 4.486361e+06 + i -7.971114e+05 ; -4.023245e+06 + i 7.966180e+05 ; 6.912293e+06 + i -1.654031e+07 ; -2.412533e+07 + i 1.258232e+07 ; 2.229339e+07 + i -1.201971e+07 ; 2.031844e+07 + i -1.698047e+07 ; -5.501954e+06 + i 3.051778e+06 ; 5.118027e+06 + i -2.910523e+06 ; 1.030849e+08 + i -5.576353e+07 ; 8.312186e+06 + i -1.739745e+05 ; 3.548869e+07 + i -1.857041e+07 ; 8.037496e+07 + i -3.739584e+07 ; 4.279802e+06 + i -8.936332e+05 ; 6.903391e+06 + i -3.802820e+06 ; 
-4.352425e+08 + i 9.816804e+07 ; 5.488958e+09 + i -1.665202e+09 ; -4.430094e+08 + i 9.520536e+07 ; -1.360253e+09 + i 4.330845e+08 ; -1.186668e+09 + i 1.855469e+08 ; -7.187394e+07 + i 2.912416e+07 ; 1.013992e+08 + i -9.199354e+06 ; -2.520405e+10 + i 4.230929e+09 ; 1.077353e+08 + i -9.415394e+06 ; 2.178185e+08 + i -4.938028e+07 ; -2.663916e+09 + i 7.736746e+08 ; 5.034481e+07 + i -1.083276e+07 ; -7.848197e+07 + i 3.005617e+07 ; -1.186766e+09 + i 1.869600e+08 ; -1.345874e+09 + i 4.301056e+08 ; -2.985585e+08 + i 1.198812e+08 ; -1.459173e+08 + i 1.138274e+08 ; -2.860429e+08 + i 1.174619e+08 ; 4.810205e+07 + i -9.950656e+06 ; -2.667263e+09 + i 7.747469e+08 ; 2.395100e+08 + i -4.890574e+07 ; 9.845375e+07 + i -2.707919e+07 ; -1.846531e+08 + i 1.617697e+08 ; 1.013589e+08 + i -2.844246e+07 ; -2.034934e+08 + i 5.332629e+07 ; -4.786090e+07 + i 2.428182e+07 ; 5.208052e+06 + i -1.164845e+06 ; -1.120050e+08 + i 2.526285e+07 ; -1.888895e+07 + i 7.965720e+06 ; 2.607817e+06 + i -7.232839e+05 ; 9.164414e+06 + i 1.280221e+06 ; -4.395454e+07 + i 2.511886e+07 ; 1.045920e+07 + i -2.608425e+06 ; 3.754275e+06 + i 1.946456e+06 ; -2.110480e+07 + i 8.825351e+06 ; 3.318270e+06 + i -1.089788e+06 ; -1.169009e+08 + i 3.595996e+07 ; -3.522373e+07 + i 1.700449e+07 ; -7.962183e+06 + i 3.952606e+06 ; -7.065686e+07 + i 1.968723e+07 ; -1.515539e+07 + i 6.782885e+06 ; 7.695381e+04 + i 3.572283e+05 ; 1.458635e+07 + i -9.923158e+05 ; -3.660114e+07 + i 1.834468e+07 ; 1.520385e+07 + i -4.189486e+06 ; 7.277757e+06 + i 5.317920e+05 ; -1.651851e+07 + i 7.426784e+06 ; 4.307887e+06 + i -1.460204e+06 ; 
-4.840145e+07 + i 1.018059e+07 ; 2.596844e+08 + i -4.877540e+07 ; -2.670750e+09 + i 7.741878e+08 ; -9.864045e+07 + i 2.742864e+07 ; 1.096514e+08 + i -2.914604e+07 ; -1.844733e+08 + i 1.620437e+08 ; -1.052950e+08 + i 8.348172e+06 ; 1.164938e+08 + i -8.343508e+06 ; -2.520411e+10 + i 4.230947e+09 ; -2.350284e+08 + i 4.742197e+07 ; 5.401863e+07 + i -1.097788e+07 ; -2.664889e+09 + i 7.736546e+08 ; 7.435705e+07 + i -3.091317e+07 ; -1.460608e+09 + i 4.420987e+08 ; -1.187755e+09 + i 1.868191e+08 ; 2.967006e+08 + i -1.203564e+08 ; -3.085303e+08 + i 1.224718e+08 ; -1.457354e+08 + i 1.138148e+08 ; 4.524827e+08 + i -9.623480e+07 ; -4.806184e+08 + i 9.533949e+07 ; 5.486240e+09 + i -1.665582e+09 ; 1.363502e+09 + i -4.322625e+08 ; -7.483260e+07 + i 3.062551e+07 ; -1.184900e+09 + i 1.856786e+08 ; -1.523991e+07 + i 9.199176e+05 ; 1.639313e+07 + i -4.293142e+06 ; -3.656927e+07 + i 1.835479e+07 ; -7.682230e+06 + i -5.800708e+05 ; 4.638063e+06 + i -1.511210e+06 ; -1.649543e+07 + i 7.426040e+06 ; -1.084976e+07 + i -1.580027e+06 ; 1.123524e+07 + i -2.665972e+06 ; -4.391483e+07 + i 2.512478e+07 ; -4.653869e+06 + i -2.127942e+06 ; 3.572684e+06 + i -1.125365e+06 ; -2.108554e+07 + i 8.821537e+06 ; 1.165809e+08 + i -3.599660e+07 ; -8.538091e+06 + i 4.139441e+06 ; -3.490379e+07 + i 1.702573e+07 ; 7.041878e+07 + i -1.970519e+07 ; 1.032459e+05 + i 3.855998e+05 ; -1.511341e+07 + i 6.782653e+06 ; 2.028997e+08 + i -5.332863e+07 ; 5.827621e+06 + i -1.167965e+06 ; -4.717825e+07 + i 2.438355e+07 ; 1.115614e+08 + i -2.528076e+07 ; 2.868335e+06 + i -7.378227e+05 ; -1.885451e+07 + i 7.960285e+06 ; 
-1.177522e+09 + i 1.798093e+08 ; 1.509167e+09 + i -4.454261e+08 ; -7.438492e+07 + i 3.029058e+07 ; -2.632307e+09 + i 7.638043e+08 ; -1.857012e+08 + i 4.795936e+07 ; 4.166433e+07 + i -8.867036e+06 ; 5.530619e+09 + i -1.673297e+09 ; 4.361930e+08 + i -9.906210e+07 ; -4.550707e+08 + i 9.636616e+07 ; -2.511507e+10 + i 4.213915e+09 ; -1.056957e+08 + i 5.845009e+06 ; 9.774511e+07 + i -7.068378e+06 ; -1.400845e+08 + i 1.108250e+08 ; 3.219213e+08 + i -1.240110e+08 ; -2.946137e+08 + i 1.197078e+08 ; -1.769471e+08 + i 1.566701e+08 ; -9.511604e+07 + i 2.481457e+07 ; 8.914878e+07 + i -2.518189e+07 ; -1.165139e+09 + i 1.809908e+08 ; 8.057231e+07 + i -3.044485e+07 ; -1.379108e+09 + i 4.349669e+08 ; -2.632875e+09 + i 7.638202e+08 ; -4.388486e+07 + i 8.561067e+06 ; 2.264113e+08 + i -4.504468e+07 ; 1.212807e+08 + i -7.665268e+07 ; -4.401344e+08 + i 1.316849e+08 ; 5.258118e+07 + i -1.624900e+07 ; 1.046036e+08 + i -5.560132e+07 ; -2.501284e+07 + i 1.703415e+07 ; -8.828784e+05 + i -1.998881e+06 ; 1.089724e+09 + i -3.184764e+08 ; -1.552624e+08 + i 2.950512e+07 ; 1.303719e+08 + i -3.026135e+07 ; 5.462232e+08 + i -1.330825e+08 ; 5.985981e+05 + i 4.877528e+06 ; -1.790577e+06 + i -4.279921e+06 ; -3.184352e+07 + i -5.622772e+06 ; -1.947553e+08 + i 6.611568e+07 ; 1.751175e+08 + i -6.409323e+07 ; 7.481264e+06 + i -1.651762e+07 ; -2.234065e+07 + i 1.173498e+07 ; 1.954928e+07 + i -1.109109e+07 ; 1.182092e+08 + i -7.679822e+07 ; -6.251591e+07 + i 1.649686e+07 ; 3.956539e+08 + i -1.289664e+08 ; 1.029489e+08 + i -5.576735e+07 ; -1.808271e+05 + i 2.254830e+06 ; 2.162237e+07 + i -1.591918e+07 ; 
1.489299e+09 + i -4.415285e+08 ; -1.195846e+09 + i 1.848567e+08 ; -7.230698e+07 + i 2.944255e+07 ; 4.001412e+08 + i -9.121742e+07 ; 5.508129e+09 + i -1.669470e+09 ; -4.521214e+08 + i 9.526209e+07 ; -2.083028e+08 + i 5.352137e+07 ; -2.662734e+09 + i 7.738100e+08 ; 5.217873e+07 + i -1.099966e+07 ; -1.204216e+08 + i 9.882635e+06 ; -2.517584e+10 + i 4.226209e+09 ; 1.098599e+08 + i -9.390224e+06 ; 3.073647e+08 + i -1.206087e+08 ; -1.464891e+08 + i 1.141150e+08 ; -2.924705e+08 + i 1.188043e+08 ; 5.622221e+07 + i -2.442556e+07 ; -1.166694e+09 + i 1.833974e+08 ; -1.374802e+09 + i 4.334012e+08 ; -1.131164e+08 + i 2.951427e+07 ; -1.851287e+08 + i 1.617121e+08 ; 1.043120e+08 + i -2.876658e+07 ; -5.532219e+07 + i 1.182109e+07 ; -2.644807e+09 + i 7.700556e+08 ; 2.449914e+08 + i -4.933978e+07 ; -4.245869e+08 + i 1.329826e+08 ; -3.262250e+08 + i 7.818466e+07 ; -1.737884e+07 + i 5.203518e+06 ; -2.187402e+08 + i 5.721956e+07 ; -4.683329e+07 + i 2.437172e+07 ; 5.418205e+06 + i -5.007393e+05 ; 1.144691e+08 + i -2.017522e+07 ; -5.135637e+08 + i 1.527870e+08 ; 2.649759e+07 + i -4.723208e+06 ; 7.242371e+07 + i -9.285913e+06 ; -4.373843e+07 + i 2.514889e+07 ; 7.218565e+06 + i -2.351197e+06 ; -1.953394e+08 + i 6.647311e+07 ; -1.615602e+08 + i 5.648212e+07 ; -9.665574e+07 + i 3.534219e+07 ; -1.123982e+08 + i 3.479416e+07 ; -3.473235e+07 + i 1.700269e+07 ; -1.228521e+06 + i 2.742805e+06 ; 6.749018e+07 + i -1.528717e+07 ; -2.210123e+08 + i 8.391295e+07 ; 4.556151e+07 + i -1.061475e+07 ; 4.798779e+07 + i -9.109693e+06 ; -3.656161e+07 + i 1.833373e+07 ; 1.056882e+07 + i -3.647990e+06 ; 
