-8.885286e+09 + i 8.746994e+08 ; -8.887083e+06 + i 1.227185e+07 ; -8.886949e+06 + i 1.227202e+07 ; 4.622279e+09 + i -6.845231e+08 ; -7.267168e+07 + i 5.792632e+07 ; -7.267198e+07 + i 5.792608e+07 ; -2.388727e+09 + i 4.163079e+08 ; 4.054227e+07 + i -3.374193e+07 ; -4.176515e+06 + i 7.701110e+06 ; 6.784209e+08 + i -2.818566e+08 ; 1.225285e+09 + i -1.767722e+08 ; -3.372608e+07 + i 3.052636e+07 ; -2.388727e+09 + i 4.163080e+08 ; -4.177304e+06 + i 7.699353e+06 ; 4.054240e+07 + i -3.374187e+07 ; 6.784212e+08 + i -2.818563e+08 ; -3.372725e+07 + i 3.052243e+07 ; 1.225285e+09 + i -1.767721e+08 ; -9.515651e+08 + i 2.412610e+08 ; 2.651454e+07 + i -2.345978e+07 ; 2.651482e+07 + i -2.345957e+07 ; 1.503562e+08 + i -1.420893e+08 ; 4.759884e+08 + i -8.970082e+07 ; 4.759886e+08 + i -8.970070e+07 ; 1.843152e+08 + i 3.465949e+06 ; -4.889556e+06 + i 5.242708e+06 ; -4.889649e+06 + i 5.242621e+06 ; 6.956082e+07 + i 1.774384e+06 ; -1.486854e+06 + i 2.070034e+06 ; -1.486873e+06 + i 2.070024e+06 ; 1.429389e+08 + i -7.957120e+06 ; 1.018251e+08 + i -2.185955e+07 ; -3.554271e+06 + i 4.164138e+06 ; 6.001877e+07 + i 2.222342e+05 ; 3.635331e+07 + i -9.724447e+06 ; -1.167961e+06 + i 1.778136e+06 ; 1.429390e+08 + i -7.957011e+06 ; -3.554507e+06 + i 4.163405e+06 ; 1.018251e+08 + i -2.185953e+07 ; 6.001878e+07 + i 2.222437e+05 ; -1.168091e+06 + i 1.777814e+06 ; 3.635333e+07 + i -9.724437e+06 ; 1.109304e+08 + i -1.224225e+07 ; 7.893634e+07 + i -1.827250e+07 ; 7.893635e+07 + i -1.827250e+07 ; 5.211183e+07 + i -9.974777e+05 ; 3.142327e+07 + i -8.768279e+06 ; 3.142329e+07 + i -8.768264e+06 ; 
-9.279853e+06 + i 1.244865e+07 ; -8.884320e+09 + i 8.744777e+08 ; -9.001088e+06 + i 1.233347e+07 ; 3.970498e+07 + i -3.320393e+07 ; -2.388627e+09 + i 4.168236e+08 ; -4.274082e+06 + i 7.757846e+06 ; -7.318178e+07 + i 5.806940e+07 ; 4.626374e+09 + i -6.870273e+08 ; -7.281231e+07 + i 5.793209e+07 ; 1.223105e+09 + i -1.752412e+08 ; 6.816260e+08 + i -2.840585e+08 ; -3.386428e+07 + i 3.054643e+07 ; -4.561128e+06 + i 7.875560e+06 ; -2.387804e+09 + i 4.160804e+08 ; 4.031866e+07 + i -3.352262e+07 ; 2.572342e+07 + i -2.293479e+07 ; -9.514753e+08 + i 2.417380e+08 ; 2.637861e+07 + i -2.334017e+07 ; -3.423189e+07 + i 3.067473e+07 ; 6.820793e+08 + i -2.842440e+08 ; 1.224449e+09 + i -1.760093e+08 ; 4.739711e+08 + i -8.825359e+07 ; 1.531849e+08 + i -1.441570e+08 ; 4.753220e+08 + i -8.909968e+07 ; -3.727360e+06 + i 3.756739e+06 ; -1.272516e+08 + i 2.967303e+07 ; 9.439286e+05 + i -1.809040e+05 ; -2.445711e+06 + i 1.935584e+06 ; -5.004161e+07 + i 1.206747e+07 ; 6.572226e+05 + i -2.924193e+05 ; 7.467651e+07 + i 1.179899e+05 ; -4.854733e+07 + i -4.183513e+06 ; -4.081140e+05 + i 9.059206e+05 ; 2.103443e+07 + i 2.112491e+06 ; -3.026060e+07 + i 1.672824e+06 ; 2.168920e+05 + i 8.508646e+04 ; -2.203302e+06 + i 2.570318e+06 ; -1.066719e+08 + i 2.598605e+07 ; 3.961746e+06 + i -3.485089e+06 ; -2.032249e+06 + i 1.721792e+06 ; -4.552742e+07 + i 1.128893e+07 ; 1.669455e+06 + i -1.542807e+06 ; 5.844628e+07 + i -1.006969e+06 ; -4.571715e+07 + i -2.292788e+06 ; 2.948513e+07 + i -7.241706e+06 ; 1.830789e+07 + i 1.712157e+06 ; -2.839852e+07 + i 1.881848e+06 ; 8.908074e+06 + i -2.788492e+06 ; 
-9.279533e+06 + i 1.244900e+07 ; -9.001095e+06 + i 1.233347e+07 ; -8.884321e+09 + i 8.744772e+08 ; 3.970502e+07 + i -3.320391e+07 ; -4.274092e+06 + i 7.757842e+06 ; -2.388627e+09 + i 4.168242e+08 ; -4.560900e+06 + i 7.875809e+06 ; 4.031838e+07 + i -3.352287e+07 ; -2.387799e+09 + i 4.160956e+08 ; 2.572359e+07 + i -2.293466e+07 ; 2.637838e+07 + i -2.334035e+07 ; -9.514717e+08 + i 2.417461e+08 ; -7.318185e+07 + i 5.806937e+07 ; -7.281247e+07 + i 5.793195e+07 ; 4.626377e+09 + i -6.870185e+08 ; 1.223105e+09 + i -1.752412e+08 ; -3.386442e+07 + i 3.054631e+07 ; 6.816288e+08 + i -2.840523e+08 ; -3.423181e+07 + i 3.067491e+07 ; 1.224449e+09 + i -1.760093e+08 ; 6.820796e+08 + i -2.842438e+08 ; 4.739711e+08 + i -8.825360e+07 ; 4.753220e+08 + i -8.909968e+07 ; 1.531857e+08 + i -1.441563e+08 ; -3.727452e+06 + i 3.756641e+06 ; 9.439319e+05 + i -1.809036e+05 ; -1.272516e+08 + i 2.967306e+07 ; -2.445710e+06 + i 1.935579e+06 ; 6.572230e+05 + i -2.924196e+05 ; -5.004159e+07 + i 1.206750e+07 ; -2.203402e+06 + i 2.570211e+06 ; 3.961724e+06 + i -3.485104e+06 ; -1.066717e+08 + i 2.598638e+07 ; -2.032261e+06 + i 1.721771e+06 ; 1.669448e+06 + i -1.542810e+06 ; -4.552737e+07 + i 1.128891e+07 ; 7.467651e+07 + i 1.179896e+05 ; -4.081408e+05 + i 9.058978e+05 ; -4.854694e+07 + i -4.182630e+06 ; 2.103443e+07 + i 2.112491e+06 ; 2.168774e+05 + i 8.507513e+04 ; -3.026041e+07 + i 1.673225e+06 ; 5.844620e+07 + i -1.007059e+06 ; 2.948513e+07 + i -7.241706e+06 ; -4.571719e+07 + i -2.292825e+06 ; 1.830788e+07 + i 1.712144e+06 ; 8.908072e+06 + i -2.788493e+06 ; -2.839854e+07 + i 1.881838e+06 ; 
4.622275e+09 + i -6.845275e+08 ; 7.327375e+07 + i -5.828519e+07 ; 7.327400e+07 + i -5.828496e+07 ; -8.899105e+09 + i 8.869114e+08 ; 9.490607e+06 + i -1.233073e+07 ; 9.490486e+06 + i -1.233089e+07 ; 6.784193e+08 + i -2.818582e+08 ; -1.224105e+09 + i 1.765553e+08 ; 3.432873e+07 + i -3.083471e+07 ; -2.398777e+09 + i 4.258893e+08 ; -3.717265e+07 + i 3.098977e+07 ; 4.820127e+06 + i -7.808575e+06 ; 6.784199e+08 + i -2.818577e+08 ; 3.432986e+07 + i -3.083088e+07 ; -1.224105e+09 + i 1.765553e+08 ; -2.398776e+09 + i 4.258895e+08 ; 4.820824e+06 + i -7.806989e+06 ; -3.717276e+07 + i 3.098971e+07 ; 1.503563e+08 + i -1.420894e+08 ; -4.744960e+08 + i 8.868809e+07 ; -4.744961e+08 + i 8.868797e+07 ; -9.590929e+08 + i 2.489917e+08 ; -2.345883e+07 + i 2.091189e+07 ; -2.345905e+07 + i 2.091170e+07 ; 9.028677e+08 + i -1.413760e+08 ; -2.476028e+07 + i 2.010546e+07 ; -2.476035e+07 + i 2.010539e+07 ; 1.843184e+08 + i 3.472091e+06 ; -9.165641e+06 + i 9.101453e+06 ; -9.165640e+06 + i 9.101470e+06 ; 4.066735e+08 + i -9.045019e+07 ; 3.800348e+08 + i -5.714751e+07 ; -1.653933e+07 + i 1.430495e+07 ; 1.429402e+08 + i -7.955521e+06 ; 1.045693e+08 + i -2.432260e+07 ; -7.062045e+06 + i 7.364132e+06 ; 4.066732e+08 + i -9.045047e+07 ; -1.653971e+07 + i 1.430373e+07 ; 3.800348e+08 + i -5.714747e+07 ; 1.429401e+08 + i -7.955653e+06 ; -7.062346e+06 + i 7.363342e+06 ; 1.045694e+08 + i -2.432256e+07 ; 2.096610e+08 + i -6.209570e+07 ; 2.249144e+08 + i -3.884836e+07 ; 2.249145e+08 + i -3.884830e+07 ; 1.109303e+08 + i -1.224352e+07 ; 8.035117e+07 + i -1.972400e+07 ; 8.035125e+07 + i -1.972393e+07 ; 
-4.138098e+07 + i 3.449943e+07 ; -2.388624e+09 + i 4.168272e+08 ; -4.210412e+06 + i 7.732388e+06 ; 6.375842e+06 + i -9.993600e+06 ; -8.887888e+09 + i 8.774228e+08 ; -8.881350e+06 + i 1.232657e+07 ; -1.228356e+09 + i 1.825984e+08 ; 6.816262e+08 + i -2.840584e+08 ; -3.378162e+07 + i 3.055905e+07 ; 6.717253e+07 + i -5.386962e+07 ; 4.625368e+09 + i -6.868879e+08 ; -7.271784e+07 + i 5.806909e+07 ; -2.728956e+07 + i 2.410354e+07 ; -9.514735e+08 + i 2.417397e+08 ; 2.642586e+07 + i -2.342486e+07 ; 2.076955e+06 + i -5.699862e+06 ; -2.391081e+09 + i 4.188166e+08 ; 4.079362e+07 + i -3.405447e+07 ; -4.774093e+08 + i 9.205661e+07 ; 1.531848e+08 + i -1.441571e+08 ; 4.755756e+08 + i -8.970035e+07 ; 2.927978e+07 + i -2.696062e+07 ; 6.810045e+08 + i -2.840180e+08 ; 1.225783e+09 + i -1.780840e+08 ; 1.547067e+07 + i -1.220412e+07 ; -4.580823e+08 + i 7.851447e+07 ; 3.626574e+05 + i 9.303415e+05 ; 1.862884e+06 + i 3.995247e+05 ; -1.272519e+08 + i 2.967113e+07 ; 6.384141e+05 + i 1.203469e+05 ; 3.778357e+08 + i -5.543721e+07 ; -2.291750e+07 + i -3.138191e+07 ; -6.293680e+06 + i 5.888582e+06 ; 7.101232e+07 + i 3.425875e+06 ; -4.854713e+07 + i -4.183484e+06 ; -1.298914e+06 + i 1.739861e+06 ; 1.234477e+07 + i -1.004101e+07 ; -3.097232e+08 + i 6.176882e+07 ; 8.950059e+06 + i -7.604541e+06 ; 2.344822e+06 + i -2.217465e+05 ; -1.066722e+08 + i 2.598437e+07 ; 3.841088e+06 + i -3.529191e+06 ; 2.232785e+08 + i -3.738368e+07 ; -4.839862e+07 + i -1.971009e+07 ; 1.314632e+08 + i -2.370834e+07 ; 5.754799e+07 + i 3.352797e+05 ; -4.571698e+07 + i -2.292754e+06 ; 3.068672e+07 + i -8.290834e+06 ; 
-4.138100e+07 + i 3.449941e+07 ; -4.210426e+06 + i 7.732384e+06 ; -2.388624e+09 + i 4.168280e+08 ; 6.375625e+06 + i -9.993846e+06 ; -8.881354e+06 + i 1.232657e+07 ; -8.887889e+09 + i 8.774223e+08 ; -2.728967e+07 + i 2.410343e+07 ; 2.642564e+07 + i -2.342504e+07 ; -9.514698e+08 + i 2.417479e+08 ; 2.076805e+06 + i -5.700034e+06 ; 4.079333e+07 + i -3.405471e+07 ; -2.391076e+09 + i 4.188319e+08 ; -1.228356e+09 + i 1.825984e+08 ; -3.378176e+07 + i 3.055893e+07 ; 6.816290e+08 + i -2.840522e+08 ; 6.717259e+07 + i -5.386959e+07 ; -7.271801e+07 + i 5.806894e+07 ; 4.625372e+09 + i -6.868790e+08 ; -4.774093e+08 + i 9.205662e+07 ; 4.755756e+08 + i -8.970036e+07 ; 1.531859e+08 + i -1.441562e+08 ; 2.927974e+07 + i -2.696071e+07 ; 1.225783e+09 + i -1.780840e+08 ; 6.810047e+08 + i -2.840179e+08 ; 1.547065e+07 + i -1.220413e+07 ; 3.626628e+05 + i 9.303426e+05 ; -4.580825e+08 + i 7.851423e+07 ; 1.862942e+06 + i 3.995888e+05 ; 6.384141e+05 + i 1.203464e+05 ; -1.272519e+08 + i 2.967112e+07 ; 1.234474e+07 + i -1.004103e+07 ; 8.950007e+06 + i -7.604583e+06 ; -3.097227e+08 + i 6.177011e+07 ; 2.344860e+06 + i -2.217096e+05 ; 3.841065e+06 + i -3.529205e+06 ; -1.066720e+08 + i 2.598449e+07 ; 3.778357e+08 + i -5.543722e+07 ; -6.293728e+06 + i 5.888539e+06 ; -2.291675e+07 + i -3.137997e+07 ; 7.101231e+07 + i 3.425868e+06 ; -1.298943e+06 + i 1.739837e+06 ; -4.854671e+07 + i -4.182559e+06 ; 2.232784e+08 + i -3.738370e+07 ; 1.314632e+08 + i -2.370834e+07 ; -4.839878e+07 + i -1.971027e+07 ; 5.754799e+07 + i 3.352967e+05 ; 3.068672e+07 + i -8.290834e+06 ; -4.571701e+07 + i -2.292787e+06 ; 
-2.388721e+09 + i 4.163200e+08 ; -4.021846e+07 + i 3.289958e+07 ; -4.169482e+06 + i 7.712456e+06 ; 6.784703e+08 + i -2.820543e+08 ; -1.227767e+09 + i 1.825573e+08 ; -3.371188e+07 + i 3.059209e+07 ; -8.885289e+09 + i 8.746974e+08 ; 8.883762e+06 + i -1.225313e+07 ; -8.878272e+06 + i 1.229215e+07 ; 4.622285e+09 + i -6.845019e+08 ; 7.232719e+07 + i -5.728791e+07 ; -7.265405e+07 + i 5.805890e+07 ; -9.515597e+08 + i 2.412728e+08 ; -2.644470e+07 + i 2.340173e+07 ; 2.650524e+07 + i -2.350992e+07 ; 1.503701e+08 + i -1.421738e+08 ; -4.768654e+08 + i 9.199656e+07 ; 4.762284e+08 + i -9.035986e+07 ; -2.388728e+09 + i 4.163074e+08 ; 4.171420e+06 + i -7.693940e+06 ; 4.053027e+07 + i -3.381729e+07 ; 6.784237e+08 + i -2.818511e+08 ; 3.364581e+07 + i -3.051377e+07 ; 1.225970e+09 + i -1.784290e+08 ; 1.429400e+08 + i -7.978300e+06 ; -1.020090e+08 + i 2.239582e+07 ; -3.551510e+06 + i 4.171845e+06 ; 6.002015e+07 + i 2.177833e+05 ; -3.641130e+07 + i 9.927018e+06 ; -1.166521e+06 + i 1.780983e+06 ; 1.843154e+08 + i 3.466157e+06 ; 4.866941e+06 + i -5.218204e+06 ; -4.886921e+06 + i 5.252410e+06 ; 6.956083e+07 + i 1.774011e+06 ; 1.477145e+06 + i -2.057467e+06 ; -1.485471e+06 + i 2.073342e+06 ; 1.109314e+08 + i -1.225731e+07 ; -7.907270e+07 + i 1.869225e+07 ; 7.897189e+07 + i -1.838432e+07 ; 5.211297e+07 + i -1.001287e+06 ; -3.147169e+07 + i 8.944372e+06 ; 3.143558e+07 + i -8.813882e+06 ; 1.429393e+08 + i -7.956716e+06 ; 3.536731e+06 + i -4.145482e+06 ; 1.018731e+08 + i -2.200252e+07 ; 6.001877e+07 + i 2.219466e+05 ; 1.159604e+06 + i -1.766712e+06 ; 3.636806e+07 + i -9.776904e+06 ; 
7.288230e+07 + i -5.708199e+07 ; 4.626370e+09 + i -6.870273e+08 ; 7.279380e+07 + i -5.806557e+07 ; -1.223744e+09 + i 1.767208e+08 ; 6.816743e+08 + i -2.842574e+08 ; 3.385128e+07 + i -3.061102e+07 ; 9.288766e+06 + i -1.241646e+07 ; -8.884322e+09 + i 8.744765e+08 ; 8.993545e+06 + i -1.235248e+07 ; -3.941187e+07 + i 3.216224e+07 ; -2.388634e+09 + i 4.168023e+08 ; 4.268481e+06 + i -7.767969e+06 ; 3.418264e+07 + i -3.049789e+07 ; 6.820762e+08 + i -2.842518e+08 ; -1.225134e+09 + i 1.776645e+08 ; -4.742019e+08 + i 8.882657e+07 ; 1.531996e+08 + i -1.442410e+08 ; -4.755621e+08 + i 8.975759e+07 ; 4.569248e+06 + i -7.849819e+06 ; -2.387804e+09 + i 4.160798e+08 ; -4.030661e+07 + i 3.359763e+07 ; -2.567766e+07 + i 2.274394e+07 ; -9.514774e+08 + i 2.417331e+08 ; -2.636895e+07 + i 2.339029e+07 ; -7.471529e+07 + i -5.932459e+04 ; -4.854200e+07 + i -4.193501e+06 ; 4.072560e+05 + i -9.071102e+05 ; -2.104538e+07 + i -2.101407e+06 ; -3.025918e+07 + i 1.668139e+06 ; -2.171632e+05 + i -8.487676e+04 ; 3.743748e+06 + i -3.803309e+06 ; -1.272508e+08 + i 2.967492e+07 ; -9.443084e+05 + i 1.823079e+05 ; 2.452218e+06 + i -1.953917e+06 ; -5.004129e+07 + i 1.206842e+07 ; -6.573060e+05 + i 2.934885e+05 ; -5.847613e+07 + i 1.052182e+06 ; -4.571315e+07 + i -2.301653e+06 ; -2.949789e+07 + i 7.283784e+06 ; -1.831736e+07 + i -1.702678e+06 ; -2.839729e+07 + i 1.877661e+06 ; -8.911180e+06 + i 2.801649e+06 ; 2.214409e+06 + i -2.607339e+06 ; -1.066713e+08 + i 2.598715e+07 ; -3.960331e+06 + i 3.492597e+06 ; 2.037665e+06 + i -1.737850e+06 ; -4.552714e+07 + i 1.128965e+07 ; -1.668765e+06 + i 1.546026e+06 ; 
-4.555532e+06 + i 7.881955e+06 ; -4.027685e+07 + i 3.378995e+07 ; -2.387795e+09 + i 4.161001e+08 ; 2.571495e+07 + i -2.298035e+07 ; -2.634510e+07 + i 2.351921e+07 ; -9.514692e+08 + i 2.417484e+08 ; -9.272875e+06 + i 1.246464e+07 ; 8.972890e+06 + i -1.240105e+07 ; -8.884322e+09 + i 8.744766e+08 ; 3.969375e+07 + i -3.327253e+07 ; 4.254334e+06 + i -7.788240e+06 ; -2.388627e+09 + i 4.168247e+08 ; -3.416518e+07 + i 3.055230e+07 ; -1.226907e+09 + i 1.818735e+08 ; 6.820798e+08 + i -2.842437e+08 ; 4.742117e+08 + i -8.891410e+07 ; -4.762067e+08 + i 9.148698e+07 ; 1.531859e+08 + i -1.441562e+08 ; -7.316748e+07 + i 5.818416e+07 ; 7.275166e+07 + i -5.839789e+07 ; 4.626377e+09 + i -6.870185e+08 ; 1.223730e+09 + i -1.767659e+08 ; 3.376754e+07 + i -3.058527e+07 ; 6.816287e+08 + i -2.840523e+08 ; -2.202167e+06 + i 2.574342e+06 ; -3.956732e+06 + i 3.512548e+06 ; -1.066715e+08 + i 2.598649e+07 ; -2.031653e+06 + i 1.725453e+06 ; -1.666970e+06 + i 1.554718e+06 ; -4.552736e+07 + i 1.128891e+07 ; -3.725387e+06 + i 3.764233e+06 ; -9.452926e+05 + i 1.869483e+05 ; -1.272516e+08 + i 2.967313e+07 ; -2.445063e+06 + i 1.939986e+06 ; -6.574634e+05 + i 2.968110e+05 ; -5.004156e+07 + i 1.206755e+07 ; 5.848528e+07 + i -1.078664e+06 ; -2.953422e+07 + i 7.401266e+06 ; -4.571721e+07 + i -2.292828e+06 ; 1.832258e+07 + i 1.691823e+06 ; -8.920395e+06 + i 2.839349e+06 ; -2.839855e+07 + i 1.881836e+06 ; 7.472745e+07 + i 3.343169e+04 ; 4.013444e+05 + i -8.953455e+05 ; -4.854695e+07 + i -4.182630e+06 ; 2.105112e+07 + i 2.090002e+06 ; -2.189713e+05 + i -7.902243e+04 ; -3.026041e+07 + i 1.673225e+06 ; 
6.784580e+08 + i -2.821188e+08 ; 1.226534e+09 + i -1.825185e+08 ; 3.431241e+07 + i -3.090375e+07 ; -2.398776e+09 + i 4.258938e+08 ; 3.689868e+07 + i -2.978479e+07 ; 4.812941e+06 + i -7.821083e+06 ; 4.622285e+09 + i -6.845016e+08 ; -7.297345e+07 + i 5.731130e+07 ; 7.325177e+07 + i -5.842389e+07 ; -8.899105e+09 + i 8.869112e+08 ; -9.467365e+06 + i 1.239155e+07 ; 9.481286e+06 + i -1.235249e+07 ; 1.503637e+08 + i -1.422000e+08 ; 4.753595e+08 + i -9.102578e+07 ; -4.747289e+08 + i 8.937789e+07 ; -9.590896e+08 + i 2.490003e+08 ; 2.340542e+07 + i -2.076697e+07 ; -2.344885e+07 + i 2.095798e+07 ; 6.784236e+08 + i -2.818517e+08 ; -3.426135e+07 + i 3.075847e+07 ; -1.224774e+09 + i 1.782967e+08 ; -2.398777e+09 + i 4.258892e+08 ; -4.815183e+06 + i 7.813409e+06 ; -3.715931e+07 + i 3.106147e+07 ; 4.066618e+08 + i -9.036866e+07 ; -3.807534e+08 + i 5.893795e+07 ; -1.653236e+07 + i 1.433761e+07 ; 1.429362e+08 + i -7.937991e+06 ; -1.047243e+08 + i 2.481701e+07 ; -7.057335e+06 + i 7.379057e+06 ; 9.028673e+08 + i -1.413771e+08 ; 2.478173e+07 + i -2.054567e+07 ; -2.475236e+07 + i 2.015256e+07 ; 1.843173e+08 + i 3.469849e+06 ; 9.157984e+06 + i -9.243764e+06 ; -9.160539e+06 + i 9.120136e+06 ; 2.096559e+08 + i -6.204512e+07 ; -2.253166e+08 + i 3.992314e+07 ; 2.250290e+08 + i -3.917298e+07 ; 1.109276e+08 + i -1.222928e+07 ; -8.046581e+07 + i 2.010656e+07 ; 8.038450e+07 + i -1.984422e+07 ; 4.066727e+08 + i -9.045142e+07 ; 1.653892e+07 + i -1.455649e+07 ; 3.802395e+08 + i -5.768982e+07 ; 1.429392e+08 + i -7.957278e+06 ; 7.053999e+06 + i -7.471561e+06 ; 1.046144e+08 + i -2.447813e+07 ; 
1.228950e+09 + i -1.842342e+08 ; 6.816636e+08 + i -2.843196e+08 ; 3.376638e+07 + i -3.062586e+07 ; -6.692009e+07 + i 5.252958e+07 ; 4.625369e+09 + i -6.868814e+08 ; 7.269482e+07 + i -5.820759e+07 ; 4.113391e+07 + i -3.311975e+07 ; -2.388635e+09 + i 4.168008e+08 ; 4.204270e+06 + i -7.742692e+06 ; -6.375961e+06 + i 9.991170e+06 ; -8.887888e+09 + i 8.774234e+08 ; 8.872877e+06 + i -1.234601e+07 ; 4.776267e+08 + i -9.267969e+07 ; 1.531933e+08 + i -1.442664e+08 ; -4.758079e+08 + i 9.039245e+07 ; -2.924643e+07 + i 2.670488e+07 ; 6.810033e+08 + i -2.840235e+08 ; -1.226451e+09 + i 1.798288e+08 ; 2.725712e+07 + i -2.384782e+07 ; -9.514768e+08 + i 2.417338e+08 ; -2.641442e+07 + i 2.347692e+07 ; -2.088953e+06 + i 5.668516e+06 ; -2.391081e+09 + i 4.188166e+08 ; -4.077878e+07 + i 3.413327e+07 ; -3.780295e+08 + i 5.603916e+07 ; -2.292979e+07 + i -3.130133e+07 ; 6.290462e+06 + i -5.901270e+06 ; -7.107435e+07 + i -3.301520e+06 ; -4.854923e+07 + i -4.162182e+06 ; 1.297563e+06 + i -1.742849e+06 ; -1.551163e+07 + i 1.250959e+07 ; -4.580822e+08 + i 7.851500e+07 ; -3.639500e+05 + i -9.303270e+05 ; -1.883297e+06 + i -3.437710e+05 ; -1.272524e+08 + i 2.967082e+07 ; -6.389452e+05 + i -1.194999e+05 ; -2.233852e+08 + i 3.774440e+07 ; -4.840382e+07 + i -1.966008e+07 ; -1.315288e+08 + i 2.389886e+07 ; -5.759411e+07 + i -2.328816e+05 ; -4.571811e+07 + i -2.275971e+06 ; -3.069842e+07 + i 8.337336e+06 ; -1.236013e+07 + i 1.020460e+07 ; -3.097230e+08 + i 6.176923e+07 ; -8.946635e+06 + i 7.621925e+06 ; -2.358565e+06 + i 2.684702e+05 ; -1.066725e+08 + i 2.598426e+07 ; -3.839265e+06 + i 3.536848e+06 ; 
