-1.063838e+10 + i 1.747336e+09 ; -2.359336e+07 + i 4.368387e+07 ; -2.359176e+07 + i 4.368619e+07 ; 5.864897e+09 + i -1.433340e+09 ; -1.591000e+08 + i 1.437247e+08 ; -1.591053e+08 + i 1.437207e+08 ; -3.113023e+09 + i 9.271888e+08 ; 8.935572e+07 + i -8.797056e+07 ; -1.196115e+07 + i 3.105285e+07 ; 1.110610e+09 + i -6.975236e+08 ; 1.550654e+09 + i -3.568389e+08 ; -7.697831e+07 + i 8.476528e+07 ; -3.113024e+09 + i 9.271904e+08 ; -1.197131e+07 + i 3.103521e+07 ; 8.935872e+07 + i -8.796937e+07 ; 1.110613e+09 + i -6.975190e+08 ; -7.698959e+07 + i 8.473092e+07 ; 1.550656e+09 + i -3.568377e+08 ; -1.338340e+09 + i 5.873469e+08 ; 5.931561e+07 + i -6.473568e+07 ; 5.932097e+07 + i -6.473214e+07 ; 3.454712e+08 + i -4.119723e+08 ; 6.314185e+08 + i -1.948645e+08 ; 6.314209e+08 + i -1.948626e+08 ; 1.932455e+08 + i 2.894931e+07 ; -1.161050e+07 + i 1.658655e+07 ; -1.161206e+07 + i 1.658524e+07 ; 6.986344e+07 + i 6.441265e+06 ; -3.658548e+06 + i 7.690651e+06 ; -3.658964e+06 + i 7.690477e+06 ; 1.667399e+08 + i 2.559015e+06 ; 1.386092e+08 + i -4.902161e+07 ; -8.608742e+06 + i 1.395651e+07 ; 6.231773e+07 + i 5.321038e+06 ; 5.185633e+07 + i -2.342877e+07 ; -2.903972e+06 + i 6.898839e+06 ; 1.667423e+08 + i 2.560698e+06 ; -8.611262e+06 + i 1.394998e+07 ; 1.386100e+08 + i -4.902128e+07 ; 6.231781e+07 + i 5.321139e+06 ; -2.905551e+06 + i 6.895729e+06 ; 5.185684e+07 + i -2.342861e+07 ; 1.393504e+08 + i -9.861984e+06 ; 1.091562e+08 + i -4.194415e+07 ; 1.091565e+08 + i -4.194409e+07 ; 5.603811e+07 + i 3.865569e+06 ; 4.524784e+07 + i -2.142522e+07 ; 4.524824e+07 + i -2.142499e+07 ; 
-2.436712e+07 + i 4.374602e+07 ; -1.063673e+10 + i 1.748163e+09 ; -2.385945e+07 + i 4.372426e+07 ; 8.759020e+07 + i -8.701208e+07 ; -3.113119e+09 + i 9.301433e+08 ; -1.217410e+07 + i 3.112397e+07 ; -1.600327e+08 + i 1.433835e+08 ; 5.873491e+09 + i -1.437441e+09 ; -1.594059e+08 + i 1.433897e+08 ; 1.546067e+09 + i -3.535555e+08 ; 1.117550e+09 + i -7.018957e+08 ; -7.726290e+07 + i 8.453005e+07 ; -1.273585e+07 + i 3.110504e+07 ; -3.111392e+09 + i 9.279689e+08 ; 8.885563e+07 + i -8.731002e+07 ; 5.762344e+07 + i -6.375897e+07 ; -1.338396e+09 + i 5.901229e+08 ; 5.902767e+07 + i -6.439923e+07 ; -7.793089e+07 + i 8.443342e+07 ; 1.118542e+09 + i -7.017879e+08 ; 1.548777e+09 + i -3.546842e+08 ; 6.271312e+08 + i -1.916956e+08 ; 3.517836e+08 + i -4.163567e+08 ; 6.299287e+08 + i -1.931804e+08 ; -8.749612e+06 + i 1.129769e+07 ; -1.742228e+08 + i 7.252573e+07 ; 1.910734e+06 + i 1.300819e+06 ; -5.705724e+06 + i 4.405751e+06 ; -6.842888e+07 + i 3.025151e+07 ; 1.487193e+06 + i 7.940716e+04 ; 7.927810e+07 + i 6.683754e+06 ; -4.903952e+07 + i -2.481564e+07 ; -1.114366e+06 + i 3.959692e+06 ; 1.866846e+07 + i 5.022342e+06 ; -3.664992e+07 + i -3.565686e+06 ; 4.758719e+05 + i 1.057039e+06 ; -5.392754e+06 + i 8.473032e+06 ; -1.471128e+08 + i 6.465899e+07 ; 8.759580e+06 + i -9.603165e+06 ; -4.916334e+06 + i 4.153776e+06 ; -6.255040e+07 + i 2.849833e+07 ; 3.702442e+06 + i -4.440472e+06 ; 6.386409e+07 + i 3.489638e+06 ; -4.882485e+07 + i -1.983368e+07 ; 4.122917e+07 + i -1.701387e+07 ; 1.643618e+07 + i 4.522082e+06 ; -3.496018e+07 + i -2.753987e+06 ; 1.317231e+07 + i -6.989930e+06 ; 
-2.436254e+07 + i 4.375105e+07 ; -2.385964e+07 + i 4.372419e+07 ; -1.063675e+10 + i 1.748154e+09 ; 8.759112e+07 + i -8.701169e+07 ; -1.217432e+07 + i 3.112384e+07 ; -3.113115e+09 + i 9.301524e+08 ; -1.273258e+07 + i 3.110858e+07 ; 8.885074e+07 + i -8.731387e+07 ; -3.111343e+09 + i 9.281030e+08 ; 5.762654e+07 + i -6.375682e+07 ; 5.902355e+07 + i -6.440208e+07 ; -1.338352e+09 + i 5.902031e+08 ; -1.600345e+08 + i 1.433829e+08 ; -1.594087e+08 + i 1.433875e+08 ; 5.873530e+09 + i -1.437360e+09 ; 1.546066e+09 + i -3.535556e+08 ; -7.726543e+07 + i 8.452813e+07 ; 1.117587e+09 + i -7.018347e+08 ; -7.793096e+07 + i 8.443532e+07 ; 1.548777e+09 + i -3.546841e+08 ; 1.118548e+09 + i -7.017845e+08 ; 6.271309e+08 + i -1.916959e+08 ; 6.299284e+08 + i -1.931806e+08 ; 3.517966e+08 + i -4.163450e+08 ; -8.750987e+06 + i 1.129629e+07 ; 1.910846e+06 + i 1.300824e+06 ; -1.742237e+08 + i 7.252610e+07 ; -5.705617e+06 + i 4.405701e+06 ; 1.487214e+06 + i 7.939684e+04 ; -6.842863e+07 + i 3.025196e+07 ; -5.394256e+06 + i 8.471538e+06 ; 8.759119e+06 + i -9.603397e+06 ; -1.471100e+08 + i 6.466264e+07 ; -4.916394e+06 + i 4.153533e+06 ; 3.702267e+06 + i -4.440513e+06 ; -6.254938e+07 + i 2.849854e+07 ; 7.927803e+07 + i 6.683723e+06 ; -1.114836e+06 + i 3.959331e+06 ; -4.903413e+07 + i -2.480715e+07 ; 1.866856e+07 + i 5.022334e+06 ; 4.755958e+05 + i 1.056854e+06 ; -3.664714e+07 + i -3.561758e+06 ; 6.386303e+07 + i 3.488396e+06 ; 4.122916e+07 + i -1.701386e+07 ; -4.882553e+07 + i -1.983434e+07 ; 1.643617e+07 + i 4.521912e+06 ; 1.317225e+07 + i -6.989938e+06 ; -3.496044e+07 + i -2.754236e+06 ; 
5.864831e+09 + i -1.433401e+09 ; 1.603752e+08 + i -1.443141e+08 ; 1.603796e+08 + i -1.443104e+08 ; -1.066919e+10 + i 1.781082e+09 ; 2.463944e+07 + i -4.269272e+07 ; 2.463819e+07 + i -4.269495e+07 ; 1.110585e+09 + i -6.975452e+08 ; -1.549067e+09 + i 3.577668e+08 ; 7.825658e+07 + i -8.501434e+07 ; -3.135913e+09 + i 9.552886e+08 ; -8.192913e+07 + i 8.101259e+07 ; 1.313715e+07 + i -3.018830e+07 ; 1.110594e+09 + i -6.975380e+08 ; 7.826748e+07 + i -8.498106e+07 ; -1.549069e+09 + i 3.577655e+08 ; -3.135908e+09 + i 9.552918e+08 ; 1.314586e+07 + i -3.017244e+07 ; -8.193162e+07 + i 8.101148e+07 ; 3.454757e+08 + i -4.119746e+08 ; -6.284337e+08 + i 1.927198e+08 ; -6.284359e+08 + i 1.927180e+08 ; -1.355802e+09 + i 6.112792e+08 ; -5.255747e+07 + i 5.813858e+07 ; -5.256129e+07 + i 5.813559e+07 ; 1.154152e+09 + i -3.058632e+08 ; -5.474293e+07 + i 5.061085e+07 ; -5.474399e+07 + i 5.060977e+07 ; 1.932913e+08 + i 2.901328e+07 ; -2.162610e+07 + i 2.706611e+07 ; -2.162631e+07 + i 2.706628e+07 ; 5.557467e+08 + i -2.101515e+08 ; 4.842691e+08 + i -1.170755e+08 ; -3.739531e+07 + i 3.807839e+07 ; 1.667625e+08 + i 2.580073e+06 ; 1.449519e+08 + i -5.582975e+07 ; -1.684687e+07 + i 2.275105e+07 ; 5.557423e+08 + i -2.101555e+08 ; -3.739922e+07 + i 3.806766e+07 ; 4.842703e+08 + i -1.170747e+08 ; 1.667605e+08 + i 2.578154e+06 ; -1.685039e+07 + i 2.274356e+07 ; 1.449531e+08 + i -5.582903e+07 ; 3.061014e+08 + i -1.539914e+08 ; 2.935803e+08 + i -8.268941e+07 ; 2.935814e+08 + i -8.268856e+07 ; 1.393499e+08 + i -9.870736e+06 ; 1.126033e+08 + i -4.638386e+07 ; 1.126047e+08 + i -4.638271e+07 ; 
-9.099955e+07 + i 9.041037e+07 ; -3.113075e+09 + i 9.301917e+08 ; -1.197431e+07 + i 3.118051e+07 ; 1.756602e+07 + i -3.758857e+07 ; -1.064438e+10 + i 1.755953e+09 ; -2.352119e+07 + i 4.406470e+07 ; -1.561332e+09 + i 3.786433e+08 ; 1.117554e+09 + i -7.018950e+08 ; -7.700899e+07 + i 8.490104e+07 ; 1.467718e+08 + i -1.352347e+08 ; 5.871645e+09 + i -1.438916e+09 ; -1.591679e+08 + i 1.445275e+08 ; -6.086226e+07 + i 6.658896e+07 ; -1.338366e+09 + i 5.901469e+08 ; 5.907340e+07 + i -6.483021e+07 ; 6.876638e+06 + i -2.541656e+07 ; -3.118424e+09 + i 9.352934e+08 ; 8.988570e+07 + i -8.916025e+07 ; -6.357537e+08 + i 2.036546e+08 ; 3.517823e+08 + i -4.163587e+08 ; 6.308361e+08 + i -1.956694e+08 ; 6.684252e+07 + i -7.628215e+07 ; 1.116504e+09 + i -7.029913e+08 ; 1.552797e+09 + i -3.621050e+08 ; 3.381789e+07 + i -2.996761e+07 ; -5.935244e+08 + i 1.767833e+08 ; 1.150054e+05 + i 5.701916e+06 ; 2.590570e+06 + i 5.850086e+06 ; -1.742237e+08 + i 7.251137e+07 ; 1.247741e+06 + i 2.248840e+06 ; 4.798146e+08 + i -1.125968e+08 ; 1.656470e+07 + i -9.242673e+07 ; -1.428195e+07 + i 1.700773e+07 ; 7.090905e+07 + i 1.594265e+07 ; -4.903566e+07 + i -2.481377e+07 ; -3.166980e+06 + i 6.334584e+06 ; 2.729968e+07 + i -2.535023e+07 ; -4.123412e+08 + i 1.443217e+08 ; 1.971815e+07 + i -2.028024e+07 ; 3.992066e+06 + i 3.897209e+06 ; -1.471133e+08 + i 6.464589e+07 ; 8.576534e+06 + i -1.010047e+07 ; 2.901440e+08 + i -7.834895e+07 ; -2.769073e+07 + i -6.785625e+07 ; 1.727500e+08 + i -5.130975e+07 ; 6.134452e+07 + i 8.471129e+06 ; -4.882150e+07 + i -1.983205e+07 ; 4.391860e+07 + i -1.986889e+07 ; 
-9.099977e+07 + i 9.041013e+07 ; -1.197467e+07 + i 3.118040e+07 ; -3.113066e+09 + i 9.302026e+08 ; 1.756306e+07 + i -3.759209e+07 ; -2.352125e+07 + i 4.406462e+07 ; -1.064440e+10 + i 1.755944e+09 ; -6.086402e+07 + i 6.658726e+07 ; 5.906919e+07 + i -6.483305e+07 ; -1.338319e+09 + i 5.902287e+08 ; 6.874621e+06 + i -2.541901e+07 ; 8.988064e+07 + i -8.916415e+07 ; -3.118375e+09 + i 9.354289e+08 ; -1.561332e+09 + i 3.786434e+08 ; -7.701161e+07 + i 8.489913e+07 ; 1.117593e+09 + i -7.018335e+08 ; 1.467732e+08 + i -1.352341e+08 ; -1.591708e+08 + i 1.445251e+08 ; 5.871686e+09 + i -1.438833e+09 ; -6.357534e+08 + i 2.036549e+08 ; 6.308357e+08 + i -1.956696e+08 ; 3.518016e+08 + i -4.163443e+08 ; 6.684259e+07 + i -7.628310e+07 ; 1.552797e+09 + i -3.621050e+08 ; 1.116509e+09 + i -7.029884e+08 ; 3.381741e+07 + i -2.996775e+07 ; 1.151689e+05 + i 5.701942e+06 ; -5.935285e+08 + i 1.767798e+08 ; 2.591416e+06 + i 5.850992e+06 ; 1.247757e+06 + i 2.248821e+06 ; -1.742241e+08 + i 7.251122e+07 ; 2.729908e+07 + i -2.535055e+07 ; 1.971718e+07 + i -2.028088e+07 ; -4.123352e+08 + i 1.443337e+08 ; 3.992646e+06 + i 3.897759e+06 ; 8.576036e+06 + i -1.010071e+07 ; -1.471110e+08 + i 6.464755e+07 ; 4.798144e+08 + i -1.125969e+08 ; -1.428278e+07 + i 1.700707e+07 ; 1.657452e+07 + i -9.240869e+07 ; 7.090872e+07 + i 1.594249e+07 ; -3.167525e+06 + i 6.334204e+06 ; -4.902987e+07 + i -2.480482e+07 ; 2.901433e+08 + i -7.834931e+07 ; 1.727501e+08 + i -5.130970e+07 ; -2.769291e+07 + i -6.785894e+07 ; 6.134446e+07 + i 8.471270e+06 ; 4.391852e+07 + i -1.986891e+07 ; -4.882195e+07 + i -1.983265e+07 ; 
-3.112947e+09 + i 9.273137e+08 ; -8.801836e+07 + i 8.446445e+07 ; -1.186733e+07 + i 3.118384e+07 ; 1.110783e+09 + i -6.985044e+08 ; -1.560436e+09 + i 3.795920e+08 ; -7.684645e+07 + i 8.528518e+07 ; -1.063842e+10 + i 1.747303e+09 ; 2.352579e+07 + i -4.360421e+07 ; -2.349248e+07 + i 4.388634e+07 ; 5.864950e+09 + i -1.433161e+09 ; 1.576908e+08 + i -1.416195e+08 ; -1.589939e+08 + i 1.446740e+08 ; -1.338268e+09 + i 5.874634e+08 ; -5.898864e+07 + i 6.476922e+07 ; 5.923620e+07 + i -6.511879e+07 ; 3.454885e+08 + i -4.124413e+08 ; -6.348381e+08 + i 2.045038e+08 ; 6.323305e+08 + i -1.977040e+08 ; -3.113051e+09 + i 9.271793e+08 ; 1.188248e+07 + i -3.105782e+07 ; 8.926221e+07 + i -8.852739e+07 ; 1.110647e+09 + i -6.974653e+08 ; 7.656972e+07 + i -8.516675e+07 ; 1.553335e+09 + i -3.635028e+08 ; 1.667223e+08 + i 2.424304e+06 ; -1.393042e+08 + i 5.139475e+07 ; -8.576093e+06 + i 1.402725e+07 ; 6.232510e+07 + i 5.300836e+06 ; -5.205169e+07 + i 2.439602e+07 ; -2.884314e+06 + i 6.928516e+06 ; 1.932494e+08 + i 2.895219e+07 ; 1.146813e+07 + i -1.657626e+07 ; -1.158401e+07 + i 1.666855e+07 ; 6.986514e+07 + i 6.438777e+06 ; 3.583438e+06 + i -7.676284e+06 ; -3.641495e+06 + i 7.722977e+06 ; 1.393355e+08 + i -9.956920e+06 ; -1.096586e+08 + i 4.384834e+07 ; 1.092831e+08 + i -4.245671e+07 ; 5.604394e+07 + i 3.847906e+06 ; -4.540525e+07 + i 2.227873e+07 ; 4.528590e+07 + i -2.164790e+07 ; 1.667478e+08 + i 2.564598e+06 ; 8.487324e+06 + i -1.395367e+07 ; 1.387861e+08 + i -4.966122e+07 ; 6.231908e+07 + i 5.318956e+06 ; 2.835583e+06 + i -6.883128e+06 ; 5.190377e+07 + i -2.368117e+07 ; 
1.589051e+08 + i -1.387957e+08 ; 5.873425e+09 + i -1.437469e+09 ; 1.592828e+08 + i -1.443509e+08 ; -1.548651e+09 + i 3.593332e+08 ; 1.117704e+09 + i -7.028912e+08 ; 7.714821e+07 + i -8.503262e+07 ; 2.446535e+07 + i -4.347490e+07 ; -1.063677e+10 + i 1.748143e+09 ; 2.377645e+07 + i -4.390776e+07 ; -8.649648e+07 + i 8.204390e+07 ; -3.113186e+09 + i 9.299604e+08 ; 1.210480e+07 + i -3.123648e+07 ; 7.778369e+07 + i -8.357515e+07 ; 1.118506e+09 + i -7.018615e+08 ; -1.551463e+09 + i 3.613366e+08 ; -6.280975e+08 + i 1.940162e+08 ; 3.518202e+08 + i -4.168163e+08 ; -6.308405e+08 + i 1.960126e+08 ; 1.283106e+07 + i -3.087912e+07 ; -3.111405e+09 + i 9.279586e+08 ; -8.875996e+07 + i 8.786504e+07 ; -5.750997e+07 + i 6.278576e+07 ; -1.338419e+09 + i 5.900719e+08 ; -5.893984e+07 + i 6.478463e+07 ; -7.941942e+07 + i -6.524660e+06 ; -4.900876e+07 + i -2.484513e+07 ; 1.101776e+06 + i -3.974263e+06 ; -1.870224e+07 + i -5.008275e+06 ; -3.664257e+07 + i -3.586749e+06 ; -4.812314e+05 + i -1.057970e+06 ; 8.825479e+06 + i -1.149625e+07 ; -1.742137e+08 + i 7.254409e+07 ; -1.919015e+06 + i -1.295795e+06 ; 5.735562e+06 + i -4.482975e+06 ; -6.842571e+07 + i 3.026025e+07 ; -1.490661e+06 + i -7.361343e+04 ; -6.397701e+07 + i -3.369541e+06 ; -4.879818e+07 + i -1.986471e+07 ; -4.127267e+07 + i 1.721051e+07 ; -1.646577e+07 + i -4.511323e+06 ; -3.495263e+07 + i -2.773251e+06 ; -1.318047e+07 + i 7.056778e+06 ; 5.441038e+06 + i -8.644054e+06 ; -1.471038e+08 + i 6.467049e+07 ; -8.746637e+06 + i 9.660383e+06 ; 4.942069e+06 + i -4.222982e+06 ; -6.254710e+07 + i 2.850505e+07 ; -3.695538e+06 + i 4.465647e+06 ; 
-1.265502e+07 + i 3.119311e+07 ; -8.852113e+07 + i 8.927657e+07 ; -3.111282e+09 + i 9.281629e+08 ; 5.755016e+07 + i -6.410699e+07 ; -5.872303e+07 + i 6.576579e+07 ; -1.338306e+09 + i 5.902360e+08 ; -2.428688e+07 + i 4.390565e+07 ; 2.353980e+07 + i -4.438648e+07 ; -1.063677e+10 + i 1.748143e+09 ; 8.749979e+07 + i -8.752183e+07 ; 1.191656e+07 + i -3.148583e+07 ; -3.113124e+09 + i 9.301575e+08 ; -7.759246e+07 + i 8.405784e+07 ; -1.558320e+09 + i 3.781230e+08 ; 1.118554e+09 + i -7.017831e+08 ; 6.280482e+08 + i -1.945382e+08 ; -6.332716e+08 + i 2.033864e+08 ; 3.518028e+08 + i -4.163438e+08 ; -1.599516e+08 + i 1.441963e+08 ; 1.590189e+08 + i -1.467078e+08 ; 5.873523e+09 + i -1.437360e+09 ; 1.548489e+09 + i -3.597308e+08 ; 7.667130e+07 + i -8.538752e+07 ; 1.117583e+09 + i -7.018340e+08 ; -5.381779e+06 + i 8.507394e+06 ; -8.714297e+06 + i 9.810896e+06 ; -1.471069e+08 + i 6.466413e+07 ; -4.913893e+06 + i 4.181374e+06 ; -3.677889e+06 + i 4.533012e+06 ; -6.254873e+07 + i 2.849850e+07 ; -8.729935e+06 + i 1.136023e+07 ; -1.942602e+06 + i -1.276367e+06 ; -1.742250e+08 + i 7.252703e+07 ; -5.703206e+06 + i 4.438128e+06 ; -1.499876e+06 + i -5.455445e+04 ; -6.842848e+07 + i 3.025280e+07 ; 6.402420e+07 + i 3.255774e+06 ; -4.139906e+07 + i 1.775490e+07 ; -4.882590e+07 + i -1.983447e+07 ; 1.649203e+07 + i 4.475183e+06 ; -1.320642e+07 + i 7.246162e+06 ; -3.496068e+07 + i -2.754307e+06 ; 7.949203e+07 + i 6.436331e+06 ; 1.056819e+06 + i -3.938619e+06 ; -4.903430e+07 + i -2.480712e+07 ; 1.873026e+07 + i 4.971653e+06 ; -4.978489e+05 + i -1.032751e+06 ; -3.664714e+07 + i -3.561706e+06 ; 
1.110656e+09 + i -6.989953e+08 ; 1.558347e+09 + i -3.820660e+08 ; 7.809551e+07 + i -8.557343e+07 ; -3.135905e+09 + i 9.553227e+08 ; 8.093971e+07 + i -7.489709e+07 ; 1.303889e+07 + i -3.032694e+07 ; 5.864940e+09 + i -1.433157e+09 ; -1.592552e+08 + i 1.398126e+08 ; 1.602122e+08 + i -1.453398e+08 ; -1.066919e+10 + i 1.781081e+09 ; -2.438847e+07 + i 4.327069e+07 ; 2.452839e+07 + i -4.290784e+07 ; 3.454211e+08 + i -4.126541e+08 ; 6.317148e+08 + i -2.027349e+08 ; -6.292810e+08 + i 1.958069e+08 ; -1.355763e+09 + i 6.113606e+08 ; 5.236947e+07 + i -5.750564e+07 ; -5.246032e+07 + i 5.850314e+07 ; 1.110654e+09 + i -6.974716e+08 ; -7.795661e+07 + i 8.491929e+07 ; -1.551629e+09 + i 3.650753e+08 ; -3.135911e+09 + i 9.552881e+08 ; -1.307259e+07 + i 3.026267e+07 ; -8.181042e+07 + i 8.155984e+07 ; 5.557248e+08 + i -2.096944e+08 ; -4.869270e+08 + i 1.244574e+08 ; -3.733107e+07 + i 3.833634e+07 ; 1.667431e+08 + i 2.666613e+06 ; -1.454391e+08 + i 5.812690e+07 ; -1.679329e+07 + i 2.288258e+07 ; 1.154147e+09 + i -3.058740e+08 ; 5.468934e+07 + i -5.331019e+07 ; -5.468205e+07 + i 5.096369e+07 ; 1.932759e+08 + i 2.899045e+07 ; 2.145734e+07 + i -2.805243e+07 ; -2.157371e+07 + i 2.722430e+07 ; 3.061069e+08 + i -1.536925e+08 ; -2.950188e+08 + i 8.729241e+07 ; 2.940066e+08 + i -8.411249e+07 ; 1.393380e+08 + i -9.796670e+06 ; -1.129404e+08 + i 4.819567e+07 ; 1.127078e+08 + i -4.696702e+07 ; 5.557352e+08 + i -2.101658e+08 ; 3.725479e+07 + i -3.971240e+07 ; 4.850491e+08 + i -1.193735e+08 ; 1.667462e+08 + i 2.560760e+06 ; 1.668794e+07 + i -2.351369e+07 ; 1.451003e+08 + i -5.657129e+07 ; 
1.563478e+09 + i -3.857699e+08 ; 1.117604e+09 + i -7.033569e+08 ; 7.686072e+07 + i -8.543708e+07 ; -1.459553e+08 + i 1.281225e+08 ; 5.871642e+09 + i -1.438863e+09 ; 1.589829e+08 + i -1.455599e+08 ; 9.022371e+07 + i -8.301345e+07 ; -3.113202e+09 + i 9.299412e+08 ; 1.189261e+07 + i -3.129809e+07 ; -1.757227e+07 + i 3.757504e+07 ; -1.064438e+10 + i 1.755962e+09 ; 2.341929e+07 + i -4.425827e+07 ; 6.365894e+08 + i -2.063981e+08 ; 3.517481e+08 + i -4.170233e+08 ; -6.316752e+08 + i 1.987765e+08 ; -6.683136e+07 + i 7.480881e+07 ; 1.116499e+09 + i -7.030372e+08 ; -1.555353e+09 + i 3.694414e+08 ; 6.086662e+07 + i -6.510775e+07 ; -1.338413e+09 + i 5.900815e+08 ; -5.895837e+07 + i 6.524269e+07 ; -7.019994e+06 + i 2.512072e+07 ; -3.118414e+09 + i 9.352927e+08 ; -8.975138e+07 + i 8.976318e+07 ; -4.804665e+08 + i 1.153617e+08 ; 1.653190e+07 + i -9.198057e+07 ; 1.424693e+07 + i -1.711193e+07 ; -7.120422e+07 + i -1.551326e+07 ; -4.903344e+07 + i -2.468691e+07 ; 3.148544e+06 + i -6.364113e+06 ; -3.390213e+07 + i 3.168827e+07 ; -5.935261e+08 + i 1.767876e+08 ; -1.358214e+05 + i -5.713310e+06 ; -2.734354e+06 + i -5.632845e+06 ; -1.742328e+08 + i 7.250560e+07 ; -1.258615e+06 + i -2.248226e+06 ; -2.904714e+08 + i 8.006465e+07 ; -2.768622e+07 + i -6.756169e+07 ; -1.729889e+08 + i 5.215467e+07 ; -6.156850e+07 + i -8.088717e+06 ; -4.881259e+07 + i -1.972851e+07 ; -4.395127e+07 + i 2.010150e+07 ; -2.728885e+07 + i 2.631737e+07 ; -4.123392e+08 + i 1.443252e+08 ; -1.968582e+07 + i 2.041426e+07 ; -4.092883e+06 + i -3.691302e+06 ; -1.471196e+08 + i 6.464214e+07 ; -8.557101e+06 + i 1.016212e+07 ; 
