-1.309147e+10 + i 4.310186e+09 ; -1.387812e+07 + i 1.845984e+08 ; -1.384906e+07 + i 1.846191e+08 ; 7.622680e+09 + i -3.745728e+09 ; -2.792208e+08 + i 4.463210e+08 ; -2.793463e+08 + i 4.463206e+08 ; -4.071717e+09 + i 2.626383e+09 ; 1.421654e+08 + i -2.908889e+08 ; 1.072753e+07 + i 1.430605e+08 ; 1.635984e+09 + i -2.195393e+09 ; 2.034793e+09 + i -8.793386e+08 ; -1.188970e+08 + i 2.958945e+08 ; -4.071733e+09 + i 2.626449e+09 ; 1.050860e+07 + i 1.429491e+08 ; 1.422425e+08 + i -2.909186e+08 ; 1.636058e+09 + i -2.195340e+09 ; -1.191242e+08 + i 2.956399e+08 ; 2.034843e+09 + i -8.793490e+08 ; -1.765893e+09 + i 1.846036e+09 ; 8.346431e+07 + i -2.271116e+08 ; 8.359254e+07 + i -2.271180e+08 ; 4.683274e+08 + i -1.502559e+09 ; 8.513774e+08 + i -5.306336e+08 ; 8.514313e+08 + i -5.306293e+08 ; 2.430978e+08 + i 1.531972e+08 ; -1.055337e+07 + i 6.472374e+07 ; -1.058869e+07 + i 6.472114e+07 ; 5.174157e+07 + i 2.481659e+07 ; 2.802837e+06 + i 3.375349e+07 ; 2.792604e+06 + i 3.375781e+07 ; 2.464886e+08 + i 8.024605e+07 ; 1.871043e+08 + i -1.385881e+08 ; -4.532771e+06 + i 5.700724e+07 ; 4.832318e+07 + i 2.960018e+07 ; 6.825291e+07 + i -7.197826e+07 ; 4.289346e+06 + i 3.115071e+07 ; 2.465463e+08 + i 8.023904e+07 ; -4.585493e+06 + i 5.696209e+07 ; 1.871244e+08 + i -1.385981e+08 ; 4.832425e+07 + i 2.959875e+07 ; 4.255433e+06 + i 3.112965e+07 ; 6.826572e+07 + i -7.198627e+07 ; 2.300944e+08 + i 3.861472e+07 ; 1.470866e+08 + i -1.219901e+08 ; 1.470940e+08 + i -1.219952e+08 ; 4.624957e+07 + i 3.090347e+07 ; 5.891312e+07 + i -6.685781e+07 ; 5.892289e+07 + i -6.686023e+07 ; 
-1.623791e+07 + i 1.833580e+08 ; -1.308632e+10 + i 4.317947e+09 ; -1.511271e+07 + i 1.842653e+08 ; 1.379491e+08 + i -2.894124e+08 ; -4.066483e+09 + i 2.642110e+09 ; 9.996922e+06 + i 1.429826e+08 ; -2.826733e+08 + i 4.427069e+08 ; 7.645726e+09 + i -3.750707e+09 ; -2.815995e+08 + i 4.439146e+08 ; 2.026003e+09 + i -8.710402e+08 ; 1.653028e+09 + i -2.204640e+09 ; -1.206570e+08 + i 2.940091e+08 ; 8.147619e+06 + i 1.417320e+08 ; -4.066377e+09 + i 2.634231e+09 ; 1.419459e+08 + i -2.884914e+08 ; 7.938723e+07 + i -2.254193e+08 ; -1.760561e+09 + i 1.861018e+09 ; 8.337554e+07 + i -2.259693e+08 ; -1.226213e+08 + i 2.921905e+08 ; 1.658016e+09 + i -2.202156e+09 ; 2.032609e+09 + i -8.717641e+08 ; 8.431284e+08 + i -5.224193e+08 ; 4.841932e+08 + i -1.512846e+09 ; 8.496077e+08 + i -5.247325e+08 ; -9.901200e+06 + i 4.178030e+07 ; -2.074317e+08 + i 2.290349e+08 ; 1.092827e+07 + i 1.090618e+07 ; -1.536316e+07 + i 1.159794e+07 ; -7.147011e+07 + i 9.726455e+07 ; 7.520634e+06 + i 3.376238e+06 ; 9.085971e+07 + i 3.876273e+07 ; -9.213824e+07 + i -1.264884e+08 ; 4.848791e+06 + i 1.886269e+07 ; 8.898927e+06 + i 1.307176e+07 ; -7.463883e+07 + i -3.704165e+07 ; 5.504802e+06 + i 6.500208e+06 ; -3.250221e+06 + i 3.355434e+07 ; -1.698677e+08 + i 2.084059e+08 ; 1.056437e+07 + i -3.322587e+07 ; -1.376164e+07 + i 1.179580e+07 ; -6.356692e+07 + i 9.224764e+07 ; 3.107436e+06 + i -1.576645e+07 ; 7.806210e+07 + i 2.838523e+07 ; -9.680693e+07 + i -1.107335e+08 ; 5.408108e+07 + i -5.068200e+07 ; 7.772179e+06 + i 1.312121e+07 ; -7.318120e+07 + i -3.366806e+07 ; 1.615407e+07 + i -2.209425e+07 ; 
-1.614157e+07 + i 1.833883e+08 ; -1.511739e+07 + i 1.842669e+08 ; -1.308656e+10 + i 4.317901e+09 ; 1.379729e+08 + i -2.894193e+08 ; 9.990198e+06 + i 1.429801e+08 ; -4.066415e+09 + i 2.642246e+09 ; 8.215220e+06 + i 1.417508e+08 ; 1.418348e+08 + i -2.884956e+08 ; -4.065341e+09 + i 2.635133e+09 ; 7.945951e+07 + i -2.254187e+08 ; 8.327772e+07 + i -2.259647e+08 ; -1.759616e+09 + i 1.861549e+09 ; -2.827204e+08 + i 4.427238e+08 ; -2.816633e+08 + i 4.439117e+08 ; 7.646587e+09 + i -3.750280e+09 ; 2.025997e+09 + i -8.710354e+08 ; -1.207163e+08 + i 2.940071e+08 ; 1.653867e+09 + i -2.204355e+09 ; -1.226358e+08 + i 2.922196e+08 ; 2.032609e+09 + i -8.717597e+08 ; 1.658168e+09 + i -2.202203e+09 ; 8.431220e+08 + i -5.224250e+08 ; 8.496017e+08 + i -5.247329e+08 ; 4.844807e+08 + i -1.512797e+09 ; -9.930745e+06 + i 4.177395e+07 ; 1.093124e+07 + i 1.090337e+07 ; -2.074574e+08 + i 2.290635e+08 ; -1.535993e+07 + i 1.159466e+07 ; 7.521003e+06 + i 3.374945e+06 ; -7.146362e+07 + i 9.727589e+07 ; -3.282884e+06 + i 3.354964e+07 ; 1.055344e+07 + i -3.322170e+07 ; -1.698056e+08 + i 2.084226e+08 ; -1.376198e+07 + i 1.179203e+07 ; 3.103200e+06 + i -1.576295e+07 ; -6.354096e+07 + i 9.223912e+07 ; 9.085851e+07 + i 3.876230e+07 ; 4.838005e+06 + i 1.886245e+07 ; -9.202048e+07 + i -1.264652e+08 ; 8.901884e+06 + i 1.306826e+07 ; 5.498198e+06 + i 6.500690e+06 ; -7.457940e+07 + i -3.703758e+07 ; 7.804089e+07 + i 2.837780e+07 ; 5.408097e+07 + i -5.068129e+07 ; -9.682414e+07 + i -1.107429e+08 ; 7.773047e+06 + i 1.311724e+07 ; 1.615263e+07 + i -2.209323e+07 ; -7.318905e+07 + i -3.367445e+07 ; 
7.621275e+09 + i -3.745686e+09 ; 2.836020e+08 + i -4.475283e+08 ; 2.837018e+08 + i -4.475121e+08 ; -1.313326e+10 + i 4.428465e+09 ; 1.893597e+07 + i -1.774800e+08 ; 1.891572e+07 + i -1.775081e+08 ; 1.635444e+09 + i -2.195345e+09 ; -2.034611e+09 + i 8.869099e+08 ; 1.237440e+08 + i -2.949129e+08 ; -4.097689e+09 + i 2.729850e+09 ; -1.299631e+08 + i 2.692115e+08 ; -5.207882e+06 + i -1.362030e+08 ; 1.635651e+09 + i -2.195365e+09 ; 1.239648e+08 + i -2.946735e+08 ; -2.034663e+09 + i 8.869229e+08 ; -4.097569e+09 + i 2.729828e+09 ; -5.022480e+06 + i -1.360951e+08 ; -1.300268e+08 + i 2.692309e+08 ; 4.684263e+08 + i -1.502758e+09 ; -8.478403e+08 + i 5.255216e+08 ; -8.478902e+08 + i 5.255195e+08 ; -1.780844e+09 + i 1.937783e+09 ; -7.281885e+07 + i 2.059148e+08 ; -7.290703e+07 + i 2.059062e+08 ; 1.480273e+09 + i -8.355290e+08 ; -9.803610e+07 + i 1.597731e+08 ; -9.805941e+07 + i 1.597634e+08 ; 2.441281e+08 + i 1.534523e+08 ; -3.076009e+07 + i 1.009194e+08 ; -3.076743e+07 + i 1.009260e+08 ; 7.256378e+08 + i -6.240129e+08 ; 6.408558e+08 + i -2.950684e+08 ; -6.424150e+07 + i 1.275673e+08 ; 2.470023e+08 + i 8.027352e+07 ; 1.995618e+08 + i -1.633418e+08 ; -2.110413e+07 + i 8.798386e+07 ; 7.255395e+08 + i -6.240256e+08 ; -6.432280e+07 + i 1.274942e+08 ; 6.408836e+08 + i -2.950702e+08 ; 2.469572e+08 + i 8.026519e+07 ; -2.117816e+07 + i 8.793165e+07 ; 1.995928e+08 + i -1.633456e+08 ; 3.921175e+08 + i -4.905396e+08 ; 3.947177e+08 + i -2.197726e+08 ; 3.947443e+08 + i -2.197721e+08 ; 2.300770e+08 + i 3.856446e+07 ; 1.538260e+08 + i -1.399669e+08 ; 1.538580e+08 + i -1.399620e+08 ; 
-1.414161e+08 + i 3.016885e+08 ; -4.065557e+09 + i 2.642268e+09 ; 1.192715e+07 + i 1.436262e+08 ; -1.342690e+05 + i -1.649592e+08 ; -1.309552e+10 + i 4.344273e+09 ; -1.176914e+07 + i 1.869858e+08 ; -2.053879e+09 + i 9.709733e+08 ; 1.653103e+09 + i -2.204713e+09 ; -1.178831e+08 + i 2.967952e+08 ; 2.499032e+08 + i -4.285610e+08 ; 7.635968e+09 + i -3.761787e+09 ; -2.777325e+08 + i 4.512633e+08 ; -8.367679e+07 + i 2.344491e+08 ; -1.759905e+09 + i 1.860944e+09 ; 8.187322e+07 + i -2.284389e+08 ; -2.185000e+07 + i -1.235026e+08 ; -4.074284e+09 + i 2.659358e+09 ; 1.410988e+08 + i -2.965044e+08 ; -8.568500e+08 + i 5.687656e+08 ; 4.841539e+08 + i -1.512896e+09 ; 8.497514e+08 + i -5.361369e+08 ; 9.609184e+07 + i -2.724274e+08 ; 1.647974e+09 + i -2.212293e+09 ; 2.038379e+09 + i -9.021483e+08 ; 6.141653e+07 + i -9.253515e+07 ; -7.504360e+08 + i 5.087857e+08 ; 1.114073e+07 + i 3.061089e+07 ; 1.428403e+07 + i 3.689041e+07 ; -2.074370e+08 + i 2.289198e+08 ; 1.082854e+07 + i 1.471701e+07 ; 6.373380e+08 + i -2.792740e+08 ; 2.773029e+07 + i -3.377106e+08 ; -1.738670e+07 + i 6.175368e+07 ; 7.639926e+07 + i 7.279160e+07 ; -9.204857e+07 + i -1.264962e+08 ; 1.928066e+06 + i 2.731633e+07 ; 4.891916e+07 + i -8.072070e+07 ; -5.183383e+08 + i 4.341058e+08 ; 2.807185e+07 + i -6.836939e+07 ; 1.742334e+07 + i 2.988537e+07 ; -1.698554e+08 + i 2.082828e+08 ; 9.058619e+06 + i -3.628766e+07 ; 3.932545e+08 + i -2.028377e+08 ; -4.911513e+07 + i -2.758759e+08 ; 2.292065e+08 + i -1.389668e+08 ; 7.487155e+07 + i 5.132209e+07 ; -9.672591e+07 + i -1.107372e+08 ; 5.817069e+07 + i -6.052906e+07 ; 
-1.414207e+08 + i 3.016875e+08 ; 1.191763e+07 + i 1.436301e+08 ; -4.065396e+09 + i 2.642351e+09 ; -1.946324e+05 + i -1.649892e+08 ; -1.177131e+07 + i 1.869815e+08 ; -1.309584e+10 + i 4.344306e+09 ; -8.371600e+07 + i 2.344382e+08 ; 8.177367e+07 + i -2.284302e+08 ; -1.758883e+09 + i 1.861442e+09 ; -2.189098e+07 + i -1.235243e+08 ; 1.409820e+08 + i -2.965073e+08 ; -4.073260e+09 + i 2.660315e+09 ; -2.053880e+09 + i 9.709827e+08 ; -1.179440e+08 + i 2.967972e+08 ; 1.653998e+09 + i -2.204468e+09 ; 2.499393e+08 + i -4.285691e+08 ; -2.777982e+08 + i 4.512575e+08 ; 7.636865e+09 + i -3.761323e+09 ; -8.568458e+08 + i 5.687741e+08 ; 8.497399e+08 + i -5.361311e+08 ; 4.846019e+08 + i -1.512906e+09 ; 9.609989e+07 + i -2.724436e+08 ; 2.038383e+09 + i -9.021494e+08 ; 1.648082e+09 + i -2.212303e+09 ; 6.140401e+07 + i -9.253076e+07 ; 1.114510e+07 + i 3.060797e+07 ; -7.505278e+08 + i 5.087860e+08 ; 1.430175e+07 + i 3.689524e+07 ; 1.082872e+07 + i 1.471533e+07 ; -2.074430e+08 + i 2.289304e+08 ; 4.890476e+07 + i -8.071520e+07 ; 2.804946e+07 + i -6.836535e+07 ; -5.182074e+08 + i 4.341746e+08 ; 1.743615e+07 + i 2.988792e+07 ; 9.046501e+06 + i -3.628279e+07 ; -1.697979e+08 + i 2.082786e+08 ; 6.373318e+08 + i -2.792754e+08 ; -1.740581e+07 + i 6.175305e+07 ; 2.794650e+07 + i -3.376338e+08 ; 7.638997e+07 + i 7.279119e+07 ; 1.915107e+06 + i 2.731692e+07 ; -9.192051e+07 + i -1.264706e+08 ; 3.932391e+08 + i -2.028371e+08 ; 2.292083e+08 + i -1.389657e+08 ; -4.916112e+07 + i -2.759057e+08 ; 7.486872e+07 + i 5.132314e+07 ; 5.816868e+07 + i -6.052795e+07 ; -9.673611e+07 + i -1.107501e+08 ; 
-4.070101e+09 + i 2.627014e+09 ; -1.395498e+08 + i 2.744650e+08 ; 1.267451e+07 + i 1.438216e+08 ; 1.634806e+09 + i -2.200603e+09 ; -2.050905e+09 + i 9.775243e+08 ; -1.159021e+08 + i 2.992408e+08 ; -1.309240e+10 + i 4.310153e+09 ; 1.271456e+07 + i -1.841914e+08 ; -1.184302e+07 + i 1.860446e+08 ; 7.623772e+09 + i -3.744418e+09 ; 2.737835e+08 + i -4.390541e+08 ; -2.762569e+08 + i 4.525514e+08 ; -1.764339e+09 + i 1.846524e+09 ; -8.046936e+07 + i 2.283029e+08 ; 8.155954e+07 + i -2.296339e+08 ; 4.669178e+08 + i -1.505179e+09 ; -8.532471e+08 + i 5.752067e+08 ; 8.509489e+08 + i -5.440175e+08 ; -4.072401e+09 + i 2.626741e+09 ; -1.214863e+07 + i -1.431868e+08 ; 1.397845e+08 + i -2.944447e+08 ; 1.636821e+09 + i -2.195028e+09 ; 1.142920e+08 + i -2.997592e+08 ; 2.038056e+09 + i -9.086707e+08 ; 2.457598e+08 + i 7.947960e+07 ; -1.863163e+08 + i 1.499956e+08 ; -3.834527e+06 + i 5.743352e+07 ; 4.837338e+07 + i 2.948711e+07 ; -6.705309e+07 + i 7.687464e+07 ; 4.713663e+06 + i 3.129763e+07 ; 2.431952e+08 + i 1.531931e+08 ; 8.843959e+06 + i -6.501864e+07 ; -9.985942e+06 + i 6.528418e+07 ; 5.178726e+07 + i 2.476282e+07 ; -3.879195e+06 + i -3.374645e+07 ; 3.166499e+06 + i 3.396303e+07 ; 2.294933e+08 + i 3.812362e+07 ; -1.459493e+08 + i 1.313502e+08 ; 1.466585e+08 + i -1.245134e+08 ; 4.628606e+07 + i 3.080205e+07 ; -5.769281e+07 + i 7.122932e+07 ; 5.854290e+07 + i -6.799145e+07 ; 2.466829e+08 + i 8.021880e+07 ; 2.932559e+06 + i -5.722565e+07 ; 1.867542e+08 + i -1.416758e+08 ; 4.835898e+07 + i 2.954498e+07 ; -5.307593e+06 + i -3.108692e+07 ; 6.788018e+07 + i -7.324788e+07 ; 
2.853882e+08 + i -4.195426e+08 ; 7.644297e+09 + i -3.750372e+09 ; 2.782320e+08 + i -4.500660e+08 ; -2.031900e+09 + i 8.960468e+08 ; 1.651430e+09 + i -2.209669e+09 ; 1.180165e+08 + i -2.972814e+08 ; 1.844834e+07 + i -1.817411e+08 ; -1.308726e+10 + i 4.318303e+09 ; 1.344584e+07 + i -1.856243e+08 ; -1.417288e+08 + i 2.638033e+08 ; -4.067896e+09 + i 2.641025e+09 ; -1.140042e+07 + i -1.438200e+08 ; 1.241533e+08 + i -2.877968e+08 ; 1.657257e+09 + i -2.202593e+09 ; -2.035989e+09 + i 9.011125e+08 ; -8.456073e+08 + i 5.330013e+08 ; 4.832205e+08 + i -1.515635e+09 ; -8.491787e+08 + i 5.380883e+08 ; -6.036609e+06 + i -1.403975e+08 ; -4.066671e+09 + i 2.634195e+09 ; -1.395057e+08 + i 2.920218e+08 ; -8.164803e+07 + i 2.202835e+08 ; -1.761050e+09 + i 1.860450e+09 ; -8.126835e+07 + i 2.284104e+08 ; -9.121366e+07 + i -3.846443e+07 ; -9.184406e+07 + i -1.265553e+08 ; -5.118709e+06 + i -1.891867e+07 ; -8.948808e+06 + i -1.311947e+07 ; -7.459596e+07 + i -3.713810e+07 ; -5.621356e+06 + i -6.472197e+06 ; 1.015603e+07 + i -4.272700e+07 ; -2.072273e+08 + i 2.291694e+08 ; -1.109605e+07 + i -1.085357e+07 ; 1.545160e+07 + i -1.192732e+07 ; -7.140325e+07 + i 9.734129e+07 ; -7.595347e+06 + i -3.314633e+06 ; -7.840561e+07 + i -2.821210e+07 ; -9.650459e+07 + i -1.109141e+08 ; -5.385366e+07 + i 5.164639e+07 ; -7.810766e+06 + i -1.318085e+07 ; -7.311934e+07 + i -3.379397e+07 ; -1.600603e+07 + i 2.242957e+07 ; 3.303673e+06 + i -3.444756e+07 ; -1.696629e+08 + i 2.084294e+08 ; -1.025045e+07 + i 3.356679e+07 ; 1.385318e+07 + i -1.209907e+07 ; -6.350241e+07 + i 9.228075e+07 ; -2.945542e+06 + i 1.590577e+07 ; 
9.847213e+06 + i 1.421757e+08 ; -1.332349e+08 + i 3.008463e+08 ; -4.064046e+09 + i 2.635169e+09 ; 7.762108e+07 + i -2.276760e+08 ; -7.593953e+07 + i 2.345176e+08 ; -1.758600e+09 + i 1.861332e+09 ; -1.461487e+07 + i 1.844837e+08 ; 8.630126e+06 + i -1.889014e+08 ; -1.308718e+10 + i 4.318136e+09 ; 1.356687e+08 + i -2.926640e+08 ; -1.526389e+07 + i -1.453780e+08 ; -4.066657e+09 + i 2.642613e+09 ; -1.200774e+08 + i 2.909292e+08 ; -2.043699e+09 + i 9.746293e+08 ; 1.658291e+09 + i -2.202313e+09 ; 8.427282e+08 + i -5.357676e+08 ; -8.480398e+08 + i 5.724191e+08 ; 4.846279e+08 + i -1.512918e+09 ; -2.802740e+08 + i 4.480170e+08 ; 2.704692e+08 + i -4.650877e+08 ; 7.646421e+09 + i -3.750083e+09 ; 2.028388e+09 + i -8.985105e+08 ; 1.121161e+08 + i -3.008326e+08 ; 1.653760e+09 + i -2.204167e+09 ; -3.025546e+06 + i 3.378638e+07 ; -9.453131e+06 + i 3.445711e+07 ; -1.697405e+08 + i 2.083798e+08 ; -1.371855e+07 + i 1.201857e+07 ; -2.527978e+06 + i 1.627851e+07 ; -6.353162e+07 + i 9.221468e+07 ; -9.475952e+06 + i 4.218694e+07 ; -1.157570e+07 + i -1.062877e+07 ; -2.074905e+08 + i 2.291291e+08 ; -1.531091e+07 + i 1.184252e+07 ; -7.792213e+06 + i -3.104573e+06 ; -7.145623e+07 + i 9.730575e+07 ; 7.868232e+07 + i 2.760023e+07 ; -5.329584e+07 + i 5.430405e+07 ; -9.683759e+07 + i -1.107424e+08 ; 7.970422e+06 + i 1.311100e+07 ; -1.562489e+07 + i 2.337462e+07 ; -7.319849e+07 + i -3.367389e+07 ; 9.190883e+07 + i 3.806177e+07 ; -5.713726e+06 + i -1.870665e+07 ; -9.202145e+07 + i -1.264579e+08 ; 9.105608e+06 + i 1.305337e+07 ; -5.859890e+06 + i -6.267008e+06 ; -7.457685e+07 + i -3.703343e+07 ; 
1.631660e+09 + i -2.203243e+09 ; 2.040594e+09 + i -9.963978e+08 ; 1.201210e+08 + i -2.985262e+08 ; -4.097443e+09 + i 2.730091e+09 ; 1.369963e+08 + i -2.359906e+08 ; -7.314478e+06 + i -1.369532e+08 ; 7.623482e+09 + i -3.744105e+09 ; -2.864025e+08 + i 4.248355e+08 ; 2.794911e+08 + i -4.542768e+08 ; -1.313311e+10 + i 4.428347e+09 ; -1.387872e+07 + i 1.817085e+08 ; 1.662165e+07 + i -1.789386e+08 ; 4.653709e+08 + i -1.506430e+09 ; 8.468936e+08 + i -5.728697e+08 ; -8.459866e+08 + i 5.405980e+08 ; -1.780009e+09 + i 1.938309e+09 ; 7.308569e+07 + i -2.027332e+08 ; -7.055050e+07 + i 2.082386e+08 ; 1.636982e+09 + i -2.195298e+09 ; -1.215690e+08 + i 2.954761e+08 ; -2.035148e+09 + i 9.206674e+08 ; -4.097654e+09 + i 2.729776e+09 ; 6.474924e+06 + i 1.367410e+08 ; -1.270884e+08 + i 2.726975e+08 ; 7.267905e+08 + i -6.214375e+08 ; -6.402231e+08 + i 3.283851e+08 ; -6.277339e+07 + i 1.292690e+08 ; 2.470029e+08 + i 8.072698e+07 ; -1.959866e+08 + i 1.745591e+08 ; -1.993221e+07 + i 8.881723e+07 ; 1.480170e+09 + i -8.356193e+08 ; 9.021248e+07 + i -1.757986e+08 ; -9.654790e+07 + i 1.621284e+08 ; 2.437839e+08 + i 1.533504e+08 ; 2.555328e+07 + i -1.069264e+08 ; -2.962076e+07 + i 1.020066e+08 ; 3.931581e+08 + i -4.888323e+08 ; -3.922729e+08 + i 2.411694e+08 ; 3.942054e+08 + i -2.266409e+08 ; 2.301278e+08 + i 3.896468e+07 ; -1.503947e+08 + i 1.488780e+08 ; 1.529061e+08 + i -1.429896e+08 ; 7.253801e+08 + i -6.240900e+08 ; 5.796045e+07 + i -1.374339e+08 ; 6.408160e+08 + i -3.057946e+08 ; 2.466289e+08 + i 8.022029e+07 ; 1.652967e+07 + i -9.255023e+07 ; 1.985721e+08 + i -1.671256e+08 ; 
2.050748e+09 + i -1.005695e+09 ; 1.648891e+09 + i -2.212458e+09 ; 1.145214e+08 + i -3.002598e+08 ; -2.613987e+08 + i 3.891094e+08 ; 7.635798e+09 + i -3.761055e+09 ; 2.731124e+08 + i -4.578772e+08 ; 1.540642e+08 + i -2.604055e+08 ; -4.068178e+09 + i 2.640954e+09 ; -1.365271e+07 + i -1.444017e+08 ; -9.079412e+04 + i 1.650959e+08 ; -1.309550e+10 + i 4.344531e+09 ; 9.639613e+06 + i -1.883035e+08 ; 8.565795e+08 + i -5.823419e+08 ; 4.815562e+08 + i -1.516732e+09 ; -8.477049e+08 + i 5.513346e+08 ; -1.007091e+08 + i 2.639209e+08 ; 1.647885e+09 + i -2.212847e+09 ; -2.038771e+09 + i 9.361437e+08 ; 8.863024e+07 + i -2.259231e+08 ; -1.760935e+09 + i 1.860560e+09 ; -7.917590e+07 + i 2.309736e+08 ; 1.880710e+07 + i 1.216135e+08 ; -4.074047e+09 + i 2.659031e+09 ; -1.378462e+08 + i 3.003196e+08 ; -6.342666e+08 + i 2.929728e+08 ; 2.864321e+07 + i -3.351266e+08 ; 1.658841e+07 + i -6.236464e+07 ; -7.834033e+07 + i -7.093635e+07 ; -9.162069e+07 + i -1.257246e+08 ; -2.333271e+06 + i -2.744585e+07 ; -5.728403e+07 + i 1.022155e+08 ; -7.504794e+08 + i 5.088827e+08 ; -1.157401e+07 + i -3.064597e+07 ; -1.579637e+07 + i -3.575065e+07 ; -2.076427e+08 + i 2.289396e+08 ; -1.106550e+07 + i -1.466393e+07 ; -3.904440e+08 + i 2.114528e+08 ; -4.810810e+07 + i -2.742054e+08 ; -2.287259e+08 + i 1.430228e+08 ; -7.634236e+07 + i -4.946004e+07 ; -9.625182e+07 + i -1.101647e+08 ; -5.769961e+07 + i 6.172029e+07 ; -4.575978e+07 + i 8.620881e+07 ; -5.182971e+08 + i 4.340970e+08 ; -2.729732e+07 + i 6.918314e+07 ; -1.848719e+07 + i -2.863407e+07 ; -1.700105e+08 + i 2.082601e+08 ; -8.608770e+06 + i 3.663699e+07 ; 
