-1.263792e+10 + i 1.064979e+10 ; 5.967084e+08 + i 3.612265e+08 ; 5.972223e+08 + i 3.610368e+08 ; 6.082906e+09 + i -9.380087e+09 ; 2.227116e+08 + i 1.210427e+09 ; 2.232987e+08 + i 1.213048e+09 ; -1.590703e+09 + i 6.410398e+09 ; -3.743333e+08 + i -6.847146e+08 ; 6.041502e+08 + i 1.962531e+08 ; -1.583843e+09 + i -5.365245e+09 ; 2.085627e+09 + i -2.273544e+09 ; 4.703155e+08 + i 7.324482e+08 ; -1.587325e+09 + i 6.409088e+09 ; 6.025908e+08 + i 1.995875e+08 ; -3.762413e+08 + i -6.861921e+08 ; -1.582200e+09 + i -5.367760e+09 ; 4.663855e+08 + i 7.339031e+08 ; 2.084841e+09 + i -2.274272e+09 ; 1.344507e+09 + i 4.153631e+09 ; -4.400818e+08 + i -4.656497e+08 ; -4.409584e+08 + i -4.684461e+08 ; -3.187107e+09 + i -3.271553e+09 ; 5.379122e+08 + i -1.346665e+09 ; 5.378761e+08 + i -1.347744e+09 ; 7.832857e+08 + i 1.289899e+08 ; 1.661255e+08 + i 1.078227e+08 ; 1.662048e+08 + i 1.084893e+08 ; 1.245092e+08 + i 3.132906e+08 ; 1.269830e+08 + i 1.763661e+07 ; 1.271946e+08 + i 1.776673e+07 ; 7.921781e+08 + i -1.235275e+08 ; 7.963299e+07 + i -3.167583e+08 ; 1.728469e+08 + i 8.044480e+07 ; 1.572052e+08 + i 3.531749e+08 ; -2.668403e+07 + i -1.345841e+08 ; 1.271518e+08 + i 7.342718e+06 ; 7.912324e+08 + i -1.244306e+08 ; 1.722369e+08 + i 8.094526e+07 ; 7.907611e+07 + i -3.169708e+08 ; 1.569645e+08 + i 3.533939e+08 ; 1.268456e+08 + i 7.852158e+06 ; -2.714163e+07 + i -1.346877e+08 ; 7.472052e+08 + i -2.900517e+08 ; 2.840482e+07 + i -2.680188e+08 ; 2.816861e+07 + i -2.680959e+08 ; 1.893688e+08 + i 3.752436e+08 ; -3.711667e+07 + i -1.181430e+08 ; -3.726718e+07 + i -1.183078e+08 ; 
5.817773e+08 + i 3.631972e+08 ; -1.257849e+10 + i 1.066861e+10 ; 5.909165e+08 + i 3.682594e+08 ; -3.897837e+08 + i -6.744419e+08 ; -1.507076e+09 + i 6.416768e+09 ; 5.995396e+08 + i 1.999619e+08 ; 1.959176e+08 + i 1.212340e+09 ; 6.159749e+09 + i -9.463442e+09 ; 2.063483e+08 + i 1.221885e+09 ; 2.071915e+09 + i -2.251438e+09 ; -1.538573e+09 + i -5.431097e+09 ; 4.555035e+08 + i 7.380814e+08 ; 5.871471e+08 + i 2.019742e+08 ; -1.520377e+09 + i 6.425504e+09 ; -3.719594e+08 + i -6.866118e+08 ; -4.540494e+08 + i -4.539345e+08 ; 1.427362e+09 + i 4.154725e+09 ; -4.395868e+08 + i -4.689751e+08 ; 4.394560e+08 + i 7.365709e+08 ; -1.514440e+09 + i -5.463324e+09 ; 2.097150e+09 + i -2.265540e+09 ; 5.256492e+08 + i -1.323679e+09 ; -3.147318e+09 + i -3.345691e+09 ; 5.478566e+08 + i -1.340197e+09 ; 7.902175e+07 + i 6.552208e+07 ; 1.618138e+08 + i 2.651540e+08 ; 8.458973e+07 + i -3.684739e+07 ; -2.716876e+07 + i 8.770754e+07 ; 6.473644e+07 + i -8.534997e+06 ; 3.670894e+07 + i -4.038261e+07 ; 2.134763e+08 + i 7.898320e+07 ; -5.777709e+08 + i 1.130090e+07 ; 8.112084e+07 + i -6.758540e+06 ; -1.165126e+07 + i 9.144275e+07 ; -2.720869e+08 + i 1.797871e+08 ; 3.727987e+07 + i -2.825252e+07 ; 8.315492e+07 + i 3.509304e+07 ; 2.036940e+08 + i 1.948905e+08 ; -5.168134e+07 + i -3.795350e+07 ; -1.970883e+07 + i 9.094228e+07 ; 6.942954e+07 + i -2.796677e+07 ; -2.242661e+07 + i -3.704503e+06 ; 1.963313e+08 + i 3.820369e+07 ; -5.758484e+08 + i 6.879935e+07 ; 1.907456e+06 + i -8.971659e+07 ; -5.590875e+06 + i 9.599758e+07 ; -2.644156e+08 + i 1.933692e+08 ; -7.666674e+06 + i -2.339530e+07 ; 
5.821778e+08 + i 3.614718e+08 ; 5.909458e+08 + i 3.682911e+08 ; -1.257972e+10 + i 1.067462e+10 ; -3.903086e+08 + i -6.750358e+08 ; 5.994312e+08 + i 2.004443e+08 ; -1.501781e+09 + i 6.415391e+09 ; 5.873928e+08 + i 2.011086e+08 ; -3.715491e+08 + i -6.846540e+08 ; -1.509970e+09 + i 6.416997e+09 ; -4.542722e+08 + i -4.554134e+08 ; -4.388311e+08 + i -4.669211e+08 ; 1.435411e+09 + i 4.140340e+09 ; 1.969275e+08 + i 1.213386e+09 ; 2.066091e+08 + i 1.223017e+09 ; 6.160394e+09 + i -9.472183e+09 ; 2.072118e+09 + i -2.251400e+09 ; 4.558364e+08 + i 7.394023e+08 ; -1.539282e+09 + i -5.443564e+09 ; 4.403303e+08 + i 7.374858e+08 ; 2.097353e+09 + i -2.265851e+09 ; -1.517521e+09 + i -5.465087e+09 ; 5.253092e+08 + i -1.323599e+09 ; 5.478125e+08 + i -1.340101e+09 ; -3.146782e+09 + i -3.351533e+09 ; 7.901129e+07 + i 6.602733e+07 ; 8.443163e+07 + i -3.684835e+07 ; 1.632645e+08 + i 2.653992e+08 ; -2.733969e+07 + i 8.767477e+07 ; 3.667287e+07 + i -4.033920e+07 ; 6.503031e+07 + i -9.125929e+06 ; 8.331328e+07 + i 3.561336e+07 ; -5.146188e+07 + i -3.784865e+07 ; 2.037439e+08 + i 1.938794e+08 ; -1.982354e+07 + i 9.095473e+07 ; -2.226618e+07 + i -3.726142e+06 ; 6.881405e+07 + i -2.856714e+07 ; 2.133979e+08 + i 7.899015e+07 ; 8.116642e+07 + i -6.559531e+06 ; -5.785073e+08 + i 1.054486e+07 ; -1.189602e+07 + i 9.143736e+07 ; 3.734912e+07 + i -2.812885e+07 ; -2.726451e+08 + i 1.798270e+08 ; 1.962466e+08 + i 3.845199e+07 ; 1.896826e+06 + i -8.974903e+07 ; -5.760280e+08 + i 6.959542e+07 ; -5.767267e+06 + i 9.599932e+07 ; -7.639072e+06 + i -2.338325e+07 ; -2.646442e+08 + i 1.939990e+08 ; 
6.094329e+09 + i -9.367851e+09 ; -2.231752e+08 + i -1.247157e+09 ; -2.227848e+08 + i -1.249494e+09 ; -1.242509e+10 + i 1.086723e+10 ; -5.604148e+08 + i -3.634790e+08 ; -5.614200e+08 + i -3.632254e+08 ; -1.577308e+09 + i -5.361222e+09 ; -2.058486e+09 + i 2.351900e+09 ; -4.565116e+08 + i -7.588217e+08 ; -1.366012e+09 + i 6.574742e+09 ; 3.709444e+08 + i 6.405495e+08 ; -5.639859e+08 + i -1.991487e+08 ; -1.579890e+09 + i -5.363442e+09 ; -4.532137e+08 + i -7.600116e+08 ; -2.057486e+09 + i 2.352546e+09 ; -1.367228e+09 + i 6.573389e+09 ; -5.621394e+08 + i -2.019789e+08 ; 3.722536e+08 + i 6.419421e+08 ; -3.192659e+09 + i -3.266715e+09 ; -5.254820e+08 + i 1.366986e+09 ; -5.253244e+08 + i 1.367751e+09 ; 1.567368e+09 + i 4.282295e+09 ; 4.294550e+08 + i 4.219757e+08 ; 4.293590e+08 + i 4.239805e+08 ; 9.162470e+08 + i -1.830396e+09 ; 1.046158e+08 + i 4.721846e+08 ; 1.042518e+08 + i 4.728157e+08 ; 7.801744e+08 + i 1.137885e+08 ; 2.330912e+08 + i 2.558457e+08 ; 2.334112e+08 + i 2.560569e+08 ; -1.962771e+07 + i -1.237583e+09 ; 6.076154e+08 + i -8.077188e+08 ; 1.550137e+08 + i 3.700503e+08 ; 7.887656e+08 + i -1.319274e+08 ; 5.500327e+06 + i -4.239507e+08 ; 2.420933e+08 + i 2.083027e+08 ; -1.917081e+07 + i -1.235596e+09 ; 1.541238e+08 + i 3.706748e+08 ; 6.073472e+08 + i -8.082648e+08 ; 7.888734e+08 + i -1.309432e+08 ; 2.412468e+08 + i 2.092872e+08 ; 5.105267e+06 + i -4.247592e+08 ; -4.239363e+08 + i -8.278541e+08 ; 2.888172e+08 + i -6.026192e+08 ; 2.886923e+08 + i -6.031122e+08 ; 7.479191e+08 + i -2.907216e+08 ; -5.087715e+07 + i -3.510011e+08 ; -5.078933e+07 + i -3.517852e+08 ; 
4.372803e+08 + i 6.864904e+08 ; -1.508412e+09 + i 6.405474e+09 ; 6.103947e+08 + i 1.795963e+08 ; -6.195654e+08 + i -2.458727e+08 ; -1.253562e+10 + i 1.069496e+10 ; 6.226838e+08 + i 3.445182e+08 ; -1.885906e+09 + i 2.640509e+09 ; -1.539856e+09 + i -5.429200e+09 ; 4.835815e+08 + i 7.253354e+08 ; -3.518614e+08 + i -1.128968e+09 ; 6.091646e+09 + i -9.436995e+09 ; 2.635539e+08 + i 1.223320e+09 ; 4.778960e+08 + i 4.530824e+08 ; 1.420526e+09 + i 4.148525e+09 ; -4.612164e+08 + i -4.580985e+08 ; -6.013871e+08 + i -8.671201e+07 ; -1.471822e+09 + i 6.440802e+09 ; -4.058001e+08 + i -6.864997e+08 ; -4.186788e+08 + i 1.478556e+09 ; -3.148041e+09 + i -3.342657e+09 ; 5.082209e+08 + i -1.370824e+09 ; -5.307669e+08 + i -6.211677e+08 ; -1.583205e+09 + i -5.437188e+09 ; 2.037702e+09 + i -2.364451e+09 ; -5.490430e+07 + i -2.799963e+08 ; -2.268552e+08 + i 9.837926e+08 ; 1.558531e+08 + i -3.674857e+05 ; 2.350121e+08 + i 5.496416e+07 ; 1.599706e+08 + i 2.635780e+08 ; 9.882270e+07 + i -3.703264e+07 ; 6.616870e+08 + i -8.108291e+08 ; -7.216012e+08 + i -5.546777e+08 ; 1.233930e+08 + i 1.085425e+08 ; 3.191813e+08 + i 1.993036e+08 ; -5.787002e+08 + i 9.673803e+06 ; 9.602529e+07 + i 1.094517e+07 ; -7.290185e+07 + i -2.419093e+08 ; 6.436543e+07 + i 7.660648e+08 ; -9.593804e+07 + i -1.220553e+08 ; 2.328362e+08 + i 2.730052e+07 ; 2.007013e+08 + i 1.928470e+08 ; -7.121749e+07 + i -3.781568e+07 ; 3.528934e+08 + i -5.967528e+08 ; -8.270495e+08 + i -3.644219e+08 ; 1.598081e+08 + i -3.237669e+08 ; 3.183816e+08 + i 1.257589e+08 ; -5.765178e+08 + i 6.687533e+07 ; -1.330689e+07 + i -1.136914e+08 ; 
4.372357e+08 + i 6.865669e+08 ; 6.105754e+08 + i 1.797694e+08 ; -1.506537e+09 + i 6.404253e+09 ; -6.205433e+08 + i -2.446735e+08 ; 6.224800e+08 + i 3.448582e+08 ; -1.253235e+10 + i 1.070102e+10 ; 4.776699e+08 + i 4.540976e+08 ; -4.602869e+08 + i -4.562166e+08 ; 1.426506e+09 + i 4.133645e+09 ; -6.020021e+08 + i -8.585336e+07 ; -4.052257e+08 + i -6.841904e+08 ; -1.458524e+09 + i 6.431161e+09 ; -1.885307e+09 + i 2.640128e+09 ; 4.840765e+08 + i 7.264612e+08 ; -1.542840e+09 + i -5.441651e+09 ; -3.524477e+08 + i -1.130073e+09 ; 2.637442e+08 + i 1.224717e+09 ; 6.093949e+09 + i -9.447709e+09 ; -4.180888e+08 + i 1.478414e+09 ; 5.084697e+08 + i -1.370816e+09 ; -3.151252e+09 + i -3.350975e+09 ; -5.313003e+08 + i -6.215904e+08 ; 2.037634e+09 + i -2.364612e+09 ; -1.584141e+09 + i -5.439534e+09 ; -5.464792e+07 + i -2.797252e+08 ; 1.556881e+08 + i -4.230863e+05 ; -2.260474e+08 + i 9.851326e+08 ; 2.350887e+08 + i 5.470275e+07 ; 9.877521e+07 + i -3.695548e+07 ; 1.603717e+08 + i 2.630621e+08 ; -7.253222e+07 + i -2.418354e+08 ; -9.565419e+07 + i -1.217607e+08 ; 6.490031e+07 + i 7.643351e+08 ; 2.328363e+08 + i 2.702154e+07 ; -7.093674e+07 + i -3.767577e+07 ; 1.999749e+08 + i 1.915087e+08 ; 6.616087e+08 + i -8.104999e+08 ; 1.234755e+08 + i 1.088874e+08 ; -7.219535e+08 + i -5.566491e+08 ; 3.191903e+08 + i 1.997931e+08 ; 9.615125e+07 + i 1.120912e+07 ; -5.794935e+08 + i 8.618858e+06 ; 3.529238e+08 + i -5.964368e+08 ; 1.598184e+08 + i -3.238812e+08 ; -8.278348e+08 + i -3.631283e+08 ; 3.183534e+08 + i 1.259843e+08 ; -1.327384e+07 + i -1.136649e+08 ; -5.770884e+08 + i 6.744584e+07 ; 
-1.588119e+09 + i 6.392417e+09 ; 3.144753e+08 + i 5.912474e+08 ; 6.130889e+08 + i 1.714324e+08 ; -1.612655e+09 + i -5.370703e+09 ; -1.857626e+09 + i 2.664261e+09 ; 5.020044e+08 + i 7.153087e+08 ; -1.263586e+10 + i 1.066388e+10 ; -6.022468e+08 + i -3.336048e+08 ; 6.189694e+08 + i 3.386806e+08 ; 6.098908e+09 + i -9.387200e+09 ; -2.385742e+08 + i -1.151126e+09 ; 2.787371e+08 + i 1.215808e+09 ; 1.343030e+09 + i 4.139152e+09 ; 4.614606e+08 + i 4.394528e+08 ; -4.659417e+08 + i -4.532462e+08 ; -3.204517e+09 + i -3.263717e+09 ; -3.799004e+08 + i 1.500064e+09 ; 4.857634e+08 + i -1.380782e+09 ; -1.573071e+09 + i 6.416242e+09 ; -6.141129e+08 + i -1.734591e+08 ; -4.060834e+08 + i -6.773105e+08 ; -1.581253e+09 + i -5.381233e+09 ; -5.256767e+08 + i -7.132404e+08 ; 2.009812e+09 + i -2.379753e+09 ; 7.868757e+08 + i -1.168900e+08 ; -3.344125e+07 + i 3.468582e+08 ; 1.770134e+08 + i 7.334685e+07 ; 1.565483e+08 + i 3.509673e+08 ; 5.101213e+07 + i 1.386277e+08 ; 1.279874e+08 + i 1.929959e+06 ; 7.821375e+08 + i 1.266382e+08 ; -1.778765e+08 + i -8.617909e+07 ; 1.730473e+08 + i 1.032778e+08 ; 1.226833e+08 + i 3.127405e+08 ; -1.303754e+08 + i 1.960357e+05 ; 1.296692e+08 + i 1.275024e+07 ; 7.456818e+08 + i -2.836846e+08 ; 1.408940e+07 + i 2.877252e+08 ; 1.701010e+07 + i -2.712260e+08 ; 1.884995e+08 + i 3.731850e+08 ; 5.977602e+07 + i 1.192529e+08 ; -4.270050e+07 + i -1.175487e+08 ; 7.889584e+08 + i -1.269818e+08 ; -1.821645e+08 + i -5.882353e+07 ; 6.669007e+07 + i -3.229646e+08 ; 1.548970e+08 + i 3.532995e+08 ; -1.290771e+08 + i 9.840847e+06 ; -3.281782e+07 + i -1.347292e+08 ; 
-7.913302e+07 + i -1.151520e+09 ; 6.175843e+09 + i -9.448359e+09 ; -2.565070e+08 + i -1.221873e+09 ; -2.014345e+09 + i 2.384215e+09 ; -1.557620e+09 + i -5.439929e+09 ; -4.870567e+08 + i -7.258932e+08 ; -5.699206e+08 + i -3.875882e+08 ; -1.256207e+10 + i 1.067598e+10 ; -6.129777e+08 + i -3.506489e+08 ; 2.529613e+08 + i 6.096186e+08 ; -1.514246e+09 + i 6.421907e+09 ; -6.156510e+08 + i -1.803531e+08 ; -4.144123e+08 + i -7.439016e+08 ; -1.517085e+09 + i -5.454214e+09 ; -2.018421e+09 + i 2.370107e+09 ; -4.932132e+08 + i 1.392776e+09 ; -3.171936e+09 + i -3.338296e+09 ; -4.949001e+08 + i 1.372630e+09 ; -5.766168e+08 + i -2.267218e+08 ; -1.520070e+09 + i 6.432398e+09 ; 4.026672e+08 + i 6.767694e+08 ; 4.219007e+08 + i 4.643717e+08 ; 1.414268e+09 + i 4.170509e+09 ; 4.616448e+08 + i 4.539726e+08 ; -2.185180e+08 + i -8.150617e+07 ; -5.766024e+08 + i 5.287495e+06 ; -8.092474e+07 + i 1.024454e+07 ; 1.236911e+07 + i -9.440966e+07 ; -2.725063e+08 + i 1.772679e+08 ; -3.619415e+07 + i 2.989289e+07 ; -8.132385e+07 + i -7.242595e+07 ; 1.626736e+08 + i 2.611995e+08 ; -8.392290e+07 + i 4.044448e+07 ; 2.805179e+07 + i -9.079409e+07 ; 6.573012e+07 + i -9.828991e+06 ; -3.543691e+07 + i 4.213243e+07 ; -2.028363e+08 + i -3.957382e+07 ; -5.775594e+08 + i 6.335958e+07 ; 1.838660e+06 + i 9.051481e+07 ; 6.216218e+06 + i -9.940595e+07 ; -2.652022e+08 + i 1.916296e+08 ; 8.741103e+06 + i 2.326481e+07 ; -8.780133e+07 + i -4.002067e+07 ; 2.023848e+08 + i 1.924391e+08 ; 5.366883e+07 + i 3.623457e+07 ; 2.079715e+07 + i -9.455650e+07 ; 7.028494e+07 + i -2.809752e+07 ; 2.277686e+07 + i 2.883861e+06 ; 
5.910799e+08 + i 1.765004e+08 ; 4.742268e+08 + i 6.464278e+08 ; -1.520160e+09 + i 6.405888e+09 ; -4.755958e+08 + i -4.420505e+08 ; 5.118673e+08 + i 4.134069e+08 ; 1.419687e+09 + i 4.132927e+09 ; 5.987386e+08 + i 3.450685e+08 ; -6.567187e+08 + i -2.971539e+08 ; -1.256775e+10 + i 1.068063e+10 ; -4.190516e+08 + i -6.653966e+08 ; -6.374061e+08 + i -1.257386e+08 ; -1.486968e+09 + i 6.410829e+09 ; 4.481897e+08 + i 7.022869e+08 ; -1.812967e+09 + i 2.613378e+09 ; -1.520266e+09 + i -5.462364e+09 ; 4.750168e+08 + i -1.357769e+09 ; -3.639236e+08 + i 1.449960e+09 ; -3.151279e+09 + i -3.350768e+09 ; 2.437698e+08 + i 1.218113e+09 ; -3.808691e+08 + i -1.220158e+09 ; 6.167502e+09 + i -9.475319e+09 ; 1.990512e+09 + i -2.345746e+09 ; -5.442962e+08 + i -6.757757e+08 ; -1.532379e+09 + i -5.448689e+09 ; 8.578735e+07 + i 3.415778e+07 ; 5.866935e+07 + i 3.232773e+07 ; 2.024749e+08 + i 1.946582e+08 ; -1.634451e+07 + i 9.247938e+07 ; 2.366557e+07 + i 1.085935e+06 ; 6.869672e+07 + i -2.763516e+07 ; 8.300349e+07 + i 6.255299e+07 ; -7.973257e+07 + i 5.018986e+07 ; 1.654414e+08 + i 2.642108e+08 ; -2.416037e+07 + i 8.954726e+07 ; -3.105439e+07 + i 4.646666e+07 ; 6.534936e+07 + i -1.047703e+07 ; 1.988039e+08 + i 3.267203e+07 ; 1.249274e+07 + i 9.369832e+07 ; -5.754909e+08 + i 7.017153e+07 ; -1.915155e+06 + i 9.682149e+07 ; 1.187000e+07 + i 2.345505e+07 ; -2.641334e+08 + i 1.944431e+08 ; 2.182195e+08 + i 6.986207e+07 ; -7.920362e+07 + i 2.057998e+07 ; -5.787907e+08 + i 1.035771e+07 ; -8.605189e+06 + i 9.272366e+07 ; -3.283909e+07 + i 3.460515e+07 ; -2.729211e+08 + i 1.796548e+08 ; 
-1.624770e+09 + i -5.352562e+09 ; 1.663994e+09 + i -2.675268e+09 ; -4.934361e+08 + i -7.298068e+08 ; -1.364982e+09 + i 6.567586e+09 ; -1.522205e+08 + i -5.699391e+08 ; -5.701461e+08 + i -1.677225e+08 ; 6.112539e+09 + i -9.385730e+09 ; 9.854388e+07 + i 1.196218e+09 ; -2.890898e+08 + i -1.238325e+09 ; -1.242735e+10 + i 1.086603e+10 ; 6.274227e+08 + i 3.083247e+08 ; -5.812902e+08 + i -3.330591e+08 ; -3.213306e+09 + i -3.249825e+09 ; 3.211272e+08 + i -1.495640e+09 ; -4.528290e+08 + i 1.392290e+09 ; 1.571046e+09 + i 4.271282e+09 ; -4.056704e+08 + i -4.101165e+08 ; 4.516732e+08 + i 4.011760e+08 ; -1.588582e+09 + i -5.377581e+09 ; 4.775730e+08 + i 7.445555e+08 ; -1.933186e+09 + i 2.454143e+09 ; -1.366411e+09 + i 6.578346e+09 ; 5.742588e+08 + i 1.801785e+08 ; 4.033137e+08 + i 6.218037e+08 ; -2.166230e+06 + i -1.240665e+09 ; -4.876356e+08 + i 8.695697e+08 ; 1.731120e+08 + i 3.600111e+08 ; 7.903455e+08 + i -1.291598e+08 ; 4.798975e+07 + i 4.056144e+08 ; 2.510772e+08 + i 1.945502e+08 ; 9.148678e+08 + i -1.828622e+09 ; -2.274766e+08 + i -4.567722e+08 ; 1.291978e+08 + i 4.675869e+08 ; 7.805141e+08 + i 1.185818e+08 ; -2.853504e+08 + i -2.129899e+08 ; 2.473784e+08 + i 2.438403e+08 ; -4.121663e+08 + i -8.341617e+08 ; -2.011568e+08 + i 6.198229e+08 ; 2.563212e+08 + i -6.167547e+08 ; 7.497128e+08 + i -2.884146e+08 ; 9.373144e+07 + i 3.257005e+08 ; -6.953135e+07 + i -3.484319e+08 ; -1.952282e+07 + i -1.232512e+09 ; -2.355797e+08 + i -3.387506e+08 ; 5.649089e+08 + i -8.381692e+08 ; 7.906425e+08 + i -1.259684e+08 ; -2.796675e+08 + i -1.654087e+08 ; -1.624358e+07 + i -4.243539e+08 ; 
1.686805e+09 + i -2.705694e+09 ; -1.580666e+09 + i -5.422869e+09 ; -5.188858e+08 + i -6.994791e+08 ; 8.555359e+07 + i 1.079286e+09 ; 6.112076e+09 + i -9.434948e+09 ; -3.226971e+08 + i -1.206662e+09 ; -1.509397e+08 + i -6.426684e+08 ; -1.515574e+09 + i 6.421223e+09 ; -6.226453e+08 + i -1.505029e+08 ; 6.316595e+08 + i 2.453396e+08 ; -1.252477e+10 + i 1.068819e+10 ; -6.416124e+08 + i -3.155965e+08 ; 3.429068e+08 + i -1.527335e+09 ; -3.176737e+09 + i -3.325031e+09 ; -4.347405e+08 + i 1.393200e+09 ; 4.606951e+08 + i 6.404184e+08 ; -1.593360e+09 + i -5.430048e+09 ; -1.908594e+09 + i 2.463618e+09 ; -4.067110e+08 + i -4.792878e+08 ; 1.415766e+09 + i 4.166662e+09 ; 4.822408e+08 + i 4.337013e+08 ; 5.782422e+08 + i 1.216014e+08 ; -1.483666e+09 + i 6.446499e+09 ; 4.401903e+08 + i 6.636223e+08 ; -5.893781e+08 + i 8.170648e+08 ; -7.027111e+08 + i -5.560023e+08 ; -1.277085e+08 + i -1.014298e+08 ; -3.130955e+08 + i -1.648767e+08 ; -5.718235e+08 + i 5.967976e+06 ; -9.580467e+07 + i -6.152277e+06 ; 1.200658e+08 + i 2.737885e+08 ; -2.250722e+08 + i 9.830575e+08 ; -1.557644e+08 + i 7.959001e+06 ; -2.294313e+08 + i -2.506980e+07 ; 1.610775e+08 + i 2.665378e+08 ; -9.700750e+07 + i 4.175113e+07 ; -3.067273e+08 + i 5.892530e+08 ; -8.152477e+08 + i -3.693999e+08 ; -1.426990e+08 + i 3.312666e+08 ; -3.061681e+08 + i -9.494705e+07 ; -5.719360e+08 + i 6.371008e+07 ; 1.922606e+07 + i 1.127018e+08 ; 1.102899e+08 + i 2.255874e+08 ; 6.308738e+07 + i 7.667727e+08 ; 1.018388e+08 + i 1.170107e+08 ; -2.209064e+08 + i -1.283267e+06 ; 2.010977e+08 + i 1.976516e+08 ; 7.286265e+07 + i 3.417994e+07 ; 
