-7.188296e+09 + i 1.452308e+10 ; 6.510787e+08 + i -1.166148e+09 ; 6.416578e+08 + i -1.167958e+09 ; -2.620811e+07 + i -1.094887e+10 ; 1.905959e+09 + i 8.218710e+08 ; 1.899623e+09 + i 8.025859e+08 ; 2.316702e+09 + i 3.778171e+09 ; -7.792133e+08 + i 1.481043e+08 ; 6.616179e+07 + i -1.333068e+09 ; -5.751570e+09 + i -7.027098e+08 ; 4.900080e+08 + i -3.952493e+09 ; 1.291944e+09 + i -4.166021e+08 ; 2.312379e+09 + i 3.802994e+09 ; 7.406170e+07 + i -1.353028e+09 ; -7.621475e+08 + i 1.494339e+08 ; -5.750245e+09 + i -6.894329e+08 ; 1.320730e+09 + i -4.119541e+08 ; 4.926275e+08 + i -3.948755e+09 ; 2.235825e+09 + i -1.494669e+09 ; -2.588989e+08 + i 4.971441e+08 ; -2.477543e+08 + i 5.146312e+08 ; -4.113878e+09 + i 4.313206e+09 ; -4.942142e+08 + i -1.476107e+09 ; -4.959842e+08 + i -1.466001e+09 ; 8.833185e+08 + i -6.578250e+08 ; 2.185899e+08 + i -2.661625e+08 ; 2.176113e+08 + i -2.719932e+08 ; 5.754179e+08 + i -3.034737e+08 ; -7.471601e+06 + i -2.275517e+08 ; -9.083573e+06 + i -2.286924e+08 ; 3.894999e+08 + i -1.034667e+09 ; -1.529011e+08 + i -3.678861e+08 ; 1.383981e+08 + i -3.143138e+08 ; 8.506219e+08 + i -4.620620e+08 ; -6.223361e+07 + i -1.284643e+08 ; -4.645413e+07 + i -2.252937e+08 ; 3.920675e+08 + i -1.036184e+09 ; 1.430682e+08 + i -3.145555e+08 ; -1.488552e+08 + i -3.680565e+08 ; 8.472674e+08 + i -4.667267e+08 ; -4.459328e+07 + i -2.280734e+08 ; -5.880302e+07 + i -1.300843e+08 ; -1.004537e+08 + i -1.144632e+09 ; -1.329879e+08 + i -2.669306e+08 ; -1.307000e+08 + i -2.662097e+08 ; 1.063233e+09 + i -7.044347e+08 ; -3.748359e+07 + i -1.143461e+08 ; -3.596746e+07 + i -1.131941e+08 ; 
6.337690e+08 + i -1.123147e+09 ; -7.136166e+09 + i 1.432277e+10 ; 6.606055e+08 + i -1.161442e+09 ; -7.760371e+08 + i 2.043184e+08 ; 2.261056e+09 + i 3.542843e+09 ; 7.988261e+07 + i -1.334195e+09 ; 1.883374e+09 + i 8.839146e+08 ; -1.699625e+08 + i -1.115145e+10 ; 1.920975e+09 + i 8.454077e+08 ; 4.947599e+08 + i -3.858319e+09 ; -5.900034e+09 + i -8.704264e+08 ; 1.313426e+09 + i -3.838003e+08 ; 5.674024e+07 + i -1.305240e+09 ; 2.319082e+09 + i 3.567651e+09 ; -7.570360e+08 + i 1.634693e+08 ; -2.596784e+08 + i 5.476875e+08 ; 2.182998e+09 + i -1.694517e+09 ; -2.487281e+08 + i 5.235829e+08 ; 1.297756e+09 + i -3.417843e+08 ; -5.903278e+09 + i -8.585265e+08 ; 5.108831e+08 + i -3.929692e+09 ; -4.849225e+08 + i -1.390685e+09 ; -4.256189e+09 + i 4.185509e+09 ; -4.915496e+08 + i -1.455504e+09 ; 1.477647e+08 + i 1.077942e+07 ; -1.429310e+08 + i 1.822233e+08 ; -1.004098e+08 + i -1.675304e+08 ; 1.932459e+08 + i 9.848818e+07 ; -1.249147e+08 + i 2.992178e+08 ; -7.502073e+07 + i -5.933716e+07 ; 4.411499e+08 + i -5.971152e+07 ; -1.777381e+08 + i 6.264285e+08 ; -2.056992e+07 + i -1.479273e+08 ; 1.993858e+08 + i 2.020837e+08 ; 4.134273e+07 + i 2.257852e+08 ; -4.320546e+07 + i -6.352307e+07 ; 7.941827e+07 + i -3.179925e+06 ; -2.813106e+08 + i 1.362935e+08 ; -2.810071e+07 + i -6.500022e+07 ; 2.262634e+08 + i 5.387242e+07 ; -1.605572e+08 + i 3.353121e+08 ; -3.213747e+07 + i -6.902492e+07 ; 3.203861e+08 + i -1.067180e+08 ; -3.466442e+05 + i 6.600413e+08 ; -4.672292e+07 + i -1.518066e+08 ; 2.495445e+08 + i 1.599884e+08 ; 9.025894e+07 + i 1.869525e+08 ; -4.740719e+07 + i -8.896023e+07 ; 
6.301169e+08 + i -1.116951e+09 ; 6.613822e+08 + i -1.164049e+09 ; -7.147948e+09 + i 1.426078e+10 ; -7.705262e+08 + i 2.039134e+08 ; 7.436601e+07 + i -1.338299e+09 ; 2.214190e+09 + i 3.560513e+09 ; 5.050557e+07 + i -1.301525e+09 ; -7.573321e+08 + i 1.498002e+08 ; 2.243226e+09 + i 3.545765e+09 ; -2.576471e+08 + i 5.584490e+08 ; -2.566874e+08 + i 5.110959e+08 ; 2.136916e+09 + i -1.607060e+09 ; 1.873386e+09 + i 8.789563e+08 ; 1.921831e+09 + i 8.391041e+08 ; -1.958505e+08 + i -1.115089e+10 ; 4.947476e+08 + i -3.859879e+09 ; 1.307710e+09 + i -3.871858e+08 ; -5.878929e+09 + i -8.274330e+08 ; 1.289499e+09 + i -3.484066e+08 ; 5.145373e+08 + i -3.927684e+09 ; -5.901035e+09 + i -8.561103e+08 ; -4.785473e+08 + i -1.392247e+09 ; -4.873684e+08 + i -1.456228e+09 ; -4.252619e+09 + i 4.234319e+09 ; 1.473841e+08 + i 9.304627e+06 ; -9.985580e+07 + i -1.680529e+08 ; -1.533949e+08 + i 1.871643e+08 ; 1.935186e+08 + i 9.793485e+07 ; -7.459231e+07 + i -5.944001e+07 ; -1.236490e+08 + i 3.030892e+08 ; 7.821883e+07 + i -3.716476e+06 ; -2.933629e+07 + i -6.541803e+07 ; -2.817399e+08 + i 1.434267e+08 ; 2.261883e+08 + i 5.377416e+07 ; -3.301510e+07 + i -6.889577e+07 ; -1.551207e+08 + i 3.355684e+08 ; 4.425406e+08 + i -6.064363e+07 ; -2.066924e+07 + i -1.490028e+08 ; -1.778214e+08 + i 6.211561e+08 ; 2.008734e+08 + i 2.003942e+08 ; -4.298246e+07 + i -6.437090e+07 ; 3.470145e+07 + i 2.217049e+08 ; 3.222400e+08 + i -1.067609e+08 ; -4.668421e+07 + i -1.526884e+08 ; -1.179245e+06 + i 6.536812e+08 ; 2.501679e+08 + i 1.594842e+08 ; -4.790527e+07 + i -9.014019e+07 ; 8.658339e+07 + i 1.813696e+08 ; 
-5.817388e+07 + i -1.097534e+10 ; -1.984712e+09 + i -6.726280e+08 ; -1.982300e+09 + i -6.474058e+08 ; -6.916783e+09 + i 1.436921e+10 ; -5.280028e+08 + i 1.088690e+09 ; -5.176551e+08 + i 1.086138e+09 ; -5.758964e+09 + i -6.995050e+08 ; -1.053572e+08 + i 3.775849e+09 ; -1.277975e+09 + i 4.705195e+08 ; 2.563110e+09 + i 3.571319e+09 ; 6.719823e+08 + i -2.532611e+08 ; 4.163248e+07 + i 1.180677e+09 ; -5.760080e+09 + i -6.994934e+08 ; -1.306199e+09 + i 4.589060e+08 ; -1.046692e+08 + i 3.775389e+09 ; 2.560277e+09 + i 3.584960e+09 ; 3.104631e+07 + i 1.200855e+09 ; 6.573038e+08 + i -2.581456e+08 ; -4.119927e+09 + i 4.283885e+09 ; 5.956848e+08 + i 1.313495e+09 ; 6.010059e+08 + i 1.307152e+09 ; 2.426948e+09 + i -1.795163e+09 ; 1.491165e+08 + i -5.323407e+08 ; 1.471188e+08 + i -5.517812e+08 ; -8.372024e+07 + i -2.059972e+09 ; 7.740185e+08 + i 1.312626e+08 ; 7.751017e+08 + i 1.238226e+08 ; 8.950880e+08 + i -6.078500e+08 ; 3.566454e+08 + i -3.903439e+08 ; 3.535545e+08 + i -3.913314e+08 ; -4.089164e+08 + i -8.451902e+08 ; -5.494292e+07 + i -1.079886e+09 ; 6.257765e+08 + i -1.267523e+08 ; 4.050067e+08 + i -1.002022e+09 ; -1.851903e+08 + i -1.159676e+08 ; 2.133674e+08 + i -4.493747e+08 ; -4.152026e+08 + i -8.528335e+08 ; 6.327740e+08 + i -1.246714e+08 ; -5.419520e+07 + i -1.076222e+09 ; 4.032742e+08 + i -1.006586e+09 ; 2.182185e+08 + i -4.547145e+08 ; -1.788133e+08 + i -1.120528e+08 ; -1.793024e+08 + i -1.807040e+08 ; -1.958064e+08 + i -5.526877e+08 ; -1.966474e+08 + i -5.491673e+08 ; -1.071553e+08 + i -1.127591e+09 ; -9.125017e+07 + i 1.896106e+07 ; -9.044545e+07 + i 2.571165e+07 ; 
6.595075e+08 + i -2.675301e+08 ; 2.277325e+09 + i 3.602116e+09 ; -5.651189e+07 + i -1.282700e+09 ; -6.349762e+07 + i 1.055746e+09 ; -7.187407e+09 + i 1.431188e+10 ; 4.850443e+08 + i -1.192065e+09 ; 8.338366e+08 + i 3.219540e+09 ; -5.910694e+09 + i -8.661567e+08 ; 1.215118e+09 + i -4.874457e+08 ; -1.548877e+09 + i -7.153817e+07 ; -1.751622e+08 + i -1.106019e+10 ; 1.897378e+09 + i 5.800009e+08 ; 1.792143e+08 + i -3.861692e+08 ; 2.213839e+09 + i -1.677437e+09 ; -1.808593e+08 + i 5.120363e+08 ; 4.187516e+08 + i 1.021954e+09 ; 2.255613e+09 + i 3.612973e+09 ; -7.140657e+08 + i 2.305212e+08 ; 8.753810e+08 + i 1.062040e+09 ; -4.264081e+09 + i 4.173574e+09 ; -6.118745e+08 + i -1.339034e+09 ; -7.615822e+08 + i 6.792816e+08 ; -5.863622e+09 + i -7.380085e+08 ; 6.769667e+07 + i -3.809451e+09 ; -3.581555e+08 + i -6.608864e+07 ; 8.974001e+07 + i 8.123061e+08 ; -3.763263e+07 + i -3.157637e+08 ; -7.875975e+07 + i -5.413508e+08 ; -1.375778e+08 + i 2.019332e+08 ; -1.300141e+08 + i -1.765957e+08 ; -2.509072e+08 + i -1.135865e+09 ; -1.010056e+09 + i 4.255343e+08 ; 1.813680e+08 + i -1.476024e+08 ; 4.245584e+08 + i -3.934689e+08 ; -1.743420e+08 + i 6.329746e+08 ; 1.678832e+06 + i -1.534565e+08 ; -2.913187e+08 + i -1.798436e+06 ; 5.955800e+07 + i 3.673424e+08 ; -1.297306e+08 + i -2.784000e+07 ; -1.872832e+08 + i -5.576054e+08 ; -2.635627e+08 + i 1.545133e+08 ; -1.498824e+07 + i -2.019218e+07 ; -3.226861e+08 + i -6.802322e+08 ; -7.824025e+08 + i 8.265381e+08 ; -1.125756e+08 + i -4.599762e+08 ; 2.463501e+08 + i -5.206548e+08 ; 3.757844e+06 + i 6.712343e+08 ; -9.567155e+07 + i -1.283517e+08 ; 
6.570360e+08 + i -2.693240e+08 ; -5.928793e+07 + i -1.284975e+09 ; 2.230768e+09 + i 3.600107e+09 ; -6.061242e+07 + i 1.043569e+09 ; 4.819810e+08 + i -1.194873e+09 ; -7.213784e+09 + i 1.428194e+10 ; 1.760993e+08 + i -3.917800e+08 ; -1.889053e+08 + i 5.005019e+08 ; 2.172301e+09 + i -1.598939e+09 ; 4.212471e+08 + i 1.016908e+09 ; -7.192409e+08 + i 2.173160e+08 ; 2.180606e+09 + i 3.627152e+09 ; 8.357859e+08 + i 3.226332e+09 ; 1.211042e+09 + i -4.908887e+08 ; -5.891030e+09 + i -8.360366e+08 ; -1.537645e+09 + i -6.821596e+07 ; 1.895026e+09 + i 5.743020e+08 ; -1.898162e+08 + i -1.103732e+10 ; 8.712361e+08 + i 1.067830e+09 ; -6.086306e+08 + i -1.340267e+09 ; -4.238052e+09 + i 4.214998e+09 ; -7.555719e+08 + i 6.820562e+08 ; 7.191415e+07 + i -3.808348e+09 ; -5.853559e+09 + i -7.196254e+08 ; -3.596319e+08 + i -6.623425e+07 ; -3.666768e+07 + i -3.158365e+08 ; 8.458337e+07 + i 8.096673e+08 ; -7.993344e+07 + i -5.393504e+08 ; -1.300506e+08 + i -1.766955e+08 ; -1.358980e+08 + i 2.067768e+08 ; -2.908967e+08 + i -1.249098e+06 ; -1.315117e+08 + i -2.930336e+07 ; 5.646753e+07 + i 3.753231e+08 ; -1.868219e+08 + i -5.571588e+08 ; -1.709244e+07 + i -2.030432e+07 ; -2.539535e+08 + i 1.594958e+08 ; -2.540528e+08 + i -1.138257e+09 ; 1.811892e+08 + i -1.496119e+08 ; -1.011126e+09 + i 4.288595e+08 ; 4.190952e+08 + i -3.961135e+08 ; 1.066361e+06 + i -1.543716e+08 ; -1.738349e+08 + i 6.301929e+08 ; -3.226708e+08 + i -6.830472e+08 ; -1.123744e+08 + i -4.601421e+08 ; -7.769580e+08 + i 8.186810e+08 ; 2.442861e+08 + i -5.228984e+08 ; -9.597943e+07 + i -1.294513e+08 ; 7.549587e+06 + i 6.633399e+08 ; 
2.298912e+09 + i 3.833485e+09 ; 5.867897e+08 + i 3.528714e+08 ; -6.495076e+07 + i -1.234008e+09 ; -5.761374e+09 + i -5.913803e+08 ; 9.323951e+08 + i 3.066072e+09 ; 1.146966e+09 + i -5.029862e+08 ; -7.158858e+09 + i 1.444451e+10 ; -5.131062e+08 + i 9.938258e+08 ; 4.686539e+08 + i -1.127816e+09 ; -1.396374e+08 + i -1.100459e+10 ; -1.671949e+09 + i -7.839309e+08 ; 1.813608e+09 + i 5.409608e+08 ; 2.200192e+09 + i -1.471783e+09 ; 2.076463e+08 + i -4.462436e+08 ; -1.748962e+08 + i 4.888223e+08 ; -4.051932e+09 + i 4.352046e+09 ; 9.062189e+08 + i 7.688304e+08 ; -6.050016e+08 + i -1.290893e+09 ; 2.238600e+09 + i 3.767813e+09 ; 1.012094e+08 + i 1.222276e+09 ; -6.815986e+08 + i 2.207114e+08 ; -5.756087e+09 + i -6.434633e+08 ; -1.007750e+09 + i 6.585758e+08 ; 5.097840e+07 + i -3.662970e+09 ; 4.106538e+08 + i -1.035934e+09 ; 2.536634e+08 + i 1.644478e+08 ; 9.673478e+07 + i -3.006514e+08 ; 8.547588e+08 + i -4.438297e+08 ; 8.110835e+07 + i 4.361405e+07 ; -6.360760e+07 + i -2.019978e+08 ; 8.981716e+08 + i -6.487653e+08 ; -8.043035e+07 + i 2.172485e+08 ; 1.677927e+08 + i -2.717962e+08 ; 5.858329e+08 + i -2.959180e+08 ; 7.731412e+07 + i 1.357986e+08 ; -3.302707e+07 + i -2.077762e+08 ; -9.715007e+07 + i -1.149279e+09 ; 1.812708e+08 + i 9.962354e+07 ; -1.465851e+08 + i -2.322697e+08 ; 1.071231e+09 + i -6.884741e+08 ; 5.414930e+07 + i 4.665622e+07 ; -4.478155e+07 + i -1.010300e+08 ; 4.110919e+08 + i -1.028269e+09 ; -6.993227e+06 + i 2.388438e+08 ; -1.738367e+08 + i -3.218609e+08 ; 8.617883e+08 + i -4.694643e+08 ; 1.057681e+08 + i 1.233893e+08 ; -6.764779e+07 + i -1.127964e+08 ; 
-1.861250e+09 + i -1.372471e+09 ; -2.156421e+08 + i -1.124763e+10 ; -1.857715e+09 + i -5.802731e+08 ; -1.156657e+08 + i 3.416565e+09 ; -5.914197e+09 + i -7.094302e+08 ; -1.165320e+09 + i 4.949894e+08 ; -6.326666e+08 + i 1.207915e+09 ; -7.207483e+09 + i 1.428599e+10 ; -4.835011e+08 + i 1.142189e+09 ; 7.886006e+08 + i 3.945253e+08 ; 2.362362e+09 + i 3.638825e+09 ; 7.640372e+07 + i 1.236477e+09 ; -1.304259e+09 + i 3.370501e+08 ; -5.913954e+09 + i -8.608077e+08 ; -7.487429e+07 + i 3.657490e+09 ; 6.373003e+08 + i 1.066683e+09 ; -4.239532e+09 + i 4.226854e+09 ; 5.970664e+08 + i 1.290037e+09 ; -8.807936e+07 + i 1.369661e+09 ; 2.303243e+09 + i 3.546594e+09 ; 6.765406e+08 + i -2.250737e+08 ; 3.305975e+08 + i -5.013736e+08 ; 2.236457e+09 + i -1.779307e+09 ; 1.797451e+08 + i -5.060061e+08 ; -4.452491e+08 + i 1.270055e+08 ; -1.937417e+08 + i 6.404212e+08 ; 3.205690e+07 + i 1.346289e+08 ; -2.414929e+08 + i -1.735335e+08 ; 4.108047e+07 + i 2.407803e+08 ; 4.549473e+07 + i 5.432334e+07 ; -1.947051e+08 + i 2.189536e+07 ; -1.409803e+08 + i 1.913703e+08 ; 1.097032e+08 + i 1.443216e+08 ; -2.202116e+08 + i -8.360064e+07 ; -1.278827e+08 + i 2.977412e+08 ; 7.567859e+07 + i 4.677694e+07 ; -2.957870e+08 + i 1.599605e+08 ; -4.308975e+06 + i 6.846036e+08 ; 5.714213e+07 + i 1.344200e+08 ; -2.930118e+08 + i -1.141947e+08 ; 9.434834e+07 + i 2.059289e+08 ; 5.168704e+07 + i 7.729434e+07 ; -9.911412e+07 + i 3.769008e+07 ; -2.764030e+08 + i 1.423595e+08 ; 3.147726e+07 + i 5.612162e+07 ; -2.592917e+08 + i -2.481532e+07 ; -1.671757e+08 + i 3.365559e+08 ; 3.600467e+07 + i 6.015913e+07 ; 
-6.443531e+06 + i -1.184632e+09 ; 5.189228e+08 + i -3.309484e+08 ; 2.251942e+09 + i 3.564363e+09 ; -2.076167e+08 + i 5.457984e+08 ; 8.851706e+07 + i -4.508676e+08 ; 2.179831e+09 + i -1.611719e+09 ; 4.985193e+08 + i -1.076748e+09 ; -1.993630e+08 + i 1.029575e+09 ; -7.195084e+09 + i 1.425863e+10 ; -6.782970e+08 + i 2.609069e+08 ; 2.685452e+08 + i 1.004539e+09 ; 2.201843e+09 + i 3.623152e+09 ; 1.139976e+09 + i -2.772267e+08 ; 6.182821e+08 + i 3.010993e+09 ; -5.915504e+09 + i -8.535637e+08 ; -5.863073e+08 + i -1.223359e+09 ; 7.830199e+08 + i 9.717598e+08 ; -4.241568e+09 + i 4.226291e+09 ; 1.790626e+09 + i 6.792715e+08 ; -1.653163e+09 + i -1.514923e+08 ; -2.070682e+08 + i -1.113648e+10 ; 2.167952e+08 + i -3.548427e+09 ; -8.407111e+08 + i 5.014284e+08 ; -5.877867e+09 + i -8.008937e+08 ; 6.538033e+07 + i -1.772248e+07 ; 3.425473e+07 + i 3.024305e+07 ; -2.837300e+08 + i 1.402504e+08 ; 2.103095e+08 + i 3.007147e+07 ; 3.882345e+07 + i 3.608847e+07 ; -1.578456e+08 + i 3.343203e+08 ; 1.290252e+08 + i 1.915174e+05 ; 1.096558e+08 + i 8.970973e+07 ; -1.545973e+08 + i 1.969677e+08 ; 1.817710e+08 + i 6.884448e+07 ; 6.580060e+07 + i 1.995984e+07 ; -1.202269e+08 + i 3.049762e+08 ; 2.854066e+08 + i -1.279174e+08 ; 7.739923e+07 + i 8.802063e+07 ; -5.511454e+06 + i 6.534803e+08 ; 2.369683e+08 + i 1.256433e+08 ; 5.853034e+07 + i 4.608804e+07 ; 8.346504e+07 + i 1.836185e+08 ; 3.974450e+08 + i -8.269251e+07 ; 5.177208e+07 + i 8.710049e+07 ; -1.794191e+08 + i 6.188103e+08 ; 1.963445e+08 + i 1.641750e+08 ; 4.447137e+07 + i 2.883995e+07 ; 3.349873e+07 + i 2.213961e+08 ; 
-5.699274e+09 + i -6.040627e+08 ; -3.166044e+08 + i -2.773407e+09 ; -1.087899e+09 + i 4.515990e+08 ; 2.586953e+09 + i 3.595827e+09 ; -9.414741e+08 + i -4.481358e+08 ; 7.825014e+07 + i 1.019694e+09 ; -1.908677e+08 + i -1.097741e+10 ; 2.060974e+09 + i 9.636420e+08 ; -1.729581e+09 + i -4.642961e+08 ; -6.890160e+09 + i 1.440388e+10 ; 1.619039e+08 + i -9.066055e+08 ; -3.964764e+08 + i 9.539285e+08 ; -4.037264e+09 + i 4.324931e+09 ; -6.730130e+08 + i -6.870693e+08 ; 5.762172e+08 + i 1.100589e+09 ; 2.399336e+09 + i -1.786292e+09 ; -2.811630e+08 + i 4.380792e+08 ; 9.719054e+07 + i -4.797176e+08 ; -5.756789e+09 + i -6.508954e+08 ; 1.163281e+09 + i -5.424243e+08 ; 8.467710e+07 + i 3.264047e+09 ; 2.530835e+09 + i 3.563252e+09 ; -1.038841e+08 + i -1.091870e+09 ; 5.586372e+08 + i -2.574298e+08 ; -4.438072e+08 + i -8.823750e+08 ; 1.202136e+08 + i 8.645586e+08 ; 5.372069e+08 + i -1.347225e+08 ; 4.107350e+08 + i -1.022959e+09 ; 1.441123e+08 + i 1.448280e+08 ; 1.676012e+08 + i -3.980888e+08 ; -7.605446e+07 + i -2.065109e+09 ; -5.461419e+08 + i 1.535223e+08 ; 6.720380e+08 + i 6.934201e+07 ; 9.003601e+08 + i -6.306181e+08 ; -1.970589e+08 + i 3.709845e+08 ; 2.860364e+08 + i -3.524082e+08 ; -2.070663e+08 + i -1.948942e+08 ; 1.859742e+08 + i 4.674469e+08 ; -1.934171e+08 + i -4.661667e+08 ; -1.089676e+08 + i -1.145966e+09 ; 8.073086e+07 + i 5.332578e+07 ; -7.553769e+07 + i 2.467555e+07 ; -4.096496e+08 + i -8.683079e+08 ; -4.296808e+08 + i 2.364867e+08 ; -9.604808e+07 + i -9.265387e+08 ; 3.955255e+08 + i -1.029222e+09 ; -1.045469e+08 + i 3.928344e+08 ; -1.600281e+08 + i -8.736630e+07 ; 
-3.922299e+08 + i -2.872722e+09 ; -5.817537e+09 + i -7.541755e+08 ; -1.029289e+09 + i 4.799498e+08 ; 1.868928e+09 + i 9.175149e+08 ; -2.526635e+08 + i -1.107474e+10 ; -1.671081e+09 + i -4.105604e+08 ; -1.090354e+09 + i -5.156827e+08 ; 2.400363e+09 + i 3.629177e+09 ; 1.163243e+08 + i 1.105781e+09 ; 5.799654e+07 + i -9.663893e+08 ; -7.205334e+09 + i 1.438121e+10 ; -3.578149e+08 + i 1.061810e+09 ; -7.602566e+08 + i -7.843957e+08 ; -4.202973e+09 + i 4.198432e+09 ; 5.885181e+08 + i 1.134951e+09 ; 9.913481e+08 + i -5.692327e+08 ; -5.877082e+09 + i -7.321820e+08 ; 1.124752e+08 + i 3.301366e+09 ; -4.212826e+08 + i 3.796502e+08 ; 2.245768e+09 + i -1.767463e+09 ; 1.332378e+08 + i -4.550047e+08 ; -2.056356e+08 + i -1.149412e+09 ; 2.282885e+09 + i 3.585574e+09 ; 6.068559e+08 + i -2.289182e+08 ; 1.368732e+08 + i 9.922076e+08 ; -1.037217e+09 + i 3.804962e+08 ; -1.538908e+08 + i 1.363527e+08 ; -3.922525e+08 + i 2.524828e+08 ; -1.908942e+08 + i 6.328541e+08 ; 4.951292e+06 + i 1.339942e+08 ; 2.638954e+08 + i -6.930304e+07 ; 9.182216e+07 + i 8.104594e+08 ; 4.718677e+07 + i 2.728857e+08 ; 1.046295e+08 + i 4.350878e+08 ; -1.331230e+08 + i 1.783131e+08 ; 1.221525e+08 + i 1.470148e+08 ; 2.477674e+08 + i 6.174099e+08 ; -8.115337e+08 + i 8.097541e+08 ; 1.172997e+08 + i 3.922698e+08 ; -2.776501e+08 + i 3.825270e+08 ; -1.232339e+07 + i 6.778294e+08 ; 8.769080e+07 + i 1.070583e+08 ; 2.335937e+08 + i -3.405198e+07 ; 6.556719e+07 + i 3.563671e+08 ; 1.129367e+08 + i 1.684857e+07 ; 1.498767e+08 + i 4.486039e+08 ; -2.713678e+08 + i 1.241773e+08 ; 1.337157e+07 + i 1.620896e+07 ; 
