2.439083e+07 + i 1.198262e+10 ; -1.352906e+09 + i -3.227570e+08 ; -1.333980e+09 + i -3.337475e+08 ; -5.119519e+09 + i -6.336211e+09 ; 1.039153e+09 + i -1.829578e+09 ; 1.065084e+09 + i -1.809226e+09 ; 1.939638e+09 + i 1.178721e+09 ; -4.137193e+08 + i 4.881614e+08 ; -1.114888e+09 + i 4.049268e+08 ; -2.557073e+09 + i 3.372512e+09 ; -2.687157e+09 + i -1.917892e+09 ; -5.407769e+08 + i -1.114785e+09 ; 1.939508e+09 + i 1.161682e+09 ; -1.124287e+09 + i 4.213060e+08 ; -4.331418e+08 + i 4.919129e+08 ; -2.549771e+09 + i 3.361594e+09 ; -5.832348e+08 + i -1.114825e+09 ; -2.694744e+09 + i -1.920323e+09 ; -4.818537e+08 + i 9.009928e+08 ; -4.609895e+08 + i 7.573792e+07 ; -4.785203e+08 + i 5.959168e+07 ; 1.816798e+09 + i 2.716609e+09 ; -1.234468e+09 + i -1.847464e+08 ; -1.247356e+09 + i -1.993127e+08 ; -2.517174e+08 + i -7.999917e+08 ; -2.971049e+08 + i -4.092104e+07 ; -2.912229e+08 + i -3.796630e+07 ; -1.559095e+08 + i -3.214365e+08 ; -1.833646e+08 + i 1.469951e+08 ; -1.796115e+08 + i 1.455815e+08 ; -8.400566e+08 + i -6.186876e+08 ; -3.834326e+08 + i 8.994555e+07 ; -3.094667e+08 + i 5.429139e+07 ; -4.119222e+08 + i -7.119262e+08 ; -1.951129e+08 + i 1.543406e+08 ; -1.599045e+08 + i 1.666661e+08 ; -8.356741e+08 + i -6.196140e+08 ; -3.162155e+08 + i 5.679675e+07 ; -3.872947e+08 + i 9.581796e+07 ; -4.032795e+08 + i -7.117190e+08 ; -1.617883e+08 + i 1.698854e+08 ; -1.950164e+08 + i 1.608125e+08 ; -9.973344e+08 + i -2.506855e+08 ; -3.365722e+08 + i 1.134384e+08 ; -3.414246e+08 + i 1.168800e+08 ; -8.944120e+08 + i -8.821662e+08 ; -1.908177e+08 + i 1.689460e+08 ; -1.952203e+08 + i 1.714766e+08 ; 
-1.227655e+09 + i -3.605091e+08 ; -2.103880e+08 + i 1.219005e+10 ; -1.329517e+09 + i -3.603469e+08 ; -2.792456e+08 + i 4.221112e+08 ; 1.909376e+09 + i 1.391269e+09 ; -1.111997e+09 + i 3.947216e+08 ; 1.184860e+09 + i -1.872132e+09 ; -5.239604e+09 + i -6.118682e+09 ; 1.082044e+09 + i -1.866711e+09 ; -2.515281e+09 + i -2.022090e+09 ; -2.640098e+09 + i 3.583377e+09 ; -5.102460e+08 + i -1.147354e+09 ; -9.998253e+08 + i 3.730036e+08 ; 1.797125e+09 + i 1.321156e+09 ; -4.293939e+08 + i 4.581390e+08 ; -3.106195e+08 + i -2.374689e+06 ; -5.817860e+08 + i 9.946245e+08 ; -4.763071e+08 + i 4.223877e+07 ; -4.420532e+08 + i -1.165895e+09 ; -2.696518e+09 + i 3.631309e+09 ; -2.676852e+09 + i -1.984726e+09 ; -1.066503e+09 + i -2.843706e+08 ; 1.697880e+09 + i 3.002318e+09 ; -1.221467e+09 + i -2.465116e+08 ; -4.647351e+07 + i -3.503020e+08 ; 3.844143e+08 + i 2.579302e+08 ; -1.222315e+08 + i 2.063879e+08 ; 2.878770e+07 + i -3.695959e+08 ; 3.681098e+08 + i 3.493869e+07 ; -1.690559e+07 + i 1.607879e+08 ; 4.604526e+07 + i -6.537418e+08 ; 5.042507e+08 + i 3.214266e+08 ; -1.205290e+08 + i 1.418128e+08 ; 2.551002e+08 + i -3.984388e+08 ; 3.763293e+08 + i 2.237765e+07 ; -1.871044e+07 + i 1.359868e+08 ; -5.505925e+07 + i -3.337327e+08 ; 4.607059e+08 + i 3.101832e+08 ; -1.164452e+08 + i 2.034964e+08 ; -3.336029e+07 + i -3.643055e+08 ; 3.997628e+08 + i -8.206820e+04 ; -1.634967e+07 + i 1.705774e+08 ; -5.323839e+07 + i -5.426737e+08 ; 5.169178e+08 + i 2.084099e+08 ; -1.528496e+08 + i 1.444283e+08 ; 1.633834e+08 + i -4.604185e+08 ; 3.636006e+08 + i 1.997328e+07 ; -3.322779e+07 + i 1.530042e+08 ; 
-1.222652e+09 + i -3.733684e+08 ; -1.327106e+09 + i -3.546661e+08 ; -1.512897e+08 + i 1.221239e+10 ; -2.801092e+08 + i 4.246977e+08 ; -1.110915e+09 + i 3.925019e+08 ; 1.964514e+09 + i 1.323372e+09 ; -9.869725e+08 + i 3.639011e+08 ; -4.231616e+08 + i 4.769487e+08 ; 1.919037e+09 + i 1.344767e+09 ; -3.114686e+08 + i -1.343126e+07 ; -4.582000e+08 + i 5.182559e+07 ; -5.617925e+08 + i 9.267378e+08 ; 1.202801e+09 + i -1.870723e+09 ; 1.081576e+09 + i -1.854927e+09 ; -5.231435e+09 + i -6.123395e+09 ; -2.506074e+09 + i -2.016159e+09 ; -5.188920e+08 + i -1.140488e+09 ; -2.671966e+09 + i 3.578210e+09 ; -4.312944e+08 + i -1.152790e+09 ; -2.676463e+09 + i -1.981317e+09 ; -2.718252e+09 + i 3.589787e+09 ; -1.077492e+09 + i -2.694886e+08 ; -1.216775e+09 + i -2.305934e+08 ; 1.659496e+09 + i 2.945367e+09 ; -4.891096e+07 + i -3.480282e+08 ; -1.231158e+08 + i 2.083686e+08 ; 3.868903e+08 + i 2.535354e+08 ; 2.793738e+07 + i -3.689011e+08 ; -1.655068e+07 + i 1.625745e+08 ; 3.649733e+08 + i 3.599506e+07 ; -5.752555e+07 + i -3.347528e+08 ; -1.153763e+08 + i 2.005251e+08 ; 4.529705e+08 + i 3.077751e+08 ; -3.510629e+07 + i -3.659770e+08 ; -1.726900e+07 + i 1.674894e+08 ; 3.960991e+08 + i 4.106464e+06 ; 4.500759e+07 + i -6.483628e+08 ; -1.199689e+08 + i 1.452356e+08 ; 5.181048e+08 + i 3.301959e+08 ; 2.542043e+08 + i -3.936925e+08 ; -1.681899e+07 + i 1.378043e+08 ; 3.890042e+08 + i 1.816272e+07 ; -5.859155e+07 + i -5.421551e+08 ; -1.504176e+08 + i 1.418482e+08 ; 5.234672e+08 + i 2.177342e+08 ; 1.629171e+08 + i -4.606965e+08 ; -3.067515e+07 + i 1.495485e+08 ; 3.749150e+08 + i 2.552999e+07 ; 
-5.081172e+09 + i -6.338835e+09 ; -9.574499e+08 + i 1.490800e+09 ; -9.808492e+08 + i 1.478340e+09 ; -2.050693e+07 + i 1.179485e+10 ; 9.263839e+08 + i 3.841688e+08 ; 9.146033e+08 + i 3.971110e+08 ; -2.544536e+09 + i 3.372289e+09 ; 1.968135e+09 + i 1.762657e+09 ; 3.195482e+08 + i 1.026330e+09 ; 1.767395e+09 + i 1.007320e+09 ; 2.868960e+08 + i -2.715034e+08 ; 7.918963e+08 + i -1.817259e+08 ; -2.535846e+09 + i 3.360290e+09 ; 3.621564e+08 + i 1.031085e+09 ; 1.979908e+09 + i 1.772900e+09 ; 1.763483e+09 + i 9.869611e+08 ; 7.983416e+08 + i -1.939913e+08 ; 3.082719e+08 + i -2.762807e+08 ; 1.859034e+09 + i 2.716698e+09 ; 9.238912e+08 + i 3.260963e+08 ; 9.292772e+08 + i 3.482516e+08 ; -7.102201e+08 + i 7.795229e+08 ; 2.980779e+08 + i 4.110127e+07 ; 3.178901e+08 + i 6.806782e+07 ; -1.161523e+09 + i -9.938811e+08 ; 2.111222e+08 + i -6.395005e+08 ; 2.161799e+08 + i -6.341825e+08 ; -2.540000e+08 + i -8.441419e+08 ; -3.173808e+08 + i -3.102536e+08 ; -3.130327e+08 + i -3.112827e+08 ; -9.981349e+08 + i -2.516160e+08 ; -5.911778e+08 + i -5.950739e+08 ; -6.369886e+07 + i -5.208662e+08 ; -8.549704e+08 + i -6.595034e+08 ; -2.800047e+08 + i -1.398182e+08 ; -3.215872e+08 + i -1.729026e+08 ; -9.900612e+08 + i -2.486885e+08 ; -7.619221e+07 + i -5.227778e+08 ; -5.975499e+08 + i -6.021346e+08 ; -8.500176e+08 + i -6.550343e+08 ; -3.275209e+08 + i -1.697652e+08 ; -2.899115e+08 + i -1.405126e+08 ; -8.900624e+08 + i -1.772325e+08 ; -3.726449e+08 + i -3.164358e+08 ; -3.741869e+08 + i -3.256218e+08 ; -9.958464e+08 + i -2.873074e+08 ; -2.599426e+08 + i -1.630604e+08 ; -2.659610e+08 + i -1.745777e+08 ; 
2.528566e+08 + i -3.044088e+08 ; 1.852512e+09 + i 1.365206e+09 ; -8.992032e+08 + i 2.565969e+08 ; 5.897429e+08 + i 1.705929e+08 ; -7.989093e+07 + i 1.213434e+10 ; -1.036239e+09 + i -3.167977e+08 ; 1.150805e+09 + i 1.080728e+09 ; -2.635032e+09 + i 3.585618e+09 ; -3.551044e+08 + i -9.380711e+08 ; -6.290324e+08 + i 7.028684e+08 ; -5.101038e+09 + i -6.097713e+09 ; 9.432236e+08 + i -1.372521e+09 ; 2.217699e+08 + i -1.131290e+08 ; -6.320736e+08 + i 1.034466e+09 ; -3.799048e+08 + i 1.659400e+07 ; 5.357919e+08 + i -1.866196e+08 ; 1.896273e+09 + i 1.297262e+09 ; -3.740394e+08 + i 3.716784e+08 ; 5.936172e+08 + i 1.177460e+08 ; 1.690274e+09 + i 2.999730e+09 ; -9.539191e+08 + i -2.647136e+08 ; 1.765346e+08 + i 4.970625e+08 ; -2.564895e+09 + i 3.595975e+09 ; -2.001821e+09 + i -1.665134e+09 ; -2.122945e+08 + i 2.105986e+08 ; 5.148575e+08 + i 4.884974e+08 ; -2.634822e+08 + i 1.243441e+08 ; -3.596335e+08 + i 5.262767e+07 ; 3.720861e+08 + i 2.256329e+08 ; -1.067888e+08 + i 1.768408e+08 ; -4.339342e+08 + i -3.219102e+08 ; 7.938168e+07 + i 8.191528e+08 ; -9.525749e+07 + i -5.838962e+07 ; 2.077523e+07 + i -2.943783e+08 ; 5.038874e+08 + i 3.144714e+08 ; -1.097295e+08 + i 7.062129e+07 ; -1.741719e+08 + i 1.946593e+08 ; 3.765613e+08 + i 4.360823e+08 ; -1.516518e+08 + i 1.759601e+08 ; -3.617231e+08 + i 1.618811e+08 ; 4.296644e+08 + i 2.789678e+08 ; -9.360758e+07 + i 1.371232e+08 ; -3.261085e+08 + i -7.041631e+07 ; 4.741921e+08 + i 7.454465e+08 ; -3.212331e+08 + i -1.763083e+07 ; -1.629302e+08 + i -2.044334e+08 ; 5.062354e+08 + i 1.883092e+08 ; -1.160114e+08 + i 1.259213e+08 ; 
2.547286e+08 + i -3.064269e+08 ; -9.003540e+08 + i 2.574880e+08 ; 1.910040e+09 + i 1.306924e+09 ; 5.844122e+08 + i 1.795509e+08 ; -1.036317e+09 + i -3.150110e+08 ; -5.161831e+07 + i 1.216863e+10 ; 2.238235e+08 + i -1.117420e+08 ; -3.647727e+08 + i 2.606080e+07 ; -6.067506e+08 + i 9.529960e+08 ; 5.307124e+08 + i -1.845029e+08 ; -3.639959e+08 + i 3.829940e+08 ; 1.988248e+09 + i 1.315400e+09 ; 1.148680e+09 + i 1.075165e+09 ; -3.619790e+08 + i -9.325667e+08 ; -2.651092e+09 + i 3.570908e+09 ; -6.389217e+08 + i 7.021678e+08 ; 9.419993e+08 + i -1.363280e+09 ; -5.072769e+09 + i -6.099600e+09 ; 6.005420e+08 + i 1.113068e+08 ; -9.500006e+08 + i -2.537142e+08 ; 1.656503e+09 + i 2.972941e+09 ; 1.706975e+08 + i 4.965824e+08 ; -1.998396e+09 + i -1.657542e+09 ; -2.594939e+09 + i 3.590054e+09 ; -2.119008e+08 + i 2.124484e+08 ; -2.650693e+08 + i 1.257005e+08 ; 5.115057e+08 + i 4.893860e+08 ; -3.583820e+08 + i 5.026176e+07 ; -1.074241e+08 + i 1.779713e+08 ; 3.663970e+08 + i 2.240806e+08 ; -1.748478e+08 + i 1.965613e+08 ; -1.501970e+08 + i 1.742505e+08 ; 3.740389e+08 + i 4.312059e+08 ; -3.610467e+08 + i 1.624816e+08 ; -9.290133e+07 + i 1.343273e+08 ; 4.213513e+08 + i 2.811336e+08 ; -4.314625e+08 + i -3.208371e+08 ; -9.460281e+07 + i -5.508506e+07 ; 8.518392e+07 + i 8.222714e+08 ; 2.582553e+07 + i -2.945538e+08 ; -1.093221e+08 + i 7.264280e+07 ; 5.139496e+08 + i 3.181157e+08 ; -3.279479e+08 + i -6.695474e+07 ; -3.193203e+08 + i -1.997802e+07 ; 4.708660e+08 + i 7.624219e+08 ; -1.612154e+08 + i -2.042479e+08 ; -1.128939e+08 + i 1.245023e+08 ; 5.125029e+08 + i 2.043636e+08 ; 
1.940247e+09 + i 1.175778e+09 ; 7.543442e+08 + i -8.064082e+08 ; -9.516852e+08 + i 2.335884e+08 ; -2.432552e+09 + i 3.270964e+09 ; 8.729126e+08 + i 9.910772e+08 ; -3.456801e+08 + i -9.619578e+08 ; -5.533455e+07 + i 1.207726e+10 ; 1.160542e+09 + i 5.716155e+08 ; -1.053569e+09 + i -3.936411e+08 ; -4.983841e+09 + i -6.249325e+09 ; -1.158755e+09 + i 1.456414e+09 ; 1.038398e+09 + i -1.375119e+09 ; -4.254773e+08 + i 9.065072e+08 ; 2.834605e+08 + i -4.093836e+07 ; -3.979630e+08 + i 8.999755e+06 ; 1.765207e+09 + i 2.680662e+09 ; 4.618248e+08 + i 3.501117e+08 ; -9.996287e+08 + i -2.852369e+08 ; 2.054184e+09 + i 1.186657e+09 ; 8.775753e+08 + i -2.678198e+08 ; -3.977946e+08 + i 3.608655e+08 ; -2.527584e+09 + i 3.313900e+09 ; 2.148259e+08 + i 6.755181e+08 ; -2.018903e+09 + i -1.815715e+09 ; -8.594402e+08 + i -6.375447e+08 ; 1.235127e+08 + i 1.194551e+08 ; -2.585149e+08 + i 1.866518e+07 ; -4.160085e+08 + i -7.256031e+08 ; 1.136019e+08 + i 1.921956e+07 ; -1.470788e+08 + i 1.224956e+08 ; -2.655031e+08 + i -7.985645e+08 ; 8.494746e+07 + i 1.338542e+08 ; -2.341532e+08 + i -5.948644e+07 ; -1.795817e+08 + i -3.254250e+08 ; 1.002280e+08 + i 3.244709e+07 ; -1.587768e+08 + i 1.022291e+08 ; -1.012956e+09 + i -2.654097e+08 ; 1.583875e+08 + i 8.243750e+07 ; -2.902118e+08 + i 6.545194e+07 ; -9.080177e+08 + i -9.014139e+08 ; 1.184799e+08 + i 3.510200e+06 ; -1.760451e+08 + i 1.233904e+08 ; -8.557039e+08 + i -6.106345e+08 ; 1.276887e+08 + i 9.524390e+07 ; -3.243436e+08 + i 4.213328e+07 ; -4.162465e+08 + i -6.917100e+08 ; 1.112589e+08 + i 1.525645e+07 ; -1.727904e+08 + i 1.128004e+08 ; 
-1.602954e+09 + i 2.182680e+09 ; -5.106576e+09 + i -6.026529e+09 ; -1.061623e+09 + i 1.424997e+09 ; 2.152502e+09 + i 1.983167e+09 ; -2.545048e+09 + i 3.413559e+09 ; 3.081743e+08 + i 9.963874e+08 ; 1.087910e+09 + i 3.953018e+08 ; -1.604118e+08 + i 1.212094e+10 ; 1.036834e+09 + i 4.204532e+08 ; 7.371939e+08 + i -8.513004e+08 ; 1.663093e+09 + i 1.267892e+09 ; 9.325705e+08 + i -2.151011e+08 ; 4.043651e+08 + i 1.212067e+09 ; -2.694718e+09 + i 3.549033e+09 ; 2.014335e+09 + i 1.870658e+09 ; 8.235229e+08 + i 4.469214e+08 ; 1.699944e+09 + i 2.863279e+09 ; 9.854538e+08 + i 3.148484e+08 ; 1.066467e+09 + i -3.577364e+08 ; 1.729632e+09 + i 1.335128e+09 ; 3.993891e+08 + i -3.350555e+08 ; 2.517882e+08 + i -5.492031e+07 ; -6.717327e+08 + i 1.118452e+09 ; 3.945812e+08 + i 9.478336e+06 ; 9.741819e+06 + i 5.197099e+08 ; 5.302304e+08 + i 3.162605e+08 ; 1.122679e+08 + i -1.052642e+08 ; -1.622503e+08 + i 3.409648e+08 ; 3.700106e+08 + i 1.822347e+06 ; 2.907682e+07 + i -1.099636e+08 ; 1.165870e+08 + i 3.062869e+08 ; 3.870550e+08 + i 2.744878e+08 ; 1.200471e+08 + i -1.548842e+08 ; 7.224203e+06 + i 3.378062e+08 ; 3.876931e+08 + i 5.026298e+07 ; 2.899156e+07 + i -1.287336e+08 ; 5.998904e+07 + i 4.321973e+08 ; 5.240171e+08 + i 1.861379e+08 ; 1.398772e+08 + i -1.040271e+08 ; -9.012838e+07 + i 3.583737e+08 ; 3.509107e+08 + i 3.228053e+06 ; 4.267600e+07 + i -1.227730e+08 ; 9.622219e+07 + i 2.615716e+08 ; 4.604289e+08 + i 3.118459e+08 ; 1.148212e+08 + i -1.540665e+08 ; 7.486722e+07 + i 3.022076e+08 ; 4.142089e+08 + i 3.401019e+06 ; 2.995169e+07 + i -1.367625e+08 ; 
-9.106515e+08 + i 2.411413e+08 ; 3.013637e+08 + i -1.967493e+08 ; 1.877190e+09 + i 1.346696e+09 ; -2.566728e+08 + i -6.291031e+07 ; 2.121586e+08 + i 5.352205e+07 ; -6.099199e+08 + i 9.550760e+08 ; -1.051531e+09 + i -4.098219e+08 ; 6.901582e+08 + i 3.462406e+08 ; -1.791453e+08 + i 1.218139e+10 ; -2.862410e+08 + i 3.407428e+08 ; 6.507522e+08 + i -6.330334e+07 ; 1.946787e+09 + i 1.342337e+09 ; -1.929682e+08 + i -1.118955e+09 ; 1.253994e+09 + i 1.337665e+09 ; -2.691330e+09 + i 3.594106e+09 ; -8.387412e+08 + i -2.901712e+08 ; 5.040182e+08 + i 1.607765e+08 ; 1.658574e+09 + i 2.959157e+09 ; 1.144219e+09 + i -1.580335e+09 ; -7.112474e+08 + i 9.517613e+08 ; -5.206315e+09 + i -6.106796e+09 ; -2.100816e+09 + i -1.946111e+09 ; 3.066835e+07 + i 7.826344e+08 ; -2.648666e+09 + i 3.563193e+09 ; -1.813775e+07 + i -2.955273e+08 ; 9.093507e+07 + i -7.543753e+07 ; 4.602211e+08 + i 3.119766e+08 ; -2.607697e+06 + i -3.202652e+08 ; 3.539642e+07 + i -7.506036e+07 ; 4.028468e+08 + i 6.275924e+06 ; -1.340255e+07 + i -3.099211e+08 ; 1.013821e+08 + i -7.841018e+07 ; 3.872264e+08 + i 2.592747e+08 ; 5.744590e+07 + i -3.155279e+08 ; 4.174784e+07 + i -7.577187e+07 ; 3.663258e+08 + i 3.612066e+07 ; -8.983298e+06 + i -4.776340e+08 ; 8.486093e+07 + i -4.094502e+07 ; 5.285154e+08 + i 2.223643e+08 ; 1.797707e+08 + i -3.973683e+08 ; 3.457133e+07 + i -6.302577e+07 ; 3.812465e+08 + i 2.726886e+07 ; 8.176939e+07 + i -5.665420e+08 ; 7.405492e+07 + i -4.283766e+07 ; 5.197460e+08 + i 3.318274e+08 ; 2.490038e+08 + i -3.244387e+08 ; 3.065167e+07 + i -6.106437e+07 ; 3.898228e+08 + i 1.898457e+07 ; 
-2.450861e+09 + i 3.277207e+09 ; -1.298108e+09 + i -1.367712e+09 ; 2.094323e+08 + i 1.011358e+09 ; 1.744764e+09 + i 9.926558e+08 ; -6.820150e+08 + i 7.506119e+08 ; 7.831138e+08 + i -8.968625e+07 ; -4.961743e+09 + i -6.261878e+09 ; 1.189533e+09 + i -1.552800e+09 ; -1.090481e+09 + i 1.309117e+09 ; -7.543142e+07 + i 1.179622e+10 ; -6.141986e+08 + i -3.300018e+08 ; 8.303450e+08 + i 4.685174e+08 ; 1.801448e+09 + i 2.668170e+09 ; -5.034312e+08 + i -3.783923e+08 ; 8.455189e+08 + i 4.323303e+08 ; -6.679838e+08 + i 7.909662e+08 ; -1.350548e+08 + i 6.831314e+07 ; 2.986315e+08 + i 9.669655e+07 ; -2.515759e+09 + i 3.312532e+09 ; -2.684191e+08 + i -8.543714e+08 ; 1.695839e+09 + i 1.897535e+09 ; 1.825799e+09 + i 9.882967e+08 ; -7.240350e+08 + i 1.547332e+08 ; 3.181247e+08 + i -2.315851e+08 ; -1.006316e+09 + i -2.265337e+08 ; 5.324392e+08 + i 4.452664e+08 ; -1.008311e+07 + i -5.038405e+08 ; -8.662649e+08 + i -6.498952e+08 ; 2.652977e+08 + i 1.466843e+07 ; -2.913588e+08 + i -1.999141e+08 ; -1.168064e+09 + i -9.871399e+08 ; -4.214809e+07 + i 3.419745e+08 ; 2.741418e+08 + i -5.820230e+08 ; -2.570134e+08 + i -8.186322e+08 ; 2.639477e+08 + i 1.766082e+08 ; -2.651576e+08 + i -3.273930e+08 ; -8.929482e+08 + i -1.633373e+08 ; 3.452686e+08 + i 1.854716e+08 ; -3.221728e+08 + i -3.515496e+08 ; -1.010239e+09 + i -2.839617e+08 ; 2.118434e+08 + i 3.675696e+07 ; -2.368986e+08 + i -1.957961e+08 ; -9.885319e+08 + i -2.187129e+08 ; 1.056449e+08 + i 3.032560e+08 ; -5.053169e+08 + i -6.367039e+08 ; -8.386350e+08 + i -6.253797e+08 ; 2.746357e+08 + i 7.267039e+07 ; -2.600116e+08 + i -1.634548e+08 ; 
-1.356291e+09 + i -1.278560e+09 ; -2.585050e+09 + i 3.501673e+09 ; 2.424830e+08 + i 9.349886e+08 ; 1.137118e+09 + i -1.421770e+09 ; -5.014957e+09 + i -6.043904e+09 ; -1.047315e+09 + i 1.218013e+09 ; -7.443495e+08 + i 8.778485e+08 ; 1.670298e+09 + i 1.277362e+09 ; 8.781290e+08 + i -1.434207e+08 ; -6.811824e+08 + i -2.024982e+08 ; -5.365646e+07 + i 1.213690e+10 ; 9.450001e+08 + i 4.145505e+08 ; -5.601777e+08 + i -2.778320e+08 ; 1.717464e+09 + i 2.916691e+09 ; 8.852152e+08 + i 3.542355e+08 ; -3.079207e+08 + i -7.107396e+08 ; -2.553488e+09 + i 3.537680e+09 ; 1.743587e+09 + i 1.800309e+09 ; -2.070209e+08 + i 2.045962e+08 ; -6.944687e+08 + i 1.153320e+09 ; 3.653170e+08 + i 2.791287e+07 ; -7.795676e+08 + i 2.932330e+08 ; 1.838528e+09 + i 1.338917e+09 ; 4.014643e+08 + i -3.205974e+08 ; 4.117783e+08 + i 4.082124e+08 ; 5.493569e+07 + i 8.536290e+08 ; 8.455421e+07 + i 6.512614e+07 ; -9.905093e+07 + i 3.810724e+08 ; 5.078306e+08 + i 3.176246e+08 ; 1.130782e+08 + i -5.528704e+07 ; 9.520979e+07 + i -1.290991e+08 ; 5.046432e+08 + i 5.137657e+08 ; 2.636230e+08 + i -8.771474e+07 ; 2.695067e+08 + i -7.119776e+07 ; 3.767297e+08 + i 2.738406e+08 ; 1.196658e+08 + i -1.557100e+08 ; 3.186484e+08 + i 1.279224e+08 ; 4.769467e+08 + i 7.755800e+08 ; 3.063990e+08 + i 5.086655e+07 ; 1.488725e+08 + i 2.926256e+08 ; 5.117263e+08 + i 1.881056e+08 ; 1.258258e+08 + i -1.082103e+08 ; 1.176645e+08 + i -1.598640e+08 ; 3.755878e+08 + i 4.648272e+08 ; 1.640387e+08 + i -1.501860e+08 ; 3.201926e+08 + i -1.445350e+08 ; 4.493463e+08 + i 3.199861e+08 ; 1.041038e+08 + i -1.195340e+08 ; 
