1.141061e+09 + i 7.084587e+09 ; -1.064994e+08 + i 4.813395e+08 ; -1.121203e+08 + i 4.853488e+08 ; -4.032947e+09 + i -1.651675e+09 ; -5.013751e+08 + i -7.319796e+08 ; -5.094023e+08 + i -7.352569e+08 ; 1.042810e+09 + i 7.070784e+08 ; 1.492247e+08 + i 3.782930e+08 ; 1.774418e+08 + i 4.331453e+08 ; 3.745074e+08 + i 1.912406e+09 ; -1.192060e+09 + i 4.152048e+07 ; -3.621135e+08 + i 6.842574e+07 ; 1.039259e+09 + i 7.185661e+08 ; 1.824741e+08 + i 4.279277e+08 ; 1.587147e+08 + i 3.740662e+08 ; 3.678492e+08 + i 1.918384e+09 ; -3.545528e+08 + i 7.388162e+07 ; -1.189501e+09 + i 4.195091e+07 ; 1.253762e+09 + i 3.522388e+08 ; 2.165273e+08 + i 3.525065e+08 ; 2.206680e+08 + i 3.588037e+08 ; 1.654263e+09 + i 2.299584e+08 ; -3.485355e+08 + i 2.566645e+08 ; -3.464275e+08 + i 2.604137e+08 ; -9.735611e+07 + i -3.143562e+08 ; -3.037105e+07 + i 6.887635e+07 ; -3.154131e+07 + i 6.724782e+07 ; 1.297344e+08 + i -1.332158e+08 ; 4.962216e+07 + i 3.062043e+07 ; 4.871638e+07 + i 3.128259e+07 ; -3.364797e+08 + i 1.576729e+08 ; -3.517352e+07 + i 9.827417e+07 ; 1.062995e+07 + i 7.854505e+07 ; -2.694257e+08 + i 2.382507e+07 ; 5.010348e+07 + i 3.496905e+07 ; 6.271438e+07 + i 2.616757e+07 ; -3.403067e+08 + i 1.611203e+08 ; 1.192546e+07 + i 7.883759e+07 ; -3.537264e+07 + i 9.611337e+07 ; -2.739077e+08 + i 2.587383e+07 ; 6.329421e+07 + i 2.515516e+07 ; 4.853662e+07 + i 3.386197e+07 ; -3.294445e+08 + i 4.925537e+08 ; 3.568534e+06 + i 9.656225e+07 ; 4.466126e+06 + i 9.498264e+07 ; -4.717471e+08 + i 3.941135e+08 ; 6.349168e+07 + i 2.927163e+07 ; 6.342151e+07 + i 2.815077e+07 ; 
-1.451165e+08 + i 4.600474e+08 ; 1.177894e+09 + i 7.056810e+09 ; -1.229717e+08 + i 4.913137e+08 ; 1.007804e+08 + i 3.565957e+08 ; 1.031822e+09 + i 6.915653e+08 ; 1.788091e+08 + i 4.333400e+08 ; -5.265324e+08 + i -7.464804e+08 ; -4.007167e+09 + i -1.641051e+09 ; -5.313636e+08 + i -7.324126e+08 ; -1.229152e+09 + i 2.257145e+07 ; 4.349956e+08 + i 1.944655e+09 ; -3.860437e+08 + i 6.442778e+07 ; 1.407125e+08 + i 4.021940e+08 ; 1.064720e+09 + i 7.888345e+08 ; 1.523159e+08 + i 3.855213e+08 ; 1.537735e+08 + i 3.348334e+08 ; 1.301879e+09 + i 4.408207e+08 ; 2.213521e+08 + i 3.636647e+08 ; -3.891782e+08 + i 4.944505e+07 ; 4.378461e+08 + i 1.952120e+09 ; -1.209811e+09 + i 5.298557e+07 ; -4.039459e+08 + i 2.306760e+08 ; 1.782279e+09 + i 2.559481e+08 ; -3.655295e+08 + i 2.633587e+08 ; -1.227194e+08 + i 8.318617e+07 ; 1.490245e+08 + i -1.242531e+08 ; 6.583219e+07 + i 1.430723e+07 ; -1.258153e+08 + i 5.726815e+07 ; -4.000118e+07 + i -1.189396e+08 ; 3.132408e+07 + i -2.661629e+07 ; -1.835059e+08 + i -1.121234e+08 ; 1.688157e+08 + i -1.295170e+08 ; 3.389586e+07 + i 9.825132e+06 ; -7.700570e+07 + i -1.121960e+08 ; -5.364258e+07 + i -1.210026e+08 ; 1.735582e+07 + i -2.171633e+07 ; -1.338526e+08 + i 1.187404e+08 ; 1.506747e+08 + i -1.983845e+08 ; 7.109380e+07 + i 9.350357e+06 ; -1.455215e+08 + i 9.213283e+07 ; -5.699175e+07 + i -1.454245e+08 ; 2.998247e+07 + i -2.995976e+07 ; -1.918832e+08 + i -3.359776e+07 ; 1.466724e+08 + i -2.034687e+08 ; 2.345351e+07 + i 1.815994e+07 ; -1.366195e+08 + i -6.231797e+07 ; -6.431282e+07 + i -1.428120e+08 ; 1.586928e+07 + i -2.071752e+07 ; 
-1.481585e+08 + i 4.628783e+08 ; -1.265826e+08 + i 4.912030e+08 ; 1.175682e+09 + i 7.053315e+09 ; 1.015304e+08 + i 3.615606e+08 ; 1.755281e+08 + i 4.313767e+08 ; 1.013624e+09 + i 7.164383e+08 ; 1.336697e+08 + i 4.061760e+08 ; 1.540600e+08 + i 3.803945e+08 ; 1.030048e+09 + i 7.591028e+08 ; 1.502184e+08 + i 3.436141e+08 ; 2.169810e+08 + i 3.620663e+08 ; 1.272248e+09 + i 4.499952e+08 ; -5.367190e+08 + i -7.461923e+08 ; -5.315525e+08 + i -7.380398e+08 ; -4.010692e+09 + i -1.671510e+09 ; -1.236049e+09 + i 2.520166e+07 ; -3.851903e+08 + i 5.659673e+07 ; 4.358997e+08 + i 1.926470e+09 ; -3.934811e+08 + i 3.965210e+07 ; -1.210088e+09 + i 5.521633e+07 ; 4.595745e+08 + i 1.962466e+09 ; -4.013415e+08 + i 2.229183e+08 ; -3.696631e+08 + i 2.627066e+08 ; 1.803395e+09 + i 2.665351e+08 ; -1.215995e+08 + i 8.301386e+07 ; 6.597863e+07 + i 1.328282e+07 ; 1.425289e+08 + i -1.217874e+08 ; -1.270462e+08 + i 5.836494e+07 ; 3.054514e+07 + i -2.691628e+07 ; -4.125391e+07 + i -1.167453e+08 ; -1.319564e+08 + i 1.181518e+08 ; 7.174689e+07 + i 8.542336e+06 ; 1.499604e+08 + i -1.997520e+08 ; -1.447931e+08 + i 9.200516e+07 ; 3.013374e+07 + i -3.054481e+07 ; -5.728951e+07 + i -1.455636e+08 ; -1.846317e+08 + i -1.144571e+08 ; 3.324456e+07 + i 9.052475e+06 ; 1.600127e+08 + i -1.292179e+08 ; -7.822632e+07 + i -1.143116e+08 ; 1.633003e+07 + i -2.175294e+07 ; -5.663349e+07 + i -1.143703e+08 ; -1.885921e+08 + i -3.363747e+07 ; 2.418987e+07 + i 1.866401e+07 ; 1.432502e+08 + i -2.052894e+08 ; -1.356033e+08 + i -6.123225e+07 ; 1.627817e+07 + i -2.037157e+07 ; -6.822600e+07 + i -1.396987e+08 ; 
-4.074112e+09 + i -1.647711e+09 ; 4.376766e+08 + i 8.191489e+08 ; 4.386850e+08 + i 8.227409e+08 ; 1.142588e+09 + i 7.042733e+09 ; 2.249149e+08 + i -4.357197e+08 ; 2.286671e+08 + i -4.405554e+08 ; 3.560024e+08 + i 1.921249e+09 ; 1.240544e+09 + i 1.503323e+08 ; 4.312901e+08 + i -1.522155e+07 ; 1.003015e+09 + i 7.129800e+08 ; -6.712491e+07 + i -3.822448e+08 ; -6.965120e+07 + i -4.447082e+08 ; 3.508821e+08 + i 1.930562e+09 ; 4.184754e+08 + i -2.196863e+07 ; 1.237243e+09 + i 1.540219e+08 ; 1.000419e+09 + i 7.235664e+08 ; -7.775622e+07 + i -4.393979e+08 ; -7.336694e+07 + i -3.756845e+08 ; 1.634367e+09 + i 2.523476e+08 ; 4.395233e+08 + i -2.062763e+08 ; 4.340773e+08 + i -2.106302e+08 ; 1.201687e+09 + i 3.912157e+08 ; -1.229855e+08 + i -3.690251e+08 ; -1.334812e+08 + i -3.741508e+08 ; -4.867904e+08 + i -2.559079e+08 ; -2.149445e+08 + i -1.938820e+08 ; -2.138923e+08 + i -1.958067e+08 ; -1.044930e+08 + i -2.998338e+08 ; -1.076005e+08 + i 1.517092e+08 ; -1.092638e+08 + i 1.518428e+08 ; -3.204782e+08 + i 2.877367e+08 ; -4.177453e+08 + i 3.532209e+06 ; -2.096803e+08 + i -1.373137e+07 ; -3.318764e+08 + i 1.764210e+08 ; -7.162472e+07 + i 1.790338e+08 ; -4.903423e+07 + i 1.798048e+08 ; -3.240156e+08 + i 2.891631e+08 ; -2.056368e+08 + i -1.256444e+07 ; -4.141855e+08 + i 2.845674e+06 ; -3.348498e+08 + i 1.764236e+08 ; -4.547841e+07 + i 1.783647e+08 ; -6.835410e+07 + i 1.760821e+08 ; -2.234081e+08 + i 5.737077e+08 ; -2.579661e+08 + i 8.010962e+07 ; -2.556244e+08 + i 8.269176e+07 ; -3.280276e+08 + i 5.121855e+08 ; -3.903538e+07 + i 1.885258e+08 ; -3.482936e+07 + i 1.903676e+08 ; 
5.196028e+07 + i -3.628001e+08 ; 1.096651e+09 + i 7.020750e+08 ; 1.016539e+08 + i 4.624104e+08 ; 2.993628e+08 + i -2.786995e+08 ; 1.250499e+09 + i 7.014728e+09 ; -1.920975e+08 + i 4.679220e+08 ; 8.831545e+08 + i 6.138616e+08 ; 4.006520e+08 + i 1.939696e+09 ; -3.854480e+08 + i -2.121563e+06 ; -4.000958e+07 + i 7.705741e+08 ; -4.030853e+09 + i -1.762398e+09 ; -3.909717e+08 + i -8.297350e+08 ; -9.441924e+06 + i -3.651223e+08 ; 1.302797e+09 + i 3.892093e+08 ; 1.554292e+08 + i 3.976530e+08 ; 5.016745e+07 + i -4.044104e+08 ; 1.083552e+09 + i 6.869281e+08 ; 9.812801e+07 + i 4.096523e+08 ; 3.945463e+08 + i 1.149789e+07 ; 1.787576e+09 + i 2.482200e+08 ; -4.119845e+08 + i 2.032178e+08 ; 2.868168e+08 + i 1.309423e+08 ; 4.469918e+08 + i 1.877511e+09 ; -1.214242e+09 + i -1.661233e+08 ; 3.073564e+07 + i 2.125369e+08 ; 2.525304e+08 + i 1.430274e+08 ; 3.619779e+07 + i 1.029635e+08 ; -6.219628e+07 + i 2.117456e+08 ; 1.451426e+08 + i -1.028932e+08 ; 7.445575e+07 + i 2.890767e+07 ; -3.189135e+08 + i -1.900853e+08 ; 1.719240e+08 + i 2.629879e+08 ; -3.522529e+07 + i -1.379324e+07 ; -1.079970e+08 + i -2.867790e+08 ; 1.691784e+08 + i -1.256224e+08 ; 1.509138e+07 + i 1.799477e+07 ; 8.662108e+07 + i 2.045948e+08 ; 3.070077e+08 + i 3.008737e+07 ; 6.906759e+07 + i 8.708332e+07 ; 4.101359e+07 + i 2.546342e+08 ; 1.652606e+08 + i -1.752680e+08 ; 7.446358e+07 + i 2.110992e+07 ; -1.697628e+08 + i -3.080236e+07 ; 3.257158e+08 + i 5.690452e+07 ; -9.336246e+07 + i 4.110521e+07 ; -1.368702e+08 + i -8.796268e+07 ; 1.559583e+08 + i -1.932779e+08 ; 2.268940e+07 + i 2.192730e+07 ; 
5.080161e+07 + i -3.613106e+08 ; 9.936160e+07 + i 4.605732e+08 ; 1.071811e+09 + i 7.154010e+08 ; 3.069944e+08 + i -2.879900e+08 ; -1.947068e+08 + i 4.654415e+08 ; 1.231907e+09 + i 6.998614e+09 ; -6.766586e+06 + i -3.627161e+08 ; 1.520299e+08 + i 3.958977e+08 ; 1.286224e+09 + i 4.004601e+08 ; 5.867571e+07 + i -4.041073e+08 ; 9.852397e+07 + i 4.063400e+08 ; 1.068211e+09 + i 6.602857e+08 ; 8.861917e+08 + i 6.212063e+08 ; -3.829492e+08 + i -9.883482e+06 ; 4.135108e+08 + i 1.940380e+09 ; -3.098301e+07 + i 7.724382e+08 ; -3.911209e+08 + i -8.353225e+08 ; -4.034411e+09 + i -1.763652e+09 ; 3.871764e+08 + i 1.827606e+07 ; -4.148661e+08 + i 2.016667e+08 ; 1.784247e+09 + i 2.592118e+08 ; 2.858227e+08 + i 1.323879e+08 ; -1.216711e+09 + i -1.632596e+08 ; 4.452916e+08 + i 1.888589e+09 ; 3.095208e+07 + i 2.098523e+08 ; 3.662178e+07 + i 1.022639e+08 ; 2.544089e+08 + i 1.381029e+08 ; -6.291739e+07 + i 2.146034e+08 ; 7.379725e+07 + i 2.798825e+07 ; 1.455200e+08 + i -1.042385e+08 ; 8.564397e+07 + i 2.017087e+08 ; 7.019081e+07 + i 8.637327e+07 ; 3.084057e+08 + i 2.951515e+07 ; 3.825454e+07 + i 2.538417e+08 ; 7.462726e+07 + i 2.088190e+07 ; 1.665814e+08 + i -1.762036e+08 ; -3.214886e+08 + i -1.923872e+08 ; -3.561334e+07 + i -1.518445e+07 ; 1.718875e+08 + i 2.587275e+08 ; -1.125188e+08 + i -2.869992e+08 ; 1.422934e+07 + i 1.671574e+07 ; 1.631056e+08 + i -1.275711e+08 ; -1.671018e+08 + i -3.531502e+07 ; -9.293151e+07 + i 4.250500e+07 ; 3.285110e+08 + i 5.187195e+07 ; -1.354667e+08 + i -8.885287e+07 ; 2.246443e+07 + i 2.264275e+07 ; 1.518510e+08 + i -1.984721e+08 ; 
1.072515e+09 + i 6.955899e+08 ; -2.755723e+08 + i -4.162784e+08 ; 1.113979e+08 + i 4.621294e+08 ; 2.738786e+08 + i 1.896650e+09 ; 9.256232e+08 + i 7.622959e+08 ; -3.704459e+08 + i 2.818708e+06 ; 1.248849e+09 + i 7.051565e+09 ; 2.247140e+08 + i -5.017453e+08 ; -1.981811e+08 + i 4.712347e+08 ; -4.067127e+09 + i -1.741822e+09 ; 3.338170e+08 + i 8.533025e+08 ; -3.920577e+08 + i -8.273721e+08 ; 1.219164e+09 + i 3.084349e+08 ; -5.357413e+07 + i -3.342312e+08 ; 1.632231e+08 + i 3.940045e+08 ; 1.661840e+09 + i 2.345869e+08 ; 4.761973e+08 + i 5.387886e+06 ; -3.943554e+08 + i 2.072911e+08 ; 9.990825e+08 + i 6.926978e+08 ; -4.466811e+07 + i -4.059470e+08 ; 9.391890e+07 + i 4.068741e+08 ; 3.439032e+08 + i 1.930383e+09 ; 3.515045e+08 + i 1.210997e+08 ; -1.214050e+09 + i -1.530883e+08 ; -3.413951e+08 + i 1.706803e+08 ; 1.148823e+08 + i -9.320943e+07 ; -3.187918e+06 + i 7.840846e+07 ; -2.755860e+08 + i 2.359657e+07 ; -2.540445e+07 + i -7.596597e+07 ; 5.807356e+07 + i 3.516863e+07 ; -9.663178e+07 + i -3.105925e+08 ; 8.802417e+07 + i -6.259147e+07 ; -4.139067e+07 + i 6.284469e+07 ; 1.433245e+08 + i -1.347734e+08 ; -3.314445e+07 + i -7.480618e+07 ; 4.366635e+07 + i 4.022211e+07 ; -3.181917e+08 + i 5.033842e+08 ; 5.938660e+07 + i -1.085578e+08 ; -1.133650e+07 + i 9.538971e+07 ; -4.698726e+08 + i 4.045194e+08 ; -4.494660e+07 + i -7.575259e+07 ; 5.852589e+07 + i 3.808564e+07 ; -3.379608e+08 + i 1.594209e+08 ; 4.409630e+07 + i -9.396762e+07 ; -5.215506e+07 + i 9.178771e+07 ; -2.736691e+08 + i 1.447430e+07 ; -5.307590e+07 + i -7.250132e+07 ; 4.279576e+07 + i 4.304996e+07 ; 
7.652527e+08 + i 8.586527e+08 ; -4.082367e+09 + i -1.667809e+09 ; 4.224707e+08 + i 8.232785e+08 ; 1.106336e+09 + i 1.814188e+08 ; 3.424158e+08 + i 1.962261e+09 ; 3.986459e+08 + i -7.749028e+06 ; 2.573077e+08 + i -5.211288e+08 ; 1.225114e+09 + i 7.080922e+09 ; 2.182458e+08 + i -4.879979e+08 ; -3.977729e+08 + i -4.694215e+08 ; 1.129591e+09 + i 7.449171e+08 ; -9.957340e+07 + i -4.794172e+08 ; 4.044462e+08 + i -3.885140e+07 ; 4.312891e+08 + i 2.007166e+09 ; 1.220016e+09 + i 1.466037e+08 ; 4.748441e+08 + i -1.672344e+08 ; 1.753747e+09 + i 3.225541e+08 ; 4.014308e+08 + i -1.999831e+08 ; -1.765434e+08 + i -4.350269e+08 ; 1.109170e+09 + i 7.456800e+08 ; -9.609585e+07 + i -4.110489e+08 ; -1.584128e+08 + i -3.276252e+08 ; 1.358892e+09 + i 3.697522e+08 ; -1.671011e+08 + i -3.996749e+08 ; 1.145473e+08 + i 1.320979e+08 ; 1.617546e+08 + i -1.435641e+08 ; -3.259884e+07 + i -1.674049e+07 ; 2.276084e+07 + i 1.010480e+08 ; -5.194240e+07 + i -1.159448e+08 ; -2.128549e+07 + i 1.929424e+07 ; 1.053299e+08 + i -9.588196e+07 ; 1.353251e+08 + i -1.312626e+08 ; -6.605676e+07 + i -2.642066e+07 ; 1.244623e+08 + i -6.215276e+07 ; -5.555091e+07 + i -1.180313e+08 ; -3.767990e+07 + i 2.186019e+07 ; 1.438956e+08 + i 7.219446e+07 ; 1.392210e+08 + i -2.040745e+08 ; -2.139187e+07 + i -2.188426e+07 ; 8.216614e+07 + i 8.585910e+07 ; -6.028861e+07 + i -1.366036e+08 ; -1.980072e+07 + i 1.922962e+07 ; 1.197046e+08 + i -1.011337e+08 ; 1.440337e+08 + i -1.959016e+08 ; -7.221220e+07 + i -2.181288e+07 ; 1.324116e+08 + i -7.499261e+07 ; -6.809610e+07 + i -1.401054e+08 ; -3.668536e+07 + i 2.602329e+07 ; 
7.750703e+07 + i 4.182188e+08 ; 6.500215e+07 + i -3.466723e+08 ; 1.071723e+09 + i 7.299333e+08 ; 8.378783e+07 + i 3.600051e+08 ; 4.070816e+07 + i -3.649295e+08 ; 1.290414e+09 + i 4.051887e+08 ; -1.977776e+08 + i 4.424823e+08 ; 3.117760e+08 + i -3.140322e+08 ; 1.224535e+09 + i 7.048084e+09 ; 5.553839e+07 + i 3.774975e+08 ; 8.571626e+07 + i -4.273271e+08 ; 1.015055e+09 + i 6.888786e+08 ; -4.315752e+08 + i -5.579236e+07 ; 8.651919e+08 + i 5.340352e+08 ; 4.298184e+08 + i 1.975988e+09 ; -4.321009e+08 + i 1.219173e+08 ; 4.168676e+08 + i 6.764769e+07 ; 1.788761e+09 + i 2.788111e+08 ; -4.362831e+08 + i -7.700440e+08 ; 1.666094e+07 + i 7.407916e+08 ; -4.044602e+09 + i -1.680888e+09 ; -1.206713e+09 + i -1.096345e+08 ; 3.780644e+08 + i 1.536105e+08 ; 4.090783e+08 + i 1.946926e+09 ; -1.430785e+08 + i 1.008958e+08 ; -5.086984e+07 + i -4.951732e+07 ; 1.418176e+08 + i -1.998936e+08 ; -1.524497e+08 + i 7.314280e+07 ; -4.173332e+07 + i 3.087349e+06 ; -6.260321e+07 + i -1.392867e+08 ; -1.332674e+08 + i 6.243297e+07 ; -4.565510e+07 + i -4.930217e+07 ; 1.353935e+08 + i -1.279899e+08 ; -1.339471e+08 + i 3.538193e+07 ; -4.186174e+07 + i 4.138679e+06 ; -4.420113e+07 + i -1.154993e+08 ; -1.757241e+08 + i -5.242202e+07 ; -3.127871e+06 + i -2.777036e+07 ; 1.353641e+08 + i -2.056852e+08 ; -1.233528e+08 + i -7.196277e+07 ; -2.250177e+07 + i 4.364288e+06 ; -7.233724e+07 + i -1.340978e+08 ; -1.672465e+08 + i -1.367356e+08 ; -1.311335e+07 + i -2.599086e+07 ; 1.579287e+08 + i -1.313103e+08 ; -6.206966e+07 + i -1.248456e+08 ; -2.360373e+07 + i 6.926410e+06 ; -5.834789e+07 + i -1.124278e+08 ; 
3.031518e+08 + i 1.874753e+09 ; -8.398038e+08 + i -4.356732e+08 ; 4.169349e+08 + i 3.830423e+07 ; 9.979679e+08 + i 7.283111e+08 ; 3.318593e+08 + i 6.384844e+08 ; -3.054813e+07 + i -4.387530e+08 ; -4.047963e+09 + i -1.744588e+09 ; -4.610836e+08 + i -1.043219e+09 ; 3.414888e+08 + i 8.550052e+08 ; 1.147638e+09 + i 7.027811e+09 ; -2.540286e+08 + i 2.469895e+08 ; 2.758089e+08 + i -4.070374e+08 ; 1.609498e+09 + i 2.457331e+08 ; -4.644523e+08 + i -2.806435e+07 ; 4.526976e+08 + i -1.672463e+08 ; 1.188868e+09 + i 3.684403e+08 ; 6.310725e+07 + i 2.708054e+08 ; -9.305866e+07 + i -3.840328e+08 ; 3.199188e+08 + i 1.937006e+09 ; -3.798349e+08 + i -6.993111e+07 ; 1.207463e+09 + i 2.847566e+08 ; 9.663021e+08 + i 7.295226e+08 ; 4.365250e+07 + i 4.039025e+08 ; -2.577944e+07 + i -3.791200e+08 ; -3.054989e+08 + i 3.068427e+08 ; 2.382822e+08 + i 2.463562e+07 ; -2.010580e+08 + i -3.814027e+07 ; -3.325281e+08 + i 1.869968e+08 ; 2.940937e+07 + i -8.190772e+07 ; -6.304974e+07 + i 1.694603e+08 ; -4.852527e+08 + i -2.499514e+08 ; -7.798709e+05 + i 9.569621e+07 ; -1.899337e+08 + i -2.133849e+08 ; -9.709334e+07 + i -3.112619e+08 ; 4.881502e+07 + i -6.140799e+07 ; -1.256492e+08 + i 1.376844e+08 ; -2.001282e+08 + i 5.780165e+08 ; 1.420516e+08 + i -1.102409e+07 ; -2.591395e+08 + i 5.632050e+07 ; -3.135704e+08 + i 5.245000e+08 ; 2.899010e+07 + i -7.811536e+07 ; -5.226308e+07 + i 1.835684e+08 ; -3.266064e+08 + i 2.796620e+08 ; 6.916150e+07 + i 4.075148e+07 ; -4.096782e+08 + i -4.156155e+07 ; -3.402529e+08 + i 1.594073e+08 ; 2.621622e+07 + i -7.849449e+07 ; -8.839030e+07 + i 1.662326e+08 ; 
-8.309134e+08 + i -4.028000e+08 ; 3.808495e+08 + i 1.897383e+09 ; 3.797830e+08 + i 3.945577e+07 ; -4.250992e+08 + i -9.825768e+08 ; -4.018527e+09 + i -1.793294e+09 ; 3.004778e+08 + i 8.524781e+08 ; 3.764976e+08 + i 6.868388e+08 ; 1.102851e+09 + i 7.747684e+08 ; -4.374397e+07 + i -4.737996e+08 ; -2.004385e+08 + i 2.735472e+08 ; 1.176107e+09 + i 6.999270e+09 ; 2.482941e+08 + i -4.502510e+08 ; -4.239902e+08 + i 5.560840e+06 ; 1.724199e+09 + i 2.951216e+08 ; 4.194444e+08 + i -1.570858e+08 ; -3.231043e+08 + i -3.397130e+07 ; 4.202222e+08 + i 1.922455e+09 ; 1.166351e+09 + i 2.935960e+08 ; 1.391114e+08 + i 3.064090e+08 ; 1.355139e+09 + i 3.510994e+08 ; -1.148986e+08 + i -4.105171e+08 ; 1.145181e+08 + i 4.181121e+08 ; 1.106407e+09 + i 6.735993e+08 ; -5.998360e+07 + i -4.098485e+08 ; 3.733235e+08 + i 1.434454e+08 ; 2.098882e+08 + i 2.809052e+08 ; 3.536000e+07 + i 1.584303e+07 ; 1.873252e+08 + i 2.457825e+08 ; 1.759926e+08 + i -1.274768e+08 ; -1.339968e+07 + i -1.991134e+07 ; 5.906357e+07 + i -1.040641e+08 ; 2.612153e+08 + i 1.280516e+08 ; -2.488080e+07 + i -1.085955e+08 ; 7.372532e+07 + i -1.115529e+08 ; 1.464340e+08 + i -1.266988e+08 ; -7.139637e+07 + i -3.834912e+07 ; 2.018664e+08 + i -1.538046e+07 ; 3.440170e+08 + i 5.217133e+07 ; 9.492920e+07 + i -3.047808e+07 ; 1.777379e+08 + i 3.509832e+07 ; 1.583928e+08 + i -1.958822e+08 ; -2.153402e+07 + i -2.303116e+07 ; -2.509043e+07 + i -1.466931e+08 ; 3.074284e+08 + i 1.696320e+07 ; -6.025523e+07 + i -9.406626e+07 ; -1.091632e+07 + i -1.931922e+08 ; 1.575852e+08 + i -1.978318e+08 ; -7.299167e+07 + i -2.880123e+07 ; 
