5.340975e+08 + i 4.387093e+09 ; 5.155150e+07 + i 9.737573e+07 ; 5.243182e+07 + i 9.751481e+07 ; -1.645889e+09 + i -2.534581e+08 ; -2.205049e+08 + i -9.477178e+07 ; -2.204815e+08 + i -9.445743e+07 ; 6.239841e+08 + i 3.240116e+08 ; 1.004960e+08 + i 7.020518e+07 ; 9.144592e+07 + i 2.897106e+06 ; 4.005164e+08 + i 5.745790e+08 ; -3.789573e+08 + i 5.900513e+07 ; -5.711481e+07 + i 6.168501e+07 ; 6.244357e+08 + i 3.230211e+08 ; 9.051289e+07 + i 2.271189e+06 ; 9.946421e+07 + i 7.036803e+07 ; 4.019777e+08 + i 5.750431e+08 ; -5.600654e+07 + i 6.021722e+07 ; -3.791512e+08 + i 5.893810e+07 ; 3.128933e+08 + i -4.077031e+08 ; 9.873597e+07 + i -1.117805e+07 ; 9.920566e+07 + i -1.204677e+07 ; 3.629036e+08 + i -3.993242e+08 ; -7.406436e+07 + i 9.499054e+07 ; -7.389350e+07 + i 9.413500e+07 ; -1.604895e+08 + i -1.370514e+08 ; 5.961218e+06 + i 1.511453e+07 ; 6.105800e+06 + i 1.534848e+07 ; -6.409958e+07 + i -1.177317e+08 ; 6.293306e+06 + i -2.613875e+06 ; 6.406696e+06 + i -2.691689e+06 ; -7.731741e+07 + i 7.834842e+07 ; 1.317598e+06 + i 2.240420e+07 ; 1.279650e+07 + i 8.185359e+06 ; -7.849731e+07 + i 3.794339e+07 ; 4.892877e+06 + i -1.001817e+06 ; 4.464168e+06 + i -6.230381e+06 ; -7.681389e+07 + i 7.797543e+07 ; 1.289778e+07 + i 7.881116e+06 ; 1.387043e+06 + i 2.258773e+07 ; -7.818648e+07 + i 3.781825e+07 ; 4.384026e+06 + i -6.241658e+06 ; 4.988159e+06 + i -1.003519e+06 ; 1.076720e+08 + i 1.177889e+08 ; 9.460831e+06 + i 1.289739e+07 ; 9.253006e+06 + i 1.303730e+07 ; 7.034109e+07 + i 1.216578e+08 ; 3.298080e+06 + i -4.789306e+06 ; 3.296949e+06 + i -4.703558e+06 ; 
4.734147e+07 + i 1.007505e+08 ; 5.311577e+08 + i 4.404473e+09 ; 5.388897e+07 + i 9.873532e+07 ; 9.443532e+07 + i 7.555494e+07 ; 6.304629e+08 + i 3.351841e+08 ; 9.078901e+07 + i 2.454516e+06 ; -2.244600e+08 + i -9.930161e+07 ; -1.641341e+09 + i -2.264826e+08 ; -2.208093e+08 + i -9.184132e+07 ; -3.869693e+08 + i 5.202965e+07 ; 4.156262e+08 + i 5.766023e+08 ; -5.743813e+07 + i 6.462130e+07 ; 8.569172e+07 + i 8.745572e+06 ; 6.415700e+08 + i 3.257584e+08 ; 1.003374e+08 + i 7.101954e+07 ; 9.429440e+07 + i -1.978667e+06 ; 3.299547e+08 + i -4.247566e+08 ; 9.881109e+07 + i -1.277460e+07 ; -6.112980e+07 + i 5.917265e+07 ; 4.222808e+08 + i 5.783289e+08 ; -3.799277e+08 + i 6.106580e+07 ; -8.228755e+07 + i 9.347183e+07 ; 3.718216e+08 + i -4.262664e+08 ; -7.427774e+07 + i 9.665138e+07 ; 1.272262e+06 + i 2.689671e+07 ; 1.121295e+07 + i -3.960590e+07 ; 6.158358e+06 + i -5.000581e+06 ; -2.332549e+06 + i 2.236529e+07 ; -5.434847e+06 + i -1.895880e+06 ; -5.680860e+05 + i -2.353747e+06 ; -7.481500e+07 + i -2.437836e+07 ; 1.729126e+07 + i -4.109451e+07 ; 5.128328e+06 + i -5.177856e+05 ; -4.482766e+07 + i -2.878666e+07 ; -5.696051e+06 + i -1.692639e+06 ; 4.797481e+05 + i -9.515000e+05 ; 2.059743e+07 + i 3.174419e+07 ; -2.434959e+07 + i -4.007676e+07 ; 7.319683e+06 + i -6.045144e+06 ; 1.384484e+07 + i 2.962298e+07 ; -1.138499e+07 + i 9.587569e+06 ; -4.803434e+05 + i -2.466989e+06 ; -5.215243e+07 + i 8.122675e+06 ; -2.377599e+07 + i -4.129463e+07 ; 3.054111e+06 + i 1.674326e+06 ; -3.933979e+07 + i -6.253063e+05 ; -1.089104e+07 + i 9.747870e+06 ; 3.153154e+05 + i -4.978183e+05 ; 
4.784467e+07 + i 1.006982e+08 ; 5.415292e+07 + i 9.872489e+07 ; 5.289317e+08 + i 4.404031e+09 ; 9.381584e+07 + i 7.497037e+07 ; 9.119248e+07 + i 2.551812e+06 ; 6.334081e+08 + i 3.348572e+08 ; 8.692598e+07 + i 8.705015e+06 ; 9.923527e+07 + i 7.149401e+07 ; 6.389041e+08 + i 3.294744e+08 ; 9.552308e+07 + i -2.866023e+06 ; 9.875779e+07 + i -1.223669e+07 ; 3.340276e+08 + i -4.215548e+08 ; -2.231685e+08 + i -9.917462e+07 ; -2.211617e+08 + i -9.148976e+07 ; -1.643582e+09 + i -2.233049e+08 ; -3.862813e+08 + i 5.180553e+07 ; -5.797498e+07 + i 6.538754e+07 ; 4.155624e+08 + i 5.795477e+08 ; -6.207972e+07 + i 6.071497e+07 ; -3.799529e+08 + i 6.061176e+07 ; 4.207167e+08 + i 5.757450e+08 ; -8.333401e+07 + i 9.415104e+07 ; -7.436139e+07 + i 9.671870e+07 ; 3.695906e+08 + i -4.261888e+08 ; 1.027203e+06 + i 2.680620e+07 ; 6.197063e+06 + i -4.908025e+06 ; 1.185411e+07 + i -3.998496e+07 ; -2.400053e+06 + i 2.205988e+07 ; -5.174986e+05 + i -2.367041e+06 ; -5.537385e+06 + i -2.143679e+06 ; 2.060493e+07 + i 3.184016e+07 ; 7.359377e+06 + i -5.950895e+06 ; -2.391249e+07 + i -3.984327e+07 ; 1.396067e+07 + i 2.967525e+07 ; -4.418643e+05 + i -2.483930e+06 ; -1.129601e+07 + i 9.512326e+06 ; -7.470552e+07 + i -2.405249e+07 ; 5.093860e+06 + i -4.005687e+05 ; 1.796268e+07 + i -4.106533e+07 ; -4.472584e+07 + i -2.855117e+07 ; 5.301426e+05 + i -9.327416e+05 ; -5.688321e+06 + i -2.056735e+06 ; -5.259746e+07 + i 7.889289e+06 ; 3.007286e+06 + i 1.694172e+06 ; -2.347748e+07 + i -4.085699e+07 ; -3.953022e+07 + i -8.422100e+05 ; 3.258560e+05 + i -5.048925e+05 ; -1.062467e+07 + i 9.632465e+06 ; 
-1.632366e+09 + i -2.451497e+08 ; 2.260588e+08 + i 1.098714e+08 ; 2.267881e+08 + i 1.095928e+08 ; 5.011356e+08 + i 4.359789e+09 ; -4.524214e+07 + i -1.032829e+08 ; -4.567580e+07 + i -1.033403e+08 ; 4.068100e+08 + i 5.744979e+08 ; 4.106266e+08 + i -3.905309e+07 ; 6.456874e+07 + i -6.715421e+07 ; 6.037511e+08 + i 3.313090e+08 ; -9.046354e+07 + i -7.790653e+07 ; -9.102196e+07 + i -5.453933e+06 ; 4.072046e+08 + i 5.738918e+08 ; 6.406220e+07 + i -6.578445e+07 ; 4.104973e+08 + i -3.913390e+07 ; 6.054197e+08 + i 3.307308e+08 ; -8.994762e+07 + i -5.266632e+06 ; -8.993436e+07 + i -7.814548e+07 ; 3.678899e+08 + i -4.035623e+08 ; 8.718167e+07 + i -1.017587e+08 ; 8.718034e+07 + i -1.013658e+08 ; 3.138005e+08 + i -3.822971e+08 ; -9.679461e+07 + i 6.373064e+06 ; -9.633831e+07 + i 6.975486e+06 ; -2.976141e+08 + i -1.068175e+08 ; -6.731464e+07 + i -1.386059e+07 ; -6.763629e+07 + i -1.366649e+07 ; -1.581849e+08 + i -1.367278e+08 ; 7.061661e+06 + i 2.679063e+07 ; 7.202725e+06 + i 2.689887e+07 ; -6.415930e+07 + i 1.141681e+08 ; -1.167509e+08 + i 2.863466e+07 ; -2.917633e+07 + i 2.175885e+07 ; -7.697219e+07 + i 7.646681e+07 ; 8.787968e+06 + i 2.891421e+07 ; 2.250563e+07 + i 1.035909e+07 ; -6.381964e+07 + i 1.138031e+08 ; -2.904838e+07 + i 2.138605e+07 ; -1.168250e+08 + i 2.864542e+07 ; -7.679326e+07 + i 7.639925e+07 ; 2.223434e+07 + i 1.022775e+07 ; 8.640267e+06 + i 2.900303e+07 ; 1.462831e+08 + i 1.065111e+08 ; -4.671081e+07 + i 4.111718e+07 ; -4.669271e+07 + i 4.089022e+07 ; 1.077928e+08 + i 1.153733e+08 ; 2.047485e+07 + i 1.211874e+07 ; 2.032478e+07 + i 1.188638e+07 ; 
-9.308370e+07 + i -1.166749e+08 ; 6.115990e+08 + i 3.240800e+08 ; 9.606471e+07 + i 1.118082e+07 ; -2.914548e+07 + i -1.286294e+08 ; 5.036101e+08 + i 4.381453e+09 ; 5.005402e+07 + i 1.061589e+08 ; 4.756091e+08 + i 7.485589e+07 ; 4.211790e+08 + i 5.765540e+08 ; -6.819415e+07 + i 6.334152e+07 ; 2.076398e+08 + i 1.879070e+08 ; -1.648363e+09 + i -2.306878e+08 ; -2.277163e+08 + i -1.151861e+08 ; -1.225064e+08 + i -1.870103e+07 ; 3.270901e+08 + i -4.135585e+08 ; 1.067073e+08 + i -4.750422e+06 ; -1.047874e+08 + i -2.613057e+07 ; 6.204228e+08 + i 3.228946e+08 ; 1.020059e+08 + i 7.926940e+07 ; 1.229362e+08 + i -9.254081e+07 ; 3.703505e+08 + i -4.264961e+08 ; -8.524085e+07 + i 9.721583e+07 ; 8.005313e+07 + i -5.727246e+07 ; 4.063850e+08 + i 5.673259e+08 ; -4.069897e+08 + i 3.674380e+07 ; 5.657062e+07 + i 3.449362e+07 ; 1.449488e+08 + i 4.024996e+07 ; 2.084626e+07 + i 1.000221e+07 ; 4.174962e+07 + i 4.504632e+07 ; 1.449112e+07 + i -4.108004e+07 ; 8.499438e+06 + i -9.022274e+06 ; -1.499591e+08 + i 9.359152e+06 ; 1.167677e+08 + i 7.451761e+07 ; -8.695128e+06 + i 3.950953e+06 ; -1.032772e+08 + i -2.894250e+07 ; 1.808348e+07 + i -4.081572e+07 ; 2.887666e+06 + i 3.814352e+06 ; 5.192970e+07 + i -5.733655e+06 ; 9.850680e+07 + i -4.930507e+07 ; 2.684699e+07 + i 6.344397e+06 ; 5.182509e+07 + i 1.626464e+06 ; -2.434604e+07 + i -4.342565e+07 ; 8.327120e+06 + i -9.803688e+06 ; -6.314193e+07 + i 2.548466e+07 ; 9.759060e+07 + i -3.892852e+07 ; -2.260756e+07 + i 1.742713e+07 ; -5.219083e+07 + i 1.459729e+07 ; -2.435544e+07 + i -4.235463e+07 ; 3.203363e+06 + i 4.704222e+06 ; 
-9.304548e+07 + i -1.167440e+08 ; 9.643740e+07 + i 1.148027e+07 ; 6.165055e+08 + i 3.253632e+08 ; -2.928824e+07 + i -1.275578e+08 ; 5.027748e+07 + i 1.062920e+08 ; 5.037132e+08 + i 4.382239e+09 ; -1.235773e+08 + i -1.898135e+07 ; 1.066392e+08 + i -4.189467e+06 ; 3.296338e+08 + i -4.085756e+08 ; -1.061552e+08 + i -2.633626e+07 ; 1.010282e+08 + i 7.935902e+07 ; 6.146934e+08 + i 3.263895e+08 ; 4.746683e+08 + i 7.411687e+07 ; -6.892865e+07 + i 6.427535e+07 ; 4.192407e+08 + i 5.783872e+08 ; 2.065448e+08 + i 1.878581e+08 ; -2.281083e+08 + i -1.151064e+08 ; -1.651851e+09 + i -2.299192e+08 ; 1.244236e+08 + i -9.317392e+07 ; -8.524131e+07 + i 9.769571e+07 ; 3.725779e+08 + i -4.264615e+08 ; 8.094909e+07 + i -5.774684e+07 ; -4.067943e+08 + i 3.609790e+07 ; 4.073242e+08 + i 5.627413e+08 ; 5.667278e+07 + i 3.484784e+07 ; 2.080575e+07 + i 1.004364e+07 ; 1.453479e+08 + i 4.104416e+07 ; 4.159335e+07 + i 4.493440e+07 ; 8.559540e+06 + i -8.981815e+06 ; 1.482498e+07 + i -4.135213e+07 ; 5.228386e+07 + i -5.591130e+06 ; 2.674358e+07 + i 6.449242e+06 ; 9.788397e+07 + i -4.881638e+07 ; 5.230399e+07 + i 1.590835e+06 ; 8.369316e+06 + i -9.763884e+06 ; -2.432440e+07 + i -4.343927e+07 ; -1.494477e+08 + i 9.456181e+06 ; -8.808009e+06 + i 4.056481e+06 ; 1.167127e+08 + i 7.553668e+07 ; -1.027693e+08 + i -2.907101e+07 ; 2.908220e+06 + i 3.955619e+06 ; 1.880053e+07 + i -4.073194e+07 ; -6.365749e+07 + i 2.604908e+07 ; -2.263245e+07 + i 1.730131e+07 ; 9.648671e+07 + i -3.856828e+07 ; -5.258989e+07 + i 1.488933e+07 ; 3.210288e+06 + i 4.689409e+06 ; -2.418922e+07 + i -4.164823e+07 ; 
6.078267e+08 + i 3.164223e+08 ; -1.033632e+08 + i -6.003845e+07 ; 9.580902e+07 + i 1.070219e+07 ; 4.050388e+08 + i 5.885402e+08 ; 5.033728e+08 + i 7.159244e+07 ; -6.767452e+07 + i 6.119228e+07 ; 5.103849e+08 + i 4.376652e+09 ; -5.660442e+07 + i -1.121271e+08 ; 4.965268e+07 + i 1.081090e+08 ; -1.652643e+09 + i -2.405737e+08 ; 2.346253e+08 + i 1.394168e+08 ; -2.279172e+08 + i -1.168660e+08 ; 3.117386e+08 + i -3.945778e+08 ; -1.072715e+08 + i -1.794099e+07 ; 1.066373e+08 + i -5.034947e+06 ; 3.613472e+08 + i -3.973353e+08 ; 1.175904e+08 + i -9.535418e+07 ; -8.428308e+07 + i 9.495500e+07 ; 6.266869e+08 + i 3.343029e+08 ; -9.465081e+07 + i -2.240783e+07 ; 1.014524e+08 + i 8.157062e+07 ; 4.076733e+08 + i 5.770792e+08 ; 7.901971e+07 + i -5.912982e+07 ; -4.073044e+08 + i 3.574909e+07 ; -7.164289e+07 + i 7.849730e+07 ; 1.771663e+06 + i -2.813649e+07 ; 1.294102e+07 + i 9.932408e+06 ; -7.522804e+07 + i 4.066092e+07 ; -6.983405e+06 + i 4.534619e+05 ; 5.327452e+06 + i -6.167936e+06 ; -1.602856e+08 + i -1.372390e+08 ; -4.649143e+06 + i -2.213710e+07 ; 5.115144e+06 + i 1.683579e+07 ; -6.563510e+07 + i -1.170598e+08 ; -8.718338e+06 + i 1.628316e+06 ; 7.062885e+06 + i -2.388544e+06 ; 1.069516e+08 + i 1.144269e+08 ; -9.122246e+06 + i -1.775564e+07 ; 8.965235e+06 + i 1.460643e+07 ; 7.130762e+07 + i 1.190867e+08 ; -5.523995e+06 + i 5.290267e+06 ; 3.916385e+06 + i -4.749552e+06 ; -7.733129e+07 + i 7.800121e+07 ; -1.440346e+07 + i -1.412963e+07 ; -1.155356e+05 + i 2.416796e+07 ; -7.805865e+07 + i 3.937339e+07 ; -6.915783e+06 + i 6.332929e+06 ; 5.463602e+06 + i -7.528771e+05 ; 
2.415666e+08 + i 5.898881e+07 ; -1.628688e+09 + i -2.144646e+08 ; 2.259095e+08 + i 1.126339e+08 ; 4.331737e+08 + i -2.137801e+07 ; 4.237345e+08 + i 5.866367e+08 ; 6.477403e+07 + i -6.353437e+07 ; -7.078301e+07 + i -1.033225e+08 ; 5.207349e+08 + i 4.393243e+09 ; -5.445536e+07 + i -1.086581e+08 ; -1.132584e+08 + i -2.075725e+07 ; 6.274251e+08 + i 3.246157e+08 ; -9.894772e+07 + i -7.177137e+06 ; 5.854168e+07 + i -6.440511e+07 ; 4.310731e+08 + i 5.718988e+08 ; 4.098514e+08 + i -3.681332e+07 ; 8.822728e+07 + i -1.024237e+08 ; 3.822880e+08 + i -4.320351e+08 ; 8.753311e+07 + i -9.794624e+07 ; -8.300972e+07 + i -1.712417e+05 ; 6.331226e+08 + i 3.279884e+08 ; -1.002643e+08 + i -8.255295e+07 ; -8.880899e+07 + i 4.883848e+06 ; 3.168942e+08 + i -4.186377e+08 ; -1.052814e+08 + i 5.935610e+06 ; 7.941968e+07 + i 3.716713e+07 ; 1.479508e+07 + i -3.856464e+07 ; -5.419616e+06 + i 4.500424e+05 ; 4.579284e+07 + i 3.941886e+07 ; -5.478463e+06 + i -1.427079e+06 ; -5.073263e+05 + i 9.601902e+05 ; -5.705979e+06 + i -2.187161e+07 ; 1.224601e+07 + i -3.815979e+07 ; -6.761487e+06 + i 5.106784e+06 ; -5.525503e+05 + i -1.973218e+07 ; -4.357386e+06 + i -1.703990e+06 ; 5.558536e+05 + i 2.494344e+06 ; 5.970742e+07 + i -4.004684e+06 ; -2.377392e+07 + i -3.960377e+07 ; -2.959531e+06 + i -1.918114e+06 ; 4.542633e+07 + i 5.074846e+06 ; -1.107822e+07 + i 9.530979e+06 ; -3.081272e+05 + i 4.243634e+05 ; -2.015019e+07 + i -3.036717e+07 ; -2.333246e+07 + i -4.018148e+07 ; -7.991251e+06 + i 5.981822e+06 ; -1.316436e+07 + i -2.874757e+07 ; -1.048278e+07 + i 9.091982e+06 ; 4.177340e+05 + i 2.566553e+06 ; 
9.353455e+07 + i 1.894020e+07 ; -8.436939e+07 + i -1.226007e+08 ; 6.255271e+08 + i 3.251776e+08 ; 1.052461e+08 + i 7.426911e+06 ; -1.248694e+08 + i -3.068979e+07 ; 3.282005e+08 + i -4.109699e+08 ; 4.190602e+07 + i 1.065857e+08 ; -2.244125e+07 + i -1.347554e+08 ; 5.178057e+08 + i 4.396577e+09 ; 9.250549e+07 + i 8.293596e+07 ; -1.106251e+08 + i -3.703955e+07 ; 6.291249e+08 + i 3.426966e+08 ; -8.238720e+07 + i 7.147856e+07 ; 4.696550e+08 + i 9.260189e+07 ; 4.254528e+08 + i 5.757713e+08 ; -1.042576e+08 + i 9.837268e+07 ; 1.395844e+08 + i -9.285299e+07 ; 3.712248e+08 + i -4.290342e+08 ; -2.198220e+08 + i -1.242637e+08 ; 2.113585e+08 + i 2.030111e+08 ; -1.639225e+09 + i -2.186640e+08 ; -4.031187e+08 + i 2.117978e+07 ; 9.669476e+07 + i -6.286180e+07 ; 4.213492e+08 + i 5.771930e+08 ; 1.827959e+07 + i 3.479140e+07 ; -1.156303e+07 + i 4.693501e+06 ; -2.263481e+07 + i -3.939592e+07 ; 1.180693e+07 + i 3.213499e+07 ; -3.261238e+05 + i 3.596280e+06 ; -1.109346e+07 + i 8.757497e+06 ; -4.024295e+05 + i 2.841797e+07 ; -9.949775e+06 + i 4.242032e+06 ; 1.333905e+07 + i -3.902237e+07 ; -3.696639e+06 + i 2.349615e+07 ; -4.919231e+04 + i 3.286009e+06 ; -5.234153e+06 + i -2.581816e+06 ; -5.636233e+07 + i 3.300563e+06 ; -3.206719e+06 + i -3.885484e+06 ; -2.265318e+07 + i -4.072282e+07 ; -4.143348e+07 + i -4.447831e+06 ; -7.270883e+05 + i 4.235222e+05 ; -1.054963e+07 + i 9.165033e+06 ; -7.596289e+07 + i -3.091945e+07 ; -6.673687e+06 + i -2.392106e+06 ; 1.860102e+07 + i -4.076019e+07 ; -4.470040e+07 + i -3.316194e+07 ; -1.078842e+06 + i 7.918289e+05 ; -5.634804e+06 + i -2.334071e+06 ; 
3.812573e+08 + i 5.886664e+08 ; -4.229289e+08 + i -1.549560e+08 ; 7.504346e+07 + i -6.614423e+07 ; 6.093659e+08 + i 3.286162e+08 ; 1.766989e+08 + i -1.509431e+07 ; -9.361071e+07 + i -1.308355e+07 ; -1.662783e+09 + i -2.396552e+08 ; -2.959783e+08 + i -8.082383e+07 ; 2.319633e+08 + i 1.305976e+08 ; 5.044251e+08 + i 4.363429e+09 ; -7.795877e+06 + i 1.279755e+08 ; -4.134776e+07 + i -1.120874e+08 ; 3.719708e+08 + i -3.908901e+08 ; -1.269239e+08 + i 9.020024e+07 ; 9.707221e+07 + i -1.002069e+08 ; 3.102209e+08 + i -3.770012e+08 ; 8.172491e+07 + i 1.154819e+07 ; -1.012117e+08 + i 1.698699e+06 ; 4.138051e+08 + i 5.816762e+08 ; -7.347763e+07 + i 6.174288e+07 ; 4.323601e+08 + i -1.607759e+07 ; 6.114851e+08 + i 3.321207e+08 ; 8.257710e+07 + i 1.442141e+07 ; -9.069360e+07 + i -8.754844e+07 ; -5.705384e+07 + i 1.072965e+08 ; 1.111589e+08 + i 4.334399e+07 ; -3.296968e+07 + i 2.100508e+07 ; -7.062542e+07 + i 7.558585e+07 ; 1.239143e+07 + i -2.552393e+07 ; 2.234964e+07 + i 1.278267e+07 ; -2.975437e+08 + i -1.077854e+08 ; 3.567364e+07 + i 7.702076e+07 ; -7.023407e+07 + i -1.913777e+07 ; -1.598862e+08 + i -1.351709e+08 ; 1.318105e+07 + i -2.165627e+07 ; 5.959182e+06 + i 2.875855e+07 ; 1.438947e+08 + i 1.007987e+08 ; 6.302868e+07 + i -5.352674e+06 ; -5.154304e+07 + i 3.970354e+07 ; 1.078241e+08 + i 1.102730e+08 ; -7.590099e+06 + i -2.224001e+07 ; 2.042065e+07 + i 1.370419e+07 ; -6.466954e+07 + i 1.151951e+08 ; 3.576329e+07 + i 9.740425e+06 ; -1.242777e+08 + i 2.285771e+07 ; -7.669352e+07 + i 7.907395e+07 ; -1.031985e+07 + i -1.983509e+07 ; 7.583572e+06 + i 3.100675e+07 ; 
-4.128788e+08 + i -1.476401e+08 ; 3.926250e+08 + i 5.905573e+08 ; 7.498115e+07 + i -6.127015e+07 ; -2.780800e+08 + i -7.221688e+07 ; -1.664047e+09 + i -2.268880e+08 ; 2.300080e+08 + i 1.348070e+08 ; 1.923296e+08 + i -1.421196e+07 ; 6.350608e+08 + i 3.195089e+08 ; -1.026880e+08 + i -1.654011e+07 ; 3.889720e+06 + i 1.260013e+08 ; 5.196408e+08 + i 4.388417e+09 ; -4.938067e+07 + i -1.146822e+08 ; -1.188845e+08 + i 9.120509e+07 ; 3.839566e+08 + i -4.192759e+08 ; 9.691817e+07 + i -9.607723e+07 ; -6.088917e+07 + i 6.274956e+07 ; 4.155262e+08 + i 5.676459e+08 ; 4.303550e+08 + i -1.250785e+07 ; 9.095983e+07 + i 7.018089e+06 ; 3.146025e+08 + i -4.169212e+08 ; -1.111754e+08 + i -1.113674e+06 ; 8.785142e+07 + i 8.643258e+06 ; 6.184285e+08 + i 3.169390e+08 ; -1.004715e+08 + i -8.970004e+07 ; 1.331973e+08 + i -4.600475e+05 ; 1.185917e+08 + i 6.541046e+07 ; 8.819145e+06 + i -3.361204e+06 ; 8.728332e+07 + i 3.102056e+07 ; 1.700541e+07 + i -4.207197e+07 ; -2.762513e+06 + i -3.997962e+06 ; -2.575791e+07 + i -6.995455e+07 ; 1.413997e+08 + i 4.119935e+07 ; -2.161808e+07 + i -1.143544e+07 ; -1.219734e+07 + i -6.155321e+07 ; 1.261730e+07 + i -3.881330e+07 ; -9.392393e+06 + i 9.184097e+06 ; 5.364010e+07 + i -1.367575e+07 ; 9.564922e+07 + i -4.219705e+07 ; 2.499972e+07 + i -1.665762e+07 ; 4.219455e+07 + i -5.960819e+06 ; -2.482959e+07 + i -4.274012e+07 ; -2.826102e+06 + i -5.224580e+06 ; -4.429673e+07 + i -1.956833e+07 ; 9.700543e+07 + i -4.806170e+07 ; -2.752139e+07 + i -8.198951e+06 ; -4.243270e+07 + i -2.127381e+07 ; -2.463421e+07 + i -4.069733e+07 ; -9.148405e+06 + i 9.693037e+06 ; 
