-6.773697e+08 + i 2.556483e+09 ; 5.339782e+06 + i 2.380148e+07 ; 5.376871e+06 + i 2.378147e+07 ; -4.066176e+08 + i -3.651719e+08 ; -3.645414e+07 + i -4.736637e+07 ; -3.647447e+07 + i -4.732563e+07 ; 1.709252e+08 + i 2.088589e+08 ; 1.731087e+07 + i 2.850981e+07 ; 1.015268e+07 + i 3.638361e+06 ; 6.800221e+07 + i 1.894414e+08 ; -1.004149e+08 + i -6.471829e+07 ; -1.108968e+07 + i 4.893567e+06 ; 1.709441e+08 + i 2.088147e+08 ; 1.004582e+07 + i 3.648560e+06 ; 1.727297e+07 + i 2.853573e+07 ; 6.810918e+07 + i 1.893815e+08 ; -1.099438e+07 + i 4.710974e+06 ; -1.004099e+08 + i -6.471703e+07 ; 5.245973e+07 + i -7.079242e+07 ; 1.393016e+07 + i 4.373471e+06 ; 1.396414e+07 + i 4.303536e+06 ; 5.730453e+07 + i -6.128574e+07 ; -2.417896e+07 + i 3.431690e+06 ; -2.421607e+07 + i 3.395913e+06 ; -3.350118e+07 + i -5.782884e+07 ; 1.092140e+05 + i 2.830443e+06 ; 1.181984e+05 + i 2.829269e+06 ; -1.323082e+07 + i -3.857203e+07 ; 8.043499e+05 + i 2.094875e+05 ; 8.048238e+05 + i 2.070833e+05 ; -1.940576e+07 + i 1.243682e+07 ; -2.534685e+06 + i 2.625965e+06 ; 1.234282e+06 + i 1.691647e+06 ; -1.674206e+07 + i 5.942879e+06 ; 1.354235e+05 + i 1.257832e+05 ; 5.148121e+05 + i -1.619596e+04 ; -1.938804e+07 + i 1.240609e+07 ; 1.228398e+06 + i 1.667686e+06 ; -2.529544e+06 + i 2.624918e+06 ; -1.672472e+07 + i 5.931775e+06 ; 5.107799e+05 + i -1.524706e+04 ; 1.353245e+05 + i 1.257484e+05 ; 1.055315e+07 + i 1.000957e+07 ; -6.389049e+05 + i 1.468696e+06 ; -6.393215e+05 + i 1.480241e+06 ; 6.301029e+06 + i 8.916029e+06 ; -3.622493e+04 + i -7.153094e+04 ; -3.397560e+04 + i -7.138959e+04 ; 
4.696726e+06 + i 2.385317e+07 ; -6.773035e+08 + i 2.561283e+09 ; 5.431712e+06 + i 2.382601e+07 ; 1.642302e+07 + i 2.874165e+07 ; 1.724082e+08 + i 2.107047e+08 ; 1.005199e+07 + i 3.586460e+06 ; -3.711887e+07 + i -4.883089e+07 ; -4.052143e+08 + i -3.572576e+08 ; -3.662615e+07 + i -4.707534e+07 ; -1.018180e+08 + i -6.720289e+07 ; 7.104547e+07 + i 1.906811e+08 ; -1.119115e+07 + i 5.066240e+06 ; 9.588908e+06 + i 4.036514e+06 ; 1.736563e+08 + i 2.098643e+08 ; 1.731562e+07 + i 2.857475e+07 ; 1.344239e+07 + i 4.991294e+06 ; 5.334478e+07 + i -7.207937e+07 ; 1.388794e+07 + i 4.220366e+06 ; -1.185088e+07 + i 3.870480e+06 ; 7.205268e+07 + i 1.906686e+08 ; -1.006660e+08 + i -6.450795e+07 ; -2.568422e+07 + i 2.065441e+06 ; 5.792619e+07 + i -6.323960e+07 ; -2.437473e+07 + i 3.510395e+06 ; -7.524633e+05 + i 4.774372e+06 ; 5.650161e+06 + i -5.393001e+06 ; 1.015557e+06 + i 5.156829e+05 ; -1.144540e+06 + i 3.516732e+06 ; 3.332341e+05 + i 1.138088e+05 ; 3.034304e+05 + i 3.171587e+02 ; -1.536499e+07 + i -1.655615e+07 ; 6.505204e+06 + i -4.935346e+06 ; 7.877287e+05 + i 3.702631e+05 ; -8.081307e+06 + i -1.191304e+07 ; 1.725528e+05 + i 2.815230e+04 ; 2.091267e+05 + i 7.259543e+04 ; 2.157647e+06 + i 4.113678e+06 ; -9.818699e+04 + i -2.529501e+06 ; 1.389991e+06 + i 6.294322e+05 ; 1.248419e+06 + i 3.297168e+06 ; 8.297849e+05 + i 6.059394e+05 ; 3.699084e+05 + i 1.202495e+04 ; -1.110094e+07 + i -5.266383e+06 ; -6.899792e+04 + i -2.578290e+06 ; -1.024707e+05 + i 1.663077e+05 ; -7.341525e+06 + i -4.270531e+06 ; 7.517801e+05 + i 5.968819e+05 ; 5.710820e+04 + i 6.622663e+04 ; 
4.706703e+06 + i 2.386307e+07 ; 5.439246e+06 + i 2.382468e+07 ; -6.774802e+08 + i 2.561471e+09 ; 1.639164e+07 + i 2.875217e+07 ; 1.006397e+07 + i 3.577525e+06 ; 1.725575e+08 + i 2.106014e+08 ; 9.632860e+06 + i 4.000830e+06 ; 1.725482e+07 + i 2.864913e+07 ; 1.731309e+08 + i 2.104219e+08 ; 1.348526e+07 + i 4.895422e+06 ; 1.389330e+07 + i 4.247408e+06 ; 5.381194e+07 + i -7.206098e+07 ; -3.707813e+07 + i -4.886448e+07 ; -3.666686e+07 + i -4.704555e+07 ; -4.053827e+08 + i -3.568933e+08 ; -1.018002e+08 + i -6.723173e+07 ; -1.118902e+07 + i 5.116300e+06 ; 7.110099e+07 + i 1.907742e+08 ; -1.186445e+07 + i 4.010474e+06 ; -1.007016e+08 + i -6.451629e+07 ; 7.177398e+07 + i 1.906328e+08 ; -2.570771e+07 + i 2.137125e+06 ; -2.436996e+07 + i 3.531413e+06 ; 5.805064e+07 + i -6.313514e+07 ; -7.649251e+05 + i 4.776953e+06 ; 1.016960e+06 + i 5.165386e+05 ; 5.655437e+06 + i -5.405820e+06 ; -1.154839e+06 + i 3.515174e+06 ; 3.040025e+05 + i 3.592394e+01 ; 3.326783e+05 + i 1.104312e+05 ; 2.164418e+06 + i 4.100740e+06 ; 1.392185e+06 + i 6.303804e+05 ; -8.541543e+04 + i -2.548581e+06 ; 1.259054e+06 + i 3.284582e+06 ; 3.703202e+05 + i 1.113242e+04 ; 8.277374e+05 + i 6.020690e+05 ; -1.535383e+07 + i -1.655273e+07 ; 7.890959e+05 + i 3.751767e+05 ; 6.517760e+06 + i -4.930193e+06 ; -8.072577e+06 + i -1.191140e+07 ; 2.103034e+05 + i 7.286010e+04 ; 1.727058e+05 + i 2.577233e+04 ; -1.112437e+07 + i -5.260005e+06 ; -1.006553e+05 + i 1.662965e+05 ; -5.502966e+04 + i -2.581926e+06 ; -7.355043e+06 + i -4.267107e+06 ; 5.776770e+04 + i 6.489974e+04 ; 7.528483e+05 + i 5.931226e+05 ; 
-4.044615e+08 + i -3.661831e+08 ; 3.698173e+07 + i 5.059409e+07 ; 3.703689e+07 + i 5.052914e+07 ; -6.836321e+08 + i 2.549672e+09 ; -4.265085e+06 + i -2.308333e+07 ; -4.295021e+06 + i -2.307956e+07 ; 6.841722e+07 + i 1.889405e+08 ; 1.041124e+08 + i 7.062269e+07 ; 1.207290e+07 + i -5.127200e+06 ; 1.674317e+08 + i 2.095124e+08 ; -1.560497e+07 + i -2.861288e+07 ; -9.412834e+06 + i -2.783589e+06 ; 6.843467e+07 + i 1.889290e+08 ; 1.199456e+07 + i -4.971578e+06 ; 1.041065e+08 + i 7.063100e+07 ; 1.675328e+08 + i 2.093779e+08 ; -9.337958e+06 + i -2.801067e+06 ; -1.558662e+07 + i -2.862518e+07 ; 5.708086e+07 + i -6.169301e+07 ; 2.589637e+07 + i -3.293441e+06 ; 2.590026e+07 + i -3.267508e+06 ; 5.288732e+07 + i -6.844659e+07 ; -1.297843e+07 + i -3.715789e+06 ; -1.297753e+07 + i -3.697663e+06 ; -7.336038e+07 + i -8.125105e+07 ; -1.158146e+07 + i -1.195572e+07 ; -1.159909e+07 + i -1.193342e+07 ; -3.339834e+07 + i -5.792628e+07 ; -5.006047e+05 + i 4.235778e+06 ; -4.935559e+05 + i 4.239501e+06 ; -2.035533e+07 + i 2.053847e+07 ; -3.050614e+07 + i -1.725072e+07 ; -5.748545e+06 + i -1.049997e+06 ; -1.943773e+07 + i 1.239285e+07 ; -1.520668e+06 + i 4.592306e+06 ; 1.267419e+06 + i 1.449562e+06 ; -2.034988e+07 + i 2.050405e+07 ; -5.734314e+06 + i -1.092204e+06 ; -3.050484e+07 + i -1.725580e+07 ; -1.942577e+07 + i 1.237900e+07 ; 1.252080e+06 + i 1.443515e+06 ; -1.524800e+06 + i 4.593884e+06 ; 1.652887e+07 + i 1.106413e+07 ; -1.392173e+07 + i -2.757720e+06 ; -1.391790e+07 + i -2.772074e+06 ; 1.052496e+07 + i 9.987215e+06 ; 1.264661e+05 + i 1.372653e+06 ; 1.232693e+05 + i 1.364496e+06 ; 
-1.656076e+07 + i -3.700666e+07 ; 1.700424e+08 + i 2.119100e+08 ; 1.059660e+07 + i 4.259996e+06 ; -3.560970e+06 + i -2.816820e+07 ; -6.809317e+08 + i 2.557972e+09 ; 5.038671e+06 + i 2.484693e+07 ; 1.103866e+08 + i 9.279235e+07 ; 7.136129e+07 + i 1.904345e+08 ; -1.223412e+07 + i 5.246444e+06 ; 3.350063e+07 + i 5.965609e+07 ; -4.060555e+08 + i -3.610885e+08 ; -3.695692e+07 + i -5.058682e+07 ; -1.638662e+07 + i -7.025842e+06 ; 5.412406e+07 + i -7.158520e+07 ; 1.457025e+07 + i 4.966590e+06 ; -1.150909e+07 + i -4.890495e+06 ; 1.717017e+08 + i 2.075034e+08 ; 1.731717e+07 + i 3.017486e+07 ; 2.896950e+07 + i -1.806113e+06 ; 5.776158e+07 + i -6.316994e+07 ; -2.562368e+07 + i 2.922856e+06 ; 1.217555e+07 + i -6.128307e+06 ; 6.972916e+07 + i 1.878591e+08 ; -1.033316e+08 + i -7.080826e+07 ; 8.978654e+06 + i 1.193247e+07 ; 3.560022e+07 + i 3.630743e+07 ; 2.738482e+06 + i 3.509505e+06 ; 5.568081e+06 + i 1.084807e+07 ; 5.878935e+06 + i -5.670869e+06 ; 1.162296e+06 + i -3.282282e+05 ; -3.401204e+07 + i -2.132494e+07 ; 2.298372e+07 + i 3.460361e+07 ; -1.782711e+06 + i -6.454206e+05 ; -1.866699e+07 + i -1.768921e+07 ; 6.577006e+06 + i -4.976063e+06 ; 4.264452e+05 + i 1.100743e+06 ; 6.652133e+06 + i 4.215102e+06 ; 2.251353e+07 + i 1.661427e+06 ; 4.382654e+06 + i 4.165040e+06 ; 5.455576e+06 + i 4.073860e+06 ; -1.591182e+05 + i -2.691084e+06 ; 1.366212e+06 + i -3.230551e+05 ; -1.518188e+07 + i -6.294283e+06 ; 1.945294e+07 + i 2.133094e+06 ; -7.362838e+06 + i -1.994965e+06 ; -9.883917e+06 + i -4.714166e+06 ; -1.161561e+05 + i -2.602082e+06 ; 1.103736e+05 + i 1.189823e+06 ; 
-1.654783e+07 + i -3.701736e+07 ; 1.061058e+07 + i 4.248772e+06 ; 1.702608e+08 + i 2.117442e+08 ; -3.548369e+06 + i -2.816159e+07 ; 5.055003e+06 + i 2.485118e+07 ; -6.809608e+08 + i 2.558101e+09 ; -1.643262e+07 + i -6.986634e+06 ; 1.457157e+07 + i 4.992369e+06 ; 5.473563e+07 + i -7.149286e+07 ; -1.156956e+07 + i -4.848862e+06 ; 1.725315e+07 + i 3.024274e+07 ; 1.710532e+08 + i 2.081922e+08 ; 1.103480e+08 + i 9.280871e+07 ; -1.221604e+07 + i 5.307614e+06 ; 7.132797e+07 + i 1.905587e+08 ; 3.346941e+07 + i 5.968237e+07 ; -3.701856e+07 + i -5.055730e+07 ; -4.062546e+08 + i -3.607305e+08 ; 2.901209e+07 + i -1.893453e+06 ; -2.558830e+07 + i 2.943151e+06 ; 5.809775e+07 + i -6.329282e+07 ; 1.219968e+07 + i -6.205717e+06 ; -1.033835e+08 + i -7.082854e+07 ; 6.934321e+07 + i 1.877048e+08 ; 8.983775e+06 + i 1.194280e+07 ; 2.736635e+06 + i 3.510863e+06 ; 3.564901e+07 + i 3.627719e+07 ; 5.564874e+06 + i 1.085366e+07 ; 1.163854e+06 + i -3.277725e+05 ; 5.874997e+06 + i -5.686997e+06 ; 6.659478e+06 + i 4.208725e+06 ; 4.378294e+06 + i 4.171191e+06 ; 2.254630e+07 + i 1.713078e+06 ; 5.468037e+06 + i 4.057423e+06 ; 1.368533e+06 + i -3.233018e+05 ; -1.563056e+05 + i -2.710128e+06 ; -3.399978e+07 + i -2.133627e+07 ; -1.787091e+06 + i -6.344446e+05 ; 2.299121e+07 + i 3.463843e+07 ; -1.865699e+07 + i -1.770346e+07 ; 4.304009e+05 + i 1.104999e+06 ; 6.588674e+06 + i -4.975832e+06 ; -1.518767e+07 + i -6.254731e+06 ; -7.363670e+06 + i -1.998103e+06 ; 1.943594e+07 + i 2.193880e+06 ; -9.887712e+06 + i -4.686096e+06 ; 1.131208e+05 + i 1.188973e+06 ; -9.529938e+04 + i -2.591990e+06 ; 
1.685427e+08 + i 2.101687e+08 ; -1.787652e+07 + i -2.916667e+07 ; 1.061669e+07 + i 4.246967e+06 ; 6.821810e+07 + i 1.906470e+08 ; 1.132966e+08 + i 9.288491e+07 ; -1.215898e+07 + i 5.039532e+06 ; -6.798933e+08 + i 2.557536e+09 ; -5.506352e+06 + i -2.565084e+07 ; 4.986881e+06 + i 2.513354e+07 ; -4.068705e+08 + i -3.641212e+08 ; 3.784118e+07 + i 5.549663e+07 ; -3.697262e+07 + i -5.087812e+07 ; 5.332918e+07 + i -7.012068e+07 ; -1.480969e+07 + i -7.679864e+06 ; 1.459798e+07 + i 4.951513e+06 ; 5.736208e+07 + i -6.097473e+07 ; 2.885286e+07 + i -2.799465e+05 ; -2.548673e+07 + i 2.750766e+06 ; 1.719568e+08 + i 2.090875e+08 ; -1.036241e+07 + i -5.595707e+06 ; 1.726400e+07 + i 3.048084e+07 ; 6.852987e+07 + i 1.891472e+08 ; 1.289608e+07 + i -3.922557e+06 ; -1.034557e+08 + i -7.110305e+07 ; -1.894044e+07 + i 1.194930e+07 ; 3.151475e+06 + i -2.712529e+06 ; 1.237408e+06 + i 1.851450e+06 ; -1.631456e+07 + i 5.769950e+06 ; -1.551984e+05 + i -1.415178e+05 ; 5.496166e+05 + i 1.434922e+03 ; -3.350380e+07 + i -5.791289e+07 ; 1.043595e+05 + i -3.582923e+06 ; 4.372656e+04 + i 2.980850e+06 ; -1.322142e+07 + i -3.853324e+07 ; -9.363461e+05 + i -3.872496e+05 ; 8.423469e+05 + i 2.364144e+05 ; 1.038585e+07 + i 9.967101e+06 ; 9.222496e+05 + i -1.601110e+06 ; -7.186817e+05 + i 1.537236e+06 ; 6.203456e+06 + i 8.806070e+06 ; 2.323324e+04 + i 8.702409e+04 ; -2.964203e+04 + i -7.696494e+04 ; -1.932747e+07 + i 1.243129e+07 ; -1.264349e+06 + i -2.282037e+06 ; -2.727163e+06 + i 2.677565e+06 ; -1.663639e+07 + i 5.943153e+06 ; -6.209540e+05 + i -1.005798e+05 ; 1.400519e+05 + i 1.310948e+05 ; 
3.907673e+07 + i 4.414019e+07 ; -4.031582e+08 + i -3.579853e+08 ; 3.676858e+07 + i 5.076835e+07 ; 1.064122e+08 + i 7.268103e+07 ; 7.135202e+07 + i 1.913959e+08 ; 1.191393e+07 + i -4.859930e+06 ; -6.601783e+06 + i -2.277673e+07 ; -6.791527e+08 + i 2.561732e+09 ; -5.402175e+06 + i -2.483664e+07 ; -1.853357e+07 + i -2.187641e+07 ; 1.723129e+08 + i 2.102137e+08 ; -1.050495e+07 + i -3.833540e+06 ; 1.141316e+07 + i -3.663633e+06 ; 7.249295e+07 + i 1.897856e+08 ; 1.039629e+08 + i 7.087451e+07 ; 2.616689e+07 + i -1.541179e+06 ; 5.796493e+07 + i -6.378791e+07 ; 2.577306e+07 + i -3.018074e+06 ; -9.017301e+06 + i -3.924508e+06 ; 1.732008e+08 + i 2.103589e+08 ; -1.720921e+07 + i -3.064774e+07 ; -1.274156e+07 + i -5.471689e+06 ; 5.322815e+07 + i -7.133252e+07 ; -1.444053e+07 + i -4.923340e+06 ; 1.580605e+07 + i 1.824889e+07 ; 6.300254e+06 + i -4.532238e+06 ; -8.068619e+05 + i -4.092592e+05 ; 8.250161e+06 + i 1.310252e+07 ; 2.095920e+05 + i 3.548154e+04 ; -2.168467e+05 + i -8.398822e+04 ; 3.562806e+05 + i -4.004193e+06 ; 5.734203e+06 + i -5.370162e+06 ; -1.040599e+06 + i -5.667204e+05 ; 9.140242e+05 + i -3.106599e+06 ; 3.756538e+05 + i 1.116506e+05 ; -3.164136e+05 + i -1.200378e+04 ; 1.151232e+07 + i 5.941246e+06 ; -3.087231e+04 + i -2.417738e+06 ; 1.255035e+05 + i -1.781754e+05 ; 7.630978e+06 + i 4.766593e+06 ; 7.526225e+05 + i 6.022345e+05 ; -5.698429e+04 + i -7.596779e+04 ; -2.086098e+06 + i -3.912293e+06 ; -6.857628e+04 + i -2.572248e+06 ; -1.428437e+06 + i -7.111314e+05 ; -1.167948e+06 + i -3.164085e+06 ; 8.375878e+05 + i 5.847296e+05 ; -3.870496e+05 + i -2.836324e+04 ; 
1.059510e+07 + i 4.346789e+06 ; -1.540111e+07 + i -3.790974e+07 ; 1.711556e+08 + i 2.115600e+08 ; 1.451635e+07 + i 5.409774e+06 ; -1.655455e+07 + i -7.535378e+06 ; 5.450550e+07 + i -7.141931e+07 ; 3.950655e+06 + i 2.507516e+07 ; -2.545290e+06 + i -2.950177e+07 ; -6.789795e+08 + i 2.562057e+09 ; 1.595402e+07 + i 3.063947e+07 ; -1.190417e+07 + i -5.561217e+06 ; 1.730387e+08 + i 2.111214e+08 ; -1.386062e+07 + i 6.083819e+06 ; 1.106235e+08 + i 9.654588e+07 ; 7.213252e+07 + i 1.903809e+08 ; -2.789707e+07 + i 2.511277e+06 ; 3.095790e+07 + i -1.447364e+06 ; 5.796366e+07 + i -6.329585e+07 ; -3.672192e+07 + i -5.304762e+07 ; 3.535826e+07 + i 6.440898e+07 ; -4.047458e+08 + i -3.569528e+08 ; -1.037481e+08 + i -7.468093e+07 ; 1.490438e+07 + i -5.693618e+06 ; 7.109061e+07 + i 1.904094e+08 ; 2.125766e+06 + i 4.408037e+06 ; -1.602935e+06 + i -9.432586e+05 ; -1.348534e+04 + i -2.610152e+06 ; 1.208435e+06 + i 3.503761e+06 ; -4.412375e+05 + i -5.783810e+04 ; 8.144939e+05 + i 5.845289e+05 ; -9.746663e+05 + i 4.982797e+06 ; -1.168040e+06 + i -7.126269e+05 ; 5.715479e+06 + i -5.438798e+06 ; -1.331247e+06 + i 3.643305e+06 ; -3.578945e+05 + i -3.961781e+04 ; 3.243553e+05 + i 1.046136e+05 ; -1.156017e+07 + i -5.928402e+06 ; 1.304822e+05 + i -2.427079e+05 ; -1.230810e+04 + i -2.608457e+06 ; -7.582535e+06 + i -4.761530e+06 ; -6.450796e+04 + i -9.596358e+04 ; 7.462814e+05 + i 5.825976e+05 ; -1.547475e+07 + i -1.789894e+07 ; -9.278440e+05 + i -6.684376e+05 ; 6.543205e+06 + i -4.947924e+06 ; -8.024348e+06 + i -1.274324e+07 ; -2.466258e+05 + i -1.365551e+05 ; 1.694110e+05 + i 1.940914e+04 ; 
6.523056e+07 + i 1.936986e+08 ; -1.087816e+08 + i -1.105530e+08 ; 1.312418e+07 + i -5.297405e+06 ; 1.677341e+08 + i 2.089413e+08 ; 2.268597e+07 + i 1.153420e+07 ; -9.821570e+06 + i -3.284901e+06 ; -4.074122e+08 + i -3.633284e+08 ; -4.302695e+07 + i -4.348073e+07 ; 3.740329e+07 + i 5.373025e+07 ; -6.830725e+08 + i 2.549454e+09 ; 2.382743e+05 + i 2.896114e+07 ; -3.906115e+06 + i -2.424319e+07 ; 5.847842e+07 + i -6.114801e+07 ; -2.996903e+07 + i -1.332153e+06 ; 2.709484e+07 + i -2.629447e+06 ; 5.289098e+07 + i -6.793844e+07 ; 1.173604e+07 + i 6.863661e+06 ; -1.342052e+07 + i -4.215233e+06 ; 6.968393e+07 + i 1.888064e+08 ; -1.249242e+07 + i 3.551257e+06 ; 1.065782e+08 + i 7.658107e+07 ; 1.678556e+08 + i 2.090945e+08 ; 8.674071e+06 + i 4.319096e+06 ; -1.549199e+07 + i -3.023675e+07 ; -1.985146e+07 + i 1.909005e+07 ; 3.081879e+07 + i 3.146803e+07 ; -6.074518e+06 + i -1.166074e+06 ; -1.879622e+07 + i 1.162374e+07 ; 3.663402e+06 + i -4.785498e+06 ; 1.283803e+06 + i 1.596356e+06 ; -7.342400e+07 + i -8.135749e+07 ; 8.878313e+06 + i 2.285736e+07 ; -1.179534e+07 + i -1.278838e+07 ; -3.340036e+07 + i -5.783868e+07 ; 2.427489e+06 + i -4.583115e+06 ; -6.187806e+05 + i 4.406527e+06 ; 1.626542e+07 + i 1.075133e+07 ; 1.623516e+07 + i 8.148660e+06 ; -1.445653e+07 + i -3.290386e+06 ; 1.035294e+07 + i 9.663492e+06 ; 3.353457e+05 + i -1.648442e+06 ; 8.736361e+04 + i 1.428546e+06 ; -2.025929e+07 + i 2.059007e+07 ; 6.727113e+06 + i 4.764727e+06 ; -3.133369e+07 + i -1.884474e+07 ; -1.931683e+07 + i 1.243368e+07 ; -9.821162e+05 + i -1.942317e+06 ; -1.709962e+06 + i 4.737738e+06 ; 
-1.072453e+08 + i -1.079510e+08 ; 6.815144e+07 + i 1.951144e+08 ; 1.290839e+07 + i -5.064471e+06 ; -4.005265e+07 + i -3.943165e+07 ; -4.069401e+08 + i -3.597842e+08 ; 3.692962e+07 + i 5.393682e+07 ; 2.512034e+07 + i 1.336781e+07 ; 1.726835e+08 + i 2.095108e+08 ; -1.102283e+07 + i -4.496952e+06 ; 2.102043e+06 + i 2.971266e+07 ; -6.797985e+08 + i 2.557338e+09 ; -5.009332e+06 + i -2.574401e+07 ; -2.850166e+07 + i 3.039645e+04 ; 5.915000e+07 + i -6.328933e+07 ; 2.690279e+07 + i -2.402826e+06 ; -1.012947e+07 + i 5.603789e+06 ; 7.100684e+07 + i 1.872093e+08 ; 1.060148e+08 + i 7.672252e+07 ; 1.344328e+07 + i 7.987283e+06 ; 5.306732e+07 + i -7.108106e+07 ; -1.497408e+07 + i -5.634670e+06 ; 9.780544e+06 + i 4.724548e+06 ; 1.706826e+08 + i 2.074298e+08 ; -1.713087e+07 + i -3.205634e+07 ; 3.272103e+07 + i 2.445527e+07 ; 2.308240e+07 + i 3.340586e+07 ; 1.824545e+06 + i 7.589308e+05 ; 1.733633e+07 + i 1.936967e+07 ; 6.481770e+06 + i -5.050053e+06 ; -4.075681e+05 + i -1.154395e+06 ; -6.349683e+06 + i -1.850791e+07 ; 3.539349e+07 + i 3.658139e+07 ; -2.791080e+06 + i -3.679928e+06 ; -2.995288e+06 + i -1.479098e+07 ; 5.791216e+06 + i -5.490170e+06 ; -1.208674e+06 + i 3.208521e+05 ; 1.531541e+07 + i 7.959397e+06 ; 1.927123e+07 + i 1.830594e+06 ; 7.657118e+06 + i 2.277973e+06 ; 9.857319e+06 + i 5.815699e+06 ; -1.439166e+05 + i -2.633176e+06 ; -7.694881e+04 + i -1.257488e+06 ; -6.718341e+06 + i -7.092756e+06 ; 2.246132e+07 + i 1.802384e+06 ; -4.442332e+06 + i -4.474008e+06 ; -5.363121e+06 + i -6.216308e+06 ; -1.431687e+05 + i -2.578438e+06 ; -1.428289e+06 + i 2.911567e+05 ; 
