-3.007789e+09 + i 1.192081e+09 ; -1.450313e+07 + i 4.977048e+06 ; -1.450354e+07 + i 4.980511e+06 ; 5.088686e+08 + i -4.087244e+08 ; 4.679580e+07 + i -2.852941e+07 ; 4.678400e+07 + i -2.853086e+07 ; -2.510243e+08 + i 1.898855e+08 ; -2.587054e+07 + i 1.494259e+07 ; -5.380986e+06 + i 3.771178e+06 ; -1.427504e+08 + i 6.611956e+07 ; 1.142080e+08 + i -1.003695e+08 ; 4.565209e+06 + i -6.699674e+06 ; -2.510147e+08 + i 1.898879e+08 ; -5.389390e+06 + i 3.763070e+06 ; -2.587529e+07 + i 1.493962e+07 ; -1.427365e+08 + i 6.612748e+07 ; 4.624120e+06 + i -6.694318e+06 ; 1.142105e+08 + i -1.003689e+08 ; 5.838495e+06 + i 2.826325e+07 ; -9.337879e+06 + i 7.809761e+06 ; -9.316326e+06 + i 7.812068e+06 ; 2.707196e+06 + i 2.289258e+07 ; 1.890493e+07 + i -2.425535e+07 ; 1.890612e+07 + i -2.425750e+07 ; 5.700802e+07 + i -3.632188e+07 ; -1.215281e+06 + i 3.634130e+04 ; -1.214356e+06 + i 3.645345e+04 ; 3.227030e+07 + i -1.770624e+07 ; -4.280024e+05 + i 2.975893e+05 ; -4.278959e+05 + i 2.977304e+05 ; 4.191633e+06 + i -1.148298e+07 ; 1.569927e+06 + i -3.405181e+06 ; -1.055104e+06 + i 3.578365e+05 ; 4.515347e+06 + i -8.423882e+06 ; 2.952114e+05 + i -6.024296e+05 ; -3.819636e+05 + i 2.876944e+05 ; 4.198031e+06 + i -1.148155e+07 ; -1.050131e+06 + i 3.573749e+05 ; 1.570349e+06 + i -3.405049e+06 ; 4.518098e+06 + i -8.422631e+06 ; -3.813752e+05 + i 2.873336e+05 ; 2.950863e+05 + i -6.024385e+05 ; -2.323155e+06 + i -1.442507e+06 ; 9.403553e+05 + i -2.084551e+06 ; 9.392370e+05 + i -2.084600e+06 ; -4.526624e+05 + i -2.401738e+06 ; 2.084897e+05 + i -4.531804e+05 ; 2.085291e+05 + i -4.531161e+05 ; 
-1.422727e+07 + i 4.688009e+06 ; -3.010995e+09 + i 1.193267e+09 ; -1.450030e+07 + i 4.961359e+06 ; -2.553960e+07 + i 1.453486e+07 ; -2.522852e+08 + i 1.905957e+08 ; -5.313941e+06 + i 3.721327e+06 ; 4.795644e+07 + i -2.909918e+07 ; 5.031185e+08 + i -4.061949e+08 ; 4.677328e+07 + i -2.860718e+07 ; 1.163653e+08 + i -1.015458e+08 ; -1.444985e+08 + i 6.758686e+07 ; 4.601487e+06 + i -6.781652e+06 ; -5.225228e+06 + i 3.523008e+06 ; -2.522993e+08 + i 1.909291e+08 ; -2.586815e+07 + i 1.491845e+07 ; -9.184825e+06 + i 7.506804e+06 ; 5.595111e+06 + i 2.869917e+07 ; -9.241272e+06 + i 7.764521e+06 ; 5.462129e+06 + i -7.207734e+06 ; -1.447512e+08 + i 6.789869e+07 ; 1.142893e+08 + i -1.005311e+08 ; 2.040784e+07 + i -2.524243e+07 ; 2.415356e+06 + i 2.361068e+07 ; 1.901200e+07 + i -2.439898e+07 ; -1.990675e+06 + i 6.414146e+04 ; -1.536611e+06 + i 4.760799e+06 ; -1.019523e+06 + i 7.475883e+05 ; -1.171617e+06 + i -2.321679e+05 ; -1.442091e+06 + i 1.704322e+06 ; -2.653457e+05 + i 2.704966e+05 ; 1.956523e+07 + i -1.399473e+07 ; -2.134788e+06 + i 4.939419e+06 ; -5.319337e+05 + i 3.743925e+05 ; 1.160084e+07 + i -7.215868e+06 ; -1.269256e+06 + i 1.527412e+06 ; -2.359839e+05 + i 1.924858e+05 ; -2.134201e+06 + i 7.139242e+05 ; -1.858602e+06 + i 3.320933e+06 ; -1.399850e+06 + i 1.116969e+06 ; -1.310614e+06 + i 2.164511e+05 ; -1.036166e+06 + i 1.411623e+06 ; -3.371475e+05 + i 3.502837e+05 ; 1.011399e+07 + i -8.842693e+06 ; -1.834235e+06 + i 3.167208e+06 ; 4.156089e+05 + i -6.873986e+05 ; 6.512141e+06 + i -5.182236e+06 ; -9.473658e+05 + i 1.292028e+06 ; -7.125710e+04 + i -1.840377e+04 ; 
-1.423630e+07 + i 4.691044e+06 ; -1.449988e+07 + i 4.962050e+06 ; -3.011041e+09 + i 1.193257e+09 ; -2.554153e+07 + i 1.453311e+07 ; -5.313355e+06 + i 3.722053e+06 ; -2.522780e+08 + i 1.906096e+08 ; -5.222424e+06 + i 3.527201e+06 ; -2.588677e+07 + i 1.491408e+07 ; -2.525240e+08 + i 1.908953e+08 ; -9.162782e+06 + i 7.509391e+06 ; -9.247892e+06 + i 7.764502e+06 ; 5.619010e+06 + i 2.873557e+07 ; 4.796061e+07 + i -2.909640e+07 ; 4.676176e+07 + i -2.861043e+07 ; 5.030142e+08 + i -4.062037e+08 ; 1.163701e+08 + i -1.015447e+08 ; 4.593954e+06 + i -6.781750e+06 ; -1.445295e+08 + i 6.759019e+07 ; 5.424781e+06 + i -7.206104e+06 ; 1.142859e+08 + i -1.005334e+08 ; -1.447800e+08 + i 6.788024e+07 ; 2.039354e+07 + i -2.524376e+07 ; 1.900917e+07 + i -2.439829e+07 ; 2.426441e+06 + i 2.362426e+07 ; -1.989834e+06 + i 6.285476e+04 ; -1.019696e+06 + i 7.476231e+05 ; -1.536832e+06 + i 4.762117e+06 ; -1.171353e+06 + i -2.327406e+05 ; -2.653973e+05 + i 2.705445e+05 ; -1.441201e+06 + i 1.704406e+06 ; -2.129066e+06 + i 7.135252e+05 ; -1.400050e+06 + i 1.117080e+06 ; -1.858473e+06 + i 3.321636e+06 ; -1.306574e+06 + i 2.167629e+05 ; -3.369998e+05 + i 3.503292e+05 ; -1.035102e+06 + i 1.411703e+06 ; 1.956457e+07 + i -1.399415e+07 ; -5.328799e+05 + i 3.743734e+05 ; -2.138551e+06 + i 4.940917e+06 ; 1.160062e+07 + i -7.215449e+06 ; -2.362130e+05 + i 1.925581e+05 ; -1.269945e+06 + i 1.527818e+06 ; 1.011420e+07 + i -8.844659e+06 ; 4.159242e+05 + i -6.873079e+05 ; -1.835670e+06 + i 3.167590e+06 ; 6.511565e+06 + i -5.183082e+06 ; -7.101721e+04 + i -1.834106e+04 ; -9.477017e+05 + i 1.292411e+06 ; 
5.094394e+08 + i -4.086189e+08 ; -4.867855e+07 + i 2.918167e+07 ; -4.866093e+07 + i 2.918538e+07 ; -3.001204e+09 + i 1.187807e+09 ; 1.340195e+07 + i -4.241544e+06 ; 1.340387e+07 + i -4.244735e+06 ; -1.425900e+08 + i 6.613271e+07 ; -1.188178e+08 + i 1.026261e+08 ; -4.904287e+06 + i 7.099400e+06 ; -2.495227e+08 + i 1.879745e+08 ; 2.485526e+07 + i -1.390743e+07 ; 4.378140e+06 + i -3.130240e+06 ; -1.425918e+08 + i 6.613639e+07 ; -4.956894e+06 + i 7.094716e+06 ; -1.188204e+08 + i 1.026257e+08 ; -2.494869e+08 + i 1.879802e+08 ; 4.382947e+06 + i -3.124109e+06 ; 2.485702e+07 + i -1.390571e+07 ; 2.727581e+06 + i 2.287166e+07 ; -1.989426e+07 + i 2.512347e+07 ; -1.989858e+07 + i 2.512352e+07 ; 5.716913e+06 + i 2.770288e+07 ; 8.155149e+06 + i -6.903138e+06 ; 8.146821e+06 + i -6.903690e+06 ; 1.027073e+08 + i -7.865353e+07 ; 1.335541e+07 + i -8.781084e+06 ; 1.334981e+07 + i -8.782436e+06 ; 5.700798e+07 + i -3.631337e+07 ; -1.198717e+06 + i -5.330059e+05 ; -1.200445e+06 + i -5.322666e+05 ; 2.294983e+06 + i -1.424623e+07 ; 3.322914e+07 + i -2.996522e+07 ; 4.538254e+06 + i -4.154414e+06 ; 4.187120e+06 + i -1.148014e+07 ; 2.694239e+04 + i -2.577904e+06 ; -5.423411e+05 + i -1.354998e+05 ; 2.305640e+06 + i -1.424732e+07 ; 4.551129e+06 + i -4.153571e+06 ; 3.323096e+07 + i -2.996517e+07 ; 4.192548e+06 + i -1.148010e+07 ; -5.397095e+05 + i -1.368834e+05 ; 2.726310e+04 + i -2.578312e+06 ; -6.054424e+06 + i 1.763638e+06 ; 1.326977e+07 + i -1.406834e+07 ; 1.327374e+07 + i -1.406798e+07 ; -2.319304e+06 + i -1.438903e+06 ; 7.191115e+05 + i -1.839170e+06 ; 7.215874e+05 + i -1.839170e+06 ; 
3.008901e+07 + i -1.595092e+07 ; -2.528762e+08 + i 1.904782e+08 ; -5.588397e+06 + i 3.827202e+06 ; 1.630428e+07 + i -5.276130e+06 ; -3.008144e+09 + i 1.191525e+09 ; -1.489153e+07 + i 4.992806e+06 ; -1.319316e+08 + i 1.071795e+08 ; -1.444202e+08 + i 6.760544e+07 ; 4.630421e+06 + i -6.916955e+06 ; -5.066703e+07 + i 2.794378e+07 ; 5.060304e+08 + i -4.074711e+08 ; 4.837812e+07 + i -2.893513e+07 ; 1.091710e+07 + i -8.589240e+06 ; 5.601996e+06 + i 2.875991e+07 ; -9.663432e+06 + i 7.946806e+06 ; 5.974560e+06 + i -4.136850e+06 ; -2.498019e+08 + i 1.894836e+08 ; -2.672787e+07 + i 1.515850e+07 ; -2.125620e+07 + i 2.586452e+07 ; 2.378988e+06 + i 2.359959e+07 ; 1.979866e+07 + i -2.491826e+07 ; -3.269407e+06 + i 5.902314e+06 ; -1.424764e+08 + i 6.662826e+07 ; 1.185374e+08 + i -1.022323e+08 ; -1.095220e+07 + i 6.493314e+06 ; -4.769134e+07 + i 3.737576e+07 ; -3.031189e+06 + i 1.637035e+06 ; -7.864484e+06 + i 3.730008e+06 ; -1.455927e+06 + i 4.775169e+06 ; -5.812009e+05 + i 6.273309e+05 ; 3.642267e+07 + i -3.166151e+07 ; -3.458068e+07 + i 2.193385e+07 ; 1.528419e+06 + i -1.335281e+06 ; 2.110027e+07 + i -1.525847e+07 ; -2.122274e+06 + i 4.944785e+06 ; -7.137825e+05 + i 2.690110e+05 ; -6.183915e+06 + i 4.414804e+06 ; -1.665221e+07 + i 1.871664e+07 ; -4.653651e+06 + i 3.090250e+06 ; -4.816578e+06 + i 3.002709e+06 ; -1.821703e+06 + i 3.317128e+06 ; -8.145030e+05 + i 9.024045e+05 ; 1.571687e+07 + i -1.509235e+07 ; -1.317479e+07 + i 1.361452e+07 ; 7.361537e+06 + i -7.715577e+06 ; 9.734599e+06 + i -8.496635e+06 ; -1.832536e+06 + i 3.164802e+06 ; -3.516544e+05 + i -3.103281e+05 ; 
3.009297e+07 + i -1.595030e+07 ; -5.588072e+06 + i 3.827806e+06 ; -2.528638e+08 + i 1.904951e+08 ; 1.630785e+07 + i -5.277400e+06 ; -1.489058e+07 + i 4.994053e+06 ; -3.008171e+09 + i 1.191524e+09 ; 1.090908e+07 + i -8.592280e+06 ; -9.670518e+06 + i 7.946456e+06 ; 5.641354e+06 + i 2.880597e+07 ; 5.967686e+06 + i -4.141447e+06 ; -2.674504e+07 + i 1.515425e+07 ; -2.500583e+08 + i 1.894438e+08 ; -1.319343e+08 + i 1.071775e+08 ; 4.624510e+06 + i -6.915897e+06 ; -1.444594e+08 + i 6.760354e+07 ; -5.067030e+07 + i 2.794162e+07 ; 4.836415e+07 + i -2.893963e+07 ; 5.059365e+08 + i -4.074801e+08 ; -2.123774e+07 + i 2.586696e+07 ; 1.979946e+07 + i -2.491573e+07 ; 2.450732e+06 + i 2.362450e+07 ; -3.249528e+06 + i 5.902447e+06 ; 1.185324e+08 + i -1.022357e+08 ; -1.425100e+08 + i 6.660250e+07 ; -1.095527e+07 + i 6.493698e+06 ; -3.031565e+06 + i 1.636828e+06 ; -4.767941e+07 + i 3.737678e+07 ; -7.866549e+06 + i 3.730269e+06 ; -5.813608e+05 + i 6.274345e+05 ; -1.452072e+06 + i 4.774958e+06 ; -6.183204e+06 + i 4.415165e+06 ; -4.655270e+06 + i 3.089823e+06 ; -1.665349e+07 + i 1.871916e+07 ; -4.813992e+06 + i 3.003625e+06 ; -8.144180e+05 + i 9.025555e+05 ; -1.818393e+06 + i 3.316828e+06 ; 3.642408e+07 + i -3.166075e+07 ; 1.526289e+06 + i -1.335637e+06 ; -3.459179e+07 + i 2.193356e+07 ; 2.110208e+07 + i -1.525770e+07 ; -7.145191e+05 + i 2.691739e+05 ; -2.124803e+06 + i 4.946040e+06 ; 1.570865e+07 + i -1.509267e+07 ; 7.362700e+06 + i -7.715574e+06 ; -1.317979e+07 + i 1.361302e+07 ; 9.728501e+06 + i -8.496596e+06 ; -3.512920e+05 + i -3.101285e+05 ; -1.835596e+06 + i 3.165535e+06 ; 
-2.516776e+08 + i 1.897644e+08 ; 2.691982e+07 + i -1.556875e+07 ; -5.596709e+06 + i 3.841522e+06 ; -1.431842e+08 + i 6.616573e+07 ; -1.329718e+08 + i 1.081494e+08 ; 4.655816e+06 + i -6.877549e+06 ; -3.008254e+09 + i 1.191919e+09 ; 1.531558e+07 + i -5.133930e+06 ; -1.499651e+07 + i 4.995475e+06 ; 5.086102e+08 + i -4.087461e+08 ; -5.125459e+07 + i 2.992392e+07 ; 4.851749e+07 + i -2.896165e+07 ; 5.794359e+06 + i 2.833292e+07 ; 1.090367e+07 + i -8.258105e+06 ; -9.675961e+06 + i 7.965564e+06 ; 2.604833e+06 + i 2.291109e+07 ; -2.251486e+07 + i 2.643332e+07 ; 1.975719e+07 + i -2.482121e+07 ; -2.509415e+08 + i 1.899560e+08 ; 6.153411e+06 + i -3.904412e+06 ; -2.682802e+07 + i 1.514633e+07 ; -1.426735e+08 + i 6.615415e+07 ; -5.506221e+06 + i 7.230526e+06 ; 1.187776e+08 + i -1.023513e+08 ; 4.344381e+06 + i -1.146184e+07 ; -1.926399e+06 + i 3.738836e+06 ; -1.103353e+06 + i 3.593421e+05 ; 4.599833e+06 + i -8.400146e+06 ; -3.526797e+05 + i 6.612858e+05 ; -3.979517e+05 + i 2.936292e+05 ; 5.701782e+07 + i -3.632422e+07 ; 1.441197e+06 + i -1.349334e+04 ; -1.248735e+06 + i 2.522412e+04 ; 3.227075e+07 + i -1.770569e+07 ; 5.160578e+05 + i -3.209675e+05 ; -4.427003e+05 + i 3.026499e+05 ; -2.314004e+06 + i -1.453777e+06 ; -1.148337e+06 + i 2.296464e+06 ; 9.886630e+05 + i -2.140292e+06 ; -4.403494e+05 + i -2.409228e+06 ; -2.490246e+05 + i 4.974439e+05 ; 2.201540e+05 + i -4.649367e+05 ; 4.213190e+06 + i -1.147671e+07 ; 1.256820e+06 + i -3.684400e+05 ; 1.655380e+06 + i -3.494709e+06 ; 4.525547e+06 + i -8.417744e+06 ; 4.603856e+05 + i -3.112874e+05 ; 3.110980e+05 + i -6.181336e+05 ; 
-4.666580e+07 + i 2.940346e+07 ; 5.036097e+08 + i -4.060999e+08 ; -4.858298e+07 + i 2.901734e+07 ; -1.204386e+08 + i 1.035313e+08 ; -1.448125e+08 + i 6.762863e+07 ; -4.840244e+06 + i 6.949231e+06 ; 1.389178e+07 + i -4.838991e+06 ; -3.011333e+09 + i 1.193154e+09 ; 1.484875e+07 + i -4.988700e+06 ; 2.328704e+07 + i -1.466515e+07 ; -2.521408e+08 + i 1.905995e+08 ; 5.453687e+06 + i -3.781205e+06 ; -5.676210e+06 + i 7.257812e+06 ; -1.445015e+08 + i 6.791641e+07 ; -1.188296e+08 + i 1.025339e+08 ; -2.126539e+07 + i 2.573191e+07 ; 2.424333e+06 + i 2.362279e+07 ; -1.983326e+07 + i 2.497235e+07 ; 5.292756e+06 + i -3.506553e+06 ; -2.524286e+08 + i 1.909006e+08 ; 2.684959e+07 + i -1.511936e+07 ; 9.468358e+06 + i -7.526357e+06 ; 5.515771e+06 + i 2.869231e+07 ; 9.621525e+06 + i -7.913156e+06 ; -2.039877e+07 + i 1.423984e+07 ; -2.266768e+06 + i 4.932350e+06 ; 5.512315e+05 + i -3.801384e+05 ; -1.209979e+07 + i 7.328699e+06 ; -1.273290e+06 + i 1.531338e+06 ; 2.451491e+05 + i -1.959885e+05 ; 1.721506e+06 + i -8.018334e+04 ; -1.543610e+06 + i 4.766606e+06 ; 1.055795e+06 + i -7.595605e+05 ; 1.025333e+06 + i 2.242205e+05 ; -1.443954e+06 + i 1.707678e+06 ; 2.762726e+05 + i -2.759184e+05 ; -1.056643e+07 + i 9.014239e+06 ; -1.885520e+06 + i 3.175353e+06 ; -4.332284e+05 + i 7.054506e+05 ; -6.806694e+06 + i 5.279190e+06 ; -9.533944e+05 + i 1.293704e+06 ; 7.419657e+04 + i 1.977682e+04 ; 2.073361e+06 + i -7.045932e+05 ; -1.853202e+06 + i 3.323028e+06 ; 1.456509e+06 + i -1.137024e+06 ; 1.267614e+06 + i -2.050826e+05 ; -1.035466e+06 + i 1.412784e+06 ; 3.519323e+05 + i -3.577128e+05 ; 
-5.298989e+06 + i 3.623993e+06 ; 3.008127e+07 + i -1.557880e+07 ; -2.531006e+08 + i 1.908025e+08 ; -9.424267e+06 + i 7.677085e+06 ; 1.078690e+07 + i -8.362086e+06 ; 5.600743e+06 + i 2.879450e+07 ; -1.470117e+07 + i 4.674554e+06 ; 1.648965e+07 + i -4.906284e+06 ; -3.011343e+09 + i 1.193168e+09 ; -2.647355e+07 + i 1.469184e+07 ; 6.016282e+06 + i -3.966940e+06 ; -2.523093e+08 + i 1.906504e+08 ; 4.827165e+06 + i -7.409801e+06 ; -1.342603e+08 + i 1.081199e+08 ; -1.446915e+08 + i 6.790143e+07 ; 2.086745e+07 + i -2.584183e+07 ; -2.224154e+07 + i 2.670737e+07 ; 2.444085e+06 + i 2.361696e+07 ; 4.985345e+07 + i -2.944587e+07 ; -5.453454e+07 + i 3.002910e+07 ; 5.030979e+08 + i -4.061617e+08 ; 1.211372e+08 + i -1.033542e+08 ; -4.966208e+06 + i 7.439592e+06 ; -1.444981e+08 + i 6.758658e+07 ; -2.196549e+06 + i 7.127145e+05 ; 1.620800e+06 + i -1.197333e+06 ; -1.845809e+06 + i 3.325518e+06 ; -1.345151e+06 + i 2.097928e+05 ; 3.920123e+05 + i -3.796858e+05 ; -1.031984e+06 + i 1.411292e+06 ; -2.058323e+06 + i 4.417493e+04 ; 1.165237e+06 + i -7.977571e+05 ; -1.535413e+06 + i 4.765981e+06 ; -1.209848e+06 + i -2.520301e+05 ; 3.079912e+05 + i -2.922873e+05 ; -1.441512e+06 + i 1.704618e+06 ; 1.050855e+07 + i -9.013833e+06 ; -4.807851e+05 + i 7.533899e+05 ; -1.829181e+06 + i 3.170277e+06 ; 6.765290e+06 + i -5.274349e+06 ; 8.446205e+04 + i 2.289042e+04 ; -9.467902e+05 + i 1.292275e+06 ; 2.030081e+07 + i -1.420912e+07 ; 6.495770e+05 + i -4.036365e+05 ; -2.134573e+06 + i 4.942422e+06 ; 1.202186e+07 + i -7.310286e+06 ; 2.827066e+05 + i -2.075753e+05 ; -1.268837e+06 + i 1.527657e+06 ; 
-1.446415e+08 + i 6.615871e+07 ; 1.411943e+08 + i -1.099364e+08 ; -4.971386e+06 + i 7.267515e+06 ; -2.493335e+08 + i 1.879753e+08 ; -1.851876e+07 + i 1.376334e+07 ; 4.534351e+06 + i -3.185399e+06 ; 5.083805e+08 + i -4.087638e+08 ; 4.662265e+07 + i -2.976652e+07 ; -5.023015e+07 + i 2.957481e+07 ; -3.001075e+09 + i 1.187838e+09 ; -1.535544e+07 + i 4.086739e+06 ; 1.380907e+07 + i -4.250088e+06 ; 2.659139e+06 + i 2.302228e+07 ; 2.400622e+07 + i -2.727706e+07 ; -2.067559e+07 + i 2.563847e+07 ; 5.595109e+06 + i 2.770936e+07 ; -9.459645e+06 + i 7.038660e+06 ; 8.427914e+06 + i -7.020957e+06 ; -1.424211e+08 + i 6.622290e+07 ; 5.915102e+06 + i -7.438237e+06 ; -1.229716e+08 + i 1.044014e+08 ; -2.494204e+08 + i 1.879970e+08 ; -4.954463e+06 + i 3.139980e+06 ; 2.565145e+07 + i -1.407224e+07 ; 2.836444e+06 + i -1.428604e+07 ; -4.083214e+07 + i 3.217930e+07 ; 4.661619e+06 + i -4.233043e+06 ; 4.492129e+06 + i -1.146727e+07 ; -3.360125e+05 + i 3.025741e+06 ; -5.658160e+05 + i -1.426763e+05 ; 1.027185e+08 + i -7.866078e+07 ; -1.792540e+07 + i 9.341787e+06 ; 1.379663e+07 + i -8.909880e+06 ; 5.699855e+07 + i -3.631449e+07 ; 1.170138e+06 + i 7.811454e+05 ; -1.225871e+06 + i -5.566997e+05 ; -5.904459e+06 + i 1.715665e+06 ; -1.641644e+07 + i 1.531618e+07 ; 1.376093e+07 + i -1.433923e+07 ; -2.217242e+06 + i -1.466446e+06 ; -1.047546e+06 + i 2.095105e+06 ; 7.582295e+05 + i -1.883635e+06 ; 2.312856e+06 + i -1.424134e+07 ; -6.188533e+06 + i 4.586451e+06 ; 3.440111e+07 + i -3.049685e+07 ; 4.191264e+06 + i -1.147460e+07 ; 4.607885e+05 + i 2.359825e+05 ; 5.143740e+04 + i -2.648209e+06 ; 
1.389313e+08 + i -1.086899e+08 ; -1.464188e+08 + i 6.761936e+07 ; -4.836898e+06 + i 7.067739e+06 ; 4.268788e+07 + i -2.739153e+07 ; 5.056638e+08 + i -4.075122e+08 ; -5.001576e+07 + i 2.929605e+07 ; -2.083652e+07 + i 1.537986e+07 ; -2.519209e+08 + i 1.906085e+08 ; 5.710046e+06 + i -3.882428e+06 ; -1.677116e+07 + i 5.216624e+06 ; -3.007949e+09 + i 1.191594e+09 ; 1.519394e+07 + i -5.019325e+06 ; 2.247169e+07 + i -2.626315e+07 ; 2.390226e+06 + i 2.374410e+07 ; -2.054139e+07 + i 2.543409e+07 ; 3.418601e+06 + i -5.710546e+06 ; -1.421482e+08 + i 6.670815e+07 ; -1.226437e+08 + i 1.040170e+08 ; -1.124362e+07 + i 8.352970e+06 ; 5.426885e+06 + i 2.868716e+07 ; 1.001619e+07 + i -8.075804e+06 ; -6.025106e+06 + i 4.016837e+06 ; -2.499397e+08 + i 1.894126e+08 ; 2.761974e+07 + i -1.533645e+07 ; -3.807069e+07 + i 3.201923e+07 ; -3.411427e+07 + i 2.187059e+07 ; -1.590021e+06 + i 1.357668e+06 ; -2.191864e+07 + i 1.534000e+07 ; -2.082400e+06 + i 4.927789e+06 ; 7.341333e+05 + i -2.696218e+05 ; 1.357157e+07 + i -6.657707e+06 ; -4.776794e+07 + i 3.736570e+07 ; 3.108393e+06 + i -1.655890e+06 ; 9.353562e+06 + i -3.696284e+06 ; -1.502219e+06 + i 4.768681e+06 ; 6.000956e+05 + i -6.381669e+05 ; -1.642782e+07 + i 1.532357e+07 ; -1.303744e+07 + i 1.357135e+07 ; -7.625235e+06 + i 7.864969e+06 ; -1.011247e+07 + i 8.595541e+06 ; -1.807004e+06 + i 3.156501e+06 ; 3.608313e+05 + i 3.221763e+05 ; 7.234365e+06 + i -4.588757e+06 ; -1.668570e+07 + i 1.871421e+07 ; 4.810188e+06 + i -3.133724e+06 ; 5.520202e+06 + i -3.088140e+06 ; -1.849100e+06 + i 3.316629e+06 ; 8.465144e+05 + i -9.196958e+05 ; 
