-4.626949e+09 + i 7.747018e+08 ; -1.819270e+07 + i 7.496502e+05 ; -1.819630e+07 + i 7.506886e+05 ; 1.122463e+09 + i -3.335737e+08 ; 8.218081e+07 + i -1.606310e+07 ; 8.217331e+07 + i -1.606557e+07 ; -5.335606e+08 + i 1.534957e+08 ; -4.416526e+07 + i 8.252436e+06 ; -9.508828e+06 + i 1.599323e+06 ; -2.114474e+08 + i 2.519271e+07 ; 2.696716e+08 + i -8.614689e+07 ; 1.513259e+07 + i -5.614076e+06 ; -5.335556e+08 + i 1.534981e+08 ; -9.509988e+06 + i 1.596314e+06 ; -4.416669e+07 + i 8.251012e+06 ; -2.114431e+08 + i 2.519707e+07 ; 1.517293e+07 + i -5.602632e+06 ; 2.696733e+08 + i -8.614632e+07 ; -5.182420e+07 + i 3.685884e+07 ; -1.990198e+07 + i 5.115402e+06 ; -1.988737e+07 + i 5.119523e+06 ; -3.819777e+07 + i 2.310747e+07 ; 6.076166e+07 + i -2.481313e+07 ; 6.076302e+07 + i -2.481308e+07 ; 1.062971e+08 + i -2.478229e+07 ; -7.649611e+05 + i -3.942955e+05 ; -7.640336e+05 + i -3.942647e+05 ; 5.482850e+07 + i -1.081214e+07 ; -7.313396e+05 + i 9.961888e+04 ; -7.313971e+05 + i 9.967541e+04 ; 2.458432e+07 + i -1.206027e+07 ; 8.158157e+06 + i -4.166986e+06 ; -1.172781e+06 + i -7.953337e+04 ; 1.828769e+07 + i -7.715631e+06 ; 1.618876e+06 + i -9.182662e+05 ; -7.193320e+05 + i 1.294006e+05 ; 2.458786e+07 + i -1.205879e+07 ; -1.169089e+06 + i -7.862228e+04 ; 8.158439e+06 + i -4.166907e+06 ; 1.828888e+07 + i -7.714904e+06 ; -7.185911e+05 + i 1.294274e+05 ; 1.618806e+06 + i -9.182957e+05 ; 3.631979e+06 + i -4.582394e+06 ; 5.181321e+06 + i -2.767785e+06 ; 5.180676e+06 + i -2.768016e+06 ; 5.816248e+06 + i -4.190766e+06 ; 1.213017e+06 + i -7.114582e+05 ; 1.213007e+06 + i -7.114356e+05 ; 
-1.753011e+07 + i 5.689841e+05 ; -4.631320e+09 + i 7.751146e+08 ; -1.815014e+07 + i 7.250801e+05 ; -4.325983e+07 + i 7.973468e+06 ; -5.355754e+08 + i 1.537940e+08 ; -9.378454e+06 + i 1.570031e+06 ; 8.395974e+07 + i -1.630881e+07 ; 1.113959e+09 + i -3.324635e+08 ; 8.229746e+07 + i -1.613813e+07 ; 2.732053e+08 + i -8.673945e+07 ; -2.151001e+08 + i 2.608669e+07 ; 1.530237e+07 + i -5.682732e+06 ; -8.992065e+06 + i 1.424108e+06 ; -5.360866e+08 + i 1.540436e+08 ; -4.411342e+07 + i 8.222981e+06 ; -1.926873e+07 + i 4.870200e+06 ; -5.272049e+07 + i 3.716886e+07 ; -1.975305e+07 + i 5.092150e+06 ; 1.660974e+07 + i -5.856614e+06 ; -2.157608e+08 + i 2.627905e+07 ; 2.700200e+08 + i -8.629120e+07 ; 6.348992e+07 + i -2.536590e+07 ; -3.973783e+07 + i 2.377449e+07 ; 6.109429e+07 + i -2.493204e+07 ; -1.443176e+06 + i -4.686604e+05 ; -1.059490e+07 + i 5.632467e+06 ; -1.995258e+06 + i 4.479132e+05 ; -4.055213e+05 + i -5.073673e+05 ; -4.610501e+06 + i 1.979613e+06 ; -6.687492e+05 + i 2.043579e+05 ; 3.915336e+07 + i -1.002848e+07 ; -1.101563e+07 + i 5.270002e+06 ; -9.682367e+05 + i 1.794300e+05 ; 2.096574e+07 + i -4.506419e+06 ; -4.132553e+06 + i 1.786691e+06 ; -5.049920e+05 + i 1.294767e+05 ; -2.488144e+06 + i -1.950488e+04 ; -8.470380e+06 + i 4.206671e+06 ; -2.953646e+06 + i 7.617368e+05 ; -1.099334e+06 + i -2.509941e+05 ; -3.678742e+06 + i 1.683207e+06 ; -8.745704e+05 + i 2.812339e+05 ; 2.325567e+07 + i -6.996054e+06 ; -8.015504e+06 + i 3.834979e+06 ; 1.805384e+06 + i -9.161231e+05 ; 1.376195e+07 + i -3.670385e+06 ; -3.363423e+06 + i 1.533005e+06 ; 4.239998e+04 + i -1.093677e+05 ; 
-1.754054e+07 + i 5.688410e+05 ; -1.815026e+07 + i 7.252890e+05 ; -4.631347e+09 + i 7.751046e+08 ; -4.326016e+07 + i 7.972822e+06 ; -9.378601e+06 + i 1.570295e+06 ; -5.355832e+08 + i 1.537996e+08 ; -8.993937e+06 + i 1.425919e+06 ; -4.412396e+07 + i 8.218754e+06 ; -5.362336e+08 + i 1.539975e+08 ; -1.925425e+07 + i 4.874472e+06 ; -1.975763e+07 + i 5.090869e+06 ; -5.272532e+07 + i 3.717999e+07 ; 8.396074e+07 + i -1.630749e+07 ; 8.229101e+07 + i -1.614080e+07 ; 1.113888e+09 + i -3.324838e+08 ; 2.732080e+08 + i -8.673838e+07 ; 1.529747e+07 + i -5.684216e+06 ; -2.151256e+08 + i 2.608187e+07 ; 1.657963e+07 + i -5.861900e+06 ; 2.700186e+08 + i -8.629211e+07 ; -2.157739e+08 + i 2.627147e+07 ; 6.348039e+07 + i -2.536858e+07 ; 6.109190e+07 + i -2.493240e+07 ; -3.973798e+07 + i 2.377975e+07 ; -1.441302e+06 + i -4.689604e+05 ; -1.995379e+06 + i 4.478800e+05 ; -1.059646e+07 + i 5.632895e+06 ; -4.049551e+05 + i -5.074434e+05 ; -6.688228e+05 + i 2.043587e+05 ; -4.610013e+06 + i 1.979830e+06 ; -2.483535e+06 + i -1.896073e+04 ; -2.953838e+06 + i 7.617129e+05 ; -8.471274e+06 + i 4.206990e+06 ; -1.096332e+06 + i -2.503406e+05 ; -8.745012e+05 + i 2.812710e+05 ; -3.678069e+06 + i 1.683451e+06 ; 3.915255e+07 + i -1.002849e+07 ; -9.688493e+05 + i 1.792343e+05 ; -1.101953e+07 + i 5.269660e+06 ; 2.096537e+07 + i -4.506393e+06 ; -5.051972e+05 + i 1.294434e+05 ; -4.133546e+06 + i 1.786708e+06 ; 2.325752e+07 + i -6.996591e+06 ; 1.805577e+06 + i -9.160557e+05 ; -8.016867e+06 + i 3.834785e+06 ; 1.376212e+07 + i -3.670673e+06 ; 4.252229e+04 + i -1.093100e+05 ; -3.364020e+06 + i 1.533051e+06 ; 
1.122862e+09 + i -3.334724e+08 ; -8.460639e+07 + i 1.622331e+07 ; -8.459600e+07 + i 1.622719e+07 ; -4.614945e+09 + i 7.721704e+08 ; 1.619100e+07 + i -3.594753e+05 ; 1.619542e+07 + i -3.601900e+05 ; -2.113275e+08 + i 2.521816e+07 ; -2.765805e+08 + i 8.700022e+07 ; -1.601254e+07 + i 5.868480e+06 ; -5.291424e+08 + i 1.519618e+08 ; 4.165968e+07 + i -7.509431e+06 ; 7.709742e+06 + i -1.247894e+06 ; -2.113331e+08 + i 2.521940e+07 ; -1.604843e+07 + i 5.858119e+06 ; -2.765822e+08 + i 8.699965e+07 ; -5.291193e+08 + i 1.519689e+08 ; 7.709059e+06 + i -1.245774e+06 ; 4.165972e+07 + i -7.508756e+06 ; -3.817386e+07 + i 2.310719e+07 ; -6.289121e+07 + i 2.534026e+07 ; -6.289398e+07 + i 2.533937e+07 ; -5.065947e+07 + i 3.606188e+07 ; 1.745756e+07 + i -4.497764e+06 ; 1.745189e+07 + i -4.499434e+06 ; 2.196031e+08 + i -6.324881e+07 ; 2.461368e+07 + i -5.241766e+06 ; 2.461055e+07 + i -5.243054e+06 ; 1.062883e+08 + i -2.477970e+07 ; 3.436720e+05 + i -1.028720e+06 ; 3.417291e+05 + i -1.028786e+06 ; 3.005451e+07 + i -1.748967e+07 ; 7.995304e+07 + i -2.600023e+07 ; 1.053878e+07 + i -3.025543e+06 ; 2.457507e+07 + i -1.205873e+07 ; 5.638953e+06 + i -3.732122e+06 ; 1.688735e+05 + i -5.412349e+05 ; 3.006417e+07 + i -1.748861e+07 ; 1.054756e+07 + i -3.022976e+06 ; 7.995432e+07 + i -2.599988e+07 ; 2.457965e+07 + i -1.205807e+07 ; 1.718051e+05 + i -5.410473e+05 ; 5.639495e+06 + i -3.732147e+06 ; -4.266269e+06 + i -2.754029e+06 ; 3.638552e+07 + i -1.329167e+07 ; 3.638814e+07 + i -1.329088e+07 ; 3.629784e+06 + i -4.579564e+06 ; 4.628165e+06 + i -2.602899e+06 ; 4.629852e+06 + i -2.602399e+06 ; 
4.894620e+07 + i -8.291141e+06 ; -5.359790e+08 + i 1.536857e+08 ; -9.708883e+06 + i 1.577058e+06 ; 2.020899e+07 + i -8.256446e+05 ; -4.626462e+09 + i 7.742479e+08 ; -1.852019e+07 + i 7.008404e+05 ; -2.930528e+08 + i 8.771744e+07 ; -2.150515e+08 + i 2.610269e+07 ; 1.545958e+07 + i -5.727177e+06 ; -8.384262e+07 + i 1.459969e+07 ; 1.118208e+09 + i -3.329726e+08 ; 8.393509e+07 + i -1.603798e+07 ; 2.218370e+07 + i -5.358749e+06 ; -5.274925e+07 + i 3.718262e+07 ; -2.030632e+07 + i 5.122932e+06 ; 1.051216e+07 + i -1.797955e+06 ; -5.318608e+08 + i 1.532872e+08 ; -4.514079e+07 + i 8.258965e+06 ; -6.480037e+07 + i 2.543968e+07 ; -3.975915e+07 + i 2.376650e+07 ; 6.245019e+07 + i -2.515356e+07 ; -1.255950e+07 + i 4.929896e+06 ; -2.120915e+08 + i 2.571240e+07 ; 2.757047e+08 + i -8.669107e+07 ; -1.880955e+07 + i 3.506904e+06 ; -1.036665e+08 + i 3.046077e+07 ; -4.804198e+06 + i 6.982205e+05 ; -1.166546e+07 + i 1.423307e+06 ; -1.054438e+07 + i 5.649278e+06 ; -1.458528e+06 + i 4.186063e+05 ; 8.491878e+07 + i -2.669270e+07 ; -6.356260e+07 + i 1.410962e+07 ; 3.454213e+06 + i -9.789333e+05 ; 4.226084e+07 + i -1.075574e+07 ; -1.101027e+07 + i 5.273491e+06 ; -9.097251e+05 + i 3.252778e+04 ; -1.193299e+07 + i 2.695410e+06 ; -4.723213e+07 + i 1.752644e+07 ; -8.598087e+06 + i 1.833444e+06 ; -8.306784e+06 + i 1.465802e+06 ; -8.441631e+06 + i 4.212663e+06 ; -2.162153e+06 + i 6.896295e+05 ; 3.982431e+07 + i -1.364878e+07 ; -3.399266e+07 + i 1.119546e+07 ; 2.009053e+07 + i -7.361071e+06 ; 2.249746e+07 + i -6.846096e+06 ; -8.013621e+06 + i 3.835159e+06 ; 5.884696e+05 + i -7.153658e+05 ; 
4.894892e+07 + i -8.290422e+06 ; -9.709191e+06 + i 1.577259e+06 ; -5.359855e+08 + i 1.536930e+08 ; 2.021385e+07 + i -8.258818e+05 ; -1.852011e+07 + i 7.012109e+05 ; -4.626481e+09 + i 7.742427e+08 ; 2.218000e+07 + i -5.360823e+06 ; -2.031110e+07 + i 5.121521e+06 ; -5.274630e+07 + i 3.719775e+07 ; 1.051075e+07 + i -1.800321e+06 ; -4.515040e+07 + i 8.255031e+06 ; -5.320285e+08 + i 1.532350e+08 ; -2.930535e+08 + i 8.771663e+07 ; 1.545547e+07 + i -5.728223e+06 ; -2.150800e+08 + i 2.609557e+07 ; -8.384344e+07 + i 1.459868e+07 ; 8.392741e+07 + i -1.604126e+07 ; 1.118145e+09 + i -3.329911e+08 ; -6.478836e+07 + i 2.544324e+07 ; 6.244960e+07 + i -2.515301e+07 ; -3.972039e+07 + i 2.378368e+07 ; -1.254414e+07 + i 4.932914e+06 ; 2.757024e+08 + i -8.669243e+07 ; -2.121058e+08 + i 2.570306e+07 ; -1.881214e+07 + i 3.506492e+06 ; -4.804327e+06 + i 6.981078e+05 ; -1.036571e+08 + i 3.046244e+07 ; -1.166747e+07 + i 1.423154e+06 ; -1.458705e+06 + i 4.185970e+05 ; -1.054129e+07 + i 5.649835e+06 ; -1.193268e+07 + i 2.695578e+06 ; -8.598945e+06 + i 1.833049e+06 ; -4.723344e+07 + i 1.752628e+07 ; -8.305628e+06 + i 1.466477e+06 ; -2.162170e+06 + i 6.896652e+05 ; -8.439125e+06 + i 4.213196e+06 ; 8.491928e+07 + i -2.669231e+07 ; 3.453002e+06 + i -9.794184e+05 ; -6.357023e+07 + i 1.410733e+07 ; 4.226156e+07 + i -1.075525e+07 ; -9.102972e+05 + i 3.240379e+04 ; -1.101304e+07 + i 5.273275e+06 ; 3.981850e+07 + i -1.365022e+07 ; 2.009142e+07 + i -7.360879e+06 ; -3.399408e+07 + i 1.119389e+07 ; 2.249283e+07 + i -6.847047e+06 ; 5.886076e+05 + i -7.152631e+05 ; -8.016253e+06 + i 3.834724e+06 ; 
-5.340075e+08 + i 1.533748e+08 ; 4.595942e+07 + i -8.556425e+06 ; -9.739320e+06 + i 1.588396e+06 ; -2.118055e+08 + i 2.512278e+07 ; -2.952644e+08 + i 8.822426e+07 ; 1.540766e+07 + i -5.684123e+06 ; -4.627205e+09 + i 7.745944e+08 ; 1.901308e+07 + i -6.989831e+05 ; -1.859965e+07 + i 6.809693e+05 ; 1.122296e+09 + i -3.336284e+08 ; -8.759159e+07 + i 1.623581e+07 ; 8.407215e+07 + i -1.602482e+07 ; -5.189531e+07 + i 3.686448e+07 ; 2.169667e+07 + i -5.120736e+06 ; -2.034786e+07 + i 5.137879e+06 ; -3.829193e+07 + i 2.309494e+07 ; -6.671975e+07 + i 2.571310e+07 ; 6.224386e+07 + i -2.506311e+07 ; -5.335334e+08 + i 1.535212e+08 ; 1.026005e+07 + i -1.538870e+06 ; -4.518428e+07 + i 8.219117e+06 ; -2.114133e+08 + i 2.521268e+07 ; -1.654562e+07 + i 5.759155e+06 ; 2.760730e+08 + i -8.673944e+07 ; 2.468971e+07 + i -1.203289e+07 ; -8.949374e+06 + i 4.359194e+06 ; -1.208649e+06 + i -8.838944e+04 ; 1.834037e+07 + i -7.698684e+06 ; -1.770853e+06 + i 9.656299e+05 ; -7.375466e+05 + i 1.288269e+05 ; 1.063052e+08 + i -2.478102e+07 ; 8.998830e+05 + i 4.506315e+05 ; -7.752350e+05 + i -4.064555e+05 ; 5.482885e+07 + i -1.081188e+07 ; 8.193426e+05 + i -9.129704e+04 ; -7.467849e+05 + i 9.847612e+04 ; 3.647637e+06 + i -4.584191e+06 ; -5.683572e+06 + i 2.902835e+06 ; 5.308607e+06 + i -2.804261e+06 ; 5.830207e+06 + i -4.190728e+06 ; -1.326514e+06 + i 7.490818e+05 ; 1.243728e+06 + i -7.211676e+05 ; 2.459766e+07 + i -1.205562e+07 ; 1.327634e+06 + i 1.159003e+05 ; 8.360776e+06 + i -4.219026e+06 ; 1.829203e+07 + i -7.712799e+06 ; 8.031229e+05 + i -1.243243e+05 ; 1.659631e+06 + i -9.305891e+05 ; 
-8.345669e+07 + i 1.677026e+07 ; 1.114310e+09 + i -3.323799e+08 ; -8.424371e+07 + i 1.608166e+07 ; -2.791341e+08 + i 8.735831e+07 ; -2.153624e+08 + i 2.603371e+07 ; -1.569215e+07 + i 5.730437e+06 ; 1.739865e+07 + i -6.693161e+05 ; -4.631517e+09 + i 7.750402e+08 ; 1.844348e+07 + i -6.778431e+05 ; 4.177695e+07 + i -8.487167e+06 ; -5.354813e+08 + i 1.538261e+08 ; 9.541829e+06 + i -1.567265e+06 ; -1.688658e+07 + i 5.879956e+06 ; -2.155817e+08 + i 2.632266e+07 ; -2.764137e+08 + i 8.689383e+07 ; -6.491157e+07 + i 2.558875e+07 ; -3.975279e+07 + i 2.378079e+07 ; -6.256146e+07 + i 2.519002e+07 ; 9.057440e+06 + i -1.422062e+06 ; -5.361644e+08 + i 1.540163e+08 ; 4.514807e+07 + i -8.184924e+06 ; 1.956516e+07 + i -4.868528e+06 ; -5.276596e+07 + i 3.715240e+07 ; 2.022624e+07 + i -5.106167e+06 ; -4.012040e+07 + i 1.003655e+07 ; -1.111144e+07 + i 5.246273e+06 ; 9.894134e+05 + i -1.787275e+05 ; -2.149379e+07 + i 4.488092e+06 ; -4.138782e+06 + i 1.786942e+06 ; 5.165810e+05 + i -1.298524e+05 ; 1.251203e+06 + i 4.175259e+05 ; -1.060394e+07 + i 5.632400e+06 ; 2.038341e+06 + i -4.482066e+05 ; 2.981473e+05 + i 4.813664e+05 ; -4.614120e+06 + i 1.979907e+06 ; 6.841702e+05 + i -2.055053e+05 ; -2.383366e+07 + i 7.023255e+06 ; -8.061213e+06 + i 3.828541e+06 ; -1.848686e+06 + i 9.281367e+05 ; -1.411128e+07 + i 3.674570e+06 ; -3.370164e+06 + i 1.532702e+06 ; -4.328715e+04 + i 1.117604e+05 ; 2.439110e+06 + i 8.259225e+03 ; -8.468220e+06 + i 4.208096e+06 ; 3.023779e+06 + i -7.637703e+05 ; 1.058745e+06 + i 2.457855e+05 ; -3.679247e+06 + i 1.683556e+06 ; 8.958076e+05 + i -2.830460e+05 ; 
-9.131582e+06 + i 1.442229e+06 ; 4.833570e+07 + i -7.972060e+06 ; -5.366437e+08 + i 1.538973e+08 ; -1.963834e+07 + i 4.906755e+06 ; 2.163634e+07 + i -5.130526e+06 ; -5.277225e+07 + i 3.718981e+07 ; -1.790027e+07 + i 4.962864e+05 ; 1.968486e+07 + i -4.131239e+05 ; -4.631529e+09 + i 7.750402e+08 ; -4.421712e+07 + i 7.927022e+06 ; 1.013920e+07 + i -1.538017e+06 ; -5.356286e+08 + i 1.538027e+08 ; 1.635033e+07 + i -6.059160e+06 ; -2.963740e+08 + i 8.811215e+07 ; -2.157189e+08 + i 2.628958e+07 ; 6.468039e+07 + i -2.567939e+07 ; -6.685594e+07 + i 2.592693e+07 ; -3.972138e+07 + i 2.378133e+07 ; 8.590398e+07 + i -1.621147e+07 ; -9.023591e+07 + i 1.573146e+07 ; 1.113928e+09 + i -3.324626e+08 ; 2.795375e+08 + i -8.719814e+07 ; -1.637458e+07 + i 5.959422e+06 ; -2.151044e+08 + i 2.608728e+07 ; -2.531270e+06 + i -3.135830e+04 ; 3.226923e+06 + i -7.691568e+05 ; -8.464574e+06 + i 4.209926e+06 ; -1.115191e+06 + i -2.607803e+05 ; 9.553321e+05 + i -2.886325e+05 ; -3.675586e+06 + i 1.683908e+06 ; -1.476057e+06 + i -4.870929e+05 ; 2.169241e+06 + i -4.492971e+05 ; -1.059867e+07 + i 5.634154e+06 ; -4.154885e+05 + i -5.210949e+05 ; 7.294126e+05 + i -2.089790e+05 ; -4.610731e+06 + i 1.979965e+06 ; 2.378810e+07 + i -7.034193e+06 ; -1.968645e+06 + i 9.623844e+05 ; -8.013747e+06 + i 3.836386e+06 ; 1.407633e+07 + i -3.681733e+06 ; -4.373009e+04 + i 1.187959e+05 ; -3.363473e+06 + i 1.533237e+06 ; 4.002836e+07 + i -1.004891e+07 ; 1.087040e+06 + i -1.705526e+05 ; -1.101749e+07 + i 5.270597e+06 ; 2.142735e+07 + i -4.499730e+06 ; 5.596762e+05 + i -1.293132e+05 ; -4.132675e+06 + i 1.786872e+06 ; 
-2.130597e+08 + i 2.495724e+07 ; 3.045661e+08 + i -8.836010e+07 ; -1.625768e+07 + i 5.937828e+06 ; -5.289877e+08 + i 1.519868e+08 ; -3.646726e+07 + i 8.415515e+06 ; 7.877735e+06 + i -1.240220e+06 ; 1.122128e+09 + i -3.336662e+08 ; 8.372201e+07 + i -1.687701e+07 ; -8.632327e+07 + i 1.619580e+07 ; -4.614861e+09 + i 7.721957e+08 ; -1.761327e+07 + i 2.446021e+04 ; 1.651935e+07 + i -2.999759e+05 ; -3.835242e+07 + i 2.314333e+07 ; 6.921005e+07 + i -2.614780e+07 ; -6.424771e+07 + i 2.557061e+07 ; -5.075455e+07 + i 3.604273e+07 ; -1.871107e+07 + i 4.407973e+06 ; 1.781168e+07 + i -4.514498e+06 ; -2.112533e+08 + i 2.526393e+07 ; 1.726650e+07 + i -5.916021e+06 ; -2.823900e+08 + i 8.754466e+07 ; -5.290799e+08 + i 1.519828e+08 ; -8.189561e+06 + i 1.172655e+06 ; 4.250677e+07 + i -7.482623e+06 ; 3.053462e+07 + i -1.742947e+07 ; -8.909770e+07 + i 2.629451e+07 ; 1.073146e+07 + i -3.046722e+06 ; 2.481643e+07 + i -1.201429e+07 ; -6.462528e+06 + i 3.948715e+06 ; 1.659495e+05 + i -5.522603e+05 ; 2.196154e+08 + i -6.324841e+07 ; -2.896822e+07 + i 4.866371e+06 ; 2.512278e+07 + i -5.242657e+06 ; 1.062832e+08 + i -2.478170e+07 ; -6.251674e+05 + i 1.126550e+06 ; 3.549361e+05 + i -1.047159e+06 ; -4.098765e+06 + i -2.749771e+06 ; -4.056992e+07 + i 1.359246e+07 ; 3.716154e+07 + i -1.339907e+07 ; 3.734270e+06 + i -4.573093e+06 ; -5.270832e+06 + i 2.732250e+06 ; 4.732927e+06 + i -2.634056e+06 ; 3.006842e+07 + i -1.748689e+07 ; -1.234023e+07 + i 2.979947e+06 ; 8.163571e+07 + i -2.617453e+07 ; 2.457653e+07 + i -1.205754e+07 ; -3.720250e+05 + i 5.859327e+05 ; 5.766422e+06 + i -3.781497e+06 ; 
3.008393e+08 + i -8.772607e+07 ; -2.167287e+08 + i 2.584478e+07 ; -1.580432e+07 + i 5.772240e+06 ; 7.684756e+07 + i -1.554349e+07 ; 1.117956e+09 + i -3.330403e+08 ; -8.569440e+07 + i 1.598839e+07 ; -4.086744e+07 + i 9.385575e+06 ; -5.353125e+08 + i 1.538598e+08 ; 9.854069e+06 + i -1.575958e+06 ; -2.054069e+07 + i 7.459595e+05 ; -4.626359e+09 + i 7.742934e+08 ; 1.877822e+07 + i -6.613320e+05 ; 6.639907e+07 + i -2.556475e+07 ; -3.988032e+07 + i 2.381560e+07 ; -6.377577e+07 + i 2.538899e+07 ; 1.251653e+07 + i -4.853808e+06 ; -2.118858e+08 + i 2.578052e+07 ; -2.814780e+08 + i 8.724237e+07 ; -2.225697e+07 + i 5.249341e+06 ; -5.283361e+07 + i 3.713846e+07 ; 2.073923e+07 + i -5.134332e+06 ; -1.048337e+07 + i 1.770578e+06 ; -5.319288e+08 + i 1.532523e+08 ; 4.608148e+07 + i -8.225816e+06 ; -8.681371e+07 + i 2.673261e+07 ; -6.312443e+07 + i 1.415301e+07 ; -3.531672e+06 + i 9.820873e+05 ; -4.308907e+07 + i 1.072462e+07 ; -1.096137e+07 + i 5.273013e+06 ; 9.261664e+05 + i -2.944205e+04 ; 2.112523e+07 + i -3.215237e+06 ; -1.037186e+08 + i 3.044657e+07 ; 4.885631e+06 + i -6.945843e+05 ; 1.285591e+07 + i -1.209792e+06 ; -1.057395e+07 + i 5.639900e+06 ; 1.486042e+06 + i -4.207084e+05 ; -4.071585e+07 + i 1.369998e+07 ; -3.383950e+07 + i 1.119934e+07 ; -2.051399e+07 + i 7.422412e+06 ; -2.293478e+07 + i 6.856724e+06 ; -7.983637e+06 + i 3.835294e+06 ; -6.016531e+05 + i 7.274017e+05 ; 1.295102e+07 + i -2.612559e+06 ; -4.725549e+07 + i 1.752042e+07 ; 8.776155e+06 + i -1.832807e+06 ; 8.946816e+06 + i -1.393326e+06 ; -8.460680e+06 + i 4.207498e+06 ; 2.208758e+06 + i -6.937194e+05 ; 
