-5.933399e+09 + i 5.993348e+08 ; -1.927911e+07 + i -5.750600e+05 ; -1.928346e+07 + i -5.749579e+05 ; 1.645769e+09 + i -2.861832e+08 ; 1.059343e+08 + i -1.000782e+07 ; 1.059293e+08 + i -1.000963e+07 ; -7.760450e+08 + i 1.323979e+08 ; -5.648451e+07 + i 5.122394e+06 ; -1.156601e+07 + i 5.940971e+05 ; -2.474199e+08 + i 7.935530e+06 ; 4.049514e+08 + i -7.552480e+07 ; 2.336040e+07 + i -4.388568e+06 ; -7.760422e+08 + i 1.323993e+08 ; -1.156513e+07 + i 5.930765e+05 ; -5.648486e+07 + i 5.121774e+06 ; -2.474193e+08 + i 7.937673e+06 ; 2.338897e+07 + i -4.379525e+06 ; 4.049525e+08 + i -7.552440e+07 ; -1.097399e+08 + i 3.729859e+07 ; -2.733933e+07 + i 3.515762e+06 ; -2.732879e+07 + i 3.518871e+06 ; -7.148518e+07 + i 1.923966e+07 ; 1.001523e+08 + i -2.351841e+07 ; 1.001533e+08 + i -2.351810e+07 ; 1.447832e+08 + i -1.907460e+07 ; -1.611779e+05 + i -4.649236e+05 ; -1.602165e+05 + i -4.648819e+05 ; 7.171373e+07 + i -7.795095e+06 ; -8.399790e+05 + i 5.762328e+03 ; -8.400752e+05 + i 5.774737e+03 ; 4.315737e+07 + i -1.113736e+07 ; 1.488904e+07 + i -4.235334e+06 ; -1.002236e+06 + i -2.152484e+05 ; 2.988965e+07 + i -6.622143e+06 ; 3.179679e+06 + i -1.038664e+06 ; -8.793059e+05 + i 4.212792e+04 ; 4.315951e+07 + i -1.113640e+07 ; -9.996566e+05 + i -2.143817e+05 ; 1.488926e+07 + i -4.235278e+06 ; 2.989024e+07 + i -6.621764e+06 ; -8.786619e+05 + i 4.224557e+04 ; 3.179639e+06 + i -1.038684e+06 ; 1.146362e+07 + i -5.450263e+06 ; 9.729094e+06 + i -2.918378e+06 ; 9.728684e+06 + i -2.918538e+06 ; 1.262557e+07 + i -4.383130e+06 ; 2.432899e+06 + i -8.226520e+05 ; 2.432869e+06 + i -8.226415e+05 ; 
-1.836793e+07 + i -6.873758e+05 ; -5.938426e+09 + i 5.994747e+08 ; -1.919819e+07 + i -5.976937e+05 ; -5.519060e+07 + i 4.935986e+06 ; -7.784768e+08 + i 1.325256e+08 ; -1.139358e+07 + i 5.756471e+05 ; 1.080735e+08 + i -1.012045e+07 ; 1.635558e+09 + i -2.856304e+08 ; 1.061538e+08 + i -1.006478e+07 ; 4.093604e+08 + i -7.585718e+07 ; -2.523440e+08 + i 8.508728e+06 ; 2.362645e+07 + i -4.438220e+06 ; -1.080973e+07 + i 4.782940e+05 ; -7.793171e+08 + i 1.326971e+08 ; -5.638789e+07 + i 5.095936e+06 ; -2.636159e+07 + i 3.338707e+06 ; -1.110517e+08 + i 3.749372e+07 ; -2.715398e+07 + i 3.501295e+06 ; 2.518621e+07 + i -4.512767e+06 ; -2.532661e+08 + i 8.629652e+06 ; 4.055106e+08 + i -7.563949e+07 ; 1.036814e+08 + i -2.385337e+07 ; -7.398880e+07 + i 1.975847e+07 ; 1.006591e+08 + i -2.361019e+07 ; -7.885066e+05 + i -5.249072e+05 ; -1.952878e+07 + i 5.576662e+06 ; -2.635984e+06 + i 2.758890e+05 ; 2.949992e+05 + i -4.765859e+05 ; -7.850300e+06 + i 2.005468e+06 ; -9.658647e+05 + i 1.478997e+05 ; 5.458984e+07 + i -7.854699e+06 ; -1.918001e+07 + i 4.886438e+06 ; -1.208441e+06 + i 8.188249e+04 ; 2.783214e+07 + i -3.203667e+06 ; -7.048783e+06 + i 1.797492e+06 ; -6.918390e+05 + i 8.626828e+04 ; -2.428655e+06 + i -2.196509e+05 ; -1.532113e+07 + i 4.306995e+06 ; -4.075113e+06 + i 5.357255e+05 ; -7.172032e+05 + i -3.285826e+05 ; -6.439562e+06 + i 1.736328e+06 ; -1.292032e+06 + i 2.166186e+05 ; 3.399113e+07 + i -5.744138e+06 ; -1.417169e+07 + i 3.779133e+06 ; 3.330814e+06 + i -9.836636e+05 ; 1.929013e+07 + i -2.782733e+06 ; -5.870033e+06 + i 1.567767e+06 ; 2.461033e+05 + i -1.574255e+05 ; 
-1.837806e+07 + i -6.882767e+05 ; -1.919843e+07 + i -5.976429e+05 ; -5.938444e+09 + i 5.994680e+08 ; -5.519049e+07 + i 4.935756e+06 ; -1.139391e+07 + i 5.757180e+05 ; -7.784891e+08 + i 1.325272e+08 ; -1.081310e+07 + i 4.788971e+05 ; -5.639449e+07 + i 5.093196e+06 ; -7.794182e+08 + i 1.326626e+08 ; -2.635125e+07 + i 3.341825e+06 ; -2.715716e+07 + i 3.500239e+06 ; -1.110631e+08 + i 3.749630e+07 ; 1.080735e+08 + i -1.011990e+07 ; 1.061498e+08 + i -1.006647e+07 ; 1.635508e+09 + i -2.856465e+08 ; 4.093622e+08 + i -7.585652e+07 ; 2.362314e+07 + i -4.439371e+06 ; -2.523636e+08 + i 8.503703e+06 ; 2.516162e+07 + i -4.517711e+06 ; 4.055098e+08 + i -7.563991e+07 ; -2.532738e+08 + i 8.626068e+06 ; 1.036745e+08 + i -2.385536e+07 ; 1.006572e+08 + i -2.361059e+07 ; -7.399316e+07 + i 1.976063e+07 ; -7.864269e+05 + i -5.248747e+05 ; -2.636064e+06 + i 2.758596e+05 ; -1.953066e+07 + i 5.576698e+06 ; 2.955751e+05 + i -4.765478e+05 ; -9.659321e+05 + i 1.478906e+05 ; -7.850046e+06 + i 2.005623e+06 ; -2.424592e+06 + i -2.190482e+05 ; -4.075260e+06 + i 5.356875e+05 ; -1.532229e+07 + i 4.307053e+06 ; -7.148189e+05 + i -3.280573e+05 ; -1.291996e+06 + i 2.166396e+05 ; -6.439161e+06 + i 1.736521e+06 ; 5.458912e+07 + i -7.854803e+06 ; -1.208841e+06 + i 8.172966e+04 ; -1.918330e+07 + i 4.885802e+06 ; 2.783180e+07 + i -3.203712e+06 ; -6.919947e+05 + i 8.622669e+04 ; -7.049726e+06 + i 1.797377e+06 ; 3.399335e+07 + i -5.744179e+06 ; 3.330948e+06 + i -9.836202e+05 ; -1.417277e+07 + i 3.778886e+06 ; 1.929050e+07 + i -2.782817e+06 ; 2.461727e+05 + i -1.573907e+05 ; -5.870625e+06 + i 1.567714e+06 ; 
1.646081e+09 + i -2.861105e+08 ; -1.086210e+08 + i 1.002044e+07 ; -1.086143e+08 + i 1.002303e+07 ; -5.917639e+09 + i 5.976711e+08 ; 1.672856e+07 + i 7.876328e+05 ; 1.673342e+07 + i 7.877326e+05 ; -2.473236e+08 + i 7.955864e+06 ; -4.130753e+08 + i 7.583220e+07 ; -2.458780e+07 + i 4.548452e+06 ; -7.693732e+08 + i 1.312091e+08 ; 5.290515e+07 + i -4.593668e+06 ; 9.262855e+06 + i -3.933321e+05 ; -2.473303e+08 + i 7.956030e+06 ; -2.461293e+07 + i 4.540230e+06 ; -4.130765e+08 + i 7.583178e+07 ; -7.693569e+08 + i 1.312141e+08 ; 9.260796e+06 + i -3.927697e+05 ; 5.290473e+07 + i -4.593449e+06 ; -7.146340e+07 + i 1.924243e+07 ; -1.030194e+08 + i 2.384454e+07 ; -1.030212e+08 + i 2.384383e+07 ; -1.073456e+08 + i 3.654707e+07 ; 2.398174e+07 + i -3.082166e+06 ; 2.397784e+07 + i -3.083484e+06 ; 3.191168e+08 + i -5.409687e+07 ; 3.234966e+07 + i -3.406882e+06 ; 3.234773e+07 + i -3.407710e+06 ; 1.447727e+08 + i -1.907466e+07 ; 1.890584e+06 + i -1.015259e+06 ; 1.888786e+06 + i -1.015476e+06 ; 5.777999e+07 + i -1.752688e+07 ; 1.207784e+08 + i -2.290461e+07 ; 1.499388e+07 + i -2.214974e+06 ; 4.314635e+07 + i -1.113710e+07 ; 1.170989e+07 + i -3.966411e+06 ; 1.054245e+06 + i -6.062041e+05 ; 5.778858e+07 + i -1.752566e+07 ; 1.499992e+07 + i -2.212888e+06 ; 1.207793e+08 + i -2.290432e+07 ; 4.315034e+07 + i -1.113648e+07 ; 1.056742e+06 + i -6.057323e+05 ; 1.171039e+07 + i -3.966343e+06 ; 1.125000e+06 + i -4.540217e+06 ; 5.736595e+07 + i -1.217021e+07 ; 5.736779e+07 + i -1.216962e+07 ; 1.145834e+07 + i -5.448751e+06 ; 8.937820e+06 + i -2.798337e+06 ; 8.938947e+06 + i -2.797926e+06 ; 
6.144032e+07 + i -4.941936e+06 ; -7.787860e+08 + i 1.324496e+08 ; -1.173284e+07 + i 5.603233e+05 ; 2.153635e+07 + i 5.152411e+05 ; -5.932318e+09 + i 5.989901e+08 ; -1.955867e+07 + i -6.217484e+05 ; -4.306100e+08 + i 7.538623e+07 ; -2.523096e+08 + i 8.519234e+06 ; 2.381903e+07 + i -4.443578e+06 ; -1.056184e+08 + i 8.647299e+06 ; 1.640573e+09 + i -2.858412e+08 ; 1.076758e+08 + i -9.887837e+06 ; 2.995979e+07 + i -3.580617e+06 ; -1.110879e+08 + i 3.749545e+07 ; -2.774563e+07 + i 3.487907e+06 ; 1.287683e+07 + i -7.395417e+05 ; -7.739795e+08 + i 1.322571e+08 ; -5.749000e+07 + i 5.081324e+06 ; -1.049776e+08 + i 2.371373e+07 ; -7.400322e+07 + i 1.975349e+07 ; 1.023062e+08 + i -2.369609e+07 ; -1.970067e+07 + i 3.829856e+06 ; -2.487892e+08 + i 8.360099e+06 ; 4.117528e+08 + i -7.559946e+07 ; -2.398430e+07 + i 2.116597e+06 ; -1.516261e+08 + i 2.625186e+07 ; -5.790120e+06 + i 3.003894e+05 ; -1.372796e+07 + i 5.364046e+05 ; -1.949432e+07 + i 5.588464e+06 ; -2.041002e+06 + i 2.703698e+05 ; 1.267304e+08 + i -2.320458e+07 ; -8.510486e+07 + i 1.018844e+07 ; 4.911009e+06 + i -7.308511e+05 ; 5.872872e+07 + i -8.314625e+06 ; -1.917776e+07 + i 4.888395e+06 ; -9.423585e+05 + i -4.892215e+04 ; -1.586935e+07 + i 1.762258e+06 ; -7.474502e+07 + i 1.595875e+07 ; -1.129769e+07 + i 1.187983e+06 ; -1.036810e+07 + i 7.485195e+05 ; -1.529944e+07 + i 4.312756e+06 ; -3.168179e+06 + i 5.127599e+05 ; 6.134803e+07 + i -1.229699e+07 ; -5.099267e+07 + i 9.207457e+06 ; 3.175719e+07 + i -6.800600e+06 ; 3.305126e+07 + i -5.690469e+06 ; -1.417043e+07 + i 3.779617e+06 ; 1.803245e+06 + i -8.581547e+05 ; 
6.144238e+07 + i -4.941416e+06 ; -1.173328e+07 + i 5.603569e+05 ; -7.787982e+08 + i 1.324520e+08 ; 2.154146e+07 + i 5.154601e+05 ; -1.955882e+07 + i -6.216359e+05 ; -5.932331e+09 + i 5.989860e+08 ; 2.995790e+07 + i -3.581786e+06 ; -2.774890e+07 + i 3.486792e+06 ; -1.110946e+08 + i 3.750008e+07 ; 1.287738e+07 + i -7.406137e+05 ; -5.749597e+07 + i 5.078797e+06 ; -7.740959e+08 + i 1.322185e+08 ; -4.306102e+08 + i 7.538591e+07 ; 2.381619e+07 + i -4.444517e+06 ; -2.523305e+08 + i 8.513174e+06 ; -1.056184e+08 + i 8.646878e+06 ; 1.076711e+08 + i -9.889848e+06 ; 1.640529e+09 + i -2.858557e+08 ; -1.049690e+08 + i 2.371626e+07 ; 1.023054e+08 + i -2.369602e+07 ; -7.397952e+07 + i 1.976386e+07 ; -1.968833e+07 + i 3.832476e+06 ; 4.117515e+08 + i -7.560010e+07 ; -2.487972e+08 + i 8.355944e+06 ; -2.398641e+07 + i 2.116169e+06 ; -5.790156e+06 + i 3.003351e+05 ; -1.516181e+08 + i 2.625325e+07 ; -1.372982e+07 + i 5.361880e+05 ; -2.041155e+06 + i 2.703442e+05 ; -1.949181e+07 + i 5.588985e+06 ; -1.586916e+07 + i 1.762334e+06 ; -1.129818e+07 + i 1.187732e+06 ; -7.474569e+07 + i 1.595827e+07 ; -1.036754e+07 + i 7.488994e+05 ; -3.168210e+06 + i 5.127630e+05 ; -1.529754e+07 + i 4.313249e+06 ; 1.267306e+08 + i -2.320440e+07 ; 4.910277e+06 + i -7.311802e+05 ; -8.510988e+07 + i 1.018649e+07 ; 5.872904e+07 + i -8.314383e+06 ; -9.427692e+05 + i -4.904722e+04 ; -1.918006e+07 + i 4.887918e+06 ; 6.134368e+07 + i -1.229814e+07 ; 3.175788e+07 + i -6.800435e+06 ; -5.099254e+07 + i 9.206586e+06 ; 3.304760e+07 + i -5.691289e+06 ; 1.803301e+06 + i -8.581049e+05 ; -1.417249e+07 + i 3.779131e+06 ; 
-7.763836e+08 + i 1.323112e+08 ; 5.870008e+07 + i -5.262252e+06 ; -1.177930e+07 + i 5.685670e+05 ; -2.476888e+08 + i 7.858473e+06 ; -4.334913e+08 + i 7.565189e+07 ; 2.370759e+07 + i -4.409468e+06 ; -5.933563e+09 + i 5.992708e+08 ; 2.004586e+07 + i 6.588267e+05 ; -1.961372e+07 + i -6.415542e+05 ; 1.645661e+09 + i -2.862257e+08 ; -1.116416e+08 + i 9.841866e+06 ; 1.077949e+08 + i -9.866852e+06 ; -1.098078e+08 + i 3.729131e+07 ; 2.915996e+07 + i -3.416821e+06 ; -2.780855e+07 + i 3.498957e+06 ; -7.156224e+07 + i 1.922272e+07 ; -1.073136e+08 + i 2.385527e+07 ; 1.019669e+08 + i -2.362224e+07 ; -7.760350e+08 + i 1.324082e+08 ; 1.225172e+07 + i -5.084045e+05 ; -5.747690e+07 + i 5.041482e+06 ; -2.474021e+08 + i 7.945857e+06 ; -2.494472e+07 + i 4.393212e+06 ; 4.121893e+08 + i -7.561674e+07 ; 4.323778e+07 + i -1.111750e+07 ; -1.593729e+07 + i 4.339437e+06 ; -1.027787e+06 + i -2.234193e+05 ; 2.992835e+07 + i -6.611573e+06 ; -3.399753e+06 + i 1.071294e+06 ; -8.962981e+05 + i 4.010774e+04 ; 1.447896e+08 + i -1.907321e+07 ; 2.310255e+05 + i 5.109452e+05 ; -1.580055e+05 + i -4.730301e+05 ; 7.171374e+07 + i -7.794844e+06 ; 9.154356e+05 + i 7.900059e+03 ; -8.534664e+05 + i 3.516794e+03 ; 1.148035e+07 + i -5.449855e+06 ; -1.041485e+07 + i 2.997541e+06 ; 9.905573e+06 + i -2.939986e+06 ; 1.263897e+07 + i -4.381986e+06 ; -2.601066e+06 + i 8.496452e+05 ; 2.477715e+06 + i -8.295117e+05 ; 4.316662e+07 + i -1.113432e+07 ; 1.113016e+06 + i 2.509988e+05 ; 1.516047e+07 + i -4.263666e+06 ; 2.989176e+07 + i -6.620702e+06 ; 9.547460e+05 + i -3.115928e+04 ; 3.238098e+06 + i -1.047017e+06 ; 
-1.081310e+08 + i 1.048423e+07 ; 1.635839e+09 + i -2.855709e+08 ; -1.080533e+08 + i 9.911825e+06 ; -4.161241e+08 + i 7.597331e+07 ; -2.525345e+08 + i 8.447258e+06 ; -2.406769e+07 + i 4.440589e+06 ; 1.832917e+07 + i 6.297843e+05 ; -5.938561e+09 + i 5.994290e+08 ; 1.943911e+07 + i 6.460957e+05 ; 5.431645e+07 + i -5.389968e+06 ; -7.784197e+08 + i 1.325524e+08 ; 1.154860e+07 + i -5.592802e+05 ; -2.550696e+07 + i 4.523418e+06 ; -2.531302e+08 + i 8.664471e+06 ; -4.127493e+08 + i 7.573627e+07 ; -1.054107e+08 + i 2.394722e+07 ; -7.400710e+07 + i 1.975744e+07 ; -1.024666e+08 + i 2.371912e+07 ; 1.088064e+07 + i -4.779090e+05 ; -7.793700e+08 + i 1.326791e+08 ; 5.739123e+07 + i -5.011515e+06 ; 2.667618e+07 + i -3.334100e+06 ; -1.110811e+08 + i 3.748273e+07 ; 2.764251e+07 + i -3.478470e+06 ; -5.557723e+07 + i 7.805030e+06 ; -1.925091e+07 + i 4.866340e+06 ; 1.228563e+06 + i -7.982428e+04 ; -2.834426e+07 + i 3.161055e+06 ; -7.054638e+06 + i 1.796706e+06 ; 7.038163e+05 + i -8.569492e+04 ; 6.518424e+05 + i 4.811046e+05 ; -1.953688e+07 + i 5.575438e+06 ; 2.679296e+06 + i -2.730938e+05 ; -3.750549e+05 + i 4.543015e+05 ; -7.853691e+06 + i 2.005026e+06 ; 9.825283e+05 + i -1.475425e+05 ; -3.460617e+07 + i 5.728315e+06 ; -1.420926e+07 + i 3.771334e+06 ; -3.390661e+06 + i 9.909993e+05 ; -1.964561e+07 + i 2.763485e+06 ; -5.876227e+06 + i 1.566909e+06 ; -2.504208e+05 + i 1.595398e+05 ; 2.395348e+06 + i 2.067447e+05 ; -1.532015e+07 + i 4.307704e+06 ; 4.147837e+06 + i -5.325312e+05 ; 6.844666e+05 + i 3.210218e+05 ; -6.440202e+06 + i 1.736313e+06 ; 1.315377e+06 + i -2.163864e+05 ; 
-1.095886e+07 + i 4.730147e+05 ; 6.038964e+07 + i -4.702325e+06 ; -7.797395e+08 + i 1.325888e+08 ; -2.676544e+07 + i 3.332451e+06 ; 2.907367e+07 + i -3.396668e+06 ; -1.111140e+08 + i 3.749501e+07 ; -1.866555e+07 + i -7.510488e+05 ; 2.041918e+07 + i 8.682835e+05 ; -5.938571e+09 + i 5.994273e+08 ; -5.611026e+07 + i 4.853493e+06 ; 1.210032e+07 + i -4.929499e+05 ; -7.785330e+08 + i 1.325232e+08 ; 2.514524e+07 + i -4.652366e+06 ; -4.345565e+08 + i 7.557935e+07 ; -2.532347e+08 + i 8.637991e+06 ; 1.052635e+08 + i -2.400762e+07 ; -1.077105e+08 + i 2.400603e+07 ; -7.397907e+07 + i 1.976310e+07 ; 1.099305e+08 + i -9.946168e+06 ; -1.137219e+08 + i 9.345405e+06 ; 1.635532e+09 + i -2.856354e+08 ; 4.163765e+08 + i -7.586642e+07 ; -2.499860e+07 + i 4.534604e+06 ; -2.523485e+08 + i 8.508205e+06 ; -2.458944e+06 + i -2.294352e+05 ; 4.357201e+06 + i -5.224964e+05 ; -1.531816e+07 + i 4.308810e+06 ; -7.225506e+05 + i -3.352718e+05 ; 1.381157e+06 + i -2.158849e+05 ; -6.437202e+06 + i 1.736961e+06 ; -8.030148e+05 + i -5.369554e+05 ; 2.810763e+06 + i -2.645297e+05 ; -1.953374e+07 + i 5.576949e+06 ; 2.983941e+05 + i -4.843445e+05 ; 1.031441e+06 + i -1.465029e+05 ; -7.850915e+06 + i 2.005648e+06 ; 3.457421e+07 + i -5.739606e+06 ; -3.558280e+06 + i 1.012427e+06 ; -1.417096e+07 + i 3.779753e+06 ; 1.962032e+07 + i -2.771677e+06 ; -2.610743e+05 + i 1.659922e+05 ; -5.870295e+06 + i 1.567859e+06 ; 5.550462e+07 + i -7.823030e+06 ; 1.315146e+06 + i -6.676805e+04 ; -1.918203e+07 + i 4.886329e+06 ; 2.829408e+07 + i -3.174935e+06 ; 7.459169e+05 + i -8.213124e+04 ; -7.049047e+06 + i 1.797535e+06 ; 
-2.488007e+08 + i 7.701964e+06 ; 4.432976e+08 + i -7.542089e+07 ; -2.490481e+07 + i 4.571397e+06 ; -7.692419e+08 + i 1.312316e+08 ; -4.867613e+07 + i 5.478234e+06 ; 9.417843e+06 + i -3.743737e+05 ; 1.645529e+09 + i -2.862558e+08 ; 1.084662e+08 + i -1.049707e+07 ; -1.103205e+08 + i 9.898812e+06 ; -5.917577e+09 + i 5.976881e+08 ; -1.782326e+07 + i -1.056703e+06 ; 1.699446e+07 + i 8.435052e+05 ; -7.166691e+07 + i 1.924210e+07 ; 1.104435e+08 + i -2.410385e+07 ; -1.046849e+08 + i 2.394349e+07 ; -1.074194e+08 + i 3.652914e+07 ; -2.516948e+07 + i 2.970098e+06 ; 2.435464e+07 + i -3.069235e+06 ; -2.472860e+08 + i 7.979331e+06 ; 2.591461e+07 + i -4.510687e+06 ; -4.196654e+08 + i 7.593232e+07 ; -7.693295e+08 + i 1.312230e+08 ; -9.668821e+06 + i 3.220068e+05 ; 5.373278e+07 + i -4.528208e+06 ; 5.819859e+07 + i -1.746115e+07 ; -1.304819e+08 + i 2.267136e+07 ; 1.520978e+07 + i -2.215023e+06 ; 4.334540e+07 + i -1.109844e+07 ; -1.279498e+07 + i 4.066730e+06 ; 1.064776e+06 + i -6.140334e+05 ; 3.191279e+08 + i -5.409528e+07 ; -3.633955e+07 + i 2.921620e+06 ; 3.286310e+07 + i -3.375986e+06 ; 1.447694e+08 + i -1.907587e+07 ; -2.264549e+06 + i 1.045148e+06 ; 1.922488e+06 + i -1.025983e+06 ; 1.285388e+06 + i -4.524497e+06 ; -6.198616e+07 + i 1.216627e+07 ; 5.828864e+07 + i -1.220882e+07 ; 1.155413e+07 + i -5.436784e+06 ; -9.750936e+06 + i 2.858708e+06 ; 9.085508e+06 + i -2.817900e+06 ; 5.779187e+07 + i -1.752484e+07 ; -1.674712e+07 + i 2.068488e+06 ; 1.227070e+08 + i -2.294529e+07 ; 4.314736e+07 + i -1.113676e+07 ; -1.306591e+06 + i 6.191596e+05 ; 1.190192e+07 + i -3.997176e+06 ; 
4.386337e+08 + i -7.506040e+07 ; -2.537352e+08 + i 8.271053e+06 ; -2.421305e+07 + i 4.447997e+06 ; 9.961698e+07 + i -9.666579e+06 ; 1.640387e+09 + i -2.858925e+08 ; -1.093981e+08 + i 9.753176e+06 ; -5.449282e+07 + i 6.104706e+06 ; -7.782834e+08 + i 1.325808e+08 ; 1.187205e+07 + i -5.465793e+05 ; -2.179604e+07 + i -5.746782e+05 ; -5.932253e+09 + i 5.990167e+08 ; 1.977275e+07 + i 6.632086e+05 ; 1.067828e+08 + i -2.374102e+07 ; -7.416344e+07 + i 1.976426e+07 ; -1.039453e+08 + i 2.379937e+07 ; 1.960167e+07 + i -3.807875e+06 ; -2.486446e+08 + i 8.405760e+06 ; -4.183116e+08 + i 7.570435e+07 ; -2.994964e+07 + i 3.536855e+06 ; -1.111354e+08 + i 3.747119e+07 ; 2.819259e+07 + i -3.467328e+06 ; -1.283802e+07 + i 7.384442e+05 ; -7.740201e+08 + i 1.322387e+08 ; 5.840579e+07 + i -5.006920e+06 ; -1.287428e+08 + i 2.316296e+07 ; -8.471377e+07 + i 1.024400e+07 ; -4.992785e+06 + i 7.282655e+05 ; -5.955663e+07 + i 8.266759e+06 ; -1.912939e+07 + i 4.892238e+06 ; 9.553944e+05 + i 5.192225e+04 ; 2.600918e+07 + i -1.804418e+06 ; -1.516647e+08 + i 2.624141e+07 ; 5.867264e+06 + i -2.925407e+05 ; 1.471116e+07 + i -3.462790e+05 ; -1.951479e+07 + i 5.581757e+06 ; 2.070472e+06 + i -2.695271e+05 ; -6.232725e+07 + i 1.229619e+07 ; -5.084588e+07 + i 9.221790e+06 ; -3.226450e+07 + i 6.824062e+06 ; -3.351466e+07 + i 5.680254e+06 ; -1.414091e+07 + i 3.782033e+06 ; -1.832394e+06 + i 8.670624e+05 ; 1.679818e+07 + i -1.645138e+06 ; -7.476243e+07 + i 1.595408e+07 ; 1.147642e+07 + i -1.176750e+06 ; 1.093030e+07 + i -6.632910e+05 ; -1.531297e+07 + i 4.308565e+06 ; 3.219373e+06 + i -5.122201e+05 ; 
