-6.535268e+09 + i 5.535838e+08 ; -1.946078e+07 + i -9.025712e+05 ; -1.946523e+07 + i -9.026854e+05 ; 1.891956e+09 + i -2.735103e+08 ; 1.157547e+08 + i -8.196119e+06 ; 1.157506e+08 + i -8.197660e+06 ; -8.906856e+08 + i 1.270187e+08 ; -6.159766e+07 + i 4.196737e+06 ; -1.225650e+07 + i 3.018658e+05 ; -2.597068e+08 + i 2.779023e+06 ; 4.690494e+08 + i -7.266926e+07 ; 2.697255e+07 + i -3.957042e+06 ; -8.906835e+08 + i 1.270199e+08 ; -1.225520e+07 + i 3.013126e+05 ; -6.159774e+07 + i 4.196321e+06 ; -2.597073e+08 + i 2.780554e+06 ; 2.699671e+07 + i -3.949111e+06 ; 4.690502e+08 + i -7.266892e+07 ; -1.387216e+08 + i 3.755040e+07 ; -3.048039e+07 + i 3.014196e+06 ; -3.047130e+07 + i 3.016879e+06 ; -8.633354e+07 + i 1.773037e+07 ; 1.194034e+08 + i -2.322970e+07 ; 1.194042e+08 + i -2.322939e+07 ; 1.621744e+08 + i -1.747779e+07 ; 1.481077e+05 + i -4.728952e+05 ; 1.490759e+05 + i -4.728442e+05 ; 7.921135e+07 + i -6.967208e+06 ; -8.620439e+05 + i -2.207681e+04 ; -8.621455e+05 + i -2.207491e+04 ; 5.204861e+07 + i -1.083861e+07 ; 1.827897e+07 + i -4.277393e+06 ; -8.796531e+05 + i -2.481243e+05 ; 3.525641e+07 + i -6.267856e+06 ; 4.009567e+06 + i -1.087870e+06 ; -9.276820e+05 + i 1.483111e+04 ; 5.205029e+07 + i -1.083783e+07 ; -8.775252e+05 + i -2.473338e+05 ; 1.827916e+07 + i -4.277344e+06 ; 3.525683e+07 + i -6.267572e+06 ; -9.271021e+05 + i 1.496112e+04 ; 4.009537e+06 + i -1.087886e+06 ; 1.564075e+07 + i -5.700687e+06 ; 1.206081e+07 + i -2.983643e+06 ; 1.206048e+07 + i -2.983774e+06 ; 1.603628e+07 + i -4.401510e+06 ; 3.089612e+06 + i -8.685573e+05 ; 3.089575e+06 + i -8.685497e+05 ; 
-1.845064e+07 + i -9.931723e+05 ; -6.540544e+09 + i 5.536504e+08 ; -1.936218e+07 + i -9.238648e+05 ; -6.014487e+07 + i 4.040584e+06 ; -8.932710e+08 + i 1.270982e+08 ; -1.206685e+07 + i 2.867352e+05 ; 1.180317e+08 + i -8.271177e+06 ; 1.881065e+09 + i -2.731135e+08 ; 1.160174e+08 + i -8.246073e+06 ; 4.738104e+08 + i -7.292591e+07 ; -2.651519e+08 + i 3.252753e+06 ; 2.727862e+07 + i -3.999765e+06 ; -1.140377e+07 + i 2.058412e+05 ; -8.942447e+08 + i 1.272437e+08 ; -6.148036e+07 + i 4.171746e+06 ; -2.935873e+07 + i 2.861210e+06 ; -1.401950e+08 + i 3.770653e+07 ; -3.027958e+07 + i 3.002237e+06 ; 2.893361e+07 + i -4.046860e+06 ; -2.661787e+08 + i 3.351387e+06 ; 4.697012e+08 + i -7.277306e+07 ; 1.232580e+08 + i -2.349899e+07 ; -8.925281e+07 + i 1.819289e+07 ; 1.199862e+08 + i -2.331190e+07 ; -4.673118e+05 + i -5.228558e+05 ; -2.396422e+07 + i 5.577324e+06 ; -2.894113e+06 + i 2.216409e+05 ; 6.138537e+05 + i -4.518602e+05 ; -9.483961e+06 + i 2.026197e+06 ; -1.091939e+06 + i 1.283470e+05 ; 6.157815e+07 + i -7.230671e+06 ; -2.309208e+07 + i 4.755268e+06 ; -1.294615e+06 + i 5.239466e+04 ; 3.083694e+07 + i -2.831250e+06 ; -8.510874e+06 + i 1.807273e+06 ; -7.687755e+05 + i 7.186523e+04 ; -2.350396e+06 + i -2.635741e+05 ; -1.877811e+07 + i 4.354379e+06 ; -4.552484e+06 + i 4.630691e+05 ; -5.188379e+05 + i -3.363494e+05 ; -7.844664e+06 + i 1.765776e+06 ; -1.474919e+06 + i 1.941635e+05 ; 3.891904e+07 + i -5.374737e+06 ; -1.720862e+07 + i 3.754925e+06 ; 4.121805e+06 + i -1.013475e+06 ; 2.174405e+07 + i -2.517320e+06 ; -7.138315e+06 + i 1.586749e+06 ; 3.676964e+05 + i -1.760924e+05 ; 
-1.846046e+07 + i -9.942045e+05 ; -1.936245e+07 + i -9.238476e+05 ; -6.540558e+09 + i 5.536449e+08 ; -6.014467e+07 + i 4.040449e+06 ; -1.206720e+07 + i 2.867621e+05 ; -8.932843e+08 + i 1.270988e+08 ; -1.140748e+07 + i 2.061330e+05 ; -6.148566e+07 + i 4.169509e+06 ; -8.943291e+08 + i 1.272139e+08 ; -2.934984e+07 + i 2.863871e+06 ; -3.028223e+07 + i 3.001313e+06 ; -1.402074e+08 + i 3.770723e+07 ; 1.180315e+08 + i -8.270825e+06 ; 1.160142e+08 + i -8.247442e+06 ; 1.881023e+09 + i -2.731276e+08 ; 4.738118e+08 + i -7.292537e+07 ; 2.727587e+07 + i -4.000751e+06 ; -2.651690e+08 + i 3.248022e+06 ; 2.891121e+07 + i -4.051414e+06 ; 4.697006e+08 + i -7.277338e+07 ; -2.661848e+08 + i 3.348750e+06 ; 1.232520e+08 + i -2.350069e+07 ; 1.199845e+08 + i -2.331228e+07 ; -8.925831e+07 + i 1.819427e+07 ; -4.652195e+05 + i -5.227497e+05 ; -2.894177e+06 + i 2.216154e+05 ; -2.396614e+07 + i 5.577266e+06 ; 6.144123e+05 + i -4.518032e+05 ; -1.092002e+06 + i 1.283367e+05 ; -9.483788e+06 + i 2.026324e+06 ; -2.346575e+06 + i -2.629886e+05 ; -4.552611e+06 + i 4.630321e+05 ; -1.877931e+07 + i 4.354369e+06 ; -5.166836e+05 + i -3.358814e+05 ; -1.474893e+06 + i 1.941795e+05 ; -7.844364e+06 + i 1.765943e+06 ; 6.157748e+07 + i -7.230784e+06 ; -1.294938e+06 + i 5.226386e+04 ; -2.309505e+07 + i 4.754615e+06 ; 3.083663e+07 + i -2.831303e+06 ; -7.689094e+05 + i 7.182573e+04 ; -8.511760e+06 + i 1.807133e+06 ; 3.892130e+07 + i -5.374668e+06 ; 4.121919e+06 + i -1.013439e+06 ; -1.720958e+07 + i 3.754687e+06 ; 2.174446e+07 + i -2.517357e+06 ; 3.677494e+05 + i -1.760651e+05 ; -7.138882e+06 + i 1.586679e+06 ; 
1.892236e+09 + i -2.734472e+08 ; -1.185335e+08 + i 8.173304e+06 ; -1.185280e+08 + i 8.175447e+06 ; -6.517927e+09 + i 5.521809e+08 ; 1.669773e+07 + i 1.061253e+06 ; 1.670261e+07 + i 1.061529e+06 ; -2.596192e+08 + i 2.797151e+06 ; -4.776121e+08 + i 7.282760e+07 ; -2.833849e+07 + i 4.086881e+06 ; -8.830235e+08 + i 1.259475e+08 ; 5.756336e+07 + i -3.738819e+06 ; 9.754211e+06 + i -1.474097e+05 ; -2.596261e+08 + i 2.797044e+06 ; -2.835957e+07 + i 4.079668e+06 ; -4.776130e+08 + i 7.282725e+07 ; -8.830095e+08 + i 1.259518e+08 ; 9.751924e+06 + i -1.472073e+05 ; 5.756284e+07 + i -3.738708e+06 ; -8.631307e+07 + i 1.773344e+07 ; -1.225664e+08 + i 2.349295e+07 ; -1.225678e+08 + i 2.349234e+07 ; -1.357470e+08 + i 3.682806e+07 ; 2.673427e+07 + i -2.640091e+06 ; 2.673101e+07 + i -2.641233e+06 ; 3.659396e+08 + i -5.168713e+07 ; 3.558017e+07 + i -2.846987e+06 ; 3.557864e+07 + i -2.847660e+06 ; 1.621640e+08 + i -1.747847e+07 ; 2.628548e+06 + i -9.866662e+05 ; 2.626842e+06 + i -9.869020e+05 ; 7.161583e+07 + i -1.759714e+07 ; 1.401559e+08 + i -2.207564e+07 ; 1.691379e+07 + i -1.947590e+06 ; 5.203720e+07 + i -1.083874e+07 ; 1.482263e+07 + i -4.055479e+06 ; 1.503394e+06 + i -6.117429e+05 ; 7.162394e+07 + i -1.759595e+07 ; 1.691878e+07 + i -1.945752e+06 ; 1.401567e+08 + i -2.207539e+07 ; 5.204094e+07 + i -1.083815e+07 ; 1.505644e+06 + i -6.112446e+05 ; 1.482310e+07 + i -4.055397e+06 ; 4.443714e+06 + i -5.116775e+06 ; 6.747475e+07 + i -1.188331e+07 ; 6.747629e+07 + i -1.188280e+07 ; 1.563448e+07 + i -5.699621e+06 ; 1.116587e+07 + i -2.876690e+06 ; 1.116679e+07 + i -2.876333e+06 ; 
6.659840e+07 + i -3.973236e+06 ; -8.935473e+08 + i 1.270329e+08 ; -1.240630e+07 + i 2.674514e+05 ; 2.184474e+07 + i 8.415457e+05 ; -6.533935e+09 + i 5.532748e+08 ; -1.972133e+07 + i -9.459027e+05 ; -4.953700e+08 + i 7.210208e+07 ; -2.651222e+08 + i 3.261495e+06 ; 2.747643e+07 + i -3.994974e+06 ; -1.145526e+08 + i 6.915987e+06 ; 1.886370e+09 + i -2.732416e+08 ; 1.174725e+08 + i -8.059115e+06 ; 3.322019e+07 + i -3.034644e+06 ; -1.402322e+08 + i 3.770589e+07 ; -3.087926e+07 + i 2.978935e+06 ; 1.370713e+07 + i -4.345027e+05 ; -8.884562e+08 + i 1.268961e+08 ; -6.260897e+07 + i 4.146589e+06 ; -1.244808e+08 + i 2.330326e+07 ; -8.926497e+07 + i 1.818882e+07 ; 1.217338e+08 + i -2.335868e+07 ; -2.282146e+07 + i 3.445472e+06 ; -2.613936e+08 + i 3.166054e+06 ; 4.760966e+08 + i -7.262091e+07 ; -2.610724e+07 + i 1.707034e+06 ; -1.742616e+08 + i 2.515584e+07 ; -6.154472e+06 + i 1.871650e+05 ; -1.448618e+07 + i 2.937433e+05 ; -2.393535e+07 + i 5.587294e+06 ; -2.275492e+06 + i 2.215413e+05 ; 1.464800e+08 + i -2.226908e+07 ; -9.456342e+07 + i 9.041962e+06 ; 5.546301e+06 + i -6.497384e+05 ; 6.614186e+07 + i -7.611961e+06 ; -2.309080e+07 + i 4.756770e+06 ; -9.347050e+05 + i -7.030226e+04 ; -1.750868e+07 + i 1.475056e+06 ; -8.796839e+07 + i 1.555824e+07 ; -1.242425e+07 + i 9.921200e+05 ; -1.115782e+07 + i 5.381227e+05 ; -1.875925e+07 + i 4.359647e+06 ; -3.602124e+06 + i 4.532078e+05 ; 7.166243e+07 + i -1.195073e+07 ; -5.875485e+07 + i 8.584960e+06 ; 3.740518e+07 + i -6.664895e+06 ; 3.792199e+07 + i -5.350081e+06 ; -1.720766e+07 + i 3.755405e+06 ; 2.463090e+06 + i -9.096949e+05 ; 
6.660023e+07 + i -3.972788e+06 ; -1.240675e+07 + i 2.674484e+05 ; -8.935609e+08 + i 1.270340e+08 ; 2.184984e+07 + i 8.418782e+05 ; -1.972152e+07 + i -9.458439e+05 ; -6.533946e+09 + i 5.532712e+08 ; 3.321886e+07 + i -3.035546e+06 ; -3.088199e+07 + i 2.977968e+06 ; -1.402407e+08 + i 3.770817e+07 ; 1.370821e+07 + i -4.352274e+05 ; -6.261373e+07 + i 4.144531e+06 ; -8.885540e+08 + i 1.268628e+08 ; -4.953700e+08 + i 7.210187e+07 ; 2.747406e+07 + i -3.995800e+06 ; -2.651401e+08 + i 3.256039e+06 ; -1.145525e+08 + i 6.915714e+06 ; 1.174686e+08 + i -8.060735e+06 ; 1.886334e+09 + i -2.732543e+08 ; -1.244733e+08 + i 2.330541e+07 ; 1.217329e+08 + i -2.335869e+07 ; -8.924612e+07 + i 1.819714e+07 ; -2.281029e+07 + i 3.447844e+06 ; 4.760955e+08 + i -7.262138e+07 ; -2.613999e+08 + i 3.163065e+06 ; -2.610916e+07 + i 1.706634e+06 ; -6.154483e+06 + i 1.871266e+05 ; -1.742542e+08 + i 2.515711e+07 ; -1.448797e+07 + i 2.935207e+05 ; -2.275633e+06 + i 2.215148e+05 ; -2.393308e+07 + i 5.587773e+06 ; -1.750852e+07 + i 1.475110e+06 ; -1.242462e+07 + i 9.919172e+05 ; -8.796873e+07 + i 1.555775e+07 ; -1.115744e+07 + i 5.384138e+05 ; -3.602154e+06 + i 4.532049e+05 ; -1.875759e+07 + i 4.360093e+06 ; 1.464802e+08 + i -2.226895e+07 ; 5.545730e+06 + i -6.500091e+05 ; -9.456742e+07 + i 9.040223e+06 ; 6.614206e+07 + i -7.611785e+06 ; -9.350516e+05 + i -7.041573e+04 ; -2.309285e+07 + i 4.756273e+06 ; 7.165861e+07 + i -1.195173e+07 ; 3.740578e+07 + i -6.664747e+06 ; -5.875426e+07 + i 8.584322e+06 ; 3.791870e+07 + i -5.350818e+06 ; 2.463123e+06 + i -9.096590e+05 ; -1.720948e+07 + i 3.754950e+06 ; 
-8.909858e+08 + i 1.269439e+08 ; 6.396652e+07 + i -4.286548e+06 ; -1.245950e+07 + i 2.746211e+05 ; -2.599351e+08 + i 2.704726e+06 ; -4.985019e+08 + i 7.229577e+07 ; 2.733969e+07 + i -3.964595e+06 ; -6.535403e+09 + i 5.535325e+08 ; 2.019825e+07 + i 9.897234e+05 ; -1.976564e+07 + i -9.646382e+05 ; 1.891870e+09 + i -2.735471e+08 ; -1.215274e+08 + i 7.953360e+06 ; 1.175813e+08 + i -8.036954e+06 ; -1.387857e+08 + i 3.754122e+07 ; 3.229269e+07 + i -2.894831e+06 ; -3.095131e+07 + i 2.988634e+06 ; -8.640194e+07 + i 1.771320e+07 ; -1.269812e+08 + i 2.340557e+07 ; 1.213352e+08 + i -2.329096e+07 ; -8.906799e+08 + i 1.270256e+08 ; 1.290973e+07 + i -2.150706e+05 ; -6.256924e+07 + i 4.108005e+06 ; -2.596936e+08 + i 2.786687e+06 ; -2.860110e+07 + i 3.926020e+06 ; 4.765568e+08 + i -7.262900e+07 ; 5.212035e+07 + i -1.082157e+07 ; -1.942293e+07 + i 4.353324e+06 ; -9.010167e+05 + i -2.555742e+05 ; 3.529064e+07 + i -6.259191e+06 ; -4.257312e+06 + i 1.114929e+06 ; -9.438162e+05 + i 1.259517e+04 ; 1.621802e+08 + i -1.747649e+07 ; -1.038602e+05 + i 5.135547e+05 ; 1.560534e+05 + i -4.794607e+05 ; 7.921119e+07 + i -6.966972e+06 ; 9.307989e+05 + i 3.617749e+04 ; -8.744449e+05 + i -2.442318e+04 ; 1.565757e+07 + i -5.699901e+06 ; -1.281663e+07 + i 3.044160e+06 ; 1.225606e+07 + i -3.000259e+06 ; 1.604932e+07 + i -4.400262e+06 ; -3.280370e+06 + i 8.913786e+05 ; 3.140228e+06 + i -8.743171e+05 ; 5.205648e+07 + i -1.083608e+07 ; 9.716831e+05 + i 2.814581e+05 ; 1.857596e+07 + i -4.298154e+06 ; 3.525786e+07 + i -6.266767e+06 ; 9.980737e+05 + i -3.076436e+03 ; 4.075121e+06 + i -1.094744e+06 ; 
-1.183136e+08 + i 8.590405e+06 ; 1.881321e+09 + i -2.730617e+08 ; -1.178775e+08 + i 8.076900e+06 ; -4.808407e+08 + i 7.290918e+07 ; -2.653087e+08 + i 3.192765e+06 ; -2.773196e+07 + i 3.990568e+06 ; 1.844168e+07 + i 9.484889e+05 ; -6.540659e+09 + i 5.536132e+08 ; 1.958100e+07 + i 9.694927e+05 ; 5.952291e+07 + i -4.454741e+06 ; -8.932282e+08 + i 1.271217e+08 ; 1.221538e+07 + i -2.683108e+05 ; -2.927191e+07 + i 4.053355e+06 ; -2.660587e+08 + i 3.382141e+06 ; -4.772119e+08 + i 7.273627e+07 ; -1.250969e+08 + i 2.355437e+07 ; -8.926996e+07 + i 1.818974e+07 ; -1.219134e+08 + i 2.337725e+07 ; 1.147730e+07 + i -2.052261e+05 ; -8.942894e+08 + i 1.272288e+08 ; 6.246123e+07 + i -4.080005e+06 ; 2.968216e+07 + i -2.855739e+06 ; -1.402193e+08 + i 3.769763e+07 ; 3.076700e+07 + i -2.971555e+06 ; -6.256343e+07 + i 7.169375e+06 ; -2.315323e+07 + i 4.737158e+06 ; 1.313989e+06 + i -5.012993e+04 ; -3.133788e+07 + i 2.785078e+06 ; -8.516297e+06 + i 1.806289e+06 ; 7.807038e+05 + i -7.107976e+04 ; 3.527104e+05 + i 4.832088e+05 ; -2.397168e+07 + i 5.575956e+06 ; 2.936843e+06 + i -2.182233e+05 ; -6.830915e+05 + i 4.316627e+05 ; -9.487096e+06 + i 2.025640e+06 ; 1.108794e+06 + i -1.276215e+05 ; -3.954153e+07 + i 5.348998e+06 ; -1.724241e+07 + i 3.747278e+06 ; -4.188080e+06 + i 1.019217e+06 ; -2.209750e+07 + i 2.493382e+06 ; -7.144107e+06 + i 1.585784e+06 ; -3.735235e+05 + i 1.780297e+05 ; 2.324407e+06 + i 2.510558e+05 ; -1.877745e+07 + i 4.354882e+06 ; 4.625199e+06 + i -4.587113e+05 ; 4.900644e+05 + i 3.287106e+05 ; -7.845266e+06 + i 1.765682e+06 ; 1.498718e+06 + i -1.934137e+05 ; 
-1.155202e+07 + i 1.958172e+05 ; 6.536151e+07 + i -3.762158e+06 ; -8.946186e+08 + i 1.271495e+08 ; -2.976813e+07 + i 2.845058e+06 ; 3.218558e+07 + i -2.868727e+06 ; -1.402580e+08 + i 3.770394e+07 ; -1.871982e+07 + i -1.051232e+06 ; 2.046117e+07 + i 1.169452e+06 ; -6.540667e+09 + i 5.536114e+08 ; -6.104150e+07 + i 3.952991e+06 ; 1.274044e+07 + i -1.978939e+05 ; -8.933264e+08 + i 1.270937e+08 ; 2.897259e+07 + i -4.163439e+06 ; -4.995681e+08 + i 7.223948e+07 ; -2.661511e+08 + i 3.358682e+06 ; 1.249790e+08 + i -2.360504e+07 ; -1.274831e+08 + i 2.353579e+07 ; -8.924537e+07 + i 1.819670e+07 ; 1.198367e+08 + i -8.086662e+06 ; -1.233676e+08 + i 7.486233e+06 ; 1.881042e+09 + i -2.731191e+08 ; 4.810411e+08 + i -7.282028e+07 ; -2.874058e+07 + i 4.046115e+06 ; -2.651560e+08 + i 3.251929e+06 ; -2.375846e+06 + i -2.721994e+05 ; 4.833942e+06 + i -4.453524e+05 ; -1.877600e+07 + i 4.355768e+06 ; -5.205262e+05 + i -3.418161e+05 ; 1.565823e+06 + i -1.913735e+05 ; -7.842610e+06 + i 1.766345e+06 ; -4.754922e+05 + i -5.326858e+05 ; 3.066456e+06 + i -2.077486e+05 ; -2.396936e+07 + i 5.577287e+06 ; 6.215526e+05 + i -4.577481e+05 ; 1.158258e+06 + i -1.254859e+05 ; -9.484689e+06 + i 2.026316e+06 ; 3.951573e+07 + i -5.359803e+06 ; -4.374290e+06 + i 1.036135e+06 ; -1.720816e+07 + i 3.755352e+06 ; 2.207668e+07 + i -2.501312e+06 ; -3.887214e+05 + i 1.839958e+05 ; -7.138625e+06 + i 1.586799e+06 ; 6.250044e+07 + i -7.187417e+06 ; 1.394776e+06 + i -3.670554e+04 ; -2.309401e+07 + i 4.755027e+06 ; 3.129502e+07 + i -2.798427e+06 ; 8.216741e+05 + i -6.694736e+04 ; -8.511155e+06 + i 1.807277e+06 ; 
-2.609897e+08 + i 2.556921e+06 ; 5.084893e+08 + i -7.198871e+07 ; -2.867600e+07 + i 4.097059e+06 ; -8.829014e+08 + i 1.259683e+08 ; -5.374123e+07 + i 4.572506e+06 ; 9.901378e+06 + i -1.271224e+05 ; 1.891750e+09 + i -2.735738e+08 ; 1.186567e+08 + i -8.581644e+06 ; -1.202065e+08 + i 8.034395e+06 ; -6.517873e+09 + i 5.521953e+08 ; -1.766994e+07 + i -1.300099e+06 ; 1.693830e+07 + i 1.112997e+06 ; -8.651915e+07 + i 1.772485e+07 ; 1.303691e+08 + i -2.359957e+07 ; -1.243422e+08 + i 2.355353e+07 ; -1.358122e+08 + i 3.681162e+07 ; -2.789232e+07 + i 2.528078e+06 ; 2.710900e+07 + i -2.620481e+06 ; -2.595923e+08 + i 2.814693e+06 ; 2.967998e+07 + i -4.029397e+06 ; -4.844601e+08 + i 7.280962e+07 ; -8.829861e+08 + i 1.259590e+08 ; -1.013025e+07 + i 8.079259e+04 ; 5.837508e+07 + i -3.666879e+06 ; 7.200722e+07 + i -1.753338e+07 ; -1.500098e+08 + i 2.172080e+07 ; 1.713505e+07 + i -1.942298e+06 ; 5.221969e+07 + i -1.080331e+07 ; -1.599848e+07 + i 4.121990e+06 ; 1.518915e+06 + i -6.181788e+05 ; 3.659498e+08 + i -5.168542e+07 ; -3.939420e+07 + i 2.359018e+06 ; 3.608891e+07 + i -2.809693e+06 ; 1.621613e+08 + i -1.747940e+07 ; -3.026624e+06 + i 9.984463e+05 ; 2.667502e+06 + i -9.947488e+05 ; 4.598485e+06 + i -5.099135e+06 ; -7.222857e+07 + i 1.180339e+07 ; 6.844857e+07 + i -1.190247e+07 ; 1.572546e+07 + i -5.687098e+06 ; -1.203983e+07 + i 2.916214e+06 ; 1.133036e+07 + i -2.892238e+06 ; 7.162693e+07 + i -1.759530e+07 ; -1.862556e+07 + i 1.784018e+06 ; 1.421668e+08 + i -2.208028e+07 ; 5.203813e+07 + i -1.083853e+07 ; -1.769185e+06 + i 6.155162e+05 ; 1.503946e+07 + i -4.079905e+06 ; 
5.034468e+08 + i -7.170788e+07 ; -2.664433e+08 + i 3.027304e+06 ; -2.788274e+07 + i 3.988894e+06 ; 1.089907e+08 + i -7.901475e+06 ; 1.886208e+09 + i -2.732862e+08 ; -1.191620e+08 + i 7.909907e+06 ; -6.014574e+07 + i 5.093612e+06 ; -8.931043e+08 + i 1.271473e+08 ; 1.254024e+07 + i -2.516835e+05 ; -2.207883e+07 + i -8.933953e+05 ; -6.533882e+09 + i 5.532959e+08 ; 1.991663e+07 + i 9.852524e+05 ; 1.263600e+08 + i -2.330362e+07 ; -8.943293e+07 + i 1.819004e+07 ; -1.234848e+08 + i 2.342320e+07 ; 2.271217e+07 + i -3.437535e+06 ; -2.612698e+08 + i 3.204369e+06 ; -4.829148e+08 + i 7.260710e+07 ; -3.319064e+07 + i 3.008367e+06 ; -1.402686e+08 + i 3.768727e+07 ; 3.132564e+07 + i -2.951485e+06 ; -1.366962e+07 + i 4.384322e+05 ; -8.884886e+08 + i 1.268819e+08 ; 6.350610e+07 + i -4.065493e+06 ; -1.485321e+08 + i 2.220820e+07 ; -9.419494e+07 + i 9.097546e+06 ; -5.628742e+06 + i 6.458106e+05 ; -6.696842e+07 + i 7.561401e+06 ; -2.304367e+07 + i 4.761468e+06 ; 9.463131e+05 + i 7.310721e+04 ; 2.800514e+07 + i -1.405412e+06 ; -1.742955e+08 + i 2.514683e+07 ; 6.228923e+06 + i -1.787430e+05 ; 1.538751e+07 + i -1.187860e+05 ; -2.395266e+07 + i 5.581618e+06 ; 2.305130e+06 + i -2.200125e+05 ; -7.267194e+07 + i 1.193709e+07 ; -5.861317e+07 + i 8.601081e+06 ; -3.794205e+07 + i 6.677536e+06 ; -3.839388e+07 + i 5.335203e+06 ; -1.717890e+07 + i 3.758288e+06 ; -2.498721e+06 + i 9.173462e+05 ; 1.839273e+07 + i -1.355933e+06 ; -8.798364e+07 + i 1.555416e+07 ; 1.260110e+07 + i -9.788026e+05 ; 1.168481e+07 + i -4.546682e+05 ; -1.877075e+07 + i 4.355986e+06 ; 3.654282e+06 + i -4.515230e+05 ; 
