-7.123160e+09 + i 5.276290e+08 ; -1.950587e+07 + i -1.148218e+06 ; -1.951033e+07 + i -1.148475e+06 ; 2.134820e+09 + i -2.680441e+08 ; 1.247827e+08 + i -6.863323e+06 ; 1.247793e+08 + i -6.864652e+06 ; -1.004112e+09 + i 1.249837e+08 ; -6.631058e+07 + i 3.519094e+06 ; -1.281270e+07 + i 7.930775e+04 ; -2.695906e+08 + i -1.332094e+06 ; 5.324772e+08 + i -7.159422e+07 ; 3.038728e+07 + i -3.641650e+06 ; -1.004111e+09 + i 1.249846e+08 ; -1.281118e+07 + i 7.905849e+04 ; -6.631046e+07 + i 3.518814e+06 ; -2.695919e+08 + i -1.330990e+06 ; 3.040769e+07 + i -3.634595e+06 ; 5.324780e+08 + i -7.159393e+07 ; -1.681459e+08 + i 3.838339e+07 ; -3.339845e+07 + i 2.647354e+06 ; -3.339059e+07 + i 2.649709e+06 ; -1.004716e+08 + i 1.663555e+07 ; 1.387325e+08 + i -2.338700e+07 ; 1.387331e+08 + i -2.338671e+07 ; 1.789887e+08 + i -1.649919e+07 ; 4.600707e+05 + i -4.802354e+05 ; 4.610399e+05 + i -4.801750e+05 ; 8.640085e+07 + i -6.435108e+06 ; -8.707313e+05 + i -4.410408e+04 ; -8.708340e+05 + i -4.410896e+04 ; 6.087183e+07 + i -1.075156e+07 ; 2.172948e+07 + i -4.384158e+06 ; -7.421879e+05 + i -2.741448e+05 ; 4.049223e+07 + i -6.066885e+06 ; 4.875894e+06 + i -1.149116e+06 ; -9.627747e+05 + i -6.862900e+03 ; 6.087314e+07 + i -1.075091e+07 ; -7.404593e+05 + i -2.734233e+05 ; 2.172965e+07 + i -4.384114e+06 ; 4.049252e+07 + i -6.066668e+06 ; -9.622612e+05 + i -6.727483e+03 ; 4.875871e+06 + i -1.149128e+06 ; 1.997936e+07 + i -5.979552e+06 ; 1.445378e+07 + i -3.088966e+06 ; 1.445351e+07 + i -3.089076e+06 ; 1.947751e+07 + i -4.463346e+06 ; 3.779253e+06 + i -9.236750e+05 ; 3.779211e+06 + i -9.236694e+05 ; 
-1.840688e+07 + i -1.222434e+06 ; -7.128654e+09 + i 5.276411e+08 ; -1.939031e+07 + i -1.168416e+06 ; -6.471306e+07 + i 3.385704e+06 ; -1.006830e+09 + i 1.250270e+08 ; -1.260732e+07 + i 6.664289e+04 ; 1.271812e+08 + i -6.910390e+06 ; 2.123315e+09 + i -2.677626e+08 ; 1.250849e+08 + i -6.907811e+06 ; 5.375573e+08 + i -7.179487e+07 ; -2.755117e+08 + i -9.322119e+05 ; 3.072998e+07 + i -3.679002e+06 ; -1.187294e+07 + i -1.692626e+03 ; -1.007925e+09 + i 1.251532e+08 ; -6.617329e+07 + i 3.495172e+06 ; -3.214447e+07 + i 2.512690e+06 ; -1.697618e+08 + i 3.850932e+07 ; -3.318322e+07 + i 2.637214e+06 ; 3.246837e+07 + i -3.705786e+06 ; -2.766329e+08 + i -8.502141e+05 ; 5.332167e+08 + i -7.169000e+07 ; 1.428832e+08 + i -2.360758e+07 ; -1.037791e+08 + i 1.705521e+07 ; 1.393868e+08 + i -2.346213e+07 ; -1.501554e+05 + i -5.211990e+05 ; -2.844867e+07 + i 5.669353e+06 ; -3.127279e+06 + i 1.805337e+05 ; 9.186184e+05 + i -4.325967e+05 ; -1.114786e+07 + i 2.078075e+06 ; -1.208810e+06 + i 1.134705e+05 ; 6.833714e+07 + i -6.848145e+06 ; -2.697260e+07 + i 4.713008e+06 ; -1.367058e+06 + i 2.970164e+04 ; 3.369403e+07 + i -2.581789e+06 ; -9.994105e+06 + i 1.843739e+06 ; -8.389374e+05 + i 6.080003e+04 ; -2.254846e+06 + i -2.957471e+05 ; -2.229787e+07 + i 4.464582e+06 ; -4.997289e+06 + i 4.095395e+05 ; -3.195898e+05 + i -3.410401e+05 ; -9.282113e+06 + i 1.820892e+06 ; -1.647586e+06 + i 1.776404e+05 ; 4.371538e+07 + i -5.160618e+06 ; -2.026118e+07 + i 3.786339e+06 ; 4.938216e+06 + i -1.056515e+06 ; 2.409165e+07 + i -2.342356e+06 ; -8.430885e+06 + i 1.628165e+06 ; 5.009860e+05 + i -1.955714e+05 ; 
-1.841636e+07 + i -1.223546e+06 ; -1.939059e+07 + i -1.168420e+06 ; -7.128666e+09 + i 5.276365e+08 ; -6.471280e+07 + i 3.385628e+06 ; -1.260769e+07 + i 6.664183e+04 ; -1.006844e+09 + i 1.250270e+08 ; -1.187687e+07 + i -1.614704e+03 ; -6.617754e+07 + i 3.493305e+06 ; -1.007995e+09 + i 1.251270e+08 ; -3.213678e+07 + i 2.515005e+06 ; -3.318543e+07 + i 2.636399e+06 ; -1.697745e+08 + i 3.850884e+07 ; 1.271807e+08 + i -6.910166e+06 ; 1.250824e+08 + i -6.908949e+06 ; 2.123279e+09 + i -2.677751e+08 ; 5.375585e+08 + i -7.179443e+07 ; 3.072769e+07 + i -3.679855e+06 ; -2.755266e+08 + i -9.366569e+05 ; 3.244790e+07 + i -3.710011e+06 ; 5.332162e+08 + i -7.169024e+07 ; -2.766380e+08 + i -8.522387e+05 ; 1.428780e+08 + i -2.360907e+07 ; 1.393853e+08 + i -2.346248e+07 ; -1.037854e+08 + i 1.705606e+07 ; -1.480792e+05 + i -5.210445e+05 ; -3.127331e+06 + i 1.805116e+05 ; -2.845059e+07 + i 5.669233e+06 ; 9.191543e+05 + i -4.325292e+05 ; -1.208868e+06 + i 1.134598e+05 ; -1.114776e+07 + i 2.078181e+06 ; -2.251249e+06 + i -2.951785e+05 ; -4.997397e+06 + i 4.095044e+05 ; -2.229909e+07 + i 4.464525e+06 ; -3.176326e+05 + i -3.406158e+05 ; -1.647567e+06 + i 1.776528e+05 ; -9.281901e+06 + i 1.821037e+06 ; 6.833652e+07 + i -6.848260e+06 ; -1.367318e+06 + i 2.958865e+04 ; -2.697525e+07 + i 4.712359e+06 ; 3.369374e+07 + i -2.581845e+06 ; -8.390517e+05 + i 6.076313e+04 ; -9.994925e+06 + i 1.843584e+06 ; 4.371764e+07 + i -5.160478e+06 ; 4.938315e+06 + i -1.056484e+06 ; -2.026203e+07 + i 3.786115e+06 ; 2.409208e+07 + i -2.342363e+06 ; 5.010263e+05 + i -1.955495e+05 ; -8.431422e+06 + i 1.628086e+06 ; 
2.135074e+09 + i -2.679880e+08 ; -1.276400e+08 + i 6.815139e+06 ; -1.276355e+08 + i 6.816948e+06 ; -7.104352e+09 + i 5.264157e+08 ; 1.655492e+07 + i 1.266158e+06 ; 1.655974e+07 + i 1.266548e+06 ; -2.695106e+08 + i -1.315624e+06 ; -5.414146e+08 + i 7.164210e+07 ; -3.187777e+07 + i 3.748899e+06 ; -9.955127e+08 + i 1.239973e+08 ; 6.185378e+07 + i -3.113803e+06 ; 1.013242e+07 + i 4.004520e+04 ; -2.695175e+08 + i -1.315923e+06 ; -3.189540e+07 + i 3.742485e+06 ; -5.414153e+08 + i 7.164179e+07 ; -9.955006e+08 + i 1.240010e+08 ; 1.013006e+07 + i 4.001485e+04 ; 6.185321e+07 + i -3.113761e+06 ; -1.004524e+08 + i 1.663872e+07 ; -1.421624e+08 + i 2.360309e+07 ; -1.421635e+08 + i 2.360257e+07 ; -1.646045e+08 + i 3.768096e+07 ; 2.929057e+07 + i -2.317304e+06 ; 2.928786e+07 + i -2.318305e+06 ; 4.121440e+08 + i -5.065968e+07 ; 3.856415e+07 + i -2.435133e+06 ; 3.856293e+07 + i -2.435692e+06 ; 1.789786e+08 + i -1.650029e+07 ; 3.351807e+06 + i -9.672430e+05 ; 3.350195e+06 + i -9.674865e+05 ; 8.563885e+07 + i -1.794493e+07 ; 1.593474e+08 + i -2.178024e+07 ; 1.871331e+07 + i -1.751213e+06 ; 6.086021e+07 + i -1.075198e+07 ; 1.801546e+07 + i -4.195827e+06 ; 1.955295e+06 + i -6.181139e+05 ; 8.564651e+07 + i -1.794377e+07 ; 1.871740e+07 + i -1.749575e+06 ; 1.593481e+08 + i -2.178002e+07 ; 6.086373e+07 + i -1.075143e+07 ; 1.957300e+06 + i -6.176099e+05 ; 1.801589e+07 + i -4.195739e+06 ; 8.091936e+06 + i -5.672946e+06 ; 7.755712e+07 + i -1.185111e+07 ; 7.755843e+07 + i -1.185067e+07 ; 1.997233e+07 + i -5.978828e+06 ; 1.346053e+07 + i -2.990800e+06 ; 1.346127e+07 + i -2.990487e+06 ; 
7.134299e+07 + i -3.266015e+06 ; -1.007079e+09 + i 1.249694e+08 ; -1.294584e+07 + i 4.493024e+04 ; 2.202052e+07 + i 1.084429e+06 ; -7.121591e+09 + i 5.273451e+08 ; -1.974977e+07 + i -1.188679e+06 ; -5.592826e+08 + i 7.071095e+07 ; -2.754858e+08 + i -9.247332e+05 ; 3.092850e+07 + i -3.666937e+06 ; -1.227413e+08 + i 5.647507e+06 ; 2.128875e+09 + i -2.678290e+08 ; 1.264718e+08 + i -6.715090e+06 ; 3.623972e+07 + i -2.636217e+06 ; -1.697992e+08 + i 3.850722e+07 ; -3.378718e+07 + i 2.607011e+06 ; 1.439911e+07 + i -2.043334e+05 ; -1.001725e+09 + i 1.248735e+08 ; -6.732498e+07 + i 3.462882e+06 ; -1.440066e+08 + i 2.336878e+07 ; -1.037894e+08 + i 1.705179e+07 ; 1.412170e+08 + i -2.347932e+07 ; -2.576604e+07 + i 3.165210e+06 ; -2.715765e+08 + i -9.729828e+05 ; 5.397179e+08 + i -7.145455e+07 ; -2.805206e+07 + i 1.406287e+06 ; -1.966339e+08 + i 2.471965e+07 ; -6.468681e+06 + i 1.021763e+05 ; -1.514003e+07 + i 1.136149e+05 ; -2.842442e+07 + i 5.677954e+06 ; -2.486870e+06 + i 1.842151e+05 ; 1.659984e+08 + i -2.189600e+07 ; -1.035614e+08 + i 8.264519e+06 ; 6.145781e+06 + i -5.910838e+05 ; 7.329155e+07 + i -7.172726e+06 ; -2.697206e+07 + i 4.714186e+06 ; -9.174567e+05 + i -8.698573e+04 ; -1.902053e+07 + i 1.263523e+06 ; -1.011463e+08 + i 1.550007e+07 ; -1.346487e+07 + i 8.484750e+05 ; -1.185328e+07 + i 3.804863e+05 ; -2.228150e+07 + i 4.469406e+06 ; -4.008963e+06 + i 4.094363e+05 ; 8.192639e+07 + i -1.187580e+07 ; -6.627852e+07 + i 8.200677e+06 ; 4.305200e+07 + i -6.668889e+06 ; 4.267501e+07 + i -5.158537e+06 ; -2.026049e+07 + i 3.786792e+06 ; 3.157453e+06 + i -9.684674e+05 ; 
7.134463e+07 + i -3.265620e+06 ; -1.294630e+07 + i 4.490418e+04 ; -1.007093e+09 + i 1.249697e+08 ; 2.202556e+07 + i 1.084842e+06 ; -1.974999e+07 + i -1.188654e+06 ; -7.121600e+09 + i 5.273420e+08 ; 3.623882e+07 + i -2.636929e+06 ; -3.378944e+07 + i 2.606166e+06 ; -1.698085e+08 + i 3.850801e+07 ; 1.440057e+07 + i -2.048186e+05 ; -6.732878e+07 + i 3.461169e+06 ; -1.001808e+09 + i 1.248443e+08 ; -5.592826e+08 + i 7.071082e+07 ; 3.092653e+07 + i -3.667664e+06 ; -2.755012e+08 + i -9.297010e+05 ; -1.227410e+08 + i 5.647332e+06 ; 1.264687e+08 + i -6.716429e+06 ; 2.128845e+09 + i -2.678403e+08 ; -1.440001e+08 + i 2.337065e+07 ; 1.412161e+08 + i -2.347938e+07 ; -1.037745e+08 + i 1.705864e+07 ; -2.575587e+07 + i 3.167383e+06 ; 5.397171e+08 + i -7.145492e+07 ; -2.715816e+08 + i -9.752317e+05 ; -2.805381e+07 + i 1.405912e+06 ; -6.468674e+06 + i 1.021488e+05 ; -1.966270e+08 + i 2.472083e+07 ; -1.514174e+07 + i 1.133893e+05 ; -2.486999e+06 + i 1.841889e+05 ; -2.842236e+07 + i 5.678396e+06 ; -1.902039e+07 + i 1.263563e+06 ; -1.346513e+07 + i 8.483081e+05 ; -1.011463e+08 + i 1.549960e+07 ; -1.185305e+07 + i 3.807143e+05 ; -4.008989e+06 + i 4.094301e+05 ; -2.228004e+07 + i 4.469811e+06 ; 1.659985e+08 + i -2.189591e+07 ; 6.145341e+06 + i -5.913103e+05 ; -1.035646e+08 + i 8.262960e+06 ; 7.329167e+07 + i -7.172596e+06 ; -9.177478e+05 + i -8.708820e+04 ; -2.697386e+07 + i 4.713687e+06 ; 8.192301e+07 + i -1.187669e+07 ; 4.305254e+07 + i -6.668755e+06 ; -6.627757e+07 + i 8.200211e+06 ; 4.267203e+07 + i -5.159208e+06 ; 3.157470e+06 + i -9.684410e+05 ; -2.026210e+07 + i 3.786371e+06 ; 
-1.004380e+09 + i 1.249175e+08 ; 6.880940e+07 + i -3.570302e+06 ; -1.300529e+07 + i 5.129150e+04 ; -2.697809e+08 + i -1.403485e+06 ; -5.626323e+08 + i 7.085076e+07 ; 3.076837e+07 + i -3.639493e+06 ; -7.123272e+09 + i 5.275867e+08 ; 2.021419e+07 + i 1.236963e+06 ; -1.978411e+07 + i -1.206454e+06 ; 2.134752e+09 + i -2.680764e+08 ; -1.305916e+08 + i 6.565306e+06 ; 1.265701e+08 + i -6.692150e+06 ; -1.682058e+08 + i 3.837327e+07 ; 3.519576e+07 + i -2.514029e+06 ; -3.386770e+07 + i 2.615704e+06 ; -1.005314e+08 + i 1.661838e+07 ; -1.466541e+08 + i 2.344129e+07 ; 1.407620e+08 + i -2.341601e+07 ; -1.004109e+09 + i 1.249884e+08 ; 1.343466e+07 + i 7.357464e+03 ; -6.725940e+07 + i 3.425251e+06 ; -2.695809e+08 + i -1.326266e+06 ; -3.204494e+07 + i 3.584745e+06 ; 5.401977e+08 + i -7.145551e+07 ; 6.093641e+07 + i -1.073662e+07 ; -2.295568e+07 + i 4.438267e+06 ; -7.598418e+05 + i -2.809624e+05 ; 4.052291e+07 + i -6.059555e+06 ; -5.148485e+06 + i 1.171668e+06 ; -9.780037e+05 + i -9.214179e+03 ; 1.789939e+08 + i -1.649798e+07 ; -4.382976e+05 + i 5.165040e+05 ; 4.719708e+05 + i -4.855925e+05 ; 8.640054e+07 + i -6.434888e+06 ; 9.328650e+05 + i 5.830085e+04 ; -8.820559e+05 + i -4.647525e+04 ; 1.999617e+07 + i -5.978554e+06 ; -1.527059e+07 + i 3.134881e+06 ; 1.466535e+07 + i -3.101674e+06 ; 1.949021e+07 + i -4.462067e+06 ; -3.990466e+06 + i 9.430931e+05 ; 3.835110e+06 + i -9.285403e+05 ; 6.087856e+07 + i -1.074940e+07 ; 8.171817e+05 + i 3.052702e+05 ; 2.204840e+07 + i -4.399069e+06 ; 4.049317e+07 + i -6.066034e+06 ; 1.027989e+06 + i 1.901266e+04 ; 4.947839e+06 + i -1.154798e+06 ; 
-1.276627e+08 + i 7.193699e+06 ; 2.123551e+09 + i -2.677162e+08 ; -1.269014e+08 + i 6.728060e+06 ; -5.447971e+08 + i 7.167967e+07 ; -2.756365e+08 + i -9.903523e+05 ; -3.119045e+07 + i 3.661446e+06 ; 1.842147e+07 + i 1.187067e+06 ; -7.128752e+09 + i 5.276098e+08 ; 1.958917e+07 + i 1.211474e+06 ; 6.431900e+07 + i -3.766691e+06 ; -1.006800e+09 + i 1.250479e+08 ; 1.274889e+07 + i -4.710352e+04 ; -3.282229e+07 + i 3.708890e+06 ; -2.765267e+08 + i -8.226169e+05 ; -5.409422e+08 + i 7.155379e+07 ; -1.448140e+08 + i 2.363344e+07 ; -1.037941e+08 + i 1.705052e+07 ; -1.414138e+08 + i 2.349447e+07 ; 1.194883e+07 + i 2.752932e+03 ; -1.007963e+09 + i 1.251406e+08 ; 6.713000e+07 + i -3.398702e+06 ; 3.247649e+07 + i -2.506318e+06 ; -1.697821e+08 + i 3.850198e+07 ; 3.366665e+07 + i -2.601116e+06 ; -6.931640e+07 + i 6.778841e+06 ; -2.702518e+07 + i 4.696487e+06 ; 1.385638e+06 + i -2.731832e+04 ; -3.418310e+07 + i 2.533445e+06 ; -9.999027e+06 + i 1.842632e+06 ; 8.507353e+05 + i -5.986644e+04 ; 5.512718e+04 + i 4.848996e+05 ; -2.845548e+07 + i 5.667928e+06 ; 3.169212e+06 + i -1.766972e+05 ; -9.782913e+05 + i 4.140664e+05 ; -1.115072e+07 + i 2.077461e+06 ; 1.225702e+06 + i -1.124808e+05 ; -4.434147e+07 + i 5.127821e+06 ; -2.029140e+07 + i 3.778904e+06 ; -5.010139e+06 + i 1.061003e+06 ; -2.444147e+07 + i 2.315249e+06 ; -8.436238e+06 + i 1.627131e+06 ; -5.082205e+05 + i 1.973561e+05 ; 2.235780e+06 + i 2.836910e+05 ; -2.229743e+07 + i 4.464941e+06 ; 5.069550e+06 + i -4.043621e+05 ; 2.946645e+05 + i 3.334684e+05 ; -9.282648e+06 + i 1.820750e+06 ; 1.671618e+06 + i -1.765135e+05 ; 
-1.201862e+07 + i -1.471632e+04 ; 6.993366e+07 + i -3.076436e+06 ; -1.008258e+09 + i 1.250695e+08 ; -3.255546e+07 + i 2.489679e+06 ; 3.506551e+07 + i -2.484250e+06 ; -1.698241e+08 + i 3.850435e+07 ; -1.865111e+07 + i -1.275993e+06 ; 2.038269e+07 + i 1.393961e+06 ; -7.128760e+09 + i 5.276080e+08 ; -6.558581e+07 + i 3.294856e+06 ; 1.324715e+07 + i 2.503245e+04 ; -1.006884e+09 + i 1.250214e+08 ; 3.257527e+07 + i -3.804722e+06 ; -5.637091e+08 + i 7.080718e+07 ; -2.766087e+08 + i -8.437355e+05 ; 1.447205e+08 + i -2.367711e+07 ; -1.472512e+08 + i 2.355662e+07 ; -1.037735e+08 + i 1.705841e+07 ; 1.289328e+08 + i -6.719696e+06 ; -1.322126e+08 + i 6.123973e+06 ; 2.123295e+09 + i -2.677684e+08 ; 5.449548e+08 + i -7.160403e+07 ; -3.225905e+07 + i 3.688658e+06 ; -2.755154e+08 + i -9.332376e+05 ; -2.276151e+06 + i -3.034290e+05 ; 5.276440e+06 + i -3.887000e+05 ; -2.229641e+07 + i 4.465670e+06 ; -3.182794e+05 + i -3.455531e+05 ; 1.739395e+06 + i -1.733589e+05 ; -9.280323e+06 + i 1.821405e+06 ; -1.531537e+05 + i -5.293581e+05 ; 3.296322e+06 + i -1.649528e+05 ; -2.845386e+07 + i 5.669106e+06 ; 9.297007e+05 + i -4.371047e+05 ; 1.275266e+06 + i -1.095636e+05 ; -1.114867e+07 + i 2.078148e+06 ; 4.432145e+07 + i -5.138157e+06 ; -5.212702e+06 + i 1.074338e+06 ; -2.026091e+07 + i 3.786640e+06 ; 2.442487e+07 + i -2.322864e+06 ; -5.276688e+05 + i 2.028901e+05 ; -8.431223e+06 + i 1.628187e+06 ; 6.926264e+07 + i -6.796570e+06 ; 1.460733e+06 + i -1.381398e+04 ; -2.697440e+07 + i 4.712691e+06 ; 3.414701e+07 + i -2.546157e+06 ; 8.903928e+05 + i -5.536223e+04 ; -9.994384e+06 + i 1.843715e+06 ; 
-2.707841e+08 + i -1.544698e+06 ; 5.727766e+08 + i -7.048922e+07 ; -3.222999e+07 + i 3.749756e+06 ; -9.953985e+08 + i 1.240167e+08 ; -5.840264e+07 + i 3.904319e+06 ; 1.027166e+07 + i 6.092472e+04 ; 2.134643e+09 + i -2.681004e+08 ; 1.280050e+08 + i -7.170684e+06 ; -1.292813e+08 + i 6.664623e+06 ; -7.104304e+09 + i 5.264283e+08 ; -1.742198e+07 + i -1.481634e+06 ; 1.677294e+07 + i 1.314407e+06 ; -1.006577e+08 + i 1.662456e+07 ; 1.502760e+08 + i -2.359486e+07 ; -1.440311e+08 + i 2.363457e+07 ; -1.646622e+08 + i 3.766580e+07 ; -3.042097e+07 + i 2.205809e+06 ; 2.966456e+07 + i -2.293005e+06 ; -2.694916e+08 + i -1.302132e+06 ; 3.322629e+07 + i -3.677229e+06 ; -5.484698e+08 + i 7.153588e+07 ; -9.954803e+08 + i 1.240071e+08 ; -1.048176e+07 + i -1.027872e+05 ; 6.264793e+07 + i -3.037552e+06 ; 8.600495e+07 + i -1.788304e+07 ; -1.693054e+08 + i 2.133676e+07 ; 1.893764e+07 + i -1.742062e+06 ; 6.102810e+07 + i -1.071905e+07 ; -1.926652e+07 + i 4.237138e+06 ; 1.975036e+06 + i -6.234089e+05 ; 4.121535e+08 + i -5.065794e+07 ; -4.220927e+07 + i 1.948449e+06 ; 3.906600e+07 + i -2.393434e+06 ; 1.789762e+08 + i -1.650100e+07 ; -3.765896e+06 + i 9.660434e+05 ; 3.396469e+06 + i -9.732833e+05 ; 8.240561e+06 + i -5.654117e+06 ; -8.241341e+07 + i 1.171546e+07 ; 7.857340e+07 + i -1.185560e+07 ; 2.005852e+07 + i -5.966075e+06 ; -1.438562e+07 + i 3.014448e+06 ; 1.363983e+07 + i -3.003181e+06 ; 8.564926e+07 + i -1.794321e+07 ; -2.037896e+07 + i 1.576654e+06 ; 1.614250e+08 + i -2.175790e+07 ; 6.086109e+07 + i -1.075183e+07 ; -2.230253e+06 + i 6.150206e+05 ; 1.825397e+07 + i -4.215313e+06 ; 
5.673903e+08 + i -7.026720e+07 ; -2.767122e+08 + i -1.147612e+06 ; -3.134255e+07 + i 3.653231e+06 ; 1.175877e+08 + i -6.601069e+06 ; 2.128732e+09 + i -2.678685e+08 ; -1.281246e+08 + i 6.556236e+06 ; -6.534816e+07 + i 4.347657e+06 ; -1.006686e+09 + i 1.250713e+08 ; 1.307400e+07 + i -2.801698e+04 ; -2.223309e+07 + i -1.130707e+06 ; -7.121547e+09 + i 5.273623e+08 ; 1.992801e+07 + i 1.226026e+06 ; 1.459482e+08 + i -2.334849e+07 ; -1.039610e+08 + i 1.704639e+07 ; -1.430623e+08 + i 2.351444e+07 ; 2.565274e+07 + i -3.167071e+06 ; -2.714699e+08 + i -9.399838e+05 ; -5.467447e+08 + i 7.135213e+07 ; -3.619873e+07 + i 2.622116e+06 ; -1.698271e+08 + i 3.849252e+07 ; 3.423044e+07 + i -2.574781e+06 ; -1.436464e+07 + i 2.111721e+05 ; -1.001752e+09 + i 1.248622e+08 ; 6.820184e+07 + i -3.377369e+06 ; -1.680829e+08 + i 2.182050e+07 ; -1.032146e+08 + i 8.319643e+06 ; -6.228353e+06 + i 5.861864e+05 ; -7.411632e+07 + i 7.119932e+06 ; -2.692648e+07 + i 4.719448e+06 ; 9.277750e+05 + i 8.961855e+04 ; 2.983257e+07 + i -1.114263e+06 ; -1.966639e+08 + i 2.471171e+07 ; 6.540347e+06 + i -9.343435e+04 ; 1.596899e+07 + i 4.937379e+04 ; -2.843913e+07 + i 5.673058e+06 ; 2.516400e+06 + i -1.822091e+05 ; -8.296108e+07 + i 1.185261e+07 ; -6.614246e+07 + i 8.217923e+06 ; -4.361358e+07 + i 6.673345e+06 ; -4.315369e+07 + i 5.140201e+06 ; -2.023266e+07 + i 3.789997e+06 ; -3.198911e+06 + i 9.751118e+05 ; 1.986104e+07 + i -1.143995e+06 ; -1.011597e+08 + i 1.549645e+07 ; 1.363915e+07 + i -8.337281e+05 ; 1.234741e+07 + i -2.991164e+05 ; -2.229128e+07 + i 4.466175e+06 ; 4.061606e+06 + i -4.069267e+05 ; 
