-1.039771e+10 + i 1.669557e+09 ; -2.592072e+07 + i -5.018675e+06 ; -2.592675e+07 + i -5.020202e+06 ; 3.234661e+09 + i -8.828450e+08 ; 1.830709e+08 + i -1.718744e+07 ; 1.830687e+08 + i -1.719092e+07 ; -1.517541e+09 + i 4.139908e+08 ; -9.701492e+07 + i 8.842988e+06 ; -1.831981e+07 + i -7.617171e+05 ; -3.818721e+08 + i -2.313688e+07 ; 8.113965e+08 + i -2.375655e+08 ; 4.706290e+07 + i -1.090703e+07 ; -1.517540e+09 + i 4.139930e+08 ; -1.831685e+07 + i -7.611743e+05 ; -9.701413e+07 + i 8.842662e+06 ; -3.818763e+08 + i -2.313513e+07 ; 4.707865e+07 + i -1.088733e+07 ; 8.113969e+08 + i -2.375647e+08 ; -2.697056e+08 + i 1.336834e+08 ; -5.005903e+07 + i 7.297796e+06 ; -5.005238e+07 + i 7.304198e+06 ; -1.616989e+08 + i 5.138444e+07 ; 2.151165e+08 + i -7.990679e+07 ; 2.151168e+08 + i -7.990590e+07 ; 2.662945e+08 + i -5.144533e+07 ; 1.203755e+06 + i -1.664231e+06 ; 1.205045e+06 + i -1.663977e+06 ; 1.269103e+08 + i -1.939182e+07 ; -1.214503e+06 + i -2.534872e+05 ; -1.214647e+06 + i -2.535347e+05 ; 9.572018e+07 + i -3.602586e+07 ; 3.418126e+07 + i -1.533017e+07 ; -7.597191e+05 + i -1.051894e+06 ; 6.298427e+07 + i -1.964089e+07 ; 7.684578e+06 + i -4.169462e+06 ; -1.387299e+06 + i -1.256654e+05 ; 9.572075e+07 + i -3.602430e+07 ; -7.585901e+05 + i -1.049791e+06 ; 3.418142e+07 + i -1.533004e+07 ; 6.298423e+07 + i -1.964046e+07 ; -1.386790e+06 + i -1.251844e+05 ; 7.684573e+06 + i -4.169488e+06 ; 3.309493e+07 + i -2.154163e+07 ; 2.278339e+07 + i -1.093829e+07 ; 2.278323e+07 + i -1.093856e+07 ; 3.158733e+07 + i -1.541691e+07 ; 5.955226e+06 + i -3.378268e+06 ; 5.955156e+06 + i -3.378258e+06 ; 
-2.427495e+07 + i -5.195202e+06 ; -1.040538e+10 + i 1.669353e+09 ; -2.573269e+07 + i -5.082024e+06 ; -9.459354e+07 + i 8.495087e+06 ; -1.521409e+09 + i 4.139761e+08 ; -1.801550e+07 + i -7.931843e+05 ; 1.864886e+08 + i -1.721969e+07 ; 3.218264e+09 + i -8.824108e+08 ; 1.835595e+08 + i -1.731289e+07 ; 8.187528e+08 + i -2.379908e+08 ; -3.906788e+08 + i -2.211506e+07 ; 4.759701e+07 + i -1.100870e+07 ; -1.688612e+07 + i -9.672959e+05 ; -1.523126e+09 + i 4.143134e+08 ; -9.679366e+07 + i 8.766818e+06 ; -4.811700e+07 + i 6.925399e+06 ; -2.721662e+08 + i 1.339736e+08 ; -4.974686e+07 + i 7.271800e+06 ; 5.006304e+07 + i -1.100748e+07 ; -3.923675e+08 + i -2.191448e+07 ; 8.125527e+08 + i -2.378535e+08 ; 2.212096e+08 + i -8.043234e+07 ; -1.668796e+08 + i 5.261387e+07 ; 2.161273e+08 + i -8.012901e+07 ; 4.650437e+05 + i -1.760016e+06 ; -4.492286e+07 + i 1.960088e+07 ; -4.634973e+06 + i 4.216954e+05 ; 1.871559e+06 + i -1.378437e+06 ; -1.737185e+07 + i 7.258589e+06 ; -1.845641e+06 + i 3.149309e+05 ; 1.023964e+08 + i -2.145307e+07 ; -4.247112e+07 + i 1.576384e+07 ; -1.983659e+06 + i -5.438810e+03 ; 4.977455e+07 + i -7.608676e+06 ; -1.562072e+07 + i 6.398995e+06 ; -1.262120e+06 + i 1.538077e+05 ; -2.797032e+06 + i -1.151474e+06 ; -3.508877e+07 + i 1.560608e+07 ; -7.507914e+06 + i 1.142403e+06 ; -7.005340e+03 + i -1.178637e+06 ; -1.451759e+07 + i 6.402639e+06 ; -2.527138e+06 + i 5.253329e+05 ; 6.632041e+07 + i -1.650297e+07 ; -3.194895e+07 + i 1.296250e+07 ; 7.747320e+06 + i -3.773936e+06 ; 3.618525e+07 + i -7.135581e+06 ; -1.321330e+07 + i 5.691146e+06 ; 8.153753e+05 + i -7.516267e+05 ; 
-2.428655e+07 + i -5.199329e+06 ; -2.573309e+07 + i -5.082130e+06 ; -1.040539e+10 + i 1.669342e+09 ; -9.459300e+07 + i 8.495099e+06 ; -1.801605e+07 + i -7.933146e+05 ; -1.521429e+09 + i 4.139728e+08 ; -1.689206e+07 + i -9.680248e+05 ; -9.679600e+07 + i 8.762246e+06 ; -1.523176e+09 + i 4.142418e+08 ; -4.811057e+07 + i 6.931578e+06 ; -4.974843e+07 + i 7.269579e+06 ; -2.721847e+08 + i 1.339666e+08 ; 1.864875e+08 + i -1.721952e+07 ; 1.835581e+08 + i -1.731566e+07 ; 3.218238e+09 + i -8.824458e+08 ; 8.187536e+08 + i -2.379897e+08 ; 4.759543e+07 + i -1.101095e+07 ; -3.906920e+08 + i -2.212870e+07 ; 5.004181e+07 + i -1.102017e+07 ; 8.125525e+08 + i -2.378540e+08 ; -3.923706e+08 + i -2.191858e+07 ; 2.212050e+08 + i -8.043634e+07 ; 2.161258e+08 + i -8.013009e+07 ; -1.668905e+08 + i 5.261427e+07 ; 4.677704e+05 + i -1.759271e+06 ; -4.635003e+06 + i 4.216382e+05 ; -4.492545e+07 + i 1.960019e+07 ; 1.872206e+06 + i -1.378165e+06 ; -1.845704e+06 + i 3.148933e+05 ; -1.737191e+07 + i 7.258842e+06 ; -2.792942e+06 + i -1.149635e+06 ; -7.508002e+06 + i 1.142296e+06 ; -3.509047e+07 + i 1.560566e+07 ; -5.020056e+03 + i -1.177408e+06 ; -2.527137e+06 + i 5.253583e+05 ; -1.451757e+07 + i 6.403030e+06 ; 1.023957e+08 + i -2.145346e+07 ; -1.983806e+06 + i -5.734551e+03 ; -4.247376e+07 + i 1.576167e+07 ; 4.977423e+07 + i -7.608871e+06 ; -1.262213e+06 + i 1.536965e+05 ; -1.562164e+07 + i 6.398402e+06 ; 6.632344e+07 + i -1.650218e+07 ; 7.747401e+06 + i -3.773858e+06 ; -3.194974e+07 + i 1.296181e+07 ; 3.618591e+07 + i -7.135469e+06 ; 8.153877e+05 + i -7.515780e+05 ; -1.321393e+07 + i 5.690838e+06 ; 
3.234916e+09 + i -8.826877e+08 ; -1.869782e+08 + i 1.690907e+07 ; -1.869754e+08 + i 1.691361e+07 ; -1.036995e+10 + i 1.666305e+09 ; 2.161006e+07 + i 5.230023e+06 ; 2.161634e+07 + i 5.231867e+06 ; -3.817892e+08 + i -2.308899e+07 ; -8.239909e+08 + i 2.372205e+08 ; -4.930651e+07 + i 1.116570e+07 ; -1.504309e+09 + i 4.110317e+08 ; 9.024916e+07 + i -7.710978e+06 ; 1.439377e+07 + i 1.004106e+06 ; -3.817987e+08 + i -2.309090e+07 ; -4.931953e+07 + i 1.114781e+07 ; -8.239913e+08 + i 2.372197e+08 ; -1.504299e+09 + i 4.110414e+08 ; 1.439017e+07 + i 1.002939e+06 ; 9.024820e+07 + i -7.711156e+06 ; -1.616774e+08 + i 5.139542e+07 ; -2.202236e+08 + i 8.042137e+07 ; -2.202241e+08 + i 8.042001e+07 ; -2.639323e+08 + i 1.313896e+08 ; 4.389383e+07 + i -6.380970e+06 ; 4.389191e+07 + i -6.383673e+06 ; 6.228814e+08 + i -1.668839e+08 ; 5.698039e+07 + i -6.374742e+06 ; 5.697977e+07 + i -6.376095e+06 ; 2.662814e+08 + i -5.145095e+07 ; 5.858478e+06 + i -3.191054e+06 ; 5.856613e+06 + i -3.191908e+06 ; 1.357663e+08 + i -6.233992e+07 ; 2.431051e+08 + i -7.240901e+07 ; 2.836783e+07 + i -5.039281e+06 ; 9.570400e+07 + i -3.602871e+07 ; 2.878272e+07 + i -1.484129e+07 ; 3.421723e+06 + i -2.127350e+06 ; 1.357751e+08 + i -6.233614e+07 ; 2.837058e+07 + i -5.034695e+06 ; 2.431056e+08 + i -7.240839e+07 ; 9.570800e+07 + i -3.602695e+07 ; 3.423712e+06 + i -2.125630e+06 ; 2.878317e+07 + i -1.484097e+07 ; 1.524513e+07 + i -2.174545e+07 ; 1.193274e+08 + i -3.998051e+07 ; 1.193284e+08 + i -3.997933e+07 ; 3.308333e+07 + i -2.154080e+07 ; 2.128623e+07 + i -1.064280e+07 ; 2.128668e+07 + i -1.064196e+07 ; 
1.036248e+08 + i -7.855893e+06 ; -1.521654e+09 + i 4.138169e+08 ; -1.845297e+07 + i -8.773949e+05 ; 2.940952e+07 + i 4.783524e+06 ; -1.039512e+10 + i 1.668715e+09 ; -2.618994e+07 + i -5.141370e+06 ; -8.477827e+08 + i 2.331283e+08 ; -3.906566e+08 + i -2.209566e+07 ; 4.787160e+07 + i -1.093405e+07 ; -1.784870e+08 + i 1.336969e+07 ; 3.226134e+09 + i -8.823528e+08 ; 1.852071e+08 + i -1.663546e+07 ; 5.400452e+07 + i -7.117397e+06 ; -2.722165e+08 + i 1.339601e+08 ; -5.054945e+07 + i 7.137961e+06 ; 2.065101e+07 + i 3.694696e+05 ; -1.514101e+09 + i 4.136764e+08 ; -9.833958e+07 + i 8.625844e+06 ; -2.225819e+08 + i 7.942042e+07 ; -1.668876e+08 + i 5.260531e+07 ; 2.187418e+08 + i -8.005064e+07 ; -4.003635e+07 + i 9.450195e+06 ; -3.851126e+08 + i -2.204255e+07 ; 8.213769e+08 + i -2.366729e+08 ; -4.097702e+07 + i 3.397012e+06 ; -2.977003e+08 + i 8.172036e+07 ; -9.230086e+06 + i -4.504541e+04 ; -2.135448e+07 + i -4.373662e+05 ; -4.490497e+07 + i 1.962351e+07 ; -3.755977e+06 + i 4.506678e+05 ; 2.525537e+08 + i -7.244669e+07 ; -1.536692e+08 + i 2.446273e+07 ; 9.306573e+06 + i -1.738376e+06 ; 1.097424e+08 + i -2.229157e+07 ; -4.247276e+07 + i 1.576631e+07 ; -1.201396e+06 + i -3.734489e+05 ; -2.820923e+07 + i 3.317717e+06 ; -1.557502e+08 + i 5.220791e+07 ; -1.989262e+07 + i 2.219643e+06 ; -1.715575e+07 + i 5.666164e+05 ; -3.507453e+07 + i 1.562020e+07 ; -6.128515e+06 + i 1.186186e+06 ; 1.254400e+08 + i -3.987012e+07 ; -1.014355e+08 + i 2.602692e+07 ; 6.623933e+07 + i -2.260082e+07 ; 6.482825e+07 + i -1.659761e+07 ; -3.194885e+07 + i 1.296387e+07 ; 5.159736e+06 + i -3.546838e+06 ; 
1.036263e+08 + i -7.854802e+06 ; -1.845359e+07 + i -8.775866e+05 ; -1.521675e+09 + i 4.138141e+08 ; 2.941606e+07 + i 4.785307e+06 ; -2.619032e+07 + i -5.141428e+06 ; -1.039513e+10 + i 1.668706e+09 ; 5.400469e+07 + i -7.118925e+06 ; -5.055103e+07 + i 7.135681e+06 ; -2.722328e+08 + i 1.339561e+08 ; 2.065418e+07 + i 3.689381e+05 ; -9.834157e+07 + i 8.621665e+06 ; -1.514162e+09 + i 4.135967e+08 ; -8.477824e+08 + i 2.331282e+08 ; 4.787023e+07 + i -1.093603e+07 ; -3.906693e+08 + i -2.211015e+07 ; -1.784862e+08 + i 1.336955e+07 ; 1.852054e+08 + i -1.663868e+07 ; 3.226111e+09 + i -8.823842e+08 ; -2.225763e+08 + i 7.942538e+07 ; 2.187406e+08 + i -8.005105e+07 ; -1.668799e+08 + i 5.262162e+07 ; -4.002596e+07 + i 9.456597e+06 ; 8.213765e+08 + i -2.366737e+08 ; -3.851153e+08 + i -2.204688e+07 ; -4.097881e+07 + i 3.395874e+06 ; -9.230015e+06 + i -4.508775e+04 ; -2.976926e+08 + i 8.172396e+07 ; -2.135652e+07 + i -4.381432e+05 ; -3.756111e+06 + i 4.505820e+05 ; -4.490286e+07 + i 1.962483e+07 ; -2.820910e+07 + i 3.317790e+06 ; -1.989266e+07 + i 2.219248e+06 ; -1.557494e+08 + i 5.220645e+07 ; -1.715589e+07 + i 5.670923e+05 ; -6.128544e+06 + i 1.186151e+06 ; -3.507324e+07 + i 1.562137e+07 ; 2.525536e+08 + i -7.244655e+07 ; 9.306399e+06 + i -1.738931e+06 ; -1.536708e+08 + i 2.445832e+07 ; 1.097423e+08 + i -2.229134e+07 ; -1.201612e+06 + i -3.737399e+05 ; -4.247446e+07 + i 1.576463e+07 ; 1.254369e+08 + i -3.987259e+07 ; 6.623984e+07 + i -2.260044e+07 ; -1.014331e+08 + i 2.602617e+07 ; 6.482528e+07 + i -1.659956e+07 ; 5.159704e+06 + i -3.546792e+06 ; -3.195033e+07 + i 1.296262e+07 ; 
-1.517797e+09 + i 4.138074e+08 ; 1.006188e+08 + i -8.838619e+06 ; -1.854483e+07 + i -8.596019e+05 ; -3.820241e+08 + i -2.336442e+07 ; -8.526985e+08 + i 2.333539e+08 ; 4.760748e+07 + i -1.085456e+07 ; -1.039778e+10 + i 1.669455e+09 ; 2.677002e+07 + i 5.325010e+06 ; -2.620966e+07 + i -5.197115e+06 ; 3.234625e+09 + i -8.829324e+08 ; -1.907644e+08 + i 1.592886e+07 ; 1.853134e+08 + i -1.655419e+07 ; -2.697736e+08 + i 1.336453e+08 ; 5.237239e+07 + i -6.783948e+06 ; -5.067361e+07 + i 7.162736e+06 ; -1.617570e+08 + i 5.132639e+07 ; -2.263826e+08 + i 7.953012e+07 ; 2.180276e+08 + i -7.985607e+07 ; -1.517547e+09 + i 4.139972e+08 ; 1.904892e+07 + i 1.053084e+06 ; -9.819873e+07 + i 8.502533e+06 ; -3.818706e+08 + i -2.312567e+07 ; -4.932354e+07 + i 1.059516e+07 ; 8.220579e+08 + i -2.366432e+08 ; 9.578277e+07 + i -3.598526e+07 ; -3.599776e+07 + i 1.541246e+07 ; -7.724098e+05 + i -1.071931e+06 ; 6.301333e+07 + i -1.962229e+07 ; -8.102356e+06 + i 4.225120e+06 ; -1.405038e+06 + i -1.341602e+05 ; 2.662996e+08 + i -5.144170e+07 ; -1.236990e+06 + i 1.766226e+06 ; 1.230945e+06 + i -1.676664e+06 ; 1.269095e+08 + i -1.939115e+07 ; 1.279436e+06 + i 3.019474e+05 ; -1.226586e+06 + i -2.616191e+05 ; 3.311670e+07 + i -2.153737e+07 ; -2.400763e+07 + i 1.102625e+07 ; 2.310206e+07 + i -1.096322e+07 ; 3.160279e+07 + i -1.541253e+07 ; -6.281346e+06 + i 3.428453e+06 ; 6.041104e+06 + i -3.390645e+06 ; 9.572556e+07 + i -3.602027e+07 ; 8.121467e+05 + i 1.146663e+06 ; 3.465541e+07 + i -1.535357e+07 ; 6.298393e+07 + i -1.963908e+07 ; 1.460269e+06 + i 1.686388e+05 ; 7.794499e+06 + i -4.183220e+06 ; 
-1.876420e+08 + i 1.801052e+07 ; 3.218513e+09 + i -8.822789e+08 ; -1.858266e+08 + i 1.665730e+07 ; -8.287841e+08 + i 2.371480e+08 ; -3.907623e+08 + i -2.230293e+07 ; -4.822581e+07 + i 1.091053e+07 ; 2.436603e+07 + i 5.118900e+06 ; -1.040546e+10 + i 1.669275e+09 ; 2.593693e+07 + i 5.215091e+06 ; 9.467583e+07 + i -9.628023e+06 ; -1.521405e+09 + i 4.140337e+08 ; 1.818350e+07 + i 8.641476e+05 ; -5.056280e+07 + i 1.100245e+07 ; -3.922684e+08 + i -2.183614e+07 ; -8.232266e+08 + i 2.369353e+08 ; -2.239759e+08 + i 8.038334e+07 ; -1.668980e+08 + i 5.259050e+07 ; -2.190416e+08 + i 8.008598e+07 ; 1.699179e+07 + i 9.732850e+05 ; -1.523155e+09 + i 4.142813e+08 ; 9.798364e+07 + i -8.419300e+06 ; 4.856707e+07 + i -6.899925e+06 ; -2.721799e+08 + i 1.339563e+08 ; 5.037303e+07 + i -7.124878e+06 ; -1.036626e+08 + i 2.118246e+07 ; -4.251595e+07 + i 1.571550e+07 ; 2.006037e+06 + i 1.405869e+04 ; -5.038246e+07 + i 7.435795e+06 ; -1.562615e+07 + i 6.394691e+06 ; 1.277390e+06 + i -1.499336e+05 ; -5.358063e+05 + i 1.653079e+06 ; -4.493010e+07 + i 1.959583e+07 ; 4.688152e+06 + i -4.067653e+05 ; -1.923164e+06 + i 1.323681e+06 ; -1.737489e+07 + i 7.256269e+06 ; 1.868130e+06 + i -3.103243e+05 ; -6.715131e+07 + i 1.635973e+07 ; -3.197918e+07 + i 1.293842e+07 ; -7.855668e+06 + i 3.783358e+06 ; -3.663460e+07 + i 7.029581e+06 ; -1.321939e+07 + i 5.687311e+06 ; -8.281891e+05 + i 7.569974e+05 ; 2.789420e+06 + i 1.112955e+06 ; -3.508898e+07 + i 1.560661e+07 ; 7.601956e+06 + i -1.121080e+06 ; -1.599312e+04 + i 1.153449e+06 ; -1.451819e+07 + i 6.401938e+06 ; 2.559552e+06 + i -5.197384e+05 ; 
-1.707295e+07 + i -1.024868e+06 ; 1.013912e+08 + i -7.311954e+06 ; -1.523441e+09 + i 4.140791e+08 ; -4.866494e+07 + i 6.816023e+06 ; 5.216077e+07 + i -6.666173e+06 ; -2.722480e+08 + i 1.339463e+08 ; -2.452318e+07 + i -5.354936e+06 ; 2.672489e+07 + i 5.749058e+06 ; -1.040547e+10 + i 1.669269e+09 ; -9.567313e+07 + i 8.173261e+06 ; 1.876515e+07 + i 1.114635e+06 ; -1.521477e+09 + i 4.139519e+08 ; 5.039353e+07 + i -1.125958e+07 ; -8.540693e+08 + i 2.332685e+08 ; -3.923454e+08 + i -2.189648e+07 ; 2.239237e+08 + i -8.049862e+07 ; -2.273876e+08 + i 7.985221e+07 ; -1.668780e+08 + i 5.262176e+07 ; 1.886405e+08 + i -1.654771e+07 ; -1.922980e+08 + i 1.455872e+07 ; 3.218246e+09 + i -8.824311e+08 ; 8.288630e+08 + i -2.369541e+08 ; -4.980132e+07 + i 1.087129e+07 ; -3.906829e+08 + i -2.211953e+07 ; -2.812850e+06 + i -1.172957e+06 ; 7.869593e+06 + i -1.057484e+06 ; -3.508894e+07 + i 1.560836e+07 ; 3.705462e+03 + i -1.189393e+06 ; 2.651045e+06 + i -5.038163e+05 ; -1.451603e+07 + i 6.404108e+06 ; 4.765747e+05 + i -1.779796e+06 ; 4.849010e+06 + i -3.611882e+05 ; -4.493001e+07 + i 1.959908e+07 ; 1.896465e+06 + i -1.387256e+06 ; 1.934050e+06 + i -2.967528e+05 ; -1.737319e+07 + i 7.258608e+06 ; 6.713969e+07 + i -1.639252e+07 ; -8.161970e+06 + i 3.811982e+06 ; -3.194921e+07 + i 1.296295e+07 ; 3.662373e+07 + i -7.053806e+06 ; -8.637620e+05 + i 7.738219e+05 ; -1.321386e+07 + i 5.691080e+06 ; 1.036158e+08 + i -2.124068e+07 ; 2.089836e+06 + i 6.002829e+04 ; -4.247321e+07 + i 1.576244e+07 ; 5.035336e+07 + i -7.475543e+06 ; 1.326398e+06 + i -1.329123e+05 ; -1.562112e+07 + i 6.398784e+06 ; 
-3.831902e+08 + i -2.381069e+07 ; 8.662328e+08 + i -2.318888e+08 ; -4.981486e+07 + i 1.112523e+07 ; -1.504183e+09 + i 4.110907e+08 ; -8.673070e+07 + i 1.017943e+07 ; 1.455550e+07 + i 1.077107e+06 ; 3.234517e+09 + i -8.830015e+08 ; 1.881081e+08 + i -1.786654e+07 ; -1.890490e+08 + i 1.634732e+07 ; -1.036990e+10 + i 1.666339e+09 ; -2.243874e+07 + i -5.847897e+06 ; 2.183157e+07 + i 5.376380e+06 ; -1.619515e+08 + i 5.132205e+07 ; 2.316465e+08 + i -7.986532e+07 ; -2.229085e+08 + i 8.039381e+07 ; -2.639863e+08 + i 1.313446e+08 ; -4.528788e+07 + i 6.007862e+06 ; 4.438487e+07 + i -6.277209e+06 ; -3.817901e+08 + i -2.306195e+07 ; 5.109267e+07 + i -1.085846e+07 ; -8.337577e+08 + i 2.364558e+08 ; -1.504282e+09 + i 4.110568e+08 ; -1.477506e+07 + i -1.197640e+06 ; 9.124372e+07 + i -7.433608e+06 ; 1.361773e+08 + i -6.213970e+07 ; -2.563797e+08 + i 7.050612e+07 ; 2.867284e+07 + i -4.990411e+06 ; 9.588241e+07 + i -3.592913e+07 ; -3.062011e+07 + i 1.486480e+07 ; 3.459727e+06 + i -2.139816e+06 ; 6.228918e+08 + i -1.668779e+08 ; -6.129681e+07 + i 4.738902e+06 ; 5.762189e+07 + i -6.213546e+06 ; 2.662796e+08 + i -5.145237e+07 ; -6.456710e+06 + i 3.126673e+06 ; 5.933934e+06 + i -3.201848e+06 ; 1.542530e+07 + i -2.167639e+07 ; -1.259436e+08 + i 3.926709e+07 ; 1.207670e+08 + i -3.992814e+07 ; 3.318377e+07 + i -2.149680e+07 ; -2.263007e+07 + i 1.064935e+07 ; 2.155810e+07 + i -1.067006e+07 ; 1.357780e+08 + i -6.233460e+07 ; -3.043477e+07 + i 4.399546e+06 ; 2.459962e+08 + i -7.220935e+07 ; 9.570509e+07 + i -3.602838e+07 ; -3.813403e+06 + i 2.084570e+06 ; 2.915034e+07 + i -1.488434e+07 ; 
8.584221e+08 + i -2.314048e+08 ; -3.920014e+08 + i -2.279576e+07 ; -4.844038e+07 + i 1.085233e+07 ; 1.728340e+08 + i -1.644004e+07 ; 3.226006e+09 + i -8.824622e+08 ; -1.872776e+08 + i 1.605467e+07 ; -9.701218e+07 + i 1.132663e+07 ; -1.521288e+09 + i 4.141025e+08 ; 1.860659e+07 + i 9.396709e+05 ; -2.962398e+07 + i -4.913954e+06 ; -1.039510e+10 + i 1.668755e+09 ; 2.637565e+07 + i 5.257871e+06 ; 2.252749e+08 + i -7.925713e+07 ; -1.671307e+08 + i 5.255643e+07 ; -2.214005e+08 + i 8.003401e+07 ; 3.986028e+07 + i -9.502313e+06 ; -3.850244e+08 + i -2.195571e+07 ; -8.311105e+08 + i 2.359194e+08 ; -5.390095e+07 + i 7.126337e+06 ; -2.722261e+08 + i 1.339286e+08 ; 5.112471e+07 + i -7.007009e+06 ; -2.061067e+07 + i -3.336217e+05 ; -1.514115e+09 + i 4.136515e+08 ; 9.943504e+07 + i -8.316714e+06 ; -2.553496e+08 + i 7.212497e+07 ; -1.532722e+08 + i 2.464659e+07 ; -9.415600e+06 + i 1.717368e+06 ; -1.108092e+08 + i 2.210306e+07 ; -4.241623e+07 + i 1.578672e+07 ; 1.211363e+06 + i 3.815563e+05 ; 4.298768e+07 + i -2.456149e+06 ; -2.977276e+08 + i 8.169860e+07 ; 9.316742e+06 + i 7.603125e+04 ; 2.223428e+07 + i 9.316581e+05 ; -4.491635e+07 + i 1.961065e+07 ; 3.794847e+06 + i -4.416425e+05 ; -1.268523e+08 + i 3.974843e+07 ; -1.012704e+08 + i 2.609037e+07 ; -6.703777e+07 + i 2.257825e+07 ; -6.546886e+07 + i 1.652003e+07 ; -3.191427e+07 + i 1.297622e+07 ; -5.228566e+06 + i 3.564691e+06 ; 2.919487e+07 + i -2.912801e+06 ; -1.557624e+08 + i 5.219788e+07 ; 2.011483e+07 + i -2.163212e+06 ; 1.771292e+07 + i -3.021206e+05 ; -3.508220e+07 + i 1.561135e+07 ; 6.199395e+06 + i -1.173848e+06 ; 
