-1.792918e+10 + i 7.784493e+08 ; -2.029622e+07 + i -3.471298e+06 ; -2.030009e+07 + i -3.472125e+06 ; 6.518805e+09 + i -4.616982e+08 ; 2.596913e+08 + i 1.956423e+06 ; 2.596914e+08 + i 1.956028e+06 ; -3.080340e+09 + i 2.247495e+08 ; -1.378451e+08 + i -9.182941e+05 ; -1.884682e+07 + i -1.723269e+06 ; -3.617178e+08 + i -4.912625e+07 ; 1.679602e+09 + i -1.261221e+08 ; 8.056631e+07 + i -2.127678e+06 ; -3.080341e+09 + i 2.247495e+08 ; -1.884636e+07 + i -1.722700e+06 ; -1.378447e+08 + i -9.181865e+05 ; -3.617216e+08 + i -4.912675e+07 ; 8.056569e+07 + i -2.124617e+06 ; 1.679601e+09 + i -1.261220e+08 ; -7.266172e+08 + i 8.448140e+07 ; -7.645450e+07 + i 5.165599e+05 ; -7.645242e+07 + i 5.176042e+05 ; -3.057441e+08 + i 1.282647e+07 ; 4.985817e+08 + i -4.685425e+07 ; 4.985813e+08 + i -4.685419e+07 ; 4.701804e+08 + i -2.127386e+07 ; 5.244946e+06 + i -6.850313e+05 ; 5.245933e+06 + i -6.848610e+05 ; 2.106045e+08 + i -7.055943e+06 ; -6.309476e+05 + i -2.532086e+05 ; -6.310072e+05 + i -2.532304e+05 ; 2.162673e+08 + i -1.861964e+07 ; 8.792497e+07 + i -9.674480e+06 ; 1.693399e+06 + i -5.726598e+05 ; 1.284737e+08 + i -8.717029e+06 ; 2.278641e+07 + i -3.020475e+06 ; -1.124982e+06 + i -2.078760e+05 ; 2.162670e+08 + i -1.861952e+07 ; 1.692557e+06 + i -5.723677e+05 ; 8.792502e+07 + i -9.674453e+06 ; 1.284736e+08 + i -8.717025e+06 ; -1.125082e+06 + i -2.077629e+05 ; 2.278640e+07 + i -3.020475e+06 ; 1.040329e+08 + i -1.366693e+07 ; 6.142890e+07 + i -7.216860e+06 ; 6.142887e+07 + i -7.216886e+06 ; 8.065734e+07 + i -8.137904e+06 ; 1.830592e+07 + i -2.527036e+06 ; 1.830584e+07 + i -2.527043e+06 ; 
-1.802331e+07 + i -3.432784e+06 ; -1.793815e+10 + i 7.780064e+08 ; -1.994129e+07 + i -3.484206e+06 ; -1.342916e+08 + i -9.032059e+05 ; -3.084857e+09 + i 2.245084e+08 ; -1.841578e+07 + i -1.719140e+06 ; 2.638710e+08 + i 2.125197e+06 ; 6.497773e+09 + i -4.622914e+08 ; 2.604893e+08 + i 1.948496e+06 ; 1.689430e+09 + i -1.259245e+08 ; -3.743726e+08 + i -4.920980e+07 ; 8.138220e+07 + i -2.127430e+06 ; -1.678192e+07 + i -1.703567e+06 ; -3.087525e+09 + i 2.245255e+08 ; -1.374086e+08 + i -9.394865e+05 ; -7.343026e+07 + i 4.985719e+05 ; -7.299023e+08 + i 8.438595e+07 ; -7.600929e+07 + i 5.188339e+05 ; 8.435559e+07 + i -1.999378e+06 ; -3.767598e+08 + i -4.923807e+07 ; 1.681611e+09 + i -1.261788e+08 ; 5.070230e+08 + i -4.674222e+07 ; -3.144008e+08 + i 1.299218e+07 ; 5.002771e+08 + i -4.689220e+07 ; 4.162751e+06 + i -6.489720e+05 ; -1.128045e+08 + i 1.194089e+07 ; -6.327342e+06 + i -1.213823e+05 ; 4.911574e+06 + i -3.787056e+05 ; -4.334504e+07 + i 4.606292e+06 ; -2.839036e+06 + i 1.149284e+04 ; 1.842971e+08 + i -8.891668e+06 ; -9.488369e+07 + i 7.879178e+06 ; -2.205279e+06 + i -1.586824e+05 ; 8.133121e+07 + i -2.344295e+06 ; -3.803577e+07 + i 3.805289e+06 ; -1.790861e+06 + i -2.330668e+04 ; -9.026985e+05 + i -6.133486e+05 ; -8.982292e+07 + i 9.810606e+06 ; -1.155916e+07 + i 9.086030e+04 ; 2.380396e+06 + i -4.351212e+05 ; -3.740613e+07 + i 4.158990e+06 ; -4.202831e+06 + i 9.038422e+04 ; 1.261745e+08 + i -7.313544e+06 ; -7.563248e+07 + i 7.026492e+06 ; 2.130285e+07 + i -2.586240e+06 ; 6.280084e+07 + i -2.481643e+06 ; -3.319793e+07 + i 3.491192e+06 ; 3.621432e+06 + i -6.522854e+05 ; 
-1.803054e+07 + i -3.434393e+06 ; -1.994149e+07 + i -3.484262e+06 ; -1.793815e+10 + i 7.780052e+08 ; -1.342913e+08 + i -9.031308e+05 ; -1.841607e+07 + i -1.719217e+06 ; -3.084871e+09 + i 2.245057e+08 ; -1.678612e+07 + i -1.704356e+06 ; -1.374083e+08 + i -9.399181e+05 ; -3.087517e+09 + i 2.245152e+08 ; -7.342806e+07 + i 4.995731e+05 ; -7.600926e+07 + i 5.185611e+05 ; -7.299061e+08 + i 8.438257e+07 ; 2.638703e+08 + i 2.125048e+06 ; 2.604895e+08 + i 1.948236e+06 ; 6.497775e+09 + i -4.622968e+08 ; 1.689431e+09 + i -1.259244e+08 ; 8.138210e+07 + i -2.127697e+06 ; -3.743720e+08 + i -4.921248e+07 ; 8.434491e+07 + i -2.002468e+06 ; 1.681611e+09 + i -1.261788e+08 ; -3.767615e+08 + i -4.923856e+07 ; 5.070211e+08 + i -4.674292e+07 ; 5.002764e+08 + i -4.689243e+07 ; -3.144098e+08 + i 1.299080e+07 ; 4.164533e+06 + i -6.486004e+05 ; -6.327339e+06 + i -1.213871e+05 ; -1.128061e+08 + i 1.194052e+07 ; 4.911922e+06 + i -3.786141e+05 ; -2.839063e+06 + i 1.148360e+04 ; -4.334522e+07 + i 4.606291e+06 ; -9.002991e+05 + i -6.127722e+05 ; -1.155915e+07 + i 9.084476e+04 ; -8.982390e+07 + i 9.810353e+06 ; 2.381404e+06 + i -4.348313e+05 ; -4.202834e+06 + i 9.038442e+04 ; -3.740641e+07 + i 4.159015e+06 ; 1.842968e+08 + i -8.891765e+06 ; -2.205234e+06 + i -1.587101e+05 ; -9.488397e+07 + i 7.878687e+06 ; 8.133108e+07 + i -2.344341e+06 ; -1.790860e+06 + i -2.332255e+04 ; -3.803591e+07 + i 3.805113e+06 ; 1.261764e+08 + i -7.313130e+06 ; 2.130288e+07 + i -2.586227e+06 ; -7.563268e+07 + i 7.026370e+06 ; 6.280125e+07 + i -2.481555e+06 ; 3.621426e+06 + i -6.522829e+05 ; -3.319822e+07 + i 3.491099e+06 ; 
6.518940e+09 + i -4.616612e+08 ; -2.640279e+08 + i -2.210516e+06 ; -2.640279e+08 + i -2.210021e+06 ; -1.788811e+10 + i 7.783858e+08 ; 1.481115e+07 + i 3.284873e+06 ; 1.481509e+07 + i 3.285738e+06 ; -3.616730e+08 + i -4.911430e+07 ; -1.693998e+09 + i 1.253159e+08 ; -8.370662e+07 + i 2.083901e+06 ; -3.057753e+09 + i 2.241403e+08 ; 1.273340e+08 + i 1.005744e+06 ; 1.372305e+07 + i 1.577475e+06 ; -3.616798e+08 + i -4.911557e+07 ; -8.370467e+07 + i 2.081248e+06 ; -1.693998e+09 + i 1.253158e+08 ; -3.057750e+09 + i 2.241419e+08 ; 1.372220e+07 + i 1.576821e+06 ; 1.273335e+08 + i 1.005604e+06 ; -3.057330e+08 + i 1.282954e+07 ; -5.056657e+08 + i 4.674957e+07 ; -5.056654e+08 + i 4.674946e+07 ; -7.143627e+08 + i 8.373607e+07 ; 6.702798e+07 + i -4.584209e+05 ; 6.702795e+07 + i -4.587514e+05 ; 1.249572e+09 + i -8.796116e+07 ; 8.296153e+07 + i 2.082259e+05 ; 8.296166e+07 + i 2.081094e+05 ; 4.701766e+08 + i -2.127623e+07 ; 1.419306e+07 + i -1.079948e+06 ; 1.419205e+07 + i -1.080215e+06 ; 3.504359e+08 + i -3.849703e+07 ; 5.070387e+08 + i -3.876259e+07 ; 4.526445e+07 + i -6.480283e+05 ; 2.162556e+08 + i -1.862183e+07 ; 8.012970e+07 + i -9.686605e+06 ; 9.227908e+06 + i -8.420485e+05 ; 3.504412e+08 + i -3.849580e+07 ; 4.526326e+07 + i -6.473965e+05 ; 5.070387e+08 + i -3.876250e+07 ; 2.162580e+08 + i -1.862127e+07 ; 9.227929e+06 + i -8.416579e+05 ; 8.012980e+07 + i -9.686533e+06 ; 8.965641e+07 + i -1.733784e+07 ; 2.626843e+08 + i -2.248303e+07 ; 2.626845e+08 + i -2.248287e+07 ; 1.040216e+08 + i -1.366819e+07 ; 5.888551e+07 + i -7.139229e+06 ; 5.888538e+07 + i -7.139145e+06 ; 
1.444226e+08 + i 1.463967e+06 ; -3.084984e+09 + i 2.244726e+08 ; -1.882685e+07 + i -1.757069e+06 ; 2.565009e+07 + i 3.387756e+06 ; -1.792429e+10 + i 7.782398e+08 ; -2.048226e+07 + i -3.502935e+06 ; -1.714350e+09 + i 1.225380e+08 ; -3.743631e+08 + i -4.920641e+07 ; 8.149906e+07 + i -2.073239e+06 ; -2.472224e+08 + i -2.918142e+06 ; 6.507190e+09 + i -4.618665e+08 ; 2.613670e+08 + i 2.208699e+06 ; 8.095956e+07 + i -2.819051e+05 ; -7.299342e+08 + i 8.437916e+07 ; -7.673586e+07 + i 4.381807e+05 ; 2.278629e+07 + i 1.600956e+06 ; -3.075162e+09 + i 2.247021e+08 ; -1.391402e+08 + i -1.028518e+06 ; -5.059680e+08 + i 4.611430e+07 ; -3.144036e+08 + i 1.299091e+07 ; 5.030903e+08 + i -4.667698e+07 ; -6.876252e+07 + i 1.856866e+06 ; -3.678051e+08 + i -4.889105e+07 ; 1.689675e+09 + i -1.252288e+08 ; -5.720986e+07 + i -6.041822e+05 ; -6.039347e+08 + i 4.378868e+07 ; -1.080518e+07 + i -5.685571e+05 ; -2.477517e+07 + i -1.305743e+06 ; -1.128027e+08 + i 1.194408e+07 ; -5.246591e+06 + i -8.643695e+04 ; 5.186272e+08 + i -3.832772e+07 ; -2.516587e+08 + i 6.896473e+06 ; 1.519178e+07 + i -2.969268e+05 ; 1.950668e+08 + i -8.891537e+06 ; -9.488629e+07 + i 7.879067e+06 ; -5.046411e+05 + i -2.596016e+05 ; -4.125959e+07 + i -7.644770e+04 ; -3.431667e+08 + i 2.952719e+07 ; -2.899707e+07 + i -5.838738e+04 ; -2.143893e+07 + i -7.950357e+05 ; -8.982071e+07 + i 9.813072e+06 ; -9.960721e+06 + i 1.745219e+05 ; 2.700749e+08 + i -2.219667e+07 ; -1.918514e+08 + i 1.039470e+07 ; 1.475194e+08 + i -1.295146e+07 ; 1.248449e+08 + i -7.506714e+06 ; -7.563354e+07 + i 7.026572e+06 ; 1.759311e+07 + i -2.600005e+06 ; 
1.444233e+08 + i 1.464199e+06 ; -1.882718e+07 + i -1.757156e+06 ; -3.084999e+09 + i 2.244697e+08 ; 2.565446e+07 + i 3.388650e+06 ; -2.048246e+07 + i -3.502987e+06 ; -1.792429e+10 + i 7.782387e+08 ; 8.096030e+07 + i -2.819253e+05 ; -7.673584e+07 + i 4.379040e+05 ; -7.299373e+08 + i 8.437615e+07 ; 2.278884e+07 + i 1.601355e+06 ; -1.391398e+08 + i -1.028896e+06 ; -3.075160e+09 + i 2.246901e+08 ; -1.714350e+09 + i 1.225380e+08 ; 8.149903e+07 + i -2.073472e+06 ; -3.743622e+08 + i -4.920905e+07 ; -2.472220e+08 + i -2.918038e+06 ; 2.613670e+08 + i 2.208382e+06 ; 6.507194e+09 + i -4.618713e+08 ; -5.059657e+08 + i 4.611516e+07 ; 5.030898e+08 + i -4.667714e+07 ; -3.144048e+08 + i 1.299238e+07 ; -6.875731e+07 + i 1.858384e+06 ; 1.689675e+09 + i -1.252288e+08 ; -3.678067e+08 + i -4.889151e+07 ; -5.721069e+07 + i -6.044453e+05 ; -1.080513e+07 + i -5.685481e+05 ; -6.039301e+08 + i 4.378976e+07 ; -2.477644e+07 + i -1.306027e+06 ; -5.246648e+06 + i -8.645657e+04 ; -1.128017e+08 + i 1.194439e+07 ; -4.125947e+07 + i -7.643154e+04 ; -2.899690e+07 + i -5.840504e+04 ; -3.431642e+08 + i 2.952711e+07 ; -2.143922e+07 + i -7.950407e+05 ; -9.960698e+06 + i 1.745155e+05 ; -8.982032e+07 + i 9.813273e+06 ; 5.186271e+08 + i -3.832773e+07 ; 1.519192e+07 + i -2.969655e+05 ; -2.516562e+08 + i 6.895937e+06 ; 1.950667e+08 + i -8.891547e+06 ; -5.046385e+05 + i -2.596386e+05 ; -9.488606e+07 + i 7.878707e+06 ; 2.700736e+08 + i -2.219713e+07 ; 1.475196e+08 + i -1.295138e+07 ; -1.918492e+08 + i 1.039499e+07 ; 1.248435e+08 + i -7.507150e+06 ; 1.759308e+07 + i -2.600009e+06 ; -7.563403e+07 + i 7.026345e+06 ; 
-3.080455e+09 + i 2.247105e+08 ; 1.419182e+08 + i 1.184967e+06 ; -1.897215e+07 + i -1.755617e+06 ; -3.615751e+08 + i -4.917925e+07 ; -1.720469e+09 + i 1.222983e+08 ; 8.104652e+07 + i -2.065654e+06 ; -1.792919e+10 + i 7.784368e+08 ; 2.085808e+07 + i 3.584688e+06 ; -2.042554e+07 + i -3.515357e+06 ; 6.518840e+09 + i -4.617080e+08 ; -2.666861e+08 + i -2.749162e+06 ; 2.613412e+08 + i 2.240802e+06 ; -7.266417e+08 + i 8.447049e+07 ; 7.837508e+07 + i -2.543523e+05 ; -7.693644e+07 + i 4.413410e+05 ; -3.057190e+08 + i 1.280909e+07 ; -5.107470e+08 + i 4.594478e+07 ; 5.017945e+08 + i -4.662884e+07 ; -3.080343e+09 + i 2.247487e+08 ; 1.930565e+07 + i 1.822606e+06 ; -1.387177e+08 + i -1.068110e+06 ; -3.617167e+08 + i -4.912625e+07 ; -8.259064e+07 + i 1.884119e+06 ; 1.690383e+09 + i -1.251651e+08 ; 2.163052e+08 + i -1.861183e+07 ; -9.009321e+07 + i 9.555886e+06 ; 1.699857e+06 + i -5.757318e+05 ; 1.284934e+08 + i -8.713508e+06 ; -2.335342e+07 + i 3.003424e+06 ; -1.133146e+06 + i -2.106371e+05 ; 4.701825e+08 + i -2.127310e+07 ; -5.393362e+06 + i 6.950575e+05 ; 5.282550e+06 + i -6.831619e+05 ; 2.106029e+08 + i -7.055954e+06 ; 6.361469e+05 + i 2.666859e+05 ; -6.339446e+05 + i -2.553284e+05 ; 1.040536e+08 + i -1.366518e+07 ; -6.294563e+07 + i 7.144978e+06 ; 6.182590e+07 + i -7.198420e+06 ; 8.067071e+07 + i -8.136410e+06 ; -1.876196e+07 + i 2.515821e+06 ; 1.842466e+07 + i -2.523891e+06 ; 2.162690e+08 + i -1.861879e+07 ; -1.748114e+06 + i 5.900523e+05 ; 8.849281e+07 + i -9.643773e+06 ; 1.284724e+08 + i -8.716972e+06 ; 1.144648e+06 + i 2.214332e+05 ; 2.293408e+07 + i -3.015773e+06 ; 
-2.661938e+08 + i -2.077433e+06 ; 6.497920e+09 + i -4.622566e+08 ; -2.621490e+08 + i -2.236649e+06 ; -1.699554e+09 + i 1.250195e+08 ; -3.741942e+08 + i -4.925291e+07 ; -8.190909e+07 + i 2.053369e+06 ; 1.815847e+07 + i 3.438245e+06 ; -1.793818e+10 + i 7.779941e+08 ; 2.002362e+07 + i 3.516154e+06 ; 1.358545e+08 + i 7.172749e+05 ; -3.084904e+09 + i 2.245133e+08 ; 1.850788e+07 + i 1.743483e+06 ; -8.493792e+07 + i 1.966166e+06 ; -3.767234e+08 + i -4.922237e+07 ; -1.692405e+09 + i 1.252206e+08 ; -5.100756e+08 + i 4.652670e+07 ; -3.143612e+08 + i 1.298088e+07 ; -5.034973e+08 + i 4.666678e+07 ; 1.688988e+07 + i 1.714129e+06 ; -3.087534e+09 + i 2.245209e+08 ; 1.382823e+08 + i 1.090361e+06 ; 7.394883e+07 + i -4.692649e+05 ; -7.299095e+08 + i 8.438425e+07 ; 7.649443e+07 + i -4.417348e+05 ; -1.853624e+08 + i 8.750173e+06 ; -9.488113e+07 + i 7.869524e+06 ; 2.218631e+06 + i 1.618488e+05 ; -8.179496e+07 + i 2.270845e+06 ; -3.803428e+07 + i 3.803810e+06 ; 1.802000e+06 + i 2.528176e+04 ; -4.118006e+06 + i 6.283299e+05 ; -1.128061e+08 + i 1.193962e+07 ; 6.365283e+06 + i 1.282910e+05 ; -4.907333e+06 + i 3.672235e+05 ; -4.334524e+07 + i 4.605722e+06 ; 2.856544e+06 + i -8.693702e+03 ; -1.269062e+08 + i 7.224229e+06 ; -7.563494e+07 + i 7.020235e+06 ; -2.144051e+07 + i 2.580417e+06 ; -6.316016e+07 + i 2.428932e+06 ; -3.319821e+07 + i 3.489782e+06 ; -3.644983e+06 + i 6.526727e+05 ; 9.495533e+05 + i 6.054039e+05 ; -8.982260e+07 + i 9.810502e+06 ; 1.163262e+07 + i -7.930830e+04 ; -2.370494e+06 + i 4.287566e+05 ; -3.740552e+07 + i 4.158809e+06 ; 4.229647e+06 + i -8.653207e+04 ; 
-1.689967e+07 + i -1.729267e+06 ; 1.407077e+08 + i 1.528618e+06 ; -3.087657e+09 + i 2.244767e+08 ; -7.386457e+07 + i 4.319276e+05 ; 7.784295e+07 + i -2.186662e+05 ; -7.299457e+08 + i 8.437396e+07 ; -1.813416e+07 + i -3.470648e+06 ; 2.036566e+07 + i 3.636862e+06 ; -1.793818e+10 + i 7.779930e+08 ; -1.350826e+08 + i -1.040220e+06 ; 1.883933e+07 + i 1.826074e+06 ; -3.084897e+09 + i 2.244990e+08 ; 8.497075e+07 + i -2.001563e+06 ; -1.722401e+09 + i 1.223072e+08 ; -3.767510e+08 + i -4.923471e+07 ; 5.101297e+08 + i -4.654506e+07 ; -5.125229e+08 + i 4.599439e+07 ; -3.144039e+08 + i 1.299263e+07 ; 2.654119e+08 + i 2.401617e+06 ; -2.667250e+08 + i -3.072166e+06 ; 6.497777e+09 + i -4.622953e+08 ; 1.699490e+09 + i -1.249985e+08 ; -8.348840e+07 + i 1.902160e+06 ; -3.743689e+08 + i -4.921108e+07 ; -9.009269e+05 + i -6.164862e+05 ; 1.183844e+07 + i -4.617086e+04 ; -8.982378e+07 + i 9.810626e+06 ; 2.398511e+06 + i -4.345931e+05 ; 4.304776e+06 + i -7.560731e+04 ; -3.740571e+07 + i 4.159243e+06 ; 4.188663e+06 + i -6.490302e+05 ; 6.479829e+06 + i 1.491595e+05 ; -1.128089e+08 + i 1.193990e+07 ; 4.940634e+06 + i -3.764298e+05 ; 2.907818e+06 + i -5.015319e+02 ; -4.334613e+07 + i 4.606119e+06 ; 1.269395e+08 + i -7.231233e+06 ; -2.183136e+07 + i 2.564064e+06 ; -7.563259e+07 + i 7.026465e+06 ; 6.318016e+07 + i -2.433711e+06 ; -3.713112e+06 + i 6.540890e+05 ; -3.319825e+07 + i 3.491112e+06 ; 1.853888e+08 + i -8.763548e+06 ; 2.250953e+06 + i 1.760134e+05 ; -9.488379e+07 + i 7.878777e+06 ; 8.181058e+07 + i -2.278700e+06 ; 1.831633e+06 + i 3.241373e+04 ; -3.803569e+07 + i 3.805190e+06 ; 
-3.623753e+08 + i -4.933168e+07 ; 1.734922e+09 + i -1.213182e+08 ; -8.416486e+07 + i 2.027062e+06 ; -3.057675e+09 + i 2.241575e+08 ; -1.264399e+08 + i -3.472658e+05 ; 1.380914e+07 + i 1.601176e+06 ; 6.518786e+09 + i -4.617239e+08 ; 2.664150e+08 + i 2.152909e+06 ; -2.655778e+08 + i -2.470574e+06 ; -1.788809e+10 + i 7.783924e+08 ; -1.513538e+07 + i -3.414820e+06 ; 1.490149e+07 + i 3.319543e+06 ; -3.058964e+08 + i 1.278758e+07 ; 5.178308e+08 + i -4.580992e+07 ; -5.086750e+08 + i 4.654952e+07 ; -7.143768e+08 + i 8.372695e+07 ; -6.818838e+07 + i 3.053565e+05 ; 6.742004e+07 + i -3.990638e+05 ; -3.616803e+08 + i -4.911406e+07 ; 8.528512e+07 + i -1.892192e+06 ; -1.704042e+09 + i 1.244656e+08 ; -3.057742e+09 + i 2.241445e+08 ; -1.393736e+07 + i -1.631661e+06 ; 1.280786e+08 + i 1.130447e+06 ; 3.506466e+08 + i -3.843353e+07 ; -5.196507e+08 + i 3.747700e+07 ; 4.552023e+07 + i -6.121849e+05 ; 2.163453e+08 + i -1.859476e+07 ; -8.220523e+07 + i 9.551219e+06 ; 9.278634e+06 + i -8.393549e+05 ; 1.249576e+09 + i -8.795954e+07 ; -8.573523e+07 + i -8.021383e+05 ; 8.345192e+07 + i 2.878878e+05 ; 4.701743e+08 + i -2.127629e+07 ; -1.468391e+07 + i 1.005687e+06 ; 1.427748e+07 + i -1.073013e+06 ; 8.975655e+07 + i -1.731024e+07 ; -2.692317e+08 + i 2.187566e+07 ; 2.642457e+08 + i -2.236866e+07 ; 1.040758e+08 + i -1.365312e+07 ; -6.040856e+07 + i 7.041302e+06 ; 5.923766e+07 + i -7.125748e+06 ; 3.504426e+08 + i -3.849530e+07 ; -4.669269e+07 + i 3.723701e+05 ; 5.100459e+08 + i -3.851544e+07 ; 2.162559e+08 + i -1.862156e+07 ; -9.556975e+06 + i 7.939194e+05 ; 8.060825e+07 + i -9.668373e+06 ; 
1.724402e+09 + i -1.215108e+08 ; -3.750303e+08 + i -4.941608e+07 ; -8.198536e+07 + i 2.007314e+06 ; 2.447539e+08 + i 1.989709e+06 ; 6.507146e+09 + i -4.618869e+08 ; -2.629066e+08 + i -2.469461e+06 ; -1.413248e+08 + i -4.076656e+05 ; -3.084843e+09 + i 2.245302e+08 ; 1.891300e+07 + i 1.779235e+06 ; -2.576710e+07 + i -3.418393e+06 ; -1.792428e+10 + i 7.782444e+08 ; 2.055942e+07 + i 3.531931e+06 ; 5.088576e+08 + i -4.589844e+07 ; -3.145535e+08 + i 1.295352e+07 ; -5.060814e+08 + i 4.648029e+07 ; 6.874722e+07 + i -1.900583e+06 ; -3.677783e+08 + i -4.887661e+07 ; -1.699693e+09 + i 1.243825e+08 ; -8.098657e+07 + i 3.153259e+05 ; -7.299333e+08 + i 8.437753e+07 ; 7.718850e+07 + i -3.680829e+05 ; -2.280453e+07 + i -1.591292e+06 ; -3.075166e+09 + i 2.246995e+08 ; 1.399582e+08 + i 1.166028e+06 ; -5.214622e+08 + i 3.808416e+07 ; -2.514530e+08 + i 6.957791e+06 ; -1.528193e+07 + i 2.840678e+05 ; -1.960687e+08 + i 8.787130e+06 ; -9.485561e+07 + i 7.888010e+06 ; 5.066379e+05 + i 2.613942e+05 ; 5.831206e+07 + i 9.039842e+05 ; -6.039461e+08 + i 4.378449e+07 ; 1.086148e+07 + i 5.802859e+05 ; 2.521680e+07 + i 1.438378e+06 ; -1.128055e+08 + i 1.194224e+07 ; 5.275364e+06 + i 9.141832e+04 ; -2.715569e+08 + i 2.208083e+07 ; -1.917610e+08 + i 1.042031e+07 ; -1.483957e+08 + i 1.288950e+07 ; -1.254868e+08 + i 7.449482e+06 ; -7.561497e+07 + i 7.032159e+06 ; -1.769841e+07 + i 2.598875e+06 ; 4.183744e+07 + i 2.199260e+05 ; -3.431714e+08 + i 2.952531e+07 ; 2.916714e+07 + i 8.592902e+04 ; 2.174124e+07 + i 8.774264e+05 ; -8.982197e+07 + i 9.811799e+06 ; 1.001949e+07 + i -1.661424e+05 ; 
