-2.430574e+10 + i 1.634397e+09 ; -1.146515e+07 + i -7.122740e+06 ; -1.146709e+07 + i -7.123921e+06 ; 9.523872e+09 + i -1.029303e+09 ; 2.944473e+08 + i 1.921182e+07 ; 2.944480e+08 + i 1.921187e+07 ; -4.533547e+09 + i 5.156994e+08 ; -1.569308e+08 + i -9.732349e+06 ; -1.546926e+07 + i -4.549301e+06 ; -2.192141e+08 + i -1.602929e+08 ; 2.481342e+09 + i -2.820338e+08 ; 1.007340e+08 + i 1.484195e+06 ; -4.533548e+09 + i 5.156991e+08 ; -1.547038e+07 + i -4.548835e+06 ; -1.569306e+08 + i -9.732195e+06 ; -2.192165e+08 + i -1.602941e+08 ; 1.007270e+08 + i 1.484758e+06 ; 2.481342e+09 + i -2.820339e+08 ; -1.197193e+09 + i 2.098538e+08 ; -9.048009e+07 + i -3.797021e+06 ; -9.048002e+07 + i -3.796422e+06 ; -3.986855e+08 + i 2.259837e+06 ; 7.753234e+08 + i -1.107230e+08 ; 7.753229e+08 + i -1.107232e+08 ; 6.374075e+08 + i -3.968026e+07 ; 8.497303e+06 + i -8.783730e+05 ; 8.497885e+06 + i -8.780769e+05 ; 2.760322e+08 + i -1.192730e+07 ; 2.263634e+05 + i -5.648875e+05 ; 2.263544e+05 + i -5.649077e+05 ; 3.273732e+08 + i -3.978805e+07 ; 1.426135e+08 + i -2.369885e+07 ; 4.029534e+06 + i -9.568040e+05 ; 1.845942e+08 + i -1.664179e+07 ; 3.925716e+07 + i -7.936817e+06 ; -5.017211e+05 + i -5.225890e+05 ; 3.273728e+08 + i -3.978815e+07 ; 4.028054e+06 + i -9.569114e+05 ; 1.426135e+08 + i -2.369884e+07 ; 1.845941e+08 + i -1.664184e+07 ; -5.021020e+05 + i -5.225590e+05 ; 3.925715e+07 + i -7.936816e+06 ; 1.768002e+08 + i -3.225886e+07 ; 1.016469e+08 + i -1.808192e+07 ; 1.016469e+08 + i -1.808193e+07 ; 1.263204e+08 + i -1.697252e+07 ; 3.199709e+07 + i -6.745382e+06 ; 3.199704e+07 + i -6.745403e+06 ; 
-8.988452e+06 + i -6.888358e+06 ; -2.431464e+10 + i 1.633121e+09 ; -1.101434e+07 + i -7.114954e+06 ; -1.528964e+08 + i -9.448108e+06 ; -4.537912e+09 + i 5.149701e+08 ; -1.498580e+07 + i -4.513074e+06 ; 2.986998e+08 + i 1.976367e+07 ; 9.501505e+09 + i -1.031559e+09 ; 2.953808e+08 + i 1.927200e+07 ; 2.492051e+09 + i -2.810916e+08 ; -2.335379e+08 + i -1.612844e+08 ; 1.016637e+08 + i 1.554525e+06 ; -1.317227e+07 + i -4.354801e+06 ; -4.541039e+09 + i 5.148080e+08 ; -1.563513e+08 + i -9.740702e+06 ; -8.694750e+07 + i -3.597193e+06 ; -1.200587e+09 + i 2.093912e+08 ; -8.996991e+07 + i -3.767681e+06 ; 1.046658e+08 + i 1.954286e+06 ; -2.361846e+08 + i -1.615081e+08 ; 2.483864e+09 + i -2.819985e+08 ; 7.847020e+08 + i -1.099896e+08 ; -4.092108e+08 + i 1.898290e+06 ; 7.774169e+08 + i -1.106773e+08 ; 7.014895e+06 + i -7.597657e+05 ; -1.808763e+08 + i 2.886451e+07 ; -6.852578e+06 + i -6.758575e+05 ; 6.906382e+06 + i -2.068726e+05 ; -6.968560e+07 + i 1.130876e+07 ; -3.300882e+06 + i -1.969054e+05 ; 2.517441e+08 + i -1.654730e+07 ; -1.421947e+08 + i 1.607824e+07 ; -1.953735e+06 + i -4.705725e+05 ; 1.048087e+08 + i -3.198968e+06 ; -5.994139e+07 + i 8.747386e+06 ; -1.969014e+06 + i -1.852435e+05 ; 1.058021e+06 + i -1.057558e+06 ; -1.453890e+08 + i 2.402720e+07 ; -1.371223e+07 + i -5.682953e+05 ; 4.198217e+06 + i -4.911057e+05 ; -6.091118e+07 + i 1.031269e+07 ; -5.182919e+06 + i -1.123530e+05 ; 1.770385e+08 + i -1.422735e+07 ; -1.165193e+08 + i 1.505516e+07 ; 3.565433e+07 + i -6.612991e+06 ; 8.335230e+07 + i -3.824987e+06 ; -5.304603e+07 + i 8.166423e+06 ; 7.001419e+06 + i -1.848575e+06 ; 
-8.992031e+06 + i -6.890538e+06 ; -1.101442e+07 + i -7.115019e+06 ; -2.431463e+10 + i 1.633121e+09 ; -1.528964e+08 + i -9.448019e+06 ; -1.498592e+07 + i -4.513166e+06 ; -4.537919e+09 + i 5.149658e+08 ; -1.317456e+07 + i -4.356087e+06 ; -1.563504e+08 + i -9.740586e+06 ; -4.541010e+09 + i 5.148075e+08 ; -8.694721e+07 + i -3.596567e+06 ; -8.996942e+07 + i -3.767669e+06 ; -1.200582e+09 + i 2.093886e+08 ; 2.986995e+08 + i 1.976346e+07 ; 2.953813e+08 + i 1.927206e+07 ; 9.501520e+09 + i -1.031560e+09 ; 2.492051e+09 + i -2.810915e+08 ; 1.016640e+08 + i 1.554507e+06 ; -2.335311e+08 + i -1.612853e+08 ; 1.046616e+08 + i 1.951109e+06 ; 2.483864e+09 + i -2.819985e+08 ; -2.361855e+08 + i -1.615086e+08 ; 7.847015e+08 + i -1.099902e+08 ; 7.774167e+08 + i -1.106775e+08 ; -4.092163e+08 + i 1.895561e+06 ; 7.015815e+06 + i -7.592263e+05 ; -6.852570e+06 + i -6.758557e+05 ; -1.808770e+08 + i 2.886402e+07 ; 6.906527e+06 + i -2.067671e+05 ; -3.300890e+06 + i -1.969134e+05 ; -6.968576e+07 + i 1.130870e+07 ; 1.059148e+06 + i -1.056840e+06 ; -1.371220e+07 + i -5.682944e+05 ; -1.453894e+08 + i 2.402686e+07 ; 4.198614e+06 + i -4.908068e+05 ; -5.182920e+06 + i -1.123551e+05 ; -6.091150e+07 + i 1.031262e+07 ; 2.517440e+08 + i -1.654739e+07 ; -1.953649e+06 + i -4.705575e+05 ; -1.421939e+08 + i 1.607800e+07 ; 1.048086e+08 + i -3.199006e+06 ; -1.968985e+06 + i -1.852436e+05 ; -5.994109e+07 + i 8.747275e+06 ; 1.770395e+08 + i -1.422676e+07 ; 3.565434e+07 + i -6.612982e+06 ; -1.165192e+08 + i 1.505510e+07 ; 8.335250e+07 + i -3.824861e+06 ; 7.001412e+06 + i -1.848578e+06 ; -5.304612e+07 + i 8.166335e+06 ; 
9.523929e+09 + i -1.029263e+09 ; -2.986516e+08 + i -1.983757e+07 ; -2.986523e+08 + i -1.983758e+07 ; -2.425780e+10 + i 1.636694e+09 ; 5.800439e+06 + i 6.412387e+06 ; 5.802377e+06 + i 6.413586e+06 ; -2.191948e+08 + i -1.602796e+08 ; -2.495239e+09 + i 2.797996e+08 ; -1.041917e+08 + i -1.788555e+06 ; -4.505204e+09 + i 5.160136e+08 ; 1.444801e+08 + i 9.179853e+06 ; 1.007972e+07 + i 3.930630e+06 ; -2.191985e+08 + i -1.602817e+08 ; -1.041843e+08 + i -1.788716e+06 ; -2.495239e+09 + i 2.797997e+08 ; -4.505204e+09 + i 5.160146e+08 ; 1.008059e+07 + i 3.930079e+06 ; 1.444800e+08 + i 9.179709e+06 ; -3.986811e+08 + i 2.263149e+06 ; -7.831243e+08 + i 1.100523e+08 ; -7.831238e+08 + i 1.100524e+08 ; -1.180334e+09 + i 2.092758e+08 ; 7.936325e+07 + i 3.292190e+06 ; 7.936379e+07 + i 3.292192e+06 ; 1.824396e+09 + i -1.976169e+08 ; 9.547637e+07 + i 5.478694e+06 ; 9.547667e+07 + i 5.478745e+06 ; 6.374098e+08 + i -3.968240e+07 ; 2.022548e+07 + i -9.631556e+05 ; 2.022505e+07 + i -9.634612e+05 ; 5.676176e+08 + i -9.361818e+07 ; 7.519235e+08 + i -8.719829e+07 ; 5.469873e+07 + i 1.753716e+06 ; 3.273668e+08 + i -3.979168e+07 ; 1.335608e+08 + i -2.413271e+07 ; 1.371760e+07 + i -9.591551e+05 ; 5.676202e+08 + i -9.361659e+07 ; 5.469621e+07 + i 1.753596e+06 ; 7.519234e+08 + i -8.719828e+07 ; 3.273680e+08 + i -3.979095e+07 ; 1.371670e+07 + i -9.589991e+05 ; 1.335608e+08 + i -2.413267e+07 ; 1.768497e+08 + i -4.677351e+07 ; 3.993883e+08 + i -5.198805e+07 ; 3.993882e+08 + i -5.198800e+07 ; 1.767919e+08 + i -3.226194e+07 ; 9.839318e+07 + i -1.806269e+07 ; 9.839292e+07 + i -1.806273e+07 ; 
1.628473e+08 + i 1.083610e+07 ; -4.537964e+09 + i 5.149329e+08 ; -1.534970e+07 + i -4.580011e+06 ; 1.808360e+07 + i 7.182230e+06 ; -2.429934e+10 + i 1.634329e+09 ; -1.159627e+07 + i -7.160892e+06 ; -2.509375e+09 + i 2.741024e+08 ; -2.335351e+08 + i -1.612817e+08 ; 1.016135e+08 + i 1.644339e+06 ; -2.770365e+08 + i -1.959027e+07 ; 9.510949e+09 + i -1.030256e+09 ; 2.956028e+08 + i 1.962998e+07 ; 9.493810e+07 + i 4.406222e+06 ; -1.200603e+09 + i 2.093816e+08 ; -9.055252e+07 + i -3.921601e+06 ; 2.052848e+07 + i 4.508893e+06 ; -4.527295e+09 + i 5.158400e+08 ; -1.580967e+08 + i -9.939929e+06 ; -7.812055e+08 + i 1.088960e+08 ; -4.092112e+08 + i 1.897523e+06 ; 7.798933e+08 + i -1.100973e+08 ; -8.612426e+07 + i -1.174526e+06 ; -2.270311e+08 + i -1.603378e+08 ; 2.489933e+09 + i -2.799297e+08 ; -6.429346e+07 + i -4.487608e+06 ; -8.872534e+08 + i 9.953848e+07 ; -1.048393e+07 + i -1.714558e+06 ; -2.417099e+07 + i -3.757927e+06 ; -1.808807e+08 + i 2.886538e+07 ; -5.701251e+06 + i -5.732083e+05 ; 7.638989e+08 + i -8.581816e+07 ; -3.218335e+08 + i 6.736131e+06 ; 1.868207e+07 + i 3.915133e+05 ; 2.642687e+08 + i -1.593033e+07 ; -1.421969e+08 + i 1.607749e+07 ; 3.563835e+05 + i -5.205918e+05 ; -4.755082e+07 + i -2.707133e+06 ; -5.226991e+08 + i 6.899621e+07 ; -3.344542e+07 + i -1.858454e+06 ; -2.196266e+07 + i -2.826674e+06 ; -1.453919e+08 + i 2.402822e+07 ; -1.214672e+07 + i -3.298526e+05 ; 4.070388e+08 + i -5.114540e+07 ; -2.651059e+08 + i 1.743659e+07 ; 2.257221e+08 + i -3.027699e+07 ; 1.762411e+08 + i -1.472265e+07 ; -1.165204e+08 + i 1.505488e+07 ; 3.138180e+07 + i -6.843170e+06 ; 
1.628476e+08 + i 1.083633e+07 ; -1.534982e+07 + i -4.580112e+06 ; -4.537972e+09 + i 5.149282e+08 ; 1.808589e+07 + i 7.183556e+06 ; -1.159634e+07 + i -7.160953e+06 ; -2.429934e+10 + i 1.634329e+09 ; 9.493875e+07 + i 4.406464e+06 ; -9.055203e+07 + i -3.921589e+06 ; -1.200598e+09 + i 2.093792e+08 ; 2.052998e+07 + i 4.509684e+06 ; -1.580958e+08 + i -9.939785e+06 ; -4.527268e+09 + i 5.158378e+08 ; -2.509375e+09 + i 2.741024e+08 ; 1.016139e+08 + i 1.644342e+06 ; -2.335282e+08 + i -1.612825e+08 ; -2.770363e+08 + i -1.959012e+07 ; 2.956033e+08 + i 1.963002e+07 ; 9.510964e+09 + i -1.030256e+09 ; -7.812049e+08 + i 1.088967e+08 ; 7.798931e+08 + i -1.100975e+08 ; -4.092146e+08 + i 1.897041e+06 ; -8.612225e+07 + i -1.172980e+06 ; 2.489933e+09 + i -2.799297e+08 ; -2.270318e+08 + i -1.603381e+08 ; -6.429374e+07 + i -4.487854e+06 ; -1.048390e+07 + i -1.714539e+06 ; -8.872511e+08 + i 9.953986e+07 ; -2.417161e+07 + i -3.758309e+06 ; -5.701268e+06 + i -5.732251e+05 ; -1.808803e+08 + i 2.886569e+07 ; -4.755074e+07 + i -2.707100e+06 ; -3.344525e+07 + i -1.858401e+06 ; -5.226963e+08 + i 6.899671e+07 ; -2.196289e+07 + i -2.826768e+06 ; -1.214668e+07 + i -3.298476e+05 ; -1.453919e+08 + i 2.402833e+07 ; 7.638989e+08 + i -8.581818e+07 ; 1.868225e+07 + i 3.915592e+05 ; -3.218297e+08 + i 6.736533e+06 ; 2.642686e+08 + i -1.593037e+07 ; 3.564499e+05 + i -5.205905e+05 ; -1.421958e+08 + i 1.607739e+07 ; 4.070385e+08 + i -5.114577e+07 ; 2.257222e+08 + i -3.027692e+07 ; -2.651045e+08 + i 1.743727e+07 ; 1.762406e+08 + i -1.472307e+07 ; 3.138179e+07 + i -6.843181e+06 ; -1.165204e+08 + i 1.505474e+07 ; 
-4.533581e+09 + i 5.156637e+08 ; 1.606542e+08 + i 1.052024e+07 ; -1.552192e+07 + i -4.588142e+06 ; -2.189132e+08 + i -1.603138e+08 ; -2.515576e+09 + i 2.732528e+08 ; 1.010752e+08 + i 1.612772e+06 ; -2.430574e+10 + i 1.634392e+09 ; 1.177694e+07 + i 7.283912e+06 ; -1.149863e+07 + i -7.164471e+06 ; 9.523927e+09 + i -1.029297e+09 ; -2.999339e+08 + i -2.081776e+07 ; 2.954702e+08 + i 1.967049e+07 ; -1.197192e+09 + i 2.098444e+08 ; 9.186634e+07 + i 4.271426e+06 ; -9.079549e+07 + i -3.929014e+06 ; -3.986072e+08 + i 2.246799e+06 ; -7.861316e+08 + i 1.082809e+08 ; 7.782201e+08 + i -1.100910e+08 ; -4.533548e+09 + i 5.156981e+08 ; 1.570976e+07 + i 4.682497e+06 ; -1.574745e+08 + i -9.974005e+06 ; -2.192113e+08 + i -1.602936e+08 ; -1.022587e+08 + i -1.980250e+06 ; 2.490515e+09 + i -2.797569e+08 ; 3.273981e+08 + i -3.978049e+07 ; -1.446608e+08 + i 2.329915e+07 ; 4.042858e+06 + i -9.563306e+05 ; 1.846080e+08 + i -1.663769e+07 ; -3.983482e+07 + i 7.846619e+06 ; -5.034531e+05 + i -5.254794e+05 ; 6.374082e+08 + i -3.967964e+07 ; -8.678938e+06 + i 8.579997e+05 ; 8.530563e+06 + i -8.691786e+05 ; 2.760306e+08 + i -1.192768e+07 ; -2.565257e+05 + i 5.748768e+05 ; 2.283280e+05 + i -5.663763e+05 ; 1.768191e+08 + i -3.225561e+07 ; -1.031118e+08 + i 1.781303e+07 ; 1.020313e+08 + i -1.801181e+07 ; 1.263315e+08 + i -1.696994e+07 ; -3.246950e+07 + i 6.675616e+06 ; 3.211948e+07 + i -6.727036e+06 ; 3.273733e+08 + i -3.978759e+07 ; -4.131415e+06 + i 9.575012e+05 ; 1.431507e+08 + i -2.359448e+07 ; 1.845929e+08 + i -1.664210e+07 ; 4.864991e+05 + i 5.352750e+05 ; 3.940688e+07 + i -7.913106e+06 ; 
-3.013584e+08 + i -2.006574e+07 ; 9.501579e+09 + i -1.031516e+09 ; -2.964062e+08 + i -1.973343e+07 ; -2.500637e+09 + i 2.789407e+08 ; -2.332222e+08 + i -1.612948e+08 ; -1.020257e+08 + i -1.696898e+06 ; 9.107907e+06 + i 6.922479e+06 ; -2.431464e+10 + i 1.633113e+09 ; 1.102689e+07 + i 7.142759e+06 ; 1.550982e+08 + i 9.537673e+06 ; -4.537969e+09 + i 5.149604e+08 ; 1.502271e+07 + i 4.542072e+06 ; -1.052172e+08 + i -2.058226e+06 ; -2.361811e+08 + i -1.614961e+08 ; -2.493046e+09 + i 2.797181e+08 ; -7.874474e+08 + i 1.093845e+08 ; -4.091298e+08 + i 1.889482e+06 ; -7.803204e+08 + i 1.100432e+08 ; 1.325818e+07 + i 4.381691e+06 ; -4.541040e+09 + i 5.148055e+08 ; 1.568939e+08 + i 9.982736e+06 ; 8.744461e+07 + i 3.685057e+06 ; -1.200592e+09 + i 2.093902e+08 ; 9.028488e+07 + i 3.900657e+06 ; -2.525244e+08 + i 1.628796e+07 ; -1.421684e+08 + i 1.607348e+07 ; 1.959892e+06 + i 4.746802e+05 ; -1.051188e+08 + i 3.079343e+06 ; -5.993544e+07 + i 8.746255e+06 ; 1.975667e+06 + i 1.884419e+05 ; -6.914215e+06 + i 7.539088e+05 ; -1.808749e+08 + i 2.886371e+07 ; 6.875009e+06 + i 6.866896e+05 ; -6.872976e+06 + i 2.006831e+05 ; -6.968447e+07 + i 1.130850e+07 ; 3.312055e+06 + i 2.018111e+05 ; -1.775929e+08 + i 1.405272e+07 ; -1.165054e+08 + i 1.505053e+07 ; -3.578952e+07 + i 6.589385e+06 ; -8.360146e+07 + i 3.733500e+06 ; -5.304220e+07 + i 8.165065e+06 ; -7.028675e+06 + i 1.845911e+06 ; -9.848743e+05 + i 1.057976e+06 ; -1.453883e+08 + i 2.402711e+07 ; 1.376013e+07 + i 5.884413e+05 ; -4.170177e+06 + i 4.878364e+05 ; -6.091008e+07 + i 1.031273e+07 ; 5.201171e+06 + i 1.196175e+05 ; 
-1.323096e+07 + i -4.390520e+06 ; 1.583626e+08 + i 1.065756e+07 ; -4.541068e+09 + i 5.147662e+08 ; -8.723352e+07 + i -3.716171e+06 ; 9.114160e+07 + i 4.272410e+06 ; -1.200602e+09 + i 2.093767e+08 ; -9.017698e+06 + i -6.923766e+06 ; 1.111133e+07 + i 7.251618e+06 ; -2.431464e+10 + i 1.633112e+09 ; -1.533875e+08 + i -9.667065e+06 ; 1.516989e+07 + i 4.643047e+06 ; -4.537930e+09 + i 5.149581e+08 ; 1.053223e+08 + i 2.058133e+06 ; -2.517923e+09 + i 2.732261e+08 ; -2.361825e+08 + i -1.615055e+08 ; 7.875519e+08 + i -1.093884e+08 ; -7.883403e+08 + i 1.082305e+08 ; -4.092142e+08 + i 1.897331e+06 ; 2.996342e+08 + i 2.019364e+07 ; -2.991525e+08 + i -2.101223e+07 ; 9.501519e+09 + i -1.031559e+09 ; 2.500532e+09 + i -2.789517e+08 ; -1.033072e+08 + i -2.065369e+06 ; -2.335306e+08 + i -1.612845e+08 ; 1.066201e+06 + i -1.057801e+06 ; 1.389257e+07 + i 6.451064e+05 ; -1.453897e+08 + i 2.402688e+07 ; 4.214612e+06 + i -4.865145e+05 ; 5.251947e+06 + i 1.400396e+05 ; -6.091127e+07 + i 1.031283e+07 ; 7.040265e+06 + i -7.535455e+05 ; 6.942802e+06 + i 7.193191e+05 ; -1.808783e+08 + i 2.886316e+07 ; 6.929694e+06 + i -1.991910e+05 ; 3.344816e+06 + i 2.161486e+05 ; -6.968626e+07 + i 1.130842e+07 ; 1.776483e+08 + i -1.405330e+07 ; -3.617339e+07 + i 6.522165e+06 ; -1.165193e+08 + i 1.505511e+07 ; 8.363549e+07 + i -3.733459e+06 ; -7.108209e+06 + i 1.838320e+06 ; -5.304616e+07 + i 8.166320e+06 ; 2.525882e+08 + i -1.629292e+07 ; 1.957429e+06 + i 4.893176e+05 ; -1.421939e+08 + i 1.607805e+07 ; 1.051552e+08 + i -3.081219e+06 ; 1.988208e+06 + i 1.984259e+05 ; -5.994102e+07 + i 8.747340e+06 ; 
-2.193854e+08 + i -1.605361e+08 ; 2.529173e+09 + i -2.709692e+08 ; -1.045231e+08 + i -1.910143e+06 ; -4.505162e+09 + i 5.160357e+08 ; -1.452498e+08 + i -8.580909e+06 ; 1.011219e+07 + i 3.958061e+06 ; 9.523906e+09 + i -1.029313e+09 ; 3.013858e+08 + i 2.015665e+07 ; -2.996291e+08 + i -2.026578e+07 ; -2.425779e+10 + i 1.636700e+09 ; -5.849812e+06 + i -6.518253e+06 ; 5.815125e+06 + i 6.442825e+06 ; -3.987356e+08 + i 2.199406e+06 ; 7.938676e+08 + i -1.076023e+08 ; -7.858735e+08 + i 1.094741e+08 ; -1.180328e+09 + i 2.092701e+08 ; -8.023382e+07 + i -3.559746e+06 ; 7.962451e+07 + i 3.398632e+06 ; -2.191996e+08 + i -1.602829e+08 ; 1.053890e+08 + i 2.165816e+06 ; -2.503912e+09 + i 2.777229e+08 ; -4.505202e+09 + i 5.160167e+08 ; -1.017675e+07 + i -3.994186e+06 ; 1.449516e+08 + i 9.384705e+06 ; 5.676776e+08 + i -9.354108e+07 ; -7.622497e+08 + i 8.444784e+07 ; 5.487501e+07 + i 1.822606e+06 ; 3.273953e+08 + i -3.976135e+07 ; -1.354589e+08 + i 2.373291e+07 ; 1.376263e+07 + i -9.470329e+05 ; 1.824397e+09 + i -1.976154e+08 ; -9.690836e+07 + i -6.317914e+06 ; 9.579114e+07 + i 5.613572e+06 ; 6.374073e+08 + i -3.968268e+07 ; -2.053777e+07 + i 8.177226e+05 ; 2.029446e+07 + i -9.419006e+05 ; 1.768816e+08 + i -4.673602e+07 ; -4.049038e+08 + i 5.060034e+07 ; 4.007854e+08 + i -5.167939e+07 ; 1.768105e+08 + i -3.224308e+07 ; -9.979268e+07 + i 1.777261e+07 ; 9.874361e+07 + i -1.800416e+07 ; 5.676204e+08 + i -9.361603e+07 ; -5.549854e+07 + i -2.178517e+06 ; 7.545403e+08 + i -8.658215e+07 ; 3.273663e+08 + i -3.979133e+07 ; -1.393130e+07 + i 8.622897e+05 ; 1.340360e+08 + i -2.405215e+07 ; 
2.517644e+09 + i -2.719440e+08 ; -2.337078e+08 + i -1.615278e+08 ; -1.019538e+08 + i -1.774498e+06 ; 2.768258e+08 + i 1.855488e+07 ; 9.510947e+09 + i -1.030270e+09 ; -2.965698e+08 + i -2.005528e+07 ; -1.622820e+08 + i -9.624028e+06 ; -4.537943e+09 + i 5.149786e+08 ; 1.538531e+07 + i 4.607141e+06 ; -1.813675e+07 + i -7.215878e+06 ; -2.429934e+10 + i 1.634331e+09 ; 1.160949e+07 + i 7.187086e+06 ; 7.837900e+08 + i -1.083293e+08 ; -4.092612e+08 + i 1.837544e+06 ; -7.826314e+08 + i 1.095240e+08 ; 8.625154e+07 + i 1.117959e+06 ; -2.270331e+08 + i -1.603290e+08 ; -2.498588e+09 + i 2.778598e+08 ; -9.508611e+07 + i -4.361807e+06 ; -1.200602e+09 + i 2.093831e+08 ; 9.085105e+07 + i 4.044733e+06 ; -2.057163e+07 + i -4.508157e+06 ; -4.527294e+09 + i 5.158392e+08 ; 1.586139e+08 + i 1.016500e+07 ; -7.663582e+08 + i 8.524650e+07 ; -3.217746e+08 + i 6.811982e+06 ; -1.874410e+07 + i -4.156161e+05 ; -2.650868e+08 + i 1.571241e+07 ; -1.421891e+08 + i 1.608992e+07 ; -3.584829e+05 + i 5.216833e+05 ; 6.469936e+07 + i 4.862181e+06 ; -8.872562e+08 + i 9.953506e+07 ; 1.051407e+07 + i 1.731008e+06 ; 2.431582e+07 + i 3.904122e+06 ; -1.808801e+08 + i 2.886459e+07 ; 5.718684e+06 + i 5.814367e+05 ; -4.083561e+08 + i 5.085618e+07 ; -2.650793e+08 + i 1.747132e+07 ; -2.265126e+08 + i 3.010578e+07 ; -1.767908e+08 + i 1.458998e+07 ; -1.165164e+08 + i 1.506282e+07 ; -3.149485e+07 + i 6.828216e+06 ; 4.779327e+07 + i 2.899021e+06 ; -5.227000e+08 + i 6.899477e+07 ; 3.355496e+07 + i 1.905085e+06 ; 2.207642e+07 + i 2.926558e+06 ; -1.453908e+08 + i 2.402783e+07 ; 1.218697e+07 + i 3.456834e+05 ; 
