-3.805655e+09 + i 3.728604e+07 ; 2.517439e+05 + i -9.572919e+04 ; 2.516919e+05 + i -9.573779e+04 ; 1.627722e+09 + i -2.502471e+07 ; 3.018189e+07 + i 9.200514e+05 ; 3.018192e+07 + i 9.200557e+05 ; -7.861537e+08 + i 1.313547e+07 ; -1.621462e+07 + i -4.788072e+05 ; -7.107795e+05 + i -8.757571e+04 ; 3.548573e+07 + i -5.460024e+06 ; 4.283614e+08 + i -6.837661e+06 ; 1.144019e+07 + i 2.689809e+05 ; -7.861537e+08 + i 1.313546e+07 ; -7.109017e+05 + i -8.758360e+04 ; -1.621462e+07 + i -4.788069e+05 ; 3.548565e+07 + i -5.460035e+06 ; 1.143970e+07 + i 2.689382e+05 ; 4.283614e+08 + i -6.837662e+06 ; -2.359581e+08 + i 5.897093e+06 ; -9.732837e+06 + i -2.590621e+05 ; -9.732851e+06 + i -2.590629e+05 ; -4.651203e+07 + i -9.429318e+05 ; 1.426912e+08 + i -2.869684e+06 ; 1.426912e+08 + i -2.869687e+06 ; 9.793897e+07 + i -6.790769e+05 ; 1.209785e+06 + i 1.358948e+04 ; 1.209803e+06 + i 1.359223e+04 ; 4.084221e+07 + i -1.441749e+05 ; 1.787889e+05 + i -5.049887e+03 ; 1.787893e+05 + i -5.049884e+03 ; 5.706114e+07 + i -8.320216e+05 ; 2.761490e+07 + i -6.382745e+05 ; 7.119524e+05 + i 9.481148e+02 ; 3.000704e+07 + i -2.654221e+05 ; 8.250803e+06 + i -2.312004e+05 ; 8.492022e+04 + i -6.578874e+03 ; 5.706112e+07 + i -8.320238e+05 ; 7.118595e+05 + i 9.395989e+02 ; 2.761490e+07 + i -6.382746e+05 ; 3.000704e+07 + i -2.654226e+05 ; 8.489074e+04 + i -6.581213e+03 ; 8.250802e+06 + i -2.312005e+05 ; 3.495371e+07 + i -7.509413e+05 ; 2.020261e+07 + i -4.995326e+05 ; 2.020261e+07 + i -4.995325e+05 ; 2.245486e+07 + i -3.049636e+05 ; 6.855930e+06 + i -1.998391e+05 ; 6.855928e+06 + i -1.998394e+05 ; 
4.863780e+05 + i -8.672875e+04 ; -3.806430e+09 + i 3.724936e+07 ; 3.006567e+05 + i -9.448514e+04 ; -1.580992e+07 + i -4.652299e+05 ; -7.865120e+08 + i 1.311381e+07 ; -6.633159e+05 + i -8.609692e+04 ; 3.055687e+07 + i 9.363441e+05 ; 1.625580e+09 + i -2.510556e+07 ; 3.027273e+07 + i 9.232628e+05 ; 4.294073e+08 + i -6.801515e+06 ; 3.401674e+07 + i -5.510441e+06 ; 1.152916e+07 + i 2.721846e+05 ; -4.891428e+05 + i -7.934110e+04 ; -7.868359e+08 + i 1.310491e+07 ; -1.614554e+07 + i -4.775398e+05 ; -9.369003e+06 + i -2.474785e+05 ; -2.362535e+08 + i 5.879776e+06 ; -9.679919e+06 + i -2.576546e+05 ; 1.179391e+07 + i 2.838436e+05 ; 3.376535e+07 + i -5.519051e+06 ; 4.286469e+08 + i -6.831021e+06 ; 1.436246e+08 + i -2.838606e+06 ; -4.766865e+07 + i -9.783824e+05 ; 1.429246e+08 + i -2.864059e+06 ; 9.875600e+05 + i 1.293258e+04 ; -3.427206e+07 + i 8.113028e+05 ; -6.297800e+05 + i -2.379252e+04 ; 8.401369e+05 + i 1.887129e+04 ; -1.322607e+07 + i 3.441813e+05 ; -3.293235e+05 + i -9.774944e+03 ; 3.881141e+07 + i -2.982543e+05 ; -2.371715e+07 + i 3.468158e+05 ; -1.038295e+05 + i -9.250365e+03 ; 1.487514e+07 + i -2.163141e+04 ; -1.079094e+07 + i 2.431973e+05 ; -1.765377e+05 + i -6.196564e+03 ; 3.628166e+05 + i -5.338950e+03 ; -2.787293e+07 + i 6.897836e+05 ; -1.470090e+06 + i -3.853760e+04 ; 5.898621e+05 + i 9.068931e+03 ; -1.171674e+07 + i 3.196764e+05 ; -5.759502e+05 + i -1.294312e+04 ; 2.816590e+07 + i -2.737490e+05 ; -2.013324e+07 + i 3.490605e+05 ; 7.219191e+06 + i -1.862771e+05 ; 1.220461e+07 + i -4.168083e+04 ; -9.709583e+06 + i 2.338536e+05 ; 1.666523e+06 + i -5.716460e+04 ; 
4.862792e+05 + i -8.674490e+04 ; 3.006552e+05 + i -9.448545e+04 ; -3.806430e+09 + i 3.724937e+07 ; -1.580992e+07 + i -4.652297e+05 ; -6.633180e+05 + i -8.609737e+04 ; -7.865122e+08 + i 1.311378e+07 ; -4.892082e+05 + i -7.935158e+04 ; -1.614550e+07 + i -4.775347e+05 ; -7.868339e+08 + i 1.310508e+07 ; -9.369008e+06 + i -2.474781e+05 ; -9.679895e+06 + i -2.576517e+05 ; -2.362529e+08 + i 5.879813e+06 ; 3.055686e+07 + i 9.363431e+05 ; 3.027275e+07 + i 9.232657e+05 ; 1.625581e+09 + i -2.510548e+07 ; 4.294073e+08 + i -6.801514e+06 ; 1.152918e+07 + i 2.721867e+05 ; 3.401728e+07 + i -5.510399e+06 ; 1.179382e+07 + i 2.838262e+05 ; 4.286469e+08 + i -6.831021e+06 ; 3.376532e+07 + i -5.519055e+06 ; 1.436246e+08 + i -2.838607e+06 ; 1.429246e+08 + i -2.864059e+06 ; -4.766882e+07 + i -9.784083e+05 ; 9.875859e+05 + i 1.293676e+04 ; -6.297798e+05 + i -2.379248e+04 ; -3.427208e+07 + i 8.112996e+05 ; 8.401403e+05 + i 1.887191e+04 ; -3.293236e+05 + i -9.774971e+03 ; -1.322608e+07 + i 3.441805e+05 ; 3.628470e+05 + i -5.333915e+03 ; -1.470089e+06 + i -3.853739e+04 ; -2.787293e+07 + i 6.897824e+05 ; 5.898715e+05 + i 9.070625e+03 ; -5.759501e+05 + i -1.294311e+04 ; -1.171676e+07 + i 3.196748e+05 ; 3.881141e+07 + i -2.982547e+05 ; -1.038260e+05 + i -9.249897e+03 ; -2.371708e+07 + i 3.468213e+05 ; 1.487514e+07 + i -2.163156e+04 ; -1.765363e+05 + i -6.196391e+03 ; -1.079091e+07 + i 2.431993e+05 ; 2.816593e+07 + i -2.737447e+05 ; 7.219191e+06 + i -1.862770e+05 ; -2.013324e+07 + i 3.490609e+05 ; 1.220461e+07 + i -4.167994e+04 ; 1.666523e+06 + i -5.716463e+04 ; -9.709584e+06 + i 2.338533e+05 ; 
1.627724e+09 + i -2.502446e+07 ; -3.054338e+07 + i -9.349749e+05 ; -3.054341e+07 + i -9.349792e+05 ; -3.800515e+09 + i 3.742801e+07 ; -7.436020e+05 + i 7.469550e+04 ; -7.435506e+05 + i 7.470405e+04 ; 3.548623e+07 + i -5.459938e+06 ; -4.294946e+08 + i 6.782960e+06 ; -1.176864e+07 + i -2.803895e+05 ; -7.828797e+08 + i 1.321043e+07 ; 1.489428e+07 + i 4.423669e+05 ; 2.314472e+05 + i 6.800658e+04 ; 3.548612e+07 + i -5.459956e+06 ; -1.176814e+07 + i -2.803450e+05 ; -4.294946e+08 + i 6.782961e+06 ; -7.828797e+08 + i 1.321043e+07 ; 2.315553e+05 + i 6.801317e+04 ; 1.489428e+07 + i 4.423668e+05 ; -4.651193e+07 + i -9.429133e+05 ; -1.434440e+08 + i 2.843792e+06 ; -1.434440e+08 + i 2.843795e+06 ; -2.338273e+08 + i 5.934532e+06 ; 8.552979e+06 + i 2.267953e+05 ; 8.553004e+06 + i 2.267985e+05 ; 3.129507e+08 + i -4.839147e+06 ; 9.944863e+06 + i 2.909914e+05 ; 9.944875e+06 + i 2.909930e+05 ; 9.793932e+07 + i -6.790584e+05 ; 2.583226e+06 + i 4.075932e+04 ; 2.583216e+06 + i 4.075757e+04 ; 1.098783e+08 + i -2.484037e+06 ; 1.305781e+08 + i -2.135594e+06 ; 5.996721e+06 + i 1.540041e+05 ; 5.706097e+07 + i -8.320515e+05 ; 2.663340e+07 + i -6.659827e+05 ; 1.835998e+06 + i 2.326548e+04 ; 1.098784e+08 + i -2.484026e+06 ; 5.996561e+06 + i 1.539894e+05 ; 1.305781e+08 + i -2.135595e+06 ; 5.706100e+07 + i -8.320460e+05 ; 1.835924e+06 + i 2.325976e+04 ; 2.663340e+07 + i -6.659831e+05 ; 4.165384e+07 + i -1.358348e+06 ; 7.157040e+07 + i -1.317228e+06 ; 7.157040e+07 + i -1.317229e+06 ; 3.495335e+07 + i -7.509838e+05 ; 1.980136e+07 + i -5.086005e+05 ; 1.980135e+07 + i -5.086020e+05 ; 
1.670275e+07 + i 5.017917e+05 ; -7.865133e+08 + i 1.311359e+07 ; -6.939195e+05 + i -8.729782e+04 ; 5.288067e+05 + i 1.124565e+05 ; -3.804911e+09 + i 3.729698e+07 ; 2.421418e+05 + i -9.630201e+04 ; -4.299348e+08 + i 6.696851e+06 ; 3.401679e+07 + i -5.510430e+06 ; 1.150755e+07 + i 2.726240e+05 ; -2.813691e+07 + i -8.725833e+05 ; 1.626383e+09 + i -2.507056e+07 ; 3.024391e+07 + i 9.252056e+05 ; 1.013594e+07 + i 2.756286e+05 ; -2.362539e+08 + i 5.879702e+06 ; -9.718990e+06 + i -2.599931e+05 ; 1.326987e+06 + i 9.966154e+04 ; -7.854615e+08 + i 1.314719e+07 ; -1.631519e+07 + i -4.828575e+05 ; -1.429555e+08 + i 2.836876e+06 ; -4.766865e+07 + i -9.783833e+05 ; 1.430799e+08 + i -2.851767e+06 ; -9.807598e+06 + i -2.275024e+05 ; 3.456060e+07 + i -5.485719e+06 ; 4.289072e+08 + i -6.796964e+06 ; -6.533394e+06 + i -2.035308e+05 ; -1.529334e+08 + i 2.532821e+06 ; -8.213308e+05 + i -4.274604e+04 ; -1.991916e+06 + i -9.761781e+04 ; -3.427237e+07 + i 8.112755e+05 ; -5.145503e+05 + i -2.019310e+04 ; 1.316887e+08 + i -2.093835e+06 ; -4.322698e+07 + i -9.369894e+04 ; 2.116565e+06 + i 5.109177e+04 ; 4.013228e+07 + i -2.644402e+05 ; -2.371724e+07 + i 3.468052e+05 ; 1.743596e+05 + i -3.703901e+03 ; -4.956918e+06 + i -1.458540e+05 ; -9.387533e+07 + i 1.822884e+06 ; -3.494667e+06 + i -9.942213e+04 ; -1.918013e+06 + i -8.502080e+04 ; -2.787317e+07 + i 6.897646e+05 ; -1.340720e+06 + i -3.222123e+04 ; 7.229684e+07 + i -1.291683e+06 ; -3.963892e+07 + i 2.363005e+05 ; 4.083637e+07 + i -7.752905e+05 ; 2.818161e+07 + i -2.841835e+05 ; -2.013329e+07 + i 3.490545e+05 ; 6.766961e+06 + i -1.988157e+05 ; 
1.670276e+07 + i 5.017930e+05 ; -6.939219e+05 + i -8.729832e+04 ; -7.865135e+08 + i 1.311355e+07 ; 5.288713e+05 + i 1.124668e+05 ; 2.421405e+05 + i -9.630229e+04 ; -3.804911e+09 + i 3.729699e+07 ; 1.013596e+07 + i 2.756319e+05 ; -9.718967e+06 + i -2.599902e+05 ; -2.362534e+08 + i 5.879738e+06 ; 1.327031e+06 + i 9.966841e+04 ; -1.631515e+07 + i -4.828523e+05 ; -7.854596e+08 + i 1.314735e+07 ; -4.299348e+08 + i 6.696851e+06 ; 1.150757e+07 + i 2.726262e+05 ; 3.401733e+07 + i -5.510388e+06 ; -2.813690e+07 + i -8.725827e+05 ; 3.024394e+07 + i 9.252086e+05 ; 1.626384e+09 + i -2.507047e+07 ; -1.429555e+08 + i 2.836879e+06 ; 1.430799e+08 + i -2.851768e+06 ; -4.766879e+07 + i -9.784014e+05 ; -9.807553e+06 + i -2.274941e+05 ; 4.289072e+08 + i -6.796964e+06 ; 3.456058e+07 + i -5.485722e+06 ; -6.533400e+06 + i -2.035319e+05 ; -8.213302e+05 + i -4.274591e+04 ; -1.529333e+08 + i 2.532831e+06 ; -1.991933e+06 + i -9.762063e+04 ; -5.145506e+05 + i -2.019315e+04 ; -3.427236e+07 + i 8.112770e+05 ; -4.956915e+06 + i -1.458536e+05 ; -3.494660e+06 + i -9.942119e+04 ; -9.387518e+07 + i 1.822900e+06 ; -1.918021e+06 + i -8.502191e+04 ; -1.340718e+06 + i -3.222103e+04 ; -2.787317e+07 + i 6.897644e+05 ; 1.316887e+08 + i -2.093835e+06 ; 2.116572e+06 + i 5.109274e+04 ; -4.322676e+07 + i -9.367793e+04 ; 4.013228e+07 + i -2.644404e+05 ; 1.743627e+05 + i -3.703511e+03 ; -2.371715e+07 + i 3.468118e+05 ; 7.229684e+07 + i -1.291684e+06 ; 4.083637e+07 + i -7.752903e+05 ; -3.963888e+07 + i 2.363070e+05 ; 2.818160e+07 + i -2.841856e+05 ; 6.766961e+06 + i -1.988158e+05 ; -2.013329e+07 + i 3.490546e+05 ; 
-7.861539e+08 + i 1.313534e+07 ; 1.646324e+07 + i 4.969750e+05 ; -7.118248e+05 + i -8.779831e+04 ; 3.551557e+07 + i -5.458561e+06 ; -4.304685e+08 + i 6.671822e+06 ; 1.145502e+07 + i 2.706990e+05 ; -3.805655e+09 + i 3.728606e+07 ; -2.407686e+05 + i 9.721718e+04 ; 2.520318e+05 + i -9.583526e+04 ; 1.627725e+09 + i -2.502440e+07 ; -3.049856e+07 + i -9.468472e+05 ; 3.022210e+07 + i 9.250506e+05 ; -2.359574e+08 + i 5.897117e+06 ; 9.804988e+06 + i 2.658107e+05 ; -9.745772e+06 + i -2.606169e+05 ; -4.650295e+07 + i -9.425713e+05 ; -1.433936e+08 + i 2.817358e+06 ; 1.428816e+08 + i -2.855755e+06 ; -7.861537e+08 + i 1.313547e+07 ; 7.187010e+05 + i 8.869686e+04 ; -1.623615e+07 + i -4.814619e+05 ; 3.548604e+07 + i -5.460005e+06 ; -1.152011e+07 + i -2.765192e+05 ; 4.289327e+08 + i -6.793482e+06 ; 5.706301e+07 + i -8.319167e+05 ; -2.775555e+07 + i 6.283546e+05 ; 7.128401e+05 + i 1.027881e+03 ; 3.000796e+07 + i -2.653574e+05 ; -8.293590e+06 + i 2.284095e+05 ; 8.501537e+04 + i -6.580062e+03 ; 9.793898e+07 + i -6.790744e+05 ; -1.223112e+06 + i -1.452679e+04 ; 1.211453e+06 + i 1.376725e+04 ; 4.084213e+07 + i -1.441838e+05 ; -1.824635e+05 + i 4.878495e+03 ; 1.790410e+05 + i -5.032358e+03 ; 3.495524e+07 + i -7.508564e+05 ; -2.030549e+07 + i 4.924433e+05 ; 2.022957e+07 + i -4.976846e+05 ; 2.245564e+07 + i -3.049107e+05 ; -6.891495e+06 + i 1.975591e+05 ; 6.865083e+06 + i -1.992525e+05 ; 5.706113e+07 + i -8.320218e+05 ; -7.206313e+05 + i -1.488503e+03 ; 2.765175e+07 + i -6.356893e+05 ; 3.000698e+07 + i -2.654291e+05 ; -8.761537e+04 + i 6.483571e+03 ; 8.261818e+06 + i -2.304820e+05 ; 
-3.076365e+07 + i -9.493060e+05 ; 1.625582e+09 + i -2.510522e+07 ; -3.031299e+07 + i -9.282711e+05 ; -4.299392e+08 + i 6.760087e+06 ; 3.404695e+07 + i -5.508914e+06 ; -1.154456e+07 + i -2.739960e+05 ; -4.805765e+05 + i 8.735548e+04 ; -3.806430e+09 + i 3.724934e+07 ; -3.015097e+05 + i 9.449791e+04 ; 1.599910e+07 + i 4.759666e+05 ; -7.865152e+08 + i 1.311350e+07 ; 6.639126e+05 + i 8.624791e+04 ; -1.183284e+07 + i -2.865009e+05 ; 3.376491e+07 + i -5.519055e+06 ; -4.292186e+08 + i 6.786796e+06 ; -1.438038e+08 + i 2.825353e+06 ; -4.765957e+07 + i -9.780147e+05 ; -1.431153e+08 + i 2.850094e+06 ; 4.933176e+05 + i 7.978683e+04 ; -7.868358e+08 + i 1.310491e+07 ; 1.616700e+07 + i 4.801879e+05 ; 9.405288e+06 + i 2.498464e+05 ; -2.362538e+08 + i 5.879747e+06 ; 9.692792e+06 + i 2.592051e+05 ; -3.885292e+07 + i 2.944900e+05 ; -2.371449e+07 + i 3.469547e+05 ; 1.039642e+05 + i 9.275018e+03 ; -1.489010e+07 + i 2.014097e+04 ; -1.079025e+07 + i 2.432264e+05 ; 1.767699e+05 + i 6.226396e+03 ; -9.781447e+05 + i -1.242666e+04 ; -3.427191e+07 + i 8.113131e+05 ; 6.305887e+05 + i 2.389808e+04 ; -8.366189e+05 + i -1.870087e+04 ; -1.322598e+07 + i 3.441887e+05 ; 3.297526e+05 + i 9.827629e+03 ; -2.819619e+07 + i 2.710642e+05 ; -2.013154e+07 + i 3.491322e+05 ; -7.228828e+06 + i 1.856271e+05 ; -1.221694e+07 + i 4.047684e+04 ; -9.709054e+06 + i 2.338720e+05 ; -1.668749e+06 + i 5.703348e+04 ; -3.562099e+05 + i 5.695369e+03 ; -2.787286e+07 + i 6.897884e+05 ; 1.472043e+06 + i 3.877182e+04 ; -5.869902e+05 + i -8.930227e+03 ; -1.171667e+07 + i 3.196829e+05 ; 5.767159e+05 + i 1.303206e+04 ; 
-4.907423e+05 + i -7.960559e+04 ; 1.622435e+07 + i 4.873622e+05 ; -7.868354e+08 + i 1.310482e+07 ; -9.380755e+06 + i -2.488900e+05 ; 9.727397e+06 + i 2.634293e+05 ; -2.362535e+08 + i 5.879721e+06 ; 4.865395e+05 + i -8.682378e+04 ; -3.022473e+05 + i 9.476232e+04 ; -3.806430e+09 + i 3.724934e+07 ; -1.582937e+07 + i -4.676273e+05 ; 6.674164e+05 + i 8.689118e+04 ; -7.865124e+08 + i 1.311373e+07 ; 1.183972e+07 + i 2.871194e+05 ; -4.307432e+08 + i 6.666193e+06 ; 3.376537e+07 + i -5.519044e+06 ; 1.438138e+08 + i -2.824859e+06 ; -1.436371e+08 + i 2.811195e+06 ; -4.766878e+07 + i -9.784002e+05 ; 3.059306e+07 + i 9.408911e+05 ; -3.041911e+07 + i -9.416833e+05 ; 1.625581e+09 + i -2.510548e+07 ; 4.299330e+08 + i -6.760677e+06 ; -1.161606e+07 + i -2.803895e+05 ; 3.401728e+07 + i -5.510398e+06 ; 3.633677e+05 + i -5.287725e+03 ; 1.477411e+06 + i 3.942196e+04 ; -2.787294e+07 + i 6.897805e+05 ; 5.906588e+05 + i 9.157754e+03 ; 5.788405e+05 + i 1.328084e+04 ; -1.171675e+07 + i 3.196756e+05 ; 9.888613e+05 + i 1.307037e+04 ; 6.330618e+05 + i 2.422039e+04 ; -3.427211e+07 + i 8.112938e+05 ; 8.412006e+05 + i 1.899389e+04 ; 3.310244e+05 + i 9.983789e+03 ; -1.322609e+07 + i 3.441783e+05 ; 2.820127e+07 + i -2.707898e+05 ; -7.256255e+06 + i 1.837638e+05 ; -2.013324e+07 + i 3.490606e+05 ; 1.221989e+07 + i -4.030291e+04 ; -1.675276e+06 + i 5.664671e+04 ; -9.709585e+06 + i 2.338531e+05 ; 3.885903e+07 + i -2.941642e+05 ; 1.022117e+05 + i 9.248153e+03 ; -2.371708e+07 + i 3.468213e+05 ; 1.489336e+07 + i -1.995212e+04 ; 1.767466e+05 + i 6.281218e+03 ; -1.079090e+07 + i 2.431995e+05 ; 
3.549726e+07 + i -5.460854e+06 ; 4.315797e+08 + i -6.618991e+06 ; -1.178329e+07 + i -2.820640e+05 ; -7.828781e+08 + i 1.321063e+07 ; -1.502935e+07 + i -4.462014e+05 ; 2.318366e+05 + i 6.813701e+04 ; 1.627725e+09 + i -2.502449e+07 ; 3.075410e+07 + i 9.483968e+05 ; -3.058247e+07 + i -9.397723e+05 ; -3.800515e+09 + i 3.742803e+07 ; 7.463611e+05 + i -7.476520e+04 ; -7.444849e+05 + i 7.471717e+04 ; -4.650859e+07 + i -9.432201e+05 ; 1.441415e+08 + i -2.791871e+06 ; -1.436278e+08 + i 2.830607e+06 ; -2.338266e+08 + i 5.934577e+06 ; -8.603488e+06 + i -2.309752e+05 ; 8.563911e+06 + i 2.280900e+05 ; 3.548626e+07 + i -5.459958e+06 ; 1.183412e+07 + i 2.862651e+05 ; -4.300449e+08 + i 6.741269e+06 ; -7.828796e+08 + i 1.321044e+07 ; -2.341039e+05 + i -6.843948e+04 ; 1.491329e+07 + i 4.446797e+05 ; 1.098751e+08 + i -2.483744e+06 ; -1.312071e+08 + i 2.085743e+06 ; 6.004262e+06 + i 1.548851e+05 ; 5.706045e+07 + i -8.319222e+05 ; -2.676076e+07 + i 6.568338e+05 ; 1.838290e+06 + i 2.350172e+04 ; 3.129507e+08 + i -4.839146e+06 ; -9.980595e+06 + i -2.979752e+05 ; 9.957624e+06 + i 2.925415e+05 ; 9.793914e+07 + i -6.790730e+05 ; -2.592787e+06 + i -4.237080e+04 ; 2.586537e+06 + i 4.111589e+04 ; 4.165220e+07 + i -1.358180e+06 ; -7.191523e+07 + i 1.290607e+06 ; 7.166212e+07 + i -1.310519e+06 ; 3.495298e+07 + i -7.508948e+05 ; -1.989607e+07 + i 5.018629e+05 ; 1.982675e+07 + i -5.069295e+05 ; 1.098783e+08 + i -2.484026e+06 ; -6.019826e+06 + i -1.579665e+05 ; 1.307454e+08 + i -2.123013e+06 ; 5.706089e+07 + i -8.320553e+05 ; -1.842665e+06 + i -2.437809e+04 ; 2.666755e+07 + i -6.637119e+05 ; 
4.304457e+08 + i -6.657303e+06 ; 3.402837e+07 + i -5.511263e+06 ; -1.152231e+07 + i -2.743348e+05 ; 2.823303e+07 + i 8.715983e+05 ; 1.626384e+09 + i -2.507054e+07 ; -3.028256e+07 + i -9.299496e+05 ; -1.678567e+07 + i -4.991039e+05 ; -7.865145e+08 + i 1.311361e+07 ; 6.945245e+05 + i 8.744534e+04 ; -5.304525e+05 + i -1.126983e+05 ; -3.804911e+09 + i 3.729697e+07 ; -2.429002e+05 + i 9.632205e+04 ; 1.431264e+08 + i -2.824489e+06 ; -4.766518e+07 + i -9.786715e+05 ; -1.432633e+08 + i 2.838635e+06 ; 9.828166e+06 + i 2.280228e+05 ; 3.456005e+07 + i -5.485748e+06 ; -4.294568e+08 + i 6.755357e+06 ; -1.015715e+07 + i -2.762417e+05 ; -2.362541e+08 + i 5.879705e+06 ; 9.731408e+06 + i 2.614686e+05 ; -1.330096e+06 + i -9.991735e+04 ; -7.854615e+08 + i 1.314719e+07 ; 1.633602e+07 + i 4.853927e+05 ; -1.318489e+08 + i 2.082081e+06 ; -4.323025e+07 + i -9.341009e+04 ; -2.119264e+06 + i -5.140544e+04 ; -4.018206e+07 + i 2.604903e+05 ; -2.371811e+07 + i 3.468498e+05 ; -1.745893e+05 + i 3.687009e+03 ; 6.528761e+06 + i 2.054863e+05 ; -1.529334e+08 + i 2.532811e+06 ; 8.223033e+05 + i 4.288454e+04 ; 1.990546e+06 + i 9.825425e+04 ; -3.427232e+07 + i 8.112804e+05 ; 5.151805e+05 + i 2.027506e+04 ; -7.238475e+07 + i 1.285401e+06 ; -3.964075e+07 + i 2.364425e+05 ; -4.088870e+07 + i 7.714933e+05 ; -2.821658e+07 + i 2.815323e+05 ; -2.013398e+07 + i 3.490803e+05 ; -6.775641e+06 + i 1.982766e+05 ; 4.957026e+06 + i 1.470468e+05 ; -9.387532e+07 + i 1.822882e+06 ; 3.499127e+06 + i 9.995939e+04 ; 1.917819e+06 + i 8.554556e+04 ; -2.787309e+07 + i 6.897717e+05 ; 1.342433e+06 + i 3.241997e+04 ; 
