-2.935693e+10 + i 2.993501e+09 ; -7.251956e+05 + i -1.075158e+07 ; -7.255826e+05 + i -1.075270e+07 ; 1.212560e+10 + i -1.968210e+09 ; 2.926744e+08 + i 5.912887e+07 ; 2.926749e+08 + i 5.912934e+07 ; -5.812915e+09 + i 1.011907e+09 ; -1.569453e+08 + i -3.050369e+07 ; -9.254543e+06 + i -8.369502e+06 ; 1.629871e+07 + i -3.845493e+08 ; 3.181857e+09 + i -5.387996e+08 ; 1.085806e+08 + i 1.367276e+07 ; -5.812915e+09 + i 1.011906e+09 ; -9.256250e+06 + i -8.369901e+06 ; -1.569454e+08 + i -3.050361e+07 ; 1.629803e+07 + i -3.845508e+08 ; 1.085739e+08 + i 1.366921e+07 ; 3.181857e+09 + i -5.387998e+08 ; -1.652432e+09 + i 4.368804e+08 ; -9.346560e+07 + i -1.529548e+07 ; -9.346600e+07 + i -1.529550e+07 ; -4.433565e+08 + i -4.325426e+07 ; 1.030528e+09 + i -2.206330e+08 ; 1.030527e+09 + i -2.206333e+08 ; 7.647117e+08 + i -6.378229e+07 ; 1.085919e+07 + i -2.442583e+05 ; 1.085936e+07 + i -2.439171e+05 ; 3.226194e+08 + i -1.733122e+07 ; 1.234353e+06 + i -8.507062e+05 ; 1.234366e+06 + i -8.507105e+05 ; 4.241726e+08 + i -7.190897e+07 ; 1.949189e+08 + i -4.842541e+07 ; 6.082924e+06 + i -9.205257e+05 ; 2.297063e+08 + i -2.697389e+07 ; 5.591288e+07 + i -1.706057e+07 ; 3.621129e+05 + i -8.859899e+05 ; 4.241724e+08 + i -7.190924e+07 ; 6.081724e+06 + i -9.212780e+05 ; 1.949188e+08 + i -4.842542e+07 ; 2.297062e+08 + i -2.697396e+07 ; 3.617193e+05 + i -8.861645e+05 ; 5.591287e+07 + i -1.706057e+07 ; 2.466832e+08 + i -6.268303e+07 ; 1.408379e+08 + i -3.755474e+07 ; 1.408379e+08 + i -3.755473e+07 ; 1.663593e+08 + i -2.943298e+07 ; 4.601189e+07 + i -1.466039e+07 ; 4.601187e+07 + i -1.466042e+07 ; 
1.601976e+06 + i -1.012332e+07 ; -2.936461e+10 + i 2.990811e+09 ; -2.441159e+05 + i -1.067753e+07 ; -1.529879e+08 + i -2.961765e+07 ; -5.816490e+09 + i 1.010378e+09 ; -8.782936e+06 + i -8.262084e+06 ; 2.964375e+08 + i 6.035979e+07 ; 1.210469e+10 + i -1.973738e+09 ; 2.935934e+08 + i 5.934799e+07 ; 3.192090e+09 + i -5.363192e+08 ; 2.189373e+06 + i -3.875973e+08 ; 1.094802e+08 + i 1.389861e+07 ; -7.060764e+06 + i -7.808838e+06 ; -5.819657e+09 + i 1.009787e+09 ; -1.562925e+08 + i -3.044729e+07 ; -8.992217e+07 + i -1.457257e+07 ; -1.655360e+09 + i 4.357553e+08 ; -9.295121e+07 + i -1.519990e+07 ; 1.121223e+08 + i 1.477216e+07 ; -3.445139e+05 + i -3.882335e+08 ; 3.184576e+09 + i -5.384551e+08 ; 1.039635e+09 + i -2.185578e+08 ; -4.543145e+08 + i -4.508419e+07 ; 1.032758e+09 + i -2.203260e+08 ; 8.974010e+06 + i -1.044952e+05 ; -2.451761e+08 + i 5.871097e+07 ; -6.395021e+06 + i -1.792122e+06 ; 7.909852e+06 + i 6.905045e+05 ; -9.478387e+07 + i 2.319637e+07 ; -3.294974e+06 + i -7.008090e+05 ; 3.033690e+08 + i -2.656644e+07 ; -1.824517e+08 + i 2.738133e+07 ; -1.341115e+06 + i -9.362678e+05 ; 1.202928e+08 + i -3.276399e+06 ; -8.011047e+07 + i 1.668086e+07 ; -1.847905e+06 + i -5.236651e+05 ; 2.920417e+06 + i -1.228732e+06 ; -1.984084e+08 + i 4.928287e+07 ; -1.416944e+07 + i -2.331769e+06 ; 5.411920e+06 + i -2.505462e+04 ; -8.354106e+07 + i 2.128356e+07 ; -5.525821e+06 + i -7.498755e+05 ; 2.175328e+08 + i -2.378111e+07 ; -1.526101e+08 + i 2.676853e+07 ; 4.983493e+07 + i -1.393811e+07 ; 9.772709e+07 + i -4.776953e+06 ; -7.158940e+07 + i 1.578954e+07 ; 1.066504e+07 + i -4.170213e+06 ; 
1.601230e+06 + i -1.012538e+07 ; -2.441166e+05 + i -1.067758e+07 ; -2.936461e+10 + i 2.990812e+09 ; -1.529880e+08 + i -2.961761e+07 ; -8.782938e+06 + i -8.262148e+06 ; -5.816492e+09 + i 1.010374e+09 ; -7.061304e+06 + i -7.810171e+06 ; -1.562919e+08 + i -3.044671e+07 ; -5.819631e+09 + i 1.009802e+09 ; -8.992243e+07 + i -1.457246e+07 ; -9.295088e+07 + i -1.519959e+07 ; -1.655351e+09 + i 4.357571e+08 ; 2.964375e+08 + i 6.035965e+07 ; 2.935937e+08 + i 5.934833e+07 ; 1.210470e+10 + i -1.973731e+09 ; 3.192090e+09 + i -5.363192e+08 ; 1.094805e+08 + i 1.389884e+07 ; 2.196674e+06 + i -3.875942e+08 ; 1.121219e+08 + i 1.476985e+07 ; 3.184576e+09 + i -5.384551e+08 ; -3.448317e+05 + i -3.882341e+08 ; 1.039635e+09 + i -2.185581e+08 ; 1.032758e+09 + i -2.203261e+08 ; -4.543161e+08 + i -4.508740e+07 ; 8.974215e+06 + i -1.039628e+05 ; -6.395019e+06 + i -1.792117e+06 ; -2.451762e+08 + i 5.871054e+07 ; 7.909867e+06 + i 6.905861e+05 ; -3.294973e+06 + i -7.008129e+05 ; -9.478393e+07 + i 2.319628e+07 ; 2.920633e+06 + i -1.228086e+06 ; -1.416942e+07 + i -2.331747e+06 ; -1.984082e+08 + i 4.928263e+07 ; 5.411964e+06 + i -2.483242e+04 ; -5.525819e+06 + i -7.498764e+05 ; -8.354125e+07 + i 2.128339e+07 ; 3.033690e+08 + i -2.656649e+07 ; -1.341070e+06 + i -9.362144e+05 ; -1.824506e+08 + i 2.738171e+07 ; 1.202928e+08 + i -3.276419e+06 ; -1.847885e+06 + i -5.236465e+05 ; -8.011005e+07 + i 1.668098e+07 ; 2.175330e+08 + i -2.378055e+07 ; 4.983492e+07 + i -1.393811e+07 ; -1.526100e+08 + i 2.676856e+07 ; 9.772713e+07 + i -4.776838e+06 ; 1.066504e+07 + i -4.170217e+06 ; -7.158938e+07 + i 1.578949e+07 ; 
1.212561e+10 + i -1.968178e+09 ; -2.962950e+08 + i -6.035408e+07 ; -2.962955e+08 + i -6.035455e+07 ; -2.930784e+10 + i 3.001875e+09 ; -4.310457e+06 + i 9.095308e+06 ; -4.310083e+06 + i 9.096426e+06 ; 1.630188e+07 + i -3.845384e+08 ; -3.193452e+09 + i 5.342976e+08 ; -1.118701e+08 + i -1.451319e+07 ; -5.782161e+09 + i 1.015499e+09 ; 1.441583e+08 + i 2.827958e+07 ; 4.368618e+06 + i 6.860289e+06 ; 1.630090e+07 + i -3.845406e+08 ; -1.118634e+08 + i -1.450937e+07 ; -3.193452e+09 + i 5.342977e+08 ; -5.782161e+09 + i 1.015500e+09 ; 4.370166e+06 + i 6.860572e+06 ; 1.441583e+08 + i 2.827954e+07 ; -4.433562e+08 + i -4.325180e+07 ; -1.037985e+09 + i 2.187914e+08 ; -1.037985e+09 + i 2.187917e+08 ; -1.632841e+09 + i 4.379524e+08 ; 8.205754e+07 + i 1.332211e+07 ; 8.205790e+07 + i 1.332245e+07 ; 2.323372e+09 + i -3.807478e+08 ; 9.613913e+07 + i 1.824174e+07 ; 9.613927e+07 + i 1.824192e+07 ; 7.647167e+08 + i -6.378178e+07 ; 2.392585e+07 + i 1.039321e+06 ; 2.392580e+07 + i 1.039082e+06 ; 7.744091e+08 + i -1.908223e+08 ; 9.669484e+08 + i -1.674857e+08 ; 5.737493e+07 + i 8.684604e+06 ; 4.241712e+08 + i -7.191280e+07 ; 1.856312e+08 + i -4.995555e+07 ; 1.677880e+07 + i 1.880023e+05 ; 7.744097e+08 + i -1.908208e+08 ; 5.737285e+07 + i 8.683311e+06 ; 9.669483e+08 + i -1.674858e+08 ; 4.241715e+08 + i -7.191211e+07 ; 1.677779e+07 + i 1.875905e+05 ; 1.856311e+08 + i -4.995558e+07 ; 2.695392e+08 + i -1.019276e+08 ; 5.227114e+08 + i -1.019886e+08 ; 5.227113e+08 + i -1.019887e+08 ; 2.466793e+08 + i -6.268761e+07 ; 1.371977e+08 + i -3.783961e+07 ; 1.371975e+08 + i -3.783977e+07 ; 
1.617168e+08 + i 3.237552e+07 ; -5.816497e+09 + i 1.010349e+09 ; -9.082484e+06 + i -8.367680e+06 ; 7.981515e+06 + i 1.147915e+07 ; -2.934974e+10 + i 2.994099e+09 ; -8.179371e+05 + i -1.079633e+07 ; -3.199612e+09 + i 5.254893e+08 ; 2.189306e+06 + i -3.875958e+08 ; 1.092780e+08 + i 1.398464e+07 ; -2.730365e+08 + i -5.703458e+07 ; 1.211292e+10 + i -1.970916e+09 ; 2.932958e+08 + i 5.966989e+07 ; 9.739027e+07 + i 1.652232e+07 ; -1.655363e+09 + i 4.357460e+08 ; -9.334748e+07 + i -1.543025e+07 ; 1.493637e+07 + i 8.816540e+06 ; -5.806211e+09 + i 1.012682e+09 ; -1.579082e+08 + i -3.083645e+07 ; -1.033907e+09 + i 2.174287e+08 ; -4.543142e+08 + i -4.508435e+07 ; 1.034501e+09 + i -2.192300e+08 ; -9.299992e+07 + i -1.148977e+07 ; 7.781834e+06 + i -3.855923e+08 ; 3.187821e+09 + i -5.350887e+08 ; -6.343284e+07 + i -1.324723e+07 ; -1.135375e+09 + i 1.938539e+08 ; -8.659750e+06 + i -3.587780e+06 ; -2.036247e+07 + i -7.781149e+06 ; -2.451805e+08 + i 5.870861e+07 ; -5.287374e+06 + i -1.551857e+06 ; 9.778759e+08 + i -1.643978e+08 ; -3.649018e+08 + i -1.016315e+06 ; 1.996796e+07 + i 2.603822e+06 ; 3.161735e+08 + i -2.439086e+07 ; -1.824526e+08 + i 2.738011e+07 ; 1.284252e+06 + i -7.192096e+05 ; -4.790517e+07 + i -9.077048e+06 ; -6.854226e+08 + i 1.371255e+08 ; -3.379242e+07 + i -6.253593e+06 ; -1.942792e+07 + i -6.458196e+06 ; -1.984118e+08 + i 4.928139e+07 ; -1.284087e+07 + i -1.833842e+06 ; 5.297796e+08 + i -1.001296e+08 ; -3.198232e+08 + i 2.314754e+07 ; 2.968682e+08 + i -5.988467e+07 ; 2.175201e+08 + i -2.464052e+07 ; -1.526107e+08 + i 2.676787e+07 ; 4.549846e+07 + i -1.470848e+07 ; 
1.617168e+08 + i 3.237569e+07 ; -9.082486e+06 + i -8.367750e+06 ; -5.816499e+09 + i 1.010344e+09 ; 7.982038e+06 + i 1.148048e+07 ; -8.179363e+05 + i -1.079637e+07 ; -2.934974e+10 + i 2.994100e+09 ; 9.739051e+07 + i 1.652271e+07 ; -9.334715e+07 + i -1.542994e+07 ; -1.655355e+09 + i 4.357478e+08 ; 1.493675e+07 + i 8.817420e+06 ; -1.579077e+08 + i -3.083587e+07 ; -5.806186e+09 + i 1.012695e+09 ; -3.199612e+09 + i 5.254894e+08 ; 1.092782e+08 + i 1.398488e+07 ; 2.196564e+06 + i -3.875926e+08 ; -2.730365e+08 + i -5.703449e+07 ; 2.932961e+08 + i 5.967022e+07 ; 1.211293e+10 + i -1.970909e+09 ; -1.033907e+09 + i 2.174291e+08 ; 1.034501e+09 + i -2.192301e+08 ; -4.543161e+08 + i -4.508648e+07 ; -9.299973e+07 + i -1.148865e+07 ; 3.187821e+09 + i -5.350887e+08 ; 7.781570e+06 + i -3.855927e+08 ; -6.343284e+07 + i -1.324738e+07 ; -8.659747e+06 + i -3.587763e+06 ; -1.135375e+09 + i 1.938552e+08 ; -2.036261e+07 + i -7.781511e+06 ; -5.287372e+06 + i -1.551865e+06 ; -2.451805e+08 + i 5.870882e+07 ; -4.790513e+07 + i -9.076999e+06 ; -3.379234e+07 + i -6.253485e+06 ; -6.854206e+08 + i 1.371270e+08 ; -1.942800e+07 + i -6.458336e+06 ; -1.284085e+07 + i -1.833820e+06 ; -1.984119e+08 + i 4.928137e+07 ; 9.778759e+08 + i -1.643978e+08 ; 1.996805e+07 + i 2.603935e+06 ; -3.648989e+08 + i -1.014434e+06 ; 3.161735e+08 + i -2.439090e+07 ; 1.284296e+06 + i -7.191671e+05 ; -1.824515e+08 + i 2.738061e+07 ; 5.297796e+08 + i -1.001298e+08 ; 2.968682e+08 + i -5.988463e+07 ; -3.198228e+08 + i 2.314837e+07 ; 2.175200e+08 + i -2.464080e+07 ; 4.549846e+07 + i -1.470849e+07 ; -1.526106e+08 + i 2.676786e+07 ; 
-5.812908e+09 + i 1.011887e+09 ; 1.596961e+08 + i 3.207414e+07 ; -9.258258e+06 + i -8.400508e+06 ; 1.664046e+07 + i -3.844671e+08 ; -3.205002e+09 + i 5.235901e+08 ; 1.087435e+08 + i 1.385756e+07 ; -2.935692e+10 + i 2.993503e+09 ; 8.273224e+05 + i 1.092480e+07 ; -7.101129e+05 + i -1.077248e+07 ; 1.212564e+10 + i -1.968181e+09 ; -2.961064e+08 + i -6.166790e+07 ; 2.930866e+08 + i 5.968931e+07 ; -1.652421e+09 + i 4.368793e+08 ; 9.423697e+07 + i 1.597210e+07 ; -9.360277e+07 + i -1.546732e+07 ; -4.432543e+08 + i -4.324038e+07 ; -1.038296e+09 + i 2.159995e+08 ; 1.032643e+09 + i -2.194047e+08 ; -5.812914e+09 + i 1.011907e+09 ; 9.324078e+06 + i 8.503807e+06 ; -1.571676e+08 + i -3.080088e+07 ; 1.630295e+07 + i -3.845486e+08 ; -1.094481e+08 + i -1.442304e+07 ; 3.188166e+09 + i -5.347631e+08 ; 4.241908e+08 + i -7.190085e+07 ; -1.964804e+08 + i 4.758222e+07 ; 6.094406e+06 + i -9.138933e+05 ; 2.297158e+08 + i -2.696842e+07 ; -5.638805e+07 + i 1.683781e+07 ; 3.639658e+05 + i -8.873190e+05 ; 7.647117e+08 + i -6.378198e+07 ; -1.101299e+07 + i 1.696528e+05 ; 1.087874e+07 + i -2.266021e+05 ; 3.226183e+08 + i -1.733210e+07 ; -1.278445e+06 + i 8.443705e+05 ; 1.237927e+06 + i -8.500018e+05 ; 2.466992e+08 + i -6.267683e+07 ; -1.419809e+08 + i 3.696238e+07 ; 1.411385e+08 + i -3.739960e+07 ; 1.663675e+08 + i -2.942862e+07 ; -4.640676e+07 + i 1.448111e+07 ; 4.611382e+07 + i -1.461383e+07 ; 4.241724e+08 + i -7.190899e+07 ; -6.185217e+06 + i 8.833259e+05 ; 1.953294e+08 + i -4.820461e+07 ; 2.297055e+08 + i -2.697460e+07 ; -3.949922e+05 + i 8.863003e+05 ; 5.603557e+07 + i -1.700269e+07 ; 
-2.987638e+08 + i -6.134856e+07 ; 1.210471e+10 + i -1.973697e+09 ; -2.940055e+08 + i -5.990965e+07 ; -3.197962e+09 + i 5.325236e+08 ; 2.533155e+06 + i -3.875067e+08 ; -1.096471e+08 + i -1.409519e+07 ; -1.534165e+06 + i 1.018731e+07 ; -2.936461e+10 + i 2.990809e+09 ; 2.252872e+05 + i 1.068660e+07 ; 1.551377e+08 + i 3.035578e+07 ; -5.816530e+09 + i 1.010348e+09 ; 8.783312e+06 + i 8.284130e+06 ; -1.125517e+08 + i -1.499280e+07 ; -3.536325e+05 + i -3.882309e+08 ; -3.190889e+09 + i 5.344133e+08 ; -1.041627e+09 + i 2.173850e+08 ; -4.542135e+08 + i -4.506904e+07 ; -1.034876e+09 + i 2.190939e+08 ; 7.108876e+06 + i 7.854178e+06 ; -5.819656e+09 + i 1.009787e+09 ; 1.565135e+08 + i 3.074390e+07 ; 9.032108e+07 + i 1.476413e+07 ; -1.655364e+09 + i 4.357532e+08 ; 9.308722e+07 + i 1.537144e+07 ; -3.038148e+08 + i 2.619111e+07 ; -1.824195e+08 + i 2.738921e+07 ; 1.341971e+06 + i 9.398860e+05 ; -1.204488e+08 + i 3.121014e+06 ; -8.010257e+07 + i 1.668202e+07 ; 1.850254e+06 + i 5.273974e+05 ; -8.864267e+06 + i 1.360946e+05 ; -2.451739e+08 + i 5.871153e+07 ; 6.403023e+06 + i 1.804614e+06 ; -7.868116e+06 + i -6.814974e+05 ; -9.478255e+07 + i 2.319690e+07 ; 3.299475e+06 + i 7.069925e+05 ; -2.178610e+08 + i 2.351716e+07 ; -1.525897e+08 + i 2.677114e+07 ; -4.994232e+07 + i 1.388435e+07 ; -9.785728e+07 + i 4.652889e+06 ; -7.158333e+07 + i 1.578986e+07 ; -1.068988e+07 + i 4.160755e+06 ; -2.845124e+06 + i 1.251801e+06 ; -1.984075e+08 + i 4.928315e+07 ; 1.419015e+07 + i 2.357880e+06 ; -5.378522e+06 + i 3.257170e+04 ; -8.354007e+07 + i 2.128409e+07 ; 5.534147e+06 + i 7.597913e+05 ; 
-7.072733e+06 + i -7.842797e+06 ; 1.570930e+08 + i 3.154724e+07 ; -5.819640e+09 + i 1.009769e+09 ; -9.004703e+07 + i -1.472847e+07 ; 9.344670e+07 + i 1.583876e+07 ; -1.655356e+09 + i 4.357456e+08 ; 1.613669e+06 + i -1.014131e+07 ; 1.859361e+05 + i 1.073841e+07 ; -2.936461e+10 + i 2.990808e+09 ; -1.531884e+08 + i -2.988593e+07 ; 8.803055e+06 + i 8.369300e+06 ; -5.816493e+09 + i 1.010368e+09 ; 1.126430e+08 + i 1.504656e+07 ; -3.207579e+09 + i 5.233361e+08 ; -3.450087e+05 + i -3.882325e+08 ; 1.041740e+09 + i -2.173554e+08 ; -1.040639e+09 + i 2.156564e+08 ; -4.543161e+08 + i -4.508630e+07 ; 2.968036e+08 + i 6.087212e+07 ; -2.950673e+08 + i -6.141537e+07 ; 1.210470e+10 + i -1.973731e+09 ; 3.197882e+09 + i -5.325781e+08 ; -1.104363e+08 + i -1.471038e+07 ; 2.196488e+06 + i -3.875939e+08 ; 2.927692e+06 + i -1.224507e+06 ; 1.424638e+07 + i 2.430174e+06 ; -1.984085e+08 + i 4.928243e+07 ; 5.421199e+06 + i -1.616731e+04 ; 5.557041e+06 + i 7.874132e+05 ; -8.354125e+07 + i 2.128351e+07 ; 8.989522e+06 + i -9.097781e+04 ; 6.427408e+06 + i 1.842299e+06 ; -2.451764e+08 + i 5.870979e+07 ; 7.921851e+06 + i 7.032150e+05 ; 3.312755e+06 + i 7.250960e+05 ; -9.478405e+07 + i 2.319599e+07 ; 2.179191e+08 + i -2.349983e+07 ; -5.024672e+07 + i 1.373120e+07 ; -1.526100e+08 + i 2.676853e+07 ; 9.789167e+07 + i -4.641075e+06 ; -1.076250e+07 + i 4.133089e+06 ; -7.158939e+07 + i 1.578947e+07 ; 3.038865e+08 + i -2.617155e+07 ; 1.319705e+06 + i 9.453474e+05 ; -1.824506e+08 + i 2.738172e+07 ; 1.204874e+08 + i -3.108567e+06 ; 1.849060e+06 + i 5.365176e+05 ; -8.011005e+07 + i 1.668101e+07 ; 
1.645732e+07 + i -3.847246e+08 ; 3.216289e+09 + i -5.192400e+08 ; -1.120325e+08 + i -1.469201e+07 ; -5.782147e+09 + i 1.015522e+09 ; -1.457730e+08 + i -2.823260e+07 ; 4.366666e+06 + i 6.880081e+06 ; 1.212564e+10 + i -1.968193e+09 ; 2.986651e+08 + i 6.138500e+07 ; -2.967006e+08 + i -6.088820e+07 ; -2.930784e+10 + i 3.001879e+09 ; 4.376231e+06 + i -9.128439e+06 ; -4.330383e+06 + i 9.105881e+06 ; -4.433166e+08 + i -4.330985e+07 ; 1.045688e+09 + i -2.141900e+08 ; -1.040027e+09 + i 2.176427e+08 ; -1.632830e+09 + i 4.379546e+08 ; -8.259627e+07 + i -1.371800e+07 ; 8.217476e+07 + i 1.346387e+07 ; 1.630286e+07 + i -3.845421e+08 ; 1.125772e+08 + i 1.508592e+07 ; -3.199533e+09 + i 5.305334e+08 ; -5.782161e+09 + i 1.015501e+09 ; -4.386839e+06 + i -6.915120e+06 ; 1.443566e+08 + i 2.853652e+07 ; 7.743641e+08 + i -1.907643e+08 ; -9.738187e+08 + i 1.628829e+08 ; 5.745688e+07 + i 8.780150e+06 ; 4.241606e+08 + i -7.189078e+07 ; -1.870386e+08 + i 4.916210e+07 ; 1.680600e+07 + i 2.116433e+05 ; 2.323371e+09 + i -3.807473e+08 ; -9.645299e+07 + i -1.911560e+07 ; 9.627283e+07 + i 1.841349e+07 ; 7.647145e+08 + i -6.378291e+07 ; -2.403049e+07 + i -1.229805e+06 ; 2.396420e+07 + i 1.076052e+06 ; 2.695180e+08 + i -1.018960e+08 ; -5.264911e+08 + i 9.956917e+07 ; 5.237280e+08 + i -1.013965e+08 ; 2.466726e+08 + i -6.267256e+07 ; -1.382436e+08 + i 3.725880e+07 ; 1.374805e+08 + i -3.770265e+07 ; 7.744091e+08 + i -1.908206e+08 ; -5.759936e+07 + i -9.164125e+06 ; 9.687982e+08 + i -1.663555e+08 ; 4.241702e+08 + i -7.191285e+07 ; -1.685343e+07 + i -3.184943e+05 ; 1.860122e+08 + i -4.976820e+07 ; 
3.205204e+09 + i -5.218578e+08 ; 2.349336e+06 + i -3.877718e+08 ; -1.094394e+08 + i -1.416864e+07 ; 2.742518e+08 + i 5.645150e+07 ; 1.211293e+10 + i -1.970918e+09 ; -2.936960e+08 + i -6.019800e+07 ; -1.628046e+08 + i -3.159829e+07 ; -5.816526e+09 + i 1.010363e+09 ; 9.083558e+06 + i 8.389040e+06 ; -7.994075e+06 + i -1.150838e+07 ; -2.934974e+10 + i 2.994098e+09 ; 8.009452e+05 + i 1.080592e+07 ; 1.035799e+09 + i -2.163411e+08 ; -4.542741e+08 + i -4.514015e+07 ; -1.036538e+09 + i 2.180872e+08 ; 9.322797e+07 + i 1.148024e+07 ; 7.772003e+06 + i -3.855931e+08 ; -3.193895e+09 + i 5.313337e+08 ; -9.762393e+07 + i -1.652435e+07 ; -1.655365e+09 + i 4.357478e+08 ; 9.348000e+07 + i 1.559227e+07 ; -1.497767e+07 + i -8.836974e+06 ; -5.806211e+09 + i 1.012682e+09 ; 1.581255e+08 + i 3.111822e+07 ; -9.796383e+08 + i 1.633552e+08 ; -3.649470e+08 + i -9.588037e+05 ; -1.999721e+07 + i -2.637268e+06 ; -3.167189e+08 + i 2.402581e+07 ; -1.824630e+08 + i 2.739024e+07 ; -1.287453e+06 + i 7.183757e+05 ; 6.333643e+07 + i 1.355948e+07 ; -1.135374e+09 + i 1.938523e+08 ; 8.668457e+06 + i 3.604757e+06 ; 2.032157e+07 + i 7.885869e+06 ; -2.451795e+08 + i 5.870905e+07 ; 5.293703e+06 + i 1.561607e+06 ; -5.307482e+08 + i 9.958157e+07 ; -3.198462e+08 + i 2.317611e+07 ; -2.974485e+08 + i 5.955172e+07 ; -2.179055e+08 + i 2.440224e+07 ; -1.526186e+08 + i 2.677437e+07 ; -4.559545e+07 + i 1.466666e+07 ; 4.788713e+07 + i 9.252757e+06 ; -6.854220e+08 + i 1.371251e+08 ; 3.383943e+07 + i 6.313232e+06 ; 1.941082e+07 + i 6.538889e+06 ; -1.984107e+08 + i 4.928208e+07 ; 1.285953e+07 + i 1.855629e+06 ; 
