-4.067750e+10 + i 1.016715e+10 ; 5.450790e+07 + i 6.857648e+05 ; 5.450715e+07 + i 6.875591e+05 ; 1.839570e+10 + i -7.283597e+09 ; 2.536575e+08 + i 3.984838e+08 ; 2.536570e+08 + i 3.984816e+08 ; -8.868339e+09 + i 3.984447e+09 ; -1.449403e+08 + i -2.115349e+08 ; 3.006445e+07 + i -1.498702e+07 ; 6.763827e+08 + i -2.066288e+09 ; 4.900469e+09 + i -1.973965e+09 ; 1.356491e+08 + i 1.502740e+08 ; -8.868340e+09 + i 3.984448e+09 ; 3.007277e+07 + i -1.498922e+07 ; -1.449397e+08 + i -2.115345e+08 ; 6.763821e+08 + i -2.066285e+09 ; 1.356726e+08 + i 1.502770e+08 ; 4.900469e+09 + i -1.973964e+09 ; -2.747280e+09 + i 1.935747e+09 ; -1.005892e+08 + i -1.263355e+08 ; -1.005883e+08 + i -1.263336e+08 ; -6.224380e+08 + i -6.118363e+08 ; 1.668554e+09 + i -8.836258e+08 ; 1.668554e+09 + i -8.836247e+08 ; 1.061140e+09 + i -1.344376e+08 ; 2.248291e+07 + i 1.477362e+07 ; 2.248295e+07 + i 1.477280e+07 ; 4.202737e+08 + i -2.170817e+07 ; 7.786168e+06 + i 9.168484e+05 ; 7.786098e+06 + i 9.167797e+05 ; 6.807825e+08 + i -2.188056e+08 ; 3.272883e+08 + i -2.032759e+08 ; 1.730558e+07 + i 7.859872e+06 ; 3.410664e+08 + i -5.546942e+07 ; 9.744141e+07 + i -7.882832e+07 ; 6.371154e+06 + i -3.782076e+05 ; 6.807826e+08 + i -2.188046e+08 ; 1.730974e+07 + i 7.860320e+06 ; 3.272885e+08 + i -2.032758e+08 ; 3.410664e+08 + i -5.546930e+07 ; 6.372782e+06 + i -3.783889e+05 ; 9.744148e+07 + i -7.882827e+07 ; 4.462573e+08 + i -2.247808e+08 ; 2.399088e+08 + i -1.626556e+08 ; 2.399088e+08 + i -1.626557e+08 ; 2.759803e+08 + i -7.373398e+07 ; 8.073294e+07 + i -6.909418e+07 ; 8.073297e+07 + i -6.909406e+07 ; 
5.544980e+07 + i 4.001585e+06 ; -4.067832e+10 + i 1.015689e+10 ; 5.494333e+07 + i 1.452316e+06 ; -1.423172e+08 + i -2.059069e+08 ; -8.866722e+09 + i 3.979181e+09 ; 3.037681e+07 + i -1.430788e+07 ; 2.543671e+08 + i 4.036209e+08 ; 1.838430e+10 + i -7.312095e+09 ; 2.540258e+08 + i 3.999689e+08 ; 4.907131e+09 + i -1.960074e+09 ; 6.659257e+08 + i -2.086136e+09 ; 1.359926e+08 + i 1.516803e+08 ; 3.105937e+07 + i -1.180624e+07 ; -8.869638e+09 + i 3.974977e+09 ; -1.439954e+08 + i -2.106326e+08 ; -9.796316e+07 + i -1.212139e+08 ; -2.746094e+09 + i 1.931059e+09 ; -1.000927e+08 + i -1.256436e+08 ; 1.365139e+08 + i 1.552180e+08 ; 6.646514e+08 + i -2.089850e+09 ; 4.903816e+09 + i -1.970200e+09 ; 1.674994e+09 + i -8.711204e+08 ; -6.327702e+08 + i -6.278326e+08 ; 1.671179e+09 + i -8.805486e+08 ; 1.697488e+07 + i 1.302684e+07 ; -4.012267e+08 + i 2.470283e+08 ; -2.047931e+06 + i -9.504667e+06 ; 1.020231e+07 + i 1.215683e+07 ; -1.561671e+08 + i 9.837206e+07 ; -2.166021e+06 + i -5.035990e+06 ; 4.222821e+08 + i -5.638394e+07 ; -2.956652e+08 + i 6.431184e+07 ; 2.994986e+06 + i -2.401921e+06 ; 1.491123e+08 + i 8.712512e+06 ; -1.376047e+08 + i 5.727332e+07 ; -3.905331e+05 + i -2.967618e+06 ; 1.153676e+07 + i 4.558756e+06 ; -3.268949e+08 + i 2.102296e+08 ; -1.497093e+07 + i -1.927628e+07 ; 9.305976e+06 + i 8.742396e+06 ; -1.391667e+08 + i 9.107989e+07 ; -6.621176e+06 + i -7.559983e+06 ; 3.150458e+08 + i -5.807013e+07 ; -2.570678e+08 + i 7.288727e+07 ; 8.555266e+07 + i -6.204000e+07 ; 1.274261e+08 + i 2.160179e+06 ; -1.249179e+08 + i 5.606711e+07 ; 1.974610e+07 + i -2.084533e+07 ; 
5.544872e+07 + i 4.005136e+06 ; 5.494326e+07 + i 1.452308e+06 ; -4.067832e+10 + i 1.015688e+10 ; -1.423170e+08 + i -2.059067e+08 ; 3.037669e+07 + i -1.430789e+07 ; -8.866725e+09 + i 3.979188e+09 ; 3.105870e+07 + i -1.180371e+07 ; -1.439956e+08 + i -2.106350e+08 ; -8.869727e+09 + i 3.974966e+09 ; -9.796256e+07 + i -1.212127e+08 ; -1.000932e+08 + i -1.256452e+08 ; -2.746133e+09 + i 1.931068e+09 ; 2.543666e+08 + i 4.036208e+08 ; 2.540257e+08 + i 3.999676e+08 ; 1.838425e+10 + i -7.312097e+09 ; 4.907131e+09 + i -1.960074e+09 ; 1.359923e+08 + i 1.516792e+08 ; 6.658961e+08 + i -2.086132e+09 ; 1.365118e+08 + i 1.552199e+08 ; 4.903816e+09 + i -1.970200e+09 ; 6.646520e+08 + i -2.089848e+09 ; 1.674994e+09 + i -8.711206e+08 ; 1.671179e+09 + i -8.805486e+08 ; -6.327708e+08 + i -6.278250e+08 ; 1.697513e+07 + i 1.302587e+07 ; -2.047912e+06 + i -9.504677e+06 ; -4.012272e+08 + i 2.470288e+08 ; 1.020240e+07 + i 1.215676e+07 ; -2.166024e+06 + i -5.035995e+06 ; -1.561671e+08 + i 9.837235e+07 ; 1.153709e+07 + i 4.557718e+06 ; -1.497098e+07 + i -1.927639e+07 ; -3.268961e+08 + i 2.102306e+08 ; 9.306160e+06 + i 8.742184e+06 ; -6.621200e+06 + i -7.559994e+06 ; -1.391663e+08 + i 9.108034e+07 ; 4.222821e+08 + i -5.638394e+07 ; 2.994954e+06 + i -2.402137e+06 ; -2.956696e+08 + i 6.431236e+07 ; 1.491123e+08 + i 8.712499e+06 ; -3.905641e+05 + i -2.967719e+06 ; -1.376066e+08 + i 5.727372e+07 ; 3.150461e+08 + i -5.807105e+07 ; 8.555266e+07 + i -6.204000e+07 ; -2.570679e+08 + i 7.288692e+07 ; 1.274262e+08 + i 2.160024e+06 ; 1.974609e+07 + i -2.084532e+07 ; -1.249180e+08 + i 5.606702e+07 ; 
1.839572e+10 + i -7.283640e+09 ; -2.548911e+08 + i -4.029085e+08 ; -2.548908e+08 + i -4.029063e+08 ; -4.062572e+10 + i 1.023304e+10 ; -5.506428e+07 + i -7.761025e+06 ; -5.506349e+07 + i -7.762773e+06 ; 6.763882e+08 + i -2.066304e+09 ; -4.899774e+09 + i 1.959335e+09 ; -1.373007e+08 + i -1.549402e+08 ; -8.827511e+09 + i 4.026017e+09 ; 1.325119e+08 + i 1.937068e+08 ; -3.101999e+07 + i 7.978979e+06 ; 6.763877e+08 + i -2.066299e+09 ; -1.373237e+08 + i -1.549436e+08 ; -4.899774e+09 + i 1.959335e+09 ; -8.827510e+09 + i 4.026018e+09 ; -3.102766e+07 + i 7.980967e+06 ; 1.325115e+08 + i 1.937064e+08 ; -6.224352e+08 + i -6.118384e+08 ; -1.672850e+09 + i 8.733920e+08 ; -1.672851e+09 + i 8.733910e+08 ; -2.714606e+09 + i 1.962091e+09 ; 8.924378e+07 + i 1.105695e+08 ; 8.924342e+07 + i 1.105678e+08 ; 3.518385e+09 + i -1.436810e+09 ; 8.896550e+07 + i 1.316108e+08 ; 8.896548e+07 + i 1.316101e+08 ; 1.061114e+09 + i -1.344274e+08 ; 4.041842e+07 + i 3.330176e+07 ; 4.041817e+07 + i 3.330198e+07 ; 1.288273e+09 + i -8.023621e+08 ; 1.494139e+09 + i -6.221383e+08 ; 6.401145e+07 + i 7.937149e+07 ; 6.807793e+08 + i -2.187954e+08 ; 3.167929e+08 + i -2.155486e+08 ; 3.198283e+07 + i 2.282089e+07 ; 1.288273e+09 + i -8.023647e+08 ; 6.401857e+07 + i 7.937248e+07 ; 1.494139e+09 + i -6.221379e+08 ; 6.807795e+08 + i -2.187967e+08 ; 3.198700e+07 + i 2.282057e+07 ; 3.167930e+08 + i -2.155483e+08 ; 5.023094e+08 + i -4.801893e+08 ; 8.280072e+08 + i -3.963135e+08 ; 8.280073e+08 + i -3.963131e+08 ; 4.462657e+08 + i -2.247748e+08 ; 2.338762e+08 + i -1.672762e+08 ; 2.338763e+08 + i -1.672755e+08 ; 
1.463691e+08 + i 2.163337e+08 ; -8.866739e+09 + i 3.979216e+09 ; 3.016426e+07 + i -1.466383e+07 ; -4.374300e+07 + i 9.397474e+06 ; -4.066637e+10 + i 1.017647e+10 ; 5.444948e+07 + i 4.799837e+05 ; -4.868708e+09 + i 1.955019e+09 ; 6.659273e+08 + i -2.086136e+09 ; 1.354339e+08 + i 1.510061e+08 ; -2.315753e+08 + i -3.677748e+08 ; 1.838529e+10 + i -7.300853e+09 ; 2.531937e+08 + i 3.983290e+08 ; 1.024659e+08 + i 1.309391e+08 ; -2.746097e+09 + i 1.931076e+09 ; -9.998883e+07 + i -1.258277e+08 ; -2.093253e+07 + i 2.272274e+07 ; -8.858516e+09 + i 3.992734e+09 ; -1.456513e+08 + i -2.123096e+08 ; -1.657678e+09 + i 8.793173e+08 ; -6.327706e+08 + i -6.278337e+08 ; 1.668519e+09 + i -8.781621e+08 ; -1.181097e+08 + i -1.276770e+08 ; 6.661778e+08 + i -2.078596e+09 ; 4.893179e+09 + i -1.967047e+09 ; -5.316308e+07 + i -8.598600e+07 ; -1.726058e+09 + i 7.512388e+08 ; 2.951949e+06 + i -1.235506e+07 ; 1.710314e+06 + i -2.741036e+07 ; -4.012131e+08 + i 2.470330e+08 ; -9.690567e+05 + i -8.176639e+06 ; 1.499999e+09 + i -6.084619e+08 ; -4.641640e+08 + i -1.236478e+08 ; 2.515075e+07 + i 2.696619e+07 ; 4.362142e+08 + i -3.950482e+07 ; -2.956640e+08 + i 6.431451e+07 ; 6.757601e+06 + i 1.315286e+06 ; -4.431083e+07 + i -6.553639e+07 ; -1.076722e+09 + i 5.534570e+08 ; -3.257211e+07 + i -4.565030e+07 ; -2.152772e+06 + i -2.723988e+07 ; -3.268828e+08 + i 2.102325e+08 ; -1.505288e+07 + i -1.743019e+07 ; 8.329715e+08 + i -3.877917e+08 ; -4.652708e+08 + i -9.987115e+06 ; 4.734780e+08 + i -2.364889e+08 ; 3.204001e+08 + i -5.863693e+07 ; -2.570667e+08 + i 7.288913e+07 ; 8.107408e+07 + i -6.784251e+07 ; 
1.463692e+08 + i 2.163335e+08 ; 3.016413e+07 + i -1.466383e+07 ; -8.866742e+09 + i 3.979225e+09 ; -4.374233e+07 + i 9.394986e+06 ; 5.444942e+07 + i 4.799647e+05 ; -4.066637e+10 + i 1.017646e+10 ; 1.024660e+08 + i 1.309380e+08 ; -9.998926e+07 + i -1.258293e+08 ; -2.746136e+09 + i 1.931086e+09 ; -2.093207e+07 + i 2.272098e+07 ; -1.456516e+08 + i -2.123120e+08 ; -8.858606e+09 + i 3.992724e+09 ; -4.868708e+09 + i 1.955019e+09 ; 1.354337e+08 + i 1.510049e+08 ; 6.658982e+08 + i -2.086131e+09 ; -2.315750e+08 + i -3.677746e+08 ; 2.531935e+08 + i 3.983275e+08 ; 1.838524e+10 + i -7.300854e+09 ; -1.657678e+09 + i 8.793175e+08 ; 1.668519e+09 + i -8.781621e+08 ; -6.327694e+08 + i -6.278251e+08 ; -1.181087e+08 + i -1.276780e+08 ; 4.893179e+09 + i -1.967047e+09 ; 6.661783e+08 + i -2.078594e+09 ; -5.316329e+07 + i -8.598601e+07 ; 2.951990e+06 + i -1.235507e+07 ; -1.726057e+09 + i 7.512365e+08 ; 1.710132e+06 + i -2.740973e+07 ; -9.690659e+05 + i -8.176647e+06 ; -4.012129e+08 + i 2.470328e+08 ; -4.431088e+07 + i -6.553656e+07 ; -3.257216e+07 + i -4.565067e+07 ; -1.076728e+09 + i 5.534566e+08 ; -2.152805e+06 + i -2.723952e+07 ; -1.505294e+07 + i -1.743030e+07 ; -3.268827e+08 + i 2.102332e+08 ; 1.499999e+09 + i -6.084619e+08 ; 2.515071e+07 + i 2.696578e+07 ; -4.641741e+08 + i -1.236483e+08 ; 4.362141e+08 + i -3.950485e+07 ; 6.757547e+06 + i 1.315072e+06 ; -2.956685e+08 + i 6.431502e+07 ; 8.329713e+08 + i -3.877918e+08 ; 4.734781e+08 + i -2.364889e+08 ; -4.652705e+08 + i -9.988981e+06 ; 3.203998e+08 + i -5.863676e+07 ; 8.107405e+07 + i -6.784250e+07 ; -2.570668e+08 + i 7.288878e+07 ; 
-8.868405e+09 + i 3.984477e+09 ; 1.412752e+08 + i 2.155117e+08 ; 3.001348e+07 + i -1.493060e+07 ; 6.760225e+08 + i -2.065371e+09 ; -4.868759e+09 + i 1.947687e+09 ; 1.352596e+08 + i 1.500768e+08 ; -4.067750e+10 + i 1.016713e+10 ; -5.463495e+07 + i -9.012824e+05 ; 5.439512e+07 + i 7.256933e+05 ; 1.839557e+10 + i -7.283626e+09 ; -2.487464e+08 + i -4.013445e+08 ; 2.528522e+08 + i 3.978475e+08 ; -2.747338e+09 + i 1.935762e+09 ; 9.940173e+07 + i 1.265947e+08 ; -1.002915e+08 + i -1.261486e+08 ; -6.224976e+08 + i -6.114931e+08 ; -1.658231e+09 + i 8.730861e+08 ; 1.665790e+09 + i -8.806185e+08 ; -8.868345e+09 + i 3.984443e+09 ; -3.011921e+07 + i 1.481771e+07 ; -1.444917e+08 + i -2.112076e+08 ; 6.763591e+08 + i -2.066278e+09 ; -1.341742e+08 + i -1.504438e+08 ; 4.891900e+09 + i -1.966402e+09 ; 6.807918e+08 + i -2.187431e+08 ; -3.252912e+08 + i 2.008177e+08 ; 1.726398e+07 + i 7.858300e+06 ; 3.410571e+08 + i -5.544857e+07 ; -9.688884e+07 + i 7.792856e+07 ; 6.358345e+06 + i -3.721165e+05 ; 1.061140e+09 + i -1.344367e+08 ; -2.220971e+07 + i -1.498499e+07 ; 2.242661e+07 + i 1.475729e+07 ; 4.202767e+08 + i -2.170680e+07 ; -7.704864e+06 + i -1.033635e+06 ; 7.769542e+06 + i 9.199831e+05 ; 4.462562e+08 + i -2.247359e+08 ; -2.384837e+08 + i 1.607476e+08 ; 2.395370e+08 + i -1.621508e+08 ; 2.759722e+08 + i -7.371674e+07 ; -8.028556e+07 + i 6.831878e+07 ; 8.061823e+07 + i -6.889491e+07 ; 6.807827e+08 + i -2.188035e+08 ; -1.711581e+07 + i -8.039274e+06 ; 3.267677e+08 + i -2.026250e+08 ; 3.410687e+08 + i -5.546844e+07 ; -6.310223e+06 + i 2.716735e+05 ; 9.729962e+07 + i -7.859718e+07 ; 
-2.515446e+08 + i -4.082206e+08 ; 1.838429e+10 + i -7.312152e+09 ; -2.532212e+08 + i -3.993363e+08 ; -4.899055e+09 + i 1.953231e+09 ; 6.655705e+08 + i -2.085229e+09 ; -1.356076e+08 + i -1.514673e+08 ; -5.563345e+07 + i -4.064119e+06 ; -4.067833e+10 + i 1.015688e+10 ; -5.483591e+07 + i -1.476246e+06 ; 1.398219e+08 + i 2.107899e+08 ; -8.866597e+09 + i 3.979207e+09 ; -3.032803e+07 + i 1.426567e+07 ; -1.360206e+08 + i -1.559703e+08 ; 6.646960e+08 + i -2.089856e+09 ; -4.895237e+09 + i 1.962643e+09 ; -1.672295e+09 + i 8.683893e+08 ; -6.328255e+08 + i -6.274840e+08 ; -1.668407e+09 + i 8.775471e+08 ; -3.119869e+07 + i 1.177305e+07 ; -8.869640e+09 + i 3.974972e+09 ; 1.435504e+08 + i 2.103072e+08 ; 9.755283e+07 + i 1.219963e+08 ; -2.746071e+09 + i 1.931052e+09 ; 9.979859e+07 + i 1.254597e+08 ; -4.216374e+08 + i 5.616508e+07 ; -2.957192e+08 + i 6.438021e+07 ; -2.990802e+06 + i 2.394804e+06 ; -1.488915e+08 + i -8.721010e+06 ; -1.376135e+08 + i 5.729804e+07 ; 3.875255e+05 + i 2.961898e+06 ; -1.712461e+07 + i -1.277888e+07 ; -4.012365e+08 + i 2.470296e+08 ; 2.036620e+06 + i 9.487681e+06 ; -1.026131e+07 + i -1.205602e+07 ; -1.561725e+08 + i 9.837214e+07 ; 2.157927e+06 + i 5.027609e+06 ; -3.145621e+08 + i 5.788260e+07 ; -2.570982e+08 + i 7.294475e+07 ; -8.542297e+07 + i 6.185177e+07 ; -1.272364e+08 + i -2.174262e+06 ; -1.249237e+08 + i 5.608912e+07 ; -1.972087e+07 + i 2.078858e+07 ; -1.162608e+07 + i -4.376500e+06 ; -3.268992e+08 + i 2.102314e+08 ; 1.492648e+07 + i 1.924777e+07 ; -9.349926e+06 + i -8.655536e+06 ; -1.391706e+08 + i 9.108000e+07 ; 6.602223e+06 + i 7.549349e+06 ; 
3.103929e+07 + i -1.174666e+07 ; 1.424237e+08 + i 2.094337e+08 ; -8.869746e+09 + i 3.975009e+09 ; -9.769267e+07 + i -1.210435e+08 ; 9.904735e+07 + i 1.249577e+08 ; -2.746136e+09 + i 1.931090e+09 ; 5.536052e+07 + i 4.033646e+06 ; -5.456026e+07 + i -1.562302e+06 ; -4.067833e+10 + i 1.015688e+10 ; -1.419112e+08 + i -2.056141e+08 ; -3.023902e+07 + i 1.412775e+07 ; -8.866731e+09 + i 3.979194e+09 ; 1.357085e+08 + i 1.559314e+08 ; -4.872574e+09 + i 1.943839e+09 ; 6.646540e+08 + i -2.089848e+09 ; 1.672230e+09 + i -8.680879e+08 ; -1.660810e+09 + i 8.697227e+08 ; -6.327690e+08 + i -6.278250e+08 ; 2.536742e+08 + i 4.030430e+08 ; -2.512407e+08 + i -3.976540e+08 ; 1.838425e+10 + i -7.312096e+09 ; 4.899310e+09 + i -1.953188e+09 ; -1.342280e+08 + i -1.518066e+08 ; 6.658958e+08 + i -2.086131e+09 ; 1.151228e+07 + i 4.554351e+06 ; 1.480864e+07 + i 1.916841e+07 ; -3.268959e+08 + i 2.102316e+08 ; 9.281815e+06 + i 8.730864e+06 ; 6.550983e+06 + i 7.519366e+06 ; -1.391661e+08 + i 9.108031e+07 ; 1.693053e+07 + i 1.301305e+07 ; 2.000769e+06 + i 9.437385e+06 ; -4.012280e+08 + i 2.470297e+08 ; 1.017346e+07 + i 1.214056e+07 ; 2.133525e+06 + i 5.003538e+06 ; -1.561673e+08 + i 9.837292e+07 ; 3.144879e+08 + i -5.774227e+07 ; -8.505126e+07 + i 6.132419e+07 ; -2.570680e+08 + i 7.288696e+07 ; 1.271817e+08 + i 2.242398e+06 ; -1.964503e+07 + i 2.062417e+07 ; -1.249181e+08 + i 5.606705e+07 ; 4.215276e+08 + i -5.600089e+07 ; -2.953420e+06 + i 2.305931e+06 ; -2.956696e+08 + i 6.431239e+07 ; 1.488275e+08 + i 8.794173e+06 ; 3.862606e+05 + i 2.923079e+06 ; -1.376066e+08 + i 5.727374e+07 ; 
6.763832e+08 + i -2.065109e+09 ; 4.869146e+09 + i -1.932911e+09 ; -1.368987e+08 + i -1.547581e+08 ; -8.827534e+09 + i 4.025995e+09 ; -1.309850e+08 + i -1.994533e+08 ; -3.096484e+07 + i 7.934123e+06 ; 1.839556e+10 + i -7.283617e+09 ; 2.519728e+08 + i 4.074372e+08 ; -2.540595e+08 + i -4.023162e+08 ; -4.062572e+10 + i 1.023304e+10 ; 5.470837e+07 + i 7.822655e+06 ; -5.494783e+07 + i -7.792946e+06 ; -6.223469e+08 + i -6.114221e+08 ; 1.662770e+09 + i -8.628361e+08 ; -1.670268e+09 + i 8.703028e+08 ; -2.714653e+09 + i 1.962094e+09 ; -8.857649e+07 + i -1.111384e+08 ; 8.897678e+07 + i 1.104228e+08 ; 6.763682e+08 + i -2.066281e+09 ; 1.362123e+08 + i 1.553080e+08 ; -4.891718e+09 + i 1.951470e+09 ; -8.827509e+09 + i 4.026017e+09 ; 3.099794e+07 + i -7.907165e+06 ; 1.320922e+08 + i 1.934328e+08 ; 1.288264e+09 + i -8.027314e+08 ; -1.484994e+09 + i 6.143623e+08 ; 6.381909e+07 + i 7.927076e+07 ; 6.807901e+08 + i -2.188948e+08 ; -3.150561e+08 + i 2.134275e+08 ; 3.190076e+07 + i 2.280394e+07 ; 3.518391e+09 + i -1.436812e+09 ; -8.804107e+07 + i -1.295544e+08 ; 8.868311e+07 + i 1.314212e+08 ; 1.061123e+09 + i -1.344300e+08 ; -4.001353e+07 + i -3.283150e+07 ; 4.031127e+07 + i 3.326846e+07 ; 5.022819e+08 + i -4.803974e+08 ; -8.230647e+08 + i 3.916472e+08 ; 8.266995e+08 + i -3.948555e+08 ; 4.462668e+08 + i -2.248495e+08 ; -2.326096e+08 + i 1.656558e+08 ; 2.335523e+08 + i -1.667548e+08 ; 1.288277e+09 + i -8.023669e+08 ; -6.334327e+07 + i -7.831952e+07 ; 1.491703e+09 + i -6.196910e+08 ; 6.807853e+08 + i -2.187994e+08 ; -3.167434e+07 + i -2.249660e+07 ; 3.163447e+08 + i -2.148646e+08 ; 
4.861573e+09 + i -1.948016e+09 ; 6.659217e+08 + i -2.084956e+09 ; -1.350449e+08 + i -1.508173e+08 ; 2.308479e+08 + i 3.741126e+08 ; 1.838524e+10 + i -7.300858e+09 ; -2.523714e+08 + i -3.977506e+08 ; -1.458668e+08 + i -2.228750e+08 ; -8.866588e+09 + i 3.979191e+09 ; -3.011946e+07 + i 1.461912e+07 ; 4.375081e+07 + i -9.370480e+06 ; -4.066637e+10 + i 1.017647e+10 ; -5.434722e+07 + i -5.106381e+05 ; 1.655274e+09 + i -8.765044e+08 ; -6.326835e+08 + i -6.274143e+08 ; -1.665948e+09 + i 8.750684e+08 ; 1.180909e+08 + i 1.286822e+08 ; 6.662161e+08 + i -2.078591e+09 ; -4.885144e+09 + i 1.959173e+09 ; -1.024429e+08 + i -1.319283e+08 ; -2.746075e+09 + i 1.931058e+09 ; 9.968958e+07 + i 1.256615e+08 ; 2.109695e+07 + i -2.273163e+07 ; -8.858515e+09 + i 3.992732e+09 ; 1.451914e+08 + i 2.120105e+08 ; -1.497838e+09 + i 6.058800e+08 ; -4.641703e+08 + i -1.240203e+08 ; -2.507951e+07 + i -2.693415e+07 ; -4.354461e+08 + i 3.888972e+07 ; -2.956754e+08 + i 6.423011e+07 ; -6.743427e+06 + i -1.318125e+06 ; 5.304146e+07 + i 8.455335e+07 ; -1.726063e+09 + i 7.512390e+08 ; -2.957167e+06 + i 1.233047e+07 ; -1.620802e+06 + i 2.700268e+07 ; -4.012147e+08 + i 2.470291e+08 ; 9.602482e+05 + i 8.162227e+06 ; -8.318272e+08 + i 3.862701e+08 ; -4.652954e+08 + i -1.019230e+07 ; -4.727381e+08 + i 2.356360e+08 ; -3.198719e+08 + i 5.812884e+07 ; -2.570778e+08 + i 7.282808e+07 ; -8.096972e+07 + i 6.764259e+07 ; 4.416691e+07 + i 6.481877e+07 ; -1.076724e+09 + i 5.534569e+08 ; 3.247066e+07 + i 4.558695e+07 ; 2.174774e+06 + i 2.693112e+07 ; -3.268851e+08 + i 2.102290e+08 ; 1.500903e+07 + i 1.740814e+07 ; 
