-4.636633e+10 + i 2.180295e+10 ; 2.593720e+08 + i -5.811835e+06 ; 2.593331e+08 + i -5.809279e+06 ; 2.070222e+10 + i -1.621141e+10 ; 5.960234e+08 + i 1.053051e+09 ; 5.960605e+08 + i 1.052996e+09 ; -9.321553e+09 + i 8.999536e+09 ; -3.673134e+08 + i -5.407514e+08 ; 1.710273e+08 + i -6.790086e+07 ; -5.321287e+08 + i -5.078148e+09 ; 5.662670e+09 + i -4.411219e+09 ; 4.145016e+08 + i 3.990268e+08 ; -9.321593e+09 + i 8.999541e+09 ; 1.711792e+08 + i -6.787793e+07 ; -3.673080e+08 + i -5.407216e+08 ; -5.321970e+08 + i -5.078120e+09 ; 4.147493e+08 + i 3.992502e+08 ; 5.662662e+09 + i -4.411200e+09 ; -2.226182e+09 + i 4.429487e+09 ; -2.832557e+08 + i -3.172982e+08 ; -2.832845e+08 + i -3.172380e+08 ; -2.017474e+09 + i -1.569187e+09 ; 1.786435e+09 + i -2.030666e+09 ; 1.786415e+09 + i -2.030642e+09 ; 1.419616e+09 + i -2.419240e+08 ; 8.437495e+07 + i 3.434025e+07 ; 8.438930e+07 + i 3.432723e+07 ; 5.372338e+08 + i -1.914686e+06 ; 3.588971e+07 + i -5.357552e+06 ; 3.588941e+07 + i -5.361505e+06 ; 9.545113e+08 + i -4.905600e+08 ; 3.307791e+08 + i -4.730391e+08 ; 7.080901e+07 + i 1.375142e+07 ; 4.901063e+08 + i -7.699465e+07 ; 7.712713e+07 + i -1.857310e+08 ; 3.110127e+07 + i -9.394896e+06 ; 9.544963e+08 + i -4.905392e+08 ; 7.085580e+07 + i 1.378614e+07 ; 3.307800e+08 + i -4.730324e+08 ; 4.901037e+08 + i -7.699621e+07 ; 3.112653e+07 + i -9.386996e+06 ; 7.712867e+07 + i -1.857274e+08 ; 6.304655e+08 + i -5.466624e+08 ; 2.284236e+08 + i -3.806154e+08 ; 2.284255e+08 + i -3.806131e+08 ; 4.327489e+08 + i -1.311603e+08 ; 5.897999e+07 + i -1.629301e+08 ; 5.897890e+07 + i -1.629265e+08 ; 
2.583477e+08 + i 4.094662e+06 ; -4.635422e+10 + i 2.177485e+10 ; 2.603010e+08 + i -2.959495e+06 ; -3.640038e+08 + i -5.242233e+08 ; -9.305661e+09 + i 8.980858e+09 ; 1.715201e+08 + i -6.577238e+07 ; 5.913947e+08 + i 1.067558e+09 ; 2.069027e+10 + i -1.629039e+10 ; 5.954869e+08 + i 1.058763e+09 ; 5.672733e+09 + i -4.374157e+09 ; -5.512137e+08 + i -5.135678e+09 ; 4.138869e+08 + i 4.041615e+08 ; 1.704967e+08 + i -5.808337e+07 ; -9.312047e+09 + i 8.971343e+09 ; -3.643535e+08 + i -5.384050e+08 ; -2.792151e+08 + i -3.018544e+08 ; -2.212540e+09 + i 4.411170e+09 ; -2.820595e+08 + i -3.155230e+08 ; 4.108688e+08 + i 4.136821e+08 ; -5.519293e+08 + i -5.147719e+09 ; 5.672482e+09 + i -4.401282e+09 ; 1.797361e+09 + i -1.996639e+09 ; -2.041418e+09 + i -1.618548e+09 ; 1.793927e+09 + i -2.022599e+09 ; 5.911395e+07 + i 3.622697e+07 ; -3.745000e+08 + i 5.493183e+08 ; 4.819433e+06 + i -3.214590e+07 ; 2.944009e+07 + i 4.064618e+07 ; -1.482827e+08 + i 2.168468e+08 ; -3.000073e+06 + i -1.772747e+07 ; 5.566802e+08 + i -9.079414e+07 ; -4.785006e+08 + i 1.506733e+08 ; 1.791565e+07 + i -1.196346e+07 ; 1.880678e+08 + i 4.598673e+07 ; -1.994745e+08 + i 1.474058e+08 ; 2.302112e+06 + i -1.171084e+07 ; 4.649982e+07 + i 1.266864e+07 ; -2.958288e+08 + i 4.646784e+08 ; -4.039728e+07 + i -4.929602e+07 ; 3.089931e+07 + i 3.154790e+07 ; -1.309467e+08 + i 2.008086e+08 ; -1.900714e+07 + i -1.937310e+07 ; 4.231807e+08 + i -1.074387e+08 ; -4.166458e+08 + i 1.813976e+08 ; 7.701483e+07 + i -1.457538e+08 ; 1.701565e+08 + i 2.976692e+07 ; -1.796102e+08 + i 1.464019e+08 ; 1.078647e+07 + i -4.997029e+07 ; 
2.582783e+08 + i 4.118418e+06 ; 2.603007e+08 + i -2.962440e+06 ; -4.635412e+10 + i 2.177474e+10 ; -3.640028e+08 + i -5.242132e+08 ; 1.715198e+08 + i -6.577734e+07 ; -9.305831e+09 + i 8.980866e+09 ; 1.704461e+08 + i -5.806575e+07 ; -3.643110e+08 + i -5.384513e+08 ; -9.312973e+09 + i 8.970550e+09 ; -2.792366e+08 + i -3.018176e+08 ; -2.820355e+08 + i -3.155646e+08 ; -2.213231e+09 + i 4.411029e+09 ; 5.913895e+08 + i 1.067537e+09 ; 5.955120e+08 + i 1.058737e+09 ; 2.068971e+10 + i -1.629071e+10 ; 5.672731e+09 + i -4.374159e+09 ; 4.139065e+08 + i 4.041361e+08 ; -5.516606e+08 + i -5.135765e+09 ; 4.108278e+08 + i 4.136482e+08 ; 5.672482e+09 + i -4.401281e+09 ; -5.519432e+08 + i -5.147663e+09 ; 1.797369e+09 + i -1.996648e+09 ; 1.793928e+09 + i -2.022604e+09 ; -2.041559e+09 + i -1.618442e+09 ; 5.913243e+07 + i 3.621912e+07 ; 4.820498e+06 + i -3.214525e+07 ; -3.745179e+08 + i 5.493078e+08 ; 2.944224e+07 + i 4.064804e+07 ; -2.999715e+06 + i -1.772768e+07 ; -1.482897e+08 + i 2.168511e+08 ; 4.651857e+07 + i 1.266153e+07 ; -4.039644e+07 + i -4.929991e+07 ; -2.958621e+08 + i 4.646856e+08 ; 3.090383e+07 + i 3.155004e+07 ; -1.900786e+07 + i -1.937423e+07 ; -1.309473e+08 + i 2.008226e+08 ; 5.566807e+08 + i -9.079602e+07 ; 1.791944e+07 + i -1.196804e+07 ; -4.785616e+08 + i 1.506539e+08 ; 1.880692e+08 + i 4.598652e+07 ; 2.303591e+06 + i -1.171367e+07 ; -1.995041e+08 + i 1.473997e+08 ; 4.231991e+08 + i -1.074423e+08 ; 7.701460e+07 + i -1.457538e+08 ; -4.166385e+08 + i 1.813873e+08 ; 1.701604e+08 + i 2.976804e+07 ; 1.078599e+07 + i -4.997085e+07 ; -1.796085e+08 + i 1.463957e+08 ; 
2.070293e+10 + i -1.621164e+10 ; -5.968976e+08 + i -1.062455e+09 ; -5.969394e+08 + i -1.062408e+09 ; -4.622090e+10 + i 2.196688e+10 ; -2.503335e+08 + i -1.506845e+07 ; -2.502938e+08 + i -1.506937e+07 ; -5.318850e+08 + i -5.078242e+09 ; -5.634857e+09 + i 4.378582e+09 ; -4.151958e+08 + i -4.127390e+08 ; -9.191943e+09 + i 9.101543e+09 ; 3.365878e+08 + i 4.915593e+08 ; -1.639951e+08 + i 4.615847e+07 ; -5.319613e+08 + i -5.078181e+09 ; -4.154298e+08 + i -4.129598e+08 ; -5.634849e+09 + i 4.378563e+09 ; -9.191970e+09 + i 9.101600e+09 ; -1.641348e+08 + i 4.613263e+07 ; 3.365860e+08 + i 4.915335e+08 ; -2.017400e+09 + i -1.569141e+09 ; -1.789276e+09 + i 2.003303e+09 ; -1.789256e+09 + i 2.003282e+09 ; -2.111891e+09 + i 4.490855e+09 ; 2.541021e+08 + i 2.746930e+08 ; 2.541330e+08 + i 2.746517e+08 ; 3.872670e+09 + i -3.201098e+09 ; 2.221950e+08 + i 3.510376e+08 ; 2.222097e+08 + i 3.510262e+08 ; 1.419107e+09 + i -2.418936e+08 ; 1.422705e+08 + i 8.639457e+07 ; 1.422643e+08 + i 8.638932e+07 ; 1.250792e+09 + i -1.836817e+09 ; 1.703230e+09 + i -1.396366e+09 ; 1.833320e+08 + i 2.135937e+08 ; 9.543054e+08 + i -4.904182e+08 ; 2.976018e+08 + i -5.022999e+08 ; 1.190071e+08 + i 5.462709e+07 ; 1.250839e+09 + i -1.836845e+09 ; 1.834063e+08 + i 2.136574e+08 ; 1.703223e+09 + i -1.396354e+09 ; 9.543280e+08 + i -4.904318e+08 ; 1.190681e+08 + i 5.465248e+07 ; 2.975987e+08 + i -5.022867e+08 ; 3.384995e+08 + i -1.115958e+09 ; 9.093326e+08 + i -9.018440e+08 ; 9.093239e+08 + i -9.018318e+08 ; 6.304719e+08 + i -5.465494e+08 ; 2.051258e+08 + i -3.893942e+08 ; 2.051133e+08 + i -3.893793e+08 ; 
3.690820e+08 + i 5.435591e+08 ; -9.306281e+09 + i 8.980947e+09 ; 1.699916e+08 + i -6.691347e+07 ; -2.198165e+08 + i 3.545919e+07 ; -4.632782e+10 + i 2.182172e+10 ; 2.583344e+08 + i -7.822054e+06 ; -5.480098e+09 + i 4.384109e+09 ; -5.512106e+08 + i -5.135637e+09 ; 4.119620e+08 + i 3.990874e+08 ; -5.442163e+08 + i -9.478672e+08 ; 2.067843e+10 + i -1.625808e+10 ; 5.957815e+08 + i 1.046314e+09 ; 2.854871e+08 + i 3.248218e+08 ; -2.212803e+09 + i 4.411334e+09 ; -2.813328e+08 + i -3.135444e+08 ; -1.361997e+08 + i 8.869546e+07 ; -9.287186e+09 + i 9.013902e+09 ; -3.700240e+08 + i -5.391371e+08 ; -1.724714e+09 + i 2.018702e+09 ; -2.041389e+09 + i -1.618577e+09 ; 1.776619e+09 + i -2.015378e+09 ; -3.650570e+08 + i -3.291962e+08 ; -5.614847e+08 + i -5.114600e+09 ; 5.616036e+09 + i -4.398418e+09 ; -1.223197e+08 + i -2.253449e+08 ; -1.834280e+09 + i 1.672534e+09 ; 3.312768e+07 + i -4.036815e+07 ; 5.078758e+07 + i -7.731132e+07 ; -3.744247e+08 + i 5.495017e+08 ; 7.965959e+06 + i -2.990948e+07 ; 1.709948e+09 + i -1.368312e+09 ; -8.062614e+08 + i -3.405310e+08 ; 7.812386e+07 + i 6.673412e+07 ; 5.988106e+08 + i -5.152009e+07 ; -4.785306e+08 + i 1.507215e+08 ; 2.986419e+07 + i -1.810153e+06 ; -1.104291e+08 + i -1.737989e+08 ; -1.083960e+09 + i 1.236657e+09 ; -8.403060e+07 + i -1.162748e+08 ; 3.354029e+07 + i -8.215834e+07 ; -2.957343e+08 + i 4.648430e+08 ; -4.353226e+07 + i -4.354978e+07 ; 9.203177e+08 + i -8.869762e+08 ; -8.008595e+08 + i -5.693865e+07 ; 5.137175e+08 + i -5.403833e+08 ; 4.517232e+08 + i -1.145751e+08 ; -4.166656e+08 + i 1.814437e+08 ; 6.431170e+07 + i -1.602800e+08 ; 
3.690848e+08 + i 5.435589e+08 ; 1.699902e+08 + i -6.691829e+07 ; -9.306456e+09 + i 8.980977e+09 ; -2.197648e+08 + i 3.544098e+07 ; 2.583351e+08 + i -7.825012e+06 ; -4.632774e+10 + i 2.182159e+10 ; 2.855089e+08 + i 3.248062e+08 ; -2.813096e+08 + i -3.135858e+08 ; -2.213500e+09 + i 4.411219e+09 ; -1.361624e+08 + i 8.868348e+07 ; -3.699834e+08 + i -5.391853e+08 ; -9.288143e+09 + i 9.013106e+09 ; -5.480101e+09 + i 4.384113e+09 ; 4.119807e+08 + i 3.990622e+08 ; -5.516491e+08 + i -5.135705e+09 ; -5.442140e+08 + i -9.478506e+08 ; 5.958077e+08 + i 1.046286e+09 ; 2.067784e+10 + i -1.625838e+10 ; -1.724721e+09 + i 2.018711e+09 ; 1.776618e+09 + i -2.015384e+09 ; -2.041532e+09 + i -1.618398e+09 ; -3.650363e+08 + i -3.291802e+08 ; 5.616038e+09 + i -4.398417e+09 ; -5.615030e+08 + i -5.114554e+09 ; -1.223210e+08 + i -2.253520e+08 ; 3.312888e+07 + i -4.036662e+07 ; -1.834242e+09 + i 1.672509e+09 ; 5.077520e+07 + i -7.730669e+07 ; 7.966416e+06 + i -2.990991e+07 ; -3.744238e+08 + i 5.495046e+08 ; -1.104277e+08 + i -1.738037e+08 ; -8.402531e+07 + i -1.162829e+08 ; -1.084043e+09 + i 1.236618e+09 ; 3.353321e+07 + i -8.215383e+07 ; -4.353187e+07 + i -4.355395e+07 ; -2.957440e+08 + i 4.648645e+08 ; 1.709949e+09 + i -1.368316e+09 ; 7.813104e+07 + i 6.672632e+07 ; -8.063809e+08 + i -3.405893e+08 ; 5.988098e+08 + i -5.152524e+07 ; 2.986751e+07 + i -1.815610e+06 ; -4.785937e+08 + i 1.507050e+08 ; 9.203209e+08 + i -8.869863e+08 ; 5.137169e+08 + i -5.403818e+08 ; -8.008189e+08 + i -5.695617e+07 ; 4.517199e+08 + i -1.145804e+08 ; 6.431120e+07 + i -1.602809e+08 ; -4.166561e+08 + i 1.814344e+08 ; 
-9.322700e+09 + i 8.999247e+09 ; 3.407364e+08 + i 5.538608e+08 ; 1.695236e+08 + i -6.783056e+07 ; -5.361322e+08 + i -5.072647e+09 ; -5.467771e+09 + i 4.364283e+09 ; 4.123983e+08 + i 3.949792e+08 ; -4.636592e+10 + i 2.180252e+10 ; -2.579182e+08 + i 3.651150e+06 ; 2.573978e+08 + i -6.514347e+06 ; 2.070108e+10 + i -1.621270e+10 ; -5.692656e+08 + i -1.050710e+09 ; 5.947404e+08 + i 1.043501e+09 ; -2.227130e+09 + i 4.429264e+09 ; 2.778363e+08 + i 3.134373e+08 ; -2.820946e+08 + i -3.140917e+08 ; -2.018163e+09 + i -1.566618e+09 ; -1.716786e+09 + i 1.999456e+09 ; 1.767535e+09 + i -2.020789e+09 ; -9.321601e+09 + i 8.999271e+09 ; -1.693531e+08 + i 6.661954e+07 ; -3.661587e+08 + i -5.357140e+08 ; -5.326414e+08 + i -5.078130e+09 ; -4.069707e+08 + i -3.919198e+08 ; 5.608552e+09 + i -4.394913e+09 ; 9.547224e+08 + i -4.899055e+08 ; -3.161744e+08 + i 4.635982e+08 ; 7.029514e+07 + i 1.346308e+07 ; 4.899985e+08 + i -7.683100e+07 ; -7.277604e+07 + i 1.812407e+08 ; 3.083592e+07 + i -9.404790e+06 ; 1.419601e+09 + i -2.418860e+08 ; -8.166816e+07 + i -3.436073e+07 ; 8.389157e+07 + i 3.381352e+07 ; 5.372555e+08 + i -1.862571e+06 ; -3.461678e+07 + i 4.841711e+06 ; 3.561667e+07 + i -5.434227e+06 ; 6.305808e+08 + i -5.462903e+08 ; -2.177574e+08 + i 3.725578e+08 ; 2.256702e+08 + i -3.784670e+08 ; 4.326713e+08 + i -1.310278e+08 ; -5.541712e+07 + i 1.588910e+08 ; 5.808486e+07 + i -1.618969e+08 ; 9.544785e+08 + i -4.904935e+08 ; -6.857022e+07 + i -1.403403e+07 ; 3.270071e+08 + i -4.704991e+08 ; 4.901263e+08 + i -7.696148e+07 ; -2.999455e+07 + i 8.819536e+06 ; 7.603369e+07 + i -1.845837e+08 ; 
-5.670865e+08 + i -1.089775e+09 ; 2.069082e+10 + i -1.629104e+10 ; -5.941356e+08 + i -1.049354e+09 ; -5.621583e+09 + i 4.361039e+09 ; -5.550765e+08 + i -5.130208e+09 ; -4.120421e+08 + i -4.000463e+08 ; -2.597191e+08 + i -5.716591e+06 ; -4.635412e+10 + i 2.177445e+10 ; -2.586035e+08 + i 3.723539e+06 ; 3.399227e+08 + i 5.503678e+08 ; -9.304518e+09 + i 8.982016e+09 ; -1.702210e+08 + i 6.584201e+07 ; -4.074704e+08 + i -4.172867e+08 ; -5.513440e+08 + i -5.147395e+09 ; -5.618361e+09 + i 4.385070e+09 ; -1.778202e+09 + i 1.988678e+09 ; -2.042177e+09 + i -1.615781e+09 ; -1.775030e+09 + i 2.012841e+09 ; -1.718430e+08 + i 5.702710e+07 ; -9.311927e+09 + i 8.971200e+09 ; 3.632069e+08 + i 5.334384e+08 ; 2.764157e+08 + i 3.062927e+08 ; -2.212027e+09 + i 4.411224e+09 ; 2.808873e+08 + i 3.124273e+08 ; -5.540329e+08 + i 9.232011e+07 ; -4.791323e+08 + i 1.508692e+08 ; -1.775241e+07 + i 1.191898e+07 ; -1.876079e+08 + i -4.505961e+07 ; -1.996143e+08 + i 1.475732e+08 ; -2.254423e+06 + i 1.162983e+07 ; -6.072902e+07 + i -3.513296e+07 ; -3.746489e+08 + i 5.492676e+08 ; -4.708633e+06 + i 3.193003e+07 ; -3.012418e+07 + i -4.021930e+07 ; -1.483552e+08 + i 2.168027e+08 ; 3.023232e+06 + i 1.759279e+07 ; -4.209494e+08 + i 1.085136e+08 ; -4.170903e+08 + i 1.817073e+08 ; -7.603685e+07 + i 1.449021e+08 ; -1.696893e+08 + i -2.893974e+07 ; -1.797199e+08 + i 1.465733e+08 ; -1.056629e+07 + i 4.963413e+07 ; -4.748193e+07 + i -1.165191e+07 ; -2.959141e+08 + i 4.646913e+08 ; 4.024039e+07 + i 4.881872e+07 ; -3.146512e+07 + i -3.109917e+07 ; -1.310000e+08 + i 2.007819e+08 ; 1.892240e+07 + i 1.917688e+07 ; 
1.693149e+08 + i -5.769966e+07 ; 3.608075e+08 + i 5.209145e+08 ; -9.313699e+09 + i 8.970713e+09 ; -2.781865e+08 + i -2.989447e+08 ; 2.783006e+08 + i 3.044960e+08 ; -2.213544e+09 + i 4.411291e+09 ; 2.567992e+08 + i 3.539293e+06 ; -2.541276e+08 + i 5.565474e+06 ; -4.635408e+10 + i 2.177445e+10 ; -3.628824e+08 + i -5.197157e+08 ; -1.670589e+08 + i 6.553896e+07 ; -9.306015e+09 + i 8.980750e+09 ; 4.041980e+08 + i 4.146743e+08 ; -5.482087e+09 + i 4.350027e+09 ; -5.519404e+08 + i -5.147604e+09 ; 1.778225e+09 + i -1.986752e+09 ; -1.724804e+09 + i 1.989460e+09 ; -2.041533e+09 + i -1.618382e+09 ; 5.906102e+08 + i 1.059307e+09 ; -5.921343e+08 + i -1.026109e+09 ; 2.068965e+10 + i -1.629076e+10 ; 5.624113e+09 + i -4.358970e+09 ; -4.033301e+08 + i -3.947162e+08 ; -5.517173e+08 + i -5.135771e+09 ; 4.627401e+07 + i 1.242403e+07 ; 3.987455e+07 + i 4.754089e+07 ; -2.958720e+08 + i 4.647052e+08 ; 3.077877e+07 + i 3.124321e+07 ; 1.871183e+07 + i 1.863890e+07 ; -1.309441e+08 + i 2.008258e+08 ; 5.876798e+07 + i 3.579443e+07 ; -4.426129e+06 + i 3.127907e+07 ; -3.745490e+08 + i 5.492950e+08 ; 2.933179e+07 + i 4.027989e+07 ; 3.068846e+06 + i 1.720264e+07 ; -1.483041e+08 + i 2.168552e+08 ; 4.200799e+08 + i -1.077480e+08 ; -7.322958e+07 + i 1.425716e+08 ; -4.166420e+08 + i 1.813817e+08 ; 1.690679e+08 + i 2.912758e+07 ; -9.892472e+06 + i 4.868091e+07 ; -1.796112e+08 + i 1.463925e+08 ; 5.526723e+08 + i -9.162794e+07 ; -1.700779e+07 + i 1.139506e+07 ; -4.785630e+08 + i 1.506531e+08 ; 1.869226e+08 + i 4.518855e+07 ; -2.041255e+06 + i 1.126526e+07 ; -1.995046e+08 + i 1.474011e+08 ; 
-5.350060e+08 + i -5.069023e+09 ; 5.450815e+09 + i -4.321189e+09 ; -4.126626e+08 + i -4.087905e+08 ; -9.191981e+09 + i 9.101346e+09 ; -3.132717e+08 + i -5.291471e+08 ; -1.625949e+08 + i 4.608742e+07 ; 2.070087e+10 + i -1.621289e+10 ; 5.727138e+08 + i 1.083270e+09 ; -5.945961e+08 + i -1.053019e+09 ; -4.622085e+10 + i 2.196699e+10 ; 2.452357e+08 + i 1.230920e+07 ; -2.483910e+08 + i -1.442936e+07 ; -2.017276e+09 + i -1.565189e+09 ; 1.722477e+09 + i -1.970005e+09 ; -1.771539e+09 + i 1.991572e+09 ; -2.112528e+09 + i 4.490537e+09 ; -2.508548e+08 + i -2.764873e+08 ; 2.527388e+08 + i 2.720250e+08 ; -5.325187e+08 + i -5.077979e+09 ; 4.096413e+08 + i 4.098624e+08 ; -5.582938e+09 + i 4.356510e+09 ; -9.191946e+09 + i 9.101581e+09 ; 1.627546e+08 + i -4.596450e+07 ; 3.350180e+08 + i 4.871038e+08 ; 1.251667e+09 + i -1.839779e+09 ; -1.650136e+09 + i 1.379832e+09 ; 1.823045e+08 + i 2.116084e+08 ; 9.547935e+08 + i -4.910698e+08 ; -2.865279e+08 + i 4.942776e+08 ; 1.181799e+08 + i 5.399046e+07 ; 3.872772e+09 + i -3.201060e+09 ; -2.241506e+08 + i -3.300993e+08 ; 2.212589e+08 + i 3.478730e+08 ; 1.419285e+09 + i -2.418942e+08 ; -1.400470e+08 + i -8.000818e+07 ; 1.413625e+08 + i 8.542450e+07 ; 3.386980e+08 + i -1.117814e+09 ; -8.797603e+08 + i 8.894002e+08 ; 9.005574e+08 + i -8.967705e+08 ; 6.307751e+08 + i -5.471202e+08 ; -1.971165e+08 + i 3.829894e+08 ; 2.027633e+08 + i -3.868119e+08 ; 1.250931e+09 + i -1.836858e+09 ; -1.823646e+08 + i -2.014327e+08 ; 1.687384e+09 + i -1.389133e+09 ; 9.544546e+08 + i -4.904738e+08 ; -1.169188e+08 + i -5.007697e+07 ; 2.943058e+08 + i -4.990547e+08 ; 
5.438031e+09 + i -4.362006e+09 ; -5.541466e+08 + i -5.126548e+09 ; -4.096606e+08 + i -3.952158e+08 ; 5.228064e+08 + i 9.943818e+08 ; 2.067794e+10 + i -1.625876e+10 ; -5.933651e+08 + i -1.037177e+09 ; -3.479462e+08 + i -5.925572e+08 ; -9.304226e+09 + i 8.982044e+09 ; -1.686979e+08 + i 6.681594e+07 ; 2.196122e+08 + i -3.540296e+07 ; -4.632801e+10 + i 2.182177e+10 ; -2.565668e+08 + i 8.340151e+06 ; 1.708104e+09 + i -2.007906e+09 ; -2.041347e+09 + i -1.614504e+09 ; -1.758987e+09 + i 2.003565e+09 ; 3.640226e+08 + i 3.379229e+08 ; -5.611383e+08 + i -5.114153e+09 ; -5.564262e+09 + i 4.376149e+09 ; -2.846272e+08 + i -3.333540e+08 ; -2.212162e+09 + i 4.411208e+09 ; 2.798236e+08 + i 3.105991e+08 ; 1.385423e+08 + i -8.769496e+07 ; -9.287070e+09 + i 9.013949e+09 ; 3.682820e+08 + i 5.342918e+08 ; -1.696221e+09 + i 1.358048e+09 ; -8.052912e+08 + i -3.435478e+08 ; -7.765696e+07 + i -6.608695e+07 ; -5.935807e+08 + i 5.029719e+07 ; -4.784960e+08 + i 1.499429e+08 ; -2.963749e+07 + i 1.850936e+06 ; 1.258459e+08 + i 2.136185e+08 ; -1.834328e+09 + i 1.672454e+09 ; -3.283119e+07 + i 4.013426e+07 ; -4.788156e+07 + i 7.498804e+07 ; -3.743636e+08 + i 5.494013e+08 ; -7.859443e+06 + i 2.970545e+07 ; -9.130308e+08 + i 8.802935e+08 ; -8.006579e+08 + i -5.877200e+07 ; -5.087024e+08 + i 5.372929e+08 ; -4.478544e+08 + i 1.129659e+08 ; -4.167097e+08 + i 1.808715e+08 ; -6.349801e+07 + i 1.591857e+08 ; 1.113947e+08 + i 1.673989e+08 ; -1.083977e+09 + i 1.236624e+09 ; 8.362449e+07 + i 1.152175e+08 ; -3.171237e+07 + i 7.990401e+07 ; -2.956863e+08 + i 4.647465e+08 ; 4.328830e+07 + i 4.313046e+07 ; 
