-4.639477e+10 + i 2.783578e+10 ; 4.161689e+08 + i -1.087019e+08 ; 4.160553e+08 + i -1.086806e+08 ; 1.959368e+10 + i -2.069757e+10 ; 1.021485e+09 + i 1.313885e+09 ; 1.021552e+09 + i 1.313684e+09 ; -8.097540e+09 + i 1.126477e+10 ; -6.147680e+08 + i -6.369341e+08 ; 2.617554e+08 + i -1.844121e+08 ; -2.243544e+09 + i -6.172290e+09 ; 5.469750e+09 + i -5.714480e+09 ; 6.929569e+08 + i 4.311519e+08 ; -8.097676e+09 + i 1.126482e+10 ; 2.621678e+08 + i -1.844799e+08 ; -6.147139e+08 + i -6.368378e+08 ; -2.243732e+09 + i -6.172163e+09 ; 6.936925e+08 + i 4.315766e+08 ; 5.469744e+09 + i -5.714413e+09 ; -1.116010e+09 + i 5.284815e+09 ; -4.632646e+08 + i -3.441511e+08 ; -4.633057e+08 + i -3.439346e+08 ; -3.310241e+09 + i -1.507481e+09 ; 1.531728e+09 + i -2.590625e+09 ; 1.531685e+09 + i -2.590534e+09 ; 1.623939e+09 + i -3.835187e+08 ; 1.357047e+08 + i 1.582217e+07 ; 1.357355e+08 + i 1.577187e+07 ; 6.269324e+08 + i -4.186147e+06 ; 5.341574e+07 + i -2.686673e+07 ; 5.341012e+07 + i -2.687957e+07 ; 1.065448e+09 + i -7.197247e+08 ; 2.557515e+08 + i -5.997745e+08 ; 1.117636e+08 + i -1.116176e+07 ; 6.013522e+08 + i -1.129153e+08 ; 3.291746e+07 + i -2.285966e+08 ; 4.501186e+07 + i -3.151949e+07 ; 1.065423e+09 + i -7.196522e+08 ; 1.118991e+08 + i -1.110542e+07 ; 2.557638e+08 + i -5.997541e+08 ; 6.013433e+08 + i -1.129222e+08 ; 4.508191e+07 + i -3.151996e+07 ; 3.292848e+07 + i -2.285869e+08 ; 6.658486e+08 + i -7.946447e+08 ; 1.581371e+08 + i -4.785096e+08 ; 1.581471e+08 + i -4.785029e+08 ; 5.476531e+08 + i -1.974175e+08 ; 1.768980e+07 + i -1.990216e+08 ; 1.769091e+07 + i -1.990094e+08 ; 
4.152009e+08 + i -9.299254e+07 ; -4.637687e+10 + i 2.778936e+10 ; 4.183495e+08 + i -1.042617e+08 ; -6.081948e+08 + i -6.127245e+08 ; -8.075577e+09 + i 1.122788e+10 ; 2.629391e+08 + i -1.812499e+08 ; 1.015144e+09 + i 1.337353e+09 ; 1.956627e+10 + i -2.081049e+10 ; 1.021971e+09 + i 1.323711e+09 ; 5.487800e+09 + i -5.663871e+09 ; -2.280322e+09 + i -6.252960e+09 ; 6.929801e+08 + i 4.399699e+08 ; 2.618005e+08 + i -1.688426e+08 ; -8.084268e+09 + i 1.121740e+10 ; -6.100364e+08 + i -6.344675e+08 ; -4.554983e+08 + i -3.215651e+08 ; -1.097568e+09 + i 5.248408e+09 ; -4.613842e+08 + i -3.419104e+08 ; 6.886150e+08 + i 4.550429e+08 ; -2.283883e+09 + i -6.271559e+09 ; 5.485750e+09 + i -5.703396e+09 ; 1.551155e+09 + i -2.544231e+09 ; -3.355077e+09 + i -1.576244e+09 ; 1.543897e+09 + i -2.581514e+09 ; 9.671379e+07 + i 3.353613e+07 ; -2.768598e+08 + i 6.586765e+08 ; 1.834382e+06 + i -5.388778e+07 ; 5.439248e+07 + i 5.517144e+07 ; -1.170134e+08 + i 2.611292e+08 ; -8.932296e+06 + i -2.791028e+07 ; 6.373533e+08 + i -1.301377e+08 ; -5.777325e+08 + i 2.699167e+08 ; 2.497628e+07 + i -2.815080e+07 ; 2.242302e+08 + i 6.842623e+07 ; -2.109233e+08 + i 2.253753e+08 ; 3.438854e+05 + i -2.065230e+07 ; 7.456938e+07 + i 3.047640e+06 ; -2.111231e+08 + i 5.507348e+08 ; -6.547290e+07 + i -5.634615e+07 ; 5.678471e+07 + i 4.137951e+07 ; -1.026041e+08 + i 2.418195e+08 ; -3.037671e+07 + i -2.145702e+07 ; 4.832858e+08 + i -1.536436e+08 ; -4.926901e+08 + i 3.094860e+08 ; 4.774190e+07 + i -1.823893e+08 ; 2.084809e+08 + i 4.466063e+07 ; -1.855259e+08 + i 2.227317e+08 ; -3.327672e+06 + i -6.126492e+07 ; 
4.150211e+08 + i -9.288586e+07 ; 4.183468e+08 + i -1.042722e+08 ; -4.637664e+10 + i 2.778893e+10 ; -6.081807e+08 + i -6.126908e+08 ; 2.629341e+08 + i -1.812689e+08 ; -8.076101e+09 + i 1.122798e+10 ; 2.616656e+08 + i -1.687662e+08 ; -6.099433e+08 + i -6.346398e+08 ; -8.086941e+09 + i 1.121597e+10 ; -4.555417e+08 + i -3.214317e+08 ; -4.613485e+08 + i -3.420615e+08 ; -1.099467e+09 + i 5.248607e+09 ; 1.015105e+09 + i 1.337284e+09 ; 1.022026e+09 + i 1.323612e+09 ; 1.956478e+10 + i -2.081090e+10 ; 5.487787e+09 + i -5.663877e+09 ; 6.930194e+08 + i 4.398764e+08 ; -2.281446e+09 + i -6.252770e+09 ; 6.884858e+08 + i 4.549412e+08 ; 5.485750e+09 + i -5.703389e+09 ; -2.283862e+09 + i -6.271369e+09 ; 1.551180e+09 + i -2.544263e+09 ; 1.543901e+09 + i -2.581533e+09 ; -3.355407e+09 + i -1.575821e+09 ; 9.676004e+07 + i 3.350309e+07 ; 1.839305e+06 + i -5.388661e+07 ; -2.769298e+08 + i 6.586518e+08 ; 5.440054e+07 + i 5.517654e+07 ; -8.930924e+06 + i -2.791150e+07 ; -1.170327e+08 + i 2.611494e+08 ; 7.461422e+07 + i 3.017502e+06 ; -6.547489e+07 + i -5.635877e+07 ; -2.112056e+08 + i 5.507844e+08 ; 5.679820e+07 + i 4.138482e+07 ; -3.038093e+07 + i -2.145974e+07 ; -1.025931e+08 + i 2.418625e+08 ; 6.373553e+08 + i -1.301449e+08 ; 2.498417e+07 + i -2.816784e+07 ; -5.778863e+08 + i 2.699112e+08 ; 2.242368e+08 + i 6.842377e+07 ; 3.458940e+05 + i -2.066258e+07 ; -2.109989e+08 + i 2.253797e+08 ; 4.833359e+08 + i -1.536614e+08 ; 4.774099e+07 + i -1.823891e+08 ; -4.926738e+08 + i 3.094449e+08 ; 2.084939e+08 + i 4.466274e+07 ; -3.330032e+06 + i -6.126667e+07 ; -1.855247e+08 + i 2.227064e+08 ; 
1.959526e+10 + i -2.069854e+10 ; -1.024231e+09 + i -1.324443e+09 ; -1.024325e+09 + i -1.324264e+09 ; -4.615661e+10 + i 2.801329e+10 ; -4.028089e+08 + i 7.351031e+07 ; -4.026888e+08 + i 7.349121e+07 ; -2.243025e+09 + i -6.172663e+09 ; -5.420188e+09 + i 5.661488e+09 ; -6.955899e+08 + i -4.514332e+08 ; -7.888066e+09 + i 1.136033e+10 ; 5.624033e+08 + i 5.744180e+08 ; -2.523043e+08 + i 1.476165e+08 ; -2.243182e+09 + i -6.172439e+09 ; -6.962849e+08 + i -4.518610e+08 ; -5.420184e+09 + i 5.661423e+09 ; -7.888111e+09 + i 1.136053e+10 ; -2.526904e+08 + i 1.476629e+08 ; 5.623672e+08 + i 5.743321e+08 ; -3.309982e+09 + i -1.507399e+09 ; -1.535645e+09 + i 2.550973e+09 ; -1.535600e+09 + i 2.550893e+09 ; -9.335657e+08 + i 5.326744e+09 ; 4.139848e+08 + i 2.916936e+08 ; 4.140486e+08 + i 2.915367e+08 ; 3.588184e+09 + i -4.048059e+09 ; 3.812946e+08 + i 4.315180e+08 ; 3.813330e+08 + i 4.314714e+08 ; 1.622693e+09 + i -3.829568e+08 ; 2.350320e+08 + i 7.212635e+07 ; 2.350089e+08 + i 7.211082e+07 ; 9.306627e+08 + i -2.276064e+09 ; 1.616093e+09 + i -1.800656e+09 ; 3.110658e+08 + i 2.464838e+08 ; 1.065002e+09 + i -7.191457e+08 ; 2.000625e+08 + i -6.262435e+08 ; 1.940979e+08 + i 3.098081e+07 ; 9.307671e+08 + i -2.276177e+09 ; 3.112823e+08 + i 2.465984e+08 ; 1.616085e+09 + i -1.800613e+09 ; 1.065054e+09 + i -7.192011e+08 ; 1.942702e+08 + i 3.100031e+07 ; 2.000671e+08 + i -6.261966e+08 ; 5.352560e+07 + i -1.339266e+09 ; 8.147901e+08 + i -1.152783e+09 ; 8.147723e+08 + i -1.152738e+09 ; 6.658785e+08 + i -7.943638e+08 ; 1.201629e+08 + i -4.785691e+08 ; 1.201359e+08 + i -4.785118e+08 ; 
6.145061e+08 + i 6.319068e+08 ; -8.077065e+09 + i 1.122841e+10 ; 2.588689e+08 + i -1.821421e+08 ; -3.437719e+08 + i 1.396178e+08 ; -4.633504e+10 + i 2.784414e+10 ; 4.120515e+08 + i -1.123573e+08 ; -5.158494e+09 + i 5.627326e+09 ; -2.280299e+09 + i -6.252840e+09 ; 6.872284e+08 + i 4.304231e+08 ; -9.248872e+08 + i -1.158177e+09 ; 1.955116e+10 + i -2.075778e+10 ; 1.019044e+09 + i 1.298183e+09 ; 4.648735e+08 + i 3.505554e+08 ; -1.098114e+09 + i 5.249012e+09 ; -4.586470e+08 + i -3.372920e+08 ; -1.996940e+08 + i 2.013336e+08 ; -8.045435e+09 + i 1.126701e+10 ; -6.174534e+08 + i -6.304295e+08 ; -1.428725e+09 + i 2.549741e+09 ; -3.354998e+09 + i -1.576363e+09 ; 1.515580e+09 + i -2.563883e+09 ; -6.021051e+08 + i -3.386055e+08 ; -2.295028e+09 + i -6.217775e+09 ; 5.389823e+09 + i -5.683517e+09 ; -2.103722e+08 + i -2.806547e+08 ; -1.635829e+09 + i 2.081362e+09 ; 4.693937e+07 + i -7.658668e+07 ; 7.556705e+07 + i -1.351962e+08 ; -2.766115e+08 + i 6.591374e+08 ; 6.300853e+06 + i -5.275229e+07 ; 1.623299e+09 + i -1.769220e+09 ; -1.099907e+09 + i -3.388465e+08 ; 1.271161e+08 + i 6.526434e+07 ; 7.063679e+08 + i -9.442398e+07 ; -5.777895e+08 + i 2.700747e+08 ; 4.474472e+07 + i -1.738864e+07 ; -1.884813e+08 + i -2.122314e+08 ; -8.925879e+08 + i 1.513909e+09 ; -1.384609e+08 + i -1.354136e+08 ; 4.582127e+07 + i -1.404662e+08 ; -2.108012e+08 + i 5.511490e+08 ; -6.961149e+07 + i -4.611693e+07 ; 8.292179e+08 + i -1.141676e+09 ; -1.046715e+09 + i 3.892358e+07 ; 4.529040e+08 + i -6.903759e+08 ; 5.281112e+08 + i -1.805697e+08 ; -4.927182e+08 + i 3.096436e+08 ; 2.652635e+07 + i -1.981871e+08 ; 
6.145121e+08 + i 6.319047e+08 ; 2.588602e+08 + i -1.821581e+08 ; -8.077568e+09 + i 1.122857e+10 ; -3.436310e+08 + i 1.395334e+08 ; 4.120525e+08 + i -1.123698e+08 ; -4.633494e+10 + i 2.784366e+10 ; 4.649271e+08 + i 3.504935e+08 ; -4.586143e+08 + i -3.374406e+08 ; -1.099998e+09 + i 5.249288e+09 ; -1.995908e+08 + i 2.012786e+08 ; -6.173704e+08 + i -6.306080e+08 ; -8.048205e+09 + i 1.126560e+10 ; -5.158502e+09 + i 5.627344e+09 ; 6.872644e+08 + i 4.303316e+08 ; -2.281374e+09 + i -6.252599e+09 ; -9.248619e+08 + i -1.158120e+09 ; 1.019102e+09 + i 1.298079e+09 ; 1.954959e+10 + i -2.075810e+10 ; -1.428753e+09 + i 2.549777e+09 ; 1.515574e+09 + i -2.563903e+09 ; -3.355274e+09 + i -1.575707e+09 ; -6.020393e+08 + i -3.385588e+08 ; 5.389829e+09 + i -5.683512e+09 ; -2.295039e+09 + i -6.217606e+09 ; -2.103809e+08 + i -2.806780e+08 ; 4.694536e+07 + i -7.658235e+07 ; -1.635747e+09 + i 2.081266e+09 ; 7.553498e+07 + i -1.351757e+08 ; 6.302453e+06 + i -5.275442e+07 ; -2.766112e+08 + i 6.591508e+08 ; -1.884825e+08 + i -2.122468e+08 ; -1.384533e+08 + i -1.354420e+08 ; -8.928099e+08 + i 1.513883e+09 ; 4.580374e+07 + i -1.404486e+08 ; -6.961568e+07 + i -4.613022e+07 ; -2.108071e+08 + i 5.512276e+08 ; 1.623297e+09 + i -1.769235e+09 ; 1.271315e+08 + i 6.523527e+07 ; -1.100217e+09 + i -3.388950e+08 ; 7.063600e+08 + i -9.444304e+07 ; 4.475003e+07 + i -1.740841e+07 ; -5.779461e+08 + i 2.700833e+08 ; 8.292240e+08 + i -1.141711e+09 ; 4.529026e+08 + i -6.903700e+08 ; -1.046602e+09 + i 3.884525e+07 ; 5.281005e+08 + i -1.805876e+08 ; 2.652369e+07 + i -1.981902e+08 ; -4.926904e+08 + i 3.096038e+08 ; 
-8.100511e+09 + i 1.126472e+10 ; 5.701841e+08 + i 6.691439e+08 ; 2.577373e+08 + i -1.833191e+08 ; -2.248964e+09 + i -6.160090e+09 ; -5.138216e+09 + i 5.593699e+09 ; 6.864879e+08 + i 4.230583e+08 ; -4.639376e+10 + i 2.783425e+10 ; -4.126258e+08 + i 1.031271e+08 ; 4.106135e+08 + i -1.094288e+08 ; 1.959028e+10 + i -2.070017e+10 ; -9.731975e+08 + i -1.311815e+09 ; 1.016033e+09 + i 1.293207e+09 ; -1.118480e+09 + i 5.284920e+09 ; 4.523038e+08 + i 3.369366e+08 ; -4.594929e+08 + i -3.376737e+08 ; -3.310030e+09 + i -1.502166e+09 ; -1.417251e+09 + i 2.516084e+09 ; 1.501415e+09 + i -2.567579e+09 ; -8.097992e+09 + i 1.126395e+10 ; -2.574258e+08 + i 1.808442e+08 ; -6.106390e+08 + i -6.264632e+08 ; -2.244890e+09 + i -6.171774e+09 ; -6.754265e+08 + i -4.167227e+08 ; 5.378473e+09 + i -5.673957e+09 ; 1.066431e+09 + i -7.185026e+08 ; -2.326894e+08 + i 5.779578e+08 ; 1.103315e+08 + i -1.151239e+07 ; 6.012009e+08 + i -1.124821e+08 ; -2.693573e+07 + i 2.186107e+08 ; 4.431790e+07 + i -3.133465e+07 ; 1.623931e+09 + i -3.833774e+08 ; -1.295723e+08 + i -1.666753e+07 ; 1.342710e+08 + i 1.485901e+07 ; 6.270288e+08 + i -4.050578e+06 ; -5.057229e+07 + i 2.509341e+07 ; 5.266179e+07 + i -2.685441e+07 ; 6.664319e+08 + i -7.940417e+08 ; -1.419079e+08 + i 4.601327e+08 ; 1.540193e+08 + i -4.736767e+08 ; 5.475736e+08 + i -1.970698e+08 ; -1.301021e+07 + i 1.901128e+08 ; 1.653813e+07 + i -1.967704e+08 ; 1.065424e+09 + i -7.194858e+08 ; -1.066348e+08 + i 9.731176e+06 ; 2.499007e+08 + i -5.939779e+08 ; 6.014372e+08 + i -1.128439e+08 ; -4.257088e+07 + i 2.963209e+07 ; 3.144341e+07 + i -2.260777e+08 ; 
-9.784363e+08 + i -1.387753e+09 ; 1.956728e+10 + i -2.081252e+10 ; -1.016454e+09 + i -1.303538e+09 ; -5.399903e+09 + i 5.629556e+09 ; -2.285494e+09 + i -6.240847e+09 ; -6.871525e+08 + i -4.315795e+08 ; -4.190195e+08 + i 9.020581e+07 ; -4.637691e+10 + i 2.778809e+10 ; -4.134912e+08 + i 1.052773e+08 ; 5.729127e+08 + i 6.716347e+08 ; -8.072269e+09 + i 1.123009e+10 ; -2.593199e+08 + i 1.806546e+08 ; -6.844196e+08 + i -4.627400e+08 ; -2.282314e+09 + i -6.271076e+09 ; -5.394491e+09 + i 5.663088e+09 ; -1.518326e+09 + i 2.524199e+09 ; -3.354955e+09 + i -1.570279e+09 ; -1.513583e+09 + i 2.558785e+09 ; -2.655463e+08 + i 1.673911e+08 ; -8.083986e+09 + i 1.121687e+10 ; 6.059635e+08 + i 6.242049e+08 ; 4.530982e+08 + i 3.309178e+08 ; -1.096060e+09 + i 5.248094e+09 ; 4.576596e+08 + i 3.357787e+08 ; -6.326649e+08 + i 1.334021e+08 ; -5.790741e+08 + i 2.705006e+08 ; -2.456507e+07 + i 2.791965e+07 ; -2.236461e+08 + i -6.636773e+07 ; -2.111587e+08 + i 2.258042e+08 ; -2.508118e+05 + i 2.040989e+07 ; -9.965939e+07 + i -3.091020e+07 ; -2.772640e+08 + i 6.586625e+08 ; -1.591791e+06 + i 5.329297e+07 ; -5.570304e+07 + i -5.414547e+07 ; -1.172264e+08 + i 2.610611e+08 ; 8.951265e+06 + i 2.755588e+07 ; -4.791109e+08 + i 1.559346e+08 ; -4.935528e+08 + i 3.103439e+08 ; -4.631659e+07 + i 1.804885e+08 ; -2.077811e+08 + i -4.275816e+07 ; -1.856826e+08 + i 2.231693e+08 ; 3.578501e+06 + i 6.053478e+07 ; -7.613788e+07 + i -6.439692e+05 ; -2.113201e+08 + i 5.508529e+08 ; 6.497680e+07 + i 5.537191e+07 ; -5.785868e+07 + i -4.026174e+07 ; -1.027573e+08 + i 2.417857e+08 ; 3.012385e+07 + i 2.106072e+07 ; 
2.587553e+08 + i -1.671047e+08 ; 5.970630e+08 + i 5.985999e+08 ; -8.088612e+09 + i 1.121674e+10 ; -4.521817e+08 + i -3.156846e+08 ; 4.493258e+08 + i 3.201145e+08 ; -1.100015e+09 + i 5.249520e+09 ; 4.108708e+08 + i -9.357147e+07 ; -4.010790e+08 + i 1.076018e+08 ; -4.637672e+10 + i 2.778802e+10 ; -6.042545e+08 + i -6.034494e+08 ; -2.508911e+08 + i 1.781293e+08 ; -8.076769e+09 + i 1.122772e+10 ; 6.751742e+08 + i 4.584062e+08 ; -5.167256e+09 + i 5.574600e+09 ; -2.283825e+09 + i -6.271201e+09 ; 1.520227e+09 + i -2.521260e+09 ; -1.432730e+09 + i 2.504365e+09 ; -3.355270e+09 + i -1.575653e+09 ; 1.011274e+09 + i 1.319548e+09 ; -1.006348e+09 + i -1.254088e+09 ; 1.956450e+10 + i -2.081099e+10 ; 5.406939e+09 + i -5.626305e+09 ; -6.668948e+08 + i -4.219259e+08 ; -2.281678e+09 + i -6.252725e+09 ; 7.390649e+07 + i 2.547918e+06 ; 6.379568e+07 + i 5.275294e+07 ; -2.112136e+08 + i 5.508412e+08 ; 5.637090e+07 + i 4.066357e+07 ; 2.948885e+07 + i 1.996421e+07 ; -1.025821e+08 + i 2.418663e+08 ; 9.569976e+07 + i 3.269628e+07 ; -1.023577e+06 + i 5.154975e+07 ; -2.770408e+08 + i 6.586316e+08 ; 5.400722e+07 + i 5.430993e+07 ; 8.942148e+06 + i 2.655551e+07 ; -1.170740e+08 + i 2.611745e+08 ; 4.776058e+08 + i -1.540171e+08 ; -4.215057e+07 + i 1.752684e+08 ; -4.926925e+08 + i 3.094253e+08 ; 2.064108e+08 + i 4.329384e+07 ; 4.404981e+06 + i 5.845050e+07 ; -1.855388e+08 + i 2.226962e+08 ; 6.298991e+08 + i -1.314702e+08 ; -2.302467e+07 + i 2.642095e+07 ; -5.778917e+08 + i 2.699093e+08 ; 2.221323e+08 + i 6.671915e+07 ; 1.015722e+05 + i 1.945003e+07 ; -2.109997e+08 + i 2.253849e+08 ; 
-2.245365e+09 + i -6.153294e+09 ; 5.120637e+09 + i -5.520315e+09 ; -6.879909e+08 + i -4.439678e+08 ; -7.888194e+09 + i 1.136007e+10 ; -5.319301e+08 + i -6.575052e+08 ; -2.486678e+08 + i 1.464100e+08 ; 1.958954e+10 + i -2.070069e+10 ; 9.878176e+08 + i 1.371175e+09 ; -1.015993e+09 + i -1.304631e+09 ; -4.615641e+10 + i 2.801363e+10 ; 3.883927e+08 + i -7.779054e+07 ; -3.974412e+08 + i 7.388012e+07 ; -3.307472e+09 + i -1.499551e+09 ; 1.429527e+09 + i -2.472916e+09 ; -1.508922e+09 + i 2.524295e+09 ; -9.353148e+08 + i 5.326367e+09 ; -4.100206e+08 + i -2.960942e+08 ; 4.098323e+08 + i 2.866426e+08 ; -2.244472e+09 + i -6.171387e+09 ; 6.843092e+08 + i 4.458921e+08 ; -5.336215e+09 + i 5.608778e+09 ; -7.888090e+09 + i 1.136042e+10 ; 2.490166e+08 + i -1.466266e+08 ; 5.572908e+08 + i 5.655661e+08 ; 9.310989e+08 + i -2.282317e+09 ; -1.531474e+09 + i 1.760850e+09 ; 3.078780e+08 + i 2.425789e+08 ; 1.065856e+09 + i -7.206140e+08 ; -1.846922e+08 + i 6.092436e+08 ; 1.917623e+08 + i 3.007887e+07 ; 3.588472e+09 + i -4.048026e+09 ; -3.776008e+08 + i -3.872934e+08 ; 3.780718e+08 + i 4.249200e+08 ; 1.623144e+09 + i -3.831325e+08 ; -2.266967e+08 + i -5.970991e+07 ; 2.323594e+08 + i 7.044450e+07 ; 5.296117e+07 + i -1.343070e+09 ; -7.691147e+08 + i 1.124328e+09 ; 8.012455e+08 + i -1.141096e+09 ; 6.663431e+08 + i -7.956566e+08 ; -1.095056e+08 + i 4.653091e+08 ; 1.172071e+08 + i -4.729969e+08 ; 9.310038e+08 + i -2.276302e+09 ; -3.038014e+08 + i -2.214161e+08 ; 1.590699e+09 + i -1.783539e+09 ; 1.065337e+09 + i -7.194622e+08 ; -1.868431e+08 + i -2.253736e+07 ; 1.956632e+08 + i -6.191473e+08 ; 
5.097271e+09 + i -5.575838e+09 ; -2.282239e+09 + i -6.233862e+09 ; -6.802496e+08 + i -4.230408e+08 ; 9.011776e+08 + i 1.259743e+09 ; 1.954952e+10 + i -2.075945e+10 ; -1.010662e+09 + i -1.279306e+09 ; -5.921573e+08 + i -7.383428e+08 ; -8.071496e+09 + i 1.123010e+10 ; -2.554233e+08 + i 1.809749e+08 ; 3.431714e+08 + i -1.395638e+08 ; -4.633567e+10 + i 2.784443e+10 ; -4.071703e+08 + i 1.125087e+08 ; 1.403509e+09 + i -2.524390e+09 ; -3.352605e+09 + i -1.568080e+09 ; -1.489149e+09 + i 2.537125e+09 ; 6.053963e+08 + i 3.568485e+08 ; -2.293962e+09 + i -6.216788e+09 ; -5.306307e+09 + i 5.630452e+09 ; -4.685375e+08 + i -3.681356e+08 ; -1.096419e+09 + i 5.248111e+09 ; 4.541025e+08 + i 3.317925e+08 ; 2.062621e+08 + i -2.005093e+08 ; -8.044951e+09 + i 1.126707e+10 ; 6.118231e+08 + i 6.208683e+08 ; -1.604356e+09 + i 1.746355e+09 ; -1.099244e+09 + i -3.453341e+08 ; -1.257641e+08 + i -6.413891e+07 ; -6.968830e+08 + i 9.042786e+07 ; -5.781801e+08 + i 2.684888e+08 ; -4.416430e+07 + i 1.729910e+07 ; 2.128129e+08 + i 2.558018e+08 ; -1.635985e+09 + i 2.081152e+09 ; -4.621964e+07 + i 7.582919e+07 ; -6.957538e+07 + i 1.293768e+08 ; -2.764904e+08 + i 6.587835e+08 ; -6.092200e+06 + i 5.215636e+07 ; -8.200123e+08 + i 1.127230e+09 ; -1.047270e+09 + i 3.514090e+07 ; -4.452288e+08 + i 6.833114e+08 ; -5.214054e+08 + i 1.759800e+08 ; -4.931796e+08 + i 3.085358e+08 ; -2.559584e+07 + i 1.958416e+08 ; 1.875984e+08 + i 1.990398e+08 ; -8.926206e+08 + i 1.513817e+09 ; 1.371855e+08 + i 1.333270e+08 ; -4.239471e+07 + i 1.348605e+08 ; -2.107102e+08 + i 5.508065e+08 ; 6.890357e+07 + i 4.533983e+07 ; 
