-4.432333e+10 + i 3.437026e+10 ; 5.598023e+08 + i -3.778512e+08 ; 5.595189e+08 + i -3.776838e+08 ; 1.657659e+10 + i -2.520316e+10 ; 1.708276e+09 + i 1.406147e+09 ; 1.708148e+09 + i 1.405534e+09 ; -5.733115e+09 + i 1.307819e+10 ; -9.679116e+08 + i -6.024274e+08 ; 2.958445e+08 + i -4.331060e+08 ; -4.870295e+09 + i -6.445587e+09 ; 4.741582e+09 + i -7.153241e+09 ; 1.071873e+09 + i 2.823870e+08 ; -5.733430e+09 + i 1.307856e+10 ; 2.966579e+08 + i -4.337762e+08 ; -9.675877e+08 + i -6.022670e+08 ; -4.870613e+09 + i -6.445026e+09 ; 1.073906e+09 + i 2.826230e+08 ; 4.741671e+09 + i -7.153073e+09 ; 5.157707e+08 + i 5.479821e+09 ; -6.884954e+08 + i -2.562829e+08 ; -6.882855e+08 + i -2.556565e+08 ; -4.883728e+09 + i -4.960690e+08 ; 9.925363e+08 + i -3.109466e+09 ; 9.925541e+08 + i -3.109168e+09 ; 1.823670e+09 + i -6.711566e+08 ; 1.887762e+08 + i -4.880151e+07 ; 1.887782e+08 + i -4.896662e+07 ; 7.597119e+08 + i -5.780205e+07 ; 5.802170e+07 + i -7.241124e+07 ; 5.798387e+07 + i -7.243510e+07 ; 1.097785e+09 + i -1.085500e+09 ; 1.117260e+08 + i -7.095954e+08 ; 1.461745e+08 + i -7.881541e+07 ; 7.579780e+08 + i -2.293897e+08 ; -3.809301e+07 + i -2.543192e+08 ; 4.383722e+07 + i -7.542578e+07 ; 1.097826e+09 + i -1.085304e+09 ; 1.465212e+08 + i -7.883195e+07 ; 1.117963e+08 + i -7.095697e+08 ; 7.579355e+08 + i -2.294080e+08 ; 4.398585e+07 + i -7.551320e+07 ; -3.804372e+07 + i -2.543193e+08 ; 5.784760e+08 + i -1.151751e+09 ; 3.200250e+07 + i -5.557132e+08 ; 3.204578e+07 + i -5.557124e+08 ; 6.992439e+08 + i -3.679150e+08 ; -4.654949e+07 + i -2.182710e+08 ; -4.652436e+07 + i -2.182436e+08 ; 
5.623176e+08 + i -3.528123e+08 ; -4.430858e+10 + i 3.429064e+10 ; 5.651889e+08 + i -3.718938e+08 ; -9.523186e+08 + i -5.681195e+08 ; -5.717771e+09 + i 1.300860e+10 ; 2.988628e+08 + i -4.289649e+08 ; 1.704885e+09 + i 1.444623e+09 ; 1.650668e+10 + i -2.535489e+10 ; 1.713704e+09 + i 1.421463e+09 ; 4.776924e+09 + i -7.087114e+09 ; -4.946566e+09 + i -6.549169e+09 ; 1.075872e+09 + i 2.965088e+08 ; 3.002826e+08 + i -4.088084e+08 ; -5.727248e+09 + i 1.299722e+10 ; -9.607141e+08 + i -6.006572e+08 ; -6.712629e+08 + i -2.246261e+08 ; 5.261696e+08 + i 5.411408e+09 ; -6.853981e+08 + i -2.534820e+08 ; 1.072687e+09 + i 3.210695e+08 ; -4.959076e+09 + i -6.574743e+09 ; 4.766059e+09 + i -7.144109e+09 ; 1.029627e+09 + i -3.049493e+09 ; -4.971552e+09 + i -5.805727e+08 ; 1.011052e+09 + i -3.101510e+09 ; 1.448601e+08 + i 5.967180e+06 ; -1.399405e+08 + i 7.230075e+08 ; -1.984696e+07 + i -8.484483e+07 ; 1.017505e+08 + i 6.043902e+07 ; -7.572126e+07 + i 3.003364e+08 ; -2.623447e+07 + i -3.860818e+07 ; 7.350299e+08 + i -2.162906e+08 ; -6.330541e+08 + i 4.934406e+08 ; 2.067995e+07 + i -5.774560e+07 ; 2.906858e+08 + i 8.598200e+07 ; -1.755294e+08 + i 3.347688e+08 ; -1.056720e+07 + i -3.231729e+07 ; 1.060422e+08 + i -2.818472e+07 ; -1.026393e+08 + i 5.965390e+08 ; -9.915014e+07 + i -5.160914e+07 ; 1.036016e+08 + i 3.845468e+07 ; -6.632487e+07 + i 2.803820e+08 ; -4.554993e+07 + i -1.852441e+07 ; 5.481645e+08 + i -2.412984e+08 ; -5.097846e+08 + i 5.327020e+08 ; -3.055795e+06 + i -2.108081e+08 ; 2.760563e+08 + i 4.907352e+07 ; -1.428660e+08 + i 3.263481e+08 ; -2.584422e+07 + i -6.786994e+07 ; 
5.620108e+08 + i -3.523600e+08 ; 5.651668e+08 + i -3.719233e+08 ; -4.430861e+10 + i 3.428919e+10 ; -9.522218e+08 + i -5.680531e+08 ; 2.988136e+08 + i -4.290171e+08 ; -5.719093e+09 + i 1.300949e+10 ; 3.000277e+08 + i -4.084778e+08 ; -9.607078e+08 + i -6.012149e+08 ; -5.734284e+09 + i 1.299662e+10 ; -6.712032e+08 + i -2.242102e+08 ; -6.855385e+08 + i -2.539172e+08 ; 5.222804e+08 + i 5.414202e+09 ; 1.704655e+09 + i 1.444492e+09 ; 1.713717e+09 + i 1.421140e+09 ; 1.650334e+10 + i -2.535431e+10 ; 4.776873e+09 + i -7.087115e+09 ; 1.075842e+09 + i 2.962211e+08 ; -4.948441e+09 + i -6.547430e+09 ; 1.072231e+09 + i 3.208889e+08 ; 4.766073e+09 + i -7.144085e+09 ; -4.958711e+09 + i -6.574306e+09 ; 1.029679e+09 + i -3.049627e+09 ; 1.011043e+09 + i -3.101576e+09 ; -4.971774e+09 + i -5.790865e+08 ; 1.449305e+08 + i 5.839093e+06 ; -1.983011e+07 + i -8.485152e+07 ; -1.401790e+08 + i 7.230454e+08 ; 1.017790e+08 + i 6.044243e+07 ; -2.623223e+07 + i -3.861503e+07 ; -7.573970e+07 + i 3.004214e+08 ; 1.061070e+08 + i -2.829630e+07 ; -9.917597e+07 + i -5.163488e+07 ; -1.027524e+08 + i 5.967603e+08 ; 1.036409e+08 + i 3.845736e+07 ; -4.556639e+07 + i -1.852225e+07 ; -6.623095e+07 + i 2.804690e+08 ; 7.350295e+08 + i -2.163181e+08 ; 2.067662e+07 + i -5.779986e+07 ; -6.333645e+08 + i 4.935628e+08 ; 2.907041e+08 + i 8.595908e+07 ; -1.057760e+07 + i -3.234693e+07 ; -1.756912e+08 + i 3.348464e+08 ; 5.482714e+08 + i -2.413888e+08 ; -3.058657e+06 + i -2.108062e+08 ; -5.098046e+08 + i 5.325591e+08 ; 2.760946e+08 + i 4.906448e+07 ; -2.585495e+07 + i -6.787137e+07 ; -1.429086e+08 + i 3.262663e+08 ; 
1.657868e+10 + i -2.520650e+10 ; -1.712981e+09 + i -1.413370e+09 ; -1.712972e+09 + i -1.412767e+09 ; -4.396747e+10 + i 3.450207e+10 ; -5.481506e+08 + i 3.169019e+08 ; -5.478480e+08 + i 3.167180e+08 ; -4.869693e+09 + i -6.446749e+09 ; -4.665081e+09 + i 7.051389e+09 ; -1.080567e+09 + i -3.105018e+08 ; -5.431424e+09 + i 1.310854e+10 ; 8.792110e+08 + i 5.331142e+08 ; -2.924674e+08 + i 3.701677e+08 ; -4.869768e+09 + i -6.446080e+09 ; -1.082510e+09 + i -3.108036e+08 ; -4.665171e+09 + i 7.051230e+09 ; -5.431294e+09 + i 1.310911e+10 ; -2.932627e+08 + i 3.707576e+08 ; 8.789560e+08 + i 5.329484e+08 ; -4.883029e+09 + i -4.962469e+08 ; -1.002551e+09 + i 3.048810e+09 ; -1.002541e+09 + i 3.048541e+09 ; 7.687170e+08 + i 5.445182e+09 ; 6.074102e+08 + i 2.019812e+08 ; 6.073479e+08 + i 2.014709e+08 ; 2.937505e+09 + i -4.849648e+09 ; 6.323949e+08 + i 4.388159e+08 ; 6.324336e+08 + i 4.386379e+08 ; 1.821886e+09 + i -6.683578e+08 ; 3.463754e+08 + i -1.714226e+07 ; 3.462881e+08 + i -1.715859e+07 ; 3.865211e+08 + i -2.595981e+09 ; 1.352665e+09 + i -2.225236e+09 ; 4.971207e+08 + i 2.044471e+08 ; 1.097578e+09 + i -1.083585e+09 ; 3.145778e+07 + i -7.113869e+08 ; 2.744142e+08 + i -6.101109e+07 ; 3.865989e+08 + i -2.596360e+09 ; 4.976967e+08 + i 2.044908e+08 ; 1.352708e+09 + i -2.225112e+09 ; 1.097619e+09 + i -1.083779e+09 ; 2.748084e+08 + i -6.116802e+07 ; 3.155261e+07 + i -7.112720e+08 ; -3.562597e+08 + i -1.425796e+09 ; 5.989184e+08 + i -1.391299e+09 ; 5.989326e+08 + i -1.391157e+09 ; 5.787222e+08 + i -1.151068e+09 ; -1.634426e+07 + i -5.280062e+08 ; -1.633078e+07 + i -5.278150e+08 ; 
9.536323e+08 + i 5.835372e+08 ; -5.720267e+09 + i 1.301104e+10 ; 2.899785e+08 + i -4.256668e+08 ; -4.341509e+08 + i 3.825101e+08 ; -4.424787e+10 + i 3.434678e+10 ; 5.472306e+08 + i -3.804185e+08 ; -4.266752e+09 + i 6.881418e+09 ; -4.946439e+09 + i -6.548897e+09 ; 1.058526e+09 + i 2.825422e+08 ; -1.508967e+09 + i -1.194047e+09 ; 1.650016e+10 + i -2.527036e+10 ; 1.693204e+09 + i 1.374512e+09 ; 6.847828e+08 + i 2.611347e+08 ; 5.257684e+08 + i 5.413193e+09 ; -6.762381e+08 + i -2.461707e+08 ; -1.953382e+08 + i 4.187720e+08 ; -5.671901e+09 + i 1.304878e+10 ; -9.646805e+08 + i -5.874363e+08 ; -8.472475e+08 + i 2.990838e+09 ; -4.971506e+09 + i -5.810177e+08 ; 9.732259e+08 + i -3.058905e+09 ; -9.020353e+08 + i -1.836378e+08 ; -4.958539e+09 + i -6.489522e+09 ; 4.619320e+09 + i -7.069907e+09 ; -3.513605e+08 + i -2.990648e+08 ; -1.259104e+09 + i 2.421932e+09 ; 3.907392e+07 + i -1.414296e+08 ; 7.184336e+07 + i -2.416981e+08 ; -1.389690e+08 + i 7.239435e+08 ; -1.543578e+07 + i -8.625097e+07 ; 1.352929e+09 + i -2.189897e+09 ; -1.461691e+09 + i -1.525329e+08 ; 1.856540e+08 + i 2.837112e+07 ; 8.305446e+08 + i -2.099579e+08 ; -6.330017e+08 + i 4.938905e+08 ; 5.092314e+07 + i -5.119594e+07 ; -3.085852e+08 + i -2.137190e+08 ; -5.795066e+08 + i 1.705676e+09 ; -2.138228e+08 + i -1.271342e+08 ; 2.214686e+07 + i -2.406134e+08 ; -1.014374e+08 + i 5.972699e+08 ; -1.011610e+08 + i -3.380178e+07 ; 6.080699e+08 + i -1.389796e+09 ; -1.303488e+09 + i 3.253283e+08 ; 3.186204e+08 + i -8.347089e+08 ; 5.977526e+08 + i -3.147251e+08 ; -5.096399e+08 + i 5.331515e+08 ; -3.556574e+07 + i -2.220148e+08 ; 
9.536375e+08 + i 5.835281e+08 ; 2.899288e+08 + i -4.256999e+08 ; -5.721442e+09 + i 1.301196e+10 ; -4.338990e+08 + i 3.821271e+08 ; 5.472115e+08 + i -3.804621e+08 ; -4.424835e+10 + i 3.434543e+10 ; 6.848336e+08 + i 2.609118e+08 ; -6.763811e+08 + i -2.465901e+08 ; 5.220351e+08 + i 5.416124e+09 ; -1.951383e+08 + i 4.185169e+08 ; -9.647219e+08 + i -5.879932e+08 ; -5.679128e+09 + i 1.304840e+10 ; -4.266747e+09 + i 6.881498e+09 ; 1.058491e+09 + i 2.822675e+08 ; -4.948108e+09 + i -6.547120e+09 ; -1.508793e+09 + i -1.193926e+09 ; 1.693212e+09 + i 1.374174e+09 ; 1.649676e+10 + i -2.526938e+10 ; -8.473016e+08 + i 2.990991e+09 ; 9.731846e+08 + i -3.058958e+09 ; -4.971265e+09 + i -5.790414e+08 ; -9.018078e+08 + i -1.835674e+08 ; 4.619350e+09 + i -7.069903e+09 ; -4.958286e+09 + i -6.489055e+09 ; -3.514159e+08 + i -2.991176e+08 ; 3.909893e+07 + i -1.414282e+08 ; -1.259052e+09 + i 2.421630e+09 ; 7.178955e+07 + i -2.416122e+08 ; -1.543432e+07 + i -8.626081e+07 ; -1.389486e+08 + i 7.239994e+08 ; -3.086113e+08 + i -2.137514e+08 ; -2.138464e+08 + i -1.272100e+08 ; -5.799642e+08 + i 1.705881e+09 ; 2.212522e+07 + i -2.405507e+08 ; -1.011953e+08 + i -3.382519e+07 ; -1.013170e+08 + i 5.974746e+08 ; 1.352897e+09 + i -2.189940e+09 ; 1.856534e+08 + i 2.827773e+07 ; -1.462324e+09 + i -1.523208e+08 ; 8.304843e+08 + i -2.100031e+08 ; 5.090758e+07 + i -5.125329e+07 ; -6.332921e+08 + i 4.940592e+08 ; 6.080457e+08 + i -1.389905e+09 ; 3.186238e+08 + i -8.346892e+08 ; -1.303293e+09 + i 3.249824e+08 ; 5.977035e+08 + i -3.147704e+08 ; -3.557916e+07 + i -2.220201e+08 ; -5.096156e+08 + i 5.329869e+08 ; 
-5.739261e+09 + i 1.308082e+10 ; 9.099349e+08 + i 6.826388e+08 ; 2.877104e+08 + i -4.262997e+08 ; -4.872035e+09 + i -6.420617e+09 ; -4.241422e+09 + i 6.819758e+09 ; 1.052729e+09 + i 2.713899e+08 ; -4.432247e+10 + i 3.436513e+10 ; -5.547887e+08 + i 3.621921e+08 ; 5.464096e+08 + i -3.739511e+08 ; 1.656686e+10 + i -2.520583e+10 ; -1.623037e+09 + i -1.417677e+09 ; 1.684468e+09 + i 1.367793e+09 ; 5.107653e+08 + i 5.482533e+09 ; 6.654351e+08 + i 2.472979e+08 ; -6.766912e+08 + i -2.466220e+08 ; -4.878953e+09 + i -4.873297e+08 ; -8.406105e+08 + i 2.930152e+09 ; 9.547395e+08 + i -3.056453e+09 ; -5.735687e+09 + i 1.307683e+10 ; -2.876321e+08 + i 4.213105e+08 ; -9.531676e+08 + i -5.848369e+08 ; -4.872574e+09 + i -6.442650e+09 ; -1.027715e+09 + i -2.624478e+08 ; 4.607819e+09 + i -7.047240e+09 ; 1.100871e+09 + i -1.084257e+09 ; -8.542956e+07 + i 6.604543e+08 ; 1.428335e+08 + i -7.804737e+07 ; 7.580755e+08 + i -2.283200e+08 ; 4.155910e+07 + i 2.339034e+08 ; 4.255146e+07 + i -7.418881e+07 ; 1.823884e+09 + i -6.707758e+08 ; -1.764545e+08 + i 4.247191e+07 ; 1.849004e+08 + i -4.942224e+07 ; 7.601273e+08 + i -5.759007e+07 ; -5.339755e+07 + i 6.594538e+07 ; 5.639937e+07 + i -7.149256e+07 ; 5.801373e+08 + i -1.151448e+09 ; -1.591043e+07 + i 5.157563e+08 ; 2.803975e+07 + i -5.454413e+08 ; 6.994726e+08 + i -3.671073e+08 ; 4.839523e+07 + i 2.004378e+08 ; -4.697276e+07 + i -2.138481e+08 ; 1.098121e+09 + i -1.084900e+09 ; -1.362873e+08 + i 7.159015e+07 ; 1.052975e+08 + i -6.968480e+08 ; 7.582756e+08 + i -2.293706e+08 ; -4.020685e+07 + i 6.896941e+07 ; -3.891211e+07 + i -2.492749e+08 ; 
-1.672848e+09 + i -1.553140e+09 ; 1.650646e+10 + i -2.536033e+10 ; -1.690505e+09 + i -1.384430e+09 ; -4.644992e+09 + i 6.990948e+09 ; -4.947946e+09 + i -6.524184e+09 ; -1.057848e+09 + i -2.842640e+08 ; -5.715010e+08 + i 3.507943e+08 ; -4.431041e+10 + i 3.428768e+10 ; -5.530751e+08 + i 3.692798e+08 ; 9.280175e+08 + i 6.929019e+08 ; -5.708684e+09 + i 1.301059e+10 ; -2.909092e+08 + i 4.235465e+08 ; -1.071204e+09 + i -3.353460e+08 ; -4.955448e+09 + i -6.575016e+09 ; -4.632301e+09 + i 7.038699e+09 ; -9.841168e+08 + i 2.997289e+09 ; -4.966311e+09 + i -5.700878e+08 ; -9.730403e+08 + i 3.049329e+09 ; -3.088578e+08 + i 4.098765e+08 ; -5.727155e+09 + i 1.299549e+10 ; 9.463641e+08 + i 5.835490e+08 ; 6.749464e+08 + i 2.408361e+08 ; 5.293495e+08 + i 5.408482e+09 ; 6.741707e+08 + i 2.446193e+08 ; -7.254392e+08 + i 2.222662e+08 ; -6.354541e+08 + i 4.955188e+08 ; -2.000714e+07 + i 5.675183e+07 ; -2.893622e+08 + i -8.131924e+07 ; -1.756516e+08 + i 3.358522e+08 ; 1.053629e+07 + i 3.165036e+07 ; -1.490542e+08 + i 7.008842e+05 ; -1.407814e+08 + i 7.234275e+08 ; 1.994078e+07 + i 8.320848e+07 ; -1.038246e+08 + i -5.768963e+07 ; -7.626776e+07 + i 3.004035e+08 ; 2.597125e+07 + i 3.775847e+07 ; -5.393451e+08 + i 2.450313e+08 ; -5.108524e+08 + i 5.351205e+08 ; 4.278873e+06 + i 2.068152e+08 ; -2.742652e+08 + i -4.470190e+07 ; -1.427839e+08 + i 3.273893e+08 ; 2.576341e+07 + i 6.643839e+07 ; -1.073659e+08 + i 3.372586e+07 ; -1.028688e+08 + i 5.970367e+08 ; 9.758390e+07 + i 5.001537e+07 ; -1.051013e+08 + i -3.544740e+07 ; -6.671153e+07 + i 2.804704e+08 ; 4.479821e+07 + i 1.789380e+07 ; 
2.950018e+08 + i -4.014452e+08 ; 9.143071e+08 + i 5.408025e+08 ; -5.736886e+09 + i 1.299954e+10 ; -6.609198e+08 + i -2.157013e+08 ; 6.488015e+08 + i 2.212730e+08 ; 5.223955e+08 + i 5.416557e+09 ; 5.519738e+08 + i -3.498308e+08 ; -5.233661e+08 + i 3.627759e+08 ; -4.430997e+10 + i 3.428706e+10 ; -9.386723e+08 + i -5.529632e+08 ; -2.738606e+08 + i 4.090666e+08 ; -5.721144e+09 + i 1.300977e+10 ; 1.048192e+09 + i 3.349802e+08 ; -4.300594e+09 + i 6.805288e+09 ; -4.958500e+09 + i -6.573954e+09 ; 9.901742e+08 + i -2.996585e+09 ; -8.681729e+08 + i 2.923975e+09 ; -4.971191e+09 + i -5.788794e+08 ; 1.686474e+09 + i 1.411398e+09 ; -1.642758e+09 + i -1.293187e+09 ; 1.650241e+10 + i -2.535409e+10 ; 4.661740e+09 + i -6.991138e+09 ; -1.010928e+09 + i -2.777119e+08 ; -4.949036e+09 + i -6.546843e+09 ; 1.041536e+08 + i -2.874470e+07 ; 9.374281e+07 + i 4.562845e+07 ; -1.027116e+08 + i 5.968699e+08 ; 1.020488e+08 + i 3.715809e+07 ; 4.286574e+07 + i 1.609578e+07 ; -6.621515e+07 + i 2.804565e+08 ; 1.420602e+08 + i 5.070300e+06 ; 1.986502e+07 + i 7.868273e+07 ; -1.404970e+08 + i 7.231537e+08 ; 1.002000e+08 + i 5.878142e+07 ; 2.509497e+07 + i 3.548193e+07 ; -7.580106e+07 + i 3.005458e+08 ; 5.378083e+08 + i -2.402533e+08 ; 8.130840e+06 + i 1.957480e+08 ; -5.098995e+08 + i 5.325298e+08 ; 2.715248e+08 + i 4.677955e+07 ; 2.577503e+07 + i 6.227531e+07 ; -1.429735e+08 + i 3.262627e+08 ; 7.210727e+08 + i -2.163542e+08 ; -1.793813e+07 + i 5.229778e+07 ; -6.333830e+08 + i 4.935607e+08 ; 2.861456e+08 + i 8.288921e+07 ; 1.045248e+07 + i 2.927322e+07 ; -1.756865e+08 + i 3.348614e+08 ; 
-4.861621e+09 + i -6.411184e+09 ; 4.253400e+09 + i -6.702143e+09 ; -1.059604e+09 + i -3.025130e+08 ; -5.431513e+09 + i 1.310851e+10 ; -8.788408e+08 + i -7.011051e+08 ; -2.858854e+08 + i 3.632816e+08 ; 1.656430e+10 + i -2.520633e+10 ; 1.679623e+09 + i 1.512144e+09 ; -1.683321e+09 + i -1.380106e+09 ; -4.396654e+10 + i 3.450277e+10 ; 5.122579e+08 + i -3.126505e+08 ; -5.360722e+08 + i 3.119820e+08 ; -4.872340e+09 + i -4.844768e+08 ; 8.725046e+08 + i -2.870373e+09 ; -9.751943e+08 + i 2.991685e+09 ; 7.647094e+08 + i 5.446107e+09 ; -6.065259e+08 + i -2.107128e+08 ; 5.958801e+08 + i 1.959195e+08 ; -4.871208e+09 + i -6.442148e+09 ; 1.056276e+09 + i 3.041330e+08 ; -4.555766e+09 + i 6.926197e+09 ; -5.431552e+09 + i 1.310881e+10 ; 2.856326e+08 + i -3.648865e+08 ; 8.633912e+08 + i 5.202248e+08 ; 3.830950e+08 + i -2.607325e+09 ; -1.238851e+09 + i 2.130654e+09 ; 4.877871e+08 + i 1.994542e+08 ; 1.098467e+09 + i -1.086898e+09 ; -1.741561e+07 + i 6.794728e+08 ; 2.689159e+08 + i -6.033330e+07 ; 2.938182e+09 + i -4.849886e+09 ; -5.972635e+08 + i -3.587647e+08 ; 6.213442e+08 + i 4.281763e+08 ; 1.822590e+09 + i -6.693418e+08 ; -3.204727e+08 + i 3.314791e+07 ; 3.394357e+08 + i -1.785561e+07 ; -3.600920e+08 + i -1.432040e+09 ; -5.421353e+08 + i 1.329262e+09 ; 5.837283e+08 + i -1.365611e+09 ; 5.788665e+08 + i -1.153886e+09 ; 2.512942e+07 + i 5.042873e+08 ; -1.730699e+07 + i -5.174843e+08 ; 3.869517e+08 + i -2.596981e+09 ; -4.659960e+08 + i -1.630749e+08 ; 1.320506e+09 + i -2.185345e+09 ; 1.097810e+09 + i -1.084784e+09 ; -2.535989e+08 + i 7.000706e+07 ; 2.901412e+07 + i -6.975049e+08 ; 
4.207552e+09 + i -6.772700e+09 ; -4.937777e+09 + i -6.514397e+09 ; -1.038971e+09 + i -2.742007e+08 ; 1.532644e+09 + i 1.393589e+09 ; 1.649455e+10 + i -2.527275e+10 ; -1.664335e+09 + i -1.343675e+09 ; -9.826127e+08 + i -7.904573e+08 ; -5.706822e+09 + i 1.301010e+10 ; -2.834837e+08 + i 4.189349e+08 ; 4.325456e+08 + i -3.819546e+08 ; -4.424931e+10 + i 3.434847e+10 ; -5.363843e+08 + i 3.754280e+08 ; 8.226326e+08 + i -2.934771e+09 ; -4.960561e+09 + i -5.681143e+08 ; -9.464744e+08 + i 3.002021e+09 ; 9.238721e+08 + i 2.133118e+08 ; -4.955380e+09 + i -6.488236e+09 ; -4.511269e+09 + i 6.944500e+09 ; -7.066395e+08 + i -2.886866e+08 ; 5.285891e+08 + i 5.408837e+09 ; 6.638771e+08 + i 2.396711e+08 ; 2.104007e+08 + i -4.243248e+08 ; -5.670400e+09 + i 1.304811e+10 ; 9.474995e+08 + i 5.736945e+08 ; -1.338580e+09 + i 2.144192e+09 ; -1.464857e+09 + i -1.647089e+08 ; -1.822242e+08 + i -2.748416e+07 ; -8.166495e+08 + i 1.967598e+08 ; -6.350159e+08 + i 4.914598e+08 ; -4.987500e+07 + i 5.032928e+07 ; 3.401314e+08 + i 2.528697e+08 ; -1.259656e+09 + i 2.421543e+09 ; -3.810666e+07 + i 1.389315e+08 ; -6.287219e+07 + i 2.259912e+08 ; -1.390991e+08 + i 7.228624e+08 ; 1.533179e+07 + i 8.462753e+07 ; -6.038682e+08 + i 1.362669e+09 ; -1.307352e+09 + i 3.190544e+08 ; -3.102616e+08 + i 8.193114e+08 ; -5.895901e+08 + i 3.018476e+08 ; -5.114192e+08 + i 5.316801e+08 ; 3.543640e+07 + i 2.176183e+08 ; 2.982789e+08 + i 1.910441e+08 ; -5.796263e+08 + i 1.705397e+09 ; 2.100028e+08 + i 1.240918e+08 ; -1.897399e+07 + i 2.267149e+08 ; -1.016599e+08 + i 5.962151e+08 ; 9.929020e+07 + i 3.287998e+07 ; 
