-3.982047e+10 + i 4.031379e+10 ; 5.108232e+08 + i -8.326014e+08 ; 5.104367e+08 + i -8.318363e+08 ; 1.158600e+10 + i -2.861108e+10 ; 2.568394e+09 + i 1.094336e+09 ; 2.567100e+09 + i 1.093409e+09 ; -2.615434e+09 + i 1.367648e+10 ; -1.320522e+09 + i -3.482465e+08 ; 1.084436e+08 + i -7.757446e+08 ; -7.774681e+09 + i -5.147378e+09 ; 3.315113e+09 + i -8.436868e+09 ; 1.397168e+09 + i -1.637343e+08 ; -2.615331e+09 + i 1.367782e+10 ; 1.088297e+08 + i -7.780351e+08 ; -1.319594e+09 + i -3.486008e+08 ; -7.774421e+09 + i -5.145835e+09 ; 1.401112e+09 + i -1.657655e+08 ; 3.315551e+09 + i -8.436729e+09 ; 2.002724e+09 + i 4.652529e+09 ; -8.509476e+08 + i -2.382012e+07 ; -8.494844e+08 + i -2.298026e+07 ; -5.832625e+09 + i 1.786807e+09 ; 1.772421e+08 + i -3.402966e+09 ; 1.777890e+08 + i -3.402412e+09 ; 1.896773e+09 + i -1.122091e+09 ; 1.964173e+08 + i -1.671260e+08 ; 1.961445e+08 + i -1.674202e+08 ; 8.885157e+08 + i -2.215868e+08 ; 2.010658e+07 + i -1.300551e+08 ; 1.998852e+07 + i -1.300249e+08 ; 9.163928e+08 + i -1.545872e+09 ; -9.654624e+07 + i -7.579107e+08 ; 1.267933e+08 + i -1.878386e+08 ; 8.885707e+08 + i -5.049364e+08 ; -1.260317e+08 + i -2.462556e+08 ; -4.182015e+05 + i -1.260180e+08 ; 9.167274e+08 + i -1.545607e+09 ; 1.273707e+08 + i -1.882931e+08 ; -9.637746e+07 + i -7.580165e+08 ; 8.884047e+08 + i -5.048959e+08 ; -3.002292e+05 + i -1.263716e+08 ; -1.259527e+08 + i -2.463703e+08 ; 2.423706e+08 + i -1.528542e+09 ; -1.400877e+08 + i -5.761869e+08 ; -1.399943e+08 + i -5.762786e+08 ; 7.876083e+08 + i -7.295492e+08 ; -1.238134e+08 + i -2.072019e+08 ; -1.237159e+08 + i -2.072074e+08 ; 
5.255275e+08 + i -7.963389e+08 ; -3.983874e+10 + i 4.019041e+10 ; 5.219012e+08 + i -8.274196e+08 ; -1.285001e+09 + i -3.054448e+08 ; -2.640368e+09 + i 1.357212e+10 ; 1.145994e+08 + i -7.721165e+08 ; 2.580595e+09 + i 1.151499e+09 ; 1.143399e+10 + i -2.878084e+10 ; 2.585198e+09 + i 1.112424e+09 ; 3.383150e+09 + i -8.359187e+09 ; -7.919792e+09 + i -5.252126e+09 ; 1.411428e+09 + i -1.461371e+08 ; 1.255830e+08 + i -7.421678e+08 ; -2.649241e+09 + i 1.355506e+10 ; -1.310091e+09 + i -3.489342e+08 ; -8.137818e+08 + i 1.476292e+07 ; 1.972332e+09 + i 4.550002e+09 ; -8.451251e+08 + i -2.090894e+07 ; 1.417027e+09 + i -1.091441e+08 ; -7.947992e+09 + i -5.278665e+09 ; 3.349008e+09 + i -8.434810e+09 ; 2.465079e+08 + i -3.334387e+09 ; -5.990140e+09 + i 1.713275e+09 ; 2.029625e+08 + i -3.399499e+09 ; 1.858348e+08 + i -5.944868e+07 ; -3.146362e+06 + i 7.430463e+08 ; -7.596443e+07 + i -1.057690e+08 ; 1.703832e+08 + i 2.998397e+07 ; -1.896215e+07 + i 3.472931e+08 ; -5.847399e+07 + i -3.657282e+07 ; 8.207609e+08 + i -3.775081e+08 ; -5.414337e+08 + i 7.889950e+08 ; -1.253245e+07 + i -8.975767e+07 ; 3.958687e+08 + i 6.923691e+07 ; -6.040482e+07 + i 4.331829e+08 ; -3.555083e+07 + i -3.649420e+07 ; 1.246881e+08 + i -8.688280e+07 ; -6.820431e+06 + i 6.188582e+08 ; -1.355747e+08 + i -3.001048e+07 ; 1.657699e+08 + i -4.479434e+06 ; -1.299451e+07 + i 3.320498e+08 ; -6.383221e+07 + i -7.727494e+06 ; 5.889251e+08 + i -3.867303e+08 ; -3.685202e+08 + i 8.020486e+08 ; -7.373223e+07 + i -2.177128e+08 ; 3.757395e+08 + i 1.080662e+07 ; -2.263102e+07 + i 4.117134e+08 ; -5.671359e+07 + i -6.367889e+07 ; 
5.255763e+08 + i -7.950997e+08 ; 5.217922e+08 + i -8.274536e+08 ; -3.984132e+10 + i 4.018769e+10 ; -1.284696e+09 + i -3.055070e+08 ; 1.143792e+08 + i -7.721225e+08 ; -2.641723e+09 + i 1.357611e+10 ; 1.255143e+08 + i -7.411677e+08 ; -1.310947e+09 + i -3.500073e+08 ; -2.662364e+09 + i 1.356197e+10 ; -8.130032e+08 + i 1.551213e+07 ; -8.461377e+08 + i -2.145819e+07 ; 1.969850e+09 + i 4.560201e+09 ; 2.579869e+09 + i 1.151686e+09 ; 2.584729e+09 + i 1.111784e+09 ; 1.142919e+10 + i -2.877646e+10 ; 3.383018e+09 + i -8.359096e+09 ; 1.410928e+09 + i -1.466219e+08 ; -7.920064e+09 + i -5.247365e+09 ; 1.415748e+09 + i -1.089431e+08 ; 3.349102e+09 + i -8.434794e+09 ; -7.946553e+09 + i -5.278494e+09 ; 2.464209e+08 + i -3.334831e+09 ; 2.028270e+08 + i -3.399658e+09 ; -5.988103e+09 + i 1.716308e+09 ; 1.857937e+08 + i -5.976847e+07 ; -7.594623e+07 + i -1.058195e+08 ; -3.549021e+06 + i 7.435654e+08 ; 1.704431e+08 + i 2.994674e+07 ; -5.848450e+07 + i -3.659399e+07 ; -1.883586e+07 + i 3.474814e+08 ; 1.246672e+08 + i -8.713836e+07 ; -1.356612e+08 + i -3.000490e+07 ; -6.663020e+06 + i 6.193869e+08 ; 1.658552e+08 + i -4.519129e+06 ; -6.385444e+07 + i -7.687570e+06 ; -1.268565e+07 + i 3.320260e+08 ; 8.207093e+08 + i -3.775843e+08 ; -1.262635e+07 + i -8.985713e+07 ; -5.418730e+08 + i 7.894959e+08 ; 3.958552e+08 + i 6.913852e+07 ; -3.562289e+07 + i -3.653336e+07 ; -6.064526e+07 + i 4.335316e+08 ; 5.890338e+08 + i -3.870439e+08 ; -7.373830e+07 + i -2.177020e+08 ; -3.688361e+08 + i 8.017967e+08 ; 3.758052e+08 + i 1.073060e+07 ; -5.674226e+07 + i -6.365822e+07 ; -2.290456e+07 + i 4.116333e+08 ; 
1.158564e+10 + i -2.861764e+10 ; -2.564871e+09 + i -1.091994e+09 ; -2.563817e+09 + i -1.090849e+09 ; -3.937496e+10 + i 4.031934e+10 ; -5.211242e+08 + i 7.341037e+08 ; -5.207695e+08 + i 7.332580e+08 ; -7.774893e+09 + i -5.149408e+09 ; -3.236816e+09 + i 8.233877e+09 ; -1.416526e+09 + i 1.287439e+08 ; -2.263895e+09 + i 1.357002e+10 ; 1.179944e+09 + i 2.920606e+08 ; -1.358852e+08 + i 6.789020e+08 ; -7.774178e+09 + i -5.148208e+09 ; -1.420447e+09 + i 1.305193e+08 ; -3.237229e+09 + i 8.233752e+09 ; -2.262786e+09 + i 1.357098e+10 ; -1.363670e+08 + i 6.810579e+08 ; 1.179130e+09 + i 2.922691e+08 ; -5.831911e+09 + i 1.785580e+09 ; -2.130965e+08 + i 3.310568e+09 ; -2.135111e+08 + i 3.310005e+09 ; 2.271994e+09 + i 4.478876e+09 ; 7.292871e+08 + i -1.344675e+07 ; 7.282613e+08 + i -1.433893e+07 ; 1.945450e+09 + i -5.399751e+09 ; 9.276837e+08 + i 2.833899e+08 ; 9.274555e+08 + i 2.829710e+08 ; 1.898063e+09 + i -1.115323e+09 ; 4.020974e+08 + i -2.095418e+08 ; 4.018817e+08 + i -2.094291e+08 ; -2.900004e+08 + i -2.669849e+09 ; 8.855975e+08 + i -2.563604e+09 ; 6.810248e+08 + i 2.338118e+07 ; 9.189586e+08 + i -1.542389e+09 ; -1.744935e+08 + i -7.100252e+08 ; 2.871969e+08 + i -2.344740e+08 ; -2.904398e+08 + i -2.670534e+09 ; 6.821034e+08 + i 2.278350e+07 ; 8.858943e+08 + i -2.563446e+09 ; 9.187263e+08 + i -1.542760e+09 ; 2.876460e+08 + i -2.352696e+08 ; -1.740927e+08 + i -7.100035e+08 ; -7.750952e+08 + i -1.321001e+09 ; 2.674419e+08 + i -1.538239e+09 ; 2.677018e+08 + i -1.537976e+09 ; 2.437060e+08 + i -1.527306e+09 ; -1.664156e+08 + i -5.056477e+08 ; -1.660513e+08 + i -5.052979e+08 ; 
1.266686e+09 + i 3.239271e+08 ; -2.641468e+09 + i 1.357821e+10 ; 1.045708e+08 + i -7.542201e+08 ; -3.375567e+08 + i 7.440039e+08 ; -3.976084e+10 + i 4.024349e+10 ; 4.865327e+08 + i -8.202951e+08 ; -2.762440e+09 + i 7.766054e+09 ; -7.919345e+09 + i -5.251588e+09 ; 1.370792e+09 + i -1.531218e+08 ; -2.167545e+09 + i -8.780439e+08 ; 1.146136e+10 + i -2.866210e+10 ; 2.513639e+09 + i 1.050124e+09 ; 8.362716e+08 + i 3.405906e+07 ; 1.973783e+09 + i 4.552863e+09 ; -8.238002e+08 + i -1.695304e+07 ; 8.935900e+06 + i 6.764086e+08 ; -2.577570e+09 + i 1.360722e+10 ; -1.298289e+09 + i -3.284032e+08 ; -4.412802e+07 + i 3.138787e+09 ; -5.990797e+09 + i 1.712330e+09 ; 1.741081e+08 + i -3.313214e+09 ; -1.111482e+09 + i 2.022606e+08 ; -7.908567e+09 + i -5.162498e+09 ; 3.174407e+09 + i -8.240098e+09 ; -5.204193e+08 + i -2.339220e+08 ; -7.617610e+08 + i 2.600604e+09 ; -2.727514e+07 + i -2.169163e+08 ; -2.251074e+07 + i -3.772394e+08 ; -5.465707e+04 + i 7.438533e+08 ; -7.465391e+07 + i -1.088900e+08 ; 8.677419e+08 + i -2.506893e+09 ; -1.737032e+09 + i 2.837797e+08 ; 2.204022e+08 + i -5.440372e+07 ; 9.070662e+08 + i -4.242219e+08 ; -5.407022e+08 + i 7.897359e+08 ; 2.723699e+07 + i -9.498755e+07 ; -4.435137e+08 + i -1.402806e+08 ; -2.241507e+08 + i 1.756842e+09 ; -2.905919e+08 + i -7.622826e+07 ; -9.667512e+07 + i -3.529747e+08 ; -3.411580e+06 + i 6.187456e+08 ; -1.277717e+08 + i -4.581308e+06 ; 2.513400e+08 + i -1.538074e+09 ; -1.396963e+09 + i 8.267602e+08 ; 1.064433e+08 + i -9.274201e+08 ; 5.921582e+08 + i -5.232880e+08 ; -3.674920e+08 + i 8.026811e+08 ; -1.146208e+08 + i -2.151447e+08 ; 
1.266672e+09 + i 3.239272e+08 ; 1.044061e+08 + i -7.541993e+08 ; -2.642728e+09 + i 1.358185e+10 ; -3.376591e+08 + i 7.428928e+08 ; 4.863949e+08 + i -8.203499e+08 ; -3.976397e+10 + i 4.024184e+10 ; 8.360222e+08 + i 3.358167e+07 ; -8.247752e+08 + i -1.746656e+07 ; 1.971731e+09 + i 4.562998e+09 ; 8.970231e+06 + i 6.756279e+08 ; -1.299251e+09 + i -3.293549e+08 ; -2.590438e+09 + i 1.361485e+10 ; -2.762240e+09 + i 7.766230e+09 ; 1.370314e+09 + i -1.535781e+08 ; -7.919236e+09 + i -5.247100e+09 ; -2.166950e+09 + i -8.781559e+08 ; 2.513133e+09 + i 1.049476e+09 ; 1.145721e+10 + i -2.865679e+10 ; -4.400140e+07 + i 3.139271e+09 ; 1.739334e+08 + i -3.313281e+09 ; -5.987267e+09 + i 1.715468e+09 ; -1.110889e+09 + i 2.020993e+08 ; 3.174479e+09 + i -8.240154e+09 ; -7.907194e+09 + i -5.162069e+09 ; -5.206148e+08 + i -2.339411e+08 ; -2.722302e+07 + i -2.169646e+08 ; -7.620849e+08 + i 2.600079e+09 ; -2.248919e+07 + i -3.770031e+08 ; -7.467078e+07 + i -1.089151e+08 ; 1.247857e+05 + i 7.439489e+08 ; -4.436048e+08 + i -1.402942e+08 ; -2.907489e+08 + i -7.631474e+07 ; -2.245527e+08 + i 1.757719e+09 ; -9.663208e+07 + i -3.528316e+08 ; -1.278706e+08 + i -4.551143e+06 ; -2.824392e+06 + i 6.188692e+08 ; 8.675813e+08 + i -2.506915e+09 ; 2.202546e+08 + i -5.457882e+07 ; -1.737770e+09 + i 2.847585e+08 ; 9.068361e+08 + i -4.241860e+08 ; 2.711389e+07 + i -9.506810e+07 ; -5.410024e+08 + i 7.902901e+08 ; 2.511200e+08 + i -1.538281e+09 ; 1.064824e+08 + i -9.273803e+08 ; -1.397121e+09 + i 8.257696e+08 ; 5.919730e+08 + i -5.233197e+08 ; -1.146630e+08 + i -2.151293e+08 ; -3.677612e+08 + i 8.022653e+08 ; 
-2.622602e+09 + i 1.368701e+10 ; 1.294928e+09 + i 5.113674e+08 ; 1.023507e+08 + i -7.527911e+08 ; -7.757683e+09 + i -5.107317e+09 ; -2.751938e+09 + i 7.657523e+09 ; 1.354748e+09 + i -1.632640e+08 ; -3.982580e+10 + i 4.030217e+10 ; -5.169748e+08 + i 7.958487e+08 ; 4.910683e+08 + i -8.089150e+08 ; 1.156533e+10 + i -2.860497e+10 ; -2.436953e+09 + i -1.157047e+09 ; 2.494582e+09 + i 1.048026e+09 ; 1.997370e+09 + i 4.662699e+09 ; 8.091317e+08 + i 2.247612e+07 ; -8.240839e+08 + i -1.874596e+07 ; -5.817693e+09 + i 1.794386e+09 ; -7.117618e+07 + i 3.042850e+09 ; 1.570630e+08 + i -3.301639e+09 ; -2.622651e+09 + i 1.367865e+10 ; -1.044190e+08 + i 7.428620e+08 ; -1.281910e+09 + i -3.316588e+08 ; -7.774156e+09 + i -5.139115e+09 ; -1.301938e+09 + i 1.616966e+08 ; 3.177235e+09 + i -8.200149e+09 ; 9.224985e+08 + i -1.547383e+09 ; 1.000948e+08 + i 6.667610e+08 ; 1.221810e+08 + i -1.824601e+08 ; 8.900845e+08 + i -5.031539e+08 ; 1.148374e+08 + i 2.138884e+08 ; -8.801291e+05 + i -1.221627e+08 ; 1.897857e+09 + i -1.121792e+09 ; -1.812515e+08 + i 1.431475e+08 ; 1.892162e+08 + i -1.636294e+08 ; 8.896407e+08 + i -2.218568e+08 ; -1.971716e+07 + i 1.129759e+08 ; 1.863214e+07 + i -1.262577e+08 ; 2.449657e+08 + i -1.530117e+09 ; 1.339238e+08 + i 5.062254e+08 ; -1.384971e+08 + i -5.585450e+08 ; 7.891546e+08 + i -7.285068e+08 ; 1.121435e+08 + i 1.799098e+08 ; -1.209858e+08 + i -2.005134e+08 ; 9.179776e+08 + i -1.545484e+09 ; -1.172185e+08 + i 1.640249e+08 ; -9.701964e+07 + i -7.349177e+08 ; 8.890273e+08 + i -5.054573e+08 ; -1.122944e+06 + i 1.100155e+08 ; -1.233612e+08 + i -2.383876e+08 ; 
-2.615523e+09 + i -1.338022e+09 ; 1.142624e+10 + i -2.878880e+10 ; -2.514557e+09 + i -1.067437e+09 ; -3.245395e+09 + i 8.135620e+09 ; -7.901214e+09 + i -5.211494e+09 ; -1.369488e+09 + i 1.489610e+08 ; -5.404233e+08 + i 8.010211e+08 ; -3.984617e+10 + i 4.018808e+10 ; -5.029264e+08 + i 8.073662e+08 ; 1.346331e+09 + i 5.139771e+08 ; -2.621155e+09 + i 1.356568e+10 ; -1.071413e+08 + i 7.511004e+08 ; -1.425021e+09 + i 8.974000e+07 ; -7.941984e+09 + i -5.282342e+09 ; -3.210453e+09 + i 8.199554e+09 ; -2.167874e+08 + i 3.222605e+09 ; -5.972120e+09 + i 1.724012e+09 ; -1.812745e+08 + i 3.299763e+09 ; -1.371044e+08 + i 7.534849e+08 ; -2.651558e+09 + i 1.355145e+10 ; 1.272999e+09 + i 3.326769e+08 ; 8.329331e+08 + i 2.358190e+06 ; 1.973263e+09 + i 4.539442e+09 ; 8.205276e+08 + i 1.642135e+07 ; -7.993550e+08 + i 3.846311e+08 ; -5.437252e+08 + i 7.948449e+08 ; 1.239659e+07 + i 8.709523e+07 ; -3.903960e+08 + i -5.960547e+07 ; -5.935915e+07 + i 4.351696e+08 ; 3.462025e+07 + i 3.531045e+07 ; -1.876933e+08 + i 7.425081e+07 ; -3.966597e+06 + i 7.447043e+08 ; 7.418712e+07 + i 1.024652e+08 ; -1.718064e+08 + i -2.331776e+07 ; -1.988390e+07 + i 3.480858e+08 ; 5.693800e+07 + i 3.528127e+07 ; -5.700408e+08 + i 3.887728e+08 ; -3.677932e+08 + i 8.071769e+08 ; 7.251036e+07 + i 2.109309e+08 ; -3.688466e+08 + i -2.216143e+06 ; -2.122421e+07 + i 4.133603e+08 ; 5.530998e+07 + i 6.156291e+07 ; -1.219125e+08 + i 9.715568e+07 ; -6.467031e+06 + i 6.199031e+08 ; 1.316215e+08 + i 2.849490e+07 ; -1.655293e+08 + i 1.146201e+07 ; -1.359636e+07 + i 3.327437e+08 ; 6.194745e+07 + i 7.215950e+06 ; 
1.255158e+08 + i -7.218271e+08 ; 1.190258e+09 + i 2.884406e+08 ; -2.663690e+09 + i 1.356853e+10 ; -7.900112e+08 + i 2.045534e+07 ; 7.645597e+08 + i -5.029871e+05 ; 1.972848e+09 + i 4.562866e+09 ; 5.104542e+08 + i -7.783984e+08 ; -4.571592e+08 + i 7.619917e+08 ; -3.984659e+10 + i 4.018581e+10 ; -1.250524e+09 + i -2.924469e+08 ; -9.390102e+07 + i 7.033634e+08 ; -2.644850e+09 + i 1.357971e+10 ; 1.386282e+09 + i -6.543172e+07 ; -2.852069e+09 + i 7.683785e+09 ; -7.945925e+09 + i -5.277899e+09 ; 2.221378e+08 + i -3.232150e+09 ; -1.041449e+08 + i 3.057921e+09 ; -5.986810e+09 + i 1.715758e+09 ; 2.521922e+09 + i 1.109744e+09 ; -2.364761e+09 + i -9.492533e+08 ; 1.142777e+10 + i -2.877436e+10 ; 3.270874e+09 + i -8.153355e+09 ; -1.284393e+09 + i 1.185410e+08 ; -7.920035e+09 + i -5.245018e+09 ; 1.205071e+08 + i -8.589086e+07 ; 1.216976e+08 + i 2.388491e+07 ; -6.551160e+06 + i 6.195141e+08 ; 1.612833e+08 + i -5.148194e+06 ; 5.699495e+07 + i 5.559666e+06 ; -1.272457e+07 + i 3.320209e+08 ; 1.800314e+08 + i -5.813017e+07 ; 6.893948e+07 + i 9.404640e+07 ; -3.944957e+06 + i 7.442671e+08 ; 1.655513e+08 + i 2.853581e+07 ; 5.267703e+07 + i 3.212945e+07 ; -1.873109e+07 + i 3.477824e+08 ; 5.720337e+08 + i -3.793853e+08 ; 7.003578e+07 + i 1.918593e+08 ; -3.691061e+08 + i 8.019284e+08 ; 3.656998e+08 + i 9.240065e+06 ; 5.172472e+07 + i 5.515591e+07 ; -2.304681e+07 + i 4.117723e+08 ; 7.974181e+08 + i -3.699101e+08 ; 1.119065e+07 + i 7.702790e+07 ; -5.419354e+08 + i 7.895150e+08 ; 3.853932e+08 + i 6.580001e+07 ; 3.175041e+07 + i 3.125168e+07 ; -6.061942e+07 + i 4.335553e+08 ; 
-7.736406e+09 + i -5.101419e+09 ; 2.850266e+09 + i -7.526624e+09 ; -1.375743e+09 + i 1.200861e+08 ; -2.262770e+09 + i 1.357003e+10 ; -1.312891e+09 + i -5.499345e+08 ; -1.340599e+08 + i 6.586520e+08 ; 1.155973e+10 + i -2.860223e+10 ; 2.585962e+09 + i 1.257647e+09 ; -2.486792e+09 + i -1.063525e+09 ; -3.937195e+10 + i 4.031942e+10 ; 4.626429e+08 + i -6.852470e+08 ; -5.067478e+08 + i 7.106172e+08 ; -5.805562e+09 + i 1.793220e+09 ; 1.440525e+08 + i -2.979525e+09 ; -2.144898e+08 + i 3.214089e+09 ; 2.266298e+09 + i 4.484880e+09 ; -7.397413e+08 + i 5.954305e+06 ; 7.069214e+08 + i -1.222461e+07 ; -7.771220e+09 + i -5.139703e+09 ; 1.369869e+09 + i -1.232788e+08 ; -3.160189e+09 + i 7.989642e+09 ; -2.264143e+09 + i 1.357120e+10 ; 1.293127e+08 + i -6.612778e+08 ; 1.144744e+09 + i 2.858295e+08 ; -3.040523e+08 + i -2.684174e+09 ; -7.763025e+08 + i 2.380155e+09 ; 6.613724e+08 + i 2.469162e+07 ; 9.179944e+08 + i -1.548739e+09 ; 1.769510e+08 + i 6.636154e+08 ; 2.796639e+08 + i -2.268916e+08 ; 1.946327e+09 + i -5.401027e+09 ; -8.092944e+08 + i -1.837519e+08 ; 8.999333e+08 + i 2.761852e+08 ; 1.897713e+09 + i -1.117953e+09 ; -3.475278e+08 + i 2.090714e+08 ; 3.904424e+08 + i -2.026500e+08 ; -7.859792e+08 + i -1.326943e+09 ; -2.216820e+08 + i 1.428541e+09 ; 2.633033e+08 + i -1.493189e+09 ; 2.416626e+08 + i -1.532268e+09 ; 1.672974e+08 + i 4.728838e+08 ; -1.600702e+08 + i -4.911925e+08 ; -2.908453e+08 + i -2.672154e+09 ; -5.979903e+08 + i 1.500128e+07 ; 8.654262e+08 + i -2.487695e+09 ; 9.173336e+08 + i -1.544674e+09 ; -2.474780e+08 + i 2.271857e+08 ; -1.677482e+08 + i -6.897654e+08 ; 
2.765167e+09 + i -7.602007e+09 ; -7.880385e+09 + i -5.206116e+09 ; -1.332088e+09 + i 1.464698e+08 ; 2.364477e+09 + i 1.170162e+09 ; 1.144774e+10 + i -2.865949e+10 ; -2.440449e+09 + i -1.024881e+09 ; -1.475194e+09 + i -6.216260e+08 ; -2.617900e+09 + i 1.356280e+10 ; -1.026203e+08 + i 7.335565e+08 ; 3.353629e+08 + i -7.411313e+08 ; -3.976099e+10 + i 4.024943e+10 ; -4.744198e+08 + i 7.979081e+08 ; 5.382964e+07 + i -3.044785e+09 ; -5.962732e+09 + i 1.721853e+09 ; -1.759246e+08 + i 3.217932e+09 ; 1.173765e+09 + i -1.802482e+08 ; -7.901650e+09 + i -5.163199e+09 ; -3.099953e+09 + i 7.997074e+09 ; -8.948618e+08 + i -5.219850e+07 ; 1.972373e+09 + i 4.540721e+09 ; 8.003269e+08 + i 1.798503e+07 ; 9.589752e+06 + i -7.056476e+08 ; -2.575844e+09 + i 1.360310e+10 ; 1.260628e+09 + i 3.219456e+08 ; -8.824734e+08 + i 2.439767e+09 ; -1.751679e+09 + i 2.675063e+08 ; -2.145700e+08 + i 5.230807e+07 ; -8.987815e+08 + i 3.928685e+08 ; -5.458130e+08 + i 7.881812e+08 ; -2.678098e+07 + i 9.231206e+07 ; 4.686074e+08 + i 1.710598e+08 ; -7.632798e+08 + i 2.600368e+09 ; 2.591774e+07 + i 2.111229e+08 ; 2.503220e+07 + i 3.419974e+08 ; -1.969327e+06 + i 7.418552e+08 ; 7.234428e+07 + i 1.060700e+08 ; -2.661556e+08 + i 1.502101e+09 ; -1.408178e+09 + i 8.208005e+08 ; -1.052768e+08 + i 9.005561e+08 ; -5.932043e+08 + i 4.975082e+08 ; -3.713635e+08 + i 8.024346e+08 ; 1.108748e+08 + i 2.092495e+08 ; 4.110497e+08 + i 1.141116e+08 ; -2.248643e+08 + i 1.756202e+09 ; 2.820464e+08 + i 7.458315e+07 ; 8.920923e+07 + i 3.264306e+08 ; -5.627264e+06 + i 6.169985e+08 ; 1.240847e+08 + i 4.694931e+06 ; 
