-3.327109e+10 + i 4.447753e+10 ; 7.711206e+07 + i -1.273552e+09 ; 7.768453e+07 + i -1.271719e+09 ; 5.330301e+09 + i -2.989822e+10 ; 3.287731e+09 + i 2.169040e+08 ; 3.284551e+09 + i 2.178513e+08 ; 3.403803e+08 + i 1.282515e+10 ; -1.508180e+09 + i 9.447808e+07 ; -3.993246e+08 + i -9.620094e+08 ; -9.747994e+09 + i -2.253030e+09 ; 1.225211e+09 + i -9.120059e+09 ; 1.400402e+09 + i -8.513621e+08 ; 3.428790e+08 + i 1.282662e+10 ; -4.020185e+08 + i -9.653054e+08 ; -1.507696e+09 + i 9.235031e+07 ; -9.745428e+09 + i -2.251349e+09 ; 1.403253e+09 + i -8.590785e+08 ; 1.225957e+09 + i -9.120588e+09 ; 2.537648e+09 + i 3.294038e+09 ; -8.577345e+08 + i 2.556130e+08 ; -8.544703e+08 + i 2.543797e+08 ; -5.081891e+09 + i 4.599229e+09 ; -7.705826e+08 + i -3.304238e+09 ; -7.688976e+08 + i -3.304413e+09 ; 1.714849e+09 + i -1.635991e+09 ; 1.067760e+08 + i -2.909982e+08 ; 1.059803e+08 + i -2.909067e+08 ; 8.983054e+08 + i -4.820822e+08 ; -7.062708e+07 + i -1.515576e+08 ; -7.071732e+07 + i -1.513006e+08 ; 4.387317e+08 + i -1.924040e+09 ; -3.336490e+08 + i -7.021713e+08 ; 1.294642e+07 + i -2.792614e+08 ; 8.211237e+08 + i -9.207857e+08 ; -2.139505e+08 + i -1.935279e+08 ; -9.186147e+07 + i -1.338099e+08 ; 4.394588e+08 + i -1.924084e+09 ; 1.313292e+07 + i -2.805806e+08 ; -3.336805e+08 + i -7.025984e+08 ; 8.209349e+08 + i -9.203336e+08 ; -9.220853e+07 + i -1.343871e+08 ; -2.141128e+08 + i -1.937974e+08 ; -3.609516e+08 + i -1.707455e+09 ; -3.259516e+08 + i -5.112704e+08 ; -3.260074e+08 + i -5.115882e+08 ; 5.897655e+08 + i -1.235448e+09 ; -2.007342e+08 + i -1.575238e+08 ; -2.006448e+08 + i -1.577163e+08 ; 
1.175861e+08 + i -1.233049e+09 ; -3.336889e+10 + i 4.433476e+10 ; 9.424141e+07 + i -1.274310e+09 ; -1.439859e+09 + i 1.324753e+08 ; 2.405139e+08 + i 1.272574e+10 ; -3.906767e+08 + i -9.617039e+08 ; 3.334688e+09 + i 2.838428e+08 ; 5.075462e+09 + i -3.002371e+10 ; 3.319822e+09 + i 2.281583e+08 ; 1.343463e+09 + i -9.050866e+09 ; -9.972344e+09 + i -2.303752e+09 ; 1.429449e+09 + i -8.394490e+08 ; -3.582779e+08 + i -9.265758e+08 ; 2.238152e+08 + i 1.269387e+10 ; -1.495484e+09 + i 8.735327e+07 ; -7.883378e+08 + i 2.876745e+08 ; 2.431441e+09 + i 3.193166e+09 ; -8.478828e+08 + i 2.550918e+08 ; 1.455963e+09 + i -7.947101e+08 ; -1.001683e+10 + i -2.320762e+09 ; 1.266434e+09 + i -9.132831e+09 ; -6.536342e+08 + i -3.247319e+09 ; -5.312979e+09 + i 4.595019e+09 ; -7.378694e+08 + i -3.310695e+09 ; 1.894775e+08 + i -1.632746e+08 ; 1.381058e+08 + i 7.524634e+08 ; -1.561089e+08 + i -7.755678e+07 ; 2.258485e+08 + i -6.453619e+07 ; 9.131047e+07 + i 3.884397e+08 ; -9.170450e+07 + i -4.535602e+06 ; 8.331386e+08 + i -6.217125e+08 ; -2.529059e+08 + i 1.024171e+09 ; -7.641166e+07 + i -9.171930e+07 ; 5.157077e+08 + i -2.719664e+07 ; 1.176733e+08 + i 4.565883e+08 ; -6.605808e+07 + i -1.705331e+07 ; 1.101529e+08 + i -1.686968e+08 ; 1.051378e+08 + i 6.624432e+08 ; -1.691437e+08 + i 1.399787e+07 ; 2.018773e+08 + i -1.103115e+08 ; 1.028847e+08 + i 3.794289e+08 ; -8.222982e+07 + i 1.908575e+07 ; 5.572303e+08 + i -5.844092e+08 ; -4.331769e+07 + i 9.716420e+08 ; -1.549889e+08 + i -1.860562e+08 ; 4.720766e+08 + i -1.119365e+08 ; 1.503252e+08 + i 4.172837e+08 ; -9.039299e+07 + i -3.726542e+07 ; 
1.193006e+08 + i -1.231444e+09 ; 9.398242e+07 + i -1.274152e+09 ; -3.337659e+10 + i 4.433559e+10 ; -1.439596e+09 + i 1.318895e+08 ; -3.909718e+08 + i -9.612749e+08 ; 2.450288e+08 + i 1.273376e+10 ; -3.569834e+08 + i -9.249584e+08 ; -1.498274e+09 + i 8.717704e+07 ; 2.137807e+08 + i 1.271900e+10 ; -7.860595e+08 + i 2.875763e+08 ; -8.500331e+08 + i 2.560679e+08 ; 2.442374e+09 + i 3.208786e+09 ; 3.334041e+09 + i 2.854337e+08 ; 3.318200e+09 + i 2.279571e+08 ; 5.073597e+09 + i -3.001305e+10 ; 1.343386e+09 + i -9.050438e+09 ; 1.428087e+09 + i -8.394026e+08 ; -9.967280e+09 + i -2.299083e+09 ; 1.454137e+09 + i -7.925413e+08 ; 1.266577e+09 + i -9.133009e+09 ; -1.001452e+10 + i -2.322873e+09 ; -6.546200e+08 + i -3.247981e+09 ; -7.384347e+08 + i -3.310719e+09 ; -5.305700e+09 + i 4.595461e+09 ; 1.890246e+08 + i -1.636548e+08 ; -1.561866e+08 + i -7.765671e+07 ; 1.384801e+08 + i 7.538179e+08 ; 2.258779e+08 + i -6.466754e+07 ; -9.176713e+07 + i -4.544771e+06 ; 9.176997e+07 + i 3.884417e+08 ; 1.098709e+08 + i -1.690063e+08 ; -1.692207e+08 + i 1.414085e+07 ; 1.060649e+08 + i 6.627914e+08 ; 2.019702e+08 + i -1.104814e+08 ; -8.217286e+07 + i 1.916890e+07 ; 1.031615e+08 + i 3.789106e+08 ; 8.328856e+08 + i -6.217502e+08 ; -7.670032e+07 + i -9.171021e+07 ; -2.531062e+08 + i 1.025484e+09 ; 5.154704e+08 + i -2.730763e+07 ; -6.622469e+07 + i -1.698241e+07 ; 1.178145e+08 + i 4.575376e+08 ; 5.569933e+08 + i -5.850572e+08 ; -1.549752e+08 + i -1.860152e+08 ; -4.420315e+07 + i 9.718820e+08 ; 4.720652e+08 + i -1.121428e+08 ; -9.038780e+07 + i -3.716861e+07 ; 1.498036e+08 + i 4.177454e+08 ; 
5.325183e+09 + i -2.990421e+10 ; -3.252393e+09 + i -2.193622e+08 ; -3.249153e+09 + i -2.196366e+08 ; -3.282547e+10 + i 4.431277e+10 ; -1.512965e+08 + i 1.143287e+09 ; -1.521101e+08 + i 1.141487e+09 ; -9.749266e+09 + i -2.254920e+09 ; -1.244639e+09 + i 8.780875e+09 ; -1.436591e+09 + i 8.090571e+08 ; 6.420525e+08 + i 1.255639e+10 ; 1.313396e+09 + i -9.747393e+07 ; 2.988104e+08 + i 8.508729e+08 ; -9.746915e+09 + i -2.254158e+09 ; -1.439837e+09 + i 8.165287e+08 ; -1.245356e+09 + i 8.781352e+09 ; 6.451729e+08 + i 1.255621e+10 ; 3.012410e+08 + i 8.541576e+08 ; 1.312804e+09 + i -9.570061e+07 ; -5.082520e+09 + i 4.597642e+09 ; 6.661289e+08 + i 3.192335e+09 ; 6.645739e+08 + i 3.192200e+09 ; 2.716703e+09 + i 2.976940e+09 ; 7.004398e+08 + i -2.465831e+08 ; 6.975318e+08 + i -2.460050e+08 ; 7.580031e+08 + i -5.532172e+09 ; 1.129628e+09 + i -7.320146e+07 ; 1.128634e+09 + i -7.337988e+07 ; 1.725116e+09 + i -1.630229e+09 ; 3.053905e+08 + i -4.434334e+08 ; 3.052658e+08 + i -4.429105e+08 ; -9.595025e+08 + i -2.469950e+09 ; 2.698625e+08 + i -2.694993e+09 ; 7.374987e+08 + i -2.909975e+08 ; 4.466950e+08 + i -1.923560e+09 ; -3.570289e+08 + i -6.214485e+08 ; 1.562023e+08 + i -4.123900e+08 ; -9.608376e+08 + i -2.470026e+09 ; 7.382576e+08 + i -2.931570e+08 ; 2.705190e+08 + i -2.695288e+09 ; 4.459135e+08 + i -1.923611e+09 ; 1.557124e+08 + i -4.139644e+08 ; -3.565209e+08 + i -6.221569e+08 ; -1.117273e+09 + i -1.090032e+09 ; -1.130103e+08 + i -1.534067e+09 ; -1.122068e+08 + i -1.534107e+09 ; -3.569407e+08 + i -1.707320e+09 ; -2.829471e+08 + i -4.313727e+08 ; -2.818612e+08 + i -4.315330e+08 ; 
1.397504e+09 + i -8.145069e+07 ; 2.445313e+08 + i 1.273232e+10 ; -3.788280e+08 + i -9.241938e+08 ; 4.363997e+07 + i 1.022933e+09 ; -3.327044e+10 + i 4.438633e+10 ; 6.178399e+07 + i -1.225561e+09 ; -9.398262e+08 + i 7.898779e+09 ; -9.970777e+09 + i -2.302973e+09 ; 1.368829e+09 + i -8.086534e+08 ; -2.619672e+09 + i -1.848518e+08 ; 5.165433e+09 + i -2.989043e+10 ; 3.163783e+09 + i 2.047736e+08 ; 8.357516e+08 + i -2.292869e+08 ; 2.435016e+09 + i 3.194462e+09 ; -8.163502e+08 + i 2.431137e+08 ; 4.328373e+08 + i 7.519383e+08 ; 3.212350e+08 + i 1.274781e+10 ; -1.458367e+09 + i 9.733743e+07 ; 7.510483e+08 + i 2.882816e+09 ; -5.315254e+09 + i 4.594733e+09 ; -7.138532e+08 + i -3.180572e+09 ; -1.038158e+09 + i 7.048540e+08 ; -9.911575e+09 + i -2.200471e+09 ; 1.169169e+09 + i -8.762229e+09 ; -6.513876e+08 + i -6.838569e+07 ; -2.361438e+08 + i 2.589980e+09 ; -1.630683e+08 + i -2.399639e+08 ; -2.370130e+08 + i -4.429906e+08 ; 1.440795e+08 + i 7.497631e+08 ; -1.582126e+08 + i -7.813774e+07 ; 2.506850e+08 + i -2.575966e+09 ; -1.736320e+09 + i 8.790105e+08 ; 1.923584e+08 + i -1.554698e+08 ; 8.541864e+08 + i -6.878216e+08 ; -2.509439e+08 + i 1.024169e+09 ; -3.364489e+07 + i -1.159292e+08 ; -5.344479e+08 + i 1.369376e+07 ; 9.910439e+07 + i 1.701819e+09 ; -3.430365e+08 + i 1.580141e+07 ; -3.240726e+08 + i -3.702436e+08 ; 1.101258e+08 + i 6.574905e+08 ; -1.439302e+08 + i 3.776808e+07 ; -1.603471e+08 + i -1.496006e+09 ; -1.157520e+09 + i 1.386524e+09 ; -1.537841e+08 + i -9.158803e+08 ; 4.459555e+08 + i -7.299742e+08 ; -4.088551e+07 + i 9.708451e+08 ; -1.921123e+08 + i -1.645590e+08 ; 
1.397530e+09 + i -8.136757e+07 ; -3.790252e+08 + i -9.238799e+08 ; 2.481786e+08 + i 1.274006e+10 ; 4.185206e+07 + i 1.021603e+09 ; 6.149038e+07 + i -1.225365e+09 ; -3.327695e+10 + i 4.438914e+10 ; 8.347809e+08 + i -2.295304e+08 ; -8.183791e+08 + i 2.440417e+08 ; 2.446261e+09 + i 3.209484e+09 ; 4.318113e+08 + i 7.507590e+08 ; -1.461023e+09 + i 9.755988e+07 ; 3.128589e+08 + i 1.277276e+10 ; -9.391681e+08 + i 7.898601e+09 ; 1.367533e+09 + i -8.086188e+08 ; -9.965597e+09 + i -2.299036e+09 ; -2.619106e+09 + i -1.861027e+08 ; 3.162150e+09 + i 2.046275e+08 ; 5.166019e+09 + i -2.987966e+10 ; 7.521229e+08 + i 2.883432e+09 ; -7.143070e+08 + i -3.180407e+09 ; -5.306290e+09 + i 4.593494e+09 ; -1.037480e+09 + i 7.037611e+08 ; 1.169135e+09 + i -8.762434e+09 ; -9.908979e+09 + i -2.202340e+09 ; -6.516998e+08 + i -6.812796e+07 ; -1.630918e+08 + i -2.401235e+08 ; -2.371131e+08 + i 2.589792e+09 ; -2.366456e+08 + i -4.427038e+08 ; -1.582859e+08 + i -7.814516e+07 ; 1.445302e+08 + i 7.495346e+08 ; -5.345892e+08 + i 1.379275e+07 ; -3.433307e+08 + i 1.592529e+07 ; 9.972435e+07 + i 1.703190e+09 ; -3.238408e+08 + i -3.700925e+08 ; -1.439723e+08 + i 3.796779e+07 ; 1.109718e+08 + i 6.566397e+08 ; 2.504259e+08 + i -2.575678e+09 ; 1.918919e+08 + i -1.554840e+08 ; -1.736291e+09 + i 8.809384e+08 ; 8.539533e+08 + i -6.873059e+08 ; -3.393352e+07 + i -1.158463e+08 ; -2.508491e+08 + i 1.025283e+09 ; -1.610235e+08 + i -1.496010e+09 ; -1.536539e+08 + i -9.158719e+08 ; -1.159283e+09 + i 1.385379e+09 ; 4.456148e+08 + i -7.297333e+08 ; -1.921437e+08 + i -1.644457e+08 ; -4.208015e+07 + i 9.707555e+08 ; 
3.412096e+08 + i 1.284492e+10 ; 1.612228e+09 + i 1.247274e+08 ; -3.778154e+08 + i -9.225447e+08 ; -9.691430e+09 + i -2.214606e+09 ; -9.913838e+08 + i 7.742850e+09 ; 1.344794e+09 + i -8.072016e+08 ; -3.329534e+10 + i 4.446687e+10 ; -1.295875e+08 + i 1.224235e+09 ; 7.935726e+07 + i -1.215479e+09 ; 5.308091e+09 + i -2.986489e+10 ; -3.142473e+09 + i -3.890502e+08 ; 3.139762e+09 + i 2.206869e+08 ; 2.541526e+09 + i 3.313748e+09 ; 7.990293e+08 + i -2.341467e+08 ; -8.189895e+08 + i 2.396534e+08 ; -5.058290e+09 + i 4.593342e+09 ; 6.459739e+08 + i 2.782107e+09 ; -7.228478e+08 + i -3.164710e+09 ; 3.346946e+08 + i 1.283983e+10 ; 3.663816e+08 + i 9.059872e+08 ; -1.442273e+09 + i 8.341619e+07 ; -9.735973e+09 + i -2.243559e+09 ; -1.266413e+09 + i 7.562102e+08 ; 1.206510e+09 + i -8.721331e+09 ; 4.448331e+08 + i -1.932402e+09 ; 2.655739e+08 + i 5.861985e+08 ; 1.373811e+07 + i -2.667602e+08 ; 8.254780e+08 + i -9.203220e+08 ; 1.720768e+08 + i 1.637917e+08 ; -8.723183e+07 + i -1.283923e+08 ; 1.716633e+09 + i -1.637412e+09 ; -1.131048e+08 + i 2.410505e+08 ; 1.018402e+08 + i -2.779084e+08 ; 8.993662e+08 + i -4.842576e+08 ; 4.942452e+07 + i 1.283924e+08 ; -6.725921e+07 + i -1.448282e+08 ; -3.597210e+08 + i -1.712149e+09 ; 2.618023e+08 + i 4.308126e+08 ; -3.102493e+08 + i -4.907936e+08 ; 5.932563e+08 + i -1.236417e+09 ; 1.623923e+08 + i 1.343895e+08 ; -1.915079e+08 + i -1.516957e+08 ; 4.410078e+08 + i -1.926039e+09 ; -2.823287e+07 + i 2.354993e+08 ; -3.166279e+08 + i -6.734032e+08 ; 8.205811e+08 + i -9.220031e+08 ; 6.907602e+07 + i 1.146842e+08 ; -2.040956e+08 + i -1.860981e+08 ; 
-3.530622e+09 + i -4.894615e+08 ; 5.057009e+09 + i -3.002136e+10 ; -3.177623e+09 + i -2.290566e+08 ; -1.321063e+09 + i 8.676128e+09 ; -9.910280e+09 + i -2.267360e+09 ; -1.371167e+09 + i 7.997580e+08 ; -1.327166e+08 + i 1.248109e+09 ; -3.338057e+10 + i 4.434150e+10 ; -9.367467e+07 + i 1.221787e+09 ; 1.692825e+09 + i 8.109367e+07 ; 2.609331e+08 + i 1.269193e+10 ; 3.718775e+08 + i 9.225060e+08 ; -1.478048e+09 + i 7.784289e+08 ; -1.001072e+10 + i -2.331490e+09 ; -1.244516e+09 + i 8.735568e+09 ; 5.996090e+08 + i 3.086176e+09 ; -5.279469e+09 + i 4.590776e+09 ; 6.948855e+08 + i 3.171604e+09 ; 3.571122e+08 + i 9.519925e+08 ; 2.154000e+08 + i 1.269153e+10 ; 1.432076e+09 + i -7.813322e+07 ; 8.228628e+08 + i -2.876765e+08 ; 2.416018e+09 + i 3.177967e+09 ; 8.129479e+08 + i -2.415618e+08 ; -7.915614e+08 + i 6.173133e+08 ; -2.503456e+08 + i 1.034617e+09 ; 7.267369e+07 + i 8.838177e+07 ; -4.965885e+08 + i 3.986329e+07 ; 1.214431e+08 + i 4.578204e+08 ; 6.320388e+07 + i 1.670581e+07 ; -1.782383e+08 + i 1.860942e+08 ; 1.388281e+08 + i 7.553855e+08 ; 1.492609e+08 + i 7.506012e+07 ; -2.212458e+08 + i 7.563917e+07 ; 9.093842e+07 + i 3.907997e+08 ; 8.783744e+07 + i 4.724600e+06 ; -5.252048e+08 + i 5.721600e+08 ; -3.691622e+07 + i 9.774541e+08 ; 1.476596e+08 + i 1.787330e+08 ; -4.506351e+08 + i 1.202747e+08 ; 1.541764e+08 + i 4.174934e+08 ; 8.643176e+07 + i 3.607384e+07 ; -9.606037e+07 + i 1.797356e+08 ; 1.067999e+08 + i 6.631555e+08 ; 1.618254e+08 + i -1.265747e+07 ; -1.933804e+08 + i 1.200300e+08 ; 1.030285e+08 + i 3.812733e+08 ; 7.875105e+07 + i -1.789654e+07 ; 
-3.322266e+08 + i -8.987418e+08 ; 1.288515e+09 + i -7.482686e+07 ; 2.165180e+08 + i 1.272752e+10 ; -7.522148e+08 + i 2.760247e+08 ; 7.284415e+08 + i -2.253430e+08 ; 2.446865e+09 + i 3.207768e+09 ; 1.188571e+08 + i -1.189920e+09 ; -8.126405e+07 + i 1.106523e+09 ; -3.338549e+10 + i 4.433920e+10 ; -1.383872e+09 + i 1.200034e+08 ; 3.314079e+08 + i 8.400199e+08 ; 2.459176e+08 + i 1.274191e+10 ; 1.452880e+09 + i -7.049522e+08 ; -1.093046e+09 + i 7.868488e+09 ; -1.001258e+10 + i -2.322010e+09 ; -6.137097e+08 + i -3.101310e+09 ; 6.379596e+08 + i 2.818377e+09 ; -5.304914e+09 + i 4.593165e+09 ; 3.215399e+09 + i 2.778396e+08 ; -2.869145e+09 + i -1.845891e+08 ; 5.074865e+09 + i -3.000790e+10 ; 1.334339e+09 + i -8.721176e+09 ; -1.285154e+09 + i 6.782287e+08 ; -9.963204e+09 + i -2.296031e+09 ; 1.049731e+08 + i -1.621873e+08 ; 1.430200e+08 + i -1.087683e+07 ; 1.062717e+08 + i 6.630657e+08 ; 1.944277e+08 + i -1.055908e+08 ; 6.941931e+07 + i -1.544587e+07 ; 1.031579e+08 + i 3.791123e+08 ; 1.826910e+08 + i -1.550716e+08 ; 1.318506e+08 + i 6.930436e+07 ; 1.389398e+08 + i 7.552297e+08 ; 2.168680e+08 + i -6.065752e+07 ; 7.811238e+07 + i 5.566972e+06 ; 9.229409e+07 + i 3.886294e+08 ; 5.376151e+08 + i -5.616092e+08 ; 1.289247e+08 + i 1.570103e+08 ; -4.435625e+07 + i 9.725838e+08 ; 4.548474e+08 + i -1.057474e+08 ; 7.550499e+07 + i 3.146820e+07 ; 1.498916e+08 + i 4.182117e+08 ; 8.047235e+08 + i -5.944369e+08 ; 5.957707e+07 + i 7.612546e+07 ; -2.532028e+08 + i 1.025663e+09 ; 4.958163e+08 + i -2.410520e+07 ; 5.454587e+07 + i 1.472238e+07 ; 1.178881e+08 + i 4.575609e+08 ; 
-9.663676e+09 + i -2.221660e+09 ; 1.173113e+09 + i -7.710171e+09 ; -1.395696e+09 + i 7.578062e+08 ; 6.448899e+08 + i 1.255326e+10 ; -1.693900e+09 + i -1.227744e+08 ; 2.756270e+08 + i 8.240009e+08 ; 5.304338e+09 + i -2.985399e+10 ; 3.396025e+09 + i 4.073321e+08 ; -3.123979e+09 + i -2.541793e+08 ; -3.282103e+10 + i 4.430830e+10 ; 1.273633e+08 + i -1.010663e+09 ; -1.615063e+08 + i 1.096109e+09 ; -5.044023e+09 + i 4.583146e+09 ; -5.302672e+08 + i -2.754874e+09 ; 5.972374e+08 + i 3.083452e+09 ; 2.715571e+09 + i 2.991202e+09 ; -7.186598e+08 + i 2.615552e+08 ; 6.749117e+08 + i -2.268840e+08 ; -9.732373e+09 + i -2.246978e+09 ; 1.373500e+09 + i -7.629951e+08 ; -1.314835e+09 + i 8.439633e+09 ; 6.440002e+08 + i 1.255984e+10 ; -2.879464e+08 + i -8.188302e+08 ; 1.265145e+09 + i -7.573658e+07 ; -9.882173e+08 + i -2.476841e+09 ; -2.273539e+08 + i 2.421536e+09 ; 7.146146e+08 + i -2.699528e+08 ; 4.400168e+08 + i -1.931737e+09 ; 3.429618e+08 + i 5.663588e+08 ; 1.563105e+08 + i -3.952291e+08 ; 7.575791e+08 + i -5.534921e+09 ; -8.930282e+08 + i 1.102980e+08 ; 1.087133e+09 + i -5.613749e+07 ; 1.720950e+09 + i -1.632825e+09 ; -2.388015e+08 + i 3.924303e+08 ; 2.994612e+08 + i -4.222398e+08 ; -1.135409e+09 + i -1.088380e+09 ; 1.172803e+08 + i 1.382086e+09 ; -8.770499e+07 + i -1.479303e+09 ; -3.642513e+08 + i -1.712556e+09 ; 2.747545e+08 + i 3.905352e+08 ; -2.657412e+08 + i -4.197142e+08 ; -9.638505e+08 + i -2.471348e+09 ; -5.986024e+08 + i 2.708256e+08 ; 2.959657e+08 + i -2.591904e+09 ; 4.413272e+08 + i -1.923614e+09 ; -1.156358e+08 + i 3.663371e+08 ; -3.351044e+08 + i -6.035421e+08 ; 
1.039718e+09 + i -7.761705e+09 ; -9.886948e+09 + i -2.275126e+09 ; -1.328987e+09 + i 7.620903e+08 ; 3.118814e+09 + i 4.011389e+08 ; 5.149489e+09 + i -2.986975e+10 ; -3.046039e+09 + i -2.371379e+08 ; -1.907770e+09 + i -1.349838e+08 ; 2.627527e+08 + i 1.268394e+10 ; 3.539689e+08 + i 8.958623e+08 ; -4.338308e+07 + i -1.018475e+09 ; -3.326149e+10 + i 4.439513e+10 ; -7.421096e+07 + i 1.182204e+09 ; -6.677242e+08 + i -2.789994e+09 ; -5.271503e+09 + i 4.581924e+09 ; 6.463278e+08 + i 3.073442e+09 ; 1.134540e+09 + i -7.413267e+08 ; -9.901473e+09 + i -2.208010e+09 ; -1.240418e+09 + i 8.424965e+09 ; -9.207751e+08 + i 2.635552e+08 ; 2.415630e+09 + i 3.180207e+09 ; 7.894974e+08 + i -2.238254e+08 ; -4.468783e+08 + i -8.140314e+08 ; 3.167705e+08 + i 1.273931e+10 ; 1.407005e+09 + i -7.447103e+07 ; -3.130052e+08 + i 2.519556e+09 ; -1.768522e+09 + i 8.698584e+08 ; -1.878872e+08 + i 1.476285e+08 ; -8.747384e+08 + i 6.455721e+08 ; -2.580915e+08 + i 1.026891e+09 ; 3.086999e+07 + i 1.124171e+08 ; 5.364016e+08 + i 2.527064e+07 ; -2.390552e+08 + i 2.591199e+09 ; 1.540272e+08 + i 2.339087e+08 ; 2.094008e+08 + i 3.905296e+08 ; 1.381511e+08 + i 7.497021e+08 ; 1.515372e+08 + i 7.745845e+07 ; 1.199446e+08 + i 1.471864e+09 ; -1.176443e+09 + i 1.388905e+09 ; 1.361344e+08 + i 8.842560e+08 ; -4.727134e+08 + i 7.044639e+08 ; -4.520346e+07 + i 9.741493e+08 ; 1.829679e+08 + i 1.611461e+08 ; 4.740211e+08 + i -2.341525e+07 ; 9.662979e+07 + i 1.701817e+09 ; 3.304731e+08 + i -1.068323e+07 ; 2.894020e+08 + i 3.417706e+08 ; 1.041992e+08 + i 6.586372e+08 ; 1.390892e+08 + i -3.446688e+07 ; 
