-2.569414e+10 + i 4.602957e+10 ; -6.678327e+08 + i -1.331268e+09 ; -6.645445e+08 + i -1.330079e+09 ; -9.716572e+08 + i -2.863145e+10 ; 3.422147e+09 + i -1.080125e+09 ; 3.420709e+09 + i -1.074810e+09 ; 2.399062e+09 + i 1.101460e+10 ; -1.449803e+09 + i 5.797307e+08 ; -1.001733e+09 + i -6.972503e+08 ; -9.910837e+09 + i 1.288779e+09 ; -1.131516e+09 + i -8.769650e+09 ; 9.214721e+08 + i -1.465127e+09 ; 2.403306e+09 + i 1.101229e+10 ; -1.008080e+09 + i -6.970240e+08 ; -1.452618e+09 + i 5.772016e+08 ; -9.906192e+09 + i 1.287352e+09 ; 9.156136e+08 + i -1.476253e+09 ; -1.131612e+09 + i -8.771118e+09 ; 2.228818e+09 + i 2.409912e+09 ; -7.668253e+08 + i 4.723957e+08 ; -7.654402e+08 + i 4.668464e+08 ; -2.665547e+09 + i 6.428372e+09 ; -1.601741e+09 + i -2.759402e+09 ; -1.600451e+09 + i -2.762059e+09 ; 1.259556e+09 + i -2.013801e+09 ; -6.619494e+07 + i -3.261935e+08 ; -6.669612e+07 + i -3.250320e+08 ; 7.350657e+08 + i -7.022127e+08 ; -1.645318e+08 + i -9.054506e+07 ; -1.641967e+08 + i -9.019368e+07 ; -2.429464e+08 + i -1.998462e+09 ; -5.297419e+08 + i -5.229270e+08 ; -1.578212e+08 + i -2.630507e+08 ; 4.513075e+08 + i -1.264909e+09 ; -2.725691e+08 + i -8.890796e+07 ; -1.744034e+08 + i -5.971706e+07 ; -2.421194e+08 + i -1.999207e+09 ; -1.591383e+08 + i -2.645509e+08 ; -5.304375e+08 + i -5.231420e+08 ; 4.519750e+08 + i -1.264109e+09 ; -1.753917e+08 + i -5.979679e+07 ; -2.731080e+08 + i -8.878140e+07 ; -1.042605e+09 + i -1.502611e+09 ; -4.715060e+08 + i -3.493059e+08 ; -4.721056e+08 + i -3.494985e+08 ; -1.253559e+07 + i -1.576112e+09 ; -2.522584e+08 + i -5.940646e+07 ; -2.525203e+08 + i -5.966715e+07 ; 
-5.945241e+08 + i -1.310065e+09 ; -2.588282e+10 + i 4.594369e+10 ; -6.494385e+08 + i -1.343787e+09 ; -1.348601e+09 + i 5.837758e+08 ; 2.245781e+09 + i 1.098814e+10 ; -9.937866e+08 + i -7.014389e+08 ; 3.513831e+09 + i -1.033523e+09 ; -1.285869e+09 + i -2.863843e+10 ; 3.463828e+09 + i -1.088759e+09 ; -9.648164e+08 + i -8.750698e+09 ; -1.016741e+10 + i 1.352725e+09 ; 9.595556e+08 + i -1.471665e+09 ; -9.313927e+08 + i -6.805873e+08 ; 2.197056e+09 + i 1.094643e+10 ; -1.441610e+09 + i 5.635438e+08 ; -6.654192e+08 + i 4.680774e+08 ; 2.056468e+09 + i 2.375541e+09 ; -7.578412e+08 + i 4.635453e+08 ; 1.013711e+09 + i -1.436658e+09 ; -1.022259e+10 + i 1.355260e+09 ; -1.093733e+09 + i -8.805196e+09 ; -1.440563e+09 + i -2.754310e+09 ; -2.915273e+09 + i 6.555307e+09 ; -1.568467e+09 + i -2.783896e+09 ; 1.173162e+08 + i -2.789643e+08 ; 3.263295e+08 + i 7.245051e+08 ; -2.048897e+08 + i 1.758305e+07 ; 2.013114e+08 + i -2.082917e+08 ; 2.532300e+08 + i 3.484437e+08 ; -9.368242e+07 + i 5.484750e+07 ; 6.946049e+08 + i -8.958491e+08 ; 1.528675e+08 + i 1.058920e+09 ; -1.332531e+08 + i -3.691804e+07 ; 5.721124e+08 + i -2.212079e+08 ; 2.988066e+08 + i 3.689029e+08 ; -7.527378e+07 + i 2.869388e+07 ; 3.559229e+07 + i -2.546106e+08 ; 3.058477e+08 + i 6.766481e+08 ; -1.799479e+08 + i 8.981234e+07 ; 1.464127e+08 + i -2.494446e+08 ; 2.774805e+08 + i 3.338842e+08 ; -7.975380e+07 + i 6.781170e+07 ; 4.015130e+08 + i -7.826489e+08 ; 3.517537e+08 + i 9.193148e+08 ; -2.152564e+08 + i -1.015250e+08 ; 4.799795e+08 + i -3.184362e+08 ; 3.146511e+08 + i 3.187002e+08 ; -1.020750e+08 + i 1.717190e+07 ; 
-5.909019e+08 + i -1.310493e+09 ; -6.494366e+08 + i -1.343141e+09 ; -2.588805e+10 + i 4.595478e+10 ; -1.349137e+09 + i 5.829170e+08 ; -9.933660e+08 + i -7.006283e+08 ; 2.261735e+09 + i 1.098968e+10 ; -9.278156e+08 + i -6.804464e+08 ; -1.444611e+09 + i 5.670301e+08 ; 2.214069e+09 + i 1.098428e+10 ; -6.630850e+08 + i 4.649677e+08 ; -7.583264e+08 + i 4.673529e+08 ; 2.084389e+09 + i 2.376732e+09 ; 3.515706e+09 + i -1.031013e+09 ; 3.461867e+09 + i -1.086807e+09 ; -1.278056e+09 + i -2.862514e+10 ; -9.641247e+08 + i -8.749987e+09 ; 9.580934e+08 + i -1.469959e+09 ; -1.016026e+10 + i 1.351706e+09 ; 1.014304e+09 + i -1.431671e+09 ; -1.093887e+09 + i -8.805540e+09 ; -1.022322e+10 + i 1.349414e+09 ; -1.442893e+09 + i -2.753466e+09 ; -1.569139e+09 + i -2.782879e+09 ; -2.908781e+09 + i 6.545737e+09 ; 1.164079e+08 + i -2.788703e+08 ; -2.051229e+08 + i 1.762763e+07 ; 3.285516e+08 + i 7.251799e+08 ; 2.012006e+08 + i -2.084607e+08 ; -9.375887e+07 + i 5.495948e+07 ; 2.535893e+08 + i 3.478382e+08 ; 3.498734e+07 + i -2.547272e+08 ; -1.798161e+08 + i 8.999589e+07 ; 3.069274e+08 + i 6.758219e+08 ; 1.463257e+08 + i -2.497801e+08 ; -7.958865e+07 + i 6.776458e+07 ; 2.769992e+08 + i 3.331927e+08 ; 6.942356e+08 + i -8.954296e+08 ; -1.335329e+08 + i -3.649855e+07 ; 1.543071e+08 + i 1.060952e+09 ; 5.716931e+08 + i -2.208779e+08 ; -7.531797e+07 + i 2.901918e+07 ; 3.004350e+08 + i 3.696902e+08 ; 4.003932e+08 + i -7.831428e+08 ; -2.151415e+08 + i -1.015166e+08 ; 3.513298e+08 + i 9.209111e+08 ; 4.797151e+08 + i -3.186608e+08 ; -1.018797e+08 + i 1.723536e+07 ; 3.150195e+08 + i 3.199664e+08 ; 
-9.768819e+08 + i -2.863444e+10 ; -3.362445e+09 + i 1.020307e+09 ; -3.360055e+09 + i 1.015624e+09 ; -2.534645e+10 + i 4.572819e+10 ; 4.884087e+08 + i 1.229765e+09 ; 4.850800e+08 + i 1.229096e+09 ; -9.912136e+09 + i 1.286820e+09 ; 8.731524e+08 + i 8.385300e+09 ; -9.935025e+08 + i 1.423150e+09 ; 2.553094e+09 + i 1.064445e+10 ; 1.238930e+09 + i -4.831533e+08 ; 8.098217e+08 + i 6.470550e+08 ; -9.908660e+09 + i 1.285068e+09 ; -9.881261e+08 + i 1.434720e+09 ; 8.731687e+08 + i 8.386766e+09 ; 2.556355e+09 + i 1.064008e+10 ; 8.159324e+08 + i 6.471008e+08 ; 1.241222e+09 + i -4.808129e+08 ; -2.665802e+09 + i 6.427796e+09 ; 1.402079e+09 + i 2.697598e+09 ; 1.400320e+09 + i 2.699850e+09 ; 2.232791e+09 + i 2.037437e+09 ; 6.031128e+08 + i -3.898476e+08 ; 6.013590e+08 + i -3.849952e+08 ; -3.947494e+08 + i -5.171750e+09 ; 1.087014e+09 + i -5.308495e+08 ; 1.085875e+09 + i -5.296424e+08 ; 1.274636e+09 + i -2.020373e+09 ; 5.089854e+07 + i -5.753194e+08 ; 5.151999e+07 + i -5.746257e+08 ; -1.515495e+09 + i -2.021692e+09 ; -3.641173e+08 + i -2.554336e+09 ; 5.748631e+08 + i -6.098135e+08 ; -2.353681e+08 + i -2.007763e+09 ; -4.915887e+08 + i -4.811426e+08 ; -8.753081e+07 + i -4.633237e+08 ; -1.516391e+09 + i -2.020303e+09 ; 5.731699e+08 + i -6.129503e+08 ; -3.639667e+08 + i -2.555580e+09 ; -2.359596e+08 + i -2.006830e+09 ; -8.980359e+07 + i -4.642349e+08 ; -4.922822e+08 + i -4.824630e+08 ; -1.407901e+09 + i -7.672349e+08 ; -4.585228e+08 + i -1.379716e+09 ; -4.577540e+08 + i -1.380932e+09 ; -1.037792e+09 + i -1.508017e+09 ; -3.741966e+08 + i -3.398483e+08 ; -3.734522e+08 + i -3.416115e+08 ; 
1.315223e+09 + i -4.702659e+08 ; 2.249931e+09 + i 1.099030e+10 ; -9.345298e+08 + i -6.784933e+08 ; 5.610477e+08 + i 9.956821e+08 ; -2.574996e+10 + i 4.598287e+10 ; -6.253983e+08 + i -1.265242e+09 ; 6.649648e+08 + i 7.239642e+09 ; -1.016365e+10 + i 1.351982e+09 ; 9.255809e+08 + i -1.381423e+09 ; -2.649864e+09 + i 6.603659e+08 ; -1.120989e+09 + i -2.853382e+10 ; 3.265524e+09 + i -9.762855e+08 ; 7.416082e+08 + i -4.242464e+08 ; 2.058687e+09 + i 2.375926e+09 ; -7.288229e+08 + i 4.273780e+08 ; 8.418728e+08 + i 4.949791e+08 ; 2.336495e+09 + i 1.098335e+10 ; -1.392495e+09 + i 5.372431e+08 ; 1.291810e+09 + i 2.328021e+09 ; -2.917990e+09 + i 6.557672e+09 ; -1.450068e+09 + i -2.661626e+09 ; -6.706544e+08 + i 1.071681e+09 ; -1.005154e+10 + i 1.432644e+09 ; -9.450144e+08 + i -8.328818e+09 ; -6.814773e+08 + i 1.552112e+08 ; 2.454383e+08 + i 2.400748e+09 ; -3.039105e+08 + i -1.513972e+08 ; -4.788701e+08 + i -3.401862e+08 ; 3.302109e+08 + i 7.139998e+08 ; -2.060134e+08 + i 2.054291e+07 ; -3.100202e+08 + i -2.359166e+09 ; -1.392896e+09 + i 1.403764e+09 ; 1.029614e+08 + i -2.163687e+08 ; 6.684106e+08 + i -8.925883e+08 ; 1.548532e+08 + i 1.056645e+09 ; -9.972388e+07 + i -8.333422e+07 ; -5.355675e+08 + i 2.058331e+08 ; 3.945455e+08 + i 1.581651e+09 ; -3.484507e+08 + i 1.362671e+08 ; -5.424746e+08 + i -2.052206e+08 ; 3.050541e+08 + i 6.647225e+08 ; -1.422536e+08 + i 9.607945e+07 ; -4.874292e+08 + i -1.265094e+09 ; -6.016352e+08 + i 1.737214e+09 ; -3.876056e+08 + i -7.725910e+08 ; 1.970837e+08 + i -8.195162e+08 ; 3.530064e+08 + i 9.150611e+08 ; -2.351294e+08 + i -7.001526e+07 ; 
1.315497e+09 + i -4.702614e+08 ; -9.342820e+08 + i -6.778957e+08 ; 2.264976e+09 + i 1.099352e+10 ; 5.576022e+08 + i 9.966823e+08 ; -6.253732e+08 + i -1.264604e+09 ; -2.575220e+10 + i 4.599410e+10 ; 7.404398e+08 + i -4.234085e+08 ; -7.293183e+08 + i 4.309341e+08 ; 2.086312e+09 + i 2.376289e+09 ; 8.392914e+08 + i 4.948956e+08 ; -1.394670e+09 + i 5.408034e+08 ; 2.353531e+09 + i 1.101804e+10 ; 6.652879e+08 + i 7.238348e+09 ; 9.241511e+08 + i -1.379811e+09 ; -1.015679e+10 + i 1.349915e+09 ; -2.651267e+09 + i 6.583730e+08 ; 3.263648e+09 + i -9.743689e+08 ; -1.110529e+09 + i -2.852377e+10 ; 1.294060e+09 + i 2.327137e+09 ; -1.450367e+09 + i -2.660615e+09 ; -2.911349e+09 + i 6.545666e+09 ; -6.712441e+08 + i 1.069663e+09 ; -9.453205e+08 + i -8.328866e+09 ; -1.005190e+10 + i 1.427011e+09 ; -6.815127e+08 + i 1.558964e+08 ; -3.041824e+08 + i -1.514979e+08 ; 2.443968e+08 + i 2.401519e+09 ; -4.781487e+08 + i -3.403809e+08 ; -2.061101e+08 + i 2.065719e+07 ; 3.302417e+08 + i 7.130915e+08 ; -5.356241e+08 + i 2.061398e+08 ; -3.485488e+08 + i 1.366851e+08 ; 3.962979e+08 + i 1.582074e+09 ; -5.420319e+08 + i -2.052709e+08 ; -1.420026e+08 + i 9.625442e+07 ; 3.045158e+08 + i 6.629593e+08 ; -3.097958e+08 + i -2.358488e+09 ; 1.024782e+08 + i -2.157604e+08 ; -1.391181e+09 + i 1.405834e+09 ; 6.690558e+08 + i -8.917538e+08 ; -9.990156e+07 + i -8.285984e+07 ; 1.562262e+08 + i 1.058001e+09 ; -4.882679e+08 + i -1.264176e+09 ; -3.874125e+08 + i -7.727793e+08 ; -6.049665e+08 + i 1.738482e+09 ; 1.970246e+08 + i -8.188181e+08 ; -2.349472e+08 + i -6.985790e+07 ; 3.517265e+08 + i 9.169402e+08 ; 
2.414354e+09 + i 1.103468e+10 ; 1.722201e+09 + i -4.488663e+08 ; -9.335403e+08 + i -6.820348e+08 ; -9.815966e+09 + i 1.283931e+09 ; 5.030417e+08 + i 7.089297e+09 ; 9.063711e+08 + i -1.365739e+09 ; -2.573653e+10 + i 4.604682e+10 ; 5.536976e+08 + i 1.331915e+09 ; -5.987411e+08 + i -1.272485e+09 ; -9.590724e+08 + i -2.857007e+10 ; -3.361889e+09 + i 7.764142e+08 ; 3.258782e+09 + i -9.415874e+08 ; 2.253124e+09 + i 2.428190e+09 ; 7.005283e+08 + i -4.129898e+08 ; -7.355546e+08 + i 4.257002e+08 ; -2.650423e+09 + i 6.403134e+09 ; 1.112866e+09 + i 2.304430e+09 ; -1.454591e+09 + i -2.649618e+09 ; 2.414122e+09 + i 1.103645e+10 ; 9.009442e+08 + i 6.680881e+08 ; -1.385858e+09 + i 5.147588e+08 ; -9.888039e+09 + i 1.283596e+09 ; -8.616135e+08 + i 1.233127e+09 ; -8.814861e+08 + i -8.324725e+09 ; -2.444283e+08 + i -2.013178e+09 ; 3.697187e+08 + i 4.592062e+08 ; -1.431518e+08 + i -2.520486e+08 ; 4.563577e+08 + i -1.269377e+09 ; 2.054411e+08 + i 9.635796e+07 ; -1.636999e+08 + i -6.033745e+07 ; 1.259168e+09 + i -2.017344e+09 ; 6.771904e+06 + i 2.812199e+08 ; -5.660296e+07 + i -3.084978e+08 ; 7.328972e+08 + i -7.057658e+08 ; 1.170367e+08 + i 9.281820e+07 ; -1.533233e+08 + i -8.860870e+07 ; -1.046211e+09 + i -1.508738e+09 ; 3.436250e+08 + i 3.203079e+08 ; -4.396260e+08 + i -3.407093e+08 ; -1.055434e+07 + i -1.581654e+09 ; 1.936575e+08 + i 7.086339e+07 ; -2.378651e+08 + i -6.176953e+07 ; -2.436647e+08 + i -2.002699e+09 ; 9.414080e+07 + i 2.355430e+08 ; -4.905973e+08 + i -5.065129e+08 ; 4.491888e+08 + i -1.264609e+09 ; 1.300937e+08 + i 6.833548e+07 ; -2.563295e+08 + i -8.986525e+07 ; 
-3.879628e+09 + i 9.712007e+08 ; -1.294463e+09 + i -2.861459e+10 ; -3.302474e+09 + i 9.595909e+08 ; 7.488238e+08 + i 8.339846e+09 ; -1.006870e+10 + i 1.335407e+09 ; -9.385919e+08 + i 1.374680e+09 ; 5.809507e+08 + i 1.336687e+09 ; -2.588643e+10 + i 4.596051e+10 ; 5.881109e+08 + i 1.288231e+09 ; 1.786794e+09 + i -5.604639e+08 ; 2.226783e+09 + i 1.092584e+10 ; 9.266287e+08 + i 6.853098e+08 ; -1.046502e+09 + i 1.435110e+09 ; -1.022358e+10 + i 1.334331e+09 ; 8.492598e+08 + i 8.357993e+09 ; 1.264388e+09 + i 2.636595e+09 ; -2.883866e+09 + i 6.518053e+09 ; 1.427409e+09 + i 2.668344e+09 ; 9.543828e+08 + i 7.059386e+08 ; 2.183568e+09 + i 1.095366e+10 ; 1.377702e+09 + i -5.033764e+08 ; 6.928539e+08 + i -4.965417e+08 ; 2.020678e+09 + i 2.382039e+09 ; 7.274166e+08 + i -4.238489e+08 ; -6.423424e+08 + i 8.538000e+08 ; 1.653451e+08 + i 1.068329e+09 ; 1.256234e+08 + i 3.822734e+07 ; -5.322707e+08 + i 2.193519e+08 ; 3.036451e+08 + i 3.658148e+08 ; 7.210772e+07 + i -2.548825e+07 ; -8.351555e+07 + i 2.941844e+08 ; 3.297675e+08 + i 7.271671e+08 ; 1.947437e+08 + i -1.200668e+07 ; -1.854142e+08 + i 2.161225e+08 ; 2.557908e+08 + i 3.517506e+08 ; 9.000834e+07 + i -4.990561e+07 ; -3.712704e+08 + i 7.387908e+08 ; 3.637089e+08 + i 9.189842e+08 ; 2.018239e+08 + i 1.007987e+08 ; -4.421336e+08 + i 3.059069e+08 ; 3.182262e+08 + i 3.144045e+08 ; 9.720380e+07 + i -1.409866e+07 ; -9.781963e+06 + i 2.521426e+08 ; 3.080794e+08 + i 6.756387e+08 ; 1.723644e+08 + i -8.088836e+07 ; -1.265380e+08 + i 2.500619e+08 ; 2.801028e+08 + i 3.356422e+08 ; 7.705648e+07 + i -6.238952e+07 ; 
-8.728042e+08 + i -6.813619e+08 ; 1.215112e+09 + i -4.002185e+08 ; 2.219885e+09 + i 1.099289e+10 ; -6.318929e+08 + i 4.275602e+08 ; 6.343716e+08 + i -3.522564e+08 ; 2.084582e+09 + i 2.374511e+09 ; -5.458176e+08 + i -1.266385e+09 ; 4.842541e+08 + i 1.147541e+09 ; -2.589491e+10 + i 4.596612e+10 ; -1.298261e+09 + i 5.269976e+08 ; 7.930452e+08 + i 6.410508e+08 ; 2.269915e+09 + i 1.099670e+10 ; 1.090471e+09 + i -1.332053e+09 ; 5.147606e+08 + i 7.312439e+09 ; -1.021841e+10 + i 1.348308e+09 ; -1.297934e+09 + i -2.624287e+09 ; 1.141809e+09 + i 2.317047e+09 ; -2.910227e+09 + i 6.542924e+09 ; 3.374009e+09 + i -9.390099e+08 ; -2.902205e+09 + i 7.698625e+08 ; -1.269855e+09 + i -2.862088e+10 ; -7.688147e+08 + i -8.394150e+09 ; -9.528455e+08 + i 1.167549e+09 ; -1.015178e+10 + i 1.349144e+09 ; 3.708463e+07 + i -2.409061e+08 ; 1.508327e+08 + i -6.127785e+07 ; 3.078434e+08 + i 6.762048e+08 ; 1.438569e+08 + i -2.353572e+08 ; 6.854240e+07 + i -4.934138e+07 ; 2.775639e+08 + i 3.334012e+08 ; 1.183064e+08 + i -2.625071e+08 ; 1.697646e+08 + i 5.734266e+05 ; 3.305170e+08 + i 7.261653e+08 ; 1.960158e+08 + i -1.933682e+08 ; 8.090009e+07 + i -3.811686e+07 ; 2.542661e+08 + i 3.474607e+08 ; 3.951788e+08 + i -7.400221e+08 ; 1.650053e+08 + i 9.428215e+07 ; 3.522681e+08 + i 9.219182e+08 ; 4.643706e+08 + i -2.953210e+08 ; 8.195198e+07 + i -7.695208e+06 ; 3.158714e+08 + i 3.202687e+08 ; 6.805625e+08 + i -8.421568e+08 ; 9.920981e+07 + i 3.920272e+07 ; 1.545229e+08 + i 1.061366e+09 ; 5.495852e+08 + i -1.995417e+08 ; 6.127134e+07 + i -1.795207e+07 ; 3.006067e+08 + i 3.696295e+08 ; 
-9.793222e+09 + i 1.264265e+09 ; -3.932564e+08 + i -7.210582e+09 ; -9.991387e+08 + i 1.337942e+09 ; 2.551853e+09 + i 1.063553e+10 ; -1.813329e+09 + i 5.327461e+08 ; 7.602545e+08 + i 6.467899e+08 ; -9.516500e+08 + i -2.855549e+10 ; 3.639022e+09 + i -9.136012e+08 ; -3.257943e+09 + i 8.768523e+08 ; -2.534806e+10 + i 4.571821e+10 ; -3.825460e+08 + i -1.063233e+09 ; 4.293973e+08 + i 1.194547e+09 ; -2.639696e+09 + i 6.382472e+09 ; -9.972950e+08 + i -2.337203e+09 ; 1.267267e+09 + i 2.637899e+09 ; 2.245743e+09 + i 2.054278e+09 ; -5.905518e+08 + i 4.343826e+08 ; 5.903453e+08 + i -3.518041e+08 ; -9.885687e+09 + i 1.276491e+09 ; 9.569767e+08 + i -1.317477e+09 ; 5.943258e+08 + i 8.087752e+09 ; 2.562291e+09 + i 1.064565e+10 ; -7.664817e+08 + i -6.227687e+08 ; 1.205742e+09 + i -4.264610e+08 ; -1.550739e+09 + i -2.009016e+09 ; 2.900402e+08 + i 2.236272e+09 ; 5.710876e+08 + i -5.693643e+08 ; -2.494484e+08 + i -2.012025e+09 ; 4.550547e+08 + i 4.169345e+08 ; -7.067973e+07 + i -4.484343e+08 ; -3.981151e+08 + i -5.174069e+09 ; -7.940185e+08 + i 3.972346e+08 ; 1.058484e+09 + i -4.773053e+08 ; 1.267695e+09 + i -2.017457e+09 ; -2.421155e+07 + i 4.673784e+08 ; 6.628224e+07 + i -5.503524e+08 ; -1.425707e+09 + i -7.522927e+08 ; 3.989184e+08 + i 1.206695e+09 ; -4.001860e+08 + i -1.341628e+09 ; -1.050815e+09 + i -1.508110e+09 ; 3.460901e+08 + i 2.855332e+08 ; -3.496045e+08 + i -3.397423e+08 ; -1.520808e+09 + i -2.017290e+09 ; -4.392910e+08 + i 4.813602e+08 ; -2.753092e+08 + i -2.467346e+09 ; -2.398855e+08 + i -2.000601e+09 ; 9.014159e+07 + i 3.825609e+08 ; -4.587922e+08 + i -4.779245e+08 ; 
-5.546556e+08 + i -7.203458e+09 ; -1.005436e+10 + i 1.324219e+09 ; -9.288833e+08 + i 1.302854e+09 ; 3.362878e+09 + i -8.111714e+08 ; -1.115814e+09 + i -2.849383e+10 ; -3.168508e+09 + i 8.474254e+08 ; -2.035794e+09 + i 6.121318e+08 ; 2.221519e+09 + i 1.091469e+10 ; 8.798384e+08 + i 6.799688e+08 ; -5.623631e+08 + i -9.931380e+08 ; -2.572896e+10 + i 4.598143e+10 ; 5.670861e+08 + i 1.236825e+09 ; -1.157090e+09 + i -2.306792e+09 ; -2.880849e+09 + i 6.507779e+09 ; 1.318713e+09 + i 2.601351e+09 ; 7.303715e+08 + i -1.195394e+09 ; -1.004482e+10 + i 1.412449e+09 ; 6.695774e+08 + i 8.036027e+09 ; -7.968103e+08 + i 5.277023e+08 ; 2.020940e+09 + i 2.385873e+09 ; 7.130056e+08 + i -3.899709e+08 ; -9.283306e+08 + i -5.402110e+08 ; 2.320157e+09 + i 1.098082e+10 ; 1.356188e+09 + i -4.774481e+08 ; 2.247707e+08 + i 2.354037e+09 ; -1.435305e+09 + i 1.417894e+09 ; -1.054187e+08 + i 2.060295e+08 ; -7.227527e+08 + i 8.759670e+08 ; 1.500909e+08 + i 1.064587e+09 ; 9.380543e+07 + i 8.335036e+07 ; 5.212568e+08 + i -1.244818e+08 ; 2.425523e+08 + i 2.405903e+09 ; 2.884148e+08 + i 1.551737e+08 ; 4.037320e+08 + i 2.998632e+08 ; 3.236401e+08 + i 7.221149e+08 ; 1.989122e+08 + i -1.369372e+07 ; 4.404142e+08 + i 1.273113e+09 ; -6.193086e+08 + i 1.754596e+09 ; 3.505686e+08 + i 7.541974e+08 ; -2.405991e+08 + i 8.245467e+08 ; 3.518293e+08 + i 9.212134e+08 ; 2.243868e+08 + i 7.414265e+07 ; 4.606449e+08 + i -1.769496e+08 ; 3.914224e+08 + i 1.585504e+09 ; 3.389639e+08 + i -1.206558e+08 ; 4.814417e+08 + i 2.017896e+08 ; 3.007463e+08 + i 6.741516e+08 ; 1.396131e+08 + i -8.815325e+07 ; 
