-1.844803e+10 + i 4.485644e+10 ; -1.299228e+09 + i -8.381104e+08 ; -1.295234e+09 + i -8.411555e+08 ; -6.060000e+09 + i -2.517056e+10 ; 2.756162e+09 + i -2.269171e+09 ; 2.761304e+09 + i -2.264138e+09 ; 3.407913e+09 + i 8.960600e+09 ; -1.179486e+09 + i 9.720243e+08 ; -1.260721e+09 + i -4.439672e+07 ; -8.333855e+09 + i 4.229917e+09 ; -3.036594e+09 + i -7.340368e+09 ; 1.496340e+08 + i -1.634928e+09 ; 3.408225e+09 + i 8.954170e+09 ; -1.265161e+09 + i -3.796863e+07 ; -1.184441e+09 + i 9.738371e+08 ; -8.331401e+09 + i 4.223950e+09 ; 1.343911e+08 + i -1.638241e+09 ; -3.038302e+09 + i -7.341178e+09 ; 1.980794e+09 + i 2.254885e+09 ; -6.451381e+08 + i 6.668359e+08 ; -6.501671e+08 + i 6.612891e+08 ; 1.599840e+08 + i 6.483202e+09 ; -2.056609e+09 + i -1.906683e+09 ; -2.058931e+09 + i -1.909996e+09 ; 6.935542e+08 + i -2.093851e+09 ; -2.161903e+08 + i -2.298114e+08 ; -2.152088e+08 + i -2.285839e+08 ; 5.047310e+08 + i -7.627404e+08 ; -1.823858e+08 + i 2.600679e+07 ; -1.817468e+08 + i 2.577745e+07 ; -8.688987e+08 + i -1.677719e+09 ; -6.001706e+08 + i -2.649619e+08 ; -2.681316e+08 + i -1.255506e+08 ; -7.491565e+07 + i -1.305359e+09 ; -2.564187e+08 + i 4.154224e+07 ; -1.737596e+08 + i 5.803119e+07 ; -8.686840e+08 + i -1.679393e+09 ; -2.705512e+08 + i -1.254389e+08 ; -6.007344e+08 + i -2.641663e+08 ; -7.329885e+07 + i -1.305799e+09 ; -1.745002e+08 + i 5.896138e+07 ; -2.564396e+08 + i 4.229634e+07 ; -1.516526e+09 + i -9.341998e+08 ; -5.077421e+08 + i -1.269069e+08 ; -5.083887e+08 + i -1.261970e+08 ; -7.688046e+08 + i -1.428807e+09 ; -2.311931e+08 + i 6.474298e+07 ; -2.316281e+08 + i 6.499637e+07 ; 
-1.214324e+09 + i -8.646001e+08 ; -1.865142e+10 + i 4.488810e+10 ; -1.290537e+09 + i -8.627822e+08 ; -1.077573e+09 + i 9.157665e+08 ; 3.280970e+09 + i 9.019413e+09 ; -1.256310e+09 + i -5.114107e+07 ; 2.867811e+09 + i -2.277847e+09 ; -6.336108e+09 + i -2.504745e+10 ; 2.789697e+09 + i -2.303406e+09 ; -2.868017e+09 + i -7.405417e+09 ; -8.532466e+09 + i 4.408398e+09 ; 1.802091e+08 + i -1.664047e+09 ; -1.179557e+09 + i -7.212343e+07 ; 3.188435e+09 + i 9.005981e+09 ; -1.183366e+09 + i 9.534520e+08 ; -5.466510e+08 + i 5.984271e+08 ; 1.806112e+09 + i 2.321167e+09 ; -6.459786e+08 + i 6.539812e+08 ; 2.495169e+08 + i -1.658721e+09 ; -8.583881e+09 + i 4.437170e+09 ; -3.021139e+09 + i -7.393802e+09 ; -1.897662e+09 + i -1.985661e+09 ; -3.028627e+06 + i 6.739093e+09 ; -2.039175e+09 + i -1.948628e+09 ; -4.023277e+07 + i -3.320743e+08 ; 5.231988e+08 + i 5.824458e+08 ; -1.669695e+08 + i 1.293927e+08 ; 6.206440e+07 + i -3.113690e+08 ; 3.680735e+08 + i 1.886017e+08 ; -4.495254e+07 + i 1.020830e+08 ; 3.909359e+08 + i -1.067554e+09 ; 5.085247e+08 + i 8.554369e+08 ; -1.296315e+08 + i 4.813257e+07 ; 4.823920e+08 + i -4.362003e+08 ; 4.004153e+08 + i 1.788224e+08 ; -4.197032e+07 + i 6.984728e+07 ; -1.106174e+08 + i -2.835394e+08 ; 5.438455e+08 + i 5.392054e+08 ; -1.299352e+08 + i 1.733416e+08 ; -1.675317e+07 + i -3.244048e+08 ; 3.943799e+08 + i 1.545280e+08 ; -3.215888e+07 + i 1.083819e+08 ; 1.257358e+08 + i -8.747137e+08 ; 6.479665e+08 + i 6.508472e+08 ; -2.076434e+08 + i 8.542574e+06 ; 3.330287e+08 + i -5.096164e+08 ; 3.994126e+08 + i 1.297951e+08 ; -6.598971e+07 + i 6.837558e+07 ; 
-1.211944e+09 + i -8.685423e+08 ; -1.289567e+09 + i -8.623195e+08 ; -1.864328e+10 + i 4.490039e+10 ; -1.078863e+09 + i 9.156162e+08 ; -1.255067e+09 + i -5.108296e+07 ; 3.294404e+09 + i 9.001860e+09 ; -1.176311e+09 + i -7.605329e+07 ; -1.181936e+09 + i 9.593719e+08 ; 3.238515e+09 + i 9.021677e+09 ; -5.480183e+08 + i 5.931359e+08 ; -6.420537e+08 + i 6.569622e+08 ; 1.827694e+09 + i 2.295584e+09 ; 2.872362e+09 + i -2.278461e+09 ; 2.790320e+09 + i -2.299620e+09 ; -6.318096e+09 + i -2.504099e+10 ; -2.866266e+09 + i -7.405901e+09 ; 1.807081e+08 + i -1.660765e+09 ; -8.528678e+09 + i 4.404686e+09 ; 2.555410e+08 + i -1.654648e+09 ; -3.021585e+09 + i -7.393908e+09 ; -8.592361e+09 + i 4.433145e+09 ; -1.898490e+09 + i -1.981707e+09 ; -2.038119e+09 + i -1.946977e+09 ; -9.927468e+06 + i 6.726394e+09 ; -4.094098e+07 + i -3.311038e+08 ; -1.670520e+08 + i 1.297393e+08 ; 5.255474e+08 + i 5.804567e+08 ; 6.182296e+07 + i -3.114400e+08 ; -4.482217e+07 + i 1.022659e+08 ; 3.677103e+08 + i 1.878424e+08 ; -1.113669e+08 + i -2.831064e+08 ; -1.297274e+08 + i 1.733098e+08 ; 5.437508e+08 + i 5.378406e+08 ; -1.721390e+07 + i -3.246221e+08 ; -3.216830e+07 + i 1.081694e+08 ; 3.934904e+08 + i 1.546605e+08 ; 3.912748e+08 + i -1.066671e+09 ; -1.293315e+08 + i 4.878306e+07 ; 5.123869e+08 + i 8.555118e+08 ; 4.826009e+08 + i -4.353756e+08 ; -4.157696e+07 + i 7.010934e+07 ; 4.025513e+08 + i 1.772257e+08 ; 1.241242e+08 + i -8.738983e+08 ; -2.075830e+08 + i 8.338993e+06 ; 6.497149e+08 + i 6.524309e+08 ; 3.325265e+08 + i -5.095640e+08 ; -6.581967e+07 + i 6.810994e+07 ; 4.013513e+08 + i 1.299876e+08 ; 
-6.064316e+09 + i -2.517760e+10 ; -2.753048e+09 + i 2.134888e+09 ; -2.756472e+09 + i 2.129342e+09 ; -1.824052e+10 + i 4.450578e+10 ; 1.057889e+09 + i 8.669047e+08 ; 1.054694e+09 + i 8.702162e+08 ; -8.336414e+09 + i 4.226011e+09 ; 2.540995e+09 + i 7.137611e+09 ; -2.637572e+08 + i 1.636867e+09 ; 3.393381e+09 + i 8.604101e+09 ; 1.032411e+09 + i -7.738478e+08 ; 1.056632e+09 + i 1.319573e+08 ; -8.335123e+09 + i 4.220809e+09 ; -2.480249e+08 + i 1.640838e+09 ; 2.542822e+09 + i 7.138473e+09 ; 3.391314e+09 + i 8.596660e+09 ; 1.061205e+09 + i 1.259651e+08 ; 1.036697e+09 + i -7.753621e+08 ; 1.605171e+08 + i 6.479432e+09 ; 1.825113e+09 + i 1.977160e+09 ; 1.826786e+09 + i 1.980930e+09 ; 1.820935e+09 + i 1.951333e+09 ; 5.279423e+08 + i -5.074393e+08 ; 5.327057e+08 + i -5.021647e+08 ; -1.246000e+09 + i -4.400273e+09 ; 7.806393e+08 + i -8.839507e+08 ; 7.811376e+08 + i -8.818923e+08 ; 6.980340e+08 + i -2.112400e+09 ; -2.355135e+08 + i -5.091322e+08 ; -2.342599e+08 + i -5.093335e+08 ; -1.840354e+09 + i -1.377602e+09 ; -8.714170e+08 + i -2.170945e+09 ; 2.466499e+08 + i -7.641749e+08 ; -8.731460e+08 + i -1.691976e+09 ; -5.762859e+08 + i -2.976859e+08 ; -3.081709e+08 + i -3.380362e+08 ; -1.839551e+09 + i -1.376356e+09 ; 2.421788e+08 + i -7.650344e+08 ; -8.728689e+08 + i -2.171909e+09 ; -8.724547e+08 + i -1.690965e+09 ; -3.107928e+08 + i -3.365095e+08 ; -5.783049e+08 + i -2.975602e+08 ; -1.601979e+09 + i -2.888650e+08 ; -7.126035e+08 + i -1.112374e+09 ; -7.135287e+08 + i -1.114227e+09 ; -1.518953e+09 + i -9.443905e+08 ; -4.525307e+08 + i -2.069423e+08 ; -4.542105e+08 + i -2.090051e+08 ; 
1.108185e+09 + i -7.499930e+08 ; 3.279825e+09 + i 9.026732e+09 ; -1.184892e+09 + i -9.563775e+07 ; 9.504412e+08 + i 6.713726e+08 ; -1.849007e+10 + i 4.488499e+10 ; -1.199045e+09 + i -8.302879e+08 ; 1.703075e+09 + i 6.158059e+09 ; -8.528407e+09 + i 4.402769e+09 ; 2.282205e+08 + i -1.560266e+09 ; -2.296527e+09 + i 1.373434e+09 ; -6.120616e+09 + i -2.502164e+10 ; 2.697842e+09 + i -2.040487e+09 ; 6.293094e+08 + i -5.733712e+08 ; 1.811281e+09 + i 2.325578e+09 ; -6.379477e+08 + i 5.934157e+08 ; 9.909635e+08 + i 4.218786e+07 ; 3.359350e+09 + i 8.989362e+09 ; -1.159079e+09 + i 8.867342e+08 ; 1.507110e+09 + i 1.708908e+09 ; -3.361096e+06 + i 6.744017e+09 ; -1.853416e+09 + i -1.916905e+09 ; -2.006428e+08 + i 1.161159e+09 ; -8.384384e+09 + i 4.434931e+09 ; -2.579323e+09 + i -7.048822e+09 ; -5.973703e+08 + i 3.645275e+08 ; 6.090571e+08 + i 2.060770e+09 ; -3.499121e+08 + i 1.896559e+07 ; -6.059354e+08 + i -1.020491e+08 ; 5.158225e+08 + i 5.685172e+08 ; -1.671853e+08 + i 1.325170e+08 ; -6.712528e+08 + i -1.978926e+09 ; -8.441723e+08 + i 1.645018e+09 ; 7.134447e+06 + i -2.070923e+08 ; 4.307598e+08 + i -9.843544e+08 ; 5.079658e+08 + i 8.516031e+08 ; -1.213127e+08 + i -1.303507e+07 ; -4.413619e+08 + i 3.790783e+08 ; 6.634314e+08 + i 1.373220e+09 ; -2.857563e+08 + i 2.548747e+08 ; -6.041701e+08 + i 7.560245e+07 ; 5.300420e+08 + i 5.297646e+08 ; -9.955931e+07 + i 1.584725e+08 ; -6.447680e+08 + i -9.554630e+08 ; 4.101315e+07 + i 1.712363e+09 ; -5.102392e+08 + i -5.415853e+08 ; -3.825758e+07 + i -7.672346e+08 ; 6.437573e+08 + i 6.461725e+08 ; -2.123965e+08 + i 3.349252e+07 ; 
1.108403e+09 + i -7.504841e+08 ; -1.183981e+09 + i -9.540875e+07 ; 3.295448e+09 + i 9.011547e+09 ; 9.488328e+08 + i 6.758893e+08 ; -1.198226e+09 + i -8.298093e+08 ; -1.847933e+10 + i 4.489556e+10 ; 6.290182e+08 + i -5.717109e+08 ; -6.343788e+08 + i 5.963007e+08 ; 1.831633e+09 + i 2.299532e+09 ; 9.884323e+08 + i 4.481553e+07 ; -1.157080e+09 + i 8.915506e+08 ; 3.404403e+09 + i 9.004173e+09 ; 1.701542e+09 + i 6.156628e+09 ; 2.286138e+08 + i -1.557089e+09 ; -8.526416e+09 + i 4.397456e+09 ; -2.300008e+09 + i 1.373744e+09 ; 2.698346e+09 + i -2.036867e+09 ; -6.103981e+09 + i -2.502133e+10 ; 1.508133e+09 + i 1.705217e+09 ; -1.852168e+09 + i -1.915649e+09 ; -1.001544e+07 + i 6.728766e+09 ; -2.030815e+08 + i 1.159970e+09 ; -2.579386e+09 + i -7.048619e+09 ; -8.391346e+09 + i 4.431203e+09 ; -5.966567e+08 + i 3.652329e+08 ; -3.502106e+08 + i 1.924960e+07 ; 6.088889e+08 + i 2.062316e+09 ; -6.056235e+08 + i -1.029804e+08 ; -1.670961e+08 + i 1.327542e+08 ; 5.147836e+08 + i 5.679189e+08 ; -4.410070e+08 + i 3.794773e+08 ; -2.855115e+08 + i 2.552440e+08 ; 6.647582e+08 + i 1.372309e+09 ; -6.037007e+08 + i 7.510745e+07 ; -9.927688e+07 + i 1.582883e+08 ; 5.278949e+08 + i 5.293515e+08 ; -6.702122e+08 + i -1.978713e+09 ; 7.444311e+06 + i -2.060836e+08 ; -8.408251e+08 + i 1.645627e+09 ; 4.322926e+08 + i -9.846312e+08 ; -1.208996e+08 + i -1.245069e+07 ; 5.108574e+08 + i 8.513583e+08 ; -6.445182e+08 + i -9.535632e+08 ; -5.103257e+08 + i -5.420486e+08 ; 3.992196e+07 + i 1.717100e+09 ; -3.763183e+07 + i -7.665579e+08 ; -2.120756e+08 + i 3.331178e+07 ; 6.453818e+08 + i 6.491193e+08 ; 
3.434275e+09 + i 8.972507e+09 ; 1.484616e+09 + i -1.051680e+09 ; -1.191480e+09 + i -9.904618e+07 ; -8.248693e+09 + i 4.152106e+09 ; 1.445673e+09 + i 6.107940e+09 ; 2.197625e+08 + i -1.539809e+09 ; -1.847135e+10 + i 4.491883e+10 ; 1.197353e+09 + i 9.442127e+08 ; -1.185001e+09 + i -8.567508e+08 ; -5.989786e+09 + i -2.512833e+10 ; -2.884818e+09 + i 1.918781e+09 ; 2.717560e+09 + i -2.012846e+09 ; 2.020750e+09 + i 2.250515e+09 ; 5.982941e+08 + i -5.501050e+08 ; -6.458510e+08 + i 5.973841e+08 ; 1.525413e+08 + i 6.455280e+09 ; 1.347501e+09 + i 1.804796e+09 ; -1.861316e+09 + i -1.904355e+09 ; 3.444487e+09 + i 8.959943e+09 ; 1.139848e+09 + i 1.126203e+08 ; -1.164945e+09 + i 8.655345e+08 ; -8.320712e+09 + i 4.202842e+09 ; -2.876527e+08 + i 1.379954e+09 ; -2.536339e+09 + i -7.087894e+09 ; -8.825676e+08 + i -1.690147e+09 ; 4.240086e+08 + i 3.253841e+08 ; -2.470213e+08 + i -1.310158e+08 ; -7.464542e+07 + i -1.313955e+09 ; 2.109194e+08 + i 1.778253e+07 ; -1.669623e+08 + i 4.696067e+07 ; 6.896824e+08 + i -2.095841e+09 ; 1.277090e+08 + i 2.473630e+08 ; -1.932363e+08 + i -2.255160e+08 ; 4.988977e+08 + i -7.624757e+08 ; 1.501075e+08 + i 2.226653e+07 ; -1.728606e+08 + i 1.602125e+07 ; -1.525895e+09 + i -9.361997e+08 ; 3.838522e+08 + i 1.948969e+08 ; -4.753122e+08 + i -1.422639e+08 ; -7.735396e+08 + i -1.435187e+09 ; 1.958718e+08 + i -7.545103e+06 ; -2.221177e+08 + i 5.114208e+07 ; -8.731674e+08 + i -1.679612e+09 ; 1.928035e+08 + i 1.634337e+08 ; -5.562354e+08 + i -2.778492e+08 ; -7.510750e+07 + i -1.302398e+09 ; 1.505962e+08 + i -8.049697e+06 ; -2.444154e+08 + i 2.795060e+07 ; 
-3.238999e+09 + i 2.478611e+09 ; -6.312950e+09 + i -2.502956e+10 ; -2.744091e+09 + i 2.056227e+09 ; 2.440856e+09 + i 7.144000e+09 ; -8.460272e+09 + i 4.313999e+09 ; -2.435005e+08 + i 1.568459e+09 ; 1.213495e+09 + i 9.143913e+08 ; -1.864506e+10 + i 4.490313e+10 ; 1.185417e+09 + i 8.790351e+08 ; 1.489725e+09 + i -1.207550e+09 ; 3.198819e+09 + i 8.988501e+09 ; 1.187877e+09 + i 1.076416e+08 ; -2.786416e+08 + i 1.678480e+09 ; -8.605912e+09 + i 4.413089e+09 ; 2.523773e+09 + i 7.133572e+09 ; 1.675718e+09 + i 2.004614e+09 ; -9.884997e+06 + i 6.678011e+09 ; 1.842881e+09 + i 1.934466e+09 ; 1.220214e+09 + i 7.378002e+07 ; 3.182103e+09 + i 9.029166e+09 ; 1.164197e+09 + i -8.505609e+08 ; 5.442223e+08 + i -6.365687e+08 ; 1.786139e+09 + i 2.367807e+09 ; 6.404379e+08 + i -5.909642e+08 ; -3.692606e+08 + i 9.800640e+08 ; 5.278502e+08 + i 8.543478e+08 ; 1.255226e+08 + i -3.952253e+07 ; -4.412822e+08 + i 3.971899e+08 ; 4.008848e+08 + i 1.721716e+08 ; 4.316588e+07 + i -6.441763e+07 ; 8.300331e+07 + i 3.184274e+08 ; 5.293671e+08 + i 5.822414e+08 ; 1.647646e+08 + i -1.148982e+08 ; -4.185416e+07 + i 3.051492e+08 ; 3.743655e+08 + i 1.885020e+08 ; 4.747392e+07 + i -9.470281e+07 ; -1.303473e+08 + i 8.051220e+08 ; 6.575383e+08 + i 6.410168e+08 ; 1.972666e+08 + i 1.167514e+06 ; -3.073638e+08 + i 4.601090e+08 ; 3.975700e+08 + i 1.235781e+08 ; 6.572433e+07 + i -6.202412e+07 ; 1.293511e+08 + i 2.586631e+08 ; 5.449620e+08 + i 5.364362e+08 ; 1.314135e+08 + i -1.580472e+08 ; 3.291972e+07 + i 3.056735e+08 ; 3.986003e+08 + i 1.528113e+08 ; 3.565214e+07 + i -1.012109e+08 ; 
-1.131315e+09 + i -1.285351e+08 ; 1.060607e+09 + i -6.431868e+08 ; 3.249068e+09 + i 9.033509e+09 ; -5.401301e+08 + i 5.314529e+08 ; 5.776928e+08 + i -4.472484e+08 ; 1.828615e+09 + i 2.300203e+09 ; -1.133548e+09 + i -8.729091e+08 ; 9.655655e+08 + i 8.393059e+08 ; -1.864406e+10 + i 4.491846e+10 ; -1.068775e+09 + i 8.296787e+08 ; 1.028727e+09 + i 1.923930e+08 ; 3.307503e+09 + i 9.003556e+09 ; 4.049597e+08 + i -1.622052e+09 ; 1.645846e+09 + i 6.287420e+09 ; -8.587707e+09 + i 4.425103e+09 ; -1.683978e+09 + i -1.953923e+09 ; 1.359854e+09 + i 1.766566e+09 ; -1.290222e+07 + i 6.724700e+09 ; 2.806940e+09 + i -2.085875e+09 ; -2.471054e+09 + i 1.578438e+09 ; -6.304998e+09 + i -2.504621e+10 ; -2.490199e+09 + i -7.187228e+09 ; -4.155686e+08 + i 1.392757e+09 ; -8.524186e+09 + i 4.392375e+09 ; -9.508070e+07 + i -2.726115e+08 ; 1.275959e+08 + i -1.199714e+08 ; 5.455848e+08 + i 5.368816e+08 ; -4.388727e+06 + i -3.098364e+08 ; 4.105037e+07 + i -8.121470e+07 ; 3.943458e+08 + i 1.537403e+08 ; -2.363582e+07 + i -3.181842e+08 ; 1.550218e+08 + i -8.112631e+07 ; 5.284839e+08 + i 5.796864e+08 ; 7.292329e+07 + i -2.934728e+08 ; 5.164304e+07 + i -7.655656e+07 ; 3.679907e+08 + i 1.868920e+08 ; 1.496343e+08 + i -8.281394e+08 ; 1.626618e+08 + i 2.331091e+07 ; 6.518912e+08 + i 6.520549e+08 ; 3.363866e+08 + i -4.749054e+08 ; 6.030459e+07 + i -4.381957e+07 ; 4.024227e+08 + i 1.290100e+08 ; 4.137847e+08 + i -1.004763e+09 ; 1.045612e+08 + i -1.514612e+07 ; 5.132043e+08 + i 8.555776e+08 ; 4.774411e+08 + i -3.966463e+08 ; 4.198400e+07 + i -4.847291e+07 ; 4.026833e+08 + i 1.768855e+08 ; 
-8.232653e+09 + i 4.129233e+09 ; -1.540595e+09 + i -6.221206e+09 ; -3.300124e+08 + i 1.571142e+09 ; 3.381837e+09 + i 8.596345e+09 ; -1.542592e+09 + i 1.196656e+09 ; 1.018163e+09 + i 1.733042e+08 ; -5.972394e+09 + i -2.512134e+10 ; 3.084315e+09 + i -2.193365e+09 ; -2.760614e+09 + i 1.936853e+09 ; -1.825132e+10 + i 4.450075e+10 ; -8.219973e+08 + i -8.017744e+08 ; 9.801546e+08 + i 8.883415e+08 ; 1.523744e+08 + i 6.423803e+09 ; -1.268400e+09 + i -1.869890e+09 ; 1.681933e+09 + i 1.999581e+09 ; 1.847784e+09 + i 1.955603e+09 ; -4.559704e+08 + i 5.303708e+08 ; 5.391815e+08 + i -4.629375e+08 ; -8.322770e+09 + i 4.191661e+09 ; 3.064740e+08 + i -1.507187e+09 ; 2.145380e+09 + i 7.021067e+09 ; 3.403962e+09 + i 8.591744e+09 ; -9.966713e+08 + i -1.445332e+08 ; 1.035605e+09 + i -7.032764e+08 ; -1.866608e+09 + i -1.344826e+09 ; 6.671570e+08 + i 1.870818e+09 ; 2.728164e+08 + i -7.283641e+08 ; -8.900417e+08 + i -1.687074e+09 ; 4.968181e+08 + i 2.367564e+08 ; -2.838446e+08 + i -3.405250e+08 ; -1.250860e+09 + i -4.399305e+09 ; -5.785005e+08 + i 5.605119e+08 ; 7.941110e+08 + i -8.184753e+08 ; 6.961372e+08 + i -2.102972e+09 ; 1.807797e+08 + i 3.908740e+08 ; -2.037189e+08 + i -5.028409e+08 ; -1.609554e+09 + i -2.632967e+08 ; 5.736562e+08 + i 9.503373e+08 ; -6.425481e+08 + i -1.110095e+09 ; -1.532574e+09 + i -9.346918e+08 ; 3.798627e+08 + i 1.579296e+08 ; -4.313149e+08 + i -2.220598e+08 ; -1.838910e+09 + i -1.369288e+09 ; -2.045642e+08 + i 5.493746e+08 ; -7.488934e+08 + i -2.140441e+09 ; -8.679931e+08 + i -1.682164e+09 ; 2.495246e+08 + i 2.628649e+08 ; -5.459183e+08 + i -3.136911e+08 ; 
-1.685045e+09 + i -6.148736e+09 ; -8.439897e+09 + i 4.312141e+09 ; -2.867441e+08 + i 1.500733e+09 ; 2.870588e+09 + i -2.003604e+09 ; -6.079524e+09 + i -2.499021e+10 ; -2.697887e+09 + i 1.860946e+09 ; -1.714948e+09 + i 1.358143e+09 ; 3.185062e+09 + i 8.980115e+09 ; 1.144264e+09 + i 1.459741e+08 ; -9.570644e+08 + i -6.581702e+08 ; -1.847069e+10 + i 4.486169e+10 ; 1.127898e+09 + i 8.585776e+08 ; -1.400614e+09 + i -1.770289e+09 ; -5.445450e+06 + i 6.667516e+09 ; 1.711789e+09 + i 1.934661e+09 ; 1.509676e+08 + i -1.309894e+09 ; -8.396378e+09 + i 4.405213e+09 ; 2.190966e+09 + i 6.932501e+09 ; -6.058263e+08 + i 7.056928e+08 ; 1.790730e+09 + i 2.373962e+09 ; 6.436641e+08 + i -5.465929e+08 ; -1.105850e+09 + i 7.580626e+06 ; 3.342994e+09 + i 9.005903e+09 ; 1.161051e+09 + i -8.108785e+08 ; 6.145348e+08 + i 2.022194e+09 ; -8.762393e+08 + i 1.687171e+09 ; -1.535578e+07 + i 2.011526e+08 ; -4.786365e+08 + i 1.017570e+09 ; 5.087429e+08 + i 8.614448e+08 ; 1.174500e+08 + i 1.791037e+07 ; 4.522262e+08 + i -2.336847e+08 ; 6.115894e+08 + i 2.069953e+09 ; 3.408877e+08 + i -2.432649e+06 ; 4.976340e+08 + i 1.127473e+08 ; 5.198055e+08 + i 5.829301e+08 ; 1.680648e+08 + i -1.208841e+08 ; 6.212652e+08 + i 9.880917e+08 ; 3.704334e+07 + i 1.740281e+09 ; 4.705906e+08 + i 5.462036e+08 ; 1.686343e+07 + i 8.057593e+08 ; 6.465757e+08 + i 6.516370e+08 ; 2.073630e+08 + i -2.358365e+07 ; 3.802574e+08 + i -3.033503e+08 ; 6.655478e+08 + i 1.380669e+09 ; 2.881184e+08 + i -2.339715e+08 ; 5.411017e+08 + i -3.773843e+07 ; 5.376332e+08 + i 5.420054e+08 ; 1.035529e+08 + i -1.490408e+08 ; 
