-1.263456e+10 + i 4.165892e+10 ; -1.427706e+09 + i -9.092104e+07 ; -1.428173e+09 + i -9.661592e+07 ; -9.179905e+09 + i -2.050841e+10 ; 1.600080e+09 + i -2.824338e+09 ; 1.607258e+09 + i -2.826315e+09 ; 3.643361e+09 + i 7.160368e+09 ; -7.775269e+08 + i 1.187023e+09 ; -1.012212e+09 + i 5.701879e+08 ; -5.846270e+09 + i 5.802512e+09 ; -3.940049e+09 + i -5.378169e+09 ; -4.847533e+08 + i -1.314011e+09 ; 3.637524e+09 + i 7.156130e+09 ; -1.009824e+09 + i 5.779223e+08 ; -7.784389e+08 + i 1.193013e+09 ; -5.849680e+09 + i 5.795998e+09 ; -4.976148e+08 + i -1.304715e+09 ; -3.941647e+09 + i -5.377046e+09 ; 2.254410e+09 + i 2.192358e+09 ; -4.172831e+08 + i 8.483840e+08 ; -4.252407e+08 + i 8.492832e+08 ; 2.241541e+09 + i 5.213766e+09 ; -2.047029e+09 + i -1.046355e+09 ; -2.051430e+09 + i -1.046024e+09 ; 2.431838e+08 + i -1.918232e+09 ; -2.541457e+08 + i -7.886836e+07 ; -2.525748e+08 + i -7.911089e+07 ; 3.534469e+08 + i -7.072618e+08 ; -1.139202e+08 + i 1.085747e+08 ; -1.138574e+08 + i 1.078257e+08 ; -1.189383e+09 + i -1.111519e+09 ; -5.257972e+08 + i -3.771694e+07 ; -2.506785e+08 + i 3.017735e+07 ; -4.825547e+08 + i -1.042129e+09 ; -1.642031e+08 + i 1.258555e+08 ; -9.194807e+07 + i 1.299023e+08 ; -1.190891e+09 + i -1.113287e+09 ; -2.521559e+08 + i 3.206765e+07 ; -5.251748e+08 + i -3.688366e+07 ; -4.821950e+08 + i -1.044213e+09 ; -9.160927e+07 + i 1.310242e+08 ; -1.634339e+08 + i 1.260828e+08 ; -1.600876e+09 + i -2.237929e+08 ; -4.179140e+08 + i 6.004176e+07 ; -4.174719e+08 + i 6.110386e+07 ; -1.248846e+09 + i -8.378876e+08 ; -1.344603e+08 + i 1.407452e+08 ; -1.343100e+08 + i 1.412562e+08 ; 
-1.373997e+09 + i -1.606944e+08 ; -1.276116e+10 + i 4.176372e+10 ; -1.436930e+09 + i -1.159249e+08 ; -7.232815e+08 + i 1.085476e+09 ; 3.581848e+09 + i 7.241762e+09 ; -1.011363e+09 + i 5.641767e+08 ; 1.683286e+09 + i -2.884314e+09 ; -9.355398e+09 + i -2.032625e+10 ; 1.607287e+09 + i -2.871237e+09 ; -3.831020e+09 + i -5.503445e+09 ; -5.933510e+09 + i 6.023731e+09 ; -4.764055e+08 + i -1.354001e+09 ; -9.595434e+08 + i 5.001388e+08 ; 3.482775e+09 + i 7.294303e+09 ; -7.901741e+08 + i 1.176879e+09 ; -3.748886e+08 + i 7.344690e+08 ; 2.141573e+09 + i 2.334392e+09 ; -4.262166e+08 + i 8.428955e+08 ; -4.165270e+08 + i -1.379086e+09 ; -5.964003e+09 + i 6.069063e+09 ; -3.954276e+09 + i -5.427395e+09 ; -1.952705e+09 + i -1.185448e+09 ; 2.234407e+09 + i 5.504599e+09 ; -2.054702e+09 + i -1.087977e+09 ; -2.018364e+08 + i -2.581363e+08 ; 6.167095e+08 + i 3.390805e+08 ; -6.460498e+07 + i 1.765136e+08 ; -1.144252e+08 + i -2.821970e+08 ; 3.451499e+08 + i -6.586571e+06 ; 2.112075e+07 + i 9.508985e+07 ; 4.643104e+07 + i -1.032111e+09 ; 6.709195e+08 + i 5.163604e+08 ; -6.853489e+07 + i 9.652252e+07 ; 2.794122e+08 + i -5.421896e+08 ; 3.585817e+08 + i -2.656323e+07 ; 8.571381e+06 + i 6.816491e+07 ; -2.559970e+08 + i -1.925268e+08 ; 6.573677e+08 + i 2.579595e+08 ; -2.964474e+07 + i 2.002051e+08 ; -1.943139e+08 + i -2.575475e+08 ; 3.551693e+08 + i -5.694056e+07 ; 3.219319e+07 + i 9.676402e+07 ; -1.559376e+08 + i -7.870760e+08 ; 7.348368e+08 + i 2.883486e+08 ; -1.364852e+08 + i 7.692151e+07 ; 9.620949e+07 + i -5.573638e+08 ; 3.463446e+08 + i -7.078335e+07 ; -8.059004e+06 + i 7.209935e+07 ; 
-1.375638e+09 + i -1.651611e+08 ; -1.435877e+09 + i -1.168439e+08 ; -1.274731e+10 + i 4.176446e+10 ; -7.245084e+08 + i 1.086467e+09 ; -1.010483e+09 + i 5.629975e+08 ; 3.573415e+09 + i 7.218806e+09 ; -9.609908e+08 + i 4.943234e+08 ; -7.841382e+08 + i 1.179592e+09 ; 3.530396e+09 + i 7.266595e+09 ; -3.808229e+08 + i 7.317027e+08 ; -4.214977e+08 + i 8.410699e+08 ; 2.136078e+09 + i 2.300667e+09 ; 1.685331e+09 + i -2.889441e+09 ; 1.611216e+09 + i -2.869314e+09 ; -9.334704e+09 + i -2.033345e+10 ; -3.830564e+09 + i -5.506003e+09 ; -4.726521e+08 + i -1.351992e+09 ; -5.930074e+09 + i 6.020183e+09 ; -4.080657e+08 + i -1.381369e+09 ; -3.954796e+09 + i -5.427161e+09 ; -5.973954e+09 + i 6.076175e+09 ; -1.948919e+09 + i -1.181908e+09 ; -2.052423e+09 + i -1.088373e+09 ; 2.220139e+09 + i 5.505107e+09 ; -2.015548e+08 + i -2.568315e+08 ; -6.426283e+07 + i 1.767749e+08 ; 6.163674e+08 + i 3.355970e+08 ; -1.147336e+08 + i -2.821174e+08 ; 2.139321e+07 + i 9.500584e+07 ; 3.442786e+08 + i -6.823212e+06 ; -2.562117e+08 + i -1.915033e+08 ; -2.955324e+07 + i 2.001196e+08 ; 6.565965e+08 + i 2.572493e+08 ; -1.948206e+08 + i -2.572838e+08 ; 3.201989e+07 + i 9.672911e+07 ; 3.548922e+08 + i -5.628875e+07 ; 4.767311e+07 + i -1.031995e+09 ; -6.772630e+07 + i 9.660499e+07 ; 6.735184e+08 + i 5.123955e+08 ; 2.804737e+08 + i -5.420122e+08 ; 9.026570e+06 + i 6.788444e+07 ; 3.579434e+08 + i -2.958113e+07 ; -1.563537e+08 + i -7.849124e+08 ; -1.367279e+08 + i 7.680125e+07 ; 7.373645e+08 + i 2.874081e+08 ; 9.581194e+07 + i -5.568305e+08 ; -8.293281e+06 + i 7.184542e+07 ; 3.473541e+08 + i -7.279875e+07 ; 
-9.195030e+09 + i -2.052003e+10 ; -1.706014e+09 + i 2.704061e+09 ; -1.712416e+09 + i 2.703613e+09 ; -1.253933e+10 + i 4.133484e+10 ; 1.259633e+09 + i 2.584644e+08 ; 1.260748e+09 + i 2.633183e+08 ; -5.854361e+09 + i 5.798522e+09 ; 3.427651e+09 + i 5.480052e+09 ; 3.848252e+08 + i 1.392859e+09 ; 3.525777e+09 + i 6.898993e+09 ; 7.507003e+08 + i -9.597582e+08 ; 9.166914e+08 + i -3.890443e+08 ; -5.858233e+09 + i 5.793666e+09 ; 3.985592e+08 + i 1.382960e+09 ; 3.429191e+09 + i 5.478625e+09 ; 3.517459e+09 + i 6.895433e+09 ; 9.147415e+08 + i -3.967860e+08 ; 7.512072e+08 + i -9.647952e+08 ; 2.234820e+09 + i 5.207788e+09 ; 1.901003e+09 + i 1.231021e+09 ; 1.905638e+09 + i 1.231292e+09 ; 2.022042e+09 + i 2.023884e+09 ; 3.969715e+08 + i -6.601817e+08 ; 4.045266e+08 + i -6.620760e+08 ; -1.642268e+09 + i -3.477598e+09 ; 3.614954e+08 + i -9.892468e+08 ; 3.635201e+08 + i -9.883533e+08 ; 2.317597e+08 + i -1.933160e+09 ; -3.998422e+08 + i -2.888426e+08 ; -3.992549e+08 + i -2.901097e+08 ; -1.840334e+09 + i -6.924121e+08 ; -1.154726e+09 + i -1.649184e+09 ; -7.984101e+07 + i -6.944550e+08 ; -1.204056e+09 + i -1.116263e+09 ; -5.741850e+08 + i -8.118858e+07 ; -3.882668e+08 + i -1.131404e+08 ; -1.839492e+09 + i -6.927310e+08 ; -8.350663e+07 + i -6.914157e+08 ; -1.156348e+09 + i -1.648194e+09 ; -1.203021e+09 + i -1.116571e+09 ; -3.887042e+08 + i -1.099822e+08 ; -5.749448e+08 + i -7.912821e+07 ; -1.538202e+09 + i 2.913714e+08 ; -8.359334e+08 + i -7.797247e+08 ; -8.383029e+08 + i -7.798776e+08 ; -1.612414e+09 + i -2.280115e+08 ; -4.591134e+08 + i -2.146886e+07 ; -4.619937e+08 + i -2.086820e+07 ; 
8.516510e+08 + i -9.224942e+08 ; 3.591880e+09 + i 7.262128e+09 ; -1.001481e+09 + i 4.735016e+08 ; 1.085645e+09 + i 2.277724e+08 ; -1.260137e+10 + i 4.170811e+10 ; -1.356671e+09 + i -1.683455e+08 ; 2.225205e+09 + i 5.043932e+09 ; -5.935554e+09 + i 6.012994e+09 ; -3.704898e+08 + i -1.315030e+09 ; -1.731254e+09 + i 1.829593e+09 ; -9.150364e+09 + i -2.040123e+10 ; 1.713638e+09 + i -2.606296e+09 ; 4.747001e+08 + i -7.131001e+08 ; 2.157744e+09 + i 2.332605e+09 ; -4.617074e+08 + i 7.778796e+08 ; 8.599925e+08 + i -3.764363e+08 ; 3.645062e+09 + i 7.207472e+09 ; -8.178300e+08 + i 1.103156e+09 ; 1.500642e+09 + i 1.183501e+09 ; 2.238571e+09 + i 5.509227e+09 ; -1.895257e+09 + i -1.166629e+09 ; 1.907034e+08 + i 1.022892e+09 ; -5.788448e+09 + i 5.987832e+09 ; -3.417254e+09 + i -5.392290e+09 ; -4.316672e+08 + i 5.031008e+08 ; 7.937283e+08 + i 1.653291e+09 ; -2.757993e+08 + i 1.665125e+08 ; -5.709091e+08 + i 1.487740e+08 ; 5.986845e+08 + i 3.345615e+08 ; -6.591752e+07 + i 1.828609e+08 ; -8.419484e+08 + i -1.586383e+09 ; -3.315147e+08 + i 1.579025e+09 ; -4.913110e+07 + i -1.585962e+08 ; 2.009919e+08 + i -9.879809e+08 ; 6.673912e+08 + i 5.140533e+08 ; -9.069140e+07 + i 4.213240e+07 ; -2.752498e+08 + i 4.868137e+08 ; 8.431122e+08 + i 1.071642e+09 ; -1.648664e+08 + i 3.201089e+08 ; -4.848028e+08 + i 3.242483e+08 ; 6.388040e+08 + i 2.639241e+08 ; -1.755230e+07 + i 1.816350e+08 ; -6.622325e+08 + i -6.800090e+08 ; 5.076332e+08 + i 1.383989e+09 ; -5.046575e+08 + i -3.188234e+08 ; -1.947019e+08 + i -6.395776e+08 ; 7.276219e+08 + i 2.897850e+08 ; -1.392808e+08 + i 9.222901e+07 ; 
8.511679e+08 + i -9.230899e+08 ; -1.000537e+09 + i 4.727207e+08 ; 3.587746e+09 + i 7.237714e+09 ; 1.088829e+09 + i 2.322568e+08 ; -1.355578e+09 + i -1.689146e+08 ; -1.258531e+10 + i 4.170474e+10 ; 4.755299e+08 + i -7.114282e+08 ; -4.572269e+08 + i 7.763985e+08 ; 2.150998e+09 + i 2.300331e+09 ; 8.603562e+08 + i -3.719009e+08 ; -8.126947e+08 + i 1.104722e+09 ; 3.689491e+09 + i 7.186007e+09 ; 2.222538e+09 + i 5.044766e+09 ; -3.669071e+08 + i -1.312894e+09 ; -5.936468e+09 + i 6.010630e+09 ; -1.733106e+09 + i 1.833397e+09 ; 1.717265e+09 + i -2.604243e+09 ; -9.137750e+09 + i -2.041161e+10 ; 1.497517e+09 + i 1.179492e+09 ; -1.893115e+09 + i -1.167312e+09 ; 2.222576e+09 + i 5.504012e+09 ; 1.879012e+08 + i 1.023746e+09 ; -3.417350e+09 + i -5.392454e+09 ; -5.796756e+09 + i 5.991769e+09 ; -4.303826e+08 + i 5.029889e+08 ; -2.756621e+08 + i 1.669594e+08 ; 7.950070e+08 + i 1.654467e+09 ; -5.716039e+08 + i 1.479545e+08 ; -6.557304e+07 + i 1.828880e+08 ; 5.976423e+08 + i 3.351116e+08 ; -2.744806e+08 + i 4.866650e+08 ; -1.644532e+08 + i 3.202927e+08 ; 8.435830e+08 + i 1.070610e+09 ; -4.848303e+08 + i 3.232631e+08 ; -1.757269e+07 + i 1.813654e+08 ; 6.374392e+08 + i 2.654479e+08 ; -8.410302e+08 + i -1.587372e+09 ; -4.800967e+07 + i -1.582396e+08 ; -3.282012e+08 + i 1.577045e+09 ; 2.016017e+08 + i -9.897978e+08 ; -8.984443e+07 + i 4.209756e+07 ; 6.692379e+08 + i 5.110098e+08 ; -6.600729e+08 + i -6.786934e+08 ; -5.052703e+08 + i -3.190221e+08 ; 5.112674e+08 + i 1.388004e+09 ; -1.936450e+08 + i -6.394704e+08 ; -1.393505e+08 + i 9.181532e+07 ; 7.315652e+08 + i 2.896789e+08 ; 
3.677114e+09 + i 7.160431e+09 ; 9.433987e+08 + i -1.411210e+09 ; -1.008925e+09 + i 4.788883e+08 ; -5.830443e+09 + i 5.681072e+09 ; 1.972887e+09 + i 5.146225e+09 ; -3.705101e+08 + i -1.294404e+09 ; -1.259705e+10 + i 4.173343e+10 ; 1.430249e+09 + i 2.477716e+08 ; -1.363507e+09 + i -1.936557e+08 ; -9.092358e+09 + i -2.053357e+10 ; -1.909980e+09 + i 2.580691e+09 ; 1.738394e+09 + i -2.600340e+09 ; 2.284868e+09 + i 2.156466e+09 ; 4.484028e+08 + i -6.906639e+08 ; -4.648983e+08 + i 7.866855e+08 ; 2.222306e+09 + i 5.201515e+09 ; 1.442498e+09 + i 1.333325e+09 ; -1.899654e+09 + i -1.145884e+09 ; 3.666902e+09 + i 7.125584e+09 ; 9.705351e+08 + i -4.224470e+08 ; -8.299578e+08 + i 1.089664e+09 ; -5.859905e+09 + i 5.772054e+09 ; 2.082298e+08 + i 1.218342e+09 ; -3.413993e+09 + i -5.433245e+09 ; -1.209794e+09 + i -1.112128e+09 ; 4.395487e+08 + i 1.823177e+08 ; -2.413667e+08 + i 1.106440e+07 ; -4.888053e+08 + i -1.049380e+09 ; 1.760859e+08 + i -5.916464e+07 ; -9.678881e+07 + i 1.181544e+08 ; 2.391937e+08 + i -1.916431e+09 ; 2.074353e+08 + i 1.553812e+08 ; -2.366862e+08 + i -9.251919e+07 ; 3.506077e+08 + i -7.011486e+08 ; 1.328613e+08 + i -5.491415e+07 ; -1.165949e+08 + i 9.538934e+07 ; -1.609915e+09 + i -2.167848e+08 ; 3.747452e+08 + i 5.966839e+07 ; -4.043200e+08 + i 3.030604e+07 ; -1.257917e+09 + i -8.376618e+08 ; 1.531368e+08 + i -8.184641e+07 ; -1.382422e+08 + i 1.263847e+08 ; -1.193068e+09 + i -1.109802e+09 ; 2.300882e+08 + i 5.084368e+07 ; -5.016661e+08 + i -7.174203e+07 ; -4.790639e+08 + i -1.041104e+09 ; 1.180571e+08 + i -8.267356e+07 ; -1.656893e+08 + i 1.093805e+08 ; 
-1.854188e+09 + i 3.269720e+09 ; -9.330832e+09 + i -2.034690e+10 ; -1.734045e+09 + i 2.648787e+09 ; 3.342653e+09 + i 5.480075e+09 ; -5.944164e+09 + i 5.903118e+09 ; 3.695740e+08 + i 1.330850e+09 ; 1.420809e+09 + i 2.180281e+08 ; -1.275065e+10 + i 4.177873e+10 ; 1.379456e+09 + i 2.119387e+08 ; 8.724359e+08 + i -1.573523e+09 ; 3.500626e+09 + i 7.293699e+09 ; 1.014206e+09 + i -4.707760e+08 ; 4.064040e+08 + i 1.410387e+09 ; -6.006839e+09 + i 6.066998e+09 ; 3.423981e+09 + i 5.473665e+09 ; 1.802752e+09 + i 1.319534e+09 ; 2.180107e+09 + i 5.466199e+09 ; 1.895851e+09 + i 1.179614e+09 ; 9.906440e+08 + i -5.301650e+08 ; 3.501687e+09 + i 7.320894e+09 ; 8.368063e+08 + i -1.078447e+09 ; 3.507656e+08 + i -7.551825e+08 ; 2.174170e+09 + i 2.384247e+09 ; 4.643662e+08 + i -7.807249e+08 ; -8.801018e+07 + i 9.394144e+08 ; 6.863985e+08 + i 5.022907e+08 ; 7.296340e+07 + i -8.835988e+07 ; -2.735553e+08 + i 4.759729e+08 ; 3.539306e+08 + i -3.068525e+07 ; -3.638979e+06 + i -6.636726e+07 ; 2.260438e+08 + i 2.193659e+08 ; 6.220360e+08 + i 3.330254e+08 ; 7.478153e+07 + i -1.658963e+08 ; 1.257085e+08 + i 2.647641e+08 ; 3.492144e+08 + i -1.319399e+07 ; -1.368283e+07 + i -9.316714e+07 ; 1.032226e+08 + i 7.306846e+08 ; 7.354845e+08 + i 2.749169e+08 ; 1.362181e+08 + i -6.506022e+07 ; -1.153783e+08 + i 4.966855e+08 ; 3.405262e+08 + i -7.259954e+07 ; 1.237026e+07 + i -6.901218e+07 ; 2.501746e+08 + i 1.625664e+08 ; 6.560523e+08 + i 2.546562e+08 ; 4.255630e+07 + i -1.906930e+08 ; 1.899024e+08 + i 2.331371e+08 ; 3.560096e+08 + i -6.237973e+07 ; -2.426136e+07 + i -9.548355e+07 ; 
-9.687523e+08 + i 4.214221e+08 ; 8.562030e+08 + i -8.240318e+08 ; 3.555701e+09 + i 7.276663e+09 ; -4.153120e+08 + i 6.676890e+08 ; 4.992136e+08 + i -5.897672e+08 ; 2.149426e+09 + i 2.303749e+09 ; -1.322395e+09 + i -2.264393e+08 ; 1.170530e+09 + i 3.424992e+08 ; -1.273366e+10 + i 4.178712e+10 ; -7.646831e+08 + i 1.008768e+09 ; 9.576911e+08 + i -2.809219e+08 ; 3.588915e+09 + i 7.211026e+09 ; -2.657282e+08 + i -1.455282e+09 ; 2.252724e+09 + i 5.127238e+09 ; -5.979133e+09 + i 6.063100e+09 ; -1.759284e+09 + i -1.276097e+09 ; 1.395489e+09 + i 1.294697e+09 ; 2.215607e+09 + i 5.504546e+09 ; 1.750929e+09 + i -2.690658e+09 ; -1.787499e+09 + i 2.047011e+09 ; -9.329051e+09 + i -2.035146e+10 ; -3.420724e+09 + i -5.500095e+09 ; 1.192116e+08 + i 1.304431e+09 ; -5.939403e+09 + i 6.006028e+09 ; -2.350567e+08 + i -1.977895e+08 ; 6.829052e+07 + i -1.577877e+08 ; 6.569855e+08 + i 2.540462e+08 ; -1.732802e+08 + i -2.579270e+08 ; -4.105766e+06 + i -8.630791e+07 ; 3.540648e+08 + i -5.810924e+07 ; -1.783023e+08 + i -2.613470e+08 ; 9.351140e+07 + i -1.342860e+08 ; 6.184519e+08 + i 3.320769e+08 ; -9.203625e+07 + i -2.792059e+08 ; 3.351129e+06 + i -8.490387e+07 ; 3.436589e+08 + i -7.897377e+06 ; -1.082089e+08 + i -7.620842e+08 ; 1.267906e+08 + i -2.876886e+07 ; 7.384687e+08 + i 2.846211e+08 ; 1.212895e+08 + i -5.314054e+08 ; 2.254314e+07 + i -5.477678e+07 ; 3.467695e+08 + i -7.466178e+07 ; 1.019778e+08 + i -9.925703e+08 ; 7.604288e+07 + i -5.599153e+07 ; 6.742359e+08 + i 5.114506e+08 ; 3.011944e+08 + i -5.065634e+08 ; 7.719554e+06 + i -5.569819e+07 ; 3.575936e+08 + i -3.006891e+07 ; 
-5.813638e+09 + i 5.654719e+09 ; -2.157687e+09 + i -5.048797e+09 ; 2.957126e+08 + i 1.382646e+09 ; 3.508608e+09 + i 6.902110e+09 ; -9.556553e+08 + i 1.613868e+09 ; 9.168571e+08 + i -3.334793e+08 ; -9.073261e+09 + i -2.053707e+10 ; 1.976041e+09 + i -2.933581e+09 ; -1.822853e+09 + i 2.549842e+09 ; -1.254825e+10 + i 4.133923e+10 ; -1.017104e+09 + i -3.691072e+08 ; 1.217169e+09 + i 3.278394e+08 ; 2.199209e+09 + i 5.167802e+09 ; -1.393370e+09 + i -1.400672e+09 ; 1.801276e+09 + i 1.309074e+09 ; 2.047104e+09 + i 2.006957e+09 ; -3.130353e+08 + i 6.061324e+08 ; 4.324901e+08 + i -6.275093e+08 ; -5.871578e+09 + i 5.760447e+09 ; -2.664697e+08 + i -1.312555e+09 ; 3.058580e+09 + i 5.549275e+09 ; 3.519541e+09 + i 6.877403e+09 ; -8.744201e+08 + i 3.378702e+08 ; 7.875777e+08 + i -9.003844e+08 ; -1.847823e+09 + i -6.493839e+08 ; 8.367432e+08 + i 1.430577e+09 ; -3.915083e+07 + i -6.832644e+08 ; -1.217328e+09 + i -1.102558e+09 ; 4.527891e+08 + i 6.717090e+07 ; -3.734376e+08 + i -1.308265e+08 ; -1.645437e+09 + i -3.473394e+09 ; -3.642682e+08 + i 5.829082e+08 ; 4.087932e+08 + i -9.465145e+08 ; 2.389620e+08 + i -1.925561e+09 ; 2.773376e+08 + i 2.272899e+08 ; -3.743021e+08 + i -3.058650e+08 ; -1.530265e+09 + i 3.189121e+08 ; 6.229709e+08 + i 6.794227e+08 ; -7.793335e+08 + i -8.079416e+08 ; -1.618468e+09 + i -2.094727e+08 ; 3.526058e+08 + i 2.565231e+07 ; -4.514226e+08 + i -4.440215e+07 ; -1.832435e+09 + i -6.895860e+08 ; -1.244945e+07 + i 4.847230e+08 ; -1.042179e+09 + i -1.675947e+09 ; -1.191856e+09 + i -1.115692e+09 ; 2.885102e+08 + i 9.323407e+07 ; -5.581334e+08 + i -1.094976e+08 ; 
-2.253933e+09 + i -4.939845e+09 ; -5.900475e+09 + i 5.888228e+09 ; 2.944814e+08 + i 1.305427e+09 ; 1.852291e+09 + i -2.708275e+09 ; -9.093933e+09 + i -2.040639e+10 ; -1.811389e+09 + i 2.459875e+09 ; -1.044321e+09 + i 1.810284e+09 ; 3.479459e+09 + i 7.293792e+09 ; 1.010052e+09 + i -4.085578e+08 ; -1.072709e+09 + i -1.970742e+08 ; -1.260566e+10 + i 4.166843e+10 ; 1.325827e+09 + i 2.390576e+08 ; -1.463584e+09 + i -1.267263e+09 ; 2.182879e+09 + i 5.445285e+09 ; 1.791562e+09 + i 1.240177e+09 ; -3.273504e+08 + i -1.097182e+09 ; -5.825898e+09 + i 5.970735e+09 ; 3.053097e+09 + i 5.455066e+09 ; -3.687221e+08 + i 8.114972e+08 ; 2.185938e+09 + i 2.385327e+09 ; 4.938659e+08 + i -7.374036e+08 ; -8.981061e+08 + i 5.085042e+08 ; 3.648783e+09 + i 7.234234e+09 ; 8.566705e+08 + i -1.038872e+09 ; 8.367296e+08 + i 1.633314e+09 ; -3.350751e+08 + i 1.635965e+09 ; 4.087571e+07 + i 1.584057e+08 ; -1.992603e+08 + i 1.040941e+09 ; 6.733561e+08 + i 5.219200e+08 ; 9.148822e+07 + i -3.684894e+07 ; 3.677365e+08 + i -2.973100e+08 ; 8.050447e+08 + i 1.658990e+09 ; 2.809248e+08 + i -1.486183e+08 ; 4.728303e+08 + i -6.869086e+07 ; 6.151634e+08 + i 3.406299e+08 ; 7.502834e+07 + i -1.758285e+08 ; 6.712926e+08 + i 7.064588e+08 ; 5.211209e+08 + i 1.409288e+09 ; 4.766674e+08 + i 3.383915e+08 ; 2.145444e+08 + i 6.743697e+08 ; 7.324523e+08 + i 2.925294e+08 ; 1.409695e+08 + i -8.347289e+07 ; 2.593817e+08 + i -3.776923e+08 ; 8.521910e+08 + i 1.074811e+09 ; 1.790603e+08 + i -3.047398e+08 ; 4.482477e+08 + i -2.502551e+08 ; 6.553042e+08 + i 2.646061e+08 ; 2.710956e+07 + i -1.772102e+08 ; 
