-8.637692e+09 + i 3.748809e+10 ; -1.105750e+09 + i 4.578262e+08 ; -1.110302e+09 + i 4.550830e+08 ; -1.030946e+10 + i -1.573058e+10 ; 5.117097e+08 + i -2.682034e+09 ; 5.137164e+08 + i -2.687918e+09 ; 3.489308e+09 + i 5.753953e+09 ; -3.589751e+08 + i 1.187027e+09 ; -5.092715e+08 + i 8.227747e+08 ; -3.407442e+09 + i 6.005192e+09 ; -3.899532e+09 + i -3.589327e+09 ; -7.404238e+08 + i -8.038079e+08 ; 3.482756e+09 + i 5.756217e+09 ; -5.027246e+08 + i 8.257297e+08 ; -3.544978e+08 + i 1.190722e+09 ; -3.414447e+09 + i 6.003463e+09 ; -7.430183e+08 + i -7.902889e+08 ; -3.899448e+09 + i -3.587675e+09 ; 2.704243e+09 + i 1.697733e+09 ; -8.538883e+07 + i 8.817469e+08 ; -8.935501e+07 + i 8.877668e+08 ; 3.245630e+09 + i 3.452772e+09 ; -1.724675e+09 + i -4.228876e+08 ; -1.726762e+09 + i -4.194346e+08 ; -2.378107e+07 + i -1.665038e+09 ; -2.034428e+08 + i 2.992152e+07 ; -2.028775e+08 + i 2.866494e+07 ; 2.902398e+08 + i -6.658437e+08 ; -2.959397e+07 + i 1.150160e+08 ; -3.016804e+07 + i 1.146476e+08 ; -1.171452e+09 + i -5.691416e+08 ; -3.822786e+08 + i 8.598592e+07 ; -1.596197e+08 + i 1.118922e+08 ; -6.388444e+08 + i -6.754623e+08 ; -6.350992e+07 + i 1.292671e+08 ; -4.050485e+06 + i 1.221355e+08 ; -1.174107e+09 + i -5.690325e+08 ; -1.594058e+08 + i 1.139068e+08 ; -3.814103e+08 + i 8.572421e+07 ; -6.405618e+08 + i -6.767598e+08 ; -3.152845e+06 + i 1.224780e+08 ; -6.313311e+07 + i 1.287045e+08 ; -1.320878e+09 + i 3.617921e+08 ; -2.736150e+08 + i 1.454262e+08 ; -2.725036e+08 + i 1.455476e+08 ; -1.260359e+09 + i -1.551191e+08 ; -3.323064e+07 + i 1.328869e+08 ; -3.278203e+07 + i 1.328884e+08 ; 
-1.100184e+09 + i 3.837688e+08 ; -8.691303e+09 + i 3.758041e+10 ; -1.125839e+09 + i 4.463147e+08 ; -3.647375e+08 + i 1.089286e+09 ; 3.461709e+09 + i 5.815103e+09 ; -5.095537e+08 + i 8.187274e+08 ; 5.485664e+08 + i -2.752910e+09 ; -1.040330e+10 + i -1.556263e+10 ; 4.934982e+08 + i -2.718376e+09 ; -3.860439e+09 + i -3.715074e+09 ; -3.402348e+09 + i 6.195979e+09 ; -7.535829e+08 + i -8.359789e+08 ; -5.041074e+08 + i 7.455092e+08 ; 3.413728e+09 + i 5.917204e+09 ; -3.701770e+08 + i 1.186395e+09 ; -1.098943e+08 + i 7.792484e+08 ; 2.680189e+09 + i 1.859370e+09 ; -9.155653e+07 + i 8.852589e+08 ; -7.154513e+08 + i -8.746818e+08 ; -3.411614e+09 + i 6.240418e+09 ; -3.928782e+09 + i -3.617161e+09 ; -1.707663e+09 + i -5.585871e+08 ; 3.364039e+09 + i 3.672101e+09 ; -1.746969e+09 + i -4.480552e+08 ; -2.623321e+08 + i -1.068180e+08 ; 5.664292e+08 + i 1.043798e+08 ; 2.272754e+07 + i 1.448005e+08 ; -2.061933e+08 + i -1.525478e+08 ; 2.189003e+08 + i -1.168640e+08 ; 5.203112e+07 + i 4.996585e+07 ; -1.848793e+08 + i -8.428268e+08 ; 6.299577e+08 + i 2.064617e+08 ; -8.869151e+06 + i 8.797707e+07 ; 8.879231e+07 + i -5.121020e+08 ; 2.176136e+08 + i -1.340333e+08 ; 3.196073e+07 + i 3.596953e+07 ; -2.950647e+08 + i -2.837311e+07 ; 5.824286e+08 + i -1.705428e+07 ; 5.108015e+07 + i 1.558193e+08 ; -2.666482e+08 + i -9.756725e+07 ; 2.046214e+08 + i -1.679442e+08 ; 5.972934e+07 + i 4.836660e+07 ; -3.163173e+08 + i -5.817504e+08 ; 6.241057e+08 + i -1.357110e+07 ; -6.324675e+07 + i 8.161145e+07 ; -8.813675e+07 + i -4.613246e+08 ; 1.940720e+08 + i -1.727337e+08 ; 2.143459e+07 + i 4.018894e+07 ; 
-1.104030e+09 + i 3.822381e+08 ; -1.126255e+09 + i 4.449530e+08 ; -8.682900e+09 + i 3.757318e+10 ; -3.648258e+08 + i 1.091186e+09 ; -5.100706e+08 + i 8.172461e+08 ; 3.440214e+09 + i 5.809235e+09 ; -5.095097e+08 + i 7.431163e+08 ; -3.645171e+08 + i 1.183925e+09 ; 3.426743e+09 + i 5.869908e+09 ; -1.160742e+08 + i 7.820412e+08 ; -9.043625e+07 + i 8.811365e+08 ; 2.654760e+09 + i 1.841778e+09 ; 5.452275e+08 + i -2.757342e+09 ; 4.972047e+08 + i -2.720209e+09 ; -1.039181e+10 + i -1.558249e+10 ; -3.862790e+09 + i -3.716797e+09 ; -7.495689e+08 + i -8.379796e+08 ; -3.400016e+09 + i 6.188809e+09 ; -7.113402e+08 + i -8.826004e+08 ; -3.929071e+09 + i -3.616421e+09 ; -3.410449e+09 + i 6.253298e+09 ; -1.702420e+09 + i -5.597953e+08 ; -1.746371e+09 + i -4.500112e+08 ; 3.359290e+09 + i 3.682212e+09 ; -2.612479e+08 + i -1.061478e+08 ; 2.310947e+07 + i 1.446058e+08 ; 5.633957e+08 + i 1.026895e+08 ; -2.064707e+08 + i -1.521764e+08 ; 5.204388e+07 + i 4.968412e+07 ; 2.181160e+08 + i -1.163223e+08 ; -2.944322e+08 + i -2.760742e+07 ; 5.118787e+07 + i 1.556904e+08 ; 5.815991e+08 + i -1.734793e+07 ; -2.667686e+08 + i -9.710329e+07 ; 5.967382e+07 + i 4.843403e+07 ; 2.047752e+08 + i -1.675415e+08 ; -1.841553e+08 + i -8.439200e+08 ; -8.398045e+06 + i 8.740226e+07 ; 6.280276e+08 + i 2.022730e+08 ; 8.942432e+07 + i -5.129969e+08 ; 3.191891e+07 + i 3.549210e+07 ; 2.148714e+08 + i -1.346663e+08 ; -3.148541e+08 + i -5.800461e+08 ; -6.340139e+07 + i 8.180505e+07 ; 6.245374e+08 + i -1.604920e+07 ; -8.795884e+07 + i -4.605712e+08 ; 2.117570e+07 + i 4.029258e+07 ; 1.927433e+08 + i -1.742872e+08 ; 
-1.033945e+10 + i -1.573030e+10 ; -6.625119e+08 + i 2.655004e+09 ; -6.664613e+08 + i 2.658683e+09 ; -8.602702e+09 + i 3.721234e+10 ; 1.075073e+09 + i -2.680966e+08 ; 1.079122e+09 + i -2.663564e+08 ; -3.420257e+09 + i 6.008577e+09 ; 3.567955e+09 + i 3.879332e+09 ; 7.112818e+08 + i 9.150850e+08 ; 3.348155e+09 + i 5.591409e+09 ; 4.251835e+08 + i -1.015106e+09 ; 5.324741e+08 + i -6.690672e+08 ; -3.426202e+09 + i 6.008780e+09 ; 7.132800e+08 + i 9.003688e+08 ; 3.567415e+09 + i 3.877853e+09 ; 3.340014e+09 + i 5.595287e+09 ; 5.258608e+08 + i -6.722978e+08 ; 4.213678e+08 + i -1.017621e+09 ; 3.233038e+09 + i 3.456506e+09 ; 1.703320e+09 + i 6.174675e+08 ; 1.705610e+09 + i 6.140247e+08 ; 2.486269e+09 + i 1.646988e+09 ; 1.484972e+08 + i -7.418367e+08 ; 1.504634e+08 + i -7.484270e+08 ; -1.666532e+09 + i -2.676121e+09 ; 1.458189e+07 + i -8.696423e+08 ; 1.645952e+07 + i -8.704591e+08 ; -3.977295e+07 + i -1.666356e+09 ; -3.877992e+08 + i -5.645878e+07 ; -3.883978e+08 + i -5.758773e+07 ; -1.570586e+09 + i -1.628271e+08 ; -1.194673e+09 + i -1.125695e+09 ; -2.679897e+08 + i -4.865564e+08 ; -1.182380e+09 + i -5.612096e+08 ; -4.626530e+08 + i 9.832919e+07 ; -3.136760e+08 + i 7.993836e+07 ; -1.571051e+09 + i -1.631705e+08 ; -2.682041e+08 + i -4.824257e+08 ; -1.194541e+09 + i -1.124093e+09 ; -1.182464e+09 + i -5.620086e+08 ; -3.117508e+08 + i 8.202156e+07 ; -4.613236e+08 + i 9.969484e+07 ; -1.174336e+09 + i 7.557887e+08 ; -8.102007e+08 + i -4.554434e+08 ; -8.114919e+08 + i -4.536883e+08 ; -1.330528e+09 + i 3.687149e+08 ; -3.529746e+08 + i 1.368854e+08 ; -3.537795e+08 + i 1.393593e+08 ; 
5.709618e+08 + i -9.991720e+08 ; 3.497725e+09 + i 5.826714e+09 ; -5.645435e+08 + i 7.571597e+08 ; 9.861728e+08 + i -1.722845e+08 ; -8.553327e+09 + i 3.747933e+10 ; -1.114245e+09 + i 3.668757e+08 ; 2.428989e+09 + i 4.036218e+09 ; -3.415193e+09 + i 6.189055e+09 ; -6.648996e+08 + i -8.704013e+08 ; -1.084484e+09 + i 2.012357e+09 ; -1.027152e+10 + i -1.570533e+10 ; 7.096923e+08 + i -2.593603e+09 ; 2.428398e+08 + i -7.961154e+08 ; 2.692157e+09 + i 1.838423e+09 ; -1.618468e+08 + i 8.562465e+08 ; 5.547107e+08 + i -6.275691e+08 ; 3.524919e+09 + i 5.776212e+09 ; -4.344858e+08 + i 1.147337e+09 ; 1.387705e+09 + i 7.695236e+08 ; 3.370776e+09 + i 3.672138e+09 ; -1.672402e+09 + i -5.724249e+08 ; 4.340482e+08 + i 7.653520e+08 ; -3.294411e+09 + i 6.112570e+09 ; -3.528898e+09 + i -3.822562e+09 ; -2.353683e+08 + i 5.458250e+08 ; 8.210906e+08 + i 1.285080e+09 ; -1.493639e+08 + i 2.230960e+08 ; -4.215597e+08 + i 3.175950e+08 ; 5.505594e+08 + i 1.143732e+08 ; 2.658068e+07 + i 1.560540e+08 ; -9.002873e+08 + i -1.236295e+09 ; 1.028101e+07 + i 1.350058e+09 ; -6.954439e+07 + i -1.090328e+08 ; -1.257677e+07 + i -9.234563e+08 ; 6.261635e+08 + i 2.073085e+08 ; -4.645287e+07 + i 5.663985e+07 ; -8.168133e+07 + i 4.978886e+08 ; 8.879430e+08 + i 7.434305e+08 ; -3.988146e+07 + i 3.069466e+08 ; -2.637620e+08 + i 4.424360e+08 ; 5.754795e+08 + i 8.322305e+05 ; 5.595883e+07 + i 1.465167e+08 ; -6.133165e+08 + i -4.716997e+08 ; 7.065310e+08 + i 9.622333e+08 ; -4.264754e+08 + i -1.638270e+08 ; -2.788221e+08 + i -4.932364e+08 ; 6.216245e+08 + i -6.889517e+06 ; -6.832966e+07 + i 9.413459e+07 ; 
5.701079e+08 + i -9.990484e+08 ; -5.646859e+08 + i 7.557872e+08 ; 3.476959e+09 + i 5.815500e+09 ; 9.915658e+08 + i -1.724485e+08 ; -1.114176e+09 + i 3.655265e+08 ; -8.547434e+09 + i 3.746577e+10 ; 2.447726e+08 + i -7.951049e+08 ; -1.605247e+08 + i 8.524529e+08 ; 2.668306e+09 + i 1.822608e+09 ; 5.587534e+08 + i -6.246652e+08 ; -4.302363e+08 + i 1.145088e+09 ; 3.543095e+09 + i 5.735282e+09 ; 2.428316e+09 + i 4.039334e+09 ; -6.607236e+08 + i -8.721850e+08 ; -3.413949e+09 + i 6.187896e+09 ; -1.082145e+09 + i 2.016069e+09 ; 7.133657e+08 + i -2.595042e+09 ; -1.026771e+10 + i -1.571890e+10 ; 1.382025e+09 + i 7.696212e+08 ; -1.671893e+09 + i -5.746014e+08 ; 3.357119e+09 + i 3.678462e+09 ; 4.323432e+08 + i 7.677014e+08 ; -3.529525e+09 + i -3.822285e+09 ; -3.297183e+09 + i 6.121943e+09 ; -2.345718e+08 + i 5.446316e+08 ; -1.489413e+08 + i 2.231870e+08 ; 8.226530e+08 + i 1.284500e+09 ; -4.225006e+08 + i 3.177966e+08 ; 2.675686e+07 + i 1.557286e+08 ; 5.503033e+08 + i 1.152364e+08 ; -8.142367e+07 + i 4.969794e+08 ; -3.935903e+07 + i 3.068248e+08 ; 8.882291e+08 + i 7.424454e+08 ; -2.647440e+08 + i 4.416821e+08 ; 5.582657e+07 + i 1.463947e+08 ; 5.757736e+08 + i 2.346730e+06 ; -9.006910e+08 + i -1.237734e+09 ; -6.865209e+07 + i -1.096587e+08 ; 1.148670e+07 + i 1.346305e+09 ; -1.390829e+07 + i -9.249600e+08 ; -4.602649e+07 + i 5.592603e+07 ; 6.247436e+08 + i 2.040156e+08 ; -6.106624e+08 + i -4.726986e+08 ; -4.269701e+08 + i -1.633595e+08 ; 7.116332e+08 + i 9.618861e+08 ; -2.778265e+08 + i -4.938873e+08 ; -6.868560e+07 + i 9.404133e+07 ; 6.234377e+08 + i -1.019481e+07 ; 
3.525123e+09 + i 5.736026e+09 ; 3.622816e+08 + i -1.399999e+09 ; -5.644627e+08 + i 7.653132e+08 ; -3.467922e+09 + i 5.908670e+09 ; 2.284864e+09 + i 4.236875e+09 ; -6.561236e+08 + i -8.530854e+08 ; -8.550636e+09 + i 3.751467e+10 ; 1.202133e+09 + i -3.526297e+08 ; -1.129560e+09 + i 3.541841e+08 ; -1.026767e+10 + i -1.580761e+10 ; -8.766382e+08 + i 2.629969e+09 ; 7.254164e+08 + i -2.597604e+09 ; 2.701604e+09 + i 1.648773e+09 ; 2.133606e+08 + i -7.634576e+08 ; -1.586713e+08 + i 8.634501e+08 ; 3.231048e+09 + i 3.452985e+09 ; 1.416171e+09 + i 8.829815e+08 ; -1.664658e+09 + i -5.513917e+08 ; 3.477030e+09 + i 5.714553e+09 ; 5.744760e+08 + i -6.926291e+08 ; -4.473417e+08 + i 1.140283e+09 ; -3.438274e+09 + i 5.995104e+09 ; 5.052281e+08 + i 8.919332e+08 ; -3.540082e+09 + i -3.842040e+09 ; -1.187875e+09 + i -5.570501e+08 ; 3.958258e+08 + i 4.239911e+07 ; -1.653345e+08 + i 9.520873e+07 ; -6.486070e+08 + i -6.773630e+08 ; 1.049100e+08 + i -1.009724e+08 ; -1.386182e+07 + i 1.189778e+08 ; -2.512927e+07 + i -1.661361e+09 ; 2.190945e+08 + i 4.369427e+07 ; -2.007906e+08 + i 1.209653e+07 ; 2.941617e+08 + i -6.606757e+08 ; 7.192745e+07 + i -9.868380e+07 ; -3.915948e+07 + i 1.100171e+08 ; -1.321305e+09 + i 3.735658e+08 ; 3.042428e+08 + i -5.362533e+07 ; -2.789632e+08 + i 1.204836e+08 ; -1.265749e+09 + i -1.478908e+08 ; 7.518927e+07 + i -1.137313e+08 ; -4.286600e+07 + i 1.275191e+08 ; -1.172904e+09 + i -5.662586e+08 ; 1.951163e+08 + i -5.210709e+07 ; -3.819370e+08 + i 5.312692e+07 ; -6.366582e+08 + i -6.787238e+08 ; 4.634440e+07 + i -1.140704e+08 ; -7.293997e+07 + i 1.212174e+08 ; 
-4.700883e+08 + i 3.118244e+09 ; -1.041776e+10 + i -1.559542e+10 ; -6.981835e+08 + i 2.628598e+09 ; 3.456199e+09 + i 3.897102e+09 ; -3.479607e+09 + i 6.121038e+09 ; 6.751114e+08 + i 8.771667e+08 ; 1.188137e+09 + i -3.754059e+08 ; -8.666745e+09 + i 3.759340e+10 ; 1.152826e+09 + i -3.518583e+08 ; 2.164184e+08 + i -1.523330e+09 ; 3.452286e+09 + i 5.902206e+09 ; 5.735455e+08 + i -7.667598e+08 ; 7.244777e+08 + i 9.006884e+08 ; -3.446015e+09 + i 6.272162e+09 ; 3.559817e+09 + i 3.866563e+09 ; 1.668136e+09 + i 7.135885e+08 ; 3.303647e+09 + i 3.685674e+09 ; 1.673306e+09 + i 5.799444e+08 ; 5.035442e+08 + i -7.862281e+08 ; 3.450249e+09 + i 5.918681e+09 ; 4.553902e+08 + i -1.135533e+09 ; 8.554339e+07 + i -7.790720e+08 ; 2.739645e+09 + i 1.861503e+09 ; 1.589014e+08 + i -8.606783e+08 ; 9.943579e+07 + i 7.943825e+08 ; 6.336990e+08 + i 1.865612e+08 ; 1.600209e+07 + i -8.643499e+07 ; -1.262639e+08 + i 4.574530e+08 ; 2.129365e+08 + i -1.334939e+08 ; -2.876986e+07 + i -3.804714e+07 ; 2.594134e+08 + i 6.601948e+07 ; 5.649333e+08 + i 9.581174e+07 ; -1.085030e+07 + i -1.453016e+08 ; 2.061763e+08 + i 1.343021e+08 ; 2.154614e+08 + i -1.237098e+08 ; -4.746225e+07 + i -5.367464e+07 ; 2.438926e+08 + i 5.705136e+08 ; 6.174079e+08 + i -2.323341e+07 ; 6.821582e+07 + i -7.534135e+07 ; 3.518532e+07 + i 4.314179e+08 ; 1.903281e+08 + i -1.699024e+08 ; -1.827815e+07 + i -4.112975e+07 ; 2.746966e+08 + i 1.450746e+07 ; 5.787924e+08 + i -1.838575e+07 ; -3.787743e+07 + i -1.579022e+08 ; 2.493977e+08 + i 8.679058e+07 ; 2.003613e+08 + i -1.713345e+08 ; -5.517277e+07 + i -5.256070e+07 ; 
-5.610433e+08 + i 6.991734e+08 ; 6.023643e+08 + i -9.265246e+08 ; 3.463024e+09 + i 5.859249e+09 ; -1.840803e+08 + i 7.513537e+08 ; 3.129734e+08 + i -7.193455e+08 ; 2.670227e+09 + i 1.826623e+09 ; -1.104791e+09 + i 3.106359e+08 ; 1.079057e+09 + i -1.250436e+08 ; -8.650273e+09 + i 3.758335e+10 ; -4.326758e+08 + i 1.050548e+09 ; 6.598477e+08 + i -5.975777e+08 ; 3.448299e+09 + i 5.789760e+09 ; -6.482808e+08 + i -1.016606e+09 ; 2.455911e+09 + i 4.046671e+09 ; -3.426922e+09 + i 6.248784e+09 ; -1.604860e+09 + i -7.172365e+08 ; 1.343149e+09 + i 8.982632e+08 ; 3.353560e+09 + i 3.685817e+09 ; 6.940525e+08 + i -2.640518e+09 ; -1.067897e+09 + i 2.168931e+09 ; -1.040390e+10 + i -1.560026e+10 ; -3.547402e+09 + i -3.864066e+09 ; 4.810933e+08 + i 9.953315e+08 ; -3.418861e+09 + i 6.187879e+09 ; -2.849951e+08 + i -4.641382e+07 ; -3.540341e+05 + i -1.515106e+08 ; 5.786148e+08 + i -1.993528e+07 ; -2.539033e+08 + i -1.123396e+08 ; -3.780992e+07 + i -6.048668e+07 ; 2.023152e+08 + i -1.674775e+08 ; -2.494027e+08 + i -1.244463e+08 ; 2.051049e+07 + i -1.368249e+08 ; 5.617739e+08 + i 9.812599e+07 ; -1.909695e+08 + i -1.658125e+08 ; -3.298066e+07 + i -5.983677e+07 ; 2.167322e+08 + i -1.165146e+08 ; -2.678317e+08 + i -5.854796e+08 ; 8.046445e+07 + i -4.926528e+07 ; 6.224830e+08 + i -1.870763e+07 ; -5.642491e+07 + i -4.547912e+08 ; -5.465183e+06 + i -4.006581e+07 ; 1.906361e+08 + i -1.745003e+08 ; -1.249442e+08 + i -8.384560e+08 ; 3.679987e+07 + i -6.766742e+07 ; 6.275371e+08 + i 2.009053e+08 ; 1.226681e+08 + i -4.969736e+08 ; -1.654213e+07 + i -3.895872e+07 ; 2.141017e+08 + i -1.345669e+08 ; 
-3.452947e+09 + i 5.868549e+09 ; -2.327287e+09 + i -3.949668e+09 ; 6.422043e+08 + i 9.530713e+08 ; 3.336006e+09 + i 5.606255e+09 ; -2.730191e+08 + i 1.650532e+09 ; 5.640854e+08 + i -6.305234e+08 ; -1.025103e+10 + i -1.582046e+10 ; 7.790671e+08 + i -2.984269e+09 ; -8.234269e+08 + i 2.592214e+09 ; -8.605901e+09 + i 3.721705e+10 ; -9.520709e+08 + i 3.682478e+07 ; 1.085406e+09 + i -1.957317e+08 ; 3.186607e+09 + i 3.439691e+09 ; -1.384255e+09 + i -9.485469e+08 ; 1.656680e+09 + i 7.093059e+08 ; 2.493667e+09 + i 1.618330e+09 ; -1.262310e+08 + i 6.344604e+08 ; 1.936550e+08 + i -7.342554e+08 ; -3.458910e+09 + i 5.993122e+09 ; -5.822298e+08 + i -9.196660e+08 ; 3.303865e+09 + i 4.060239e+09 ; 3.324219e+09 + i 5.582963e+09 ; -5.286422e+08 + i 6.041395e+08 ; 4.818664e+08 + i -9.813925e+08 ; -1.557551e+09 + i -1.215552e+08 ; 8.174271e+08 + i 1.040979e+09 ; -2.338833e+08 + i -4.990352e+08 ; -1.188057e+09 + i -5.422862e+08 ; 3.499385e+08 + i -3.982520e+07 ; -3.140985e+08 + i 6.028725e+07 ; -1.666341e+09 + i -2.670847e+09 ; -2.194783e+08 + i 5.323707e+08 ; 6.887733e+07 + i -8.602993e+08 ; -2.990018e+07 + i -1.667473e+09 ; 2.612039e+08 + i 8.162167e+07 ; -3.814740e+08 + i -8.117571e+07 ; -1.152503e+09 + i 7.744305e+08 ; 5.737910e+08 + i 4.578651e+08 ; -7.772495e+08 + i -4.970818e+08 ; -1.323777e+09 + i 3.880440e+08 ; 2.714961e+08 + i -6.598032e+07 ; -3.584155e+08 + i 1.177488e+08 ; -1.565198e+09 + i -1.671117e+08 ; 8.690932e+07 + i 3.701520e+08 ; -1.116500e+09 + i -1.186451e+09 ; -1.175823e+09 + i -5.706474e+08 ; 2.307432e+08 + i -3.124510e+07 ; -4.639497e+08 + i 7.025381e+07 ; 
-2.375262e+09 + i -3.837608e+09 ; -3.436596e+09 + i 6.065421e+09 ; 6.080366e+08 + i 8.992424e+08 ; 7.365678e+08 + i -2.771208e+09 ; -1.023123e+10 + i -1.574385e+10 ; -8.526280e+08 + i 2.524657e+09 ; -2.846713e+08 + i 1.831483e+09 ; 3.431262e+09 + i 5.918490e+09 ; 6.104551e+08 + i -7.200128e+08 ; -9.378337e+08 + i 1.854026e+08 ; -8.591305e+09 + i 3.745159e+10 ; 1.135180e+09 + i -3.014101e+08 ; -1.394511e+09 + i -8.246495e+08 ; 3.288728e+09 + i 3.659210e+09 ; 1.619436e+09 + i 6.650145e+08 ; -5.676031e+08 + i -7.372647e+08 ; -3.336708e+09 + i 6.127299e+09 ; 3.262191e+09 + i 3.995758e+09 ; -9.807841e+07 + i 8.087889e+08 ; 2.749279e+09 + i 1.851973e+09 ; 2.103638e+08 + i -8.400929e+08 ; -4.834469e+08 + i 7.375336e+08 ; 3.546939e+09 + i 5.790850e+09 ; 4.940547e+08 + i -1.110845e+09 ; 9.215636e+08 + i 1.246201e+09 ; 3.807622e+07 + i 1.398688e+09 ; 6.400457e+07 + i 1.116913e+08 ; 5.416955e+07 + i 9.428763e+08 ; 6.349396e+08 + i 2.105534e+08 ; 4.940627e+07 + i -5.403945e+07 ; 2.852162e+08 + i -3.325188e+08 ; 8.341892e+08 + i 1.280152e+09 ; 1.627422e+08 + i -2.142143e+08 ; 3.817462e+08 + i -1.892548e+08 ; 5.652155e+08 + i 1.052525e+08 ; -1.686341e+07 + i -1.572767e+08 ; 6.323228e+08 + i 4.684263e+08 ; 7.300244e+08 + i 9.743270e+08 ; 4.120670e+08 + i 1.873515e+08 ; 3.142176e+08 + i 4.915028e+08 ; 6.264350e+08 + i -7.007116e+06 ; 7.248170e+07 + i -8.935546e+07 ; 1.273409e+08 + i -3.922721e+08 ; 8.961684e+08 + i 7.381035e+08 ; 5.777808e+07 + i -3.024705e+08 ; 2.739792e+08 + i -3.564905e+08 ; 5.854008e+08 + i -1.161230e+07 ; -4.708472e+07 + i -1.489481e+08 ; 
