-6.224204e+09 + i 3.316988e+10 ; -6.617204e+08 + i 6.482965e+08 ; -6.657087e+08 + i 6.496186e+08 ; -9.914213e+09 + i -1.158085e+10 ; -1.829075e+08 + i -2.150088e+09 ; -1.850701e+08 + i -2.153797e+09 ; 3.182642e+09 + i 4.656134e+09 ; -4.181861e+07 + i 1.018104e+09 ; -7.997937e+07 + i 7.342964e+08 ; -1.586090e+09 + i 5.334990e+09 ; -3.347094e+09 + i -2.307534e+09 ; -7.000257e+08 + i -3.848546e+08 ; 3.180877e+09 + i 4.661494e+09 ; -7.468962e+07 + i 7.324526e+08 ; -3.731887e+07 + i 1.016820e+09 ; -1.591326e+09 + i 5.338180e+09 ; -6.952421e+08 + i -3.752612e+08 ; -3.346121e+09 + i -2.306895e+09 ; 2.827316e+09 + i 8.516020e+08 ; 1.917259e+08 + i 7.207813e+08 ; 1.928432e+08 + i 7.263080e+08 ; 3.326716e+09 + i 1.794605e+09 ; -1.310702e+09 + i -8.073496e+07 ; -1.309683e+09 + i -7.763519e+07 ; -1.869502e+08 + i -1.427750e+09 ; -1.300000e+08 + i 7.449817e+07 ; -1.305287e+08 + i 7.359291e+07 ; 2.182547e+08 + i -6.692918e+08 ; 1.758358e+07 + i 7.915045e+07 ; 1.710768e+07 + i 7.937372e+07 ; -9.667571e+08 + i -2.064325e+08 ; -2.482217e+08 + i 1.200735e+08 ; -7.269302e+07 + i 1.198160e+08 ; -6.071597e+08 + i -3.762350e+08 ; -6.190158e+06 + i 8.871898e+07 ; 3.876196e+07 + i 7.462437e+07 ; -9.682062e+08 + i -2.044318e+08 ; -7.161899e+07 + i 1.209345e+08 ; -2.481459e+08 + i 1.194129e+08 ; -6.088178e+08 + i -3.755773e+08 ; 3.936104e+07 + i 7.432926e+07 ; -6.452367e+06 + i 8.834101e+07 ; -8.529683e+08 + i 6.624108e+08 ; -1.511542e+08 + i 1.469478e+08 ; -1.505574e+08 + i 1.462477e+08 ; -9.333737e+08 + i 3.079798e+08 ; 1.840163e+07 + i 8.222575e+07 ; 1.851990e+07 + i 8.193413e+07 ; 
-6.845833e+08 + i 5.985157e+08 ; -6.258962e+09 + i 3.322991e+10 ; -6.789130e+08 + i 6.507336e+08 ; -7.956141e+07 + i 9.550150e+08 ; 3.161283e+09 + i 4.705165e+09 ; -8.022606e+07 + i 7.310838e+08 ; -1.740682e+08 + i -2.205828e+09 ; -9.972503e+09 + i -1.144414e+10 ; -2.087569e+08 + i -2.165591e+09 ; -3.345653e+09 + i -2.403413e+09 ; -1.537830e+09 + i 5.468884e+09 ; -7.209891e+08 + i -4.001165e+08 ; -1.067856e+08 + i 6.801147e+08 ; 3.178079e+09 + i 4.799912e+09 ; -4.792351e+07 + i 1.020545e+09 ; 1.362242e+08 + i 6.630800e+08 ; 2.875825e+09 + i 9.773800e+08 ; 1.924223e+08 + i 7.254164e+08 ; -7.012183e+08 + i -4.385217e+08 ; -1.534304e+09 + i 5.505619e+09 ; -3.373582e+09 + i -2.316367e+09 ; -1.334871e+09 + i -1.765298e+08 ; 3.486963e+09 + i 1.903394e+09 ; -1.332373e+09 + i -8.941113e+07 ; -2.195641e+08 + i 1.603155e+07 ; 4.331173e+08 + i -4.074691e+07 ; 5.599687e+07 + i 8.584136e+07 ; -1.914927e+08 + i -3.029495e+07 ; 9.636583e+07 + i -1.193039e+08 ; 4.443319e+07 + i 1.244094e+07 ; -2.744046e+08 + i -6.279549e+08 ; 4.846827e+08 + i 1.715746e+07 ; 1.785047e+07 + i 5.750579e+07 ; -2.616730e+07 + i -4.196251e+08 ; 8.940696e+07 + i -1.282603e+08 ; 2.671251e+07 + i 1.053960e+07 ; -2.241126e+08 + i 9.754386e+07 ; 3.995522e+08 + i -1.701160e+08 ; 7.667847e+07 + i 9.013895e+07 ; -2.208164e+08 + i 3.894975e+07 ; 6.274821e+07 + i -1.550764e+08 ; 4.859542e+07 + i 1.034248e+07 ; -3.426266e+08 + i -3.777945e+08 ; 4.205157e+08 + i -1.708288e+08 ; -2.267537e+07 + i 5.789312e+07 ; -1.645940e+08 + i -3.217842e+08 ; 5.468892e+07 + i -1.544366e+08 ; 1.964359e+07 + i 1.382090e+07 ; 
-6.874569e+08 + i 5.997013e+08 ; -6.800437e+08 + i 6.505090e+08 ; -6.256719e+09 + i 3.322174e+10 ; -7.801041e+07 + i 9.562571e+08 ; -8.159795e+07 + i 7.307420e+08 ; 3.147127e+09 + i 4.714890e+09 ; -1.112773e+08 + i 6.822451e+08 ; -4.589663e+07 + i 1.015789e+09 ; 3.162635e+09 + i 4.765328e+09 ; 1.343041e+08 + i 6.688090e+08 ; 1.907941e+08 + i 7.227720e+08 ; 2.850992e+09 + i 9.809615e+08 ; -1.787750e+08 + i -2.205602e+09 ; -2.078640e+08 + i -2.168755e+09 ; -9.976594e+09 + i -1.146435e+10 ; -3.348042e+09 + i -2.402354e+09 ; -7.202213e+08 + i -4.039156e+08 ; -1.541628e+09 + i 5.461207e+09 ; -7.034408e+08 + i -4.459793e+08 ; -3.373103e+09 + i -2.315579e+09 ; -1.524424e+09 + i 5.511248e+09 ; -1.332836e+09 + i -1.807478e+08 ; -1.333226e+09 + i -9.053384e+07 ; 3.491052e+09 + i 1.908888e+09 ; -2.185075e+08 + i 1.581167e+07 ; 5.600251e+07 + i 8.548721e+07 ; 4.305062e+08 + i -3.948636e+07 ; -1.913403e+08 + i -2.974561e+07 ; 4.423454e+07 + i 1.234432e+07 ; 9.635921e+07 + i -1.184331e+08 ; -2.234043e+08 + i 9.755664e+07 ; 7.663471e+07 + i 8.991737e+07 ; 3.986201e+08 + i -1.699406e+08 ; -2.207164e+08 + i 3.925494e+07 ; 4.856875e+07 + i 1.037629e+07 ; 6.293122e+07 + i -1.548805e+08 ; -2.748708e+08 + i -6.289890e+08 ; 1.773902e+07 + i 5.694542e+07 ; 4.811314e+08 + i 1.651421e+07 ; -2.655198e+07 + i -4.204562e+08 ; 2.640270e+07 + i 1.038546e+07 ; 8.808547e+07 + i -1.267228e+08 ; -3.406881e+08 + i -3.777845e+08 ; -2.258021e+07 + i 5.803228e+07 ; 4.191125e+08 + i -1.722290e+08 ; -1.639085e+08 + i -3.214553e+08 ; 1.961295e+07 + i 1.399578e+07 ; 5.324336e+07 + i -1.541152e+08 ; 
-9.942019e+09 + i -1.155724e+10 ; 6.692143e+07 + i 2.196209e+09 ; 6.640890e+07 + i 2.200333e+09 ; -6.223786e+09 + i 3.293128e+10 ; 7.097363e+08 + i -5.247452e+08 ; 7.126873e+08 + i -5.261388e+08 ; -1.594326e+09 + i 5.347980e+09 ; 3.209183e+09 + i 2.612855e+09 ; 7.270761e+08 + i 4.679801e+08 ; 3.055308e+09 + i 4.559161e+09 ; 1.337680e+08 + i -9.228465e+08 ; 1.417495e+08 + i -6.575476e+08 ; -1.597076e+09 + i 5.351729e+09 ; 7.208843e+08 + i 4.585902e+08 ; 3.208386e+09 + i 2.612722e+09 ; 3.052682e+09 + i 4.566486e+09 ; 1.362769e+08 + i -6.554413e+08 ; 1.306726e+08 + i -9.214621e+08 ; 3.322165e+09 + i 1.808325e+09 ; 1.362086e+09 + i 2.150757e+08 ; 1.361065e+09 + i 2.122440e+08 ; 2.660147e+09 + i 8.708988e+08 ; -1.104631e+08 + i -6.540894e+08 ; -1.135077e+08 + i -6.580414e+08 ; -1.524601e+09 + i -2.081480e+09 ; -1.734734e+08 + i -6.493386e+08 ; -1.728192e+08 + i -6.509308e+08 ; -1.963632e+08 + i -1.420158e+09 ; -2.722940e+08 + i 7.745485e+07 ; -2.732601e+08 + i 7.721898e+07 ; -1.198805e+09 + i 1.305998e+08 ; -1.056239e+09 + i -7.121664e+08 ; -3.008791e+08 + i -2.732121e+08 ; -9.672822e+08 + i -1.963941e+08 ; -3.012365e+08 + i 1.749726e+08 ; -1.712387e+08 + i 1.578817e+08 ; -1.199248e+09 + i 1.313720e+08 ; -2.989656e+08 + i -2.708109e+08 ; -1.055305e+09 + i -7.116777e+08 ; -9.678685e+08 + i -1.963944e+08 ; -1.691098e+08 + i 1.578826e+08 ; -2.999512e+08 + i 1.746502e+08 ; -6.661039e+08 + i 9.369895e+08 ; -6.740875e+08 + i -2.155774e+08 ; -6.736511e+08 + i -2.139973e+08 ; -8.531211e+08 + i 6.719974e+08 ; -1.969301e+08 + i 1.903283e+08 ; -1.958059e+08 + i 1.918324e+08 ; 
2.938622e+08 + i -9.682973e+08 ; 3.202819e+09 + i 4.683529e+09 ; -1.442482e+08 + i 7.243733e+08 ; 7.376937e+08 + i -4.268447e+08 ; -6.164553e+09 + i 3.309281e+10 ; -7.116194e+08 + i 6.014337e+08 ; 2.417523e+09 + i 3.125463e+09 ; -1.552171e+09 + i 5.475292e+09 ; -6.826634e+08 + i -4.602778e+08 ; -4.698806e+08 + i 1.918452e+09 ; -9.925970e+09 + i -1.158623e+10 ; -1.696790e+07 + i -2.175876e+09 ; -1.845046e+07 + i -7.492568e+08 ; 2.865517e+09 + i 9.526533e+08 ; 1.290459e+08 + i 7.420425e+08 ; 2.093037e+08 + i -6.636175e+08 ; 3.217350e+09 + i 4.648184e+09 ; -1.103194e+08 + i 1.023125e+09 ; 1.209500e+09 + i 4.410273e+08 ; 3.491288e+09 + i 1.899106e+09 ; -1.326369e+09 + i -1.948150e+08 ; 5.221638e+08 + i 4.779804e+08 ; -1.480926e+09 + i 5.371580e+09 ; -3.169809e+09 + i -2.586147e+09 ; -6.227970e+07 + i 4.970851e+08 ; 7.678408e+08 + i 9.946607e+08 ; -4.498623e+07 + i 2.017353e+08 ; -2.373657e+08 + i 3.710352e+08 ; 4.289948e+08 + i -2.489663e+07 ; 6.812297e+07 + i 9.457656e+07 ; -8.835215e+08 + i -9.188080e+08 ; 1.962196e+08 + i 1.088032e+09 ; -7.055314e+07 + i -6.847215e+07 ; -1.881825e+08 + i -7.832051e+08 ; 4.827583e+08 + i 1.963210e+07 ; -1.777358e+07 + i 4.709039e+07 ; 7.638805e+07 + i 4.121334e+08 ; 8.176122e+08 + i 4.594121e+08 ; 4.158473e+07 + i 2.424886e+08 ; -5.022525e+07 + i 4.130826e+08 ; 4.068201e+08 + i -1.558433e+08 ; 8.464030e+07 + i 8.519029e+07 ; -5.373504e+08 + i -3.134125e+08 ; 7.052786e+08 + i 5.984458e+08 ; -3.308582e+08 + i -7.484152e+07 ; -3.060579e+08 + i -3.477506e+08 ; 4.238116e+08 + i -1.661395e+08 ; -2.798213e+07 + i 7.043331e+07 ; 
2.935136e+08 + i -9.676030e+08 ; -1.453831e+08 + i 7.237716e+08 ; 3.184366e+09 + i 4.690059e+09 ; 7.399548e+08 + i -4.305803e+08 ; -7.126077e+08 + i 6.007598e+08 ; -6.169474e+09 + i 3.308306e+10 ; -1.613227e+07 + i -7.498842e+08 ; 1.277066e+08 + i 7.393830e+08 ; 2.842840e+09 + i 9.547170e+08 ; 2.137973e+08 + i -6.647534e+08 ; -1.087876e+08 + i 1.019480e+09 ; 3.209883e+09 + i 4.612261e+09 ; 2.419780e+09 + i 3.127511e+09 ; -6.816338e+08 + i -4.642419e+08 ; -1.550996e+09 + i 5.471273e+09 ; -4.660431e+08 + i 1.918520e+09 ; -1.576966e+07 + i -2.178747e+09 ; -9.928437e+09 + i -1.159769e+10 ; 1.206222e+09 + i 4.452239e+08 ; -1.327542e+09 + i -1.962528e+08 ; 3.485695e+09 + i 1.910106e+09 ; 5.221113e+08 + i 4.807622e+08 ; -3.169781e+09 + i -2.585136e+09 ; -1.476013e+09 + i 5.380082e+09 ; -6.269940e+07 + i 4.958157e+08 ; -4.474906e+07 + i 2.015048e+08 ; 7.677939e+08 + i 9.933034e+08 ; -2.375197e+08 + i 3.716866e+08 ; 6.794486e+07 + i 9.432329e+07 ; 4.291205e+08 + i -2.420890e+07 ; 7.570244e+07 + i 4.115240e+08 ; 4.185454e+07 + i 2.420151e+08 ; 8.174523e+08 + i 4.581496e+08 ; -5.144866e+07 + i 4.134326e+08 ; 8.449982e+07 + i 8.515926e+07 ; 4.076102e+08 + i -1.552672e+08 ; -8.848732e+08 + i -9.191917e+08 ; -7.044562e+07 + i -6.932149e+07 ; 1.947412e+08 + i 1.084748e+09 ; -1.899242e+08 + i -7.828964e+08 ; -1.803574e+07 + i 4.647025e+07 ; 4.798497e+08 + i 1.894811e+07 ; -5.365127e+08 + i -3.159287e+08 ; -3.307508e+08 + i -7.428017e+07 ; 7.079175e+08 + i 5.951217e+08 ; -3.057358e+08 + i -3.489452e+08 ; -2.816794e+07 + i 7.061235e+07 ; 4.224701e+08 + i -1.688419e+08 ; 
3.206675e+09 + i 4.618848e+09 ; -2.969395e+07 + i -1.141234e+09 ; -1.401179e+08 + i 7.283080e+08 ; -1.672881e+09 + i 5.302530e+09 ; 2.396023e+09 + i 3.322541e+09 ; -6.692806e+08 + i -4.514377e+08 ; -6.147353e+09 + i 3.312996e+10 ; 7.732002e+08 + i -6.279205e+08 ; -7.255969e+08 + i 5.984125e+08 ; -9.932462e+09 + i -1.165191e+10 ; -1.104856e+08 + i 2.250651e+09 ; -7.368475e+06 + i -2.181032e+09 ; 2.795168e+09 + i 8.201229e+08 ; -3.341275e+07 + i -6.997624e+08 ; 1.336958e+08 + i 7.444970e+08 ; 3.318451e+09 + i 1.796941e+09 ; 1.259838e+09 + i 4.907188e+08 ; -1.311834e+09 + i -1.830651e+08 ; 3.150364e+09 + i 4.640499e+09 ; 1.892447e+08 + i -6.842329e+08 ; -1.224641e+08 + i 1.020807e+09 ; -1.611103e+09 + i 5.347547e+09 ; 5.936698e+08 + i 5.396747e+08 ; -3.176834e+09 + i -2.593019e+09 ; -9.726112e+08 + i -1.885665e+08 ; 3.004641e+08 + i -5.128774e+07 ; -8.369249e+07 + i 1.129664e+08 ; -6.161330e+08 + i -3.719487e+08 ; 3.684455e+07 + i -9.205313e+07 ; 3.230891e+07 + i 7.778148e+07 ; -1.857627e+08 + i -1.424788e+09 ; 1.723539e+08 + i -3.861533e+07 ; -1.364475e+08 + i 6.301729e+07 ; 2.234521e+08 + i -6.699967e+08 ; 1.067553e+07 + i -9.035028e+07 ; 1.053158e+07 + i 8.131164e+07 ; -8.454107e+08 + i 6.696932e+08 ; 2.009290e+08 + i -1.070894e+08 ; -1.633598e+08 + i 1.342187e+08 ; -9.317365e+08 + i 3.157879e+08 ; 8.373995e+06 + i -9.145427e+07 ; 1.167948e+07 + i 8.369390e+07 ; -9.664238e+08 + i -2.038874e+08 ; 1.200054e+08 + i -1.023611e+08 ; -2.595100e+08 + i 9.990495e+07 ; -6.090938e+08 + i -3.793697e+08 ; -1.472209e+07 + i -9.036419e+07 ; -1.399848e+07 + i 8.859097e+07 ; 
3.846045e+08 + i 2.413864e+09 ; -1.001046e+10 + i -1.144620e+10 ; 3.737250e+07 + i 2.188559e+09 ; 3.106764e+09 + i 2.686968e+09 ; -1.621365e+09 + i 5.460159e+09 ; 6.907558e+08 + i 4.560905e+08 ; 7.510767e+08 + i -6.532094e+08 ; -6.225373e+09 + i 3.322236e+10 ; 7.412341e+08 + i -6.105236e+08 ; -2.113987e+08 + i -1.183669e+09 ; 3.205367e+09 + i 4.755900e+09 ; 1.422074e+08 + i -7.369947e+08 ; 7.189097e+08 + i 4.500653e+08 ; -1.537396e+09 + i 5.548776e+09 ; 3.195117e+09 + i 2.605487e+09 ; 1.366084e+09 + i 2.853321e+08 ; 3.460965e+09 + i 1.946181e+09 ; 1.327294e+09 + i 2.024916e+08 ; 8.204427e+07 + i -7.031290e+08 ; 3.200728e+09 + i 4.774940e+09 ; 1.284594e+08 + i -1.019017e+09 ; -1.511177e+08 + i -6.515900e+08 ; 2.908801e+09 + i 9.384293e+08 ; -1.350039e+08 + i -7.419796e+08 ; 1.911820e+08 + i 6.329605e+08 ; 4.774138e+08 + i 1.048444e+06 ; -1.366400e+07 + i -5.988671e+07 ; -2.815755e+07 + i 4.005323e+08 ; 8.733968e+07 + i -1.261119e+08 ; -2.621739e+07 + i -1.267106e+07 ; 1.998843e+08 + i -4.348169e+07 ; 4.265272e+08 + i -4.451713e+07 ; -5.027216e+07 + i -9.143043e+07 ; 1.840499e+08 + i 1.642176e+07 ; 9.033618e+07 + i -1.201419e+08 ; -4.414802e+07 + i -1.600506e+07 ; 2.887630e+08 + i 4.048245e+08 ; 4.117530e+08 + i -1.742926e+08 ; 2.700311e+07 + i -5.617649e+07 ; 1.156859e+08 + i 3.304706e+08 ; 5.460574e+07 + i -1.515109e+08 ; -1.879410e+07 + i -1.511810e+07 ; 2.072732e+08 + i -9.637544e+07 ; 3.964739e+08 + i -1.683557e+08 ; -7.046114e+07 + i -9.696271e+07 ; 2.070091e+08 + i -3.665509e+07 ; 5.863907e+07 + i -1.535831e+08 ; -4.835994e+07 + i -1.410195e+07 ; 
-1.671730e+08 + i 6.815215e+08 ; 3.361875e+08 + i -9.203517e+08 ; 3.186214e+09 + i 4.730581e+09 ; 6.947451e+07 + i 6.830219e+08 ; 5.643618e+07 + i -7.239035e+08 ; 2.847531e+09 + i 9.559955e+08 ; -7.204621e+08 + i 5.545631e+08 ; 8.069801e+08 + i -4.158881e+08 ; -6.223807e+09 + i 3.320586e+10 ; -1.421956e+08 + i 9.531835e+08 ; 2.902700e+08 + i -6.774674e+08 ; 3.139380e+09 + i 4.694369e+09 ; -7.226307e+08 + i -5.676944e+08 ; 2.400452e+09 + i 3.115291e+09 ; -1.538056e+09 + i 5.521013e+09 ; -1.325875e+09 + i -3.273876e+08 ; 1.216269e+09 + i 5.525909e+08 ; 3.489976e+09 + i 1.916699e+09 ; -2.527530e+07 + i -2.181359e+09 ; -4.465553e+08 + i 2.014917e+09 ; -9.997095e+09 + i -1.146652e+10 ; -3.159189e+09 + i -2.601474e+09 ; 6.150431e+08 + i 6.232547e+08 ; -1.553169e+09 + i 5.474764e+09 ; -2.280847e+08 + i 8.077599e+07 ; -4.456904e+07 + i -1.111536e+08 ; 3.948060e+08 + i -1.690878e+08 ; -2.217051e+08 + i 2.326717e+07 ; -4.355407e+07 + i -2.666953e+07 ; 6.196777e+07 + i -1.527351e+08 ; -2.212007e+08 + i -1.050790e+06 ; -2.788450e+07 + i -1.018868e+08 ; 4.259958e+08 + i -4.097957e+07 ; -1.901362e+08 + i -4.549804e+07 ; -3.994070e+07 + i -2.599608e+07 ; 9.547708e+07 + i -1.174637e+08 ; -3.089632e+08 + i -3.993930e+08 ; 4.362497e+07 + i -4.641654e+07 ; 4.160573e+08 + i -1.719711e+08 ; -1.394293e+08 + i -3.300175e+08 ; -1.278035e+07 + i -1.987530e+07 ; 5.231887e+07 + i -1.525560e+08 ; -2.300651e+08 + i -6.456235e+08 ; 7.527766e+06 + i -5.811849e+07 ; 4.796752e+08 + i 1.614529e+07 ; 3.269659e+06 + i -4.218333e+08 ; -2.048776e+07 + i -1.826676e+07 ; 8.781119e+07 + i -1.260028e+08 ; 
-1.676094e+09 + i 5.248204e+09 ; -2.212074e+09 + i -3.043240e+09 ; 6.972137e+08 + i 5.238407e+08 ; 3.054887e+09 + i 4.578159e+09 ; 2.566117e+08 + i 1.350248e+09 ; 1.815849e+08 + i -6.476302e+08 ; -9.924218e+09 + i -1.167352e+10 ; -1.250989e+08 + i -2.508607e+09 ; -7.393307e+07 + i 2.214637e+09 ; -6.227462e+09 + i 3.293482e+10 ; -7.381478e+08 + i 2.916247e+08 ; 7.507966e+08 + i -4.822797e+08 ; 3.277313e+09 + i 1.814581e+09 ; -1.244843e+09 + i -5.545128e+08 ; 1.355089e+09 + i 2.941673e+08 ; 2.649466e+09 + i 8.474337e+08 ; 6.115287e+07 + i 5.637579e+08 ; -7.451638e+07 + i -6.688721e+08 ; -1.629386e+09 + i 5.360008e+09 ; -6.442000e+08 + i -5.255408e+08 ; 3.064309e+09 + i 2.824334e+09 ; 3.034709e+09 + i 4.571686e+09 ; -1.711040e+08 + i 6.076976e+08 ; 1.915165e+08 + i -9.190418e+08 ; -1.170485e+09 + i 1.593833e+08 ; 7.012459e+08 + i 7.688578e+08 ; -2.838394e+08 + i -2.957523e+08 ; -9.637876e+08 + i -1.771267e+08 ; 2.460413e+08 + i -7.657827e+07 ; -1.809641e+08 + i 1.463477e+08 ; -1.521337e+09 + i -2.077868e+09 ; -1.308482e+08 + i 4.750877e+08 ; -1.320965e+08 + i -6.636786e+08 ; -1.918963e+08 + i -1.427116e+09 ; 1.992199e+08 + i 2.112807e+06 ; -2.798401e+08 + i 6.037734e+07 ; -6.404080e+08 + i 9.399261e+08 ; 4.822340e+08 + i 3.089888e+08 ; -6.628159e+08 + i -2.557996e+08 ; -8.372902e+08 + i 6.825047e+08 ; 1.797498e+08 + i -1.003115e+08 ; -2.077655e+08 + i 1.806400e+08 ; -1.198980e+09 + i 1.257613e+08 ; 1.189900e+08 + i 2.682202e+08 ; -1.016678e+09 + i -7.806084e+08 ; -9.704925e+08 + i -2.051591e+08 ; 1.464409e+08 + i -8.313920e+07 ; -3.131940e+08 + i 1.570245e+08 ; 
-2.226083e+09 + i -2.946008e+09 ; -1.617575e+09 + i 5.377183e+09 ; 6.562928e+08 + i 5.014336e+08 ; -1.139302e+08 + i -2.335322e+09 ; -9.916387e+09 + i -1.163673e+10 ; -1.148601e+08 + i 2.180985e+09 ; 2.914024e+08 + i 1.487944e+09 ; 3.200154e+09 + i 4.783838e+09 ; 1.915405e+08 + i -7.260504e+08 ; -6.902427e+08 + i 3.935949e+08 ; -6.211040e+09 + i 3.310275e+10 ; 7.565555e+08 + i -5.703618e+08 ; -1.221127e+09 + i -4.640897e+08 ; 3.429295e+09 + i 1.934326e+09 ; 1.316146e+09 + i 2.788818e+08 ; -5.933558e+08 + i -3.969274e+08 ; -1.501314e+09 + i 5.407770e+09 ; 3.018008e+09 + i 2.795722e+09 ; 1.280810e+08 + i 6.766840e+08 ; 2.908756e+09 + i 9.260319e+08 ; -8.602885e+07 + i -7.530505e+08 ; -1.024017e+08 + i 6.833654e+08 ; 3.239870e+09 + i 4.644824e+09 ; 1.706559e+08 + i -1.017116e+09 ; 8.872081e+08 + i 8.945099e+08 ; 2.398028e+08 + i 1.111192e+09 ; 6.746005e+07 + i 7.161140e+07 ; 2.197650e+08 + i 7.576204e+08 ; 4.906381e+08 + i 1.788637e+07 ; 2.032448e+07 + i -4.664498e+07 ; 2.004229e+08 + i -3.477793e+08 ; 7.733555e+08 + i 9.827146e+08 ; 5.729793e+07 + i -2.022326e+08 ; 2.721366e+08 + i -2.469838e+08 ; 4.314221e+08 + i -3.912810e+07 ; -6.330830e+07 + i -9.996863e+07 ; 5.358431e+08 + i 2.904448e+08 ; 7.271561e+08 + i 5.962561e+08 ; 3.268522e+08 + i 9.581298e+07 ; 3.191817e+08 + i 3.188714e+08 ; 4.270761e+08 + i -1.681559e+08 ; 3.186019e+07 + i -6.844961e+07 ; 1.256696e+07 + i -3.504409e+08 ; 8.189906e+08 + i 4.510678e+08 ; -2.742709e+07 + i -2.463713e+08 ; 1.036812e+08 + i -3.502980e+08 ; 4.041222e+08 + i -1.685698e+08 ; -8.031546e+07 + i -9.062459e+07 ; 
