-4.960167e+09 + i 2.909118e+10 ; -3.238154e+08 + i 5.980237e+08 ; -3.251733e+08 + i 6.005897e+08 ; -8.591615e+09 + i -8.387720e+09 ; -4.720170e+08 + i -1.553606e+09 ; -4.743966e+08 + i -1.554489e+09 ; 2.797047e+09 + i 3.766045e+09 ; 1.260749e+08 + i 7.840740e+08 ; 1.373867e+08 + i 5.033744e+08 ; -4.810270e+08 + i 4.331695e+09 ; -2.646030e+09 + i -1.509903e+09 ; -5.394331e+08 + i -1.364396e+08 ; 2.798946e+09 + i 3.769386e+09 ; 1.395650e+08 + i 5.000381e+08 ; 1.273893e+08 + i 7.811479e+08 ; -4.824850e+08 + i 4.336084e+09 ; -5.328533e+08 + i -1.323918e+08 ; -2.645376e+09 + i -1.510081e+09 ; 2.474976e+09 + i 5.448939e+07 ; 3.071318e+08 + i 4.790176e+08 ; 3.101420e+08 + i 4.815336e+08 ; 2.799895e+09 + i 5.787975e+08 ; -9.377589e+08 + i 5.799710e+07 ; -9.356368e+08 + i 5.907072e+07 ; -2.953013e+08 + i -1.188652e+09 ; -7.085234e+07 + i 7.649835e+07 ; -7.153926e+07 + i 7.640344e+07 ; 1.049676e+08 + i -6.459490e+08 ; 2.826601e+07 + i 4.275916e+07 ; 2.819643e+07 + i 4.309885e+07 ; -7.259750e+08 + i -1.959906e+07 ; -1.520046e+08 + i 1.070934e+08 ; -1.995332e+07 + i 9.335259e+07 ; -4.998513e+08 + i -1.860796e+08 ; 1.056386e+07 + i 4.858925e+07 ; 4.099957e+07 + i 3.257013e+07 ; -7.255921e+08 + i -1.775628e+07 ; -1.886546e+07 + i 9.361131e+07 ; -1.523500e+08 + i 1.068588e+08 ; -5.001976e+08 + i -1.849119e+08 ; 4.116416e+07 + i 3.219973e+07 ; 1.031457e+07 + i 4.862188e+07 ; -4.063602e+08 + i 6.726842e+08 ; -7.503052e+07 + i 1.118794e+08 ; -7.513887e+07 + i 1.112287e+08 ; -5.231939e+08 + i 4.592194e+08 ; 2.588564e+07 + i 3.737919e+07 ; 2.576305e+07 + i 3.723130e+07 ; 
-3.507718e+08 + i 5.735138e+08 ; -4.995981e+09 + i 2.914197e+10 ; -3.322008e+08 + i 6.057062e+08 ; 8.587611e+07 + i 7.540160e+08 ; 2.783406e+09 + i 3.813554e+09 ; 1.368161e+08 + i 5.004946e+08 ; -4.729522e+08 + i -1.593333e+09 ; -8.633653e+09 + i -8.268865e+09 ; -4.916868e+08 + i -1.555017e+09 ; -2.656594e+09 + i -1.578616e+09 ; -4.254441e+08 + i 4.417301e+09 ; -5.563172e+08 + i -1.390583e+08 ; 1.038368e+08 + i 4.774546e+08 ; 2.829763e+09 + i 3.866851e+09 ; 1.228190e+08 + i 7.862060e+08 ; 2.558418e+08 + i 4.600029e+08 ; 2.550408e+09 + i 1.198179e+08 ; 3.106018e+08 + i 4.800549e+08 ; -5.483593e+08 + i -1.719572e+08 ; -4.145049e+08 + i 4.444986e+09 ; -2.663853e+09 + i -1.510050e+09 ; -9.693637e+08 + i -1.217495e+06 ; 2.935210e+09 + i 6.017116e+08 ; -9.523008e+08 + i 5.758912e+07 ; -1.425100e+08 + i 6.854248e+07 ; 2.938944e+08 + i -9.271555e+07 ; 5.126215e+07 + i 4.121760e+07 ; -1.316585e+08 + i 3.127078e+07 ; 3.286340e+07 + i -7.587646e+07 ; 2.612594e+07 + i -2.147226e+06 ; -2.769531e+08 + i -4.525415e+08 ; 3.316011e+08 + i -5.904971e+07 ; 2.155282e+07 + i 3.276602e+07 ; -7.833458e+07 + i -3.211271e+08 ; 2.702216e+07 + i -7.915954e+07 ; 1.545050e+07 + i 1.554621e+06 ; -1.205766e+08 + i 1.373067e+08 ; 2.195016e+08 + i -1.945618e+08 ; 6.551847e+07 + i 4.283772e+07 ; -1.300974e+08 + i 9.508885e+07 ; -5.129350e+06 + i -8.863388e+07 ; 2.835377e+07 + i -3.405913e+06 ; -2.961094e+08 + i -2.328179e+08 ; 2.308514e+08 + i -1.951481e+08 ; -7.171297e+06 + i 3.493391e+07 ; -1.671056e+08 + i -2.071381e+08 ; -9.418464e+06 + i -8.632241e+07 ; 1.063108e+07 + i 3.904847e+06 ; 
-3.517227e+08 + i 5.752902e+08 ; -3.327514e+08 + i 6.062342e+08 ; -4.997520e+09 + i 2.913556e+10 ; 8.748248e+07 + i 7.535722e+08 ; 1.360151e+08 + i 5.011606e+08 ; 2.780989e+09 + i 3.824785e+09 ; 1.026319e+08 + i 4.808529e+08 ; 1.217258e+08 + i 7.824651e+08 ; 2.808016e+09 + i 3.852525e+09 ; 2.577590e+08 + i 4.642225e+08 ; 3.086733e+08 + i 4.793995e+08 ; 2.537966e+09 + i 1.331718e+08 ; -4.749573e+08 + i -1.590588e+09 ; -4.926511e+08 + i -1.557048e+09 ; -8.645538e+09 + i -8.279076e+09 ; -2.657010e+09 + i -1.576731e+09 ; -5.579478e+08 + i -1.413706e+08 ; -4.323601e+08 + i 4.414922e+09 ; -5.532625e+08 + i -1.753146e+08 ; -2.663002e+09 + i -1.509944e+09 ; -4.063433e+08 + i 4.442188e+09 ; -9.705502e+08 + i -4.545749e+06 ; -9.531023e+08 + i 5.740789e+07 ; 2.938299e+09 + i 6.011344e+08 ; -1.420235e+08 + i 6.790325e+07 ; 5.106114e+07 + i 4.108731e+07 ; 2.934622e+08 + i -9.077011e+07 ; -1.311610e+08 + i 3.144528e+07 ; 2.601250e+07 + i -2.068571e+06 ; 3.337097e+07 + i -7.551316e+07 ; -1.202931e+08 + i 1.370838e+08 ; 6.533493e+07 + i 4.276328e+07 ; 2.189542e+08 + i -1.938540e+08 ; -1.299710e+08 + i 9.529482e+07 ; 2.834328e+07 + i -3.352108e+06 ; -4.937093e+06 + i -8.853302e+07 ; -2.777588e+08 + i -4.527311e+08 ; 2.123496e+07 + i 3.254394e+07 ; 3.298096e+08 + i -5.759645e+07 ; -7.896699e+07 + i -3.212508e+08 ; 1.526219e+07 + i 1.640280e+06 ; 2.733950e+07 + i -7.804513e+07 ; -2.950876e+08 + i -2.338238e+08 ; -7.088356e+06 + i 3.491563e+07 ; 2.294975e+08 + i -1.950357e+08 ; -1.665327e+08 + i -2.073843e+08 ; 1.068623e+07 + i 3.985423e+06 ; -9.767913e+06 + i -8.550305e+07 ; 
-8.599226e+09 + i -8.351760e+09 ; 4.078269e+08 + i 1.619796e+09 ; 4.092020e+08 + i 1.622462e+09 ; -4.990672e+09 + i 2.888775e+10 ; 3.796677e+08 + i -5.394350e+08 ; 3.805068e+08 + i -5.413460e+08 ; -4.789147e+08 + i 4.346221e+09 ; 2.622779e+09 + i 1.747591e+09 ; 5.801734e+08 + i 1.785789e+08 ; 2.690645e+09 + i 3.709819e+09 ; -4.848646e+07 + i -7.409129e+08 ; -9.139553e+07 + i -4.754925e+08 ; -4.783768e+08 + i 4.349125e+09 ; 5.731642e+08 + i 1.756774e+08 ; 2.622565e+09 + i 1.747711e+09 ; 2.692647e+09 + i 3.715396e+09 ; -9.322655e+07 + i -4.718696e+08 ; -4.906026e+07 + i -7.388708e+08 ; 2.806762e+09 + i 5.897763e+08 ; 1.002722e+09 + i 1.373121e+07 ; 1.001031e+09 + i 1.292691e+07 ; 2.363870e+09 + i 1.055317e+08 ; -2.483897e+08 + i -4.563698e+08 ; -2.514169e+08 + i -4.566566e+08 ; -1.334820e+09 + i -1.629490e+09 ; -2.229325e+08 + i -4.399736e+08 ; -2.233382e+08 + i -4.411870e+08 ; -2.971049e+08 + i -1.180614e+09 ; -1.552120e+08 + i 1.092466e+08 ; -1.557981e+08 + i 1.095689e+08 ; -8.581078e+08 + i 2.367942e+08 ; -8.412834e+08 + i -4.450893e+08 ; -2.454514e+08 + i -1.298145e+08 ; -7.215645e+08 + i -1.497349e+07 ; -1.697849e+08 + i 1.642633e+08 ; -5.883183e+07 + i 1.392611e+08 ; -8.576087e+08 + i 2.376484e+08 ; -2.435099e+08 + i -1.291954e+08 ; -8.407675e+08 + i -4.452748e+08 ; -7.216903e+08 + i -1.453989e+07 ; -5.780090e+07 + i 1.383618e+08 ; -1.694775e+08 + i 1.635747e+08 ; -2.245121e+08 + i 8.407929e+08 ; -5.022160e+08 + i -8.453766e+07 ; -5.013152e+08 + i -8.399884e+07 ; -4.014816e+08 + i 6.769701e+08 ; -7.946559e+07 + i 1.562579e+08 ; -7.832888e+07 + i 1.563815e+08 ; 
7.575835e+07 + i -8.380604e+08 ; 2.799645e+09 + i 3.769482e+09 ; 9.781634e+07 + i 5.224844e+08 ; 4.575187e+08 + i -5.049283e+08 ; -4.961045e+09 + i 2.900010e+10 ; -3.693102e+08 + i 5.904208e+08 ; 2.205335e+09 + i 2.325415e+09 ; -4.293417e+08 + i 4.430296e+09 ; -5.549153e+08 + i -1.881825e+08 ; -2.093795e+07 + i 1.605036e+09 ; -8.632525e+09 + i -8.370298e+09 ; -3.748348e+08 + i -1.622067e+09 ; -2.021834e+08 + i -5.772435e+08 ; 2.527604e+09 + i 1.118525e+08 ; 2.772953e+08 + i 5.157643e+08 ; -4.153451e+07 + i -5.279243e+08 ; 2.815347e+09 + i 3.747150e+09 ; 8.241956e+07 + i 8.090540e+08 ; 9.772223e+08 + i 2.032545e+08 ; 2.935712e+09 + i 5.969351e+08 ; -9.747216e+08 + i -9.738745e+06 ; 4.805304e+08 + i 2.349136e+08 ; -4.070464e+08 + i 4.334122e+09 ; -2.593303e+09 + i -1.736520e+09 ; 4.663764e+07 + i 3.924111e+08 ; 6.774110e+08 + i 7.643427e+08 ; 1.081550e+07 + i 1.492138e+08 ; -8.926153e+07 + i 3.307799e+08 ; 2.989689e+08 + i -8.123669e+07 ; 6.604895e+07 + i 4.232137e+07 ; -7.890910e+08 + i -6.422110e+08 ; 2.746477e+08 + i 8.412926e+08 ; -5.961509e+07 + i -3.871408e+07 ; -2.786966e+08 + i -5.919074e+08 ; 3.313990e+08 + i -5.666051e+07 ; -5.185673e+06 + i 3.393290e+07 ; 1.490335e+08 + i 2.787771e+08 ; 6.780981e+08 + i 2.538897e+08 ; 7.220628e+07 + i 1.690702e+08 ; 7.303078e+07 + i 2.957815e+08 ; 2.302610e+08 + i -1.907242e+08 ; 7.516656e+07 + i 3.581120e+07 ; -4.408866e+08 + i -1.952024e+08 ; 5.990584e+08 + i 3.401399e+08 ; -2.425303e+08 + i -3.198655e+07 ; -2.812837e+08 + i -2.203735e+08 ; 2.347073e+08 + i -1.948172e+08 ; -1.143290e+07 + i 4.743367e+07 ; 
7.595767e+07 + i -8.375398e+08 ; 9.691141e+07 + i 5.229041e+08 ; 2.793093e+09 + i 3.782280e+09 ; 4.563871e+08 + i -5.075159e+08 ; -3.701165e+08 + i 5.906976e+08 ; -4.967295e+09 + i 2.899764e+10 ; -2.011176e+08 + i -5.791682e+08 ; 2.754634e+08 + i 5.149658e+08 ; 2.514238e+09 + i 1.227750e+08 ; -3.979674e+07 + i -5.311006e+08 ; 8.176537e+07 + i 8.060786e+08 ; 2.796561e+09 + i 3.726812e+09 ; 2.207650e+09 + i 2.324804e+09 ; -5.566312e+08 + i -1.907893e+08 ; -4.317498e+08 + i 4.426082e+09 ; -1.921180e+07 + i 1.602836e+09 ; -3.753835e+08 + i -1.624129e+09 ; -8.638583e+09 + i -8.378103e+09 ; 9.778541e+08 + i 2.074303e+08 ; -9.760857e+08 + i -9.876859e+06 ; 2.936789e+09 + i 6.061651e+08 ; 4.819156e+08 + i 2.369464e+08 ; -2.592389e+09 + i -1.736012e+09 ; -3.984253e+08 + i 4.336249e+09 ; 4.570093e+07 + i 3.920314e+08 ; 1.080112e+07 + i 1.490022e+08 ; 6.763997e+08 + i 7.641306e+08 ; -8.898625e+07 + i 3.309859e+08 ; 6.584320e+07 + i 4.233002e+07 ; 2.993913e+08 + i -8.072315e+07 ; 1.483664e+08 + i 2.790171e+08 ; 7.207847e+07 + i 1.686577e+08 ; 6.771549e+08 + i 2.529294e+08 ; 7.262839e+07 + i 2.967550e+08 ; 7.505779e+07 + i 3.586509e+07 ; 2.308220e+08 + i -1.906659e+08 ; -7.899220e+08 + i -6.415092e+08 ; -5.994321e+07 + i -3.920573e+07 ; 2.720804e+08 + i 8.401452e+08 ; -2.792490e+08 + i -5.907424e+08 ; -5.619949e+06 + i 3.378200e+07 ; 3.297682e+08 + i -5.543626e+07 ; -4.418752e+08 + i -1.970205e+08 ; -2.421838e+08 + i -3.180113e+07 ; 5.987748e+08 + i 3.370078e+08 ; -2.817929e+08 + i -2.213458e+08 ; -1.142728e+07 + i 4.758206e+07 ; 2.327024e+08 + i -1.953304e+08 ; 
2.797655e+09 + i 3.722416e+09 ; -1.945647e+08 + i -8.322237e+08 ; 1.011291e+08 + i 5.229093e+08 ; -5.454432e+08 + i 4.346337e+09 ; 2.251916e+09 + i 2.460923e+09 ; -5.434918e+08 + i -1.868755e+08 ; -4.933559e+09 + i 2.902416e+10 ; 3.985632e+08 + i -6.266461e+08 ; -3.792427e+08 + i 5.921927e+08 ; -8.634445e+09 + i -8.419988e+09 ; 2.939448e+08 + i 1.712753e+09 ; -3.685524e+08 + i -1.627393e+09 ; 2.438785e+09 + i 5.166257e+07 ; -1.916511e+08 + i -5.298208e+08 ; 2.802528e+08 + i 5.157390e+08 ; 2.793665e+09 + i 5.808740e+08 ; 1.008507e+09 + i 2.151877e+08 ; -9.617375e+08 + i -6.638829e+06 ; 2.769890e+09 + i 3.773978e+09 ; -5.096111e+07 + i -5.170677e+08 ; 7.252050e+07 + i 8.106400e+08 ; -4.892542e+08 + i 4.351685e+09 ; 5.270957e+08 + i 2.613515e+08 ; -2.595737e+09 + i -1.740771e+09 ; -7.217918e+08 + i -4.131988e+06 ; 1.976111e+08 + i -8.196734e+07 ; -2.859681e+07 + i 9.352363e+07 ; -5.041346e+08 + i -1.779021e+08 ; 1.921992e+06 + i -5.880945e+07 ; 3.900495e+07 + i 3.650555e+07 ; -2.933454e+08 + i -1.187477e+09 ; 1.075853e+08 + i -7.065833e+07 ; -7.863506e+07 + i 7.228975e+07 ; 1.064589e+08 + i -6.491805e+08 ; -1.806970e+07 + i -5.749626e+07 ; 2.564772e+07 + i 4.634875e+07 ; -3.981639e+08 + i 6.725630e+08 ; 1.115407e+08 + i -1.035039e+08 ; -8.540291e+07 + i 1.080783e+08 ; -5.178967e+08 + i 4.626351e+08 ; -1.771521e+07 + i -4.942247e+07 ; 2.341011e+07 + i 4.009277e+07 ; -7.247814e+08 + i -1.823199e+07 ; 5.223573e+07 + i -1.001815e+08 ; -1.639088e+08 + i 9.825717e+07 ; -5.028614e+08 + i -1.861289e+08 ; -3.494014e+07 + i -4.804440e+07 ; 6.982565e+06 + i 5.081692e+07 ; 
6.767172e+08 + i 1.650586e+09 ; -8.657108e+09 + i -8.241691e+09 ; 3.881190e+08 + i 1.621199e+09 ; 2.574167e+09 + i 1.847906e+09 ; -4.763244e+08 + i 4.444317e+09 ; 5.555600e+08 + i 1.810106e+08 ; 3.623325e+08 + i -6.431468e+08 ; -4.975788e+09 + i 2.911453e+10 ; 3.821173e+08 + i -6.067847e+08 ; -3.528361e+08 + i -7.979347e+08 ; 2.827398e+09 + i 3.819532e+09 ; -1.071407e+08 + i -5.289773e+08 ; 5.626918e+08 + i 1.701700e+08 ; -3.946948e+08 + i 4.473354e+09 ; 2.610322e+09 + i 1.747074e+09 ; 1.016275e+09 + i 5.427127e+07 ; 2.942340e+09 + i 6.364328e+08 ; 9.783712e+08 + i 1.637496e+07 ; -1.284496e+08 + i -4.768801e+08 ; 2.828495e+09 + i 3.840639e+09 ; -6.762067e+07 + i -8.099131e+08 ; -2.598447e+08 + i -4.456013e+08 ; 2.545679e+09 + i 8.210066e+07 ; -2.810069e+08 + i -5.119748e+08 ; 2.232251e+08 + i 4.859035e+08 ; 3.201136e+08 + i -6.681330e+07 ; -2.023107e+07 + i -3.521857e+07 ; 3.503422e+07 + i 3.305934e+08 ; 2.651052e+07 + i -7.748547e+07 ; -1.575018e+07 + i -2.570446e+06 ; 1.190713e+08 + i -8.015807e+07 ; 2.885831e+08 + i -9.121395e+07 ; -5.022251e+07 + i -4.576060e+07 ; 1.208295e+08 + i -3.861075e+07 ; 2.987487e+07 + i -7.324827e+07 ; -2.702728e+07 + i 6.026516e+05 ; 2.729449e+08 + i 2.692155e+08 ; 2.239720e+08 + i -1.941315e+08 ; 9.712671e+06 + i -3.482111e+07 ; 1.420092e+08 + i 2.316839e+08 ; -8.428523e+06 + i -8.527993e+07 ; -1.046222e+07 + i -4.508443e+06 ; 1.118519e+08 + i -1.316657e+08 ; 2.188814e+08 + i -1.919204e+08 ; -6.426475e+07 + i -4.826117e+07 ; 1.237515e+08 + i -8.946782e+07 ; -5.943703e+06 + i -8.586773e+07 ; -2.923955e+07 + i 1.706960e+06 ; 
6.837160e+07 + i 5.047669e+08 ; 1.188874e+08 + i -8.128133e+08 ; 2.806580e+09 + i 3.813332e+09 ; 2.219560e+08 + i 5.012913e+08 ; -1.480656e+08 + i -5.851569e+08 ; 2.518223e+09 + i 1.202708e+08 ; -3.882929e+08 + i 5.581132e+08 ; 5.061150e+08 + i -5.060920e+08 ; -4.984035e+09 + i 2.910524e+10 ; 4.250277e+07 + i 7.699291e+08 ; 6.415988e+06 + i -5.597776e+08 ; 2.763612e+09 + i 3.815884e+09 ; -6.124822e+08 + i -2.476217e+08 ; 2.165317e+09 + i 2.335815e+09 ; -4.084387e+08 + i 4.455722e+09 ; -1.011614e+09 + i -1.022868e+08 ; 1.010957e+09 + i 2.809140e+08 ; 2.943013e+09 + i 6.063863e+08 ; -3.604577e+08 + i -1.622488e+09 ; -1.146471e+07 + i 1.676667e+09 ; -8.658693e+09 + i -8.268368e+09 ; -2.565084e+09 + i -1.760881e+09 ; 5.695785e+08 + i 3.145253e+08 ; -4.302831e+08 + i 4.429092e+09 ; -1.305723e+08 + i 1.292126e+08 ; -5.465635e+07 + i -6.572682e+07 ; 2.173926e+08 + i -1.910254e+08 ; -1.376649e+08 + i 8.677974e+07 ; -3.144332e+07 + i -5.898540e+06 ; -3.935327e+06 + i -8.706114e+07 ; -1.501974e+08 + i 5.956802e+07 ; -4.191281e+07 + i -5.986973e+07 ; 2.902106e+08 + i -8.873975e+07 ; -1.368942e+08 + i 2.269860e+07 ; -2.852944e+07 + i -5.506493e+06 ; 3.359462e+07 + i -7.454459e+07 ; -2.797543e+08 + i -2.583329e+08 ; 2.130899e+07 + i -3.438927e+07 ; 2.282145e+08 + i -1.931097e+08 ; -1.526690e+08 + i -2.210378e+08 ; -9.180006e+06 + i -8.202116e+06 ; -9.173173e+06 + i -8.441900e+07 ; -2.503434e+08 + i -4.764215e+08 ; -7.123684e+06 + i -4.177794e+07 ; 3.288094e+08 + i -5.677530e+07 ; -5.853136e+07 + i -3.310251e+08 ; -1.446368e+07 + i -7.012420e+06 ; 2.769502e+07 + i -7.756418e+07 ; 
-5.762320e+08 + i 4.296417e+09 ; -1.948484e+09 + i -2.339547e+09 ; 5.814961e+08 + i 2.246933e+08 ; 2.700198e+09 + i 3.723625e+09 ; 4.919588e+08 + i 9.098476e+08 ; -6.267828e+07 + i -4.857524e+08 ; -8.640181e+09 + i -8.441790e+09 ; -5.745285e+08 + i -1.822658e+09 ; 3.177596e+08 + i 1.677407e+09 ; -4.993732e+09 + i 2.889437e+10 ; -5.007737e+08 + i 3.900293e+08 ; 4.214515e+08 + i -5.282868e+08 ; 2.775622e+09 + i 6.131951e+08 ; -1.009965e+09 + i -2.700296e+08 ; 1.016377e+09 + i 6.968915e+07 ; 2.346396e+09 + i 9.547092e+07 ; 1.726837e+08 + i 4.178816e+08 ; -2.300399e+08 + i -4.791896e+08 ; -4.958168e+08 + i 4.371018e+09 ; -5.471419e+08 + i -2.395207e+08 ; 2.567587e+09 + i 1.931393e+09 ; 2.686223e+09 + i 3.729029e+09 ; 5.061760e+07 + i 4.530075e+08 ; -5.653702e+06 + i -7.573520e+08 ; -8.253628e+08 + i 2.483834e+08 ; 5.730693e+08 + i 5.963621e+08 ; -2.426006e+08 + i -1.493286e+08 ; -7.105957e+08 + i -5.644171e+05 ; 1.707961e+08 + i -7.673780e+07 ; -6.878700e+07 + i 1.366903e+08 ; -1.331008e+09 + i -1.628885e+09 ; -6.209146e+07 + i 4.215182e+08 ; -1.998838e+08 + i -4.621191e+08 ; -2.986599e+08 + i -1.186392e+09 ; 1.415503e+08 + i -2.970348e+07 ; -1.653292e+08 + i 1.024959e+08 ; -2.060390e+08 + i 8.317869e+08 ; 3.881359e+08 + i 2.157116e+08 ; -5.042885e+08 + i -1.148593e+08 ; -3.860212e+08 + i 6.765204e+08 ; 1.062171e+08 + i -9.636234e+07 ; -8.852193e+07 + i 1.541208e+08 ; -8.604971e+08 + i 2.348093e+08 ; 1.201842e+08 + i 1.908921e+08 ; -8.296884e+08 + i -5.024049e+08 ; -7.278113e+08 + i -1.716138e+07 ; 7.782111e+07 + i -8.728942e+07 ; -1.824791e+08 + i 1.571429e+08 ; 
-1.943006e+09 + i -2.263425e+09 ; -5.181827e+08 + i 4.373493e+09 ; 5.511662e+08 + i 2.225504e+08 ; -5.393725e+08 + i -1.695296e+09 ; -8.650000e+09 + i -8.410525e+09 ; 2.850248e+08 + i 1.667021e+09 ; 5.417346e+08 + i 1.001662e+09 ; 2.839969e+09 + i 3.841216e+09 ; -7.199526e+07 + i -5.435285e+08 ; -4.493232e+08 + i 4.511251e+08 ; -4.982648e+09 + i 2.903460e+10 ; 4.082545e+08 + i -5.890096e+08 ; -9.785541e+08 + i -2.126164e+08 ; 2.912595e+09 + i 6.459351e+08 ; 9.893527e+08 + i 7.046735e+07 ; -4.924132e+08 + i -1.576278e+08 ; -4.028610e+08 + i 4.367423e+09 ; 2.533650e+09 + i 1.923605e+09 ; 2.372414e+08 + i 4.784866e+08 ; 2.539570e+09 + i 7.453760e+07 ; -2.530277e+08 + i -5.391257e+08 ; 1.084878e+08 + i 4.861594e+08 ; 2.828572e+09 + i 3.734443e+09 ; -3.616539e+07 + i -8.236734e+08 ; 7.620988e+08 + i 6.187337e+08 ; 3.134520e+08 + i 8.404207e+08 ; 5.799161e+07 + i 4.145342e+07 ; 2.755472e+08 + i 5.561262e+08 ; 3.358834e+08 + i -6.092609e+07 ; 6.782139e+06 + i -3.424773e+07 ; 1.148889e+08 + i -3.349368e+08 ; 6.745313e+08 + i 7.539844e+08 ; -3.630637e+06 + i -1.537819e+08 ; 1.697865e+08 + i -2.546429e+08 ; 2.932579e+08 + i -8.992714e+07 ; -6.553413e+07 + i -4.693467e+07 ; 4.169901e+08 + i 1.810803e+08 ; 6.123843e+08 + i 3.306040e+08 ; 2.444092e+08 + i 4.740726e+07 ; 2.670460e+08 + i 1.969055e+08 ; 2.361230e+08 + i -1.971775e+08 ; 1.445167e+07 + i -4.693222e+07 ; -5.872355e+07 + i -2.719482e+08 ; 6.746834e+08 + i 2.485289e+08 ; -6.396578e+07 + i -1.759137e+08 ; -6.532806e+06 + i -2.754696e+08 ; 2.226163e+08 + i -1.956059e+08 ; -7.449026e+07 + i -4.039080e+07 ; 
