-4.518553e+09 + i 2.535323e+10 ; -1.349412e+08 + i 4.646507e+08 ; -1.346517e+08 + i 4.664130e+08 ; -6.874484e+09 + i -6.176810e+09 ; -4.933808e+08 + i -1.071925e+09 ; -4.947531e+08 + i -1.071771e+09 ; 2.346596e+09 + i 3.041558e+09 ; 1.726145e+08 + i 5.707241e+08 ; 1.812385e+08 + i 2.935772e+08 ; 5.680656e+07 + i 3.337060e+09 ; -1.981558e+09 + i -1.063658e+09 ; -3.712058e+08 + i -2.412425e+07 ; 2.348682e+09 + i 3.042363e+09 ; 1.812943e+08 + i 2.909278e+08 ; 1.720316e+08 + i 5.689037e+08 ; 5.770267e+07 + i 3.340112e+09 ; -3.660355e+08 + i -2.364037e+07 ; -1.981379e+09 + i -1.063925e+09 ; 1.856227e+09 + i -4.014451e+08 ; 2.882719e+08 + i 2.785187e+08 ; 2.907177e+08 + i 2.788855e+08 ; 2.040298e+09 + i -8.270403e+07 ; -6.482300e+08 + i 8.024812e+07 ; -6.467151e+08 + i 7.989528e+07 ; -3.311282e+08 + i -9.438794e+08 ; -3.489532e+07 + i 6.056301e+07 ; -3.520294e+07 + i 6.081467e+07 ; 5.971820e+06 + i -5.614916e+08 ; 2.273746e+07 + i 2.084442e+07 ; 2.285005e+07 + i 2.100284e+07 ; -5.184668e+08 + i 5.346083e+07 ; -9.246978e+07 + i 7.801255e+07 ; 2.378350e+06 + i 6.220843e+07 ; -3.812230e+08 + i -8.002290e+07 ; 9.348601e+06 + i 2.407021e+07 ; 2.789254e+07 + i 1.091355e+07 ; -5.175131e+08 + i 5.421441e+07 ; 3.105952e+06 + i 6.200741e+07 ; -9.268156e+07 + i 7.809852e+07 ; -3.809207e+08 + i -7.937462e+07 ; 2.786396e+07 + i 1.069011e+07 ; 9.295899e+06 + i 2.416700e+07 ; -1.181044e+08 + i 5.115751e+08 ; -3.708649e+07 + i 7.261773e+07 ; -3.741872e+07 + i 7.236380e+07 ; -2.202903e+08 + i 3.932932e+08 ; 1.654937e+07 + i 1.371025e+07 ; 1.644465e+07 + i 1.371836e+07 ; 
-1.551655e+08 + i 4.546221e+08 ; -4.547536e+09 + i 2.540451e+10 ; -1.369833e+08 + i 4.708647e+08 ; 1.427565e+08 + i 5.594937e+08 ; 2.344164e+09 + i 3.083604e+09 ; 1.802611e+08 + i 2.913069e+08 ; -4.970974e+08 + i -1.100635e+09 ; -6.899868e+09 + i -6.071314e+09 ; -5.048504e+08 + i -1.068845e+09 ; -1.994506e+09 + i -1.113365e+09 ; 1.048334e+08 + i 3.390929e+09 ; -3.811607e+08 + i -2.203200e+07 ; 1.553143e+08 + i 2.855534e+08 ; 2.386071e+09 + i 3.102969e+09 ; 1.706835e+08 + i 5.724445e+08 ; 2.540360e+08 + i 2.783774e+08 ; 1.919342e+09 + i -3.826304e+08 ; 2.907745e+08 + i 2.770437e+08 ; -3.801200e+08 + i -4.787820e+07 ; 1.185351e+08 + i 3.409106e+09 ; -1.992455e+09 + i -1.061635e+09 ; -6.744231e+08 + i 4.325548e+07 ; 2.127380e+09 + i -9.943508e+07 ; -6.565588e+08 + i 8.176654e+07 ; -8.070838e+07 + i 7.180321e+07 ; 1.892750e+08 + i -8.855726e+07 ; 3.511728e+07 + i 1.884073e+07 ; -7.786987e+07 + i 4.477694e+07 ; 1.310294e+07 + i -3.872401e+07 ; 1.336586e+07 + i -3.494834e+06 ; -2.378845e+08 + i -3.243837e+08 ; 2.150995e+08 + i -6.861611e+07 ; 1.729476e+07 + i 1.833458e+07 ; -8.970770e+07 + i -2.359943e+08 ; 9.483456e+06 + i -4.017336e+07 ; 8.389869e+06 + i 2.668699e+05 ; -4.548702e+07 + i 1.175245e+08 ; 1.018291e+08 + i -1.484503e+08 ; 4.473151e+07 + i 1.978318e+07 ; -5.800597e+07 + i 8.992443e+07 ; -1.481606e+07 + i -3.449421e+07 ; 1.479740e+07 + i -4.034210e+06 ; -2.282534e+08 + i -1.458370e+08 ; 1.081420e+08 + i -1.488976e+08 ; -2.760783e+06 + i 1.957591e+07 ; -1.380252e+08 + i -1.311493e+08 ; -1.673303e+07 + i -3.292933e+07 ; 5.062182e+06 + i 1.679714e+06 ; 
-1.550880e+08 + i 4.557353e+08 ; -1.369874e+08 + i 4.712905e+08 ; -4.550836e+09 + i 2.540071e+10 ; 1.432523e+08 + i 5.584709e+08 ; 1.802199e+08 + i 2.919478e+08 ; 2.346901e+09 + i 3.089944e+09 ; 1.560766e+08 + i 2.877006e+08 ; 1.686582e+08 + i 5.707586e+08 ; 2.369588e+09 + i 3.100246e+09 ; 2.567637e+08 + i 2.798958e+08 ; 2.895803e+08 + i 2.773413e+08 ; 1.917288e+09 + i -3.707365e+08 ; -4.968015e+08 + i -1.098540e+09 ; -5.060079e+08 + i -1.069588e+09 ; -6.910187e+09 + i -6.073143e+09 ; -1.993851e+09 + i -1.112333e+09 ; -3.829019e+08 + i -2.251598e+07 ; 1.001068e+08 + i 3.392669e+09 ; -3.841855e+08 + i -4.799311e+07 ; -1.991935e+09 + i -1.062052e+09 ; 1.215070e+08 + i 3.404021e+09 ; -6.764322e+08 + i 4.200914e+07 ; -6.570306e+08 + i 8.186864e+07 ; 2.127278e+09 + i -1.005114e+08 ; -8.069802e+07 + i 7.128499e+07 ; 3.499038e+07 + i 1.888043e+07 ; 1.898857e+08 + i -8.759779e+07 ; -7.754632e+07 + i 4.458266e+07 ; 1.336088e+07 + i -3.425224e+06 ; 1.344337e+07 + i -3.879918e+07 ; -4.538585e+07 + i 1.174246e+08 ; 4.461788e+07 + i 1.984394e+07 ; 1.018848e+08 + i -1.477735e+08 ; -5.783571e+07 + i 9.006975e+07 ; 1.482349e+07 + i -3.998900e+06 ; -1.464238e+07 + i -3.449709e+07 ; -2.383216e+08 + i -3.241062e+08 ; 1.705754e+07 + i 1.834362e+07 ; 2.148760e+08 + i -6.740829e+07 ; -9.002670e+07 + i -2.357670e+08 ; 8.345489e+06 + i 3.640616e+05 ; 9.959393e+06 + i -3.993259e+07 ; -2.281468e+08 + i -1.467560e+08 ; -2.755249e+06 + i 1.954762e+07 ; 1.076035e+08 + i -1.482854e+08 ; -1.378560e+08 + i -1.315491e+08 ; 5.109582e+06 + i 1.702183e+06 ; -1.655577e+07 + i -3.250189e+07 ; 
-6.862720e+09 + i -6.147065e+09 ; 4.635821e+08 + i 1.129710e+09 ; 4.652766e+08 + i 1.130844e+09 ; -4.569419e+09 + i 2.519349e+10 ; 1.732278e+08 + i -4.388224e+08 ; 1.730537e+08 + i -4.400228e+08 ; 6.511691e+07 + i 3.345625e+09 ; 2.002435e+09 + i 1.225862e+09 ; 4.034551e+08 + i 4.105363e+07 ; 2.263103e+09 + i 3.012260e+09 ; -1.181873e+08 + i -5.530673e+08 ; -1.564475e+08 + i -2.812959e+08 ; 6.627860e+07 + i 3.346674e+09 ; 3.987147e+08 + i 4.133085e+07 ; 2.002331e+09 + i 1.225844e+09 ; 2.266365e+09 + i 3.014741e+09 ; -1.560904e+08 + i -2.788114e+08 ; -1.176948e+08 + i -5.520156e+08 ; 2.049885e+09 + i -8.038725e+07 ; 6.996316e+08 + i -4.676230e+07 ; 6.985894e+08 + i -4.659656e+07 ; 1.793390e+09 + i -3.465077e+08 ; -2.540608e+08 + i -2.700340e+08 ; -2.554164e+08 + i -2.691878e+08 ; -1.109736e+09 + i -1.271195e+09 ; -1.965266e+08 + i -2.898752e+08 ; -1.971990e+08 + i -2.903791e+08 ; -3.293138e+08 + i -9.390266e+08 ; -8.031486e+07 + i 9.138429e+07 ; -8.049018e+07 + i 9.173978e+07 ; -5.956675e+08 + i 2.376350e+08 ; -6.265411e+08 + i -2.996426e+08 ; -1.708242e+08 + i -5.918400e+07 ; -5.149723e+08 + i 5.383508e+07 ; -9.279459e+07 + i 1.210564e+08 ; -6.698936e+06 + i 8.981885e+07 ; -5.948847e+08 + i 2.378431e+08 ; -1.695640e+08 + i -5.935691e+07 ; -6.263902e+08 + i -2.998284e+08 ; -5.147701e+08 + i 5.409560e+07 ; -6.480314e+06 + i 8.906837e+07 ; -9.290049e+07 + i 1.207039e+08 ; 2.773797e+07 + i 6.048383e+08 ; -3.506800e+08 + i -3.647825e+07 ; -3.500804e+08 + i -3.650642e+07 ; -1.144032e+08 + i 5.114224e+08 ; -2.469682e+07 + i 9.837552e+07 ; -2.417480e+07 + i 9.806100e+07 ; 
-4.520142e+07 + i -6.620795e+08 ; 2.332526e+09 + i 3.045383e+09 ; 1.648173e+08 + i 3.154447e+08 ; 2.415662e+08 + i -4.545546e+08 ; -4.556671e+09 + i 2.529138e+10 ; -1.629621e+08 + i 4.726164e+08 ; 1.832112e+09 + i 1.701633e+09 ; 1.089934e+08 + i 3.399763e+09 ; -3.938850e+08 + i -5.105160e+07 ; 1.957873e+08 + i 1.215957e+09 ; -6.907376e+09 + i -6.137153e+09 ; -4.472592e+08 + i -1.136900e+09 ; -2.538720e+08 + i -3.750017e+08 ; 1.902277e+09 + i -3.753558e+08 ; 2.810512e+08 + i 3.081614e+08 ; -1.416285e+08 + i -3.406889e+08 ; 2.354155e+09 + i 3.026284e+09 ; 1.494913e+08 + i 5.968372e+08 ; 7.275979e+08 + i 7.290259e+07 ; 2.125835e+09 + i -1.025158e+08 ; -6.816457e+08 + i 4.412072e+07 ; 3.685835e+08 + i 8.192107e+07 ; 1.051959e+08 + i 3.329893e+09 ; -1.981962e+09 + i -1.221317e+09 ; 8.601401e+07 + i 2.817522e+08 ; 5.596580e+08 + i 5.851472e+08 ; 2.812571e+07 + i 9.983512e+07 ; -7.829967e+06 + i 2.508607e+08 ; 1.964496e+08 + i -8.368976e+07 ; 4.690716e+07 + i 1.425690e+07 ; -6.360520e+08 + i -4.400823e+08 ; 2.748068e+08 + i 6.306104e+08 ; -4.385818e+07 + i -2.139507e+07 ; -2.756216e+08 + i -4.137220e+08 ; 2.158443e+08 + i -6.701680e+07 ; -5.402273e+05 + i 2.388857e+07 ; 1.431991e+08 + i 1.647819e+08 ; 5.158297e+08 + i 1.332686e+08 ; 6.969397e+07 + i 1.115259e+08 ; 9.991299e+07 + i 1.782062e+08 ; 1.086573e+08 + i -1.504827e+08 ; 5.229397e+07 + i 1.065066e+07 ; -3.344268e+08 + i -1.221616e+08 ; 4.565107e+08 + i 1.847003e+08 ; -1.712068e+08 + i -1.841537e+07 ; -2.221578e+08 + i -1.324032e+08 ; 1.099511e+08 + i -1.502623e+08 ; -5.455907e+06 + i 3.145511e+07 ; 
-4.492186e+07 + i -6.618835e+08 ; 1.646155e+08 + i 3.160723e+08 ; 2.334328e+09 + i 3.054635e+09 ; 2.401743e+08 + i -4.550043e+08 ; -1.632009e+08 + i 4.730700e+08 ; -4.560362e+09 + i 2.529186e+10 ; -2.542638e+08 + i -3.766013e+08 ; 2.798534e+08 + i 3.083726e+08 ; 1.898022e+09 + i -3.636695e+08 ; -1.421472e+08 + i -3.430460e+08 ; 1.479881e+08 + i 5.952632e+08 ; 2.336061e+09 + i 3.019101e+09 ; 1.832767e+09 + i 1.700215e+09 ; -3.958801e+08 + i -5.159089e+07 ; 1.052604e+08 + i 3.398499e+09 ; 1.955588e+08 + i 1.214247e+09 ; -4.481901e+08 + i -1.137912e+09 ; -6.914469e+09 + i -6.140618e+09 ; 7.297752e+08 + i 7.482230e+07 ; -6.824317e+08 + i 4.462460e+07 ; 2.129499e+09 + i -9.714265e+07 ; 3.703488e+08 + i 8.263979e+07 ; -1.981153e+09 + i -1.221638e+09 ; 1.113152e+08 + i 3.326459e+09 ; 8.542987e+07 + i 2.819691e+08 ; 2.804428e+07 + i 9.975084e+07 ; 5.592327e+08 + i 5.858224e+08 ; -7.720279e+06 + i 2.507839e+08 ; 4.683441e+07 + i 1.434345e+07 ; 1.969876e+08 + i -8.356575e+07 ; 1.430778e+08 + i 1.652092e+08 ; 6.946026e+07 + i 1.113733e+08 ; 5.146897e+08 + i 1.331428e+08 ; 1.001926e+08 + i 1.788676e+08 ; 5.226141e+07 + i 1.072895e+07 ; 1.089860e+08 + i -1.505459e+08 ; -6.360549e+08 + i -4.393867e+08 ; -4.420161e+07 + i -2.154064e+07 ; 2.730180e+08 + i 6.310295e+08 ; -2.753292e+08 + i -4.129896e+08 ; -7.964615e+05 + i 2.398652e+07 ; 2.156472e+08 + i -6.589341e+07 ; -3.357139e+08 + i -1.226655e+08 ; -1.709856e+08 + i -1.847011e+07 ; 4.550650e+08 + i 1.832043e+08 ; -2.229080e+08 + i -1.327241e+08 ; -5.412616e+06 + i 3.151723e+07 ; 1.088503e+08 + i -1.496822e+08 ; 
2.327998e+09 + i 3.008675e+09 ; -2.138937e+08 + i -5.855285e+08 ; 1.664341e+08 + i 3.149231e+08 ; 2.433695e+07 + i 3.363863e+09 ; 1.891615e+09 + i 1.775966e+09 ; -3.866909e+08 + i -5.293635e+07 ; -4.531357e+09 + i 2.530131e+10 ; 1.717430e+08 + i -5.011029e+08 ; -1.690404e+08 + i 4.759062e+08 ; -6.909211e+09 + i -6.179767e+09 ; 4.058781e+08 + i 1.219923e+09 ; -4.436222e+08 + i -1.141813e+09 ; 1.833918e+09 + i -3.879667e+08 ; -2.298930e+08 + i -3.452896e+08 ; 2.825207e+08 + i 3.077313e+08 ; 2.035311e+09 + i -7.974558e+07 ; 7.377387e+08 + i 7.670713e+07 ; -6.730671e+08 + i 4.327593e+07 ; 2.334420e+09 + i 3.058039e+09 ; -1.344108e+08 + i -3.271370e+08 ; 1.429595e+08 + i 6.003001e+08 ; 6.037317e+07 + i 3.351702e+09 ; 3.922206e+08 + i 9.848616e+07 ; -1.982957e+09 + i -1.225343e+09 ; -5.095622e+08 + i 6.221167e+07 ; 1.210391e+08 + i -7.116100e+07 ; -2.377058e+06 + i 6.464690e+07 ; -3.802042e+08 + i -7.248567e+07 ; -5.947472e+06 + i -3.066115e+07 ; 2.797169e+07 + i 1.335020e+07 ; -3.296246e+08 + i -9.437925e+08 ; 5.740512e+07 + i -6.661712e+07 ; -4.041160e+07 + i 6.035628e+07 ; 5.036592e+06 + i -5.632993e+08 ; -2.082850e+07 + i -3.050587e+07 ; 2.238524e+07 + i 2.326480e+07 ; -1.138613e+08 + i 5.078625e+08 ; 5.729126e+07 + i -7.410254e+07 ; -4.344179e+07 + i 7.253716e+07 ; -2.159433e+08 + i 3.926597e+08 ; -1.584391e+07 + i -2.005495e+07 ; 1.611621e+07 + i 1.535078e+07 ; -5.174944e+08 + i 5.390726e+07 ; 1.377383e+07 + i -7.414109e+07 ; -1.008109e+08 + i 7.511110e+07 ; -3.826887e+08 + i -7.840871e+07 ; -2.841497e+07 + i -1.963875e+07 ; 8.230769e+06 + i 2.571957e+07 ; 
6.354617e+08 + i 1.082430e+09 ; -6.898873e+09 + i -6.041299e+09 ; 4.522387e+08 + i 1.133253e+09 ; 1.998896e+09 + i 1.308735e+09 ; 8.485679e+07 + i 3.419861e+09 ; 3.899330e+08 + i 4.666982e+07 ; 1.333743e+08 + i -5.001689e+08 ; -4.547718e+09 + i 2.537595e+10 ; 1.646980e+08 + i -4.851396e+08 ; -3.200453e+08 + i -5.156836e+08 ; 2.367478e+09 + i 3.072405e+09 ; -1.737614e+08 + i -3.148165e+08 ; 3.857014e+08 + i 4.130985e+07 ; 1.412405e+08 + i 3.418304e+09 ; 1.994177e+09 + i 1.228203e+09 ; 7.080687e+08 + i -2.314668e+07 ; 2.144304e+09 + i -8.513519e+07 ; 6.863343e+08 + i -4.062395e+07 ; -1.672106e+08 + i -2.749965e+08 ; 2.374478e+09 + i 3.089352e+09 ; -1.389505e+08 + i -6.007206e+08 ; -2.499439e+08 + i -2.675010e+08 ; 1.900629e+09 + i -3.991438e+08 ; -2.816896e+08 + i -3.042672e+08 ; 2.121927e+08 + i 3.599482e+08 ; 2.052817e+08 + i -6.991140e+07 ; -1.707930e+07 + i -1.982750e+07 ; 6.537989e+07 + i 2.549478e+08 ; 9.510533e+06 + i -3.908302e+07 ; -8.620954e+06 + i -7.094993e+05 ; 6.188320e+07 + i -7.253447e+07 ; 1.872438e+08 + i -8.573102e+07 ; -3.548407e+07 + i -2.128361e+07 ; 6.811971e+07 + i -4.619748e+07 ; 1.277105e+07 + i -3.651854e+07 ; -1.396482e+07 + i 2.968755e+06 ; 2.240225e+08 + i 1.729819e+08 ; 1.042067e+08 + i -1.462717e+08 ; 4.148039e+06 + i -1.975621e+07 ; 1.308752e+08 + i 1.519166e+08 ; -1.620685e+07 + i -3.280660e+07 ; -4.958872e+06 + i -1.980633e+06 ; 4.166965e+07 + i -1.125859e+08 ; 1.026634e+08 + i -1.468705e+08 ; -4.501620e+07 + i -2.289885e+07 ; 5.578331e+07 + i -8.555154e+07 ; -1.402412e+07 + i -3.309918e+07 ; -1.540857e+07 + i 3.361032e+06 ; 
1.444021e+08 + i 3.136811e+08 ; -1.007892e+07 + i -6.535094e+08 ; 2.351843e+09 + i 3.073131e+09 ; 2.472961e+08 + i 3.141368e+08 ; -2.252737e+08 + i -3.927730e+08 ; 1.898991e+09 + i -3.674983e+08 ; -1.831544e+08 + i 4.542594e+08 ; 2.764083e+08 + i -4.606804e+08 ; -4.556086e+09 + i 2.537474e+10 ; 1.157194e+08 + i 5.786477e+08 ; -1.204065e+08 + i -3.705848e+08 ; 2.332172e+09 + i 3.092990e+09 ; -4.433782e+08 + i -7.584127e+07 ; 1.798200e+09 + i 1.731560e+09 ; 1.262384e+08 + i 3.412531e+09 ; -7.248096e+08 + i -9.182650e+06 ; 7.654860e+08 + i 1.185490e+08 ; 2.132387e+09 + i -1.001378e+08 ; -4.266905e+08 + i -1.148036e+09 ; 2.008033e+08 + i 1.279381e+09 ; -6.912784e+09 + i -6.061052e+09 ; -1.957461e+09 + i -1.256980e+09 ; 4.368468e+08 + i 1.235846e+08 ; 1.079424e+08 + i 3.398910e+09 ; -5.413038e+07 + i 1.164893e+08 ; -4.409121e+07 + i -3.492644e+07 ; 1.024016e+08 + i -1.455102e+08 ; -6.502673e+07 + i 8.811197e+07 ; -1.812066e+07 + i 3.826203e+05 ; -1.353808e+07 + i -3.437682e+07 ; -8.762134e+07 + i 6.889966e+07 ; -3.482096e+07 + i -3.090532e+07 ; 1.893088e+08 + i -8.508291e+07 ; -8.305371e+07 + i 4.160362e+07 ; -1.598478e+07 + i 5.272512e+05 ; 1.399265e+07 + i -3.853361e+07 ; -2.235975e+08 + i -1.665074e+08 ; 1.016738e+07 + i -2.189816e+07 ; 1.078509e+08 + i -1.467983e+08 ; -1.320860e+08 + i -1.438567e+08 ; -4.993169e+06 + i -3.837492e+06 ; -1.586965e+07 + i -3.236623e+07 ; -2.237783e+08 + i -3.461228e+08 ; -1.123471e+07 + i -2.716623e+07 ; 2.148354e+08 + i -6.648205e+07 ; -7.811870e+07 + i -2.470431e+08 ; -8.730396e+06 + i -3.268795e+06 ; 1.033418e+07 + i -3.990468e+07 ; 
-2.181902e+07 + i 3.336066e+09 ; -1.614719e+09 + i -1.809279e+09 ; 4.171727e+08 + i 6.860929e+07 ; 2.275134e+09 + i 3.017408e+09 ; 4.768113e+08 + i 5.372563e+08 ; -1.428685e+08 + i -2.965818e+08 ; -6.923286e+09 + i -6.191932e+09 ; -6.419779e+08 + i -1.212135e+09 ; 4.181518e+08 + i 1.188798e+09 ; -4.568182e+09 + i 2.520094e+10 ; -3.058397e+08 + i 3.829604e+08 ; 2.021460e+08 + i -4.438705e+08 ; 2.037079e+09 + i -5.297227e+07 ; -7.478988e+08 + i -1.170065e+08 ; 7.182038e+08 + i -1.215454e+07 ; 1.779163e+09 + i -3.461982e+08 ; 1.904626e+08 + i 2.709009e+08 ; -2.487622e+08 + i -2.891961e+08 ; 6.433864e+07 + i 3.368031e+09 ; -3.956936e+08 + i -8.398065e+07 ; 1.993261e+09 + i 1.361851e+09 ; 2.269430e+09 + i 3.024963e+09 ; 1.222487e+08 + i 2.794666e+08 ; -9.302272e+07 + i -5.748213e+08 ; -5.683522e+08 + i 2.358179e+08 ; 4.597208e+08 + i 4.772584e+08 ; -1.739363e+08 + i -7.133899e+07 ; -5.013810e+08 + i 6.075008e+07 ; 1.190265e+08 + i -6.606102e+07 ; -1.275850e+07 + i 9.144991e+07 ; -1.107293e+09 + i -1.272265e+09 ; -7.495772e+06 + i 3.573035e+08 ; -1.866481e+08 + i -3.092032e+08 ; -3.324735e+08 + i -9.410411e+08 ; 9.731637e+07 + i -3.940605e+07 ; -8.753521e+07 + i 9.027626e+07 ; 3.606026e+07 + i 5.931060e+08 ; 3.020652e+08 + i 1.565098e+08 ; -3.571822e+08 + i -5.601749e+07 ; -1.051091e+08 + i 5.054254e+08 ; 5.675484e+07 + i -7.409526e+07 ; -2.991597e+07 + i 9.915773e+07 ; -5.975792e+08 + i 2.377831e+08 ; 1.060440e+08 + i 1.326852e+08 ; -6.279246e+08 + i -3.403647e+08 ; -5.187290e+08 + i 5.562309e+07 ; 3.358017e+07 + i -6.959947e+07 ; -1.015854e+08 + i 1.196441e+08 ; 
-1.601795e+09 + i -1.753858e+09 ; 2.351325e+07 + i 3.384416e+09 ; 3.998525e+08 + i 7.299394e+07 ; -6.038223e+08 + i -1.123039e+09 ; -6.934922e+09 + i -6.156341e+09 ; 3.975067e+08 + i 1.187720e+09 ; 5.219021e+08 + i 5.947214e+08 ; 2.384454e+09 + i 3.080184e+09 ; -1.577534e+08 + i -3.350019e+08 ; -2.641487e+08 + i 4.179066e+08 ; -4.552228e+09 + i 2.532102e+10 ; 1.863003e+08 + i -4.829607e+08 ; -7.215457e+08 + i -8.112034e+07 ; 2.129039e+09 + i -6.549740e+07 ; 7.029351e+08 + i -7.179843e+06 ; -3.514078e+08 + i -3.201683e+07 ; 1.200153e+08 + i 3.349533e+09 ; 1.972131e+09 + i 1.361111e+09 ; 2.369765e+08 + i 3.028152e+08 ; 1.894162e+09 + i -4.014525e+08 ; -2.722931e+08 + i -3.292986e+08 ; 1.605121e+08 + i 2.931429e+08 ; 2.357980e+09 + i 3.012487e+09 ; -1.204973e+08 + i -6.183205e+08 ; 5.983586e+08 + i 4.368849e+08 ; 2.998220e+08 + i 6.187313e+08 ; 4.306434e+07 + i 2.360884e+07 ; 2.532888e+08 + i 3.941946e+08 ; 2.172536e+08 + i -7.099212e+07 ; 1.521786e+06 + i -2.432133e+07 ; 4.528599e+07 + i -2.917705e+08 ; 5.536771e+08 + i 5.801359e+08 ; -2.503444e+07 + i -1.043204e+08 ; 9.027505e+07 + i -2.267816e+08 ; 1.902907e+08 + i -8.609634e+07 ; -4.786080e+07 + i -1.674050e+07 ; 3.083626e+08 + i 1.264662e+08 ; 4.619774e+08 + i 1.751301e+08 ; 1.748620e+08 + i 2.840800e+07 ; 2.011443e+08 + i 1.273502e+08 ; 1.102175e+08 + i -1.520419e+08 ; 7.553985e+06 + i -3.170610e+07 ; -8.078599e+07 + i -1.903459e+08 ; 5.118804e+08 + i 1.316235e+08 ; -6.580214e+07 + i -1.177746e+08 ; -4.932910e+07 + i -1.888235e+08 ; 1.031936e+08 + i -1.499623e+08 ; -5.298022e+07 + i -1.339177e+07 ; 
