-5.375132e+09 + i 1.903491e+10 ; -2.682107e+07 + i 2.380443e+08 ; -2.636885e+07 + i 2.383184e+08 ; -3.626784e+09 + i -3.960797e+09 ; -2.679768e+08 + i -5.469864e+08 ; -2.683863e+08 + i -5.467599e+08 ; 1.348252e+09 + i 2.068668e+09 ; 1.071450e+08 + i 3.067995e+08 ; 9.594240e+07 + i 9.572926e+07 ; 1.768811e+08 + i 1.875984e+09 ; -9.911589e+08 + i -7.383840e+08 ; -1.533600e+08 + i 4.886305e+06 ; 1.348824e+09 + i 2.068432e+09 ; 9.523640e+07 + i 9.499882e+07 ; 1.066325e+08 + i 3.066153e+08 ; 1.779903e+08 + i 1.876482e+09 ; -1.514871e+08 + i 3.966384e+06 ; -9.911550e+08 + i -7.384135e+08 ; 8.311401e+08 + i -4.137041e+08 ; 1.427084e+08 + i 1.033289e+08 ; 1.434749e+08 + i 1.029427e+08 ; 8.699722e+08 + i -2.733927e+08 ; -3.038191e+08 + i 7.402007e+05 ; -3.036532e+08 + i 2.490675e+05 ; -2.143120e+08 + i -5.739471e+08 ; -1.033299e+07 + i 2.855709e+07 ; -1.029890e+07 + i 2.864925e+07 ; -3.792353e+07 + i -3.546543e+08 ; 8.920293e+06 + i 6.504374e+06 ; 8.961703e+06 + i 6.498855e+06 ; -2.473135e+08 + i 4.647291e+07 ; -4.106063e+07 + i 2.762933e+07 ; 5.657489e+06 + i 2.434445e+07 ; -1.906443e+08 + i -1.444414e+07 ; 1.400323e+06 + i 5.957217e+06 ; 8.567835e+06 + i 2.312663e+06 ; -2.469219e+08 + i 4.640026e+07 ; 5.816463e+06 + i 2.411579e+07 ; -4.104428e+07 + i 2.768076e+07 ; -1.904362e+08 + i -1.438037e+07 ; 8.524503e+06 + i 2.270134e+06 ; 1.406712e+06 + i 5.966557e+06 ; 2.477576e+07 + i 1.893003e+08 ; -1.566263e+07 + i 2.288763e+07 ; -1.578173e+07 + i 2.293744e+07 ; -1.989385e+07 + i 1.512099e+08 ; 2.294490e+06 + i 1.974829e+06 ; 2.293653e+06 + i 1.999515e+06 ; 
-3.469853e+07 + i 2.355223e+08 ; -5.386911e+09 + i 1.907322e+10 ; -2.636592e+07 + i 2.395848e+08 ; 9.548577e+07 + i 3.047657e+08 ; 1.353717e+09 + i 2.091294e+09 ; 9.513927e+07 + i 9.473200e+07 ; -2.708149e+08 + i -5.623150e+08 ; -3.633353e+09 + i -3.891482e+09 ; -2.715725e+08 + i -5.449294e+08 ; -9.992011e+08 + i -7.650935e+08 ; 2.027502e+08 + i 1.899739e+09 ; -1.561031e+08 + i 6.342190e+06 ; 8.650459e+07 + i 9.606109e+07 ; 1.370890e+09 + i 2.091504e+09 ; 1.066164e+08 + i 3.076129e+08 ; 1.318723e+08 + i 1.068466e+08 ; 8.527952e+08 + i -4.181402e+08 ; 1.430755e+08 + i 1.018618e+08 ; -1.582304e+08 + i -7.089945e+06 ; 2.118882e+08 + i 1.905580e+09 ; -9.952569e+08 + i -7.372241e+08 ; -3.163425e+08 + i -1.707767e+07 ; 8.951311e+08 + i -2.894476e+08 ; -3.067093e+08 + i 1.160416e+06 ; -2.677078e+07 + i 4.048704e+07 ; 8.344253e+07 + i -3.967435e+07 ; 1.259367e+07 + i 7.986119e+06 ; -2.685164e+07 + i 2.722306e+07 ; 7.338147e+06 + i -6.692391e+06 ; 4.302912e+06 + i -3.580934e+04 ; -1.267769e+08 + i -1.849744e+08 ; 9.311655e+07 + i -3.091827e+07 ; 7.677207e+06 + i 7.196085e+06 ; -5.459545e+07 + i -1.290215e+08 ; 5.757826e+06 + i -7.696600e+06 ; 2.909995e+06 + i 9.383598e+05 ; -6.348545e+05 + i 5.248245e+07 ; 2.587247e+07 + i -4.769941e+07 ; 1.693491e+07 + i 9.428029e+06 ; -7.794036e+06 + i 4.066547e+07 ; 1.805110e+06 + i 4.739756e+04 ; 5.065523e+06 + i 4.283400e+04 ; -1.114408e+08 + i -7.785333e+07 ; 2.738987e+07 + i -4.767427e+07 ; -2.384919e+06 + i 5.093466e+06 ; -6.899568e+07 + i -6.334836e+07 ; 9.693963e+05 + i 1.418708e+05 ; 1.128905e+06 + i 1.010598e+06 ; 
-3.457559e+07 + i 2.357505e+08 ; -2.628564e+07 + i 2.396477e+08 ; -5.389254e+09 + i 1.907307e+10 ; 9.524615e+07 + i 3.044983e+08 ; 9.529247e+07 + i 9.482414e+07 ; 1.355696e+09 + i 2.092057e+09 ; 8.715660e+07 + i 9.628297e+07 ; 1.056337e+08 + i 3.076861e+08 ; 1.364134e+09 + i 2.093341e+09 ; 1.329472e+08 + i 1.065048e+08 ; 1.428588e+08 + i 1.021633e+08 ; 8.554194e+08 + i -4.144977e+08 ; -2.702434e+08 + i -5.620766e+08 ; -2.720621e+08 + i -5.449264e+08 ; -3.637034e+09 + i -3.889730e+09 ; -9.988194e+08 + i -7.650964e+08 ; -1.565730e+08 + i 6.681736e+06 ; 2.021889e+08 + i 1.901221e+09 ; -1.594082e+08 + i -6.101151e+06 ; -9.953362e+08 + i -7.375052e+08 ; 2.108310e+08 + i 1.903482e+09 ; -3.171247e+08 + i -1.680436e+07 ; -3.068409e+08 + i 1.310734e+06 ; 8.949192e+08 + i -2.886598e+08 ; -2.688573e+07 + i 4.037495e+07 ; 1.258924e+07 + i 8.013487e+06 ; 8.369244e+07 + i -3.967327e+07 ; -2.687438e+07 + i 2.710621e+07 ; 4.312833e+06 + i -2.869181e+04 ; 7.368097e+06 + i -6.752830e+06 ; -5.451459e+05 + i 5.243277e+07 ; 1.693609e+07 + i 9.461508e+06 ; 2.609873e+07 + i -4.762177e+07 ; -7.658628e+06 + i 4.065735e+07 ; 5.078549e+06 + i 4.063117e+04 ; 1.843763e+06 + i -4.719178e+03 ; -1.267646e+08 + i -1.848295e+08 ; 7.633126e+06 + i 7.249567e+06 ; 9.324193e+07 + i -3.069625e+07 ; -5.457758e+07 + i -1.289155e+08 ; 2.918256e+06 + i 9.591298e+05 ; 5.824158e+06 + i -7.724842e+06 ; -1.116482e+08 + i -7.805504e+07 ; -2.382071e+06 + i 5.100315e+06 ; 2.746710e+07 + i -4.748430e+07 ; -6.909007e+07 + i -6.346205e+07 ; 1.145453e+06 + i 1.006933e+06 ; 1.055894e+06 + i 1.535662e+05 ; 
-3.609753e+09 + i -3.954712e+09 ; 2.612308e+08 + i 5.778871e+08 ; 2.620561e+08 + i 5.778109e+08 ; -5.416072e+09 + i 1.895087e+10 ; 3.956222e+07 + i -2.276882e+08 ; 3.929587e+07 + i -2.279432e+08 ; 1.826202e+08 + i 1.875606e+09 ; 1.010695e+09 + i 8.105332e+08 ; 1.660992e+08 + i -1.655709e+06 ; 1.307513e+09 + i 2.060019e+09 ; -8.523799e+07 + i -3.011940e+08 ; -8.850318e+07 + i -8.710313e+07 ; 1.829646e+08 + i 1.875648e+09 ; 1.645484e+08 + i -7.509249e+05 ; 1.010605e+09 + i 8.105537e+08 ; 1.309150e+09 + i 2.059828e+09 ; -8.785201e+07 + i -8.660374e+07 ; -8.495964e+07 + i -3.011071e+08 ; 8.724479e+08 + i -2.766051e+08 ; 3.246967e+08 + i 9.042637e+06 ; 3.244905e+08 + i 9.276669e+06 ; 8.159845e+08 + i -3.862118e+08 ; -1.311936e+08 + i -9.642120e+07 ; -1.313326e+08 + i -9.610152e+07 ; -6.134242e+08 + i -8.325300e+08 ; -9.717835e+07 + i -1.457421e+08 ; -9.747638e+07 + i -1.457095e+08 ; -2.127672e+08 + i -5.733566e+08 ; -2.536745e+07 + i 4.158344e+07 ; -2.534069e+07 + i 4.169216e+07 ; -2.847848e+08 + i 1.309545e+08 ; -3.090060e+08 + i -2.054197e+08 ; -6.977354e+07 + i -2.681420e+07 ; -2.467987e+08 + i 4.588862e+07 ; -3.714461e+07 + i 4.892660e+07 ; 5.089300e+06 + i 2.781428e+07 ; -2.845034e+08 + i 1.307441e+08 ; -6.938843e+07 + i -2.709278e+07 ; -3.089747e+08 + i -2.054672e+08 ; -2.466475e+08 + i 4.587425e+07 ; 5.013200e+06 + i 2.760744e+07 ; -3.720773e+07 + i 4.888859e+07 ; 9.134073e+07 + i 2.245708e+08 ; -1.622441e+08 + i -4.312444e+07 ; -1.621003e+08 + i -4.323277e+07 ; 2.516086e+07 + i 1.886225e+08 ; -7.218798e+06 + i 2.806582e+07 ; -7.168307e+06 + i 2.793151e+07 ; 
-6.582853e+07 + i -3.739759e+08 ; 1.333995e+09 + i 2.083969e+09 ; 9.499860e+07 + i 1.050146e+08 ; 6.474524e+07 + i -2.606627e+08 ; -5.408328e+09 + i 1.902344e+10 ; -3.516389e+07 + i 2.455970e+08 ; 9.877672e+08 + i 1.045101e+09 ; 2.065005e+08 + i 1.900478e+09 ; -1.656758e+08 + i -2.008634e+05 ; 1.747636e+08 + i 6.447220e+08 ; -3.634701e+09 + i -3.926511e+09 ; -2.580886e+08 + i -5.796883e+08 ; -1.496424e+08 + i -1.444211e+08 ; 8.521784e+08 + i -4.102719e+08 ; 1.450570e+08 + i 1.139617e+08 ; -9.698409e+07 + i -1.168890e+08 ; 1.353704e+09 + i 2.060520e+09 ; 1.006256e+08 + i 3.216365e+08 ; 3.486872e+08 + i 4.614400e+07 ; 8.936981e+08 + i -2.899737e+08 ; -3.186933e+08 + i -1.152068e+07 ; 1.622643e+08 + i 8.708963e+05 ; 1.987087e+08 + i 1.869226e+09 ; -1.001516e+09 + i -8.091669e+08 ; 5.835946e+07 + i 1.406199e+08 ; 3.057262e+08 + i 3.799264e+08 ; 1.799656e+07 + i 4.468793e+07 ; 1.878681e+07 + i 1.227820e+08 ; 8.692155e+07 + i -4.009829e+07 ; 1.712332e+07 + i 2.288284e+06 ; -3.285283e+08 + i -2.626680e+08 ; 1.596976e+08 + i 3.629987e+08 ; -1.945332e+07 + i -1.082370e+07 ; -1.542631e+08 + i -2.146856e+08 ; 9.384001e+07 + i -3.066337e+07 ; 7.241938e+05 + i 1.190369e+07 ; 6.714935e+07 + i 6.625547e+07 ; 2.536461e+08 + i 7.152818e+07 ; 3.636488e+07 + i 5.360034e+07 ; 5.060062e+07 + i 6.611976e+07 ; 2.695080e+07 + i -4.961772e+07 ; 1.970613e+07 + i 1.946442e+06 ; -1.635931e+08 + i -8.214242e+07 ; 2.168845e+08 + i 8.229779e+07 ; -8.251309e+07 + i -2.580134e+07 ; -1.051098e+08 + i -6.809358e+07 ; 2.737496e+07 + i -4.829758e+07 ; -2.982075e+06 + i 1.370846e+07 ; 
-6.568753e+07 + i -3.739724e+08 ; 9.515563e+07 + i 1.051373e+08 ; 1.336801e+09 + i 2.085265e+09 ; 6.459034e+07 + i -2.604864e+08 ; -3.509982e+07 + i 2.457444e+08 ; -5.409403e+09 + i 1.902418e+10 ; -1.502348e+08 + i -1.445988e+08 ; 1.448252e+08 + i 1.142365e+08 ; 8.546897e+08 + i -4.055285e+08 ; -9.772513e+07 + i -1.171960e+08 ; 9.972364e+07 + i 3.216114e+08 ; 1.345200e+09 + i 2.062082e+09 ; 9.874391e+08 + i 1.044771e+09 ; -1.661781e+08 + i 2.651279e+05 ; 2.052135e+08 + i 1.901285e+09 ; 1.743108e+08 + i 6.445381e+08 ; -2.586586e+08 + i -5.798311e+08 ; -3.638373e+09 + i -3.925503e+09 ; 3.497085e+08 + i 4.593618e+07 ; -3.186964e+08 + i -1.116053e+07 ; 8.964862e+08 + i -2.889611e+08 ; 1.630044e+08 + i 5.225578e+05 ; -1.001553e+09 + i -8.095793e+08 ; 1.983741e+08 + i 1.866043e+09 ; 5.829775e+07 + i 1.407767e+08 ; 1.796668e+07 + i 4.468614e+07 ; 3.060854e+08 + i 3.801379e+08 ; 1.874445e+07 + i 1.227802e+08 ; 1.713009e+07 + i 2.312409e+06 ; 8.706925e+07 + i -4.024752e+07 ; 6.724984e+07 + i 6.631690e+07 ; 3.627851e+07 + i 5.361874e+07 ; 2.533640e+08 + i 7.196231e+07 ; 5.083244e+07 + i 6.614638e+07 ; 1.972190e+07 + i 1.968156e+06 ; 2.708311e+07 + i -4.970945e+07 ; -3.283462e+08 + i -2.625896e+08 ; -1.957494e+07 + i -1.078064e+07 ; 1.594077e+08 + i 3.634563e+08 ; -1.540482e+08 + i -2.146593e+08 ; 7.012088e+05 + i 1.197660e+07 ; 9.398875e+07 + i -3.047751e+07 ; -1.639955e+08 + i -8.191152e+07 ; -8.248532e+07 + i -2.585052e+07 ; 2.162069e+08 + i 8.242007e+07 ; -1.053782e+08 + i -6.793865e+07 ; -2.959392e+06 + i 1.371985e+07 ; 2.734613e+07 + i -4.796667e+07 ; 
1.327803e+09 + i 2.063202e+09 ; -1.171670e+08 + i -3.130859e+08 ; 9.535751e+07 + i 1.048532e+08 ; 1.710786e+08 + i 1.889547e+09 ; 1.018485e+09 + i 1.064727e+09 ; -1.634885e+08 + i -1.787901e+06 ; -5.396322e+09 + i 1.902437e+10 ; 3.465473e+07 + i -2.566528e+08 ; -3.710161e+07 + i 2.478814e+08 ; -3.636964e+09 + i -3.954030e+09 ; 2.487440e+08 + i 6.265056e+08 ; -2.570282e+08 + i -5.824323e+08 ; 8.299993e+08 + i -4.034202e+08 ; -1.331277e+08 + i -1.391803e+08 ; 1.454951e+08 + i 1.138491e+08 ; 8.684511e+08 + i -2.706329e+08 ; 3.469412e+08 + i 5.479842e+07 ; -3.158410e+08 + i -1.263878e+07 ; 1.351243e+09 + i 2.076900e+09 ; -8.617762e+07 + i -1.154123e+08 ; 9.851150e+07 + i 3.241523e+08 ; 1.821772e+08 + i 1.878437e+09 ; 1.681906e+08 + i 1.746205e+07 ; -1.002051e+09 + i -8.120199e+08 ; -2.413504e+08 + i 4.644855e+07 ; 5.021253e+07 + i -2.604346e+07 ; 4.590430e+06 + i 2.587425e+07 ; -1.873344e+08 + i -1.263579e+07 ; -1.048369e+06 + i -7.128579e+06 ; 8.868437e+06 + i 2.880518e+06 ; -2.137526e+08 + i -5.743584e+08 ; 1.687009e+07 + i -3.414821e+07 ; -1.201723e+07 + i 2.945048e+07 ; -3.836650e+07 + i -3.545314e+08 ; -9.283588e+06 + i -9.467460e+06 ; 9.125608e+06 + i 7.151771e+06 ; 2.443603e+07 + i 1.874151e+08 ; 2.119904e+07 + i -2.367990e+07 ; -1.745632e+07 + i 2.326933e+07 ; -1.931696e+07 + i 1.497779e+08 ; -2.468740e+06 + i -2.759923e+06 ; 2.334504e+06 + i 2.207637e+06 ; -2.468517e+08 + i 4.663220e+07 ; -2.236021e+06 + i -3.042715e+07 ; -4.391384e+07 + i 2.717685e+07 ; -1.902394e+08 + i -1.365381e+07 ; -9.328548e+06 + i -4.554512e+06 ; 1.273326e+06 + i 6.268938e+06 ; 
3.164534e+08 + i 5.324556e+08 ; -3.619248e+09 + i -3.883465e+09 ; 2.574926e+08 + i 5.792787e+08 ; 1.023293e+09 + i 8.439807e+08 ; 2.012002e+08 + i 1.910545e+09 ; 1.621395e+08 + i 8.334593e+05 ; 1.509182e+07 + i -2.419316e+08 ; -5.398880e+09 + i 1.906449e+10 ; 3.295924e+07 + i -2.488278e+08 ; -1.527238e+08 + i -2.568639e+08 ; 1.357196e+09 + i 2.084966e+09 ; -9.737903e+07 + i -1.015994e+08 ; 1.561579e+08 + i 5.213362e+06 ; 2.211958e+08 + i 1.902174e+09 ; 1.007721e+09 + i 8.123384e+08 ; 3.251445e+08 + i 2.329418e+07 ; 9.013651e+08 + i -2.911794e+08 ; 3.209744e+08 + i 1.182050e+07 ; -8.529542e+07 + i -9.092362e+07 ; 1.364164e+09 + i 2.091371e+09 ; -9.689413e+07 + i -3.251791e+08 ; -1.258602e+08 + i -1.054990e+08 ; 8.449547e+08 + i -4.157158e+08 ; -1.442548e+08 + i -1.125870e+08 ; 1.224950e+08 + i 2.031809e+08 ; 8.919974e+07 + i -2.903936e+07 ; -7.693988e+06 + i -7.703557e+06 ; 4.938361e+07 + i 1.407280e+08 ; 5.975111e+06 + i -7.336365e+06 ; -2.970493e+06 + i -1.098752e+06 ; 1.938692e+07 + i -3.655089e+07 ; 8.371850e+07 + i -3.864750e+07 ; -1.277476e+07 + i -8.696308e+06 ; 2.279530e+07 + i -2.533220e+07 ; 7.689824e+06 + i -6.245934e+06 ; -4.438615e+06 + i -1.333193e+05 ; 1.130399e+08 + i 8.755369e+07 ; 2.659779e+07 + i -4.600249e+07 ; 2.824490e+06 + i -5.152834e+06 ; 6.952276e+07 + i 7.075078e+07 ; 1.010208e+06 + i 1.792241e+05 ; -1.083100e+06 + i -1.127719e+06 ; -5.324147e+04 + i -5.021506e+07 ; 2.645068e+07 + i -4.764306e+07 ; -1.713624e+07 + i -1.048668e+07 ; 7.615497e+06 + i -3.891907e+07 ; 2.160794e+06 + i 5.036200e+04 ; -5.228195e+06 + i -2.784165e+05 ; 
9.055397e+07 + i 1.064500e+08 ; -5.002553e+07 + i -3.755091e+08 ; 1.346852e+09 + i 2.089466e+09 ; 1.374592e+08 + i 1.191045e+08 ; -1.445560e+08 + i -1.523952e+08 ; 8.531856e+08 + i -4.067476e+08 ; -4.643103e+07 + i 2.411364e+08 ; 8.056949e+07 + i -2.674858e+08 ; -5.400855e+09 + i 1.906704e+10 ; 8.472369e+07 + i 3.182987e+08 ; -9.454394e+07 + i -1.282571e+08 ; 1.353593e+09 + i 2.098056e+09 ; -1.870431e+08 + i -2.559192e+06 ; 9.768784e+08 + i 1.074388e+09 ; 2.147538e+08 + i 1.904311e+09 ; -3.414148e+08 + i -2.812889e+07 ; 3.688176e+08 + i 6.067900e+07 ; 8.959547e+08 + i -2.902079e+08 ; -2.483062e+08 + i -5.962567e+08 ; 1.805379e+08 + i 6.887615e+08 ; -3.633429e+09 + i -3.885786e+09 ; -9.936185e+08 + i -8.401645e+08 ; 1.926603e+08 + i 1.636854e+07 ; 2.054678e+08 + i 1.899716e+09 ; -3.260781e+06 + i 5.436940e+07 ; -1.809873e+07 + i -1.430297e+07 ; 2.696150e+07 + i -4.734014e+07 ; -9.940421e+06 + i 4.183955e+07 ; -5.977536e+06 + i -8.911682e+05 ; 2.001463e+06 + i -2.616189e+05 ; -2.969313e+07 + i 4.082813e+07 ; -1.362161e+07 + i -1.144800e+07 ; 8.430871e+07 + i -3.916667e+07 ; -2.908016e+07 + i 2.710849e+07 ; -4.990114e+06 + i -6.523529e+05 ; 7.455207e+06 + i -6.860209e+06 ; -1.125863e+08 + i -8.678952e+07 ; 4.052508e+06 + i -6.100337e+06 ; 2.793562e+07 + i -4.727568e+07 ; -6.869337e+07 + i -6.932339e+07 ; -1.139377e+06 + i -1.550246e+06 ; 1.156157e+06 + i 2.122829e+04 ; -1.228260e+08 + i -1.972805e+08 ; -7.037785e+06 + i -1.104948e+07 ; 9.353301e+07 + i -3.055472e+07 ; -5.087428e+07 + i -1.359567e+08 ; -3.144158e+06 + i -1.905261e+06 ; 5.877584e+06 + i -7.808892e+06 ; 
1.384696e+08 + i 1.894399e+09 ; -9.037590e+08 + i -1.170869e+09 ; 1.759184e+08 + i 4.718952e+06 ; 1.313186e+09 + i 2.057940e+09 ; 2.299023e+08 + i 2.072213e+08 ; -8.777025e+07 + i -9.456129e+07 ; -3.645669e+09 + i -3.952747e+09 ; -3.489345e+08 + i -5.623841e+08 ; 2.510971e+08 + i 6.091215e+08 ; -5.411997e+09 + i 1.895290e+10 ; -1.032447e+08 + i 2.450737e+08 ; 4.911535e+07 + i -2.353385e+08 ; 8.767039e+08 + i -2.634639e+08 ; -3.544822e+08 + i -7.396557e+07 ; 3.350986e+08 + i 2.182349e+07 ; 8.119519e+08 + i -3.823999e+08 ; 1.059072e+08 + i 1.137239e+08 ; -1.324146e+08 + i -1.041393e+08 ; 1.901387e+08 + i 1.882846e+09 ; -1.657460e+08 + i -1.580760e+07 ; 1.016458e+09 + i 8.760347e+08 ; 1.313130e+09 + i 2.060902e+09 ; 7.465726e+07 + i 9.483576e+07 ; -7.760398e+07 + i -3.149412e+08 ; -2.734523e+08 + i 1.228754e+08 ; 2.572907e+08 + i 3.256233e+08 ; -7.242276e+07 + i -3.037580e+07 ; -2.386056e+08 + i 4.425821e+07 ; 5.697767e+07 + i -3.510199e+07 ; 3.845402e+06 + i 2.929371e+07 ; -6.129996e+08 + i -8.335475e+08 ; 2.323384e+07 + i 2.200992e+08 ; -9.561402e+07 + i -1.548432e+08 ; -2.137425e+08 + i -5.728953e+08 ; 4.229177e+07 + i -2.944015e+07 ; -2.769852e+07 + i 4.232275e+07 ; 9.137454e+07 + i 2.192897e+08 ; 1.598777e+08 + i 1.042487e+08 ; -1.662560e+08 + i -5.091595e+07 ; 2.639666e+07 + i 1.845674e+08 ; 1.804835e+07 + i -2.630214e+07 ; -8.498660e+06 + i 2.861454e+07 ; -2.848888e+08 + i 1.316607e+08 ; 5.815183e+07 + i 6.673467e+07 ; -3.124152e+08 + i -2.240221e+08 ; -2.467669e+08 + i 4.716952e+07 ; 4.006710e+06 + i -2.829662e+07 ; -4.016655e+07 + i 4.929973e+07 ; 
-8.948211e+08 + i -1.142252e+09 ; 1.621343e+08 + i 1.917980e+09 ; 1.710194e+08 + i 6.841720e+06 ; -3.277002e+08 + i -5.163698e+08 ; -3.649421e+09 + i -3.923911e+09 ; 2.439162e+08 + i 6.094258e+08 ; 2.520104e+08 + i 2.332282e+08 ; 1.364561e+09 + i 2.082318e+09 ; -9.678997e+07 + i -1.112944e+08 ; -8.403761e+07 + i 2.595228e+08 ; -5.397353e+09 + i 1.902854e+10 ; 4.107699e+07 + i -2.534184e+08 ; -3.420282e+08 + i -5.650908e+07 ; 9.039293e+08 + i -2.800425e+08 ; 3.306070e+08 + i 2.400966e+07 ; -1.448011e+08 + i 1.035452e+07 ; 2.101267e+08 + i 1.872038e+09 ; 1.008574e+09 + i 8.757535e+08 ; 1.243849e+08 + i 1.289640e+08 ; 8.422232e+08 + i -4.147775e+08 ; -1.452354e+08 + i -1.230144e+08 ; 8.862251e+07 + i 1.013808e+08 ; 1.349436e+09 + i 2.054294e+09 ; -9.110972e+07 + i -3.367187e+08 ; 3.074718e+08 + i 2.779558e+08 ; 1.670041e+08 + i 3.532937e+08 ; 1.934401e+07 + i 1.202376e+07 ; 1.380337e+08 + i 2.180504e+08 ; 9.351584e+07 + i -3.215930e+07 ; -3.252894e+05 + i -1.224433e+07 ; -5.197148e+06 + i -1.776894e+08 ; 3.024669e+08 + i 3.802868e+08 ; -1.755831e+07 + i -4.670035e+07 ; 2.077128e+07 + i -1.369078e+08 ; 8.482399e+07 + i -3.931326e+07 ; -1.765898e+07 + i -2.809783e+06 ; 1.552415e+08 + i 9.464409e+07 ; 2.171009e+08 + i 7.811390e+07 ; 8.471186e+07 + i 2.991616e+07 ; 9.759468e+07 + i 7.500462e+07 ; 2.722377e+07 + i -4.890419e+07 ; 3.742245e+06 + i -1.411672e+07 ; -5.021744e+07 + i -9.064314e+07 ; 2.521734e+08 + i 7.213182e+07 ; -3.556191e+07 + i -5.676725e+07 ; -3.588104e+07 + i -8.272832e+07 ; 2.594742e+07 + i -4.841077e+07 ; -2.022893e+07 + i -2.740830e+06 ; 
