-6.382300e+09 + i 1.650403e+10 ; -2.630832e+07 + i 1.714301e+08 ; -2.604866e+07 + i 1.715287e+08 ; -2.365520e+09 + i -3.486569e+09 ; -1.544364e+08 + i -4.270131e+08 ; -1.546900e+08 + i -4.268534e+08 ; 8.785581e+08 + i 1.790970e+09 ; 5.951590e+07 + i 2.391321e+08 ; 5.691945e+07 + i 6.535228e+07 ; 4.233317e+07 + i 1.433923e+09 ; -6.571631e+08 + i -6.950294e+08 ; -9.929940e+07 + i -7.758744e+06 ; 8.788616e+08 + i 1.790809e+09 ; 5.640473e+07 + i 6.500957e+07 ; 5.922252e+07 + i 2.390853e+08 ; 4.304426e+07 + i 1.434068e+09 ; -9.814670e+07 + i -8.458165e+06 ; -6.571442e+08 + i -6.950346e+08 ; 5.690281e+08 + i -2.701982e+08 ; 8.861873e+07 + i 7.970301e+07 ; 8.907022e+07 + i 7.942743e+07 ; 5.735656e+08 + i -1.743274e+08 ; -2.107706e+08 + i -4.212627e+07 ; -2.107604e+08 + i -4.241206e+07 ; -1.263655e+08 + i -4.672427e+08 ; -7.932959e+06 + i 1.914601e+07 ; -7.900455e+06 + i 1.918149e+07 ; -1.481923e+07 + i -2.823446e+08 ; 5.132240e+06 + i 4.747541e+06 ; 5.149768e+06 + i 4.741607e+06 ; -1.717705e+08 + i 1.932666e+07 ; -3.046560e+07 + i 1.247666e+07 ; 2.620855e+06 + i 1.616784e+07 ; -1.300421e+08 + i -1.705066e+07 ; -4.357349e+05 + i 2.891459e+06 ; 4.678523e+06 + i 2.335251e+06 ; -1.715542e+08 + i 1.924807e+07 ; 2.695093e+06 + i 1.602251e+07 ; -3.044711e+07 + i 1.249552e+07 ; -1.299162e+08 + i -1.703593e+07 ; 4.654648e+06 + i 2.316160e+06 ; -4.346223e+05 + i 2.894356e+06 ; 1.393361e+07 + i 1.100543e+08 ; -1.304242e+07 + i 1.095100e+07 ; -1.309675e+07 + i 1.099332e+07 ; -1.144200e+07 + i 8.399303e+07 ; 4.664577e+04 + i 8.847711e+05 ; 5.135746e+04 + i 8.953018e+05 ; 
-3.112658e+07 + i 1.693161e+08 ; -6.391658e+09 + i 1.653416e+10 ; -2.606161e+07 + i 1.721388e+08 ; 5.232509e+07 + i 2.371975e+08 ; 8.823890e+08 + i 1.807076e+09 ; 5.640131e+07 + i 6.464502e+07 ; -1.556667e+08 + i -4.386360e+08 ; -2.372440e+09 + i -3.432416e+09 ; -1.567028e+08 + i -4.258271e+08 ; -6.614129e+08 + i -7.156068e+08 ; 5.921139e+07 + i 1.451809e+09 ; -1.009193e+08 + i -7.079590e+06 ; 5.134576e+07 + i 6.530271e+07 ; 8.930541e+08 + i 1.806965e+09 ; 5.919082e+07 + i 2.395778e+08 ; 8.226086e+07 + i 8.136087e+07 ; 5.809859e+08 + i -2.728372e+08 ; 8.879705e+07 + i 7.864168e+07 ; -1.020725e+08 + i -1.684430e+07 ; 6.528490e+07 + i 1.455516e+09 ; -6.598158e+08 + i -6.945698e+08 ; -2.182600e+08 + i -5.602166e+07 ; 5.879025e+08 + i -1.829302e+08 ; -2.126488e+08 + i -4.221304e+07 ; -1.868468e+07 + i 2.788191e+07 ; 5.944221e+07 + i -1.965768e+07 ; 7.278012e+06 + i 7.170953e+06 ; -1.812940e+07 + i 1.829625e+07 ; 6.267972e+06 + i -4.903032e+05 ; 2.782902e+06 + i 8.207105e+05 ; -7.889794e+07 + i -1.531127e+08 ; 6.465866e+07 + i -1.286348e+07 ; 4.586373e+06 + i 5.408837e+06 ; -3.187496e+07 + i -1.019463e+08 ; 5.194554e+06 + i -1.461439e+06 ; 1.769311e+06 + i 1.183526e+06 ; -6.768743e+05 + i 3.431331e+07 ; 1.908417e+07 + i -2.181698e+07 ; 1.017589e+07 + i 8.932774e+06 ; -4.849181e+06 + i 2.564707e+07 ; 4.528432e+06 + i 2.783671e+06 ; 3.335132e+06 + i 1.036716e+06 ; -7.223570e+07 + i -6.851855e+07 ; 1.967210e+07 + i -2.163692e+07 ; -2.533965e+06 + i 2.043207e+06 ; -4.363946e+07 + i -5.168157e+07 ; 3.866913e+06 + i 2.625821e+06 ; 4.413935e+05 + i 8.648708e+05 ; 
-3.108087e+07 + i 1.694503e+08 ; -2.601559e+07 + i 1.721661e+08 ; -6.393134e+09 + i 1.653439e+10 ; 5.216002e+07 + i 2.370988e+08 ; 5.648903e+07 + i 6.466977e+07 ; 8.835312e+08 + i 1.807297e+09 ; 5.171090e+07 + i 6.535345e+07 ; 5.860656e+07 + i 2.397196e+08 ; 8.885366e+08 + i 1.808570e+09 ; 8.285934e+07 + i 8.105435e+07 ; 8.869302e+07 + i 7.881768e+07 ; 5.829928e+08 + i -2.710279e+08 ; -1.553423e+08 + i -4.385858e+08 ; -1.570172e+08 + i -4.257938e+08 ; -2.374640e+09 + i -3.431050e+09 ; -6.612071e+08 + i -7.156559e+08 ; -1.011382e+08 + i -6.845038e+06 ; 5.899623e+07 + i 1.452627e+09 ; -1.027043e+08 + i -1.615641e+07 ; -6.599230e+08 + i -6.947178e+08 ; 6.426988e+07 + i 1.454455e+09 ; -2.186751e+08 + i -5.578038e+07 ; -2.127082e+08 + i -4.210546e+07 ; 5.880698e+08 + i -1.822929e+08 ; -1.875478e+07 + i 2.783197e+07 ; 7.278269e+06 + i 7.183363e+06 ; 5.955232e+07 + i -1.967344e+07 ; -1.815864e+07 + i 1.824200e+07 ; 2.787478e+06 + i 8.233087e+05 ; 6.282752e+06 + i -5.188075e+05 ; -6.110623e+05 + i 3.426478e+07 ; 1.017987e+07 + i 8.948655e+06 ; 1.920879e+07 + i -2.181795e+07 ; -4.759871e+06 + i 2.562148e+07 ; 3.341639e+06 + i 1.034345e+06 ; 4.543619e+06 + i 2.753710e+06 ; -7.887362e+07 + i -1.530436e+08 ; 4.567337e+06 + i 5.440069e+06 ; 6.471622e+07 + i -1.275250e+07 ; -3.185175e+07 + i -1.018976e+08 ; 1.773723e+06 + i 1.192902e+06 ; 5.219143e+06 + i -1.470797e+06 ; -7.236645e+07 + i -6.860225e+07 ; -2.527975e+06 + i 2.047066e+06 ; 1.972793e+07 + i -2.156430e+07 ; -4.370660e+07 + i -5.172696e+07 ; 4.504450e+05 + i 8.613146e+05 ; 3.901347e+06 + i 2.625348e+06 ; 
-2.352822e+09 + i -3.485244e+09 ; 1.492997e+08 + i 4.491820e+08 ; 1.498070e+08 + i 4.490526e+08 ; -6.408166e+09 + i 1.644027e+10 ; 3.340147e+07 + i -1.626323e+08 ; 3.323821e+07 + i -1.627545e+08 ; 4.597653e+07 + i 1.432891e+09 ; 6.669060e+08 + i 7.469664e+08 ; 1.070273e+08 + i 1.030907e+07 ; 8.517790e+08 + i 1.782916e+09 ; -4.588497e+07 + i -2.334848e+08 ; -5.269221e+07 + i -5.755905e+07 ; 4.615099e+07 + i 1.432915e+09 ; 1.060576e+08 + i 1.095336e+07 ; 6.668477e+08 + i 7.469899e+08 ; 8.527660e+08 + i 1.782620e+09 ; -5.227054e+07 + i -5.734040e+07 ; -4.573360e+07 + i -2.334592e+08 ; 5.742944e+08 + i -1.765972e+08 ; 2.232556e+08 + i 4.994702e+07 ; 2.231578e+08 + i 5.009191e+07 ; 5.600936e+08 + i -2.542233e+08 ; -8.168615e+07 + i -7.252441e+07 ; -8.177219e+07 + i -7.236533e+07 ; -3.965862e+08 + i -7.227926e+08 ; -5.773010e+07 + i -1.159832e+08 ; -5.790539e+07 + i -1.159369e+08 ; -1.255035e+08 + i -4.671162e+08 ; -1.800838e+07 + i 2.632310e+07 ; -1.798969e+07 + i 2.638008e+07 ; -2.041723e+08 + i 7.414085e+07 ; -2.051314e+08 + i -1.965073e+08 ; -4.365291e+07 + i -2.654339e+07 ; -1.716118e+08 + i 1.902658e+07 ; -2.842087e+07 + i 2.830385e+07 ; 1.650801e+06 + i 1.621862e+07 ; -2.040175e+08 + i 7.398053e+07 ; -4.342057e+07 + i -2.673551e+07 ; -2.051082e+08 + i -1.965363e+08 ; -1.715129e+08 + i 1.899471e+07 ; 1.600868e+06 + i 1.611036e+07 ; -2.845200e+07 + i 2.828748e+07 ; 5.532169e+07 + i 1.390233e+08 ; -1.097406e+08 + i -5.578564e+07 ; -1.096598e+08 + i -5.585427e+07 ; 1.405175e+07 + i 1.097598e+08 ; -7.969068e+06 + i 1.387069e+07 ; -7.943980e+06 + i 1.380095e+07 ; 
-3.191976e+07 + i -2.882920e+08 ; 8.680831e+08 + i 1.805548e+09 ; 5.668612e+07 + i 7.084185e+07 ; 4.948998e+07 + i -1.895771e+08 ; -6.405246e+09 + i 1.649973e+10 ; -3.151743e+07 + i 1.766367e+08 ; 6.457101e+08 + i 9.113452e+08 ; 6.158360e+07 + i 1.451762e+09 ; -1.070248e+08 + i -1.038268e+07 ; 9.456811e+07 + i 4.919575e+08 ; -2.371028e+09 + i -3.459923e+09 ; -1.476411e+08 + i -4.491892e+08 ; -9.369226e+07 + i -1.057348e+08 ; 5.821527e+08 + i -2.682058e+08 ; 9.009814e+07 + i 8.614651e+07 ; -5.900709e+07 + i -7.785593e+07 ; 8.839662e+08 + i 1.783712e+09 ; 5.496192e+07 + i 2.496289e+08 ; 2.371034e+08 + i 7.303541e+07 ; 5.868988e+08 + i -1.830918e+08 ; -2.195892e+08 + i -5.114264e+07 ; 1.048210e+08 + i 6.379367e+06 ; 5.749777e+07 + i 1.429352e+09 ; -6.608457e+08 + i -7.455042e+08 ; 3.393211e+07 + i 1.067716e+08 ; 1.988779e+08 + i 3.317049e+08 ; 9.878636e+06 + i 3.270886e+07 ; 8.771516e+06 + i 8.887198e+07 ; 6.157980e+07 + i -2.026606e+07 ; 1.025884e+07 + i 2.695194e+06 ; -2.162700e+08 + i -2.359767e+08 ; 9.423856e+07 + i 2.925920e+08 ; -1.236171e+07 + i -9.922315e+06 ; -9.634786e+07 + i -1.729446e+08 ; 6.513751e+07 + i -1.279991e+07 ; -1.606908e+04 + i 8.619393e+06 ; 3.970923e+07 + i 5.207610e+07 ; 1.712848e+08 + i 7.822456e+07 ; 2.180502e+07 + i 4.184961e+07 ; 2.860141e+07 + i 4.833604e+07 ; 1.954878e+07 + i -2.294228e+07 ; 1.215672e+07 + i 3.080571e+06 ; -1.090898e+08 + i -8.347738e+07 ; 1.420983e+08 + i 7.745237e+07 ; -5.654745e+07 + i -3.199578e+07 ; -6.722253e+07 + i -6.173747e+07 ; 1.959216e+07 + i -2.195242e+07 ; -3.144925e+06 + i 8.965569e+06 ; 
-3.182473e+07 + i -2.883054e+08 ; 5.678120e+07 + i 7.087342e+07 ; 8.697273e+08 + i 1.805877e+09 ; 4.945976e+07 + i -1.895058e+08 ; -3.146098e+07 + i 1.767134e+08 ; -6.405864e+09 + i 1.650028e+10 ; -9.405165e+07 + i -1.057500e+08 ; 8.998008e+07 + i 8.630641e+07 ; 5.844200e+08 + i -2.657246e+08 ; -5.945123e+07 + i -7.793192e+07 ; 5.440728e+07 + i 2.497196e+08 ; 8.783999e+08 + i 1.785421e+09 ; 6.454932e+08 + i 9.112324e+08 ; -1.072246e+08 + i -1.006541e+07 ; 6.087930e+07 + i 1.452334e+09 ; 9.431431e+07 + i 4.919198e+08 ; -1.480353e+08 + i -4.492252e+08 ; -2.373258e+09 + i -3.458861e+09 ; 2.376650e+08 + i 7.279737e+07 ; -2.195268e+08 + i -5.093725e+07 ; 5.888934e+08 + i -1.827298e+08 ; 1.052357e+08 + i 6.085416e+06 ; -6.609692e+08 + i -7.457386e+08 ; 5.657656e+07 + i 1.427554e+09 ; 3.390659e+07 + i 1.068571e+08 ; 9.862035e+06 + i 3.270908e+07 ; 1.991568e+08 + i 3.317390e+08 ; 8.742691e+06 + i 8.888542e+07 ; 1.026368e+07 + i 2.706240e+06 ; 6.164356e+07 + i -2.036234e+07 ; 3.976622e+07 + i 5.208949e+07 ; 2.175615e+07 + i 4.186596e+07 ; 1.712139e+08 + i 7.852521e+07 ; 2.872900e+07 + i 4.832034e+07 ; 1.216773e+07 + i 3.089936e+06 ; 1.962485e+07 + i -2.301874e+07 ; -2.161682e+08 + i -2.359631e+08 ; -1.242846e+07 + i -9.886256e+06 ; 9.409742e+07 + i 2.928470e+08 ; -9.623614e+07 + i -1.729566e+08 ; -2.105958e+04 + i 8.658431e+06 ; 6.520796e+07 + i -1.271608e+07 ; -1.092932e+08 + i -8.330866e+07 ; -5.653414e+07 + i -3.202147e+07 ; 1.417598e+08 + i 7.760973e+07 ; -6.735980e+07 + i -6.161841e+07 ; -3.129310e+06 + i 8.970493e+06 ; 1.961102e+07 + i -2.179300e+07 ; 
8.637108e+08 + i 1.790379e+09 ; -6.441827e+07 + i -2.457144e+08 ; 5.691251e+07 + i 7.080174e+07 ; 3.891553e+07 + i 1.442312e+09 ; 6.643756e+08 + i 9.241677e+08 ; -1.056949e+08 + i -1.134674e+07 ; -6.397202e+09 + i 1.650057e+10 ; 3.137503e+07 + i -1.836782e+08 ; -3.276171e+07 + i 1.782017e+08 ; -2.371150e+09 + i -3.481889e+09 ; 1.404567e+08 + i 4.829792e+08 ; -1.468872e+08 + i -4.510962e+08 ; 5.699419e+08 + i -2.641475e+08 ; -8.283181e+07 + i -1.034395e+08 ; 9.037995e+07 + i 8.613163e+07 ; 5.727534e+08 + i -1.724123e+08 ; 2.349768e+08 + i 8.175337e+07 ; -2.178401e+08 + i -5.168648e+07 ; 8.818848e+08 + i 1.795316e+09 ; -5.112459e+07 + i -7.810978e+07 ; 5.360083e+07 + i 2.513244e+08 ; 4.577598e+07 + i 1.434617e+09 ; 1.076465e+08 + i 2.197624e+07 ; -6.610923e+08 + i -7.477746e+08 ; -1.679322e+08 + i 1.853019e+07 ; 3.582543e+07 + i -1.055989e+07 ; 2.008478e+06 + i 1.713116e+07 ; -1.276180e+08 + i -1.646597e+07 ; 7.160810e+05 + i -3.265889e+06 ; 4.824454e+06 + i 2.651516e+06 ; -1.260840e+08 + i -4.675883e+08 ; 1.191454e+07 + i -2.284775e+07 ; -8.911930e+06 + i 1.974637e+07 ; -1.497657e+07 + i -2.822133e+08 ; -5.261938e+06 + i -6.522347e+06 ; 5.240389e+06 + i 5.110466e+06 ; 1.349295e+07 + i 1.091210e+08 ; 1.625639e+07 + i -1.070521e+07 ; -1.405798e+07 + i 1.102050e+07 ; -1.134567e+07 + i 8.314207e+07 ; -1.528095e+03 + i -1.095794e+06 ; 4.211603e+04 + i 9.453585e+05 ; -1.713798e+08 + i 1.942726e+07 ; -5.501158e+05 + i -1.996538e+07 ; -3.213875e+07 + i 1.199792e+07 ; -1.296441e+08 + i -1.668372e+07 ; -4.975618e+06 + i -3.688961e+06 ; -5.232403e+05 + i 2.989265e+06 ; 
1.838277e+08 + i 4.181771e+08 ; -2.361436e+09 + i -3.429822e+09 ; 1.468820e+08 + i 4.496462e+08 ; 6.747573e+08 + i 7.690225e+08 ; 5.812185e+07 + i 1.458093e+09 ; 1.045473e+08 + i 1.147525e+07 ; 1.827111e+07 + i -1.708821e+08 ; -6.401051e+09 + i 1.653062e+10 ; 2.997301e+07 + i -1.781161e+08 ; -8.797157e+07 + i -2.040476e+08 ; 8.842138e+08 + i 1.803536e+09 ; -5.778097e+07 + i -6.839069e+07 ; 1.001116e+08 + i 1.658473e+07 ; 7.076697e+07 + i 1.452532e+09 ; 6.649594e+08 + i 7.480382e+08 ; 2.223872e+08 + i 6.183307e+07 ; 5.906982e+08 + i -1.845863e+08 ; 2.209380e+08 + i 5.129511e+07 ; -4.970965e+07 + i -6.281209e+07 ; 8.890040e+08 + i 1.807659e+09 ; -5.262430e+07 + i -2.520362e+08 ; -7.787298e+07 + i -8.166118e+07 ; 5.771996e+08 + i -2.704452e+08 ; -8.954256e+07 + i -8.534501e+07 ; 7.614335e+07 + i 1.653038e+08 ; 6.222220e+07 + i -1.134611e+07 ; -4.578208e+06 + i -5.737605e+06 ; 2.879451e+07 + i 1.097419e+08 ; 5.346458e+06 + i -1.265358e+06 ; -1.793495e+06 + i -1.296304e+06 ; 1.401119e+07 + i -2.482978e+07 ; 5.968956e+07 + i -1.914957e+07 ; -7.321979e+06 + i -7.644567e+06 ; 1.556060e+07 + i -1.676064e+07 ; 6.479405e+06 + i -2.865711e+05 ; -2.849168e+06 + i -9.501177e+05 ; 7.283445e+07 + i 7.480215e+07 ; 1.925393e+07 + i -2.056852e+07 ; 2.794908e+06 + i -2.026760e+06 ; 4.375778e+07 + i 5.627647e+07 ; 3.875485e+06 + i 2.669532e+06 ; -4.044528e+05 + i -9.361592e+05 ; 3.042118e+05 + i -3.287869e+07 ; 1.939927e+07 + i -2.186196e+07 ; -1.022312e+07 + i -9.653447e+06 ; 4.779596e+06 + i -2.456594e+07 ; 4.686884e+06 + i 2.752637e+06 ; -3.416598e+06 + i -1.212383e+06 ; 
5.472149e+07 + i 7.090201e+07 ; -2.169211e+07 + i -2.894380e+08 ; 8.760404e+08 + i 1.808478e+09 ; 8.619797e+07 + i 8.830786e+07 ; -9.104205e+07 + i -1.095853e+08 ; 5.832426e+08 + i -2.661655e+08 ; -3.884323e+07 + i 1.739045e+08 ; 6.012274e+07 + i -1.942242e+08 ; -6.401644e+09 + i 1.653240e+10 ; 4.474448e+07 + i 2.473613e+08 ; -5.757901e+07 + i -8.399721e+07 ; 8.833999e+08 + i 1.811079e+09 ; -1.202975e+08 + i -1.182323e+07 ; 6.385087e+08 + i 9.343807e+08 ; 6.682839e+07 + i 1.454461e+09 ; -2.336027e+08 + i -6.270594e+07 ; 2.495094e+08 + i 8.323403e+07 ; 5.884019e+08 + i -1.832928e+08 ; -1.409271e+08 + i -4.628811e+08 ; 9.738702e+07 + i 5.271564e+08 ; -2.371737e+09 + i -3.429243e+09 ; -6.551952e+08 + i -7.701410e+08 ; 1.237937e+08 + i 1.916663e+07 ; 6.048136e+07 + i 1.451269e+09 ; -2.055373e+06 + i 3.565727e+07 ; -1.062058e+07 + i -1.205163e+07 ; 1.974739e+07 + i -2.179531e+07 ; -5.963752e+06 + i 2.648920e+07 ; -3.775604e+06 + i -1.664706e+06 ; 4.590276e+06 + i 2.612174e+06 ; -2.056111e+07 + i 2.829104e+07 ; -7.672426e+06 + i -9.312131e+06 ; 5.993145e+07 + i -1.950729e+07 ; -1.955717e+07 + i 1.835550e+07 ; -3.106660e+06 + i -1.328251e+06 ; 6.299626e+06 + i -5.733759e+05 ; -7.291726e+07 + i -7.443109e+07 ; 3.431772e+06 + i -2.381493e+06 ; 2.002101e+07 + i -2.151162e+07 ; -4.346507e+07 + i -5.562741e+07 ; -3.825549e+05 + i -1.169510e+06 ; 3.932706e+06 + i 2.551738e+06 ; -7.601349e+07 + i -1.619419e+08 ; -4.245409e+06 + i -7.798657e+06 ; 6.489677e+07 + i -1.272126e+07 ; -2.928906e+07 + i -1.069371e+08 ; -1.839631e+06 + i -1.814431e+06 ; 5.237835e+06 + i -1.517584e+06 ; 
1.598308e+07 + i 1.449956e+09 ; -5.910647e+08 + i -1.009765e+09 ; 1.133022e+08 + i 1.364894e+07 ; 8.552433e+08 + i 1.780972e+09 ; 1.379487e+08 + i 1.601756e+08 ; -5.269372e+07 + i -6.200163e+07 ; -2.376495e+09 + i -3.479941e+09 ; -2.050470e+08 + i -4.318560e+08 ; 1.423777e+08 + i 4.705032e+08 ; -6.405049e+09 + i 1.644090e+10 ; -7.347624e+07 + i 1.801143e+08 ; 3.930476e+07 + i -1.681066e+08 ; 5.785710e+08 + i -1.690697e+08 ; -2.391057e+08 + i -9.617484e+07 ; 2.294489e+08 + i 5.893556e+07 ; 5.580172e+08 + i -2.516073e+08 ; 6.555418e+07 + i 8.631528e+07 ; -8.250439e+07 + i -7.739244e+07 ; 5.193271e+07 + i 1.436275e+09 ; -1.057814e+08 + i -2.244047e+07 ; 6.681733e+08 + i 7.942750e+08 ; 8.552376e+08 + i 1.782627e+09 ; 4.389058e+07 + i 6.375388e+07 ; -4.066469e+07 + i -2.432529e+08 ; -1.970037e+08 + i 6.774570e+07 ; 1.696428e+08 + i 2.847515e+08 ; -4.522069e+07 + i -2.871632e+07 ; -1.661283e+08 + i 1.696444e+07 ; 4.111996e+07 + i -2.061702e+07 ; 1.024938e+06 + i 1.708834e+07 ; -3.964709e+08 + i -7.234682e+08 ; 1.004104e+07 + i 1.711116e+08 ; -5.653858e+07 + i -1.221258e+08 ; -1.259424e+08 + i -4.667694e+08 ; 2.905535e+07 + i -2.037106e+07 ; -1.938391e+07 + i 2.682638e+07 ; 5.518818e+07 + i 1.359157e+08 ; 1.079198e+08 + i 9.786117e+07 ; -1.119698e+08 + i -6.133311e+07 ; 1.452174e+07 + i 1.072739e+08 ; 1.339472e+07 + i -1.246200e+07 ; -8.677195e+06 + i 1.404390e+07 ; -2.040095e+08 + i 7.456449e+07 ; 3.674627e+07 + i 5.291485e+07 ; -2.065904e+08 + i -2.098787e+08 ; -1.713663e+08 + i 1.966670e+07 ; 2.807069e+06 + i -1.676561e+07 ; -3.026222e+07 + i 2.844821e+07 ; 
-5.862774e+08 + i -9.878975e+08 ; 3.161514e+07 + i 1.468071e+09 ; 1.103267e+08 + i 1.438378e+07 ; -1.928706e+08 + i -3.959345e+08 ; -2.379988e+09 + i -3.456599e+09 ; 1.379204e+08 + i 4.700759e+08 ; 1.512719e+08 + i 1.805798e+08 ; 8.886111e+08 + i 1.801156e+09 ; -5.789884e+07 + i -7.428258e+07 ; -6.164494e+07 + i 1.917080e+08 ; -6.397959e+09 + i 1.650107e+10 ; 3.497920e+07 + i -1.818017e+08 ; -2.316789e+08 + i -8.240856e+07 ; 5.939486e+08 + i -1.782232e+08 ; 2.266759e+08 + i 5.974394e+07 ; -9.309151e+07 + i -1.333638e+06 ; 6.557900e+07 + i 1.429837e+09 ; 6.631602e+08 + i 7.932484e+08 ; 7.656124e+07 + i 9.950759e+07 ; 5.755061e+08 + i -2.696134e+08 ; -9.021105e+07 + i -9.195216e+07 ; 5.229241e+07 + i 7.025799e+07 ; 8.799590e+08 + i 1.780472e+09 ; -4.857729e+07 + i -2.605232e+08 ; 2.019218e+08 + i 2.498019e+08 ; 9.873597e+07 + i 2.858475e+08 ; 1.228414e+07 + i 1.076505e+07 ; 8.533419e+07 + i 1.777892e+08 ; 6.491008e+07 + i -1.367566e+07 ; 2.816197e+05 + i -8.873058e+06 ; 2.680466e+05 + i -1.357858e+08 ; 1.968939e+08 + i 3.323107e+08 ; -9.596596e+06 + i -3.399644e+07 ; 1.678597e+07 + i -1.020412e+08 ; 6.039432e+07 + i -1.964645e+07 ; -1.053819e+07 + i -2.998246e+06 ; 1.045887e+08 + i 9.293502e+07 ; 1.421803e+08 + i 7.484716e+07 ; 5.779674e+07 + i 3.494864e+07 ; 6.328094e+07 + i 6.717569e+07 ; 1.952629e+07 + i -2.231893e+07 ; 3.611571e+06 + i -9.232767e+06 ; -2.999385e+07 + i -6.883022e+07 ; 1.704653e+08 + i 7.872657e+07 ; -2.124167e+07 + i -4.401596e+07 ; -2.031482e+07 + i -5.990043e+07 ; 1.907071e+07 + i -2.223867e+07 ; -1.244572e+07 + i -3.575952e+06 ; 
