-7.600953e+09 + i 1.437948e+10 ; -3.419512e+07 + i 1.274955e+08 ; -3.405072e+07 + i 1.275454e+08 ; -1.344160e+09 + i -3.199671e+09 ; -6.274635e+07 + i -3.523852e+08 ; -6.291976e+07 + i -3.522804e+08 ; 4.647615e+08 + i 1.605758e+09 ; 1.762246e+07 + i 1.954024e+08 ; 3.058338e+07 + i 5.089526e+07 ; -1.111292e+08 + i 1.132131e+09 ; -3.981411e+08 + i -6.744122e+08 ; -6.550426e+07 + i -1.932819e+07 ; 4.649503e+08 + i 1.605664e+09 ; 3.023782e+07 + i 5.071460e+07 ; 1.744782e+07 + i 1.953843e+08 ; -1.106805e+08 + i 1.132180e+09 ; -6.471138e+07 + i -1.980065e+07 ; -3.981171e+08 + i -6.744137e+08 ; 4.150749e+08 + i -1.439296e+08 ; 5.138180e+07 + i 6.942751e+07 ; 5.168652e+07 + i 6.924971e+07 ; 3.991758e+08 + i -7.897867e+07 ; -1.452542e+08 + i -7.441497e+07 ; -1.452736e+08 + i -7.457582e+07 ; -4.475964e+07 + i -3.956996e+08 ; -7.277467e+06 + i 1.305420e+07 ; -7.256086e+06 + i 1.306805e+07 ; 1.522355e+07 + i -2.314954e+08 ; 2.767268e+06 + i 3.900466e+06 ; 2.775800e+06 + i 3.897705e+06 ; -1.219273e+08 + i -5.684550e+06 ; -2.331659e+07 + i 2.341394e+06 ; 6.562600e+04 + i 1.149492e+07 ; -8.883235e+07 + i -2.520845e+07 ; -1.219460e+06 + i 1.084636e+06 ; 2.525871e+06 + i 2.456046e+06 ; -1.217948e+08 + i -5.737672e+06 ; 1.112569e+05 + i 1.140593e+07 ; -2.330425e+07 + i 2.348180e+06 ; -8.875355e+07 + i -2.520478e+07 ; 2.514053e+06 + i 2.445187e+06 ; -1.220055e+06 + i 1.086237e+06 ; -6.079424e+04 + i 6.665635e+07 ; -1.106720e+07 + i 3.603470e+06 ; -1.109476e+07 + i 3.630054e+06 ; -1.313681e+07 + i 4.651646e+07 ; -7.913146e+05 + i 1.906193e+05 ; -7.876952e+05 + i 1.949760e+05 ; 
-3.713199e+07 + i 1.254409e+08 ; -7.610296e+09 + i 1.440318e+10 ; -3.411680e+07 + i 1.278453e+08 ; 1.313058e+07 + i 1.932156e+08 ; 4.663441e+08 + i 1.617842e+09 ; 3.029513e+07 + i 5.033182e+07 ; -6.242097e+07 + i -3.615742e+08 ; -1.354070e+09 + i -3.156633e+09 ; -6.431048e+07 + i -3.517978e+08 ; -3.990053e+08 + i -6.910140e+08 ; -1.010348e+08 + i 1.146945e+09 ; -6.656146e+07 + i -1.913602e+07 ; 2.714217e+07 + i 5.027530e+07 ; 4.732776e+08 + i 1.618286e+09 ; 1.737972e+07 + i 1.956236e+08 ; 4.735198e+07 + i 6.969083e+07 ; 4.221425e+08 + i -1.444747e+08 ; 5.155927e+07 + i 6.863340e+07 ; -6.651922e+07 + i -2.659195e+07 ; -9.719809e+07 + i 1.149810e+09 ; -3.999336e+08 + i -6.744684e+08 ; -1.489491e+08 + i -8.597057e+07 ; 4.083241e+08 + i -8.247129e+07 ; -1.465065e+08 + i -7.481917e+07 ; -1.513211e+07 + i 1.914705e+07 ; 4.395890e+07 + i -5.069742e+06 ; 3.900083e+06 + i 6.731955e+06 ; -1.377058e+07 + i 1.194768e+07 ; 4.975682e+06 + i 3.108575e+06 ; 1.795577e+06 + i 1.260534e+06 ; -4.013491e+07 + i -1.333893e+08 ; 4.630998e+07 + i 5.132842e+05 ; 2.476060e+06 + i 4.471262e+06 ; -1.222163e+07 + i -8.469671e+07 ; 4.289888e+06 + i 2.140802e+06 ; 1.024480e+06 + i 1.307719e+06 ; -3.077310e+06 + i 2.371014e+07 ; 1.566246e+07 + i -6.982933e+06 ; 5.750710e+06 + i 8.713568e+06 ; -4.996417e+06 + i 1.681572e+07 ; 4.568103e+06 + i 4.067479e+06 ; 2.177799e+06 + i 1.565585e+06 ; -4.336736e+07 + i -6.434755e+07 ; 1.577346e+07 + i -6.797729e+06 ; -2.378893e+06 + i 1.995743e+05 ; -2.488913e+07 + i -4.558355e+07 ; 4.070412e+06 + i 3.759493e+06 ; 6.201158e+04 + i 7.194365e+05 ; 
-3.712573e+07 + i 1.255349e+08 ; -3.408934e+07 + i 1.278610e+08 ; -7.611241e+09 + i 1.440342e+10 ; 1.303046e+07 + i 1.931733e+08 ; 3.034331e+07 + i 5.034011e+07 ; 4.670049e+08 + i 1.617940e+09 ; 2.735023e+07 + i 5.029525e+07 ; 1.700704e+07 + i 1.957317e+08 ; 4.700472e+08 + i 1.619458e+09 ; 4.772468e+07 + i 6.948422e+07 ; 5.149094e+07 + i 6.873537e+07 ; 4.235037e+08 + i -1.434840e+08 ; -6.223592e+07 + i -3.615620e+08 ; -6.452618e+07 + i -3.517696e+08 ; -1.355539e+09 + i -3.155708e+09 ; -3.988858e+08 + i -6.910521e+08 ; -6.668320e+07 + i -1.899378e+07 ; -1.011996e+08 + i 1.147413e+09 ; -6.692796e+07 + i -2.614881e+07 ; -4.000212e+08 + i -6.745466e+08 ; -9.796672e+07 + i 1.149252e+09 ; -1.491974e+08 + i -8.581098e+07 ; -1.465370e+08 + i -7.474995e+07 ; 4.085815e+08 + i -8.205919e+07 ; -1.517153e+07 + i 1.911906e+07 ; 3.900101e+06 + i 6.738098e+06 ; 4.401287e+07 + i -5.073755e+06 ; -1.378980e+07 + i 1.192063e+07 ; 1.797708e+06 + i 1.261968e+06 ; 4.986748e+06 + i 3.093342e+06 ; -3.028856e+06 + i 2.367133e+07 ; 5.753060e+06 + i 8.721856e+06 ; 1.572583e+07 + i -6.994392e+06 ; -4.936346e+06 + i 1.679262e+07 ; 2.181549e+06 + i 1.564148e+06 ; 4.577598e+06 + i 4.051631e+06 ; -4.011917e+07 + i -1.333540e+08 ; 2.464779e+06 + i 4.488795e+06 ; 4.633150e+07 + i 5.819860e+05 ; -1.220665e+07 + i -8.467259e+07 ; 1.026152e+06 + i 1.312848e+06 ; 4.300891e+06 + i 2.140046e+06 ; -4.344319e+07 + i -6.439076e+07 ; -2.373509e+06 + i 2.011304e+05 ; 1.579956e+07 + i -6.766665e+06 ; -2.493047e+07 + i -4.560442e+07 ; 6.744176e+04 + i 7.171425e+05 ; 4.085037e+06 + i 3.761392e+06 ; 
-1.334999e+09 + i -3.199848e+09 ; 5.736753e+07 + i 3.687613e+08 ; 5.769838e+07 + i 3.686605e+08 ; -7.613244e+09 + i 1.432782e+10 ; 3.774500e+07 + i -1.196461e+08 ; 3.765098e+07 + i -1.197174e+08 ; -1.087087e+08 + i 1.131232e+09 ; 3.994735e+08 + i 7.142387e+08 ; 7.022496e+07 + i 2.188041e+07 ; 4.473512e+08 + i 1.596750e+09 ; -9.231103e+06 + i -1.892754e+08 ; -2.859840e+07 + i -4.391596e+07 ; -1.086118e+08 + i 1.131259e+09 ; 6.954400e+07 + i 2.230815e+07 ; 3.994337e+08 + i 7.142561e+08 ; 4.479871e+08 + i 1.596522e+09 ; -2.833281e+07 + i -4.379967e+07 ; -9.143198e+06 + i -1.892616e+08 ; 3.993353e+08 + i -8.037978e+07 ; 1.524989e+08 + i 8.160881e+07 ; 1.524412e+08 + i 8.169501e+07 ; 4.084562e+08 + i -1.351472e+08 ; -4.752651e+07 + i -6.228335e+07 ; -4.760092e+07 + i -6.219527e+07 ; -2.137141e+08 + i -6.524527e+08 ; -2.755450e+07 + i -9.796194e+07 ; -2.766635e+07 + i -9.792837e+07 ; -4.429544e+07 + i -3.956630e+08 ; -1.464764e+07 + i 1.647252e+07 ; -1.463930e+07 + i 1.650622e+07 ; -1.519189e+08 + i 2.872005e+07 ; -1.258637e+08 + i -1.935705e+08 ; -2.640589e+07 + i -2.730227e+07 ; -1.218719e+08 + i -5.819736e+06 ; -2.330693e+07 + i 1.474416e+07 ; -8.937290e+05 + i 1.011942e+07 ; -1.518172e+08 + i 2.861062e+07 ; -2.624520e+07 + i -2.742717e+07 ; -1.258453e+08 + i -1.935893e+08 ; -1.218037e+08 + i -5.848529e+06 ; -9.191454e+05 + i 1.005559e+07 ; -2.332267e+07 + i 1.473418e+07 ; 2.444656e+07 + i 9.331550e+07 ; -7.188816e+07 + i -6.568066e+07 ; -7.183407e+07 + i -6.572255e+07 ; 1.275209e+04 + i 6.653824e+07 ; -8.099041e+06 + i 5.804689e+06 ; -8.079136e+06 + i 5.765778e+06 ; 
4.722484e+06 + i -2.311726e+08 ; 4.562678e+08 + i 1.618031e+09 ; 3.020949e+07 + i 5.431224e+07 ; 5.031728e+07 + i -1.407486e+08 ; -7.616646e+09 + i 1.437714e+10 ; -3.796902e+07 + i 1.309938e+08 ; 3.703573e+08 + i 8.342683e+08 ; -9.948595e+07 + i 1.146779e+09 ; -7.034420e+07 + i -2.119903e+07 ; 1.839684e+07 + i 3.942967e+08 ; -1.350078e+09 + i -3.178695e+09 ; -5.643216e+07 + i -3.679025e+08 ; -5.307400e+07 + i -8.736328e+07 ; 4.233763e+08 + i -1.418190e+08 ; 5.187064e+07 + i 7.370699e+07 ; -3.167843e+07 + i -5.895590e+07 ; 4.699364e+08 + i 1.599330e+09 ; 1.366573e+07 + i 2.029570e+08 ; 1.592057e+08 + i 9.787969e+07 ; 4.076216e+08 + i -8.251825e+07 ; -1.500871e+08 + i -8.188145e+07 ; 6.915881e+07 + i 1.546030e+07 ; -1.001640e+08 + i 1.129670e+09 ; -3.954802e+08 + i -7.124868e+08 ; 1.303887e+07 + i 8.606258e+07 ; 1.100480e+08 + i 3.015443e+08 ; 3.354874e+06 + i 2.559930e+07 ; -2.213697e+06 + i 6.779718e+07 ; 4.536484e+07 + i -5.536493e+06 ; 6.229294e+06 + i 3.343186e+06 ; -1.297165e+08 + i -2.231145e+08 ; 3.734232e+07 + i 2.465427e+08 ; -7.413644e+06 + i -9.601167e+06 ; -5.021624e+07 + i -1.485785e+08 ; 4.662502e+07 + i 5.275496e+05 ; -8.627827e+05 + i 6.474238e+06 ; 2.081953e+07 + i 4.482584e+07 ; 1.125575e+08 + i 8.816875e+07 ; 1.065847e+07 + i 3.497190e+07 ; 1.348837e+07 + i 3.902805e+07 ; 1.595696e+07 + i -7.643438e+06 ; 7.582148e+06 + i 4.169585e+06 ; -6.868686e+07 + i -8.649224e+07 ; 9.004535e+07 + i 7.935028e+07 ; -3.719896e+07 + i -3.677510e+07 ; -4.004593e+07 + i -5.938030e+07 ; 1.571426e+07 + i -6.966444e+06 ; -3.388328e+06 + i 5.811887e+06 ; 
4.787867e+06 + i -2.311869e+08 ; 3.026022e+07 + i 5.432016e+07 ; 4.572058e+08 + i 1.618139e+09 ; 5.031550e+07 + i -1.407286e+08 ; -3.792782e+07 + i 1.310368e+08 ; -7.617040e+09 + i 1.437750e+10 ; -5.329389e+07 + i -8.735087e+07 ; 5.179089e+07 + i 7.379943e+07 ; 4.250336e+08 + i -1.404555e+08 ; -3.194500e+07 + i -5.897949e+07 ; 1.331030e+07 + i 2.030397e+08 ; 4.660557e+08 + i 1.600635e+09 ; 3.702284e+08 + i 8.342232e+08 ; -7.043714e+07 + i -2.100896e+07 ; -9.995525e+07 + i 1.147142e+09 ; 1.825280e+07 + i 3.942875e+08 ; -5.670791e+07 + i -3.679078e+08 ; -1.351530e+09 + i -3.177911e+09 ; 1.595462e+08 + i 9.771282e+07 ; -1.500274e+08 + i -8.176529e+07 ; 4.090417e+08 + i -8.238344e+07 ; 6.942182e+07 + i 1.525892e+07 ; -3.955958e+08 + i -7.126148e+08 ; -1.010086e+08 + i 1.128683e+09 ; 1.302009e+07 + i 8.611175e+07 ; 3.344455e+06 + i 2.559918e+07 ; 1.102402e+08 + i 3.015266e+08 ; -2.233084e+06 + i 6.781081e+07 ; 6.231749e+06 + i 3.349129e+06 ; 4.540245e+07 + i -5.592906e+06 ; 2.085068e+07 + i 4.482880e+07 ; 1.062716e+07 + i 3.498223e+07 ; 1.125527e+08 + i 8.835245e+07 ; 1.356236e+07 + i 3.901302e+07 ; 7.588922e+06 + i 4.174329e+06 ; 1.600281e+07 + i -7.697525e+06 ; -1.296594e+08 + i -2.231130e+08 ; -7.454448e+06 + i -9.577589e+06 ; 3.724106e+07 + i 2.466875e+08 ; -5.015417e+07 + i -1.485895e+08 ; -8.652182e+05 + i 6.495556e+06 ; 4.665488e+07 + i 5.779003e+05 ; -6.880882e+07 + i -8.638664e+07 ; -3.718899e+07 + i -3.678925e+07 ; 8.986649e+07 + i 7.945706e+07 ; -4.012848e+07 + i -5.930342e+07 ; -3.377774e+06 + i 5.814207e+06 ; 1.572374e+07 + i -6.885628e+06 ; 
4.541736e+08 + i 1.606488e+09 ; -1.967305e+07 + i -2.018650e+08 ; 3.036439e+07 + i 5.433049e+07 ; -1.138834e+08 + i 1.137485e+09 ; 3.812548e+08 + i 8.444534e+08 ; -6.943151e+07 + i -2.172670e+07 ; -7.611129e+09 + i 1.437832e+10 ; 3.846747e+07 + i -1.358031e+08 ; -3.890403e+07 + i 1.320442e+08 ; -1.347806e+09 + i -3.196721e+09 ; 4.865206e+07 + i 3.929391e+08 ; -5.575918e+07 + i -3.692465e+08 ; 4.160883e+08 + i -1.404011e+08 ; -4.595709e+07 + i -8.574211e+07 ; 5.205953e+07 + i 7.374722e+07 ; 3.985913e+08 + i -7.769651e+07 ; 1.567080e+08 + i 1.057278e+08 ; -1.489285e+08 + i -8.200660e+07 ; 4.673601e+08 + i 1.608100e+09 ; -2.601575e+07 + i -5.934235e+07 ; 1.263846e+07 + i 2.040671e+08 ; -1.089362e+08 + i 1.132337e+09 ; 6.944772e+07 + i 2.958360e+07 ; -3.954250e+08 + i -7.143303e+08 ; -1.193748e+08 + i -6.426762e+06 ; 2.648089e+07 + i -1.384215e+05 ; -3.746962e+05 + i 1.210158e+07 ; -8.714871e+07 + i -2.503910e+07 ; 1.450088e+06 + i -1.105215e+06 ; 2.576409e+06 + i 2.662444e+06 ; -4.461316e+07 + i -3.959389e+08 ; 1.008360e+07 + i -1.541331e+07 ; -7.923074e+06 + i 1.341512e+07 ; 1.517082e+07 + i -2.314169e+08 ; -2.681175e+06 + i -5.059719e+06 ; 2.802040e+06 + i 4.129625e+06 ; -3.534364e+05 + i 6.616525e+07 ; 1.301405e+07 + i -2.767262e+06 ; -1.167852e+07 + i 3.469633e+06 ; -1.313652e+07 + i 4.602702e+07 ; 9.027255e+05 + i -1.774256e+05 ; -8.132009e+05 + i 1.847387e+05 ; -1.216066e+08 + i -5.630323e+06 ; 1.525371e+06 + i -1.391207e+07 ; -2.431589e+07 + i 1.787721e+06 ; -8.854027e+07 + i -2.503292e+07 ; -2.539924e+06 + i -3.373295e+06 ; -1.285368e+06 + i 1.087196e+06 ; 
8.201012e+07 + i 3.485986e+08 ; -1.346052e+09 + i -3.156025e+09 ; 5.572013e+07 + i 3.686509e+08 ; 4.028803e+08 + i 7.302889e+08 ; -1.023220e+08 + i 1.150892e+09 ; 6.853161e+07 + i 2.223196e+07 ; 2.865675e+07 + i -1.257998e+08 ; -7.617075e+09 + i 1.440173e+10 ; 3.699386e+07 + i -1.317193e+08 ; -3.861591e+07 + i -1.713445e+08 ; 4.676865e+08 + i 1.615790e+09 ; -3.088402e+07 + i -5.264560e+07 ; 6.496195e+07 + i 2.694374e+07 ; -9.360968e+07 + i 1.147729e+09 ; 3.980828e+08 + i 7.147715e+08 ; 1.505440e+08 + i 9.145752e+07 ; 4.096391e+08 + i -8.347047e+07 ; 1.509013e+08 + i 8.208172e+07 ; -2.584828e+07 + i -4.906542e+07 ; 4.706964e+08 + i 1.618901e+09 ; -1.198263e+07 + i -2.044891e+08 ; -4.418786e+07 + i -7.041289e+07 ; 4.201519e+08 + i -1.429023e+08 ; -5.154953e+07 + i -7.316516e+07 ; 3.741827e+07 + i 1.418682e+08 ; 4.463288e+07 + i 1.575703e+06 ; -2.441197e+06 + i -4.697028e+06 ; 9.738014e+06 + i 8.998280e+07 ; 4.380602e+06 + i 2.259477e+06 ; -1.025119e+06 + i -1.392210e+06 ; 1.184399e+07 + i -1.703077e+07 ; 4.410609e+07 + i -4.793086e+06 ; -3.863154e+06 + i -7.076716e+06 ; 1.197078e+07 + i -1.086348e+07 ; 5.093440e+06 + i 3.221346e+06 ; -1.821901e+06 + i -1.363334e+06 ; 4.308752e+07 + i 6.880619e+07 ; 1.546449e+07 + i -6.111511e+06 ; 2.537921e+06 + i -1.350592e+05 ; 2.450740e+07 + i 4.871350e+07 ; 4.064489e+06 + i 3.799016e+06 ; -2.854062e+04 + i -7.630878e+05 ; 2.775990e+06 + i -2.279017e+07 ; 1.584102e+07 + i -7.024197e+06 ; -5.692369e+06 + i -9.241839e+06 ; 4.906341e+06 + i -1.612260e+07 ; 4.645433e+06 + i 4.051364e+06 ; -2.209670e+06 + i -1.703574e+06 ; 
2.933020e+07 + i 5.356061e+07 ; 1.160037e+07 + i -2.313803e+08 ; 4.611020e+08 + i 1.620328e+09 ; 4.959314e+07 + i 7.410098e+07 ; -5.131121e+07 + i -8.894820e+07 ; 4.242085e+08 + i -1.406082e+08 ; -4.265805e+07 + i 1.287609e+08 ; 5.788631e+07 + i -1.433473e+08 ; -7.617203e+09 + i 1.440282e+10 ; 7.062518e+06 + i 2.006873e+08 ; -3.032371e+07 + i -6.226384e+07 ; 4.672906e+08 + i 1.620191e+09 ; -7.880876e+07 + i -2.300599e+07 ; 3.638143e+08 + i 8.522264e+08 ; -9.626076e+07 + i 1.149106e+09 ; -1.582443e+08 + i -9.130414e+07 ; 1.663984e+08 + i 1.062699e+08 ; 4.087072e+08 + i -8.265808e+07 ; -5.078589e+07 + i -3.787398e+08 ; 1.728719e+07 + i 4.230290e+08 ; -1.353460e+09 + i -3.154823e+09 ; -3.896613e+08 + i -7.320160e+08 ; 8.050554e+07 + i 2.731915e+07 ; -1.004811e+08 + i 1.146521e+09 ; -3.927485e+06 + i 2.456505e+07 ; -5.668795e+06 + i -1.091966e+07 ; 1.605723e+07 + i -7.021704e+06 ; -5.663723e+06 + i 1.733106e+07 ; -2.367661e+06 + i -2.072035e+06 ; 4.600192e+06 + i 3.976411e+06 ; -1.641310e+07 + i 1.944736e+07 ; -3.874728e+06 + i -8.223396e+06 ; 4.422573e+07 + i -5.006061e+06 ; -1.473067e+07 + i 1.200196e+07 ; -1.928776e+06 + i -1.665537e+06 ; 4.989067e+06 + i 3.070233e+06 ; -4.336711e+07 + i -6.853266e+07 ; 2.911622e+06 + i -1.690250e+05 ; 1.598227e+07 + i -6.753325e+06 ; -2.450070e+07 + i -4.832604e+07 ; 3.158808e+04 + i -9.056660e+05 ; 4.098277e+06 + i 3.722399e+06 ; -3.741848e+07 + i -1.398461e+08 ; -2.113495e+06 + i -6.024133e+06 ; 4.644181e+07 + i 5.876483e+05 ; -1.004775e+07 + i -8.830661e+07 ; -9.848405e+05 + i -1.758567e+06 ; 4.311009e+06 + i 2.114027e+06 ; 
-1.305588e+08 + i 1.144338e+09 ; -3.269137e+08 + i -9.087082e+08 ; 7.411988e+07 + i 2.407136e+07 ; 4.496825e+08 + i 1.595323e+09 ; 7.485595e+07 + i 1.373329e+08 ; -2.850213e+07 + i -4.667874e+07 ; -1.351293e+09 + i -3.195168e+09 ; -9.506158e+07 + i -3.561452e+08 ; 5.102481e+07 + i 3.837393e+08 ; -7.610998e+09 + i 1.432796e+10 ; -6.498203e+07 + i 1.326793e+08 ; 4.193909e+07 + i -1.233550e+08 ; 4.024218e+08 + i -7.586504e+07 ; -1.580268e+08 + i -1.173205e+08 ; 1.557040e+08 + i 8.865351e+07 ; 4.071478e+08 + i -1.334857e+08 ; 3.590103e+07 + i 7.234280e+07 ; -4.773096e+07 + i -6.559736e+07 ; -1.044354e+08 + i 1.132923e+09 ; -6.803101e+07 + i -3.080473e+07 ; 3.956958e+08 + i 7.501039e+08 ; 4.495275e+08 + i 1.596347e+09 ; 2.237129e+07 + i 4.834758e+07 ; -4.898515e+06 + i -1.962630e+08 ; -1.468165e+08 + i 2.412692e+07 ; 9.489869e+07 + i 2.586283e+08 ; -2.722045e+07 + i -2.882628e+07 ; -1.180148e+08 + i -7.516791e+06 ; 3.110928e+07 + i -9.415289e+06 ; -1.291538e+06 + i 1.061189e+07 ; -2.136901e+08 + i -6.528786e+08 ; -8.050667e+06 + i 1.371538e+08 ; -2.622703e+07 + i -1.022928e+08 ; -4.452402e+07 + i -3.954575e+08 ; 2.158370e+07 + i -1.286415e+07 ; -1.553905e+07 + i 1.674719e+07 ; 2.455723e+07 + i 9.134245e+07 ; 6.746201e+07 + i 9.604222e+07 ; -7.278997e+07 + i -6.997894e+07 ; 3.636913e+05 + i 6.498052e+07 ; 1.085555e+07 + i -4.085509e+06 ; -8.527112e+06 + i 5.760523e+06 ; -1.517119e+08 + i 2.894775e+07 ; 2.017544e+07 + i 4.525199e+07 ; -1.255046e+08 + i -2.037460e+08 ; -1.216667e+08 + i -5.496918e+06 ; 3.214817e+06 + i -1.012653e+07 ; -2.449256e+07 + i 1.467056e+07 ; 
-3.257957e+08 + i -8.911261e+08 ; -1.211938e+08 + i 1.159368e+09 ; 7.217165e+07 + i 2.397674e+07 ; -9.031154e+07 + i -3.265500e+08 ; -1.355921e+09 + i -3.176159e+09 ; 4.817731e+07 + i 3.827641e+08 ; 8.177308e+07 + i 1.546172e+08 ; 4.706102e+08 + i 1.614096e+09 ; -3.076294e+07 + i -5.642550e+07 ; -5.824278e+07 + i 1.429181e+08 ; -7.611917e+09 + i 1.437744e+10 ; 4.047249e+07 + i -1.343701e+08 ; -1.543775e+08 + i -1.057680e+08 ; 4.121407e+08 + i -7.972407e+07 ; 1.538595e+08 + i 8.862520e+07 ; -6.152189e+07 + i -1.271070e+07 ; -9.442983e+07 + i 1.129514e+09 ; 3.924769e+08 + i 7.485201e+08 ; 4.182185e+07 + i 8.434995e+07 ; 4.189911e+08 + i -1.423047e+08 ; -5.151667e+07 + i -7.768289e+07 ; 2.718999e+07 + i 5.487744e+07 ; 4.668306e+08 + i 1.597627e+09 ; -8.519973e+06 + i -2.107757e+08 ; 1.188317e+08 + i 2.341900e+08 ; 4.070808e+07 + i 2.419293e+08 ; 7.299962e+06 + i 1.020984e+07 ; 4.230313e+07 + i 1.528777e+08 ; 4.653630e+07 + i -3.680437e+04 ; 1.058927e+06 + i -6.652518e+06 ; 1.169595e+07 + i -1.069130e+08 ; 1.087609e+08 + i 3.020246e+08 ; -3.073362e+06 + i -2.646289e+07 ; 2.011542e+07 + i -7.768937e+07 ; 4.460439e+07 + i -5.133810e+06 ; -6.361394e+06 + i -3.558193e+06 ; 6.547206e+07 + i 9.332175e+07 ; 9.026616e+07 + i 7.762817e+07 ; 3.773149e+07 + i 3.907473e+07 ; 3.750377e+07 + i 6.323584e+07 ; 1.571994e+07 + i -7.216317e+06 ; 3.703657e+06 + i -5.961942e+06 ; -1.374327e+07 + i -5.612285e+07 ; 1.120432e+08 + i 8.850493e+07 ; -1.010693e+07 + i -3.650139e+07 ; -7.743150e+06 + i -4.674555e+07 ; 1.564934e+07 + i -7.238932e+06 ; -7.714427e+06 + i -4.522781e+06 ; 
