-8.930637e+09 + i 1.261893e+10 ; -4.352559e+07 + i 9.818082e+07 ; -4.344199e+07 + i 9.821778e+07 ; -5.106938e+08 + i -3.004028e+09 ; 9.476380e+06 + i -3.024293e+08 ; 9.344986e+06 + i -3.023632e+08 ; 1.090501e+08 + i 1.476635e+09 ; -1.705520e+07 + i 1.657732e+08 ; 1.317063e+07 + i 4.282773e+07 ; -2.525313e+08 + i 9.235771e+08 ; -1.911265e+08 + i -6.599989e+08 ; -4.297550e+07 + i -2.740387e+07 ; 1.091847e+08 + i 1.476583e+09 ; 1.293609e+07 + i 4.271209e+07 ; -1.716857e+07 + i 1.657584e+08 ; -2.522308e+08 + i 9.236109e+08 ; -4.236668e+07 + i -2.770942e+07 ; -1.911031e+08 + i -6.599998e+08 ; 3.192908e+08 + i -5.021226e+07 ; 2.543946e+07 + i 6.381147e+07 ; 2.567102e+07 + i 6.370018e+07 ; 2.921394e+08 + i -8.015710e+06 ; -9.548725e+07 + i -9.666140e+07 ; -9.550377e+07 + i -9.675720e+07 ; 2.622978e+07 + i -3.460166e+08 ; -7.168512e+06 + i 9.070725e+06 ; -7.154578e+06 + i 9.076882e+06 ; 4.505970e+07 + i -1.957273e+08 ; 1.246594e+06 + i 3.386126e+06 ; 1.251549e+06 + i 3.385279e+06 ; -8.773392e+07 + i -2.480804e+07 ; -1.773689e+07 + i -4.434795e+06 ; -1.764385e+06 + i 8.634346e+06 ; -6.052760e+07 + i -3.294298e+07 ; -1.386736e+06 + i -1.134230e+05 ; 1.205205e+06 + i 2.460880e+06 ; -8.764197e+07 + i -2.483932e+07 ; -1.728001e+06 + i 8.578433e+06 ; -1.772892e+07 + i -4.431911e+06 ; -6.047439e+07 + i -3.294003e+07 ; 1.199824e+06 + i 2.453262e+06 ; -1.387680e+06 + i -1.123519e+05 ; -9.589535e+06 + i 4.190658e+07 ; -9.058305e+06 + i -1.121966e+06 ; -9.075254e+06 + i -1.106256e+06 ; -1.491989e+07 + i 2.531966e+07 ; -9.933415e+05 + i -3.836078e+05 ; -9.911067e+05 + i -3.815209e+05 ; 
-4.524100e+07 + i 9.613528e+07 ; -8.940973e+09 + i 1.263792e+10 ; -4.353216e+07 + i 9.835982e+07 ; -1.981865e+07 + i 1.633753e+08 ; 1.086302e+08 + i 1.486241e+09 ; 1.305006e+07 + i 4.234316e+07 ; 1.112906e+07 + i -3.099691e+08 ; -5.243285e+08 + i -2.968926e+09 ; 8.323102e+06 + i -3.022241e+08 ; -1.891909e+08 + i -6.739108e+08 ; -2.473968e+08 + i 9.366457e+08 ; -4.370084e+07 + i -2.749302e+07 ; 1.098928e+07 + i 4.180653e+07 ; 1.133522e+08 + i 1.487246e+09 ; -1.725110e+07 + i 1.658631e+08 ; 2.276434e+07 + i 6.321632e+07 ; 3.237217e+08 + i -4.937173e+07 ; 2.566673e+07 + i 6.318515e+07 ; -4.259912e+07 + i -3.346575e+07 ; -2.450687e+08 + i 9.391707e+08 ; -1.923611e+08 + i -6.603927e+08 ; -9.633365e+07 + i -1.066866e+08 ; 2.984226e+08 + i -8.446392e+06 ; -9.630731e+07 + i -9.725556e+07 ; -1.353582e+07 + i 1.326353e+07 ; 3.299307e+07 + i 5.095390e+06 ; 1.565472e+06 + i 6.345597e+06 ; -1.144374e+07 + i 7.657179e+06 ; 3.412896e+06 + i 5.293065e+06 ; 1.070939e+06 + i 1.482718e+06 ; -8.977764e+06 + i -1.200576e+08 ; 3.347938e+07 + i 9.770957e+06 ; 1.021937e+06 + i 3.895286e+06 ; 3.968278e+06 + i -7.307430e+07 ; 3.038626e+06 + i 4.318106e+06 ; 4.902480e+05 + i 1.348219e+06 ; -5.411695e+06 + i 1.735046e+07 ; 1.253870e+07 + i 1.790998e+06 ; 2.605744e+06 + i 8.455668e+06 ; -5.688543e+06 + i 1.156179e+07 ; 3.551492e+06 + i 5.011405e+06 ; 1.310569e+06 + i 1.845172e+06 ; -2.156790e+07 + i -6.187101e+07 ; 1.241015e+07 + i 1.882868e+06 ; -1.978794e+06 + i -9.937553e+05 ; -1.090733e+07 + i -4.183103e+07 ; 3.207885e+06 + i 4.600951e+06 ; -1.576588e+05 + i 5.740546e+05 ; 
-4.525535e+07 + i 9.620626e+07 ; -4.351458e+07 + i 9.837068e+07 ; -8.941632e+09 + i 1.263808e+10 ; -1.988119e+07 + i 1.633508e+08 ; 1.307823e+07 + i 4.234844e+07 ; 1.090368e+08 + i 1.486325e+09 ; 1.111741e+07 + i 4.182646e+07 ; -1.751449e+07 + i 1.659290e+08 ; 1.108602e+08 + i 1.488018e+09 ; 2.303026e+07 + i 6.308786e+07 ; 2.561121e+07 + i 6.324675e+07 ; 3.246358e+08 + i -4.873720e+07 ; 1.124399e+07 + i -3.099596e+08 ; 8.163987e+06 + i -3.022080e+08 ; -5.254341e+08 + i -2.968330e+09 ; -1.891121e+08 + i -6.739334e+08 ; -4.378470e+07 + i -2.740767e+07 ; -2.475648e+08 + i 9.369360e+08 ; -4.291495e+07 + i -3.317955e+07 ; -1.924263e+08 + i -6.604390e+08 ; -2.456284e+08 + i 9.388359e+08 ; -9.650710e+07 + i -1.065882e+08 ; -9.632805e+07 + i -9.721132e+07 ; 2.986564e+08 + i -8.178162e+06 ; -1.355782e+07 + i 1.324386e+07 ; 1.564979e+06 + i 6.349051e+06 ; 3.302337e+07 + i 5.099281e+06 ; -1.145484e+07 + i 7.641308e+06 ; 1.071961e+06 + i 1.483728e+06 ; 3.422079e+06 + i 5.284159e+06 ; -5.372543e+06 + i 1.732183e+07 ; 2.606680e+06 + i 8.460611e+06 ; 1.257255e+07 + i 1.783935e+06 ; -5.644294e+06 + i 1.154523e+07 ; 1.313081e+06 + i 1.844412e+06 ; 3.559770e+06 + i 5.002600e+06 ; -8.969698e+06 + i -1.200369e+08 ; 1.013265e+06 + i 3.905504e+06 ; 3.348294e+07 + i 9.818619e+06 ; 3.976687e+06 + i -7.306038e+07 ; 4.905176e+05 + i 1.351484e+06 ; 3.043707e+06 + i 4.320472e+06 ; -2.161256e+07 + i -6.189995e+07 ; -1.974544e+06 + i -9.930823e+05 ; 1.241934e+07 + i 1.899800e+06 ; -1.093310e+07 + i -4.184357e+07 ; -1.539478e+05 + i 5.727680e+05 ; 3.214906e+06 + i 4.604513e+06 ; 
-5.037991e+08 + i -3.004406e+09 ; -1.565199e+07 + i 3.149684e+08 ; -1.541471e+07 + i 3.149049e+08 ; -8.931959e+09 + i 1.257489e+10 ; 4.464707e+07 + i -9.106858e+07 ; 4.459344e+07 + i -9.111906e+07 ; -2.507554e+08 + i 9.229435e+08 ; 1.859087e+08 + i 6.920710e+08 ; 4.580836e+07 + i 3.003993e+07 ; 9.805092e+07 + i 1.466632e+09 ; 2.192036e+07 + i -1.593071e+08 ; -1.289435e+07 + i -3.655062e+07 ; -2.506982e+08 + i 9.229735e+08 ; 4.527738e+07 + i 3.031597e+07 ; 1.858788e+08 + i 6.920822e+08 ; 9.850628e+07 + i 1.466485e+09 ; -1.272104e+07 + i -3.647222e+07 ; 2.197624e+07 + i -1.592949e+08 ; 2.921721e+08 + i -8.887552e+06 ; 9.930477e+07 + i 1.035261e+08 ; 9.926245e+07 + i 1.035782e+08 ; 3.137867e+08 + i -4.572053e+07 ; -2.387580e+07 + i -5.687124e+07 ; -2.394379e+07 + i -5.681808e+07 ; -6.058538e+07 + i -6.036273e+08 ; -4.445286e+06 + i -8.589828e+07 ; -4.524575e+06 + i -8.587826e+07 ; 2.649192e+07 + i -3.459792e+08 ; -1.282124e+07 + i 1.012586e+07 ; -1.281978e+07 + i 1.014826e+07 ; -1.158830e+08 + i -4.565061e+06 ; -6.317174e+07 + i -1.915816e+08 ; -1.425043e+07 + i -2.768281e+07 ; -8.771087e+07 + i -2.486461e+07 ; -1.952737e+07 + i 5.739401e+06 ; -2.367406e+06 + i 6.596936e+06 ; -1.158030e+08 + i -4.639283e+06 ; -1.412497e+07 + i -2.776282e+07 ; -6.315626e+07 + i -1.915938e+08 ; -8.765918e+07 + i -2.488623e+07 ; -2.377131e+06 + i 6.554664e+06 ; -1.953560e+07 + i 5.731986e+06 ; 3.309754e+06 + i 6.730135e+07 ; -4.269833e+07 + i -7.227524e+07 ; -4.265690e+07 + i -7.230085e+07 ; -9.525290e+06 + i 4.186014e+07 ; -7.368088e+06 + i 8.227873e+05 ; -7.349747e+06 + i 7.993737e+05 ; 
3.781020e+07 + i -1.923021e+08 ; 1.011756e+08 + i 1.486632e+09 ; 1.255298e+07 + i 4.510607e+07 ; 5.634893e+07 + i -1.077397e+08 ; -8.941756e+09 + i 1.261676e+10 ; -4.661166e+07 + i 1.005419e+08 ; 1.476095e+08 + i 7.834812e+08 ; -2.462977e+08 + i 9.365277e+08 ; -4.607059e+07 + i -2.906202e+07 ; -4.604857e+07 + i 3.292089e+08 ; -5.179515e+08 + i -2.987019e+09 ; 1.608409e+07 + i -3.137227e+08 ; -2.431127e+07 + i -7.721353e+07 ; 3.246511e+08 + i -4.773269e+07 ; 2.520091e+07 + i 6.690018e+07 ; -1.317339e+07 + i -4.859767e+07 ; 1.141529e+08 + i 1.471084e+09 ; -2.093866e+07 + i 1.713684e+08 ; 1.014033e+08 + i 1.160584e+08 ; 2.979063e+08 + i -8.470939e+06 ; -9.765142e+07 + i -1.032213e+08 ; 4.609956e+07 + i 2.274642e+07 ; -2.442374e+08 + i 9.227878e+08 ; -1.833262e+08 + i -6.900654e+08 ; -3.649205e+06 + i 7.257873e+07 ; 3.631166e+07 + i 2.808152e+08 ; -1.596156e+06 + i 2.104624e+07 ; -1.164587e+07 + i 5.419592e+07 ; 3.401363e+07 + i 4.796018e+06 ; 3.675380e+06 + i 3.761411e+06 ; -6.151081e+07 + i -2.151430e+08 ; -1.013533e+07 + i 2.148981e+08 ; -3.795579e+06 + i -9.380461e+06 ; -1.395862e+07 + i -1.328207e+08 ; 3.369934e+07 + i 9.780712e+06 ; -1.605317e+06 + i 5.046805e+06 ; 7.423094e+06 + i 4.022364e+07 ; 6.882793e+07 + i 9.620226e+07 ; 2.205138e+06 + i 3.050307e+07 ; 3.034591e+06 + i 3.327549e+07 ; 1.278743e+07 + i 1.383154e+06 ; 4.562301e+06 + i 4.862110e+06 ; -3.722610e+07 + i -8.865438e+07 ; 5.253134e+07 + i 8.170359e+07 ; -2.192349e+07 + i -3.998820e+07 ; -1.967066e+07 + i -5.790713e+07 ; 1.237615e+07 + i 1.782706e+06 ; -3.514458e+06 + i 3.666041e+06 ; 
3.785840e+07 + i -1.923125e+08 ; 1.258091e+07 + i 4.510981e+07 ; 1.017449e+08 + i 1.486715e+09 ; 5.635469e+07 + i -1.077395e+08 ; -4.658271e+07 + i 1.005689e+08 ; -8.942044e+09 + i 1.261699e+10 ; -2.445796e+07 + i -7.720581e+07 ; 2.513665e+07 + i 6.695573e+07 ; 3.258129e+08 + i -4.687846e+07 ; -1.334570e+07 + i -4.861571e+07 ; -2.118837e+07 + i 1.714206e+08 ; 1.112143e+08 + i 1.471949e+09 ; 1.475296e+08 + i 7.834557e+08 ; -4.612878e+07 + i -2.894795e+07 ; -2.466636e+08 + i 9.367568e+08 ; -4.613796e+07 + i 3.292014e+08 ; 1.588136e+07 + i -3.137258e+08 ; -5.190118e+08 + i -2.986502e+09 ; 1.016401e+08 + i 1.159548e+08 ; -9.760709e+07 + i -1.031502e+08 ; 2.989577e+08 + i -8.388785e+06 ; 4.629387e+07 + i 2.261485e+07 ; -1.834169e+08 + i -6.901414e+08 ; -2.448919e+08 + i 9.221985e+08 ; -3.667066e+06 + i 7.260934e+07 ; -1.603392e+06 + i 2.104568e+07 ; 3.645046e+07 + i 2.807917e+08 ; -1.166083e+07 + i 5.420675e+07 ; 3.676413e+06 + i 3.765115e+06 ; 3.404324e+07 + i 4.761838e+06 ; 7.441726e+06 + i 4.022516e+07 ; 2.182606e+06 + i 3.050884e+07 ; 6.883547e+07 + i 9.631554e+07 ; 3.082769e+06 + i 3.326709e+07 ; 4.566537e+06 + i 4.865063e+06 ; 1.281961e+07 + i 1.347061e+06 ; -6.147562e+07 + i -2.151418e+08 ; -3.824115e+06 + i -9.366241e+06 ; -1.022302e+07 + i 2.149855e+08 ; -1.391958e+07 + i -1.328261e+08 ; -1.608189e+06 + i 5.059404e+06 ; 3.370989e+07 + i 9.816020e+06 ; -3.731376e+07 + i -8.858962e+07 ; -2.191463e+07 + i -3.999667e+07 ; 5.242271e+07 + i 8.176547e+07 ; -1.973050e+07 + i -5.785865e+07 ; -3.507110e+06 + i 3.667532e+06 ; 1.237389e+07 + i 1.829156e+06 ; 
1.011138e+08 + i 1.477368e+09 ; 1.690680e+07 + i -1.718496e+08 ; 1.265939e+07 + i 4.515423e+07 ; -2.551107e+08 + i 9.271465e+08 ; 1.535599e+08 + i 7.924358e+08 ; -4.538482e+07 + i -2.931387e+07 ; -8.937909e+09 + i 1.261832e+10 ; 4.764021e+07 + i -1.040383e+08 ; -4.740426e+07 + i 1.012512e+08 ; -5.134295e+08 + i -3.002201e+09 ; -2.523495e+07 + i 3.329283e+08 ; 1.675458e+07 + i -3.146954e+08 ; 3.199820e+08 + i -4.800564e+07 ; -1.950654e+07 + i -7.559027e+07 ; 2.532686e+07 + i 6.697167e+07 ; 2.916059e+08 + i -7.136941e+06 ; 9.831665e+07 + i 1.228985e+08 ; -9.684994e+07 + i -1.030818e+08 ; 1.109383e+08 + i 1.478053e+09 ; -8.940384e+06 + i -4.864840e+07 ; -2.180746e+07 + i 1.720916e+08 ; -2.510487e+08 + i 9.237000e+08 ; 4.407875e+07 + i 3.545143e+07 ; -1.830009e+08 + i -6.916028e+08 ; -8.587981e+07 + i -2.532537e+07 ; 1.950294e+07 + i 6.769989e+06 ; -2.134246e+06 + i 9.026235e+06 ; -5.931073e+07 + i -3.287266e+07 ; 1.547668e+06 + i 2.623510e+05 ; 1.202026e+06 + i 2.610196e+06 ; 2.632245e+07 + i -3.461739e+08 ; 9.394364e+06 + i -1.056181e+07 ; -7.645293e+06 + i 9.274743e+06 ; 4.504145e+07 + i -1.956842e+08 ; -1.014560e+06 + i -4.197588e+06 ; 1.236411e+06 + i 3.544892e+06 ; -9.753775e+06 + i 4.160831e+07 ; 1.020310e+07 + i 2.254452e+06 ; -9.428634e+06 + i -1.366411e+06 ; -1.491605e+07 + i 2.502017e+07 ; 1.092670e+06 + i 5.018836e+05 ; -1.013083e+06 + i -4.186584e+05 ; -8.747394e+07 + i -2.477471e+07 ; 3.167956e+06 + i -1.022382e+07 ; -1.831846e+07 + i -5.033263e+06 ; -6.032100e+07 + i -3.284358e+07 ; -1.053983e+06 + i -3.128395e+06 ; -1.430268e+06 + i -1.561496e+05 ; 
4.019390e+06 + i 3.020657e+08 ; -5.183059e+08 + i -2.968826e+09 ; -1.678391e+07 + i 3.145143e+08 ; 1.859970e+08 + i 7.047055e+08 ; -2.488840e+08 + i 9.392970e+08 ; 4.460861e+07 + i 2.990908e+07 ; 3.930152e+07 + i -9.640726e+07 ; -8.945958e+09 + i 1.263714e+10 ; 4.598610e+07 + i -1.009377e+08 ; -6.660171e+05 + i -1.491026e+08 ; 1.097913e+08 + i 1.484987e+09 ; -1.313126e+07 + i -4.393820e+07 ; 4.131401e+07 + i 3.397698e+07 ; -2.424073e+08 + i 9.378161e+08 ; 1.848547e+08 + i 6.922437e+08 ; 9.631270e+07 + i 1.117477e+08 ; 2.991300e+08 + i -8.972830e+06 ; 9.815471e+07 + i 1.034817e+08 ; -1.004154e+07 + i -4.115990e+07 ; 1.115361e+08 + i 1.487636e+09 ; 2.229700e+07 + i -1.723126e+08 ; -2.032237e+07 + i -6.391729e+07 ; 3.224811e+08 + i -4.843027e+07 ; -2.504462e+07 + i -6.648319e+07 ; 5.931005e+06 + i 1.262384e+08 ; 3.218774e+07 + i 1.047833e+07 ; -9.656678e+05 + i -4.058341e+06 ; -6.354375e+06 + i 7.680457e+07 ; 3.088234e+06 + i 4.399902e+06 ; -4.754012e+05 + i -1.414451e+06 ; 1.096058e+07 + i -1.185451e+07 ; 3.306746e+07 + i 5.268346e+06 ; -1.478239e+06 + i -6.608908e+06 ; 1.004114e+07 + i -6.928832e+06 ; 3.478037e+06 + i 5.367571e+06 ; -1.071467e+06 + i -1.566722e+06 ; 2.065899e+07 + i 6.524634e+07 ; 1.212644e+07 + i 2.341058e+06 ; 2.072646e+06 + i 1.084342e+06 ; 1.015528e+07 + i 4.412006e+07 ; 3.193317e+06 + i 4.634585e+06 ; 1.887608e+05 + i -6.006287e+05 ; 5.109379e+06 + i -1.673787e+07 ; 1.265179e+07 + i 1.767898e+06 ; -2.475232e+06 + i -8.861737e+06 ; 5.555410e+06 + i -1.109312e+07 ; 3.595039e+06 + i 5.007511e+06 ; -1.309588e+06 + i -1.957561e+06 ; 
1.227446e+07 + i 4.398559e+07 ; 4.264105e+07 + i -1.916959e+08 ; 1.041135e+08 + i 1.488820e+09 ; 2.381638e+07 + i 6.636247e+07 ; -2.302651e+07 + i -7.759525e+07 ; 3.252198e+08 + i -4.694708e+07 ; -4.959986e+07 + i 9.841939e+07 ; 6.206523e+07 + i -1.088047e+08 ; -8.945973e+09 + i 1.263782e+10 ; -2.523554e+07 + i 1.688834e+08 ; -1.181807e+07 + i -5.033954e+07 ; 1.092808e+08 + i 1.487728e+09 ; -5.161799e+07 + i -3.135229e+07 ; 1.404950e+08 + i 7.977895e+08 ; -2.444037e+08 + i 9.387262e+08 ; -1.019102e+08 + i -1.115584e+08 ; 1.051199e+08 + i 1.235382e+08 ; 2.987379e+08 + i -8.548215e+06 ; 2.164596e+07 + i -3.223389e+08 ; -5.103638e+07 + i 3.533644e+08 ; -5.239402e+08 + i -2.967805e+09 ; -1.763968e+08 + i -7.058870e+08 ; 5.220248e+07 + i 3.414276e+07 ; -2.471403e+08 + i 9.363874e+08 ; -6.036992e+06 + i 1.788565e+07 ; -2.176307e+06 + i -1.012239e+07 ; 1.279316e+07 + i 1.762554e+06 ; -6.156615e+06 + i 1.186338e+07 ; -1.349221e+06 + i -2.266905e+06 ; 3.578668e+06 + i 4.959659e+06 ; -1.448039e+07 + i 1.344023e+07 ; -1.282945e+06 + i -7.462397e+06 ; 3.314733e+07 + i 5.141590e+06 ; -1.213234e+07 + i 7.666141e+06 ; -1.089640e+06 + i -1.815948e+06 ; 3.422382e+06 + i 5.274587e+06 ; -2.099316e+07 + i -6.502888e+07 ; 2.294304e+06 + i 1.211254e+06 ; 1.254173e+07 + i 1.907461e+06 ; -1.027491e+07 + i -4.384899e+07 ; 2.637005e+05 + i -6.913289e+05 ; 3.223524e+06 + i 4.582793e+06 ; -6.114672e+06 + i -1.249240e+08 ; -5.826004e+05 + i -4.964328e+06 ; 3.355607e+07 + i 9.821319e+06 ; 6.031546e+06 + i -7.574256e+07 ; -3.807919e+05 + i -1.689615e+06 ; 3.051650e+06 + i 4.304988e+06 ; 
-2.682187e+08 + i 9.323741e+08 ; -1.069609e+08 + i -8.404047e+08 ; 4.823605e+07 + i 3.177792e+07 ; 9.982381e+07 + i 1.465654e+09 ; 3.066121e+07 + i 1.234958e+08 ; -1.257770e+07 + i -3.839771e+07 ; -5.159725e+08 + i -3.001143e+09 ; -1.217224e+07 + i -3.072365e+08 ; -2.221965e+07 + i 3.258961e+08 ; -8.930285e+09 + i 1.257492e+10 ; -6.517966e+07 + i 9.985689e+07 ; 4.802314e+07 + i -9.356256e+07 ; 2.941614e+08 + i -5.877265e+06 ; -9.744162e+07 + i -1.326461e+08 ; 1.004501e+08 + i 1.094346e+08 ; 3.127788e+08 + i -4.465925e+07 ; 1.439507e+07 + i 6.407059e+07 ; -2.358399e+07 + i -5.930181e+07 ; -2.476745e+08 + i 9.239751e+08 ; -4.281716e+07 + i -3.688464e+07 ; 1.777470e+08 + i 7.204461e+08 ; 9.955149e+07 + i 1.466354e+09 ; 7.960448e+06 + i 3.961231e+07 ; 2.598659e+07 + i -1.644199e+08 ; -1.117585e+08 + i -7.787112e+06 ; 3.209398e+07 + i 2.407507e+08 ; -1.458257e+07 + i -2.886491e+07 ; -8.474407e+07 + i -2.608495e+07 ; 2.424266e+07 + i -1.372135e+06 ; -2.669777e+06 + i 6.876289e+06 ; -6.057172e+07 + i -6.039025e+08 ; -2.578026e+07 + i 1.137723e+08 ; -2.885351e+06 + i -8.909226e+07 ; 2.634674e+07 + i -3.458626e+08 ; 1.722903e+07 + i -7.414559e+06 ; -1.345242e+07 + i 1.024298e+07 ; 3.649564e+06 + i 6.593476e+07 ; 3.538636e+07 + i 9.535082e+07 ; -4.264999e+07 + i -7.579963e+07 ; -9.140078e+06 + i 4.082164e+07 ; 8.685017e+06 + i 1.079496e+06 ; -7.629871e+06 + i 6.653454e+05 ; -1.156957e+08 + i -4.438925e+06 ; 7.610220e+06 + i 4.047937e+07 ; -6.134492e+07 + i -1.996904e+08 ; -8.756937e+07 + i -2.468285e+07 ; 3.653819e+06 + i -6.235342e+06 ; -2.032032e+07 + i 5.517952e+06 ; 
-1.088523e+08 + i -8.256899e+08 ; -2.635624e+08 + i 9.455792e+08 ; 4.694098e+07 + i 3.121457e+07 ; -1.332549e+07 + i -2.818873e+08 ; -5.222051e+08 + i -2.985341e+09 ; -2.402301e+07 + i 3.245833e+08 ; 3.286929e+07 + i 1.387797e+08 ; 1.119911e+08 + i 1.483857e+09 ; -1.265968e+07 + i -4.655460e+07 ; -6.203734e+07 + i 1.092794e+08 ; -8.938492e+09 + i 1.261690e+10 ; 4.872854e+07 + i -1.027983e+08 ; -9.663791e+07 + i -1.225577e+08 ; 3.008101e+08 + i -6.525382e+06 ; 9.920527e+07 + i 1.089241e+08 ; -4.098153e+07 + i -2.080177e+07 ; -2.399594e+08 + i 9.226135e+08 ; 1.757477e+08 + i 7.185157e+08 ; 1.663172e+07 + i 7.519475e+07 ; 3.215937e+08 + i -4.802897e+07 ; -2.441557e+07 + i -6.980598e+07 ; 1.025581e+07 + i 4.605435e+07 ; 1.118275e+08 + i 1.470060e+09 ; 2.566312e+07 + i -1.770775e+08 ; 5.216181e+07 + i 2.237478e+08 ; -7.214100e+06 + i 2.116867e+08 ; 3.633252e+06 + i 9.839208e+06 ; 7.675233e+06 + i 1.361903e+08 ; 3.371303e+07 + i 9.380890e+06 ; 1.766747e+06 + i -5.169888e+06 ; 2.377886e+07 + i -8.724635e+07 ; 3.538350e+07 + i 2.811332e+08 ; 1.909015e+06 + i -2.165636e+07 ; 2.553706e+07 + i -6.109145e+07 ; 3.345919e+07 + i 5.042265e+06 ; -3.723928e+06 + i -3.931231e+06 ; 3.427549e+07 + i 9.369798e+07 ; 5.290444e+07 + i 8.048745e+07 ; 2.193788e+07 + i 4.188245e+07 ; 1.760283e+07 + i 6.065623e+07 ; 1.242750e+07 + i 1.596766e+06 ; 3.747001e+06 + i -3.737095e+06 ; -1.245096e+06 + i -4.802858e+07 ; 6.845566e+07 + i 9.641475e+07 ; -1.602519e+06 + i -3.162672e+07 ; 1.725935e+06 + i -3.850143e+07 ; 1.254370e+07 + i 1.625355e+06 ; -4.595588e+06 + i -5.137204e+06 ; 
