-1.030071e+10 + i 1.116796e+10 ; -5.206501e+07 + i 7.786434e+07 ; -5.201424e+07 + i 7.789663e+07 ; 1.868730e+08 + i -2.850063e+09 ; 6.716856e+07 + i -2.660779e+08 ; 6.706050e+07 + i -2.660376e+08 ; -1.978963e+08 + i 1.378707e+09 ; -4.558013e+07 + i 1.443356e+08 ; 1.205754e+06 + i 3.738522e+07 ; -3.742436e+08 + i 7.735946e+08 ; -1.920464e+07 + i -6.453703e+08 ; -2.663108e+07 + i -3.238296e+07 ; -1.977908e+08 + i 1.378680e+09 ; 1.039021e+06 + i 3.729780e+07 ; -4.566032e+07 + i 1.443197e+08 ; -3.740264e+08 + i 7.736306e+08 ; -2.612321e+07 + i -3.257533e+07 ; -1.918328e+07 + i -6.453705e+08 ; 2.527813e+08 + i 1.559351e+07 ; 6.400694e+06 + i 5.969293e+07 ; 6.592203e+06 + i 5.962489e+07 ; 2.203998e+08 + i 4.023653e+07 ; -5.480497e+07 + i -1.112360e+08 ; -5.481440e+07 + i -1.112978e+08 ; 8.724834e+07 + i -3.094086e+08 ; -7.184236e+06 + i 6.377761e+06 ; -7.174326e+06 + i 6.381007e+06 ; 7.233892e+07 + i -1.697064e+08 ; 2.141566e+05 + i 3.002564e+06 ; 2.174134e+05 + i 3.002640e+06 ; -6.246722e+07 + i -3.821101e+07 ; -1.291888e+07 + i -9.024652e+06 ; -3.035255e+06 + i 6.726105e+06 ; -3.997392e+07 + i -3.856438e+07 ; -1.208526e+06 + i -9.745176e+05 ; 3.051349e+05 + i 2.375611e+06 ; -6.239650e+07 + i -3.822774e+07 ; -3.002261e+06 + i 6.689622e+06 ; -1.291331e+07 + i -9.023052e+06 ; -3.993496e+07 + i -3.856017e+07 ; 3.032060e+05 + i 2.369684e+06 ; -1.209489e+06 + i -9.738054e+05 ; -1.476894e+07 + i 2.648719e+07 ; -6.927528e+06 + i -4.305985e+06 ; -6.939853e+06 + i -4.296668e+06 ; -1.506146e+07 + i 1.248822e+07 ; -8.953303e+05 + i -8.726982e+05 ; -8.939410e+05 + i -8.714779e+05 ; 
-5.293001e+07 + i 7.584977e+07 ; -1.031236e+10 + i 1.118350e+10 ; -5.210483e+07 + i 7.794910e+07 ; -4.714688e+07 + i 1.418310e+08 ; -1.999241e+08 + i 1.386681e+09 ; 1.209041e+06 + i 3.695252e+07 ; 6.991893e+07 + i -2.724385e+08 ; 1.695706e+08 + i -2.820728e+09 ; 6.628554e+07 + i -2.661122e+08 ; -1.497931e+07 + i -6.573439e+08 ; -3.727981e+08 + i 7.854880e+08 ; -2.712805e+07 + i -3.263279e+07 ; -1.496186e+05 + i 3.613398e+07 ; -1.966089e+08 + i 1.388078e+09 ; -4.573847e+07 + i 1.443460e+08 ; 4.629046e+06 + i 5.860114e+07 ; 2.555883e+08 + i 1.722307e+07 ; 6.686490e+06 + i 5.917739e+07 ; -2.515784e+07 + i -3.759165e+07 ; -3.715036e+08 + i 7.878344e+08 ; -2.003866e+07 + i -6.459738e+08 ; -5.345688e+07 + i -1.201471e+08 ; 2.247790e+08 + i 4.159369e+07 ; -5.529926e+07 + i -1.119394e+08 ; -1.275560e+07 + i 9.262424e+06 ; 2.442334e+07 + i 1.206151e+07 ; -1.777427e+05 + i 5.959645e+06 ; -1.005794e+07 + i 4.770595e+06 ; 1.672596e+06 + i 6.687194e+06 ; 4.999386e+05 + i 1.585849e+06 ; 1.659224e+07 + i -1.100712e+08 ; 2.365922e+07 + i 1.597486e+07 ; -2.258642e+04 + i 3.476780e+06 ; 1.732284e+07 + i -6.463944e+07 ; 1.560957e+06 + i 5.705538e+06 ; 7.635366e+04 + i 1.339135e+06 ; -7.232798e+06 + i 1.326223e+07 ; 9.167348e+06 + i 7.298944e+06 ; 1.993519e+05 + i 8.129819e+06 ; -6.285394e+06 + i 8.249214e+06 ; 2.178978e+06 + i 5.773672e+06 ; 6.156134e+05 + i 1.984120e+06 ; -4.333737e+06 + i -5.976174e+07 ; 8.933283e+06 + i 7.251278e+06 ; -1.427081e+06 + i -1.813736e+06 ; -6.537297e+04 + i -3.902518e+07 ; 1.979995e+06 + i 5.290273e+06 ; -2.885822e+05 + i 4.372505e+05 ; 
-5.295643e+07 + i 7.590522e+07 ; -5.209286e+07 + i 7.795753e+07 ; -1.031286e+10 + i 1.118359e+10 ; -4.718883e+07 + i 1.418129e+08 ; 1.226988e+06 + i 3.695747e+07 ; -1.996559e+08 + i 1.386769e+09 ; -6.419831e+04 + i 3.615727e+07 ; -4.594245e+07 + i 1.443802e+08 ; -1.986671e+08 + i 1.388545e+09 ; 4.840141e+06 + i 5.852406e+07 ; 6.637023e+06 + i 5.921606e+07 ; 2.562227e+08 + i 1.768981e+07 ; 6.999741e+07 + i -2.724263e+08 ; 6.615985e+07 + i -2.661071e+08 ; 1.686585e+08 + i -2.820353e+09 ; -1.492106e+07 + i -6.573555e+08 ; -2.719509e+07 + i -3.258051e+07 ; -3.729721e+08 + i 7.856804e+08 ; -2.543040e+07 + i -3.740288e+07 ; -2.008786e+07 + i -6.460053e+08 ; -3.719233e+08 + i 7.876009e+08 ; -5.359340e+07 + i -1.200878e+08 ; -5.531692e+07 + i -1.119101e+08 ; 2.249697e+08 + i 4.178382e+07 ; -1.276774e+07 + i 9.246741e+06 ; -1.785220e+05 + i 5.961781e+06 ; 2.444186e+07 + i 1.206890e+07 ; -1.006413e+07 + i 4.759839e+06 ; 5.004117e+05 + i 1.586633e+06 ; 1.680548e+06 + i 6.681814e+06 ; -7.198307e+06 + i 1.324157e+07 ; 1.994410e+05 + i 8.133089e+06 ; 9.187011e+06 + i 7.296546e+06 ; -6.249647e+06 + i 8.238333e+06 ; 6.174898e+05 + i 1.983771e+06 ; 2.186783e+06 + i 5.768496e+06 ; 1.659560e+07 + i -1.100574e+08 ; -3.010504e+04 + i 3.482992e+06 ; 2.365311e+07 + i 1.600988e+07 ; 1.732735e+07 + i -6.463025e+07 ; 7.591984e+04 + i 1.341398e+06 ; 1.562834e+06 + i 5.708903e+06 ; -4.360982e+06 + i -5.978448e+07 ; -1.423679e+06 + i -1.813306e+06 ; 8.934173e+06 + i 7.262421e+06 ; -8.238152e+04 + i -3.903451e+07 ; -2.857616e+05 + i 4.366027e+05 ; 1.983504e+06 + i 5.294211e+06 ; 
1.924082e+08 + i -2.850269e+09 ; -7.422142e+07 + i 2.759909e+08 ; -7.403561e+07 + i 2.759562e+08 ; -1.029327e+10 + i 1.112920e+10 ; 5.139384e+07 + i -7.138351e+07 ; 5.136363e+07 + i -7.142351e+07 ; -3.728122e+08 + i 7.731838e+08 ; 8.924333e+06 + i 6.720737e+08 ; 2.818710e+07 + i 3.504682e+07 ; -2.042269e+08 + i 1.368057e+09 ; 4.788129e+07 + i -1.377445e+08 ; -2.286162e+06 + i -3.170290e+07 ; -3.727779e+08 + i 7.732140e+08 ; 2.773987e+07 + i 3.522110e+07 ; 8.899774e+06 + i 6.720804e+08 ; -2.038684e+08 + i 1.367971e+09 ; -2.166716e+06 + i -3.164062e+07 ; 4.791980e+07 + i -1.377325e+08 ; 2.204273e+08 + i 3.966160e+07 ; 5.621301e+07 + i 1.177937e+08 ; 5.617755e+07 + i 1.178261e+08 ; 2.480964e+08 + i 1.745749e+07 ; -6.657803e+06 + i -5.303673e+07 ; -6.720587e+06 + i -5.300352e+07 ; 6.964101e+07 + i -5.660397e+08 ; 1.375647e+07 + i -7.695052e+07 ; 1.369494e+07 + i -7.694031e+07 ; 8.740591e+07 + i -3.093608e+08 ; -1.157357e+07 + i 5.933769e+06 ; -1.157625e+07 + i 5.949896e+06 ; -8.860718e+07 + i -2.804442e+07 ; -1.141539e+07 + i -1.888436e+08 ; -5.053804e+06 + i -2.751480e+07 ; -6.245854e+07 + i -3.823086e+07 ; -1.622301e+07 + i -3.947817e+05 ; -3.123998e+06 + i 4.346652e+06 ; -8.853675e+07 + i -2.809577e+07 ; -4.947332e+06 + i -2.756570e+07 ; -1.140164e+07 + i -1.888517e+08 ; -6.241559e+07 + i -3.824607e+07 ; -3.124399e+06 + i 4.316271e+06 ; -1.622728e+07 + i -4.007350e+05 ; -1.031302e+07 + i 5.074172e+07 ; -1.873822e+07 + i -7.617393e+07 ; -1.870361e+07 + i -7.618958e+07 ; -1.471197e+07 + i 2.647217e+07 ; -6.062198e+06 + i -2.494706e+06 ; -6.044815e+06 + i -2.509482e+06 ; 
6.619906e+07 + i -1.645047e+08 ; -2.058370e+08 + i 1.386872e+09 ; 4.002714e+05 + i 3.899309e+07 ; 6.333725e+07 + i -8.486719e+07 ; -1.030895e+10 + i 1.116553e+10 ; -5.479567e+07 + i 7.947508e+07 ; -3.754215e+07 + i 7.440814e+08 ; -3.719487e+08 + i 7.854366e+08 ; -2.863669e+07 + i -3.396134e+07 ; -9.930870e+07 + i 2.829280e+08 ; 1.780698e+08 + i -2.835879e+09 ; 7.423078e+07 + i -2.745820e+08 ; -3.181977e+06 + i -7.029808e+07 ; 2.562374e+08 + i 1.834002e+07 ; 5.668784e+06 + i 6.205388e+07 ; -3.511222e+05 + i -4.186656e+07 ; -1.926617e+08 + i 1.373956e+09 ; -4.957186e+07 + i 1.485977e+08 ; 5.530439e+07 + i 1.279468e+08 ; 2.243749e+08 + i 4.156441e+07 ; -5.508662e+07 + i -1.171420e+08 ; 2.996823e+07 + i 2.751975e+07 ; -3.677398e+08 + i 7.740045e+08 ; -7.362544e+06 + i -6.699058e+08 ; -1.696257e+07 + i 6.303465e+07 ; -2.608585e+07 + i 2.647745e+08 ; -5.381085e+06 + i 1.786147e+07 ; -1.929986e+07 + i 4.483391e+07 ; 2.523229e+07 + i 1.188981e+07 ; 1.898822e+06 + i 3.946615e+06 ; -5.628872e+06 + i -2.084245e+08 ; -4.978097e+07 + i 1.915983e+08 ; -9.960983e+05 + i -9.124372e+06 ; 1.521750e+07 + i -1.213227e+08 ; 2.382439e+07 + i 1.598990e+07 ; -2.206220e+06 + i 4.051576e+06 ; -2.627300e+06 + i 3.672742e+07 ; 3.418816e+07 + i 1.013453e+08 ; -4.380728e+06 + i 2.725143e+07 ; -4.560984e+06 + i 2.916055e+07 ; 9.401181e+06 + i 7.034032e+06 ; 2.372182e+06 + i 5.218658e+06 ; -1.137491e+07 + i -8.950631e+07 ; 2.383995e+07 + i 8.279303e+07 ; -9.193435e+06 + i -4.190445e+07 ; -3.506676e+06 + i -5.639648e+07 ; 8.916272e+06 + i 7.185645e+06 ; -3.494161e+06 + i 2.150334e+06 ; 
6.623747e+07 + i -1.645110e+08 ; 4.169050e+05 + i 3.899661e+07 ; -2.054628e+08 + i 1.386964e+09 ; 6.334661e+07 + i -8.487395e+07 ; -5.477494e+07 + i 7.949407e+07 ; -1.030918e+10 + i 1.116567e+10 ; -3.289410e+06 + i -7.029862e+07 ; 5.612579e+06 + i 6.208824e+07 ; 2.570702e+08 + i 1.895264e+07 ; -4.722867e+05 + i -4.188755e+07 ; -4.976381e+07 + i 1.486242e+08 ; -1.950597e+08 + i 1.374475e+09 ; -3.759583e+07 + i 7.440622e+08 ; -2.868271e+07 + i -3.388999e+07 ; -3.722615e+08 + i 7.855824e+08 ; -9.936977e+07 + i 2.829184e+08 ; 7.407218e+07 + i -2.745902e+08 ; 1.772143e+08 + i -2.835554e+09 ; 5.548881e+07 + i 1.278856e+08 ; -5.505533e+07 + i -1.170939e+08 ; 2.251984e+08 + i 4.165022e+07 ; 3.012901e+07 + i 2.743411e+07 ; -7.432741e+06 + i -6.699570e+08 ; -3.682406e+08 + i 7.736072e+08 ; -1.698038e+07 + i 6.305490e+07 ; -5.386504e+06 + i 1.786062e+07 ; -2.597644e+07 + i 2.647566e+08 ; -1.931290e+07 + i 4.484210e+07 ; 1.899069e+06 + i 3.949162e+06 ; 2.525882e+07 + i 1.186801e+07 ; -2.614861e+06 + i 3.672908e+07 ; -4.398415e+06 + i 2.725420e+07 ; 3.419425e+07 + i 1.014194e+08 ; -4.526030e+06 + i 2.915734e+07 ; 2.374973e+06 + i 5.220798e+06 ; 9.427266e+06 + i 7.010014e+06 ; -5.604790e+06 + i -2.084221e+08 ; -1.018330e+06 + i -9.116163e+06 ; -4.986156e+07 + i 1.916533e+08 ; 1.524498e+07 + i -1.213240e+08 ; -2.209682e+06 + i 4.059612e+06 ; 2.382499e+07 + i 1.601635e+07 ; -1.144618e+07 + i -8.946622e+07 ; -9.185204e+06 + i -4.190981e+07 ; 2.376449e+07 + i 8.282656e+07 ; -3.556006e+06 + i -5.636551e+07 ; -3.488744e+06 + i 2.151609e+06 ; 8.907002e+06 + i 7.215381e+06 ; 
-2.042603e+08 + i 1.379120e+09 ; 4.685907e+07 + i -1.499408e+08 ; 4.703309e+05 + i 3.905739e+07 ; -3.767750e+08 + i 7.760580e+08 ; -3.489891e+07 + i 7.522472e+08 ; -2.809431e+07 + i -3.404135e+07 ; -1.030627e+10 + i 1.116737e+10 ; 5.621177e+07 + i -8.213449e+07 ; -5.551613e+07 + i 7.995870e+07 ; 1.846068e+08 + i -2.848936e+09 ; -8.481893e+07 + i 2.897778e+08 ; 7.492095e+07 + i -2.753037e+08 ; 2.531727e+08 + i 1.709749e+07 ; 1.547732e+05 + i -6.855638e+07 ; 5.748150e+06 + i 6.214290e+07 ; 2.198676e+08 + i 4.085989e+07 ; 5.152947e+07 + i 1.338972e+08 ; -5.453303e+07 + i -1.168416e+08 ; -1.965020e+08 + i 1.379691e+09 ; 2.959174e+06 + i -4.154321e+07 ; -5.035331e+07 + i 1.490652e+08 ; -3.731595e+08 + i 7.737295e+08 ; 2.585194e+07 + i 3.900369e+07 ; -6.807957e+06 + i -6.712166e+08 ; -6.099550e+07 + i -3.852775e+07 ; 1.370956e+07 + i 1.137599e+07 ; -3.371092e+06 + i 6.985512e+06 ; -3.903317e+07 + i -3.849793e+07 ; 1.289341e+06 + i 1.210415e+06 ; 2.707807e+05 + i 2.489753e+06 ; 8.732048e+07 + i -3.095132e+08 ; 9.089968e+06 + i -7.312377e+06 ; -7.565533e+06 + i 6.483538e+06 ; 7.233270e+07 + i -1.696818e+08 ; 1.107944e+05 + i -3.597692e+06 ; 1.771186e+05 + i 3.119261e+06 ; -1.485227e+07 + i 2.628116e+07 ; 7.500879e+06 + i 5.570257e+06 ; -7.133523e+06 + i -4.605127e+06 ; -1.503963e+07 + i 1.228962e+07 ; 9.521934e+05 + i 1.047355e+06 ; -9.044246e+05 + i -9.223354e+05 ; -6.225147e+07 + i -3.818322e+07 ; 4.350506e+06 + i -7.799372e+06 ; -1.321670e+07 + i -9.636300e+06 ; -3.982181e+07 + i -3.849583e+07 ; -5.370900e+04 + i -2.881851e+06 ; -1.228820e+06 + i -1.040091e+06 ; 
-5.731262e+07 + i 2.678496e+08 ; 1.743818e+08 + i -2.820647e+09 ; -7.496932e+07 + i 2.753334e+08 ; 6.598342e+06 + i 6.825211e+08 ; -3.744131e+08 + i 7.873466e+08 ; 2.734560e+07 + i 3.462978e+07 ; 4.845888e+07 + i -7.627551e+07 ; -1.031623e+10 + i 1.118290e+10 ; 5.436297e+07 + i -7.971007e+07 ; 2.936843e+07 + i -1.325649e+08 ; -1.988607e+08 + i 1.385888e+09 ; -9.816695e+05 + i -3.813378e+07 ; 2.400400e+07 + i 3.810532e+07 ; -3.693266e+08 + i 7.869766e+08 ; 8.103566e+06 + i 6.720101e+08 ; 5.226249e+07 + i 1.247545e+08 ; 2.252121e+08 + i 4.133564e+07 ; 5.539209e+07 + i 1.174400e+08 ; 8.699651e+05 + i -3.574162e+07 ; -1.980105e+08 + i 1.388282e+09 ; 5.074323e+07 + i -1.491561e+08 ; -2.579678e+06 + i -5.917444e+07 ; 2.546867e+08 + i 1.777823e+07 ; -5.624570e+06 + i -6.170711e+07 ; -2.000227e+07 + i 1.147579e+08 ; 2.257417e+07 + i 1.643540e+07 ; 9.450975e+04 + i -3.599247e+06 ; -1.975301e+07 + i 6.737295e+07 ; 1.585025e+06 + i 5.767428e+06 ; -5.090972e+04 + i -1.392548e+06 ; 1.056965e+07 + i -8.343944e+06 ; 2.445381e+07 + i 1.218218e+07 ; 2.987784e+05 + i -6.166753e+06 ; 8.871722e+06 + i -4.293225e+06 ; 1.708339e+06 + i 6.742294e+06 ; -4.827514e+05 + i -1.655948e+06 ; 2.977586e+06 + i 6.242489e+07 ; 8.652599e+06 + i 7.569540e+06 ; 1.474199e+06 + i 1.916839e+06 ; -9.456706e+05 + i 4.077845e+07 ; 1.959715e+06 + i 5.318375e+06 ; 3.174512e+05 + i -4.527380e+05 ; 6.917000e+06 + i -1.283878e+07 ; 9.247342e+06 + i 7.289664e+06 ; -1.748472e+04 + i -8.451849e+06 ; 6.116740e+06 + i -7.916598e+06 ; 2.206453e+06 + i 5.776079e+06 ; -5.917135e+05 + i -2.077937e+06 ; 
5.478874e+05 + i 3.773340e+07 ; 6.968871e+07 + i -1.633300e+08 ; -2.041136e+08 + i 1.389035e+09 ; 4.905830e+06 + i 6.103448e+07 ; -2.273414e+06 + i -7.001583e+07 ; 2.566148e+08 + i 1.890188e+07 ; -5.664773e+07 + i 7.738366e+07 ; 6.783233e+07 + i -8.487390e+07 ; -1.031623e+10 + i 1.118333e+10 ; -5.231477e+07 + i 1.459449e+08 ; 9.268357e+05 + i -4.267921e+07 ; -1.995248e+08 + i 1.387714e+09 ; -3.229089e+07 + i -3.658123e+07 ; -4.562007e+07 + i 7.557945e+08 ; -3.709711e+08 + i 7.875561e+08 ; -5.663029e+07 + i -1.247576e+08 ; 5.659168e+07 + i 1.348138e+08 ; 2.250482e+08 + i 4.154090e+07 ; 8.010387e+07 + i -2.815625e+08 ; -1.077785e+08 + i 3.037527e+08 ; 1.697847e+08 + i -2.819969e+09 ; 9.272060e+05 + i -6.830521e+08 ; 3.224472e+07 + i 3.850267e+07 ; -3.726661e+08 + i 7.853383e+08 ; -7.751186e+06 + i 1.360067e+07 ; 4.651091e+05 + i -9.440269e+06 ; 9.348636e+06 + i 7.288647e+06 ; -6.653192e+06 + i 8.421709e+06 ; -5.539410e+05 + i -2.341530e+06 ; 2.205391e+06 + i 5.741928e+06 ; -1.350346e+07 + i 9.342448e+06 ; 6.249570e+05 + i -6.830735e+06 ; 2.451912e+07 + i 1.210378e+07 ; -1.058429e+07 + i 4.737353e+06 ; -4.429362e+05 + i -1.865112e+06 ; 1.680593e+06 + i 6.677915e+06 ; -3.323045e+06 + i -6.225801e+07 ; 1.585796e+06 + i 2.123234e+06 ; 9.023457e+06 + i 7.271699e+06 ; 7.694875e+05 + i -4.057871e+07 ; 3.964265e+05 + i -5.097808e+05 ; 1.990702e+06 + i 5.281284e+06 ; 1.968518e+07 + i -1.138459e+08 ; 5.288648e+05 + i -4.248346e+06 ; 2.370636e+07 + i 1.601400e+07 ; 1.939167e+07 + i -6.665966e+07 ; 7.920112e+04 + i -1.606570e+06 ; 1.570087e+06 + i 5.699074e+06 ; 
-3.879026e+08 + i 7.797945e+08 ; 7.873687e+07 + i -7.886560e+08 ; 2.970211e+07 + i 3.656250e+07 ; -2.027416e+08 + i 1.367400e+09 ; -2.039475e+06 + i 1.131640e+08 ; -1.791066e+06 + i -3.301885e+07 ; 1.825591e+08 + i -2.848258e+09 ; 5.203428e+07 + i -2.719334e+08 ; -8.119901e+07 + i 2.842317e+08 ; -1.029194e+10 + i 1.112924e+10 ; -6.829177e+07 + i 7.703005e+07 ; 5.434857e+07 + i -7.306902e+07 ; 2.216416e+08 + i 4.188066e+07 ; -4.891935e+07 + i -1.423277e+08 ; 5.589456e+07 + i 1.229271e+08 ; 2.472209e+08 + i 1.815295e+07 ; -1.786072e+06 + i 5.821633e+07 ; -6.008150e+06 + i -5.491805e+07 ; -3.704865e+08 + i 7.739610e+08 ; -2.455100e+07 + i -4.045791e+07 ; -2.821969e+06 + i 6.952531e+08 ; -2.030877e+08 + i 1.367911e+09 ; -1.970496e+06 + i 3.379987e+07 ; 5.192018e+07 + i -1.415774e+08 ; -8.495902e+07 + i -3.031069e+07 ; -2.132197e+07 + i 2.270415e+08 ; -5.072430e+06 + i -2.848493e+07 ; -5.998020e+07 + i -3.905898e+07 ; 1.896170e+07 + i 4.264495e+06 ; -3.375763e+06 + i 4.503816e+06 ; 6.966415e+07 + i -5.662276e+08 ; -4.156180e+07 + i 9.705085e+07 ; 1.553360e+07 + i -7.939213e+07 ; 8.729849e+07 + i -3.092945e+08 ; 1.443674e+07 + i -3.633208e+06 ; -1.205116e+07 + i 5.951872e+06 ; -9.813019e+06 + i 4.973422e+07 ; 8.955360e+06 + i 9.444341e+07 ; -1.799379e+07 + i -7.916254e+07 ; -1.427582e+07 + i 2.573883e+07 ; 6.483208e+06 + i 4.426720e+06 ; -6.207285e+06 + i -2.708844e+06 ; -8.844595e+07 + i -2.796652e+07 ; -2.165648e+06 + i 3.701483e+07 ; -8.433218e+06 + i -1.955205e+08 ; -6.236162e+07 + i -3.811451e+07 ; 3.836874e+06 + i -3.802635e+06 ; -1.675823e+07 + i -7.047044e+05 ; 
7.439713e+07 + i -7.759945e+08 ; -3.868086e+08 + i 7.917616e+08 ; 2.888393e+07 + i 3.573711e+07 ; 4.613851e+07 + i -2.496713e+08 ; 1.746611e+08 + i -2.834841e+09 ; -8.225890e+07 + i 2.827340e+08 ; -3.429125e+06 + i 1.269719e+08 ; -1.970385e+08 + i 1.385152e+09 ; -2.293243e+05 + i -4.006303e+07 ; -6.782568e+07 + i 8.582027e+07 ; -1.030651e+10 + i 1.116571e+10 ; 5.673923e+07 + i -8.102236e+07 ; -5.032153e+07 + i -1.333170e+08 ; 2.262891e+08 + i 4.311359e+07 ; 5.509689e+07 + i 1.221399e+08 ; -2.636644e+07 + i -2.588537e+07 ; -3.643376e+08 + i 7.739719e+08 ; -3.918751e+06 + i 6.931336e+08 ; -2.382938e+06 + i 6.858153e+07 ; 2.539474e+08 + i 1.803916e+07 ; -4.554002e+06 + i -6.428268e+07 ; -1.595172e+06 + i 4.005535e+07 ; -1.944540e+08 + i 1.373225e+09 ; 5.420140e+07 + i -1.528617e+08 ; -3.139646e+06 + i 2.151289e+08 ; -4.703744e+07 + i 1.893087e+08 ; 7.900582e+05 + i 9.483262e+06 ; -2.067458e+07 + i 1.238715e+08 ; 2.390595e+07 + i 1.568761e+07 ; 2.349625e+06 + i -4.136440e+06 ; 3.477774e+07 + i -7.336118e+07 ; -2.682220e+07 + i 2.649676e+08 ; 5.725087e+06 + i -1.831069e+07 ; 3.103186e+07 + i -4.949543e+07 ; 2.478731e+07 + i 1.203463e+07 ; -1.896895e+06 + i -4.087129e+06 ; 8.349786e+06 + i 9.337030e+07 ; 2.433012e+07 + i 8.188945e+07 ; 8.826071e+06 + i 4.351787e+07 ; 1.573742e+06 + i 5.842447e+07 ; 8.996529e+06 + i 7.040575e+06 ; 3.675678e+06 + i -2.171016e+06 ; 8.514568e+06 + i -4.229139e+07 ; 3.388767e+07 + i 1.014773e+08 ; 5.043070e+06 + i -2.810576e+07 ; 8.915249e+06 + i -3.279622e+07 ; 9.188297e+06 + i 7.184472e+06 ; -2.341052e+06 + i -5.443519e+06 ; 
