-1.166691e+10 + i 9.971281e+09 ; -5.941614e+07 + i 6.313842e+07 ; -5.938446e+07 + i 6.316773e+07 ; 7.891740e+08 + i -2.715488e+09 ; 1.146654e+08 + i -2.377131e+08 ; 1.145714e+08 + i -2.376898e+08 ; -4.677538e+08 + i 1.298124e+09 ; -6.948790e+07 + i 1.278382e+08 ; -7.505815e+06 + i 3.318025e+07 ; -4.779430e+08 + i 6.605851e+08 ; 1.290319e+08 + i -6.288265e+08 ; -1.383009e+07 + i -3.516184e+07 ; -4.676657e+08 + i 1.298112e+09 ; -7.630778e+06 + i 3.310742e+07 ; -6.954878e+07 + i 1.278211e+08 ; -4.777752e+08 + i 6.606251e+08 ; -1.338229e+07 + i -3.527830e+07 ; 1.290514e+08 + i -6.288259e+08 ; 2.012791e+08 + i 6.131019e+07 ; -8.431196e+06 + i 5.607955e+07 ; -8.263636e+06 + i 5.603979e+07 ; 1.676251e+08 + i 7.196950e+07 ; -1.962323e+07 + i -1.203870e+08 ; -1.962716e+07 + i -1.204299e+08 ; 1.403378e+08 + i -2.807713e+08 ; -7.199475e+06 + i 4.485651e+06 ; -7.191665e+06 + i 4.487645e+06 ; 9.680882e+07 + i -1.499068e+08 ; -5.304177e+05 + i 2.682352e+06 ; -5.281118e+05 + i 2.682853e+06 ; -4.230888e+07 + i -4.720768e+07 ; -8.516642e+06 + i -1.217806e+07 ; -3.934523e+06 + i 5.356361e+06 ; -2.399051e+07 + i -4.213619e+07 ; -8.355459e+05 + i -1.621604e+06 ; -3.609930e+05 + i 2.243445e+06 ; -4.225043e+07 + i -4.721519e+07 ; -3.903159e+06 + i 5.331869e+06 ; -8.512373e+06 + i -1.217693e+07 ; -2.395994e+07 + i -4.213081e+07 ; -3.609525e+05 + i 2.238646e+06 ; -8.364646e+05 + i -1.621147e+06 ; -1.701576e+07 + i 1.602359e+07 ; -4.712829e+06 + i -6.528063e+06 ; -4.722803e+06 + i -6.522481e+06 ; -1.387673e+07 + i 4.131767e+06 ; -6.410528e+05 + i -1.281378e+06 ; -6.401340e+05 + i -1.280539e+06 ; 
-5.964672e+07 + i 6.118314e+07 ; -1.167990e+10 + i 9.984237e+09 ; -5.946246e+07 + i 6.316467e+07 ; -7.016142e+07 + i 1.253125e+08 ; -4.710644e+08 + i 1.304932e+09 ; -7.406606e+06 + i 3.278718e+07 ; 1.183315e+08 + i -2.431845e+08 ; 7.684925e+08 + i -2.690487e+09 ; 1.139794e+08 + i -2.378977e+08 ; 1.351633e+08 + i -6.393181e+08 ; -4.793589e+08 + i 6.715529e+08 ; -1.415215e+07 + i -3.550334e+07 ; -8.264810e+06 + i 3.181527e+07 ; -4.687191e+08 + i 1.306564e+09 ; -6.961169e+07 + i 1.277980e+08 ; -9.530513e+06 + i 5.470917e+07 ; 2.029525e+08 + i 6.335894e+07 ; -8.088855e+06 + i 5.564220e+07 ; -1.147081e+07 + i -3.972151e+07 ; -4.788120e+08 + i 6.737651e+08 ; 1.285114e+08 + i -6.295558e+08 ; -1.651672e+07 + i -1.284158e+08 ; 1.705495e+08 + i 7.437897e+07 ; -1.985514e+07 + i -1.211489e+08 ; -1.232084e+07 + i 6.470998e+06 ; 1.718088e+07 + i 1.682181e+07 ; -1.561648e+06 + i 5.576687e+06 ; -9.127787e+06 + i 2.797392e+06 ; -1.524710e+05 + i 7.608845e+06 ; 2.732901e+04 + i 1.620077e+06 ; 3.824158e+07 + i -1.019468e+08 ; 1.555277e+07 + i 2.006637e+07 ; -8.135767e+05 + i 3.136702e+06 ; 2.858969e+07 + i -5.809206e+07 ; -3.260811e+04 + i 6.624800e+06 ; -2.627799e+05 + i 1.302712e+06 ; -8.607755e+06 + i 1.043923e+07 ; 5.595568e+06 + i 1.094039e+07 ; -1.752034e+06 + i 7.759533e+06 ; -6.707961e+06 + i 6.021499e+06 ; 6.966141e+05 + i 6.368725e+06 ; 3.197565e+04 + i 2.039342e+06 ; 9.959345e+06 + i -5.762993e+07 ; 5.340554e+06 + i 1.073872e+07 ; -7.902992e+05 + i -2.399477e+06 ; 8.747284e+06 + i -3.663220e+07 ; 6.351148e+05 + i 5.832970e+06 ; -3.655570e+05 + i 3.139373e+05 ; 
-5.968096e+07 + i 6.122732e+07 ; -5.945387e+07 + i 6.317163e+07 ; -1.168032e+10 + i 9.984273e+09 ; -7.019168e+07 + i 1.252973e+08 ; -7.394281e+06 + i 3.279211e+07 ; -4.708772e+08 + i 1.305022e+09 ; -8.204226e+06 + i 3.184052e+07 ; -6.978078e+07 + i 1.278110e+08 ; -4.705105e+08 + i 1.306813e+09 ; -9.350592e+06 + i 5.466505e+07 ; -8.134658e+06 + i 5.566693e+07 ; 2.034127e+08 + i 6.373389e+07 ; 1.183894e+08 + i -2.431701e+08 ; 1.138743e+08 + i -2.379007e+08 ; 7.676932e+08 + i -2.690259e+09 ; 1.352101e+08 + i -6.393227e+08 ; -1.421028e+07 + i -3.547081e+07 ; -4.795361e+08 + i 6.716853e+08 ; -1.172031e+07 + i -3.959501e+07 ; 1.284726e+08 + i -6.295800e+08 ; -4.791426e+08 + i 6.735828e+08 ; -1.663279e+07 + i -1.283808e+08 ; -1.987176e+07 + i -1.211288e+08 ; 1.707035e+08 + i 7.452585e+07 ; -1.232706e+07 + i 6.457804e+06 ; -1.562558e+06 + i 5.578089e+06 ; 1.719256e+07 + i 1.683043e+07 ; -9.131097e+06 + i 2.789392e+06 ; 2.750311e+04 + i 1.620709e+06 ; -1.453765e+05 + i 7.605608e+06 ; -8.575645e+06 + i 1.042437e+07 ; -1.752427e+06 + i 7.761847e+06 ; 5.607784e+06 + i 1.094092e+07 ; -6.677032e+06 + i 6.014778e+06 ; 3.348569e+04 + i 2.039235e+06 ; 7.040482e+05 + i 6.365626e+06 ; 3.824222e+07 + i -1.019369e+08 ; -8.204212e+05 + i 3.140563e+06 ; 1.554104e+07 + i 2.009295e+07 ; 2.859196e+07 + i -5.808541e+07 ; -2.635830e+05 + i 1.304352e+06 ; -3.270045e+04 + i 6.628326e+06 ; 9.942337e+06 + i -5.764911e+07 ; -7.874500e+05 + i -2.399080e+06 ; 5.337319e+06 + i 1.074676e+07 ; 8.735350e+06 + i -3.663994e+07 ; -3.632509e+05 + i 3.136788e+05 ; 6.366760e+05 + i 5.836726e+06 ; 
7.938867e+08 + i -2.715473e+09 ; -1.225392e+08 + i 2.457482e+08 ; -1.223837e+08 + i 2.457331e+08 ; -1.165229e+10 + i 9.936539e+09 ; 5.734064e+07 + i -5.721737e+07 ; 5.732469e+07 + i -5.725079e+07 ; -4.767070e+08 + i 6.603352e+08 ; -1.433290e+08 + i 6.515526e+08 ; 1.445379e+07 + i 3.779095e+07 ; -4.704436e+08 + i 1.287171e+09 ; 6.978938e+07 + i -1.212864e+08 ; 5.311346e+06 + i -2.800993e+07 ; -4.766872e+08 + i 6.603642e+08 ; 1.405712e+07 + i 3.789699e+07 ; -1.433503e+08 + i 6.515563e+08 ; -4.701413e+08 + i 1.287127e+09 ; 5.398199e+06 + i -2.795639e+07 ; 6.981767e+07 + i -1.212745e+08 ; 1.676708e+08 + i 7.156641e+07 ; 1.921270e+07 + i 1.266134e+08 ; 1.918099e+07 + i 1.266340e+08 ; 1.973524e+08 + i 6.148708e+07 ; 6.659737e+06 + i -4.974249e+07 ; 6.601122e+06 + i -4.972186e+07 ; 1.831796e+08 + i -5.344924e+08 ; 2.864119e+07 + i -6.977778e+07 ; 2.859015e+07 + i -6.977407e+07 ; 1.404366e+08 + i -2.807178e+08 ; -1.055950e+07 + i 3.073486e+06 ; -1.056470e+07 + i 3.085673e+06 ; -6.611676e+07 + i -4.441878e+07 ; 3.307214e+07 + i -1.850673e+08 ; 2.342942e+06 + i -2.692800e+07 ; -4.230952e+07 + i -4.720981e+07 ; -1.309853e+07 + i -4.689233e+06 ; -3.455805e+06 + i 2.793249e+06 ; -6.605091e+07 + i -4.445501e+07 ; 2.438093e+06 + i -2.695978e+07 ; 3.308479e+07 + i -1.850726e+08 ; -4.227139e+07 + i -4.722016e+07 ; -3.450601e+06 + i 2.770304e+06 ; -1.310053e+07 + i -4.694154e+06 ; -1.907943e+07 + i 3.906662e+07 ; 1.923233e+06 + i -7.811360e+07 ; 1.953747e+06 + i -7.812295e+07 ; -1.696638e+07 + i 1.602414e+07 ; -4.426954e+06 + i -4.819698e+06 ; -4.410367e+06 + i -4.829210e+06 ; 
9.052722e+07 + i -1.435166e+08 ; -4.760543e+08 + i 1.304879e+09 ; -8.438202e+06 + i 3.435944e+07 ; 6.996710e+07 + i -6.838620e+07 ; -1.167323e+10 + i 9.968576e+09 ; -6.194790e+07 + i 6.424408e+07 ; -1.966776e+08 + i 7.096920e+08 ; -4.786561e+08 + i 6.715543e+08 ; -1.511222e+07 + i -3.667771e+07 ; -1.439137e+08 + i 2.478968e+08 ; 7.788541e+08 + i -2.703396e+09 ; 1.221723e+08 + i -2.442825e+08 ; 1.320882e+07 + i -6.478280e+07 ; 2.034028e+08 + i 6.418568e+07 ; -9.502655e+06 + i 5.794988e+07 ; 9.013507e+06 + i -3.685422e+07 ; -4.622540e+08 + i 1.294043e+09 ; -7.364314e+07 + i 1.311604e+08 ; 1.624732e+07 + i 1.350631e+08 ; 1.702144e+08 + i 7.434022e+07 ; -1.849404e+07 + i -1.257559e+08 ; 1.773775e+07 + i 3.030072e+07 ; -4.727292e+08 + i 6.618168e+08 ; 1.441026e+08 + i -6.493051e+08 ; -2.786425e+07 + i 5.575889e+07 ; -8.034618e+07 + i 2.511276e+08 ; -8.371067e+06 + i 1.546315e+07 ; -2.554480e+07 + i 3.796763e+07 ; 1.786523e+07 + i 1.673808e+07 ; 5.585501e+05 + i 3.973304e+06 ; 4.204591e+07 + i -2.017622e+08 ; -8.355771e+07 + i 1.733040e+08 ; 1.287329e+06 + i -8.815548e+06 ; 3.955216e+07 + i -1.120913e+08 ; 1.568492e+07 + i 2.008688e+07 ; -2.687976e+06 + i 3.321261e+06 ; -1.060303e+07 + i 3.379031e+07 ; 5.133583e+06 + i 1.040088e+08 ; -9.718150e+06 + i 2.467186e+07 ; -1.040065e+07 + i 2.592692e+07 ; 5.822085e+06 + i 1.076225e+07 ; 6.557345e+05 + i 5.350038e+06 ; 1.086298e+07 + i -8.922862e+07 ; 5.559662e+05 + i 8.254688e+07 ; 1.892470e+06 + i -4.285665e+07 ; 9.986765e+06 + i -5.467510e+07 ; 5.333801e+06 + i 1.069247e+07 ; -3.354246e+06 + i 1.039511e+06 ; 
9.055985e+07 + i -1.435196e+08 ; -8.427533e+06 + i 3.436316e+07 ; -4.757914e+08 + i 1.304978e+09 ; 6.997917e+07 + i -6.839515e+07 ; -6.193245e+07 + i 6.425866e+07 ; -1.167343e+10 + i 9.968669e+09 ; 1.312396e+07 + i -6.478963e+07 ; -9.553839e+06 + i 5.797124e+07 ; 2.040256e+08 + i 6.466888e+07 ; 8.922052e+06 + i -3.687805e+07 ; -7.380130e+07 + i 1.311689e+08 ; -4.643251e+08 + i 1.294314e+09 ; -1.967166e+08 + i 7.096755e+08 ; -1.515300e+07 + i -3.663119e+07 ; -4.789378e+08 + i 6.716464e+08 ; -1.439588e+08 + i 2.478855e+08 ; 1.220411e+08 + i -2.442961e+08 ; 7.781152e+08 + i -2.703200e+09 ; 1.640234e+07 + i 1.350291e+08 ; -1.847172e+07 + i -1.257205e+08 ; 1.708952e+08 + i 7.444123e+07 ; 1.788031e+07 + i 3.024503e+07 ; 1.440464e+08 + i -6.493436e+08 ; -4.731256e+08 + i 6.615195e+08 ; -2.788205e+07 + i 5.577280e+07 ; -8.375365e+06 + i 1.546212e+07 ; -8.025314e+07 + i 2.511163e+08 ; -2.555702e+07 + i 3.797379e+07 ; 5.583520e+05 + i 3.975165e+06 ; 1.789017e+07 + i 1.672370e+07 ; -1.059391e+07 + i 3.379220e+07 ; -9.732915e+06 + i 2.467272e+07 ; 5.136265e+06 + i 1.040602e+08 ; -1.037315e+07 + i 2.592704e+07 ; 6.576783e+05 + i 5.351733e+06 ; 5.845180e+06 + i 1.074607e+07 ; 4.206387e+07 + i -2.017589e+08 ; 1.268708e+06 + i -8.811111e+06 ; -8.363344e+07 + i 1.733391e+08 ; 3.957320e+07 + i -1.120902e+08 ; -2.691798e+06 + i 3.326670e+06 ; 1.567990e+07 + i 2.010734e+07 ; 1.080073e+07 + i -8.920376e+07 ; 1.900247e+06 + i -4.286011e+07 ; 4.982760e+05 + i 8.256358e+07 ; 9.943022e+06 + i -5.465510e+07 ; -3.350010e+06 + i 1.040736e+06 ; 5.320812e+06 + i 1.071283e+07 ; 
-4.731691e+08 + i 1.298212e+09 ; 7.191122e+07 + i -1.329702e+08 ; -8.396995e+06 + i 3.443235e+07 ; -4.804572e+08 + i 6.623217e+08 ; -1.963981e+08 + i 7.172157e+08 ; -1.467293e+07 + i -3.664905e+07 ; -1.167143e+10 + i 9.970603e+09 ; 6.364615e+07 + i -6.632855e+07 ; -6.262722e+07 + i 6.457483e+07 ; 7.871818e+08 + i -2.714805e+09 ; -1.340732e+08 + i 2.565968e+08 ; 1.228860e+08 + i -2.448278e+08 ; 2.014583e+08 + i 6.240953e+07 ; 1.555048e+07 + i -6.295303e+07 ; -9.460138e+06 + i 5.804822e+07 ; 1.670830e+08 + i 7.242375e+07 ; 1.177569e+07 + i 1.402759e+08 ; -1.813184e+07 + i -1.253586e+08 ; -4.666783e+08 + i 1.298881e+09 ; 1.168815e+07 + i -3.622929e+07 ; -7.436775e+07 + i 1.314543e+08 ; -4.770931e+08 + i 6.607429e+08 ; 1.173304e+07 + i 4.075066e+07 ; 1.448511e+08 + i -6.504408e+08 ; -4.105849e+07 + i -4.737788e+07 ; 8.574007e+06 + i 1.447526e+07 ; -4.250678e+06 + i 5.530282e+06 ; -2.321566e+07 + i -4.205313e+07 ; 8.347941e+05 + i 1.903356e+06 ; -4.146663e+05 + i 2.333278e+06 ; 1.404015e+08 + i -2.808429e+08 ; 8.907514e+06 + i -5.055894e+06 ; -7.520620e+06 + i 4.529620e+06 ; 9.680744e+07 + i -1.498918e+08 ; 9.153312e+05 + i -3.131621e+06 ; -5.840096e+05 + i 2.771184e+06 ; -1.705013e+07 + i 1.586876e+07 ; 4.844650e+06 + i 7.834519e+06 ; -4.795226e+06 + i -6.850658e+06 ; -1.383996e+07 + i 3.991057e+06 ; 6.455602e+05 + i 1.487884e+06 ; -6.365398e+05 + i -1.338758e+06 ; -4.212328e+07 + i -4.717958e+07 ; 5.198608e+06 + i -6.091318e+06 ; -8.605747e+06 + i -1.278178e+07 ; -2.387190e+07 + i -4.208176e+07 ; 6.768607e+05 + i -2.636722e+06 ; -8.330957e+05 + i -1.698902e+06 ; 
-1.073436e+08 + i 2.407741e+08 ; 7.725717e+08 + i -2.690308e+09 ; -1.229786e+08 + i 2.449727e+08 ; -1.474715e+08 + i 6.604451e+08 ; -4.810492e+08 + i 6.728866e+08 ; 1.389865e+07 + i 3.720292e+07 ; 5.606613e+07 + i -6.176166e+07 ; -1.168309e+10 + i 9.983655e+09 ; 6.161673e+07 + i -6.438854e+07 ; 5.401274e+07 + i -1.193949e+08 ; -4.700677e+08 + i 1.304425e+09 ; 7.826956e+06 + i -3.369974e+07 ; 1.036182e+07 + i 4.019290e+07 ; -4.769113e+08 + i 6.732379e+08 ; -1.439692e+08 + i 6.513332e+08 ; 1.440056e+07 + i 1.325896e+08 ; 1.708381e+08 + i 7.426676e+07 ; 1.866054e+07 + i 1.260714e+08 ; 8.850332e+06 + i -3.154886e+07 ; -4.698798e+08 + i 1.306638e+09 ; 7.468805e+07 + i -1.314607e+08 ; 1.137188e+07 + i -5.515404e+07 ; 2.022267e+08 + i 6.368416e+07 ; 9.467323e+06 + i -5.764967e+07 ; -4.197355e+07 + i 1.056046e+08 ; 1.458752e+07 + i 2.035895e+07 ; 8.968225e+05 + i -3.231235e+06 ; -3.109749e+07 + i 6.015328e+07 ; -2.458891e+04 + i 6.674186e+06 ; 2.958779e+05 + i -1.346564e+06 ; 1.036459e+07 + i -5.888146e+06 ; 1.718523e+07 + i 1.691201e+07 ; 1.706970e+06 + i -5.742803e+06 ; 8.068258e+06 + i -2.493082e+06 ; -1.338853e+05 + i 7.652169e+06 ; 2.664947e+03 + i -1.679400e+06 ; -1.164659e+07 + i 5.978748e+07 ; 5.058054e+06 + i 1.096619e+07 ; 8.009860e+05 + i 2.507355e+06 ; -9.945089e+06 + i 3.801522e+07 ; 6.107777e+05 + i 5.856278e+06 ; 3.922088e+05 + i -3.219192e+05 ; 8.280724e+06 + i -1.013881e+07 ; 5.657140e+06 + i 1.093974e+07 ; 1.972227e+06 + i -8.020346e+06 ; 6.514451e+06 + i -5.777181e+06 ; 7.152791e+05 + i 6.373992e+06 ; 8.715491e+03 + i -2.118909e+06 ; 
-7.943840e+06 + i 3.306851e+07 ; 9.306144e+07 + i -1.419788e+08 ; -4.751752e+08 + i 1.307002e+09 ; -9.768647e+06 + i 5.668265e+07 ; 1.377562e+07 + i -6.411538e+07 ; 2.036523e+08 + i 6.461804e+07 ; -6.299171e+07 + i 6.219065e+07 ; 7.357433e+07 + i -6.768044e+07 ; -1.168310e+10 + i 9.983958e+09 ; -7.526203e+07 + i 1.284284e+08 ; 1.014759e+07 + i -3.707462e+07 ; -4.708404e+08 + i 1.305703e+09 ; -1.743737e+07 + i -3.946726e+07 ; -2.057957e+08 + i 7.195063e+08 ; -4.783519e+08 + i 6.735922e+08 ; -1.802569e+07 + i -1.327854e+08 ; 1.572570e+07 + i 1.414236e+08 ; 1.707864e+08 + i 7.435738e+07 ; 1.284936e+08 + i -2.500504e+08 ; -1.554461e+08 + i 2.661825e+08 ; 7.685910e+08 + i -2.689936e+09 ; 1.537500e+08 + i -6.604643e+08 ; 1.704141e+07 + i 4.082977e+07 ; -4.792851e+08 + i 6.714659e+08 ; -9.067408e+06 + i 1.065441e+07 ; 2.584440e+06 + i -8.815663e+06 ; 5.736011e+06 + i 1.094375e+07 ; -7.017615e+06 + i 6.115394e+06 ; 1.011137e+05 + i -2.345628e+06 ; 7.226326e+05 + i 6.348227e+06 ; -1.294690e+07 + i 6.483426e+06 ; 2.121897e+06 + i -6.272792e+06 ; 1.724370e+07 + i 1.686181e+07 ; -9.552029e+06 + i 2.734025e+06 ; 8.327721e+04 + i -1.856997e+06 ; -1.455780e+05 + i 7.604253e+06 ; 1.130105e+07 + i -5.966481e+07 ; 8.230380e+05 + i 2.752092e+06 ; 5.407418e+06 + i 1.075825e+07 ; 9.741392e+06 + i -3.786651e+07 ; 4.704353e+05 + i -3.556424e+05 ; 6.432130e+05 + i 5.828619e+06 ; 4.157043e+07 + i -1.049430e+08 ; 1.369511e+06 + i -3.711986e+06 ; 1.558295e+07 + i 2.009868e+07 ; 3.070660e+07 + i -5.965326e+07 ; 4.507422e+05 + i -1.516587e+06 ; -2.576780e+04 + i 6.621797e+06 ; 
-4.904639e+08 + i 6.648983e+08 ; 2.396459e+08 + i -7.454139e+08 ; 1.537213e+07 + i 3.915916e+07 ; -4.691174e+08 + i 1.286734e+09 ; -2.768585e+07 + i 1.044602e+08 ; 5.931604e+06 + i -2.899032e+07 ; 7.854131e+08 + i -2.714390e+09 ; 1.038169e+08 + i -2.442282e+08 ; -1.299326e+08 + i 2.521194e+08 ; -1.165118e+10 + i 9.936612e+09 ; -7.213177e+07 + i 6.067889e+07 ; 6.005845e+07 + i -5.835847e+07 ; 1.683655e+08 + i 7.331894e+07 ; -7.748471e+06 + i -1.476976e+08 ; 1.779903e+07 + i 1.311532e+08 ; 1.965459e+08 + i 6.195197e+07 ; -1.458961e+07 + i 5.350728e+07 ; 7.567743e+06 + i -5.125018e+07 ; -4.748546e+08 + i 6.610026e+08 ; -1.029233e+07 + i -4.216322e+07 ; -1.580097e+08 + i 6.709195e+08 ; -4.695108e+08 + i 1.287121e+09 ; -9.190159e+06 + i 2.943851e+07 ; 7.389013e+07 + i -1.242183e+08 ; -6.271428e+07 + i -4.602365e+07 ; -6.787176e+07 + i 2.154407e+08 ; 2.538792e+06 + i -2.774787e+07 ; -4.011126e+07 + i -4.774926e+07 ; 1.449933e+07 + i 8.214270e+06 ; -3.674310e+06 + i 2.876992e+06 ; 1.832137e+08 + i -5.346276e+08 ; -5.534840e+07 + i 8.447515e+07 ; 3.060156e+07 + i -7.169316e+07 ; 1.403494e+08 + i -2.806803e+08 ; 1.243711e+07 + i -1.023405e+06 ; -1.093745e+07 + i 3.031044e+06 ; -1.847024e+07 + i 3.829445e+07 ; -1.373145e+07 + i 9.299867e+07 ; 3.200654e+06 + i -8.069852e+07 ; -1.648873e+07 + i 1.548451e+07 ; 4.218379e+06 + i 6.695095e+06 ; -4.481179e+06 + i -5.060510e+06 ; -6.597510e+07 + i -4.436415e+07 ; -1.009240e+07 + i 3.419224e+07 ; 3.697950e+07 + i -1.906885e+08 ; -4.224000e+07 + i -4.712730e+07 ; 3.804823e+06 + i -2.176758e+06 ; -1.344945e+07 + i -5.047467e+06 ; 
2.332750e+08 + i -7.343170e+08 ; -4.921613e+08 + i 6.758983e+08 ; 1.493441e+07 + i 3.818986e+07 ; 9.400244e+07 + i -2.243686e+08 ; 7.759298e+08 + i -2.702794e+09 ; -1.304203e+08 + i 2.505352e+08 ; -3.195500e+07 + i 1.170690e+08 ; -4.684590e+08 + i 1.303956e+09 ; 8.784709e+06 + i -3.518601e+07 ; -7.377218e+07 + i 6.890745e+07 ; -1.167127e+10 + i 9.968825e+09 ; 6.380300e+07 + i -6.532463e+07 ; -1.092970e+07 + i -1.395483e+08 ; 1.715061e+08 + i 7.566029e+07 ; 1.736591e+07 + i 1.302080e+08 ; -1.507829e+07 + i -2.882594e+07 ; -4.698646e+08 + i 6.619301e+08 ; -1.583899e+08 + i 6.687151e+08 ; -1.748141e+07 + i 6.318114e+07 ; 2.015731e+08 + i 6.384825e+07 ; 1.086425e+07 + i -5.971552e+07 ; -1.036591e+07 + i 3.544681e+07 ; -4.637014e+08 + i 1.293449e+09 ; 7.830489e+07 + i -1.344087e+08 ; -5.068199e+07 + i 2.070534e+08 ; -8.088528e+07 + i 1.716397e+08 ; -1.529583e+06 + i 9.104082e+06 ; -4.459468e+07 + i 1.140064e+08 ; 1.581196e+07 + i 1.984915e+07 ; 2.821307e+06 + i -3.379711e+06 ; 4.445300e+07 + i -6.305837e+07 ; -8.097237e+07 + i 2.512344e+08 ; 8.740577e+06 + i -1.580356e+07 ; 3.604702e+07 + i -4.104788e+07 ; 1.748437e+07 + i 1.681780e+07 ; -5.236294e+05 + i -4.091997e+06 ; -1.406244e+07 + i 9.228531e+07 ; 1.131322e+06 + i 8.185227e+07 ; -2.553130e+06 + i 4.425796e+07 ; -1.190740e+07 + i 5.622225e+07 ; 5.433579e+06 + i 1.057641e+07 ; 3.500386e+06 + i -1.028233e+06 ; 1.641404e+07 + i -3.785805e+07 ; 4.873445e+06 + i 1.040890e+08 ; 1.043502e+07 + i -2.533830e+07 ; 1.457214e+07 + i -2.851346e+07 ; 5.627642e+06 + i 1.085720e+07 ; -5.801507e+05 + i -5.538647e+06 ; 
