-1.300453e+10 + i 8.979519e+09 ; -6.572239e+07 + i 5.203379e+07 ; -6.570272e+07 + i 5.206047e+07 ; 1.324552e+09 + i -2.591570e+09 ; 1.550773e+08 + i -2.144930e+08 ; 1.549925e+08 + i -2.144809e+08 ; -7.103182e+08 + i 1.228065e+09 ; -9.006447e+07 + i 1.145409e+08 ; -1.422278e+07 + i 2.968982e+07 ; -5.674289e+08 + i 5.719698e+08 ; 2.609547e+08 + i -6.105172e+08 ; -3.197070e+06 + i -3.648456e+07 ; -7.102415e+08 + i 1.228063e+09 ; -1.432098e+07 + i 2.962629e+07 ; -9.011330e+07 + i 1.145235e+08 ; -5.672923e+08 + i 5.720123e+08 ; -2.787788e+06 + i -3.654954e+07 ; 2.609727e+08 + i -6.105159e+08 ; 1.579887e+08 + i 9.319377e+07 ; -2.060966e+07 + i 5.270591e+07 ; -2.045752e+07 + i 5.268497e+07 ; 1.257135e+08 + i 9.249218e+07 ; 1.201150e+07 + i -1.258002e+08 ; 1.201120e+07 + i -1.258315e+08 ; 1.874706e+08 + i -2.573072e+08 ; -7.187101e+06 + i 3.110102e+06 ; -7.180398e+06 + i 3.111475e+06 ; 1.188746e+08 + i -1.342163e+08 ; -1.098171e+06 + i 2.402781e+06 ; -1.096462e+06 + i 2.403468e+06 ; -2.521213e+07 + i -5.307039e+07 ; -4.373213e+06 + i -1.436455e+07 ; -4.594412e+06 + i 4.320374e+06 ; -1.078757e+07 + i -4.414503e+07 ; -3.494466e+05 + i -2.118849e+06 ; -8.848183e+05 + i 2.092335e+06 ; -2.516141e+07 + i -5.307205e+07 ; -4.564077e+06 + i 4.303710e+06 ; -4.369679e+06 + i -1.436362e+07 ; -1.076227e+07 + i -4.413891e+07 ; -8.835690e+05 + i 2.088390e+06 ; -3.503124e+05 + i -2.118570e+06 ; -1.745023e+07 + i 8.465755e+06 ; -2.456942e+06 + i -8.113509e+06 ; -2.465537e+06 + i -8.110193e+06 ; -1.186716e+07 + i -1.627599e+06 ; -2.972317e+05 + i -1.617106e+06 ; -2.965818e+05 + i -1.616466e+06 ; 
-6.545065e+07 + i 5.015762e+07 ; -1.301882e+10 + i 8.990491e+09 ; -6.576177e+07 + i 5.202090e+07 ; -9.002829e+07 + i 1.120512e+08 ; -7.146793e+08 + i 1.233982e+09 ; -1.404548e+07 + i 2.932977e+07 ; 1.595249e+08 + i -2.192646e+08 ; 1.300801e+09 + i -2.569940e+09 ; 1.545463e+08 + i -2.147721e+08 ; 2.687157e+08 + i -6.198240e+08 ; -5.711699e+08 + i 5.821395e+08 ; -3.375795e+06 + i -3.687731e+07 ; -1.451773e+07 + i 2.828283e+07 ; -7.130542e+08 + i 1.235738e+09 ; -9.015540e+07 + i 1.144675e+08 ; -2.116951e+07 + i 5.118672e+07 ; 1.587955e+08 + i 9.544659e+07 ; -2.021477e+07 + i 5.232700e+07 ; -9.801896e+04 + i -4.052500e+07 ; -5.711974e+08 + i 5.842285e+08 ; 2.606953e+08 + i -6.113191e+08 ; 1.658423e+07 + i -1.330925e+08 ; 1.274312e+08 + i 9.552473e+07 ; 1.200154e+07 + i -1.265887e+08 ; -1.204130e+07 + i 4.468249e+06 ; 1.072910e+07 + i 2.007413e+07 ; -2.713277e+06 + i 5.205954e+06 ; -8.436771e+06 + i 1.419775e+06 ; -2.004762e+06 + i 8.226303e+06 ; -3.786780e+05 + i 1.613405e+06 ; 5.714816e+07 + i -9.498852e+07 ; 8.490634e+06 + i 2.272504e+07 ; -1.443616e+06 + i 2.844668e+06 ; 3.836343e+07 + i -5.275572e+07 ; -1.673495e+06 + i 7.244522e+06 ; -5.521165e+05 + i 1.252093e+06 ; -9.668724e+06 + i 8.375805e+06 ; 1.929238e+06 + i 1.343018e+07 ; -3.405986e+06 + i 7.369992e+06 ; -6.994437e+06 + i 4.441432e+06 ; -8.129432e+05 + i 6.813753e+06 ; -4.757930e+05 + i 2.043496e+06 ; 2.230612e+07 + i -5.542231e+07 ; 1.711567e+06 + i 1.307622e+07 ; -1.075452e+05 + i -2.826813e+06 ; 1.622289e+07 + i -3.446652e+07 ; -7.419737e+05 + i 6.240482e+06 ; -4.072081e+05 + i 2.053594e+05 ; 
-6.549038e+07 + i 5.019325e+07 ; -6.575532e+07 + i 5.202685e+07 ; -1.301918e+10 + i 8.990494e+09 ; -9.005146e+07 + i 1.120378e+08 ; -1.403651e+07 + i 2.933457e+07 ; -7.145434e+08 + i 1.234071e+09 ; -1.447284e+07 + i 2.830853e+07 ; -9.030241e+07 + i 1.144666e+08 ; -7.146721e+08 + i 1.235835e+09 ; -2.100898e+07 + i 5.116403e+07 ; -2.025801e+07 + i 5.234274e+07 ; 1.591436e+08 + i 9.576257e+07 ; 1.595704e+08 + i -2.192491e+08 ; 1.544547e+08 + i -2.147807e+08 ; 1.300073e+09 + i -2.569810e+09 ; 2.687556e+08 + i -6.198243e+08 ; -3.428437e+06 + i -3.685714e+07 ; -5.713483e+08 + i 5.822321e+08 ; -3.337974e+05 + i -4.043994e+07 ; 2.606632e+08 + i -6.113389e+08 ; -5.714706e+08 + i 5.840760e+08 ; 1.648071e+07 + i -1.330732e+08 ; 1.198535e+07 + i -1.265745e+08 ; 1.275576e+08 + i 9.564533e+07 ; -1.204373e+07 + i 4.456899e+06 ; -2.714240e+06 + i 5.206904e+06 ; 1.073636e+07 + i 2.008291e+07 ; -8.438326e+06 + i 1.413494e+06 ; -3.786805e+05 + i 1.613923e+06 ; -1.998293e+06 + i 8.224436e+06 ; -9.637871e+06 + i 8.365138e+06 ; -3.406658e+06 + i 7.371697e+06 ; 1.937094e+06 + i 1.343234e+07 ; -6.966425e+06 + i 4.437632e+06 ; -4.745146e+05 + i 2.043535e+06 ; -8.058429e+05 + i 6.811956e+06 ; 5.714718e+07 + i -9.498102e+07 ; -1.449994e+06 + i 2.847056e+06 ; 8.475401e+06 + i 2.274561e+07 ; 3.836438e+07 + i -5.275064e+07 ; -5.531246e+05 + i 1.253309e+06 ; -1.674904e+06 + i 7.247872e+06 ; 2.229556e+07 + i -5.543893e+07 ; -1.050548e+05 + i -2.826397e+06 ; 1.706154e+06 + i 1.308224e+07 ; 1.621408e+07 + i -3.447325e+07 ; -4.052281e+05 + i 2.053396e+05 ; -7.416343e+05 + i 6.243873e+06 ; 
1.328748e+09 + i -2.591371e+09 ; -1.636929e+08 + i 2.211291e+08 ; -1.635567e+08 + i 2.211272e+08 ; -1.298383e+10 + i 8.948031e+09 ; 6.249335e+07 + i -4.661448e+07 ; 6.248665e+07 + i -4.664307e+07 ; -5.663113e+08 + i 5.718321e+08 ; -2.785548e+08 + i 6.301475e+08 ; 3.093852e+06 + i 3.903560e+07 ; -7.100007e+08 + i 1.217064e+09 ; 8.871761e+07 + i -1.081345e+08 ; 1.108402e+07 + i -2.496742e+07 ; -5.663014e+08 + i 5.718592e+08 ; 2.730018e+06 + i 3.909527e+07 ; -2.785740e+08 + i 6.301491e+08 ; -7.097333e+08 + i 1.217047e+09 ; 1.115010e+07 + i -2.491993e+07 ; 8.873945e+07 + i -1.081230e+08 ; 1.257774e+08 + i 9.219558e+07 ; -1.387813e+07 + i 1.316788e+08 ; -1.390742e+07 + i 1.316918e+08 ; 1.548048e+08 + i 9.224098e+07 ; 1.753342e+07 + i -4.669875e+07 ; 1.747808e+07 + i -4.668650e+07 ; 2.847035e+08 + i -5.065893e+08 ; 4.126648e+07 + i -6.374539e+07 ; 4.122210e+07 + i -6.374589e+07 ; 1.875332e+08 + i -2.572525e+08 ; -9.655908e+06 + i 1.063905e+06 ; -9.662725e+06 + i 1.073382e+06 ; -4.639346e+07 + i -5.581753e+07 ; 7.260206e+07 + i -1.804507e+08 ; 8.582821e+06 + i -2.607683e+07 ; -2.522010e+07 + i -5.306366e+07 ; -1.005785e+07 + i -7.763259e+06 ; -3.540702e+06 + i 1.664204e+06 ; -4.632996e+07 + i -5.584341e+07 ; 8.670617e+06 + i -2.609575e+07 ; 7.261396e+07 + i -1.804540e+08 ; -2.518475e+07 + i -5.307048e+07 ; -3.531987e+06 + i 1.646369e+06 ; -1.005846e+07 + i -7.767377e+06 ; -2.481327e+07 + i 3.023501e+07 ; 2.039558e+07 + i -7.869935e+07 ; 2.042341e+07 + i -7.870458e+07 ; -1.740800e+07 + i 8.474742e+06 ; -2.611271e+06 + i -6.499867e+06 ; -2.595368e+06 + i -6.505958e+06 ; 
1.117327e+08 + i -1.269457e+08 ; -7.190923e+08 + i 1.233732e+09 ; -1.524026e+07 + i 3.057520e+07 ; 7.596976e+07 + i -5.605457e+07 ; -1.300950e+10 + i 8.976634e+09 ; -6.813519e+07 + i 5.279020e+07 ; -3.377234e+08 + i 6.779235e+08 ; -5.705585e+08 + i 5.821777e+08 ; -3.965709e+06 + i -3.793063e+07 ; -1.822194e+08 + i 2.200782e+08 ; 1.312805e+09 + i -2.581087e+09 ; 1.629850e+08 + i -2.196605e+08 ; 2.659871e+07 + i -6.001597e+07 ; 1.591108e+08 + i 9.609442e+07 ; -2.192571e+07 + i 5.422063e+07 ; 1.624784e+07 + i -3.280850e+07 ; -7.044838e+08 + i 1.224528e+09 ; -9.439502e+07 + i 1.171764e+08 ; -1.833049e+07 + i 1.388154e+08 ; 1.271405e+08 + i 9.547809e+07 ; 1.425835e+07 + i -1.307015e+08 ; 7.835017e+06 + i 3.170696e+07 ; -5.632125e+08 + i 5.737516e+08 ; 2.786842e+08 + i -6.278803e+08 ; -3.708876e+07 + i 4.991167e+07 ; -1.288047e+08 + i 2.388749e+08 ; -1.082601e+07 + i 1.356166e+07 ; -3.077336e+07 + i 3.267530e+07 ; 1.133472e+07 + i 2.004948e+07 ; -5.177583e+05 + i 3.904115e+06 ; 8.414615e+07 + i -1.949211e+08 ; -1.130757e+08 + i 1.582487e+08 ; 3.232245e+06 + i -8.469208e+06 ; 6.057404e+07 + i -1.042349e+08 ; 8.601677e+06 + i 2.274933e+07 ; -3.081469e+06 + i 2.762188e+06 ; -1.723979e+07 + i 3.120974e+07 ; -2.033938e+07 + i 1.048506e+08 ; -1.421518e+07 + i 2.251410e+07 ; -1.512439e+07 + i 2.325056e+07 ; 2.150657e+06 + i 1.330832e+07 ; -7.689142e+05 + i 5.341133e+06 ; 3.067834e+07 + i -8.812674e+07 ; -1.927724e+07 + i 8.130012e+07 ; 1.187053e+07 + i -4.312966e+07 ; 2.171632e+07 + i -5.278403e+07 ; 1.710943e+06 + i 1.304202e+07 ; -3.127866e+06 + i 2.012771e+05 ; 
1.117618e+08 + i -1.269465e+08 ; -1.523303e+07 + i 3.057898e+07 ; -7.188983e+08 + i 1.233834e+09 ; 7.598415e+07 + i -5.606384e+07 ; -6.812318e+07 + i 5.280203e+07 ; -1.300968e+10 + i 8.976691e+09 ; 2.652784e+07 + i -6.002683e+07 ; -2.197342e+07 + i 5.423356e+07 ; 1.595972e+08 + i 9.649727e+07 ; 1.617496e+07 + i -3.283379e+07 ; -9.453192e+07 + i 1.171730e+08 ; -7.063449e+08 + i 1.224627e+09 ; -3.377536e+08 + i 6.779087e+08 ; -4.003595e+06 + i -3.789941e+07 ; -5.708204e+08 + i 5.822337e+08 ; -1.822548e+08 + i 2.200661e+08 ; 1.628714e+08 + i -2.196782e+08 ; 1.312139e+09 + i -2.580978e+09 ; -1.819351e+07 + i 1.387990e+08 ; 1.427471e+07 + i -1.306740e+08 ; 1.277284e+08 + i 9.559226e+07 ; 7.966700e+06 + i 3.167126e+07 ; 2.786374e+08 + i -6.279114e+08 ; -5.635399e+08 + i 5.735129e+08 ; -3.710650e+07 + i 4.992142e+07 ; -1.082957e+07 + i 1.356055e+07 ; -1.287212e+08 + i 2.388690e+08 ; -3.078524e+07 + i 3.267995e+07 ; -5.182210e+05 + i 3.905527e+06 ; 1.135866e+07 + i 2.003986e+07 ; -1.723260e+07 + i 3.121175e+07 ; -1.422805e+07 + i 2.251373e+07 ; -2.033952e+07 + i 1.048881e+08 ; -1.510149e+07 + i 2.325270e+07 ; -7.674919e+05 + i 5.342537e+06 ; 2.172084e+06 + i 1.329733e+07 ; 8.416043e+07 + i -1.949173e+08 ; 3.215903e+06 + i -8.467172e+06 ; -1.131478e+08 + i 1.582708e+08 ; 6.059117e+07 + i -1.042324e+08 ; -3.085473e+06 + i 2.765948e+06 ; 8.593217e+06 + i 2.276543e+07 ; 3.062164e+07 + i -8.811165e+07 ; 1.187797e+07 + i -4.313188e+07 ; -1.932417e+07 + i 8.130678e+07 ; 2.167591e+07 + i -5.277116e+07 ; -3.124385e+06 + i 2.024767e+05 ; 1.695990e+06 + i 1.305649e+07 ; 
-7.151362e+08 + i 1.227901e+09 ; 9.344494e+07 + i -1.192281e+08 ; -1.522299e+07 + i 3.065227e+07 ; -5.699334e+08 + i 5.732045e+08 ; -3.392455e+08 + i 6.848704e+08 ; -3.607494e+06 + i -3.783203e+07 ; -1.300840e+10 + i 8.978763e+09 ; 7.004609e+07 + i -5.445637e+07 ; -6.878840e+07 + i 5.301421e+07 ; 1.322737e+09 + i -2.591177e+09 ; -1.760519e+08 + i 2.298183e+08 ; 1.637209e+08 + i -2.200773e+08 ; 1.580250e+08 + i 9.403708e+07 ; 2.821596e+07 + i -5.814911e+07 ; -2.191383e+07 + i 5.432327e+07 ; 1.251606e+08 + i 9.282869e+07 ; -2.346943e+07 + i 1.434206e+08 ; 1.446192e+07 + i -1.302469e+08 ; -7.094496e+08 + i 1.228687e+09 ; 1.844859e+07 + i -3.196350e+07 ; -9.507736e+07 + i 1.173489e+08 ; -5.667254e+08 + i 5.721435e+08 ; 1.210921e+05 + i 4.127296e+07 ; 2.795992e+08 + i -6.288755e+08 ; -2.409847e+07 + i -5.313905e+07 ; 3.846209e+06 + i 1.656928e+07 ; -4.897510e+06 + i 4.436657e+06 ; -1.011684e+07 + i -4.404592e+07 ; 2.698753e+05 + i 2.423934e+06 ; -9.513347e+05 + i 2.164199e+06 ; 1.875302e+08 + i -2.573575e+08 ; 8.761186e+06 + i -3.435191e+06 ; -7.466895e+06 + i 3.114549e+06 ; 1.188755e+08 + i -1.342064e+08 ; 1.523441e+06 + i -2.747745e+06 ; -1.162503e+06 + i 2.471791e+06 ; -1.745393e+07 + i 8.343470e+06 ; 2.228243e+06 + i 9.413157e+06 ; -2.440066e+06 + i -8.442210e+06 ; -1.181986e+07 + i -1.732069e+06 ; 2.474427e+05 + i 1.841248e+06 ; -2.784440e+05 + i -1.678481e+06 ; -2.504701e+07 + i -5.304062e+07 ; 5.823942e+06 + i -4.823625e+06 ; -4.298774e+06 + i -1.494810e+07 ; -1.069013e+07 + i -4.409837e+07 ; 1.244781e+06 + i -2.402226e+06 ; -3.254274e+05 + i -2.201850e+06 ; 
-1.496649e+08 + i 2.183116e+08 ; 1.304423e+09 + i -2.569656e+09 ; -1.638715e+08 + i 2.202886e+08 ; -2.841312e+08 + i 6.378510e+08 ; -5.729044e+08 + i 5.831053e+08 ; 2.781484e+06 + i 3.834609e+07 ; 6.244334e+07 + i -5.084112e+07 ; -1.302157e+10 + i 8.989900e+09 ; 6.785467e+07 + i -5.287665e+07 ; 7.495743e+07 + i -1.084286e+08 ; -7.137333e+08 + i 1.233664e+09 ; 1.459335e+07 + i -3.005241e+07 ; -1.012662e+06 + i 4.094639e+07 ; -5.694678e+08 + i 5.839233e+08 ; -2.790441e+08 + i 6.298244e+08 ; -1.946140e+07 + i 1.368700e+08 ; 1.276319e+08 + i 9.549250e+07 ; -1.419771e+07 + i 1.310211e+08 ; 1.502509e+07 + i -2.808664e+07 ; -7.140642e+08 + i 1.235726e+09 ; 9.534319e+07 + i -1.172996e+08 ; 2.290327e+07 + i -5.152654e+07 ; 1.581733e+08 + i 9.563135e+07 ; 2.183038e+07 + i -5.395517e+07 ; -6.115619e+07 + i 9.790158e+07 ; 7.600361e+06 + i 2.290231e+07 ; 1.535285e+06 + i -2.918972e+06 ; -4.095279e+07 + i 5.434124e+07 ; -1.676004e+06 + i 7.285063e+06 ; 5.910469e+05 + i -1.288525e+06 ; 1.023103e+07 + i -4.117305e+06 ; 1.071735e+07 + i 2.014432e+07 ; 2.877075e+06 + i -5.340997e+06 ; 7.456800e+06 + i -1.235491e+06 ; -1.996776e+06 + i 8.261492e+06 ; 4.183988e+05 + i -1.664084e+06 ; -2.425101e+07 + i 5.720130e+07 ; 1.426625e+06 + i 1.324153e+07 ; 8.819468e+04 + i 2.935106e+06 ; -1.756250e+07 + i 3.557867e+07 ; -7.693628e+05 + i 6.259749e+06 ; 4.316796e+05 + i -2.081045e+05 ; 9.334389e+06 + i -8.159858e+06 ; 1.979558e+06 + i 1.343466e+07 ; 3.656167e+06 + i -7.584327e+06 ; 6.783990e+06 + i -4.258113e+06 ; -7.996632e+05 + i 6.820155e+06 ; 5.293932e+05 + i -2.111688e+06 ; 
-1.444612e+07 + i 2.930334e+07 ; 1.135336e+08 + i -1.251897e+08 ; -7.188471e+08 + i 1.235791e+09 ; -2.176699e+07 + i 5.283115e+07 ; 2.684537e+07 + i -5.911729e+07 ; 1.592747e+08 + i 9.644308e+07 ; -6.856558e+07 + i 5.079561e+07 ; 7.887654e+07 + i -5.487188e+07 ; -1.302159e+10 + i 8.990121e+09 ; -9.514501e+07 + i 1.144379e+08 ; 1.719945e+07 + i -3.263066e+07 ; -7.145742e+08 + i 1.234587e+09 ; -5.289299e+06 + i -4.077432e+07 ; -3.478565e+08 + i 6.862979e+08 ; -5.707813e+08 + i 5.841241e+08 ; 1.630849e+07 + i -1.372107e+08 ; -2.028130e+07 + i 1.447202e+08 ; 1.276450e+08 + i 9.552369e+07 ; 1.697900e+08 + i -2.245072e+08 ; -1.964650e+08 + i 2.363456e+08 ; 1.300824e+09 + i -2.569520e+09 ; 2.896145e+08 + i -6.375113e+08 ; 4.701962e+06 + i 4.174540e+07 ; -5.711273e+08 + i 5.820883e+08 ; -1.009185e+07 + i 8.510807e+06 ; 4.365529e+06 + i -8.235028e+06 ; 2.044955e+06 + i 1.344233e+07 ; -7.266246e+06 + i 4.485994e+06 ; 6.627545e+05 + i -2.307963e+06 ; -7.873850e+05 + i 6.800190e+06 ; -1.258711e+07 + i 4.435426e+06 ; 3.356495e+06 + i -5.770885e+06 ; 1.077169e+07 + i 2.011161e+07 ; -8.792868e+06 + i 1.337264e+06 ; 5.294577e+05 + i -1.816104e+06 ; -1.998845e+06 + i 8.224316e+06 ; 2.390783e+07 + i -5.711496e+07 ; 3.343936e+04 + i 3.196529e+06 ; 1.764382e+06 + i 1.309524e+07 ; 1.734418e+07 + i -3.546842e+07 ; 5.069751e+05 + i -2.251166e+05 ; -7.355431e+05 + i 6.238625e+06 ; 6.069815e+07 + i -9.740847e+07 ; 2.036012e+06 + i -3.282527e+06 ; 8.510378e+06 + i 2.275244e+07 ; 4.054299e+07 + i -5.398129e+07 ; 7.642940e+05 + i -1.425439e+06 ; -1.668180e+06 + i 7.243419e+06 ; 
-5.792841e+08 + i 5.749210e+08 ; 3.828801e+08 + i -7.071034e+08 ; 3.597546e+06 + i 4.028329e+07 ; -7.087685e+08 + i 1.216779e+09 ; -4.883365e+07 + i 9.674350e+07 ; 1.179155e+07 + i -2.571916e+07 ; 1.321137e+09 + i -2.590943e+09 ; 1.472673e+08 + i -2.213199e+08 ; -1.714674e+08 + i 2.261429e+08 ; -1.298285e+10 + i 8.948135e+09 ; -7.597684e+07 + i 4.856949e+07 ; 6.506721e+07 + i -4.737988e+07 ; 1.261179e+08 + i 9.363825e+07 ; 2.869474e+07 + i -1.500314e+08 ; -1.615524e+07 + i 1.357325e+08 ; 1.540397e+08 + i 9.255369e+07 ; -2.520906e+07 + i 4.945653e+07 ; 1.863531e+07 + i -4.793404e+07 ; -5.647648e+08 + i 5.724394e+08 ; 1.505759e+06 + i -4.262500e+07 ; -2.956928e+08 + i 6.465885e+08 ; -7.091944e+08 + i 1.217078e+09 ; -1.473887e+07 + i 2.592793e+07 ; 9.291263e+07 + i -1.104111e+08 ; -4.312433e+07 + i -5.695636e+07 ; -1.094880e+08 + i 2.050418e+08 ; 8.934429e+06 + i -2.678082e+07 ; -2.319133e+07 + i -5.339654e+07 ; 1.049290e+07 + i 1.100095e+07 ; -3.734291e+06 + i 1.701721e+06 ; 2.847462e+08 + i -5.066905e+08 ; -6.750193e+07 + i 7.459226e+07 ; 4.338041e+07 + i -6.527538e+07 ; 1.874583e+08 + i -2.572323e+08 ; 1.086649e+07 + i 7.932130e+05 ; -9.963826e+06 + i 9.849319e+05 ; -2.412654e+07 + i 2.962902e+07 ; -3.388533e+07 + i 9.106963e+07 ; 2.210044e+07 + i -8.096298e+07 ; -1.689906e+07 + i 8.066901e+06 ; 1.920972e+06 + i 8.278628e+06 ; -2.590327e+06 + i -6.751011e+06 ; -4.626495e+07 + i -5.577502e+07 ; -1.678533e+07 + i 3.174464e+07 ; 7.727350e+07 + i -1.852560e+08 ; -2.516729e+07 + i -5.300095e+07 ; 3.634003e+06 + i -1.032766e+06 ; -1.026742e+07 + i -8.144403e+06 ; 
3.747762e+08 + i -6.972554e+08 ; -5.832644e+08 + i 5.850964e+08 ; 3.480619e+06 + i 3.923960e+07 ; 1.341106e+08 + i -2.034216e+08 ; 1.310181e+09 + i -2.580781e+09 ; -1.714881e+08 + i 2.245330e+08 ; -5.550863e+07 + i 1.083254e+08 ; -7.122546e+08 + i 1.233376e+09 ; 1.570354e+07 + i -3.123089e+07 ; -7.935875e+07 + i 5.627588e+07 ; -1.300784e+10 + i 8.976933e+09 ; 6.994010e+07 + i -5.355064e+07 ; 2.402152e+07 + i -1.426058e+08 ; 1.280202e+08 + i 9.663704e+07 ; -1.627511e+07 + i 1.347001e+08 ; -5.791944e+06 + i -3.034811e+07 ; -5.606923e+08 + i 5.739774e+08 ; -2.954732e+08 + i 6.443652e+08 ; -3.003966e+07 + i 5.849030e+07 ; 1.575728e+08 + i 9.572857e+07 ; 2.347781e+07 + i -5.564940e+07 ; -1.722547e+07 + i 3.165866e+07 ; -7.057058e+08 + i 1.224010e+09 ; 9.913874e+07 + i -1.196882e+08 ; -9.286065e+07 + i 1.991559e+08 ; -1.104282e+08 + i 1.570243e+08 ; -3.504469e+06 + i 8.705633e+06 ; -6.541504e+07 + i 1.056763e+08 ; 8.760675e+06 + i 2.255790e+07 ; 3.208734e+06 + i -2.802066e+06 ; 5.299711e+07 + i -5.506732e+07 ; -1.293628e+08 + i 2.389235e+08 ; 1.121604e+07 + i -1.382458e+07 ; 4.053242e+07 + i -3.464224e+07 ; 1.099462e+07 + i 2.008679e+07 ; 5.758890e+05 + i -4.005450e+06 ; -3.407581e+07 + i 9.060435e+07 ; -1.863859e+07 + i 8.075435e+07 ; -1.276695e+07 + i 4.436154e+07 ; -2.367115e+07 + i 5.399604e+07 ; 1.824902e+06 + i 1.294780e+07 ; 3.247160e+06 + i -1.695770e+05 ; 2.305627e+07 + i -3.423390e+07 ; -2.057462e+07 + i 1.048969e+08 ; 1.497962e+07 + i -2.304352e+07 ; 1.920914e+07 + i -2.511572e+07 ; 1.968738e+06 + i 1.336767e+07 ; 8.771362e+05 + i -5.501696e+06 ; 
