-1.430168e+10 + i 8.151686e+09 ; -7.121105e+07 + i 4.339963e+07 ; -7.119949e+07 + i 4.342382e+07 ; 1.811836e+09 + i -2.475417e+09 ; 1.904779e+08 + i -1.949144e+08 ; 1.903993e+08 + i -1.949100e+08 ; -9.327033e+08 + i 1.165343e+09 ; -1.082300e+08 + i 1.034882e+08 ; -1.966222e+07 + i 2.669563e+07 ; -6.461265e+08 + i 5.004017e+08 ; 3.812699e+08 + i -5.911235e+08 ; 6.018754e+06 + i -3.686747e+07 ; -9.326345e+08 + i 1.165346e+09 ; -1.974241e+07 + i 2.663906e+07 ; -1.082708e+08 + i 1.034710e+08 ; -6.460108e+08 + i 5.004449e+08 ; 6.401740e+06 + i -3.689703e+07 ; 3.812868e+08 + i -5.911215e+08 ; 1.195603e+08 + i 1.155444e+08 ; -3.103407e+07 + i 4.952345e+07 ; -3.089247e+07 + i 4.951525e+07 ; 9.049247e+07 + i 1.055034e+08 ; 4.121316e+07 + i -1.286542e+08 ; 4.121519e+07 + i -1.286778e+08 ; 2.301572e+08 + i -2.374804e+08 ; -7.147138e+06 + i 2.083073e+06 ; -7.141023e+06 + i 2.084094e+06 ; 1.390212e+08 + i -1.213932e+08 ; -1.551975e+06 + i 2.155244e+06 ; -1.550671e+06 + i 2.156000e+06 ; -1.006618e+07 + i -5.675729e+07 ; -4.095517e+05 + i -1.588306e+07 ; -5.098000e+06 + i 3.509153e+06 ; 6.352390e+05 + i -4.505653e+07 ; 2.047404e+05 + i -2.505125e+06 ; -1.315704e+06 + i 1.937779e+06 ; -1.002068e+07 + i -5.675521e+07 ; -5.068429e+06 + i 3.497847e+06 ; -4.064570e+05 + i -1.588224e+07 ; 6.570244e+05 + i -4.505007e+07 ; -1.313661e+06 + i 1.934516e+06 ; 2.039233e+05 + i -2.504971e+06 ; -1.677348e+07 + i 2.780560e+06 ; -1.880623e+05 + i -9.257961e+06 ; -1.957589e+05 + i -9.256078e+06 ; -9.382921e+06 + i -5.751385e+06 ; 1.017233e+05 + i -1.890013e+06 ; 1.022098e+05 + i -1.889494e+06 ; 
-7.052221e+07 + i 4.161325e+07 ; -1.431719e+10 + i 8.161096e+09 ; -7.123666e+07 + i 4.335942e+07 ; -1.076019e+08 + i 1.010690e+08 ; -9.379533e+08 + i 1.170548e+09 ; -1.941861e+07 + i 2.636422e+07 ; 1.956089e+08 + i -1.991185e+08 ; 1.785285e+09 + i -2.456482e+09 ; 1.900757e+08 + i -1.952525e+08 ; 3.904609e+08 + i -5.994537e+08 ; -6.518355e+08 + i 5.098560e+08 ; 5.962763e+06 + i -3.728702e+07 ; -1.957572e+07 + i 2.528955e+07 ; -9.368963e+08 + i 1.172354e+09 ; -1.082894e+08 + i 1.033925e+08 ; -3.113858e+07 + i 4.793390e+07 ; 1.196622e+08 + i 1.178764e+08 ; -3.059047e+07 + i 4.919013e+07 ; 9.755107e+06 + i -4.047880e+07 ; -6.523285e+08 + i 5.118257e+08 ; 3.812374e+08 + i -5.919634e+08 ; 4.705102e+07 + i -1.353140e+08 ; 9.116080e+07 + i 1.088994e+08 ; 4.139779e+07 + i -1.294491e+08 ; -1.183731e+07 + i 2.996135e+06 ; 4.786668e+06 + i 2.228601e+07 ; -3.706599e+06 + i 4.854540e+06 ; -7.882946e+06 + i 4.396538e+05 ; -3.854252e+06 + i 8.636873e+06 ; -7.375555e+05 + i 1.582531e+06 ; 7.409620e+07 + i -8.886417e+07 ; 2.112020e+06 + i 2.440960e+07 ; -1.967328e+06 + i 2.588065e+06 ; 4.706053e+07 + i -4.826836e+07 ; -3.324975e+06 + i 7.661166e+06 ; -8.064514e+05 + i 1.194957e+06 ; -1.051769e+07 + i 6.805142e+06 ; -1.760421e+06 + i 1.516208e+07 ; -4.855232e+06 + i 6.979702e+06 ; -7.188871e+06 + i 3.276077e+06 ; -2.320929e+06 + i 7.134104e+06 ; -9.295380e+05 + i 2.016502e+06 ; 3.331294e+07 + i -5.318157e+07 ; -1.898172e+06 + i 1.466499e+07 ; 5.993805e+05 + i -3.141517e+06 ; 2.278512e+07 + i -3.246887e+07 ; -2.121029e+06 + i 6.534138e+06 ; -4.244487e+05 + i 1.109097e+05 ; 
-7.056606e+07 + i 4.164222e+07 ; -7.123166e+07 + i 4.336458e+07 ; -1.431751e+10 + i 8.161076e+09 ; -1.076205e+08 + i 1.010570e+08 ; -1.941180e+07 + i 2.636879e+07 ; -9.378522e+08 + i 1.170634e+09 ; -1.954147e+07 + i 2.531472e+07 ; -1.084215e+08 + i 1.033826e+08 ; -9.383953e+08 + i 1.172346e+09 ; -3.099102e+07 + i 4.792540e+07 ; -3.063179e+07 + i 4.919980e+07 ; 1.199348e+08 + i 1.181494e+08 ; 1.956462e+08 + i -1.991029e+08 ; 1.899933e+08 + i -1.952646e+08 ; 1.784605e+09 + i -2.456419e+09 ; 3.904961e+08 + i -5.994513e+08 ; 5.913849e+06 + i -3.727494e+07 ; -6.520140e+08 + i 5.099209e+08 ; 9.528139e+06 + i -4.042235e+07 ; 3.812099e+08 + i -5.919803e+08 ; -6.525634e+08 + i 5.116933e+08 ; 4.695580e+07 + i -1.353050e+08 ; 4.138181e+07 + i -1.294389e+08 ; 9.126678e+07 + i 1.090022e+08 ; -1.183712e+07 + i 2.986273e+06 ; -3.707576e+06 + i 4.855193e+06 ; 4.790841e+06 + i 2.229448e+07 ; -7.883371e+06 + i 4.345646e+05 ; -7.376701e+05 + i 1.582958e+06 ; -3.848259e+06 + i 8.635913e+06 ; -1.048751e+07 + i 6.797539e+06 ; -4.856073e+06 + i 6.980991e+06 ; -1.755371e+06 + i 1.516506e+07 ; -7.162734e+06 + i 3.274317e+06 ; -9.284167e+05 + i 2.016629e+06 ; -2.314123e+06 + i 7.133172e+06 ; 7.409419e+07 + i -8.885832e+07 ; -1.973355e+06 + i 2.589483e+06 ; 2.094482e+06 + i 2.442570e+07 ; 4.706066e+07 + i -4.826435e+07 ; -8.075795e+05 + i 1.195870e+06 ; -3.327320e+06 + i 7.664215e+06 ; 3.330670e+07 + i -5.319615e+07 ; 6.016294e+05 + i -3.141077e+06 ; -1.904814e+06 + i 1.466955e+07 ; 2.277836e+07 + i -3.247484e+07 ; -4.226905e+05 + i 1.110376e+05 ; -2.121519e+06 + i 6.537131e+06 ; 
1.815693e+09 + i -2.475084e+09 ; -1.997640e+08 + i 2.004742e+08 ; -1.996407e+08 + i 2.004809e+08 ; -1.427566e+10 + i 8.122935e+09 ; 6.699847e+07 + i -3.843091e+07 ; 6.699814e+07 + i -3.845564e+07 ; -6.450848e+08 + i 5.003419e+08 ; -4.016799e+08 + i 6.082621e+08 ; -6.718817e+06 + i 3.931538e+07 ; -9.297911e+08 + i 1.154462e+09 ; 1.054669e+08 + i -9.728887e+07 ; 1.570054e+07 + i -2.236880e+07 ; -6.450821e+08 + i 5.003670e+08 ; -7.060015e+06 + i 3.934304e+07 ; -4.016977e+08 + i 6.082622e+08 ; -9.295471e+08 + i 1.154464e+09 ; 1.575263e+07 + i -2.232618e+07 ; 1.054844e+08 + i -9.727799e+07 ; 9.057076e+07 + i 1.052775e+08 ; -4.430050e+07 + i 1.341833e+08 ; -4.432804e+07 + i 1.341913e+08 ; 1.171071e+08 + i 1.138125e+08 ; 2.680220e+07 + i -4.384254e+07 ; 2.674941e+07 + i -4.383606e+07 ; 3.774506e+08 + i -4.812811e+08 ; 5.231128e+07 + i -5.853663e+07 ; 5.227143e+07 + i -5.853984e+07 ; 2.301958e+08 + i -2.374272e+08 ; -8.815858e+06 + i -3.799923e+05 ; -8.823773e+06 + i -3.724932e+05 ; -2.839123e+07 + i -6.373636e+07 ; 1.086269e+08 + i -1.752957e+08 ; 1.403814e+07 + i -2.508075e+07 ; -1.008031e+07 + i -5.674609e+07 ; -7.069466e+06 + i -9.997687e+06 ; -3.479727e+06 + i 8.162938e+05 ; -2.832896e+07 + i -6.375489e+07 ; 1.412083e+07 + i -2.509081e+07 ; 1.086383e+08 + i -1.752977e+08 ; -1.004665e+07 + i -5.675037e+07 ; -3.468695e+06 + i 8.021972e+05 ; -7.069157e+06 + i -1.000115e+07 ; -2.862182e+07 + i 2.326058e+07 ; 3.733984e+07 + i -7.837672e+07 ; 3.736579e+07 + i -7.837919e+07 ; -1.673760e+07 + i 2.794297e+06 ; -6.985963e+05 + i -7.734967e+06 ; -6.832768e+05 + i -7.738733e+06 ; 
1.305995e+08 + i -1.134374e+08 ; -9.419876e+08 + i 1.170157e+09 ; -2.073876e+07 + i 2.736907e+07 ; 8.137926e+07 + i -4.654229e+07 ; -1.430562e+10 + i 8.148707e+09 ; -7.354923e+07 + i 4.390845e+07 ; -4.658686e+08 + i 6.480303e+08 ; -6.512846e+08 + i 5.099184e+08 ; 5.637256e+06 + i -3.823586e+07 ; -2.159591e+08 + i 1.972536e+08 ; 1.798758e+09 + i -2.466211e+09 ; 1.987433e+08 + i -1.990308e+08 ; 3.800887e+07 + i -5.576010e+07 ; 1.198843e+08 + i 1.184030e+08 ; -3.253569e+07 + i 5.076759e+07 ; 2.211852e+07 + i -2.940511e+07 ; -9.265034e+08 + i 1.162245e+09 ; -1.127334e+08 + i 1.056068e+08 ; -4.988541e+07 + i 1.402640e+08 ; 9.089987e+07 + i 1.088476e+08 ; 4.438681e+07 + i -1.331398e+08 ; -5.856196e+05 + i 3.220841e+07 ; -6.427271e+08 + i 5.025445e+08 ; 4.012591e+08 + i -6.060150e+08 ; -4.513269e+07 + i 4.505241e+07 ; -1.730526e+08 + i 2.276151e+08 ; -1.291384e+07 + i 1.200372e+07 ; -3.527831e+07 + i 2.845138e+07 ; 5.339329e+06 + i 2.230083e+07 ; -1.423050e+06 + i 3.780661e+06 ; 1.223288e+08 + i -1.879820e+08 ; -1.394868e+08 + i 1.454825e+08 ; 4.944865e+06 + i -8.104572e+06 ; 7.927219e+07 + i -9.734315e+07 ; 2.208751e+06 + i 2.443603e+07 ; -3.411422e+06 + i 2.320779e+06 ; -2.297188e+07 + i 2.890301e+07 ; -4.339367e+07 + i 1.044405e+08 ; -1.813047e+07 + i 2.065642e+07 ; -1.910714e+07 + i 2.097452e+07 ; -1.543080e+06 + i 1.507862e+07 ; -2.001121e+06 + i 5.247921e+06 ; 4.879587e+07 + i -8.647693e+07 ; -3.679534e+07 + i 7.939989e+07 ; 2.106741e+07 + i -4.294037e+07 ; 3.222686e+07 + i -5.080551e+07 ; -1.895044e+06 + i 1.463891e+07 ; -2.840981e+06 + i -4.446880e+05 ; 
1.306261e+08 + i -1.134367e+08 ; -2.073367e+07 + i 2.737275e+07 ; -9.418395e+08 + i 1.170257e+09 ; 8.139567e+07 + i -4.655114e+07 ; -7.353953e+07 + i 4.391837e+07 ; -1.430579e+10 + i 8.148741e+09 ; 3.794728e+07 + i -5.577334e+07 ; -3.258085e+07 + i 5.077484e+07 ; 1.202783e+08 + i 1.187492e+08 ; 2.205806e+07 + i -2.943073e+07 ; -1.128560e+08 + i 1.055956e+08 ; -9.282221e+08 + i 1.162226e+09 ; -4.658932e+08 + i 6.480168e+08 ; 5.601292e+06 + i -3.821462e+07 ; -6.515329e+08 + i 5.099496e+08 ; -2.159883e+08 + i 1.972414e+08 ; 1.986418e+08 + i -1.990512e+08 ; 1.798140e+09 + i -2.466162e+09 ; -4.976034e+07 + i 1.402591e+08 ; 4.439913e+07 + i -1.331176e+08 ; 9.142441e+07 + i 1.089701e+08 ; -4.609189e+05 + i 3.218641e+07 ; 4.012186e+08 + i -6.060413e+08 ; -6.430077e+08 + i 5.023443e+08 ; -4.515035e+07 + i 4.505928e+07 ; -1.291690e+07 + i 1.200259e+07 ; -1.729749e+08 + i 2.276132e+08 ; -3.529008e+07 + i 2.845489e+07 ; -1.423679e+06 + i 3.781756e+06 ; 5.362585e+06 + i 2.229443e+07 ; -2.296591e+07 + i 2.890503e+07 ; -1.814202e+07 + i 2.065528e+07 ; -4.339580e+07 + i 1.044688e+08 ; -1.908728e+07 + i 2.097786e+07 ; -2.000038e+06 + i 5.249113e+06 ; -1.522693e+06 + i 1.507117e+07 ; 1.223407e+08 + i -1.879780e+08 ; 4.930072e+06 + i -8.104095e+06 ; -1.395560e+08 + i 1.454957e+08 ; 7.928673e+07 + i -9.733987e+07 ; -3.415504e+06 + i 2.323432e+06 ; 2.198055e+06 + i 2.444883e+07 ; 4.874287e+07 + i -8.646834e+07 ; 2.107459e+07 + i -4.294174e+07 ; -3.683510e+07 + i 7.940042e+07 ; 3.218862e+07 + i -5.079746e+07 ; -2.838007e+06 + i -4.435208e+05 ; -1.911063e+06 + i 1.464939e+07 ; 
-9.371267e+08 + i 1.164998e+09 ; 1.124361e+08 + i -1.077686e+08 ; -2.074207e+07 + i 2.744758e+07 ; -6.486232e+08 + i 5.012763e+08 ; -4.688398e+08 + i 6.544461e+08 ; 5.927846e+06 + i -3.809177e+07 ; -1.430511e+10 + i 8.150882e+09 ; 7.562765e+07 + i -4.525768e+07 ; -7.418442e+07 + i 4.405595e+07 ; 1.810143e+09 + i -2.475220e+09 ; -2.128502e+08 + i 2.075222e+08 ; 1.994992e+08 + i -1.993512e+08 ; 1.194989e+08 + i 1.162121e+08 ; 3.906421e+07 + i -5.389764e+07 ; -3.255027e+07 + i 5.087143e+07 ; 8.992990e+07 + i 1.057545e+08 ; -5.565190e+07 + i 1.443643e+08 ; 4.445268e+07 + i -1.326527e+08 ; -9.319737e+08 + i 1.165873e+09 ; 2.394016e+07 + i -2.840672e+07 ; -1.133813e+08 + i 1.056922e+08 ; -6.455202e+08 + i 5.005829e+08 ; -9.861770e+06 + i 4.100946e+07 ; 4.023200e+08 + i -6.068946e+08 ; -9.042193e+06 + i -5.675662e+07 ; -6.042376e+05 + i 1.797680e+07 ; -5.391659e+06 + i 3.585180e+06 ; 1.237278e+06 + i -4.494638e+07 ; -3.589560e+05 + i 2.820359e+06 ; -1.391331e+06 + i 1.995824e+06 ; 2.302146e+08 + i -2.375163e+08 ; 8.623829e+06 + i -2.239287e+06 ; -7.396539e+06 + i 2.061923e+06 ; 1.390234e+08 + i -1.213863e+08 ; 2.005841e+06 + i -2.422531e+06 ; -1.623678e+06 + i 2.209478e+06 ; -1.675686e+07 + i 2.681083e+06 ; -3.468100e+05 + i 1.052413e+07 ; -8.777846e+04 + i -9.583090e+06 ; -9.328263e+06 + i -5.831423e+06 ; -2.047839e+05 + i 2.122943e+06 ; 1.345731e+05 + i -1.953137e+06 ; -9.915338e+06 + i -5.672610e+07 ; 6.301969e+06 + i -3.848170e+06 ; -2.006018e+05 + i -1.644005e+07 ; 7.186825e+05 + i -4.501504e+07 ; 1.707652e+06 + i -2.183974e+06 ; 2.489708e+05 + i -2.590357e+06 ; 
-1.865924e+08 + i 1.991566e+08 ; 1.788610e+09 + i -2.456118e+09 ; -1.997138e+08 + i 1.996021e+08 ; -4.084401e+08 + i 6.150140e+08 ; -6.535964e+08 + i 5.105541e+08 ; -6.817608e+06 + i 3.856771e+07 ; 6.790633e+07 + i -4.235662e+07 ; -1.431964e+10 + i 8.160497e+09 ; 7.329080e+07 + i -4.395416e+07 ; 9.329870e+07 + i -9.905546e+07 ; -9.370477e+08 + i 1.170358e+09 ; 2.005602e+07 + i -2.694509e+07 ; -1.089163e+07 + i 4.085352e+07 ; -6.507120e+08 + i 5.116722e+08 ; -4.020369e+08 + i 6.078696e+08 ; -5.057890e+07 + i 1.387360e+08 ; 9.130245e+07 + i 1.089118e+08 ; -4.441183e+07 + i 1.334556e+08 ; 2.003779e+07 + i -2.513723e+07 ; -9.378061e+08 + i 1.172287e+09 ; 1.136014e+08 + i -1.056054e+08 ; 3.282029e+07 + i -4.819277e+07 ; 1.191075e+08 + i 1.179722e+08 ; 3.239243e+07 + i -5.052998e+07 ; -7.834357e+07 + i 9.121752e+07 ; 1.271794e+06 + i 2.450648e+07 ; 2.065532e+06 + i -2.647156e+06 ; -4.972819e+07 + i 4.950427e+07 ; -3.334752e+06 + i 7.694961e+06 ; 8.500393e+05 + i -1.225481e+06 ; 1.012591e+07 + i -2.807813e+06 ; 4.764450e+06 + i 2.234194e+07 ; 3.885152e+06 + i -4.965375e+06 ; 6.956060e+06 + i -3.396787e+05 ; -3.853203e+06 + i 8.665972e+06 ; 7.850023e+05 + i -1.626116e+06 ; -3.546776e+07 + i 5.466673e+07 ; -2.185360e+06 + i 1.478590e+07 ; -6.444693e+05 + i 3.247782e+06 ; -2.423803e+07 + i 3.337503e+07 ; -2.150817e+06 + i 6.550035e+06 ; 4.468016e+05 + i -1.099258e+05 ; 1.017902e+07 + i -6.649721e+06 ; -1.717516e+06 + i 1.516953e+07 ; 5.129895e+06 + i -7.157699e+06 ; 6.966627e+06 + i -3.136959e+06 ; -2.311209e+06 + i 7.140788e+06 ; 9.935058e+05 + i -2.075380e+06 ; 
-1.967761e+07 + i 2.613962e+07 ; 1.318032e+08 + i -1.115602e+08 ; -9.422490e+08 + i 1.172135e+09 ; -3.200125e+07 + i 4.932649e+07 ; 3.795413e+07 + i -5.472111e+07 ; 1.199890e+08 + i 1.186923e+08 ; -7.348738e+07 + i 4.198919e+07 ; 8.369925e+07 + i -4.504169e+07 ; -1.431967e+10 + i 8.160663e+09 ; -1.127741e+08 + i 1.029109e+08 ; 2.286836e+07 + i -2.894997e+07 ; -9.379308e+08 + i 1.171038e+09 ; 5.113228e+06 + i -4.105907e+07 ; -4.769647e+08 + i 6.552780e+08 ; -6.519414e+08 + i 5.117671e+08 ; 4.774299e+07 + i -1.391742e+08 ; -5.302152e+07 + i 1.457493e+08 ; 9.135766e+07 + i 1.089121e+08 ; 2.060299e+08 + i -2.031599e+08 ; -2.326447e+08 + i 2.118662e+08 ; 1.785259e+09 + i -2.456152e+09 ; 4.133863e+08 + i -6.144350e+08 ; -5.801183e+06 + i 4.174082e+07 ; -6.518116e+08 + i 5.098260e+08 ; -1.091601e+07 + i 6.886091e+06 ; 5.916071e+06 + i -7.696199e+06 ; -1.660806e+06 + i 1.517953e+07 ; -7.433924e+06 + i 3.288766e+06 ; 1.159164e+06 + i -2.246145e+06 ; -2.295857e+06 + i 7.125116e+06 ; -1.232707e+07 + i 2.933735e+06 ; 4.414337e+06 + i -5.317837e+06 ; 4.815885e+06 + i 2.232069e+07 ; -8.190919e+06 + i 3.460847e+05 ; 9.199396e+05 + i -1.757027e+06 ; -3.849200e+06 + i 8.636425e+06 ; 3.512725e+07 + i -5.460927e+07 ; -7.669759e+05 + i 3.513977e+06 ; -1.854399e+06 + i 1.468332e+07 ; 2.401136e+07 + i -3.329428e+07 ; 5.181479e+05 + i -1.147288e+05 ; -2.115781e+06 + i 6.533695e+06 ; 7.784944e+07 + i -9.084442e+07 ; 2.587439e+06 + i -2.925383e+06 ; 2.124926e+06 + i 2.443313e+07 ; 4.930671e+07 + i -4.924163e+07 ; 1.037697e+06 + i -1.336738e+06 ; -3.320753e+06 + i 7.661145e+06 ; 
-6.575782e+08 + i 5.023624e+08 ; 5.133192e+08 + i -6.722336e+08 ; -6.520748e+06 + i 4.045564e+07 ; -9.286177e+08 + i 1.154285e+09 ; -6.697564e+07 + i 8.978200e+07 ; 1.647125e+07 + i -2.295570e+07 ; 1.808653e+09 + i -2.475110e+09 ; 1.849661e+08 + i -2.018099e+08 ; -2.078822e+08 + i 2.044686e+08 ; -1.427477e+10 + i 8.123062e+09 ; -7.962032e+07 + i 3.934069e+07 ; 6.947947e+07 + i -3.893068e+07 ; 9.065937e+07 + i 1.064944e+08 ; 6.192134e+07 + i -1.503030e+08 ; -4.728968e+07 + i 1.378252e+08 ; 1.163693e+08 + i 1.140206e+08 ; -3.436109e+07 + i 4.586859e+07 ; 2.805653e+07 + i -4.486958e+07 ; -6.437451e+08 + i 5.009060e+08 ; 1.169382e+07 + i -4.229712e+07 ; -4.209317e+08 + i 6.223839e+08 ; -9.290678e+08 + i 1.154519e+09 ; -1.921604e+07 + i 2.299596e+07 ; 1.097668e+08 + i -9.907543e+07 ; -2.519642e+07 + i -6.453939e+07 ; -1.475117e+08 + i 1.954825e+08 ; 1.450934e+07 + i -2.569105e+07 ; -8.159400e+06 + i -5.693154e+07 ; 6.764782e+06 + i 1.297757e+07 ; -3.653298e+06 + i 8.236483e+05 ; 3.774998e+08 + i -4.813589e+08 ; -7.839361e+07 + i 6.656984e+07 ; 5.455640e+07 + i -5.977441e+07 ; 2.301291e+08 + i -2.374177e+08 ; 9.547559e+06 + i 2.070257e+06 ; -9.071335e+06 + i -4.805160e+05 ; -2.787691e+07 + i 2.277799e+07 ; -5.226335e+07 + i 8.880393e+07 ; 3.940168e+07 + i -8.037607e+07 ; -1.620461e+07 + i 2.480945e+06 ; -3.824200e+05 + i 9.401870e+06 ; -6.130348e+05 + i -7.987287e+06 ; -2.827140e+07 + i -6.370085e+07 ; -2.262953e+07 + i 2.956295e+07 ; 1.139495e+08 + i -1.794496e+08 ; -1.003800e+07 + i -5.669627e+07 ; 3.379828e+06 + i -1.989629e+05 ; -7.164578e+06 + i -1.038602e+07 ; 
5.036965e+08 + i -6.634140e+08 ; -6.634990e+08 + i 5.118058e+08 ; -6.357177e+06 + i 3.937964e+07 ; 1.688767e+08 + i -1.855609e+08 ; 1.796332e+09 + i -2.466105e+09 ; -2.075049e+08 + i 2.028702e+08 ; -7.573283e+07 + i 1.004626e+08 ; -9.356531e+08 + i 1.170197e+09 ; 2.128440e+07 + i -2.789764e+07 ; -8.449917e+07 + i 4.655834e+07 ; -1.430416e+10 + i 8.149037e+09 ; 7.532372e+07 + i -4.444169e+07 ; 5.595464e+07 + i -1.435021e+08 ; 9.149142e+07 + i 1.098783e+08 ; -4.713128e+07 + i 1.367490e+08 ; 2.203077e+06 + i -3.095233e+07 ; -6.404383e+08 + i 5.028481e+08 ; -4.201901e+08 + i 6.201824e+08 ; -4.088463e+07 + i 5.430957e+07 ; 1.185416e+08 + i 1.180228e+08 ; 3.424105e+07 + i -5.194057e+07 ; -2.284856e+07 + i 2.843901e+07 ; -9.275728e+08 + i 1.161779e+09 ; 1.175783e+08 + i -1.075693e+08 ; -1.312227e+08 + i 1.914142e+08 ; -1.368421e+08 + i 1.445774e+08 ; -5.242434e+06 + i 8.300927e+06 ; -8.402591e+07 + i 9.843091e+07 ; 2.391481e+06 + i 2.427960e+07 ; 3.534801e+06 + i -2.347331e+06 ; 6.065392e+07 + i -4.865939e+07 ; -1.735658e+08 + i 2.276244e+08 ; 1.332080e+07 + i -1.220925e+07 ; 4.456444e+07 + i -2.962788e+07 ; 5.026921e+06 + i 2.231005e+07 ; 1.498559e+06 + i -3.867748e+06 ; -5.239156e+07 + i 8.852194e+07 ; -3.610763e+07 + i 7.896502e+07 ; -2.216105e+07 + i 4.403231e+07 ; -3.423463e+07 + i 5.177402e+07 ; -1.770124e+06 + i 1.456171e+07 ; 2.938566e+06 + i 4.894682e+05 ; 2.882839e+07 + i -3.117223e+07 ; -4.361238e+07 + i 1.044640e+08 ; 1.893654e+07 + i -2.108243e+07 ; 2.315193e+07 + i -2.232556e+07 ; -1.715879e+06 + i 1.511411e+07 ; 2.134673e+06 + i -5.385913e+06 ; 
