-1.905280e+10 + i 5.921805e+09 ; -8.810744e+07 + i 2.266275e+07 ; -8.811239e+07 + i 2.267868e+07 ; 3.474285e+09 + i -2.080394e+09 ; 3.031529e+08 + i -1.396120e+08 ; 3.030875e+08 + i -1.396205e+08 ; -1.698401e+09 + i 9.656441e+08 ; -1.666370e+08 + i 7.302859e+07 ; -3.495739e+07 + i 1.802987e+07 ; -8.944648e+08 + i 3.145468e+08 ; 7.938008e+08 + i -5.142964e+08 ; 3.530103e+07 + i -3.430413e+07 ; -1.698349e+09 + i 9.656563e+08 ; -3.500232e+07 + i 1.799226e+07 ; -1.666624e+08 + i 7.301452e+07 ; -8.943907e+08 + i 3.145848e+08 ; 3.563090e+07 + i -3.427101e+07 ; 7.938151e+08 + i -5.142935e+08 ; -1.128289e+07 + i 1.548028e+08 ; -6.335640e+07 + i 3.882388e+07 ; -6.323598e+07 + i 3.883747e+07 ; -1.745419e+07 + i 1.207005e+08 ; 1.439684e+08 + i -1.273680e+08 ; 1.439743e+08 + i -1.273771e+08 ; 3.735256e+08 + i -1.808456e+08 ; -6.808776e+06 + i -1.477887e+05 ; -6.803198e+06 + i -1.473372e+05 ; 2.070634e+08 + i -8.706299e+07 ; -2.785584e+06 + i 1.413839e+06 ; -2.785098e+06 + i 1.414503e+06 ; 4.044656e+07 + i -6.042790e+07 ; 1.432909e+07 + i -1.838385e+07 ; -6.321224e+06 + i 1.533830e+06 ; 3.719154e+07 + i -4.342382e+07 ; 2.717504e+06 + i -3.369949e+06 ; -2.546780e+06 + i 1.396348e+06 ; 4.048160e+07 + i -6.042043e+07 ; -6.293560e+06 + i 1.532660e+06 ; 1.433149e+07 + i -1.838323e+07 ; 3.720653e+07 + i -4.341780e+07 ; -2.543236e+06 + i 1.394808e+06 ; 2.716824e+06 + i -3.370019e+06 ; -9.130839e+06 + i -9.958138e+06 ; 8.786301e+06 + i -1.141076e+07 ; 8.780332e+06 + i -1.141118e+07 ; 2.240825e+06 + i -1.397859e+07 ; 1.955734e+06 + i -2.542955e+06 ; 1.955944e+06 + i -2.542664e+06 ; 
-8.618981e+07 + i 2.123877e+07 ; -1.907248e+10 + i 5.927376e+09 ; -8.805717e+07 + i 2.257141e+07 ; -1.642472e+08 + i 7.099901e+07 ; -1.706322e+09 + i 9.689996e+08 ; -3.451104e+07 + i 1.778438e+07 ; 3.104369e+08 + i -1.423306e+08 ; 3.438419e+09 + i -2.068312e+09 ; 3.031333e+08 + i -1.400195e+08 ; 8.075365e+08 + i -5.199848e+08 ; -9.061520e+08 + i 3.217362e+08 ; 3.562425e+07 + i -3.472564e+07 ; -3.375978e+07 + i 1.679017e+07 ; -1.706818e+09 + i 9.706851e+08 ; -1.665822e+08 + i 7.289670e+07 ; -6.207765e+07 + i 3.728307e+07 ; -1.320086e+07 + i 1.569657e+08 ; -6.274612e+07 + i 3.860378e+07 ; 4.100781e+07 + i -3.674683e+07 ; -9.079723e+08 + i 3.232788e+08 ; 7.944919e+08 + i -5.151320e+08 ; 1.537455e+08 + i -1.321855e+08 ; -2.012908e+07 + i 1.244057e+08 ; 1.447786e+08 + i -1.281031e+08 ; -1.127258e+07 + i -8.917154e+04 ; -1.624824e+07 + i 2.567301e+07 ; -6.795262e+06 + i 3.692877e+06 ; -6.280605e+06 + i -1.437469e+06 ; -1.103484e+07 + i 9.177457e+06 ; -1.896757e+06 + i 1.373976e+06 ; 1.303692e+08 + i -7.010702e+07 ; -1.969173e+07 + i 2.622771e+07 ; -3.500390e+06 + i 1.818543e+06 ; 7.548928e+07 + i -3.560005e+07 ; -9.785395e+06 + i 8.245352e+06 ; -1.619194e+06 + i 9.676209e+05 ; -1.281724e+07 + i 3.146845e+06 ; -1.622168e+07 + i 1.815152e+07 ; -9.490335e+06 + i 5.586662e+06 ; -7.520451e+06 + i 7.489398e+05 ; -8.201652e+06 + i 7.629331e+06 ; -2.424284e+06 + i 1.789781e+06 ; 6.975502e+07 + i -4.481436e+07 ; -1.577876e+07 + i 1.720637e+07 ; 3.490757e+06 + i -3.755485e+06 ; 4.394516e+07 + i -2.591307e+07 ; -7.506786e+06 + i 6.984074e+06 ; -3.561924e+05 + i -1.538528e+05 ; 
-8.624383e+07 + i 2.125195e+07 ; -8.805499e+07 + i 2.257457e+07 ; -1.907273e+10 + i 5.927324e+09 ; -1.642574e+08 + i 7.099096e+07 ; -3.450821e+07 + i 1.778772e+07 ; -1.706291e+09 + i 9.690647e+08 ; -3.374724e+07 + i 1.680992e+07 ; -1.666847e+08 + i 7.287411e+07 ; -1.708076e+09 + i 9.704987e+08 ; -6.195530e+07 + i 3.729796e+07 ; -6.278288e+07 + i 3.860251e+07 ; -1.307625e+07 + i 1.571325e+08 ; 3.104588e+08 + i -1.423175e+08 ; 3.030695e+08 + i -1.400359e+08 ; 3.437836e+09 + i -2.068368e+09 ; 8.075630e+08 + i -5.199788e+08 ; 3.558301e+07 + i -3.472741e+07 ; -9.063286e+08 + i 3.217463e+08 ; 4.079615e+07 + i -3.674427e+07 ; 7.944732e+08 + i -5.151427e+08 ; -9.081340e+08 + i 3.231930e+08 ; 1.536663e+08 + i -1.321936e+08 ; 1.447629e+08 + i -1.281004e+08 ; -2.006894e+07 + i 1.244692e+08 ; -1.126689e+07 + i -9.502367e+04 ; -6.796200e+06 + i 3.692991e+06 ; -1.625066e+07 + i 2.567914e+07 ; -6.278946e+06 + i -1.439987e+06 ; -1.897071e+06 + i 1.374183e+06 ; -1.102998e+07 + i 9.178035e+06 ; -1.278762e+07 + i 3.145516e+06 ; -9.491438e+06 + i 5.587117e+06 ; -1.622199e+07 + i 1.815484e+07 ; -7.497643e+06 + i 7.508161e+05 ; -2.423477e+06 + i 1.790013e+06 ; -8.195685e+06 + i 7.629918e+06 ; 1.303654e+08 + i -7.010456e+07 ; -3.505588e+06 + i 1.818275e+06 ; -1.971366e+07 + i 2.623389e+07 ; 7.548801e+07 + i -3.559825e+07 ; -1.620497e+06 + i 9.678986e+05 ; -9.789762e+06 + i 8.247154e+06 ; 6.975748e+07 + i -4.482333e+07 ; 3.492540e+06 + i -3.755033e+06 ; -1.578713e+07 + i 1.720778e+07 ; 4.394228e+07 + i -2.591695e+07 ; -3.548825e+05 + i -1.535281e+05 ; -7.508962e+06 + i 6.985780e+06 ; 
3.477520e+09 + i -2.079856e+09 ; -3.146315e+08 + i 1.426291e+08 ; -3.145341e+08 + i 1.426485e+08 ; -1.900987e+10 + i 5.900829e+09 ; 8.089814e+07 + i -1.907401e+07 ; 8.091122e+07 + i -1.908851e+07 ; -8.935568e+08 + i 3.146244e+08 ; -8.227200e+08 + i 5.249928e+08 ; -3.773287e+07 + i 3.628671e+07 ; -1.687292e+09 + i 9.559422e+08 ; 1.594592e+08 + i -6.782167e+07 ; 2.841259e+07 + i -1.489173e+07 ; -8.935709e+08 + i 3.146416e+08 ; -3.802752e+07 + i 3.625736e+07 ; -8.227347e+08 + i 5.249906e+08 ; -1.687093e+09 + i 9.559733e+08 ; 2.843717e+07 + i -1.486339e+07 ; 1.594683e+08 + i -6.781367e+07 ; -1.734274e+07 + i 1.206101e+08 ; -1.507075e+08 + i 1.316527e+08 ; -1.507311e+08 + i 1.316521e+08 ; -1.097208e+07 + i 1.516731e+08 ; 5.538100e+07 + i -3.428909e+07 ; 5.533442e+07 + i -3.429303e+07 ; 6.951843e+08 + i -3.992897e+08 ; 8.745757e+07 + i -4.321846e+07 ; 8.742677e+07 + i -4.322544e+07 ; 3.735167e+08 + i -1.808065e+08 ; -5.791788e+06 + i -3.211890e+06 ; -5.801980e+06 + i -3.208743e+06 ; 3.488008e+07 + i -7.686163e+07 ; 2.321088e+08 + i -1.537398e+08 ; 3.148397e+07 + i -2.090331e+07 ; 4.041478e+07 + i -6.041381e+07 ; 4.520608e+06 + i -1.437499e+07 ; -2.617995e+06 + i -1.048188e+06 ; 3.494156e+07 + i -7.686553e+07 ; 3.155592e+07 + i -2.089739e+07 ; 2.321189e+08 + i -1.537393e+08 ; 4.044602e+07 + i -6.041314e+07 ; -2.602577e+06 + i -1.053998e+06 ; 4.522629e+06 + i -1.437677e+07 ; -3.449999e+07 + i 5.840947e+06 ; 9.617989e+07 + i -7.302256e+07 ; 9.620194e+07 + i -7.302029e+07 ; -9.113469e+06 + i -9.939646e+06 ; 7.246667e+06 + i -1.020214e+07 ; 7.260401e+06 + i -1.020166e+07 ; 
1.917934e+08 + i -7.751029e+07 ; -1.709659e+09 + i 9.684031e+08 ; -3.615730e+07 + i 1.825388e+07 ; 9.881285e+07 + i -2.404470e+07 ; -1.905411e+10 + i 5.918940e+09 ; -9.033013e+07 + i 2.269003e+07 ; -9.022374e+08 + i 5.456929e+08 ; -9.057155e+08 + i 3.218299e+08 ; 3.588820e+07 + i -3.535473e+07 ; -3.239785e+08 + i 1.357787e+08 ; 3.456642e+09 + i -2.074406e+09 ; 3.125575e+08 + i -1.413766e+08 ; 7.314407e+07 + i -4.245258e+07 ; -1.316833e+07 + i 1.572396e+08 ; -6.532369e+07 + i 3.943176e+07 ; 3.872919e+07 + i -1.979295e+07 ; -1.690720e+09 + i 9.636422e+08 ; -1.717583e+08 + i 7.398683e+07 ; -1.591236e+08 + i 1.350011e+08 ; -2.033194e+07 + i 1.243510e+08 ; 1.498571e+08 + i -1.305852e+08 ; -2.665529e+07 + i 3.019594e+07 ; -8.934657e+08 + i 3.171724e+08 ; 8.205911e+08 + i -5.229909e+08 ; -7.056344e+07 + i 3.163704e+07 ; -3.246690e+08 + i 1.903671e+08 ; -1.924053e+07 + i 7.835852e+06 ; -4.916699e+07 + i 1.767280e+07 ; -1.579971e+07 + i 2.574970e+07 ; -4.145217e+06 + i 3.135202e+06 ; 2.522515e+08 + i -1.618061e+08 ; -2.264966e+08 + i 1.088915e+08 ; 1.048396e+07 + i -6.705634e+06 ; 1.407048e+08 + i -7.632209e+07 ; -1.962373e+07 + i 2.625397e+07 ; -4.368170e+06 + i 1.228256e+06 ; -4.091712e+07 + i 2.177105e+07 ; -1.221155e+08 + i 9.714666e+07 ; -3.051263e+07 + i 1.521082e+07 ; -3.107356e+07 + i 1.449890e+07 ; -1.601484e+07 + i 1.814061e+07 ; -5.888522e+06 + i 4.575153e+06 ; 1.113320e+08 + i -7.784524e+07 ; -9.414325e+07 + i 6.956452e+07 ; 5.323097e+07 + i -4.008212e+07 ; 6.730030e+07 + i -4.318805e+07 ; -1.576979e+07 + i 1.719632e+07 ; -1.371085e+06 + i -1.920555e+06 ; 
1.918156e+08 + i -7.750702e+07 ; -3.615600e+07 + i 1.825663e+07 ; -1.709602e+09 + i 9.684824e+08 ; 9.883521e+07 + i -2.405061e+07 ; -9.032491e+07 + i 2.269571e+07 ; -1.905426e+10 + i 5.918932e+09 ; 7.310047e+07 + i -4.246747e+07 ; -6.536307e+07 + i 3.942896e+07 ; -1.295529e+07 + i 1.574514e+08 ; 3.869321e+07 + i -1.981486e+07 ; -1.718527e+08 + i 7.396505e+07 ; -1.692154e+09 + i 9.634251e+08 ; -9.022518e+08 + i 5.456834e+08 ; 3.585629e+07 + i -3.535116e+07 ; -9.059367e+08 + i 3.218156e+08 ; -3.239957e+08 + i 1.357686e+08 ; 3.124800e+08 + i -1.413989e+08 ; 3.456118e+09 + i -2.074461e+09 ; -1.590213e+08 + i 1.350147e+08 ; 1.498616e+08 + i -1.305738e+08 ; -1.993396e+07 + i 1.244735e+08 ; -2.654293e+07 + i 3.019902e+07 ; 8.205629e+08 + i -5.230070e+08 ; -8.936563e+08 + i 3.170536e+08 ; -7.058088e+07 + i 3.163832e+07 ; -1.924255e+07 + i 7.834856e+06 ; -3.246006e+08 + i 1.903727e+08 ; -4.917905e+07 + i 1.767384e+07 ; -4.146136e+06 + i 3.135638e+06 ; -1.577780e+07 + i 2.574928e+07 ; -4.091328e+07 + i 2.177274e+07 ; -3.052148e+07 + i 1.520863e+07 ; -1.221213e+08 + i 9.715738e+07 ; -3.105964e+07 + i 1.450344e+07 ; -5.888060e+06 + i 4.575835e+06 ; -1.599632e+07 + i 1.813977e+07 ; 2.522590e+08 + i -1.618026e+08 ; 1.047232e+07 + i -6.707602e+06 ; -2.265586e+08 + i 1.088882e+08 ; 1.407144e+08 + i -7.631833e+07 ; -4.372246e+06 + i 1.228833e+06 ; -1.963856e+07 + i 2.625920e+07 ; 1.112862e+08 + i -7.784792e+07 ; 5.323756e+07 + i -4.008192e+07 ; -9.416861e+07 + i 6.955660e+07 ; 6.726601e+07 + i -4.318869e+07 ; -1.369106e+06 + i -1.919602e+06 ; -1.578710e+07 + i 1.719903e+07 ; 
-1.702088e+09 + i 9.650207e+08 ; 1.733818e+08 + i -7.605519e+07 ; -3.622432e+07 + i 1.832687e+07 ; -8.969387e+08 + i 3.146874e+08 ; -9.092680e+08 + i 5.503919e+08 ; 3.597575e+07 + i -3.514424e+07 ; -1.905538e+10 + i 5.921016e+09 ; 9.285546e+07 + i -2.330861e+07 ; -9.092620e+07 + i 2.268500e+07 ; 3.472853e+09 + i -2.080537e+09 ; -3.299853e+08 + i 1.459024e+08 ; 3.133741e+08 + i -1.414829e+08 ; -1.153875e+07 + i 1.551080e+08 ; 7.269888e+07 + i -4.079992e+07 ; -6.542109e+07 + i 3.952743e+07 ; -1.804447e+07 + i 1.207713e+08 ; -1.670417e+08 + i 1.377460e+08 ; 1.494830e+08 + i -1.300811e+08 ; -1.697939e+09 + i 9.659692e+08 ; 3.945306e+07 + i -1.856143e+07 ; -1.723015e+08 + i 7.389990e+07 ; -8.940455e+08 + i 3.147132e+08 ; -4.118472e+07 + i 3.676053e+07 ; 8.221089e+08 + i -5.235604e+08 ; 4.130420e+07 + i -6.031351e+07 ; -1.677310e+07 + i 2.002113e+07 ; -6.593330e+06 + i 1.532647e+06 ; 3.766526e+07 + i -4.330731e+07 ; -3.129972e+06 + i 3.670838e+06 ; -2.642727e+06 + i 1.421894e+06 ; 3.735800e+08 + i -1.808546e+08 ; 8.058636e+06 + i 2.963501e+05 ; -6.986279e+06 + i -2.071500e+05 ; 2.070670e+08 + i -8.706031e+07 ; 3.302058e+06 + i -1.509002e+06 ; -2.872545e+06 + i 1.434975e+06 ; -9.074125e+06 + i -1.000806e+07 ; -1.024615e+07 + i 1.246257e+07 ; 9.135102e+06 + i -1.168859e+07 ; 2.311187e+06 + i -1.401072e+07 ; -2.250319e+06 + i 2.770776e+06 ; 2.039187e+06 + i -2.603309e+06 ; 4.056839e+07 + i -6.039675e+07 ; 7.463813e+06 + i -1.548600e+06 ; 1.492624e+07 + i -1.882396e+07 ; 3.724841e+07 + i -4.339500e+07 ; 3.012307e+06 + i -1.495564e+06 ; 2.830806e+06 + i -3.450058e+06 ; 
-3.035163e+08 + i 1.440653e+08 ; 3.441214e+09 + i -2.067835e+09 ; -3.138471e+08 + i 1.417798e+08 ; -8.329284e+08 + i 5.292747e+08 ; -9.079478e+08 + i 3.218720e+08 ; -3.714227e+07 + i 3.550314e+07 ; 8.437294e+07 + i -2.197976e+07 ; -1.907438e+10 + i 5.926823e+09 ; 9.004949e+07 + i -2.264952e+07 ; 1.516830e+08 + i -7.201114e+07 ; -1.705521e+09 + i 9.690456e+08 ; 3.534500e+07 + i -1.804266e+07 ; -4.232114e+07 + i 3.699132e+07 ; -9.065693e+08 + i 3.233926e+08 ; -8.226417e+08 + i 5.244953e+08 ; -1.592509e+08 + i 1.345436e+08 ; -2.010746e+07 + i 1.244654e+08 ; -1.501263e+08 + i 1.308560e+08 ; 3.416889e+07 + i -1.672030e+07 ; -1.707535e+09 + i 9.705384e+08 ; 1.723797e+08 + i -7.375167e+07 ; 6.376277e+07 + i -3.737267e+07 ; -1.362732e+07 + i 1.569213e+08 ; 6.504621e+07 + i -3.926904e+07 ; -1.353534e+08 + i 7.119317e+07 ; -2.043510e+07 + i 2.617695e+07 ; 3.615525e+06 + i -1.843259e+06 ; -7.842716e+07 + i 3.608022e+07 ; -9.810165e+06 + i 8.262690e+06 ; 1.675438e+06 + i -9.834573e+05 ; 9.759076e+06 + i -2.380936e+04 ; -1.628988e+07 + i 2.569787e+07 ; 7.014072e+06 + i -3.745922e+06 ; 5.455923e+06 + i 1.381157e+06 ; -1.104676e+07 + i 9.192131e+06 ; 1.964941e+06 + i -1.398916e+06 ; -7.250554e+07 + i 4.559294e+07 ; -1.607285e+07 + i 1.723632e+07 ; -3.614815e+06 + i 3.845575e+06 ; -4.571118e+07 + i 2.634238e+07 ; -7.542752e+06 + i 6.991263e+06 ; 3.707918e+05 + i 1.619216e+05 ; 1.247470e+07 + i -3.116073e+06 ; -1.619303e+07 + i 1.816179e+07 ; 9.834114e+06 + i -5.676911e+06 ; 7.274093e+06 + i -7.039919e+05 ; -8.198744e+06 + i 7.634646e+06 ; 2.516654e+06 + i -1.824156e+06 ; 
-3.422978e+07 + i 1.724413e+07 ; 1.912685e+08 + i -7.560426e+07 ; -1.711342e+09 + i 9.700158e+08 ; -6.357673e+07 + i 3.805977e+07 ; 7.203499e+07 + i -4.125540e+07 ; -1.318411e+07 + i 1.573954e+08 ; -8.888756e+07 + i 2.111984e+07 ; 9.933525e+07 + i -2.207147e+07 ; -1.907443e+10 + i 5.926887e+09 ; -1.697492e+08 + i 7.165535e+07 ; 3.863486e+07 + i -1.882426e+07 ; -1.706470e+09 + i 9.692435e+08 ; 3.758369e+07 + i -3.780330e+07 ; -9.166791e+08 + i 5.501767e+08 ; -9.076398e+08 + i 3.232998e+08 ; 1.570348e+08 + i -1.350955e+08 ; -1.657530e+08 + i 1.391262e+08 ; -1.997026e+07 + i 1.244392e+08 ; 3.215900e+08 + i -1.437779e+08 ; -3.486851e+08 + i 1.459404e+08 ; 3.438302e+09 + i -2.068168e+09 ; 8.368083e+08 + i -5.283706e+08 ; -3.830545e+07 + i 3.784601e+07 ; -9.061597e+08 + i 3.217355e+08 ; -1.316484e+07 + i 3.131197e+06 ; 1.082808e+07 + i -5.946699e+06 ; -1.615241e+07 + i 1.817408e+07 ; -7.706212e+06 + i 7.111391e+05 ; 2.768356e+06 + i -1.925765e+06 ; -8.178111e+06 + i 7.628606e+06 ; -1.164321e+07 + i -1.919419e+05 ; 7.672962e+06 + i -3.914608e+06 ; -1.624518e+07 + i 2.569688e+07 ; -6.484001e+06 + i -1.535835e+06 ; 2.162818e+06 + i -1.473996e+06 ; -1.103229e+07 + i 9.179132e+06 ; 7.217419e+07 + i -4.560019e+07 ; -3.952585e+06 + i 4.086943e+06 ; -1.575151e+07 + i 1.722074e+07 ; 4.547338e+07 + i -2.632763e+07 ; 4.237456e+05 + i 1.816295e+05 ; -7.504130e+06 + i 6.985395e+06 ; 1.347930e+08 + i -7.107097e+07 ; 4.190037e+06 + i -1.938998e+06 ; -1.969169e+07 + i 2.624117e+07 ; 7.798831e+07 + i -3.601108e+07 ; 1.901308e+06 + i -1.034064e+06 ; -9.783557e+06 + i 8.246620e+06 ; 
-9.053438e+08 + i 3.145332e+08 ; 9.583788e+08 + i -5.584365e+08 ; -3.826448e+07 + i 3.708323e+07 ; -1.686212e+09 + i 9.559656e+08 ; -1.232420e+08 + i 6.793245e+07 ; 2.932864e+07 + i -1.512507e+07 ; 3.471560e+09 + i -2.080645e+09 ; 3.034679e+08 + i -1.457366e+08 ; -3.238542e+08 + i 1.443380e+08 ; -1.900915e+10 + i 5.900982e+09 ; -9.191231e+07 + i 1.812220e+07 ; 8.321725e+07 + i -1.906096e+07 ; -1.780652e+07 + i 1.212966e+08 ; 1.766052e+08 + i -1.418452e+08 ; -1.557597e+08 + i 1.341240e+08 ; -1.165764e+07 + i 1.516846e+08 ; -6.298418e+07 + i 3.481525e+07 ; 5.704247e+07 + i -3.482145e+07 ; -8.926237e+08 + i 3.150529e+08 ; 4.384662e+07 + i -3.781870e+07 ; -8.484421e+08 + i 5.333045e+08 ; -1.686724e+09 + i 9.560573e+08 ; -3.171078e+07 + i 1.487279e+07 ; 1.641703e+08 + i -6.852738e+07 ; 3.800070e+07 + i -7.698785e+07 ; -2.779036e+08 + i 1.637712e+08 ; 3.226237e+07 + i -2.126713e+07 ; 4.215331e+07 + i -6.032249e+07 ; -6.733937e+06 + i 1.652652e+07 ; -2.736475e+06 + i -1.089970e+06 ; 6.952478e+08 + i -3.993207e+08 ; -1.140410e+08 + i 4.538035e+07 ; 9.009712e+07 + i -4.378662e+07 ; 3.734664e+08 + i -1.808132e+08 ; 5.437057e+06 + i 4.379620e+06 ; -5.918677e+06 + i -3.332236e+06 ; -3.361008e+07 + i 5.634749e+06 ; -1.154388e+08 + i 7.877894e+07 ; 9.929373e+07 + i -7.431086e+07 ; -8.518659e+06 + i -1.005404e+07 ; -9.434785e+06 + i 1.144246e+07 ; 7.531193e+06 + i -1.042576e+07 ; 3.498496e+07 + i -7.683842e+07 ; -4.124853e+07 + i 2.276222e+07 ; 2.394008e+08 + i -1.562377e+08 ; 4.043938e+07 + i -6.038927e+07 ; 2.033608e+06 + i 1.529839e+06 ; 4.749110e+06 + i -1.472782e+07 ; 
9.439329e+08 + i -5.523991e+08 ; -9.171910e+08 + i 3.216884e+08 ; -3.720640e+07 + i 3.605605e+07 ; 2.780235e+08 + i -1.341254e+08 ; 3.454591e+09 + i -2.074641e+09 ; -3.222529e+08 + i 1.429272e+08 ; -1.385298e+08 + i 7.589192e+07 ; -1.704276e+09 + i 9.691128e+08 ; 3.688512e+07 + i -1.849341e+07 ; -1.014486e+08 + i 2.372132e+07 ; -1.905303e+10 + i 5.919275e+09 ; 9.206174e+07 + i -2.277161e+07 ; 1.665805e+08 + i -1.368786e+08 ; -2.035847e+07 + i 1.250224e+08 ; -1.546897e+08 + i 1.330640e+08 ; 2.739113e+07 + i -2.929637e+07 ; -8.916255e+08 + i 3.175753e+08 ; -8.460399e+08 + i 5.313483e+08 ; -7.488607e+07 + i 4.133357e+07 ; -1.413075e+07 + i 1.568875e+08 ; 6.745355e+07 + i -4.000913e+07 ; -3.899342e+07 + i 1.925276e+07 ; -1.691491e+09 + i 9.633061e+08 ; 1.770280e+08 + i -7.474551e+07 ; -2.621384e+08 + i 1.634324e+08 ; -2.237906e+08 + i 1.086500e+08 ; -1.085651e+07 + i 6.806902e+06 ; -1.455292e+08 + i 7.666506e+07 ; -1.938353e+07 + i 2.617919e+07 ; 4.484768e+06 + i -1.228424e+06 ; 8.566680e+07 + i -3.212508e+07 ; -3.250977e+08 + i 1.903115e+08 ; 1.969616e+07 + i -7.915539e+06 ; 5.765608e+07 + i -1.735398e+07 ; -1.605679e+07 + i 2.571334e+07 ; 4.263489e+06 + i -3.184664e+06 ; -1.156423e+08 + i 7.891083e+07 ; -9.332816e+07 + i 6.937861e+07 ; -5.490735e+07 + i 4.079430e+07 ; -6.955866e+07 + i 4.363427e+07 ; -1.561626e+07 + i 1.715994e+07 ; 1.406759e+06 + i 1.983167e+06 ; 4.702581e+07 + i -2.246541e+07 ; -1.223026e+08 + i 9.713096e+07 ; 3.144773e+07 + i -1.540204e+07 ; 3.512647e+07 + i -1.481218e+07 ; -1.616727e+07 + i 1.813366e+07 ; 6.088369e+06 + i -4.654821e+06 ; 
